AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_9,FRMTYP1_10,FRMTYP1_11,FRMTYP1_12
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,135,16,11,2,17,0,0,8,14,21,3,26,17
100304000,1004000,10,3,4,0,Division No.  4,51,4,8,0,2,0,0,2,4,8,1,12,10
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",20,2,5,0,0,0,0,2,3,2,1,2,3
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",31,2,3,0,2,0,0,0,1,6,0,10,7
100305000,1005000,10,3,5,0,Division No.  5,84,12,3,2,15,0,0,6,10,13,2,14,7
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",45,9,3,0,8,0,0,3,5,5,1,9,2
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",20,2,0,2,4,0,0,1,5,1,0,2,3
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",19,1,0,0,3,0,0,2,0,7,1,3,2
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,015",337,592,103,37,9,39,528,56,125,93,54,42
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,320,44,72,21,6,2,10,92,10,25,16,13,9
110101000,1101000,11,1,1,0,Kings County,320,44,72,21,6,2,10,92,10,25,16,13,9
110101001,1101001,11,1,1,1,Lot 64,22,1,4,0,1,1,2,5,1,2,3,1,1
110101006,1101006,11,1,1,6,Lot 63,14,2,1,2,2,1,0,3,0,0,0,2,1
110101008,1101008,11,1,1,8,Lot 61,13,3,3,1,0,0,0,3,1,0,1,1,0
110101009,1101009,11,1,1,9,Lot 59,28,1,3,3,1,0,1,6,1,6,1,3,2
110101014,1101014,11,1,1,14,Lot 51,22,7,3,1,0,0,2,6,0,1,1,0,1
110101016,1101016,11,1,1,16,Lot 52,26,1,3,6,0,0,0,6,0,7,1,1,1
110101019,1101019,11,1,1,19,Lot 53,13,1,4,4,0,0,1,3,0,0,0,0,0
110101026,1101026,11,1,1,26,Lot 54,20,1,11,2,0,0,0,4,0,2,0,0,0
110101028,1101028,11,1,1,28,Lot 55,17,4,5,0,1,0,0,4,0,0,2,0,1
110101029,1101029,11,1,1,29,Lot 56,16,7,4,0,0,0,0,1,1,3,0,0,0
110101032,1101032,11,1,1,32,Lot 44,27,1,7,1,0,0,1,9,2,3,1,1,1
110101034,1101034,11,1,1,34,Lot 45,16,2,1,0,1,0,0,11,1,0,0,0,0
110101039,1101039,11,1,1,39,Lot 47,17,4,2,1,0,0,1,9,0,0,0,0,0
110101042,1101042,11,1,1,42,Lot 41,20,3,10,0,0,0,0,4,1,0,2,0,0
110101046,1101046,11,1,1,46,Lot 40,18,2,6,0,0,0,1,6,1,1,1,0,0
110101049,1101049,11,1,1,49,Lot 39,12,1,4,0,0,0,0,4,0,0,0,3,0
110101051,1101051,11,1,1,51,Lot 38,19,3,1,0,0,0,1,8,1,0,3,1,1
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,987,204,319,66,12,5,18,167,25,71,49,33,18
110202000,1102000,11,2,2,0,Queens County,987,204,319,66,12,5,18,167,25,71,49,33,18
110202001,1102001,11,2,2,1,Lot 62,11,2,1,0,0,0,1,2,4,1,0,0,0
110202004,1102004,11,2,2,4,Lot 60,14,1,3,1,1,0,0,3,3,1,0,1,0
110202006,1102006,11,2,2,6,Lot 58,17,0,5,2,0,1,1,2,1,1,0,3,1
110202008,1102008,11,2,2,8,Lot 57,47,5,17,2,0,1,1,10,0,0,0,8,3
110202009,1102009,11,2,2,9,Lot 50,54,11,17,6,0,0,0,8,0,4,6,2,0
110202012,1102012,11,2,2,12,Lot 49,35,7,13,1,0,0,0,5,1,2,4,2,0
110202014,1102014,11,2,2,14,Lot 48,56,9,26,4,0,0,0,4,2,6,2,2,1
110202026,1102026,11,2,2,26,Lot 31,86,11,29,7,1,0,2,20,0,5,4,2,5
110202028,1102028,11,2,2,28,Lot 65,45,10,11,4,1,0,1,8,1,2,7,0,0
110202029,1102029,11,2,2,29,Lot 30,45,7,22,2,1,1,0,8,1,1,2,0,0
110202031,1102031,11,2,2,31,Lot 29,45,8,14,0,0,1,0,14,2,3,1,0,2
110202036,1102036,11,2,2,36,Lot 67,62,25,16,6,1,0,1,10,0,1,2,0,0
110202038,1102038,11,2,2,38,Lot 20,44,12,17,0,0,0,1,9,0,2,1,1,1
110202039,1102039,11,2,2,39,Lot 21,27,6,8,0,0,0,0,7,0,3,1,2,0
110202040,1102040,11,2,2,40,Miltonvale Park,28,7,10,0,0,0,0,5,1,3,0,1,1
110202041,1102041,11,2,2,41,Lot 22,31,9,9,5,0,0,0,2,0,2,3,0,1
110202042,1102042,11,2,2,42,Lot 23,46,12,13,5,1,0,0,6,0,6,2,0,1
110202044,1102044,11,2,2,44,Lot 24,57,16,17,7,2,1,3,4,0,3,3,1,0
110202049,1102049,11,2,2,49,Lot 33,72,15,16,7,2,0,3,13,1,10,1,4,0
110202052,1102052,11,2,2,52,Lot 34,50,10,13,3,1,0,1,7,1,9,2,2,1
110202054,1102054,11,2,2,54,Lot 35,28,8,11,1,0,0,1,1,1,2,3,0,0
110202056,1102056,11,2,2,56,Lot 36,36,5,15,2,1,0,1,5,2,1,1,2,1
110202058,1102058,11,2,2,58,Lot 37,25,6,9,0,0,0,1,3,4,0,2,0,0
110202085,1102085,11,2,2,85,Cornwall,26,2,7,1,0,0,0,11,0,3,2,0,0
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,708,89,201,16,19,2,11,269,21,29,28,8,15
110303000,1103000,11,3,3,0,Prince County,708,89,201,16,19,2,11,269,21,29,28,8,15
110303001,1103001,11,3,3,1,Lot 28,45,1,9,2,0,0,1,28,1,0,0,1,2
110303006,1103006,11,3,3,6,Lot 27,48,3,8,1,0,0,0,27,0,2,5,1,1
110303009,1103009,11,3,3,9,Lot 26,50,3,15,0,0,0,0,28,0,0,1,1,2
110303011,1103011,11,3,3,11,Lot 25,32,5,8,0,1,0,0,14,1,1,2,0,0
110303012,1103012,11,3,3,12,Lot 19,42,4,17,2,0,0,1,17,0,0,0,1,0
110303016,1103016,11,3,3,16,Lot 18,41,3,15,2,1,1,1,13,1,2,2,0,0
110303019,1103019,11,3,3,19,Lot 17,51,9,16,1,0,0,2,7,1,9,0,3,3
110303028,1103028,11,3,3,28,Lot 16,31,10,8,0,1,0,2,5,1,0,2,0,2
110303031,1103031,11,3,3,31,Lot 14,24,5,7,1,0,0,1,7,2,0,1,0,0
110303032,1103032,11,3,3,32,Lot 13,40,10,15,1,1,0,0,7,1,1,2,0,2
110303034,1103034,11,3,3,34,Lot 12,19,1,7,0,5,0,2,3,0,0,0,0,1
110303036,1103036,11,3,3,36,Lot 11,19,5,5,0,2,1,0,5,1,0,0,0,0
110303041,1103041,11,3,3,41,Lot  6,38,3,8,0,2,0,0,19,1,1,3,1,0
110303044,1103044,11,3,3,44,Lot  9,17,0,8,0,0,0,0,7,0,1,1,0,0
110303046,1103046,11,3,3,46,Lot  8,34,6,10,0,0,0,0,17,0,1,0,0,0
110303048,1103048,11,3,3,48,Lot  7,28,2,10,1,1,0,0,12,0,0,2,0,0
110303049,1103049,11,3,3,49,Lot  5,23,6,4,1,0,0,0,10,0,0,2,0,0
110303051,1103051,11,3,3,51,Lot  4,47,8,8,2,2,0,1,21,0,3,2,0,0
110303054,1103054,11,3,3,54,Lot  3,32,4,13,0,0,0,0,9,2,1,2,0,1
110303056,1103056,11,3,3,56,Lot  2,13,0,2,0,1,0,0,7,0,2,0,0,1
110303058,1103058,11,3,3,58,Lot  1,34,1,8,2,2,0,0,6,9,5,1,0,0
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,"3,600",502,912,93,113,2,6,176,607,868,76,144,101
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,578,37,124,10,15,0,1,18,35,304,7,17,10
120101000,1201000,12,1,1,0,Shelburne County,22,1,2,0,2,0,0,0,3,10,0,3,1
120101006,1201006,12,1,1,6,Shelburne,22,1,2,0,2,0,0,0,3,10,0,3,1
120102000,1202000,12,1,2,0,Yarmouth County,89,11,24,0,1,0,1,4,8,32,2,6,0
120102001,1202001,12,1,2,1,Argyle,16,0,2,0,1,0,0,0,1,9,1,2,0
120102004,1202004,12,1,2,4,Yarmouth,73,11,22,0,0,0,1,4,7,23,1,4,0
120103000,1203000,12,1,3,0,Digby County,111,1,17,5,0,0,0,3,7,74,2,1,1
120103001,1203001,12,1,3,1,Clare,76,1,7,4,0,0,0,1,5,58,0,0,0
120103004,1203004,12,1,3,4,Digby,35,0,10,1,0,0,0,2,2,16,2,1,1
120104000,1204000,12,1,4,0,Queens County,38,3,12,2,0,0,0,2,5,14,0,0,0
120104008,1204008,12,1,4,8,"Queens, Subd. B",38,3,12,2,0,0,0,2,5,14,0,0,0
120106000,1206000,12,1,6,0,Lunenburg County,318,21,69,3,12,0,0,9,12,174,3,7,8
120106001,1206001,12,1,6,1,Lunenburg,220,21,56,3,12,0,0,8,10,96,2,6,6
120106009,1206009,12,1,6,9,Chester,98,0,13,0,0,0,0,1,2,78,1,1,2
120200000,1200000,12,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,151",158,282,56,69,0,4,69,156,192,26,78,61
120205000,1205000,12,2,5,0,Annapolis County,227,34,77,6,2,0,2,18,17,46,4,10,11
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",25,2,7,1,0,0,0,2,1,8,0,3,1
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",63,5,19,2,2,0,0,5,9,13,0,4,4
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",75,14,30,2,0,0,0,6,4,12,3,0,4
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",64,13,21,1,0,0,2,5,3,13,1,3,2
120207000,1207000,12,2,7,0,Kings County,591,46,104,44,64,0,2,32,117,82,9,53,38
120207001,1207001,12,2,7,1,"Kings, Subd. A",280,21,51,23,10,0,0,15,64,49,3,27,17
120207011,1207011,12,2,7,11,"Kings, Subd. C",36,2,9,1,3,0,0,2,5,8,2,2,2
120207016,1207016,12,2,7,16,"Kings, Subd. B",185,6,23,17,33,0,2,13,33,18,2,23,15
120207021,1207021,12,2,7,21,"Kings, Subd. D",90,17,21,3,18,0,0,2,15,7,2,1,4
120208000,1208000,12,2,8,0,Hants County,333,78,101,6,3,0,0,19,22,64,13,15,12
120208001,1208001,12,2,8,1,West Hants,158,22,54,4,1,0,0,12,12,34,6,8,5
120208008,1208008,12,2,8,8,East Hants,175,56,47,2,2,0,0,7,10,30,7,7,7
120300000,1200000,12,3,0,0,Agricultural Region 3 - RÇgion agricole 3,"1,063",161,266,19,17,1,1,48,318,161,22,29,20
120309000,1209000,12,3,9,0,Halifax County,163,24,41,2,8,0,0,9,13,53,3,7,3
120309012,1209012,12,3,9,12,"Halifax, Subd. C",16,0,1,0,1,0,0,1,3,9,1,0,0
120309018,1209018,12,3,9,18,"Halifax, Subd. D",25,1,1,0,4,0,0,0,2,12,0,4,1
120309026,1209026,12,3,9,26,"Halifax, Subd. E",40,9,11,2,1,0,0,3,0,11,1,2,0
120309031,1209031,12,3,9,31,"Halifax, Subd. F",57,13,18,0,2,0,0,3,4,16,0,0,1
120309036,1209036,12,3,9,36,"Halifax, Subd. G",25,1,10,0,0,0,0,2,4,5,1,1,1
120310000,1210000,12,3,10,0,Colchester County,440,96,114,9,6,1,1,19,95,66,9,16,8
120310001,1210001,12,3,10,1,"Colchester, Subd. C",171,63,43,2,2,0,0,9,15,29,2,2,4
120310008,1210008,12,3,10,8,"Colchester, Subd. B",158,31,49,6,2,1,1,7,25,26,6,2,2
120310012,1210012,12,3,10,12,"Colchester, Subd. A",111,2,22,1,2,0,0,3,55,11,1,12,2
120311000,1211000,12,3,11,0,Cumberland County,460,41,111,8,3,0,0,20,210,42,10,6,9
120311001,1211001,12,3,11,1,"Cumberland, Subd. A",77,1,7,0,0,0,0,2,64,0,0,0,3
120311006,1211006,12,3,11,6,"Cumberland, Subd. B",147,9,13,2,2,0,0,2,97,15,2,2,3
120311009,1211009,12,3,11,9,"Cumberland, Subd. C",143,26,54,2,1,0,0,11,27,17,1,3,1
120311014,1211014,12,3,11,14,"Cumberland, Subd. D",93,5,37,4,0,0,0,5,22,10,7,1,2
120400000,1200000,12,4,0,0,Agricultural Region 4 - RÇgion agricole 4,572,98,171,8,6,1,0,29,87,142,15,10,5
120412000,1212000,12,4,12,0,Pictou County,282,48,95,3,1,1,0,23,54,38,10,6,3
120412001,1212001,12,4,12,1,"Pictou, Subd. A",132,33,51,2,0,1,0,13,11,15,2,2,2
120412006,1212006,12,4,12,6,"Pictou, Subd. B",74,11,22,1,0,0,0,6,11,14,5,3,1
120412011,1212011,12,4,12,11,"Pictou, Subd. C",76,4,22,0,1,0,0,4,32,9,3,1,0
120413000,1213000,12,4,13,0,Guysborough County,81,3,8,0,0,0,0,1,13,53,1,2,0
120413001,1213001,12,4,13,1,St. Mary's,32,3,4,0,0,0,0,1,8,15,1,0,0
120413004,1213004,12,4,13,4,Guysborough,49,0,4,0,0,0,0,0,5,38,0,2,0
120414000,1214000,12,4,14,0,Antigonish County,209,47,68,5,5,0,0,5,20,51,4,2,2
120414001,1214001,12,4,14,1,"Antigonish, Subd. A",126,30,48,2,4,0,0,1,10,26,3,1,1
120414006,1214006,12,4,14,6,"Antigonish, Subd. B",83,17,20,3,1,0,0,4,10,25,1,1,1
120500000,1200000,12,5,0,0,Agricultural Region 5 - RÇgion agricole 5,236,48,69,0,6,0,0,12,11,69,6,10,5
120515000,1215000,12,5,15,0,Inverness County,108,31,45,0,2,0,0,3,4,17,2,1,3
120515001,1215001,12,5,15,1,"Inverness, Subd. C",17,3,10,0,1,0,0,0,0,3,0,0,0
120515006,1215006,12,5,15,6,"Inverness, Subd. B",62,27,17,0,0,0,0,2,4,8,1,1,2
120515011,1215011,12,5,15,11,"Inverness, Subd. A",29,1,18,0,1,0,0,1,0,6,1,0,1
120516000,1216000,12,5,16,0,Richmond County,14,1,3,0,0,0,0,1,0,6,1,2,0
120516001,1216001,12,5,16,1,"Richmond, Subd. C",14,1,3,0,0,0,0,1,0,6,1,2,0
120517000,1217000,12,5,17,0,Cape Breton County,86,10,14,0,3,0,0,7,6,36,2,7,1
120517030,1217030,12,5,17,30,Cape Breton,86,10,14,0,3,0,0,7,6,36,2,7,1
120518000,1218000,12,5,18,0,Victoria County,28,6,7,0,1,0,0,1,1,10,1,0,1
120518001,1218001,12,5,18,1,"Victoria, Subd. B",28,6,7,0,1,0,0,1,1,10,1,0,1
130000000,1300000,13,0,0,0,New Brunswick - Nouveau-Brunswick,"2,775",399,758,75,79,3,22,449,232,542,54,83,79
130100000,1300000,13,1,0,0,Agricultural Region 1 - RÇgion agricole 1,"1,053",114,275,26,33,2,11,305,44,185,13,14,31
130110000,1310000,13,1,10,0,York County,287,48,77,8,13,0,0,18,25,81,6,4,7
130110004,1310004,13,1,10,4,Manners Sutton,32,6,14,1,0,0,0,2,1,7,0,0,1
130110011,1310011,13,1,10,11,Canterbury,15,0,6,1,0,0,0,1,0,5,1,0,1
130110016,1310016,13,1,10,16,Prince William,18,5,6,0,0,0,0,0,3,3,0,0,1
130110018,1310018,13,1,10,18,Kingsclear,26,3,3,0,1,0,0,1,4,12,1,1,0
130110021,1310021,13,1,10,21,Queensbury,27,5,10,3,3,0,0,1,1,4,0,0,0
130110024,1310024,13,1,10,24,Southampton,27,4,13,0,1,0,0,1,0,6,1,0,1
130110026,1310026,13,1,10,26,Bright,41,10,5,1,3,0,0,3,7,8,1,3,0
130110028,1310028,13,1,10,28,Douglas,38,6,8,0,3,0,0,2,4,13,2,0,0
130110031,1310031,13,1,10,31,Saint Marys,18,2,5,1,0,0,0,4,0,5,0,0,1
130110032,1310032,13,1,10,32,Fredericton,18,3,1,1,1,0,0,2,2,7,0,0,1
130110036,1310036,13,1,10,36,Stanley,27,4,6,0,1,0,0,1,3,11,0,0,1
130111000,1311000,13,1,11,0,Carleton County,415,35,145,9,4,0,4,137,12,47,5,4,13
130111001,1311001,13,1,11,1,Richmond,33,6,17,0,1,0,0,3,1,3,1,0,1
130111004,1311004,13,1,11,4,Woodstock,35,2,10,0,0,0,2,6,1,11,1,0,2
130111008,1311008,13,1,11,8,Northampton,20,2,12,0,0,0,0,1,2,1,0,2,0
130111011,1311011,13,1,11,11,Brighton,37,5,14,0,0,0,0,10,4,4,0,0,0
130111014,1311014,13,1,11,14,Wakefield,62,3,17,1,2,0,1,31,1,4,1,0,1
130111018,1311018,13,1,11,18,Wilmot,44,5,13,4,0,0,0,17,1,3,0,0,1
130111021,1311021,13,1,11,21,Simonds,17,1,7,0,0,0,0,7,0,2,0,0,0
130111024,1311024,13,1,11,24,Peel,32,5,11,0,1,0,0,8,1,2,2,1,1
130111026,1311026,13,1,11,26,Aberdeen,29,2,10,1,0,0,0,11,0,4,0,0,1
130111028,1311028,13,1,11,28,Kent,68,2,22,0,0,0,0,28,1,10,0,1,4
130111031,1311031,13,1,11,31,Wicklow,38,2,12,3,0,0,1,15,0,3,0,0,2
130112000,1312000,13,1,12,0,Victoria County,186,6,32,0,0,2,5,103,4,23,2,3,6
130112001,1312001,13,1,12,1,Andover,19,1,2,0,0,0,1,8,2,4,0,1,0
130112004,1312004,13,1,12,4,Perth,29,1,10,0,0,0,0,8,0,8,1,0,1
130112008,1312008,13,1,12,8,Gordon,25,2,6,0,0,0,0,10,0,6,0,0,1
130112014,1312014,13,1,12,14,Denmark,35,1,6,0,0,0,2,22,2,0,0,1,1
130112016,1312016,13,1,12,16,Grand Falls,31,0,7,0,0,1,1,17,0,2,0,0,3
130112021,1312021,13,1,12,21,Drummond,47,1,1,0,0,1,1,38,0,3,1,1,0
130113000,1313000,13,1,13,0,Madawaska County,165,25,21,9,16,0,2,47,3,34,0,3,5
130113001,1313001,13,1,13,1,Saint-AndrÇ,38,5,2,0,0,0,0,29,0,2,0,0,0
130113004,1313004,13,1,13,4,Saint-LÇonard,13,2,3,0,0,0,0,6,1,0,0,0,1
130113011,1313011,13,1,13,11,Sainte-Anne,15,4,1,0,0,0,0,3,1,4,0,1,1
130113015,1313015,13,1,13,15,Riviäre-Verte,24,6,6,0,0,0,0,4,0,5,0,1,2
130113022,1313022,13,1,13,22,Saint-Joseph,23,1,4,6,1,0,0,1,1,8,0,1,0
130113038,1313038,13,1,13,38,Clair,20,3,0,1,3,0,1,3,0,8,0,0,1
130113041,1313041,13,1,13,41,Saint-Franáois,32,4,5,2,12,0,1,1,0,7,0,0,0
130200000,1300000,13,2,0,0,Agricultural Region 2 - RÇgion agricole 2,744,160,192,20,22,1,3,59,83,133,20,30,21
130202000,1302000,13,2,2,0,Charlotte County,109,0,17,0,2,0,0,3,51,30,2,2,2
130202011,1302011,13,2,2,11,Pennfield,23,0,0,0,1,0,0,1,14,5,0,2,0
130202016,1302016,13,2,2,16,Saint George,15,0,0,0,0,0,0,0,14,1,0,0,0
130202034,1302034,13,2,2,34,Saint Stephen,12,0,1,0,0,0,0,1,3,7,0,0,0
130202039,1302039,13,2,2,39,Saint James,17,0,5,0,0,0,0,0,2,9,0,0,1
130202042,1302042,13,2,2,42,Saint David,27,0,7,0,1,0,0,0,12,4,2,0,1
130202044,1302044,13,2,2,44,Dumbarton,15,0,4,0,0,0,0,1,6,4,0,0,0
130203000,1303000,13,2,3,0,Sunbury County,80,11,16,0,3,0,0,7,6,18,3,10,6
130203001,1303001,13,2,3,1,Blissville,16,2,4,0,1,0,0,2,0,5,1,0,1
130203004,1303004,13,2,3,4,Gladstone,10,3,2,0,1,0,0,1,1,1,0,0,1
130203008,1303008,13,2,3,8,Lincoln,16,1,5,0,1,0,0,2,1,5,0,1,0
130203011,1303011,13,2,3,11,Burton,11,1,3,0,0,0,0,0,2,3,0,1,1
130203016,1303016,13,2,3,16,Maugerville,27,4,2,0,0,0,0,2,2,4,2,8,3
130204000,1304000,13,2,4,0,Queens County,119,9,45,1,5,0,0,12,12,20,4,4,7
130204004,1304004,13,2,4,4,Gagetown,13,1,4,0,0,0,0,0,5,2,1,0,0
130204006,1304006,13,2,4,6,Hampstead,21,1,8,0,2,0,0,4,2,3,0,0,1
130204008,1304008,13,2,4,8,Wickham,14,4,6,0,0,0,0,0,1,2,1,0,0
130204011,1304011,13,2,4,11,Cambridge,31,0,11,0,1,0,0,5,2,6,1,1,4
130204018,1304018,13,2,4,18,Waterborough,23,1,12,1,1,0,0,1,0,4,0,2,1
130204024,1304024,13,2,4,24,Chipman,17,2,4,0,1,0,0,2,2,3,1,1,1
130205000,1305000,13,2,5,0,Kings County,436,140,114,19,12,1,3,37,14,65,11,14,6
130205004,1305004,13,2,5,4,Upham,39,3,15,1,0,0,1,6,2,9,0,2,0
130205006,1305006,13,2,5,6,Hampton,20,3,7,0,0,0,1,1,0,5,1,1,1
130205014,1305014,13,2,5,14,Kingston,16,3,5,0,2,0,0,1,1,0,2,2,0
130205016,1305016,13,2,5,16,Norton,15,7,0,0,0,0,0,1,2,3,2,0,0
130205018,1305018,13,2,5,18,Norton,27,11,6,2,0,0,0,6,0,0,1,1,0
130205021,1305021,13,2,5,21,Sussex,49,21,8,1,1,1,1,3,1,10,0,2,0
130205024,1305024,13,2,5,24,Waterford,16,5,8,1,0,0,0,1,0,1,0,0,0
130205026,1305026,13,2,5,26,Cardwell,26,10,4,2,0,0,0,3,1,4,0,1,1
130205028,1305028,13,2,5,28,Havelock,44,14,12,9,0,0,0,1,2,3,2,0,1
130205031,1305031,13,2,5,31,Studholm,109,49,30,2,5,0,0,6,1,13,2,0,1
130205034,1305034,13,2,5,34,Springfield,32,7,9,1,1,0,0,3,2,5,0,3,1
130205036,1305036,13,2,5,36,Kars,15,3,7,0,2,0,0,1,1,0,1,0,0
130205038,1305038,13,2,5,38,Greenwich,13,2,2,0,1,0,0,2,0,4,0,2,0
130205056,1305056,13,2,5,56,Quispamsis,15,2,1,0,0,0,0,2,1,8,0,0,1
130300000,1300000,13,3,0,0,Agricultural Region 3 - RÇgion agricole 3,657,80,249,26,17,0,4,61,39,129,10,25,17
130306000,1306000,13,3,6,0,Albert County,106,11,32,3,4,0,0,5,5,37,1,4,4
130306001,1306001,13,3,6,1,Hopewell,34,0,17,1,2,0,0,2,1,9,0,1,1
130306008,1306008,13,3,6,8,Elgin,34,6,4,1,0,0,0,0,2,17,1,1,2
130306011,1306011,13,3,6,11,Hillsborough,15,2,6,1,0,0,0,1,0,3,0,1,1
130306014,1306014,13,3,6,14,Coverdale,23,3,5,0,2,0,0,2,2,8,0,1,0
130307000,1307000,13,3,7,0,Westmorland County,389,55,158,19,8,0,2,36,23,67,6,9,6
130307001,1307001,13,3,7,1,Westmorland,32,1,19,1,0,0,0,2,4,4,0,1,0
130307004,1307004,13,3,7,4,Botsford,41,1,15,5,1,0,0,10,0,6,1,1,1
130307008,1307008,13,3,7,8,Sackville,72,7,46,0,0,0,0,7,5,5,0,0,2
130307013,1307013,13,3,7,13,Memramcook,43,2,16,0,0,0,0,6,10,6,1,1,1
130307016,1307016,13,3,7,16,Shediac,46,7,13,6,1,0,1,2,2,8,1,4,1
130307019,1307019,13,3,7,19,Moncton,70,12,28,2,4,0,1,4,1,15,1,2,0
130307024,1307024,13,3,7,24,Salisbury,85,25,21,5,2,0,0,5,1,23,2,0,1
130308000,1308000,13,3,8,0,Kent County,162,14,59,4,5,0,2,20,11,25,3,12,7
130308001,1308001,13,3,8,1,Dundas,28,1,10,2,2,0,0,3,4,1,1,2,2
130308004,1308004,13,3,8,4,Wellington,20,2,7,0,0,0,1,2,1,2,0,3,2
130308006,1308006,13,3,8,6,Saint Mary,28,2,16,0,0,0,0,5,1,3,0,1,0
130308008,1308008,13,3,8,8,Saint-Paul,25,1,3,1,2,0,0,3,3,7,0,4,1
130308014,1308014,13,3,8,14,Weldford,40,6,20,1,0,0,1,5,0,5,1,0,1
