AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTFAREA,TFAREA,ETFAREA,NAOWNED,AOWNED,EAOWNED,NTOTLSRT,TOTLSRT,ETOTLSRT,NALSDGOV,ALSDGOV,EALSDGOV,NARNTED,ARNTED,EARNTED,NTOTUSE,TOTUSE,ETOTUSE,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NUNIMPST,UNIMPST,EUNIMPST,NOTHLND,OTHLND,EOTHLND,NIRRIG,IRRIG,EIRRIG,NFERTIL,FERTIL,EFERTIL,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NFUNGIC,FUNGIC,EFUNGIC,NMSOLID,MSOLID,EMSOLID,NMIRRIG,MIRRIG,EMIRRIG,NMLIQSUR,MLIQSUR,EMLIQSUR,NMLIQINJ,MLIQINJ,EMLIQINJ,NCROPROT,NPRMGRAS,NCOVCROP,NCONTOUR,NSTRIPCR,NGRASWAT,NWINDYES,NTILARS,TILARS,ETILARS,NTILCONV,TILCONV,ETILCONV,NTILCONS,TILCONS,ETILCONS,NTILLNO,TILLNO,ETILLNO,NCHEMSF,CHEMSF,ECHEMSF,NTILLSF,TILLSF,ETILLSF,NCOMBSF,COMBSF,ECOMBSF
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,"6,547","2,649",33,"2,599","1,052",16,"3,948","1,598",15,"3,853","1,559",6,95,38,40,"6,547","2,649",27,"1,169",473,2,x,x,6,626,253,13,666,270,33,x,x,6,63,25,21,643,260,10,189,76,14,218,88,5,73,30,15,280,113,0,0,0,3,x,x,0,0,0,13,9,0,5,0,0,0,20,269,109,18,252,102,4,x,x,1,x,x,1,x,x,1,x,x,1,x,x
100101519,1001519,10,1,1,519,St. John's,168,"17,929","7,256",141,"4,503","1,822",80,"13,426","5,433",56,"12,097","4,895",47,"1,329",538,168,"17,929","7,256",130,"4,617","1,868",5,27,11,39,"1,194",483,41,"1,621",656,133,"10,470","4,237",8,31,13,102,"4,679","1,894",36,182,74,42,138,56,7,25,10,94,"2,386",966,0,0,0,27,"2,257",913,0,0,0,71,54,7,7,3,3,14,84,485,196,69,425,172,17,x,x,6,x,x,0,0,0,4,x,x,1,x,x
100102000,1002000,10,1,2,0,Division No.  2,29,"7,630","3,088",18,324,131,19,"7,306","2,957",18,"7,238","2,929",5,68,28,29,"7,630","3,088",14,123,50,0,0,0,5,403,163,11,241,98,25,"6,863","2,777",2,x,x,15,266,108,6,39,16,5,25,10,2,x,x,12,54,22,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,8,65,26,7,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,"7,630","3,088",18,324,131,19,"7,306","2,957",18,"7,238","2,929",5,68,28,29,"7,630","3,088",14,123,50,0,0,0,5,403,163,11,241,98,25,"6,863","2,777",2,x,x,15,266,108,6,39,16,5,25,10,2,x,x,12,54,22,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,8,65,26,7,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,"16,536","6,692",136,"6,633","2,684",117,"9,903","4,008",108,"9,320","3,772",20,583,236,206,"16,536","6,692",122,"4,209","1,703",9,87,35,25,640,259,40,"1,524",617,174,"10,076","4,078",16,112,45,100,"3,007","1,217",47,703,284,47,417,169,9,117,47,42,587,238,1,x,x,10,412,167,0,0,0,69,44,7,6,1,1,20,78,934,378,70,804,325,8,55,22,3,75,30,1,x,x,7,75,30,2,x,x
100206000,1006000,10,2,6,0,Division No.  6,46,"4,033","1,632",27,"3,002","1,215",26,"1,031",417,23,960,388,3,71,29,46,"4,033","1,632",29,895,362,1,x,x,5,61,25,7,94,38,44,x,x,4,5,2,18,599,242,7,90,36,5,31,13,2,x,x,9,147,59,1,x,x,2,x,x,0,0,0,13,10,3,2,0,0,8,15,191,77,15,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,"4,033","1,632",27,"3,002","1,215",26,"1,031",417,23,960,388,3,71,29,46,"4,033","1,632",29,895,362,1,x,x,5,61,25,7,94,38,44,x,x,4,5,2,18,599,242,7,90,36,5,31,13,2,x,x,9,147,59,1,x,x,2,x,x,0,0,0,13,10,3,2,0,0,8,15,191,77,15,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x
100207000,1007000,10,2,7,0,Division No.  7,87,"7,284","2,948",67,"2,536","1,026",46,"4,748","1,921",41,"4,454","1,802",11,294,119,87,"7,284","2,948",50,"2,609","1,056",4,68,28,11,306,124,16,742,300,72,"3,559","1,440",8,88,36,44,"1,804",730,22,395,160,20,235,95,5,89,36,16,362,146,0,0,0,6,329,133,0,0,0,30,20,1,2,0,0,5,32,413,167,28,x,x,3,x,x,1,x,x,0,0,0,3,x,x,1,x,x
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,"1,469",594,22,533,216,12,936,379,11,x,x,1,x,x,27,"1,469",594,9,150,61,0,0,0,4,115,47,9,510,206,23,694,281,2,x,x,7,246,100,3,44,18,3,42,17,2,x,x,8,x,x,0,0,0,2,x,x,0,0,0,4,5,0,0,0,0,3,3,29,12,3,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,"3,687","1,492",26,"1,385",560,19,"2,302",932,18,"2,075",840,6,227,92,30,"3,687","1,492",19,"1,093",442,1,x,x,6,x,x,4,x,x,27,x,x,1,x,x,19,"1,142",462,7,219,89,8,107,43,1,x,x,6,246,100,0,0,0,4,x,x,0,0,0,12,10,0,2,0,0,2,14,281,114,11,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,"2,128",861,19,618,250,15,"1,510",611,12,x,x,4,x,x,30,"2,128",861,22,"1,366",553,3,x,x,1,x,x,3,x,x,22,x,x,5,52,21,18,416,168,12,132,53,9,86,35,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,14,5,1,0,0,0,0,15,103,42,14,x,x,1,x,x,0,0,0,0,0,0,2,x,x,1,x,x
100208000,1008000,10,2,8,0,Division No.  8,73,"5,219","2,112",42,"1,095",443,45,"4,124","1,669",44,"3,906","1,581",6,218,88,73,"5,219","2,112",43,705,285,4,x,x,9,273,110,17,688,278,58,x,x,4,19,8,38,604,244,18,218,88,22,151,61,2,x,x,17,78,32,0,0,0,2,x,x,0,0,0,26,14,3,2,1,1,7,31,330,134,27,x,x,5,x,x,1,x,x,1,x,x,4,x,x,0,0,0
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,230,93,15,108,44,9,122,49,9,x,x,1,x,x,21,230,93,9,29,12,0,0,0,2,x,x,6,82,33,14,x,x,0,0,0,5,16,6,2,x,x,2,x,x,0,0,0,4,13,5,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,5,13,5,4,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,"2,307",934,14,494,200,16,"1,813",734,15,x,x,2,x,x,24,"2,307",934,13,400,162,2,x,x,3,123,50,6,288,117,19,x,x,1,x,x,12,281,114,7,x,x,6,x,x,1,x,x,8,46,19,0,0,0,1,x,x,0,0,0,9,6,2,0,1,1,3,10,152,62,9,141,57,3,11,4,0,0,0,0,0,0,2,x,x,0,0,0
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,"2,682","1,085",13,493,200,20,"2,189",886,20,"2,135",864,3,54,22,28,"2,682","1,085",21,276,112,2,x,x,4,x,x,5,318,129,25,x,x,3,x,x,21,307,124,9,109,44,14,91,37,1,x,x,5,19,8,0,0,0,1,x,x,0,0,0,14,6,1,2,0,0,3,16,165,67,14,x,x,2,x,x,0,0,0,1,x,x,2,x,x,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,"25,277","10,229",123,"12,132","4,910",105,"13,145","5,320",87,"11,446","4,632",28,"1,699",688,170,"25,277","10,229",131,"6,198","2,508",8,57,23,42,"2,157",873,53,"2,492","1,008",150,"14,373","5,817",15,125,51,105,"6,010","2,432",41,533,216,34,339,137,14,148,60,68,"2,477","1,002",0,0,0,14,"1,137",460,0,0,0,52,54,6,7,0,5,21,69,715,289,60,630,255,10,73,30,4,12,5,1,x,x,4,19,8,4,x,x
100304000,1004000,10,3,4,0,Division No.  4,65,"11,031","4,464",55,"6,475","2,620",32,"4,556","1,844",19,"3,066","1,241",21,"1,490",603,65,"11,031","4,464",55,"1,993",807,1,x,x,17,"1,125",455,21,"1,165",471,57,x,x,4,24,10,40,"2,248",910,19,182,74,16,132,53,3,19,8,23,270,109,0,0,0,3,290,117,0,0,0,25,14,5,3,0,1,9,35,331,134,31,264,107,7,x,x,1,x,x,0,0,0,0,0,0,1,x,x
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,"3,972","1,607",19,"2,950","1,194",9,"1,022",414,4,703,284,6,319,129,22,"3,972","1,607",18,472,191,0,0,0,4,198,80,10,746,302,21,"2,556","1,034",3,x,x,14,932,377,5,11,4,2,x,x,0,0,0,11,199,81,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,2,8,34,14,7,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,"7,059","2,857",36,"3,525","1,427",23,"3,534","1,430",15,"2,363",956,15,"1,171",474,43,"7,059","2,857",37,"1,521",616,1,x,x,13,927,375,11,419,170,36,x,x,1,x,x,26,"1,316",533,14,171,69,14,x,x,3,19,8,12,71,29,0,0,0,3,290,117,0,0,0,19,10,5,1,0,1,7,27,297,120,24,x,x,6,x,x,1,x,x,0,0,0,0,0,0,1,x,x
100305000,1005000,10,3,5,0,Division No.  5,105,"14,246","5,765",68,"5,657","2,289",73,"8,589","3,476",68,"8,380","3,391",7,209,85,105,"14,246","5,765",76,"4,205","1,702",7,x,x,25,"1,032",418,32,"1,327",537,93,x,x,11,101,41,65,"3,762","1,522",22,351,142,18,207,84,11,129,52,45,"2,207",893,0,0,0,11,847,343,0,0,0,27,40,1,4,0,4,12,34,384,155,29,366,148,3,x,x,3,x,x,1,x,x,4,19,8,3,18,7
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,"7,961","3,222",37,"3,399","1,376",34,"4,562","1,846",32,x,x,2,x,x,47,"7,961","3,222",41,"2,892","1,170",4,29,12,12,462,187,17,679,275,42,"3,899","1,578",2,x,x,36,"2,814","1,139",13,244,99,10,151,61,4,82,33,25,"1,625",658,0,0,0,6,465,188,0,0,0,13,20,0,2,0,2,5,16,179,72,13,171,69,2,x,x,2,x,x,1,x,x,2,x,x,2,x,x
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,"2,863","1,159",16,940,380,16,"1,923",778,13,"1,781",721,4,142,57,27,"2,863","1,159",18,821,332,1,x,x,6,390,158,4,78,32,23,x,x,7,82,33,19,631,255,9,107,43,7,x,x,7,47,19,9,444,180,0,0,0,3,x,x,0,0,0,8,9,1,2,0,2,4,10,97,39,9,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,"3,422","1,385",15,"1,318",533,23,"2,104",851,23,x,x,1,x,x,31,"3,422","1,385",17,492,199,2,x,x,7,180,73,11,570,231,28,x,x,2,x,x,10,317,128,0,0,0,1,x,x,0,0,0,11,138,56,0,0,0,2,x,x,0,0,0,6,11,0,0,0,0,3,8,108,44,7,x,x,0,0,0,1,x,x,0,0,0,2,x,x,0,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217","655,365","265,217","2,139","472,242","191,110","1,039","183,123","74,107",153,"21,685","8,776",994,"161,438","65,332","2,217","655,365","265,217","1,938","420,971","170,361",37,903,365,681,"29,221","11,825",840,"38,194","15,457","1,930","166,076","67,209",35,"2,684","1,086","1,534","295,393","119,541","1,212","225,772","91,367",691,"115,888","46,898",588,"109,638","44,369","1,507","68,354","27,662",3,97,39,130,"11,734","4,749",3,7,3,"1,561",781,227,218,174,313,396,"1,607","288,684","116,826","1,416","236,609","95,752",316,"46,914","18,985",56,"5,161","2,089",5,120,49,25,494,200,9,289,117
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,"127,642","51,655",366,"93,598","37,878",165,"34,044","13,777",29,"3,489","1,412",153,"30,555","12,365",373,"127,642","51,655",327,"70,923","28,702",8,269,109,97,"4,563","1,847",125,"5,693","2,304",338,"46,194","18,694",1,x,x,239,"48,702","19,709",197,"37,619","15,224",90,"18,085","7,319",87,"18,564","7,513",207,"7,147","2,892",1,x,x,18,"1,953",790,1,x,x,251,111,44,33,21,41,62,269,"49,072","19,859",232,"38,573","15,610",62,"10,148","4,107",5,351,142,1,x,x,5,x,x,2,x,x
110101000,1101000,11,1,1,0,Kings County,373,"127,642","51,655",366,"93,598","37,878",165,"34,044","13,777",29,"3,489","1,412",153,"30,555","12,365",373,"127,642","51,655",327,"70,923","28,702",8,269,109,97,"4,563","1,847",125,"5,693","2,304",338,"46,194","18,694",1,x,x,239,"48,702","19,709",197,"37,619","15,224",90,"18,085","7,319",87,"18,564","7,513",207,"7,147","2,892",1,x,x,18,"1,953",790,1,x,x,251,111,44,33,21,41,62,269,"49,072","19,859",232,"38,573","15,610",62,"10,148","4,107",5,351,142,1,x,x,5,x,x,2,x,x
110101001,1101001,11,1,1,1,Lot 64,27,"4,359","1,764",27,"3,121","1,263",7,"1,238",501,1,x,x,7,x,x,27,"4,359","1,764",24,"2,093",847,0,0,0,5,498,202,10,248,100,25,"1,520",615,0,0,0,13,"1,332",539,12,"1,080",437,4,766,310,2,x,x,14,162,66,0,0,0,0,0,0,0,0,0,20,8,1,0,2,2,5,21,"1,572",636,18,"1,293",523,4,279,113,0,0,0,0,0,0,0,0,0,0,0,0
110101006,1101006,11,1,1,6,Lot 63,19,"7,275","2,944",18,"3,821","1,546",8,"3,454","1,398",1,x,x,7,x,x,19,"7,275","2,944",18,"4,188","1,695",1,x,x,2,x,x,5,x,x,18,x,x,0,0,0,12,"3,794","1,535",12,"2,605","1,054",6,"1,247",505,5,"1,274",516,10,653,264,0,0,0,0,0,0,0,0,0,14,4,5,1,2,3,5,13,"3,591","1,453",10,"1,569",635,4,"2,022",818,0,0,0,0,0,0,0,0,0,1,x,x
110101008,1101008,11,1,1,8,Lot 61,19,"3,666","1,484",19,"3,131","1,267",7,535,217,1,x,x,7,x,x,19,"3,666","1,484",18,"1,656",670,0,0,0,3,138,56,8,339,137,14,"1,533",620,0,0,0,15,"1,145",463,9,593,240,1,x,x,2,x,x,12,227,92,0,0,0,1,x,x,0,0,0,11,3,1,0,1,0,1,16,950,384,14,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
110101009,1101009,11,1,1,9,Lot 59,31,"7,005","2,835",30,"4,810","1,947",15,"2,195",888,2,x,x,14,x,x,31,"7,005","2,835",24,"3,998","1,618",1,x,x,8,434,176,4,136,55,30,x,x,1,x,x,20,"3,029","1,226",16,"1,990",805,11,581,235,12,662,268,16,432,175,0,0,0,2,x,x,0,0,0,21,11,9,3,2,5,8,20,"3,172","1,284",17,"1,978",800,7,x,x,2,x,x,0,0,0,1,x,x,0,0,0
110101014,1101014,11,1,1,14,Lot 51,27,"11,643","4,712",27,"7,558","3,059",10,"4,085","1,653",1,x,x,10,x,x,27,"11,643","4,712",25,"7,249","2,934",0,0,0,8,310,125,8,573,232,26,"3,511","1,421",0,0,0,19,"4,612","1,866",14,"3,027","1,225",8,"1,416",573,7,"1,484",601,15,522,211,1,x,x,3,80,32,0,0,0,18,7,2,3,0,1,2,22,"5,735","2,321",19,"5,373","2,174",4,362,146,0,0,0,0,0,0,0,0,0,0,0,0
110101016,1101016,11,1,1,16,Lot 52,29,"6,622","2,680",29,"4,589","1,857",17,"2,033",823,1,x,x,16,x,x,29,"6,622","2,680",22,"3,631","1,469",1,x,x,6,463,187,8,117,47,27,x,x,0,0,0,16,"3,084","1,248",15,"2,061",834,7,827,335,7,990,401,11,277,112,0,0,0,4,624,253,0,0,0,14,10,2,4,0,5,4,16,"2,711","1,097",14,"1,780",720,3,x,x,1,x,x,0,0,0,1,x,x,0,0,0
110101019,1101019,11,1,1,19,Lot 53,16,"4,699","1,902",16,"4,051","1,639",3,648,262,0,0,0,3,648,262,16,"4,699","1,902",12,"3,117","1,261",0,0,0,3,140,57,6,117,47,12,"1,325",536,0,0,0,8,"2,592","1,049",8,"2,342",948,4,"1,097",444,3,560,227,10,290,117,0,0,0,4,499,202,1,x,x,9,6,2,2,0,0,2,9,"2,446",990,9,"1,908",772,4,538,218,0,0,0,0,0,0,0,0,0,0,0,0
110101026,1101026,11,1,1,26,Lot 54,25,"6,989","2,828",25,"6,015","2,434",7,974,394,2,x,x,5,x,x,25,"6,989","2,828",22,"2,440",987,1,x,x,13,612,248,14,837,339,24,x,x,0,0,0,15,"2,079",841,11,"1,188",481,3,435,176,1,x,x,15,491,199,0,0,0,2,x,x,0,0,0,17,5,3,2,0,2,4,16,"1,312",531,12,"1,121",454,4,x,x,1,x,x,1,x,x,0,0,0,0,0,0
110101028,1101028,11,1,1,28,Lot 55,18,"3,922","1,587",17,"2,975","1,204",10,947,383,1,x,x,9,x,x,18,"3,922","1,587",16,"1,876",759,0,0,0,3,86,35,11,445,180,15,"1,515",613,0,0,0,11,"1,222",495,10,901,365,2,x,x,3,103,42,15,329,133,0,0,0,1,x,x,0,0,0,14,5,1,2,1,3,3,12,802,325,12,802,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101029,1101029,11,1,1,29,Lot 56,17,"6,012","2,433",17,"4,895","1,981",6,"1,117",452,1,x,x,6,x,x,17,"6,012","2,433",15,"2,979","1,206",0,0,0,9,381,154,5,137,55,15,"2,515","1,018",0,0,0,12,"1,176",476,9,992,401,1,x,x,2,x,x,10,432,175,0,0,0,0,0,0,0,0,0,13,5,0,2,0,1,3,14,"1,315",532,11,867,351,4,x,x,1,x,x,0,0,0,0,0,0,0,0,0
