AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTOTFCAP,TOTFCAP,NVALULB,VALULB,NVLBOWN,VLBOWN,NVLBRNT,VLBRNT,NVALMCH,VALMCH,NVALLVSK,VALLVSK,NCAPITAL,CAPITAL,NCAPBLDG,CAPBLDG,NCAPQUOT,CAPQUOT,NCAPLAND,CAPLAND,NCAPLDIM,CAPLDIM,NNEWCAR,NEWCAR,NNEWTRUK,NEWTRUK,NNEWMACH,NEWMACH,NUSEDVEH,USEDVEH
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,"12,738,345",40,"10,365,198",33,"9,053,188",16,"1,312,010",40,"1,577,827",18,"795,320",13,"608,145",8,"153,820",1,x,0,0,5,x,0,0,1,x,5,"233,479",4,"4,946"
100101519,1001519,10,1,1,519,St. John's,168,"65,574,028",168,"51,814,675",148,"37,455,203",80,"14,359,472",161,"8,917,614",92,"4,841,739",58,"2,918,391",31,"1,040,147",2,x,4,"211,000",18,x,5,x,10,"193,815",18,"673,151",18,"454,050"
100102000,1002000,10,1,2,0,Division No.  2,29,"3,666,776",29,"2,959,800",20,"1,946,300",19,"1,013,500",28,"527,300",15,"179,676",9,"49,139",6,"12,061",0,0,0,0,4,"4,441",0,0,0,0,2,x,3,x
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,"3,666,776",29,"2,959,800",20,"1,946,300",19,"1,013,500",28,"527,300",15,"179,676",9,"49,139",6,"12,061",0,0,0,0,4,"4,441",0,0,0,0,2,x,3,x
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,"37,663,247",206,"27,940,139",157,"20,498,212",118,"7,441,927",183,"7,348,963",100,"2,374,145",70,"1,239,949",38,"247,838",2,x,6,"181,800",17,"46,149",5,x,6,"133,000",20,"329,319",25,"194,483"
100206000,1006000,10,2,6,0,Division No.  6,46,"10,038,036",46,"7,389,502",31,"5,090,002",26,"2,299,500",42,"2,145,867",19,"502,667",17,"454,682",9,"70,746",1,x,2,x,7,"16,750",2,x,0,0,5,"54,384",11,"92,802"
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,"10,038,036",46,"7,389,502",31,"5,090,002",26,"2,299,500",42,"2,145,867",19,"502,667",17,"454,682",9,"70,746",1,x,2,x,7,"16,750",2,x,0,0,5,"54,384",11,"92,802"
100207000,1007000,10,2,7,0,Division No.  7,87,"18,219,394",87,"13,121,587",73,"10,011,450",47,"3,110,137",78,"3,693,942",41,"1,403,865",27,"532,797",16,"91,780",1,x,2,x,7,x,2,x,4,x,9,"216,335",7,"83,882"
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,"5,460,961",27,"4,250,950",24,"3,413,750",13,"837,200",24,"646,792",21,"563,219",10,"152,405",7,"40,605",0,0,0,0,4,"10,000",1,x,0,0,2,x,3,x
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,"9,539,710",30,"6,706,650",28,"4,879,700",19,"1,826,950",27,"2,020,250",15,"812,810",8,"222,790",5,"39,173",0,0,1,x,3,x,1,x,1,x,4,"92,835",2,x
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,"3,218,722",30,"2,163,987",21,"1,718,000",15,"445,987",27,"1,026,900",5,"27,835",9,"157,602",4,"12,002",1,x,1,x,0,0,0,0,3,"63,000",3,x,2,x
100208000,1008000,10,2,8,0,Division No.  8,73,"9,405,817",73,"7,429,050",53,"5,396,760",45,"2,032,290",63,"1,509,154",40,"467,613",26,"252,470",13,"85,312",0,0,2,x,3,x,1,x,2,x,6,"58,600",7,"17,799"
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,"1,612,461",21,"1,298,700",17,"1,038,700",9,"260,000",18,"233,857",14,"79,904",8,"34,625",5,x,0,0,0,0,0,0,0,0,0,0,2,x,3,x
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,"4,290,823",24,"3,520,240",17,"2,609,650",16,"910,590",20,"596,409",14,"174,174",10,"84,715",6,"39,512",0,0,1,x,2,x,0,0,0,0,1,x,3,"7,574"
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,"3,502,533",28,"2,610,110",19,"1,748,410",20,"861,700",25,"678,888",12,"213,535",8,"133,130",2,x,0,0,1,x,1,x,1,x,2,x,3,"28,000",1,x
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,"45,348,844",170,"31,457,955",136,"22,630,959",105,"8,826,996",161,"9,085,292",96,"4,805,597",56,"2,347,562",30,"398,442",3,x,4,"89,770",14,"151,900",1,x,9,"189,750",15,"611,467",19,"329,775"
100304000,1004000,10,3,4,0,Division No.  4,65,"15,160,599",65,"11,177,077",56,"8,988,597",32,"2,188,480",64,"2,857,629",36,"1,125,893",16,"612,809",13,"86,944",1,x,2,x,6,x,0,0,2,x,2,x,5,x
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,"4,894,334",22,"3,965,726",19,"3,581,096",9,"384,630",22,"544,650",12,"383,958",3,x,3,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,"10,266,266",43,"7,211,351",37,"5,407,501",23,"1,803,850",42,"2,312,979",24,"741,936",13,x,10,x,1,x,2,x,5,x,0,0,2,x,2,x,5,x
100305000,1005000,10,3,5,0,Division No.  5,105,"30,188,244",105,"20,280,878",80,"13,642,362",73,"6,638,516",97,"6,227,663",60,"3,679,703",40,"1,734,753",17,"311,498",2,x,2,x,8,x,1,x,7,x,13,x,14,x
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,"19,401,590",47,"13,414,525",40,"9,643,735",34,"3,770,790",47,"3,672,414",27,"2,314,651",21,"1,006,106",8,"213,898",1,x,2,x,2,x,0,0,4,"96,300",7,"289,608",8,"159,830"
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,"6,298,289",27,"3,781,951",18,"2,370,625",16,"1,411,326",25,"1,670,850",11,"845,488",9,"597,558",3,x,1,x,0,0,3,"51,850",1,x,2,x,4,"153,300",3,x
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,"4,488,365",31,"3,084,402",22,"1,628,002",23,"1,456,400",25,"884,399",22,"519,564",10,"131,089",6,x,0,0,0,0,3,x,0,0,1,x,2,x,3,"5,300"
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217","1,417,138,775","2,217","1,072,281,310","2,158","828,880,447","1,062","243,400,863","2,154","269,385,644","1,686","75,471,821","1,091","75,322,788",550,"14,871,304",119,"3,092,056",186,"21,862,400",198,"1,569,127",81,"1,686,716",108,"2,398,335",502,"19,594,145",581,"10,248,705"
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,"219,977,543",373,"163,839,764",369,"124,209,353",171,"39,630,411",363,"45,558,039",247,"10,579,740",171,"17,213,464",84,"2,095,149",11,"167,703",49,"7,283,735",29,"266,124",14,"301,400",22,"499,199",80,"4,112,805",87,"2,487,349"
110101000,1101000,11,1,1,0,Kings County,373,"219,977,543",373,"163,839,764",369,"124,209,353",171,"39,630,411",363,"45,558,039",247,"10,579,740",171,"17,213,464",84,"2,095,149",11,"167,703",49,"7,283,735",29,"266,124",14,"301,400",22,"499,199",80,"4,112,805",87,"2,487,349"
110101001,1101001,11,1,1,1,Lot 64,27,"8,000,965",27,"6,312,750",27,"3,413,750",7,"2,899,000",25,"1,511,217",14,"176,998",8,"561,330",4,x,0,0,3,x,1,x,0,0,0,0,2,x,3,x
110101006,1101006,11,1,1,6,Lot 63,19,"8,772,856",19,"6,198,808",18,"4,615,200",8,"1,583,608",19,"2,099,791",13,"474,257",10,"768,138",5,"105,997",2,x,3,"67,800",2,x,0,0,0,0,8,"387,650",5,"184,600"
110101008,1101008,11,1,1,8,Lot 61,19,"5,123,898",19,"3,726,000",19,"2,993,400",7,"732,600",19,"1,011,451",13,"386,447",4,"111,153",2,x,1,x,0,0,0,0,0,0,1,x,2,x,1,x
110101009,1101009,11,1,1,9,Lot 59,31,"13,092,520",31,"9,581,400",30,"7,806,800",15,"1,774,600",31,"2,873,167",17,"637,953",14,"530,183",10,"151,200",0,0,3,x,1,x,0,0,0,0,4,x,8,"119,577"
110101014,1101014,11,1,1,14,Lot 51,27,"19,326,261",27,"15,548,390",27,"10,096,790",10,"5,451,600",25,"2,914,629",19,"863,242",12,"657,371",7,"58,070",1,x,2,x,3,x,2,x,2,x,5,"352,175",9,"133,045"
110101016,1101016,11,1,1,16,Lot 52,29,"13,878,605",29,"9,954,150",29,"7,384,600",17,"2,569,550",28,"2,815,299",19,"1,109,156",13,"761,378",3,x,0,0,1,x,3,x,1,x,5,"109,505",7,"243,022",4,"22,525"
110101019,1101019,11,1,1,19,Lot 53,16,"8,726,120",16,"6,350,351",16,"5,414,350",5,"936,001",14,"1,929,172",13,"446,597",8,"891,404",6,"219,004",1,x,2,x,0,0,2,x,1,x,4,"234,500",3,x
110101026,1101026,11,1,1,26,Lot 54,25,"9,019,695",25,"6,200,309",25,"5,146,309",7,"1,054,000",24,"2,176,232",23,"643,154",11,"836,693",8,"176,406",0,0,3,x,1,x,0,0,3,x,4,"224,023",6,"124,664"
110101028,1101028,11,1,1,28,Lot 55,18,"6,614,569",18,"4,654,200",18,"3,602,400",11,"1,051,800",18,"1,408,600",16,"551,769",9,"348,183",4,x,1,x,2,x,2,x,1,x,0,0,6,"176,800",3,"28,500"
110101029,1101029,11,1,1,29,Lot 56,17,"11,308,928",17,"7,837,500",17,"6,431,000",7,"1,406,500",17,"1,863,600",16,"1,607,828",10,"403,413",3,x,0,0,2,x,2,x,0,0,0,0,4,"23,600",8,"180,910"
110101032,1101032,11,1,1,32,Lot 44,29,"19,919,529",29,"14,780,193",29,"11,594,212",14,"3,185,981",27,"4,650,693",15,"488,643",14,"1,634,133",3,"55,236",1,x,5,"1,101,643",1,x,4,"108,000",1,x,4,x,5,x
110101034,1101034,11,1,1,34,Lot 45,19,"23,487,104",19,"18,076,600",17,"12,887,600",14,"5,189,000",19,"5,008,598",10,"401,906",12,"2,783,597",3,x,0,0,6,"1,680,603",2,x,1,x,4,"93,842",8,"503,246",8,"456,208"
110101039,1101039,11,1,1,39,Lot 47,19,"20,002,485",19,"15,524,100",19,"10,706,100",15,"4,818,000",19,"4,196,200",10,"282,185",15,"2,686,098",8,x,1,x,6,"1,602,000",4,x,1,x,0,0,5,"351,000",7,"422,250"
110101042,1101042,11,1,1,42,Lot 41,22,"14,448,173",22,"10,820,700",22,"9,490,200",11,"1,330,500",22,"2,948,501",16,"678,972",11,"1,101,528",6,x,1,x,3,x,3,x,2,x,0,0,3,x,7,"241,400"
110101046,1101046,11,1,1,46,Lot 40,19,"19,137,017",19,"13,658,042",19,"10,022,842",8,"3,635,200",19,"4,348,709",13,"1,130,266",7,"1,984,613",4,x,0,0,4,"774,100",2,x,0,0,3,x,7,"580,890",5,"336,273"
110101049,1101049,11,1,1,49,Lot 39,17,"9,387,948",17,"7,066,971",17,"5,752,000",6,"1,314,971",17,"2,083,275",6,"237,702",6,"744,804",4,"158,104",0,0,3,x,1,x,0,0,2,x,4,"302,200",2,x
110101051,1101051,11,1,1,51,Lot 38,20,"9,730,870",20,"7,549,300",20,"6,851,800",9,"697,500",20,"1,718,905",14,"462,665",7,"409,445",4,"75,745",2,x,1,x,1,x,0,0,0,0,3,x,3,x
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088","593,824,916","1,088","437,706,005","1,060","341,008,855",515,"96,697,150","1,059","113,813,334",880,"42,305,577",506,"28,044,048",262,"6,593,423",65,"1,955,011",64,"6,891,776",67,"331,040",34,"682,985",45,"989,613",226,"7,596,909",246,"3,003,291"
110202000,1102000,11,2,2,0,Queens County,"1,088","593,824,916","1,088","437,706,005","1,060","341,008,855",515,"96,697,150","1,059","113,813,334",880,"42,305,577",506,"28,044,048",262,"6,593,423",65,"1,955,011",64,"6,891,776",67,"331,040",34,"682,985",45,"989,613",226,"7,596,909",246,"3,003,291"
110202001,1102001,11,2,2,1,Lot 62,16,"5,589,860",16,"3,728,850",16,"3,503,850",5,"225,000",16,"1,558,649",8,"302,361",10,"105,309",3,x,0,0,0,0,1,x,1,x,2,x,4,"11,850",6,"33,610"
110202004,1102004,11,2,2,4,Lot 60,17,"8,318,507",17,"6,023,600",17,"4,475,600",8,"1,548,000",17,"1,830,284",11,"464,623",10,"1,029,739",6,"305,254",0,0,4,"374,000",2,x,2,x,1,x,3,x,6,"47,996"
110202006,1102006,11,2,2,6,Lot 58,19,"7,449,942",19,"5,747,362",18,"4,480,862",10,"1,266,500",18,"1,292,460",13,"410,120",4,x,2,x,0,0,1,x,1,x,0,0,1,x,1,x,3,x
110202008,1102008,11,2,2,8,Lot 57,49,"31,438,882",49,"23,901,705",46,"16,302,505",28,"7,599,200",49,"6,453,001",31,"1,084,176",25,"2,090,525",11,"172,725",3,x,3,x,3,"3,677",3,"85,000",1,x,13,"628,218",11,"292,917"
110202009,1102009,11,2,2,9,Lot 50,57,"33,789,762",57,"23,685,880",55,"18,976,380",35,"4,709,500",57,"7,168,360",54,"2,935,522",32,"1,618,528",19,"289,699",7,"230,665",6,"198,295",5,x,5,"77,225",2,x,17,"549,177",19,"217,907"
110202012,1102012,11,2,2,12,Lot 49,37,"30,353,441",37,"22,448,600",37,"17,381,900",20,"5,066,700",36,"6,047,750",33,"1,857,091",18,"702,771",10,"333,339",2,x,0,0,3,x,0,0,2,x,10,"209,827",10,"93,050"
110202014,1102014,11,2,2,14,Lot 48,64,"22,881,304",64,"17,310,196",63,"13,584,746",26,"3,725,450",62,"3,690,201",54,"1,880,907",26,"626,167",14,"227,073",2,x,2,x,2,x,0,0,0,0,4,"102,000",14,"150,094"
110202026,1102026,11,2,2,26,Lot 31,94,"46,845,832",94,"33,477,401",89,"25,878,000",43,"7,599,401",92,"10,019,601",80,"3,348,830",41,"2,644,863",26,"740,959",4,"69,661",3,"126,950",5,"15,347",3,"50,000",6,"196,010",17,"807,479",25,"638,457"
110202028,1102028,11,2,2,28,Lot 65,49,"19,953,966",49,"14,218,000",48,"11,390,400",31,"2,827,600",49,"4,339,634",41,"1,396,332",24,"726,316",13,"84,218",2,x,3,"394,000",2,x,1,x,1,x,8,"130,221",11,x
110202029,1102029,11,2,2,29,Lot 30,49,"15,517,798",49,"11,311,600",47,"8,825,400",22,"2,486,200",49,"2,827,714",42,"1,378,484",22,"1,783,374",12,x,2,x,3,"205,000",0,0,2,x,1,x,9,"506,232",13,"107,672"
110202031,1102031,11,2,2,31,Lot 29,50,"21,213,962",50,"15,618,085",49,"13,779,235",16,"1,838,850",50,"4,375,898",35,"1,219,979",23,"391,884",11,"104,461",2,x,0,0,3,x,1,x,4,"65,191",12,"153,083",8,"36,375"
110202036,1102036,11,2,2,36,Lot 67,69,"33,115,502",69,"24,649,525",69,"22,220,025",18,"2,429,500",68,"5,194,250",63,"3,271,727",25,"941,169",9,"87,944",6,"110,750",4,"248,200",2,x,1,x,0,0,11,"362,612",12,"103,541"
110202038,1102038,11,2,2,38,Lot 20,46,"54,849,217",46,"41,043,485",45,"27,678,986",25,"13,364,499",46,"11,032,939",39,"2,772,793",25,"2,460,801",10,"390,175",4,x,2,x,1,x,1,x,6,"179,168",14,"607,840",9,"89,927"
110202039,1102039,11,2,2,39,Lot 21,30,"21,248,776",30,"17,215,980",28,"11,000,480",13,"6,215,500",28,"3,254,250",23,"778,546",13,"1,696,974",9,"481,485",1,x,2,x,3,x,0,0,1,x,8,"361,315",5,"77,100"
110202040,1102040,11,2,2,40,Miltonvale Park,31,"12,774,802",31,"9,397,602",31,"8,094,538",15,"1,303,064",31,"2,435,583",26,"941,617",19,"820,828",7,"23,520",5,"61,162",3,"339,000",1,x,1,x,2,x,13,"308,834",7,"56,900"
110202041,1102041,11,2,2,41,Lot 22,33,"16,664,418",33,"11,950,777",33,"9,406,977",21,"2,543,800",30,"3,284,450",30,"1,429,191",16,"435,795",8,"119,754",4,"49,726",4,"78,500",4,"5,647",1,x,2,x,7,"93,487",12,"60,753"
110202042,1102042,11,2,2,42,Lot 23,50,"24,320,539",50,"17,667,350",50,"14,077,000",24,"3,590,350",47,"4,000,352",44,"2,652,837",25,"885,145",11,"203,480",5,"165,190",2,x,5,"23,680",3,x,4,"82,393",10,"206,402",8,"46,500"
110202044,1102044,11,2,2,44,Lot 24,65,"31,296,776",65,"23,093,404",64,"18,538,850",29,"4,554,554",62,"5,476,298",55,"2,727,074",30,"1,665,468",17,"425,650",5,"294,694",5,"382,000",5,"39,972",2,x,2,x,10,"150,936",16,"318,620"
110202049,1102049,11,2,2,49,Lot 33,75,"55,510,211",75,"42,101,810",72,"32,268,910",37,"9,832,900",73,"10,186,540",53,"3,221,861",37,"2,559,529",17,"623,669",3,x,6,"646,700",1,x,1,x,3,x,17,"879,882",13,"132,500"
110202052,1102052,11,2,2,52,Lot 34,59,"35,656,430",59,"26,545,533",57,"20,667,101",27,"5,878,432",53,"6,367,373",45,"2,743,524",35,"1,973,339",21,"443,429",3,"142,925",6,"544,000",4,x,4,"120,860",3,x,19,"447,703",17,"137,505"
110202054,1102054,11,2,2,54,Lot 35,32,"14,549,885",32,"10,893,600",32,"8,585,300",17,"2,308,300",31,"2,271,825",27,"1,384,460",14,"1,141,856",11,"183,359",2,x,2,x,5,"55,934",0,0,0,0,6,"291,857",4,x
110202056,1102056,11,2,2,56,Lot 36,39,"12,437,849",39,"8,749,450",39,"7,691,200",16,"1,058,250",39,"2,334,273",29,"1,354,126",14,"562,425",7,x,1,x,1,x,5,"6,114",1,x,0,0,6,"275,946",5,"24,455"
110202058,1102058,11,2,2,58,Lot 37,28,"13,387,337",28,"9,611,000",28,"8,595,800",8,"1,015,200",28,"2,961,649",20,"814,688",7,x,3,x,1,x,1,x,2,x,1,x,0,0,1,x,5,"91,100"
110202085,1102085,11,2,2,85,Cornwall,30,"24,659,914",30,"17,315,210",27,"13,604,810",21,"3,710,400",28,"5,410,000",24,"1,934,704",11,"675,298",5,"211,733",1,x,1,x,2,x,0,0,1,x,6,"231,794",7,x
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,756,"603,336,316",756,"470,735,541",729,"363,662,239",376,"107,073,302",732,"110,014,271",559,"22,586,504",414,"30,065,276",204,"6,182,732",43,"969,342",73,"7,686,889",102,"971,963",33,"702,331",41,"909,523",196,"7,884,431",248,"4,758,065"
110303000,1103000,11,3,3,0,Prince County,756,"603,336,316",756,"470,735,541",729,"363,662,239",376,"107,073,302",732,"110,014,271",559,"22,586,504",414,"30,065,276",204,"6,182,732",43,"969,342",73,"7,686,889",102,"971,963",33,"702,331",41,"909,523",196,"7,884,431",248,"4,758,065"
110303001,1103001,11,3,3,1,Lot 28,46,"51,773,750",46,"41,338,505",44,"36,989,100",26,"4,349,405",46,"9,163,201",28,"1,272,044",30,"2,366,775",16,"971,727",3,x,5,"245,000",4,x,4,"80,000",5,"79,000",18,"768,626",14,"87,600"
110303006,1103006,11,3,3,6,Lot 27,50,"55,881,383",50,"44,656,016",48,"35,215,922",26,"9,440,094",49,"10,060,510",32,"1,164,857",33,"2,115,907",9,"183,593",3,"57,528",5,"916,500",7,"113,984",3,"66,000",4,"84,119",20,"529,785",15,"164,398"
110303009,1103009,11,3,3,9,Lot 26,51,"58,050,282",51,"47,503,057",51,"34,100,502",28,"13,402,555",51,"9,609,390",34,"937,835",26,"2,299,940",14,"364,816",1,x,6,"608,000",12,"104,311",4,"109,000",5,x,14,"742,661",18,"227,350"
110303011,1103011,11,3,3,11,Lot 25,33,"35,799,967",33,"29,225,200",33,"22,176,200",16,"7,049,000",33,"5,449,950",23,"1,124,817",23,"1,947,697",12,"127,740",3,x,4,"950,000",4,x,0,0,0,0,9,"429,051",12,"284,054"
110303012,1103012,11,3,3,12,Lot 19,46,"35,936,308",46,"27,258,200",44,"19,462,500",28,"7,795,700",45,"7,196,723",36,"1,481,385",23,"1,133,862",8,"181,180",1,x,1,x,2,x,1,x,2,x,12,"619,811",10,"218,486"
110303016,1103016,11,3,3,16,Lot 18,44,"56,508,142",44,"44,723,759",41,"28,546,659",20,"16,177,100",42,"9,858,914",31,"1,925,469",28,"3,716,710",15,"496,587",1,x,6,"1,537,200",9,"201,628",4,"67,900",2,x,11,"535,794",17,"800,391"
110303019,1103019,11,3,3,19,Lot 17,52,"33,676,149",52,"25,215,341",51,"18,174,781",23,"7,040,560",49,"6,288,497",35,"2,172,311",17,"1,772,022",8,"484,047",1,x,4,"42,441",7,x,0,0,2,x,11,"948,112",11,"173,109"
110303028,1103028,11,3,3,28,Lot 16,34,"14,521,698",34,"10,739,200",34,"9,041,700",16,"1,697,500",34,"2,693,848",29,"1,088,650",17,"412,008",9,"57,054",2,x,2,x,3,x,1,x,0,0,4,"25,030",12,"149,367"
110303031,1103031,11,3,3,31,Lot 14,30,"21,809,708",30,"15,118,235",29,"10,656,235",12,"4,462,000",30,"5,450,510",23,"1,240,963",18,"1,182,738",11,"449,395",1,x,4,"173,500",3,"3,050",1,x,1,x,5,"298,568",8,"220,385"
110303032,1103032,11,3,3,32,Lot 13,41,"20,489,028",41,"14,039,901",41,"10,974,301",17,"3,065,600",41,"5,078,699",36,"1,370,428",26,"1,984,919",13,"528,730",4,x,2,x,6,"122,869",2,x,3,"84,875",15,"566,788",15,"171,139"
110303034,1103034,11,3,3,34,Lot 12,20,"4,599,460",20,"3,629,000",18,"2,670,200",11,"958,800",19,"731,700",18,"238,760",10,"96,001",8,"33,196",2,x,1,x,5,"8,570",0,0,1,x,1,x,4,"24,195"
110303036,1103036,11,3,3,36,Lot 11,22,"9,766,649",22,"7,346,400",22,"6,369,400",9,"977,000",18,"2,020,213",15,"400,036",12,"688,455",7,"28,449",4,x,2,x,4,"2,898",0,0,2,x,6,x,9,"243,075"
110303041,1103041,11,3,3,41,Lot  6,42,"37,488,165",42,"28,469,168",39,"21,870,800",29,"6,598,368",40,"7,914,572",29,"1,104,425",25,"2,068,804",12,"576,596",1,x,3,"214,000",5,"42,681",3,"80,000",2,x,16,"540,002",20,"492,727"
110303044,1103044,11,3,3,44,Lot  9,19,"6,774,933",19,"5,185,775",19,"4,661,775",7,"524,000",19,"1,247,701",16,"341,457",9,"332,414",3,"12,000",0,0,3,x,0,0,1,x,1,x,2,x,7,"68,175"
110303046,1103046,11,3,3,46,Lot  8,35,"28,797,109",35,"22,632,363",32,"18,130,163",23,"4,502,200",35,"5,138,734",26,"1,026,012",21,"1,298,741",8,"76,400",1,x,6,"566,850",3,x,3,"62,500",3,"83,576",9,"262,119",13,"202,443"
110303048,1103048,11,3,3,48,Lot  7,28,"16,543,067",28,"12,056,900",28,"9,209,900",17,"2,847,000",28,"3,514,156",22,"972,011",17,"1,329,134",7,"329,443",3,"111,118",3,"231,500",4,x,1,x,1,x,8,"174,619",16,"444,330"
110303049,1103049,11,3,3,49,Lot  5,26,"30,471,436",26,"26,771,712",24,"24,020,412",12,"2,751,300",25,"2,939,990",20,"759,734",11,"983,592",6,"180,871",3,"99,756",4,"324,342",3,x,0,0,2,x,7,"178,756",5,"140,338"
110303051,1103051,11,3,3,51,Lot  4,49,"45,496,559",49,"34,867,709",48,"27,999,489",27,"6,868,220",46,"8,555,097",39,"2,073,753",32,"2,663,998",16,"446,465",3,"66,300",7,"791,500",11,"91,666",3,x,2,x,16,"768,592",22,"378,875"
