AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NXMSAREA,XMSAREA,EXMSAREA,NXMASTRE,XMASTRE,NMAPLET,MAPLET,NVFTPROD,VFTPROD
110202009,1102009,11,2,2,9,Lot 50,57,0,0,0,0,0,0,0,2,x
110202012,1102012,11,2,2,12,Lot 49,37,0,0,0,0,0,0,0,6,"54,990"
110202014,1102014,11,2,2,14,Lot 48,64,1,x,x,1,x,0,0,2,x
110202026,1102026,11,2,2,26,Lot 31,94,0,0,0,0,0,2,x,2,x
110202028,1102028,11,2,2,28,Lot 65,49,1,x,x,1,x,0,0,3,x
110202029,1102029,11,2,2,29,Lot 30,49,0,0,0,0,0,0,0,8,"57,096"
110202031,1102031,11,2,2,31,Lot 29,50,1,x,x,0,0,0,0,6,"12,350"
110202036,1102036,11,2,2,36,Lot 67,69,0,0,0,0,0,0,0,5,"10,267"
110202038,1102038,11,2,2,38,Lot 20,46,0,0,0,0,0,0,0,1,x
110202039,1102039,11,2,2,39,Lot 21,30,0,0,0,0,0,0,0,2,x
110202040,1102040,11,2,2,40,Miltonvale Park,31,0,0,0,0,0,1,x,1,x
110202041,1102041,11,2,2,41,Lot 22,33,0,0,0,0,0,0,0,3,"6,842"
110202042,1102042,11,2,2,42,Lot 23,50,4,x,x,1,x,0,0,5,"22,309"
110202044,1102044,11,2,2,44,Lot 24,65,2,x,x,1,x,0,0,1,x
110202049,1102049,11,2,2,49,Lot 33,75,0,0,0,0,0,0,0,1,x
110202052,1102052,11,2,2,52,Lot 34,59,2,x,x,1,x,0,0,6,"57,920"
110202054,1102054,11,2,2,54,Lot 35,32,1,x,x,0,0,0,0,4,x
110202056,1102056,11,2,2,56,Lot 36,39,0,0,0,0,0,0,0,6,"17,546"
110202058,1102058,11,2,2,58,Lot 37,28,0,0,0,0,0,0,0,5,"8,226"
110202085,1102085,11,2,2,85,Cornwall,30,1,x,x,0,0,0,0,1,x
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,756,11,50,20,7,436,2,x,48,"160,181"
110303000,1103000,11,3,3,0,Prince County,756,11,50,20,7,436,2,x,48,"160,181"
110303001,1103001,11,3,3,1,Lot 28,46,0,0,0,0,0,0,0,0,0
110303006,1103006,11,3,3,6,Lot 27,50,2,x,x,1,x,0,0,4,"10,249"
110303009,1103009,11,3,3,9,Lot 26,51,2,x,x,2,x,0,0,5,"11,000"
110303011,1103011,11,3,3,11,Lot 25,33,0,0,0,0,0,0,0,0,0
110303012,1103012,11,3,3,12,Lot 19,46,1,x,x,1,x,0,0,1,x
110303016,1103016,11,3,3,16,Lot 18,44,0,0,0,0,0,0,0,5,"12,833"
110303019,1103019,11,3,3,19,Lot 17,52,3,15,6,1,x,1,x,8,"49,001"
110303028,1103028,11,3,3,28,Lot 16,34,0,0,0,0,0,0,0,4,"13,165"
110303031,1103031,11,3,3,31,Lot 14,30,1,x,x,0,0,0,0,1,x
110303032,1103032,11,3,3,32,Lot 13,41,0,0,0,0,0,0,0,1,x
110303034,1103034,11,3,3,34,Lot 12,20,0,0,0,0,0,0,0,2,x
110303036,1103036,11,3,3,36,Lot 11,22,1,x,x,1,x,0,0,3,x
110303041,1103041,11,3,3,41,Lot  6,42,1,x,x,1,x,0,0,2,x
110303044,1103044,11,3,3,44,Lot  9,19,0,0,0,0,0,0,0,2,x
110303046,1103046,11,3,3,46,Lot  8,35,0,0,0,0,0,0,0,3,"10,250"
110303048,1103048,11,3,3,48,Lot  7,28,0,0,0,0,0,0,0,1,x
110303049,1103049,11,3,3,49,Lot  5,26,0,0,0,0,0,0,0,2,x
110303051,1103051,11,3,3,51,Lot  4,49,0,0,0,0,0,0,0,3,x
110303054,1103054,11,3,3,54,Lot  3,33,0,0,0,0,0,0,0,1,x
110303056,1103056,11,3,3,56,Lot  2,16,0,0,0,0,0,0,0,0,0
110303058,1103058,11,3,3,58,Lot  1,39,0,0,0,0,0,1,x,0,0
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,"4,453",808,"28,618","11,581",590,"937,845",118,"292,330","1,195","13,083,341"
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,802,345,"12,085","4,891",277,"397,739",15,x,260,"2,620,326"
120101000,1201000,12,1,1,0,Shelburne County,29,9,251,102,7,"6,789",0,0,7,"51,510"
120101006,1201006,12,1,1,6,Shelburne,29,9,251,102,7,"6,789",0,0,7,"51,510"
120102000,1202000,12,1,2,0,Yarmouth County,133,19,371,150,16,"8,873",5,321,29,"152,211"
120102001,1202001,12,1,2,1,Argyle,36,5,52,21,5,"3,595",2,x,8,"27,264"
120102004,1202004,12,1,2,4,Yarmouth,97,14,319,129,11,"5,278",3,x,21,"124,947"
120103000,1203000,12,1,3,0,Digby County,132,30,486,197,22,"11,224",2,x,30,"403,803"
120103001,1203001,12,1,3,1,Clare,80,20,347,140,13,"8,703",0,0,12,"90,675"
120103004,1203004,12,1,3,4,Digby,52,10,139,56,9,"2,521",2,x,18,"313,128"
120104000,1204000,12,1,4,0,Queens County,58,26,951,385,17,"22,783",1,x,22,"133,208"
120104008,1204008,12,1,4,8,"Queens, Subd. B",58,26,951,385,17,"22,783",1,x,22,"133,208"
120106000,1206000,12,1,6,0,Lunenburg County,450,261,"10,026","4,057",215,"348,070",7,359,172,"1,879,594"
120106001,1206001,12,1,6,1,Lunenburg,315,148,"5,918","2,395",118,"183,492",4,141,111,"1,082,217"
120106009,1206009,12,1,6,9,Chester,135,113,"4,108","1,662",97,"164,578",3,218,61,"797,377"
120200000,1200000,12,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,371",99,"5,481","2,218",61,"251,410",27,"15,304",281,"2,748,843"
120205000,1205000,12,2,5,0,Annapolis County,271,28,"3,789","1,533",15,x,8,"10,841",61,"434,374"
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",33,11,x,x,6,x,1,x,8,"91,922"
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",75,6,x,x,2,x,7,x,23,"122,659"
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",89,6,111,45,3,225,0,0,17,"159,630"
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",74,5,70,28,4,x,0,0,13,"60,163"
120207000,1207000,12,2,7,0,Kings County,707,50,"1,081",437,31,x,10,"2,592",109,"1,268,103"
120207001,1207001,12,2,7,1,"Kings, Subd. A",347,23,728,295,15,"29,224",7,79,51,"846,271"
120207011,1207011,12,2,7,11,"Kings, Subd. C",50,9,154,62,7,x,0,0,10,"84,711"
120207016,1207016,12,2,7,16,"Kings, Subd. B",205,10,116,47,6,x,1,x,26,"186,248"
120207021,1207021,12,2,7,21,"Kings, Subd. D",105,8,83,34,3,570,2,x,22,"150,873"
120208000,1208000,12,2,8,0,Hants County,393,21,611,247,15,x,9,"1,871",111,"1,046,366"
120208001,1208001,12,2,8,1,West Hants,189,8,183,74,6,x,1,x,43,"296,193"
120208008,1208008,12,2,8,8,East Hants,204,13,428,173,9,"10,104",8,x,68,"750,173"
120300000,1200000,12,3,0,0,Agricultural Region 3 - RÇgion agricole 3,"1,304",120,"3,534","1,430",79,"109,367",60,"253,801",342,"4,049,087"
120309000,1209000,12,3,9,0,Halifax County,210,34,814,329,24,"19,940",3,"1,211",44,"359,120"
120309012,1209012,12,3,9,12,"Halifax, Subd. C",23,4,21,8,3,104,0,0,3,x
120309018,1209018,12,3,9,18,"Halifax, Subd. D",35,5,34,14,3,585,0,0,3,x
120309026,1209026,12,3,9,26,"Halifax, Subd. E",54,5,44,18,3,370,1,x,7,"124,013"
120309031,1209031,12,3,9,31,"Halifax, Subd. F",65,12,574,232,9,"16,898",0,0,20,"95,684"
120309036,1209036,12,3,9,36,"Halifax, Subd. G",33,8,141,57,6,"1,983",2,x,11,"100,889"
120310000,1210000,12,3,10,0,Colchester County,538,57,"2,291",927,37,"77,364",16,"48,621",155,"1,629,103"
120310001,1210001,12,3,10,1,"Colchester, Subd. C",206,20,960,388,14,"42,484",5,"3,375",76,"840,158"
120310008,1210008,12,3,10,8,"Colchester, Subd. B",187,21,879,356,15,"31,325",7,"38,750",46,"501,845"
120310012,1210012,12,3,10,12,"Colchester, Subd. A",145,16,452,183,8,"3,555",4,"6,496",33,"287,100"
120311000,1211000,12,3,11,0,Cumberland County,556,29,429,174,18,"12,063",41,"203,969",143,"2,060,864"
120311001,1211001,12,3,11,1,"Cumberland, Subd. A",93,4,104,42,2,x,5,"10,200",22,"476,287"
120311006,1211006,12,3,11,6,"Cumberland, Subd. B",186,13,173,70,8,"8,005",22,"101,983",50,"832,114"
120311009,1211009,12,3,11,9,"Cumberland, Subd. C",167,8,100,40,6,"2,955",9,"71,216",37,"343,197"
120311014,1211014,12,3,11,14,"Cumberland, Subd. D",110,4,52,21,2,x,5,"20,570",34,"409,266"
120400000,1200000,12,4,0,0,Agricultural Region 4 - RÇgion agricole 4,690,217,"6,914","2,798",154,"168,460",7,"3,718",259,"3,403,525"
120412000,1212000,12,4,12,0,Pictou County,343,41,885,358,26,"29,751",4,"3,612",90,"948,214"
120412001,1212001,12,4,12,1,"Pictou, Subd. A",151,6,32,13,2,x,1,x,31,"265,265"
120412006,1212006,12,4,12,6,"Pictou, Subd. B",94,16,487,197,10,"19,235",2,x,29,"270,838"
120412011,1212011,12,4,12,11,"Pictou, Subd. C",98,19,366,148,14,x,1,x,30,"412,111"
120413000,1213000,12,4,13,0,Guysborough County,100,78,"2,704","1,094",63,"80,296",1,x,47,"823,234"
120413001,1213001,12,4,13,1,St. Mary's,33,22,618,250,15,"16,215",0,0,18,"332,611"
120413004,1213004,12,4,13,4,Guysborough,67,56,"2,086",844,48,"64,081",1,x,29,"490,623"
120414000,1214000,12,4,14,0,Antigonish County,247,98,"3,325","1,346",65,"58,413",2,x,122,"1,632,077"
120414001,1214001,12,4,14,1,"Antigonish, Subd. A",155,58,"1,838",744,35,"32,059",1,x,71,"676,287"
120414006,1214006,12,4,14,6,"Antigonish, Subd. B",92,40,"1,487",602,30,"26,354",1,x,51,"955,790"
120500000,1200000,12,5,0,0,Agricultural Region 5 - RÇgion agricole 5,286,27,604,244,19,"10,869",9,x,53,"261,560"
120515000,1215000,12,5,15,0,Inverness County,130,10,x,x,8,"7,879",7,"15,727",34,"205,239"
120515001,1215001,12,5,15,1,"Inverness, Subd. C",25,1,x,x,1,x,0,0,8,"38,689"
120515006,1215006,12,5,15,6,"Inverness, Subd. B",69,6,94,38,5,x,3,"8,002",15,"83,928"
120515011,1215011,12,5,15,11,"Inverness, Subd. A",36,3,146,59,2,x,4,"7,725",11,"82,622"
120516000,1216000,12,5,16,0,Richmond County,18,3,77,31,2,x,0,0,2,x
120516001,1216001,12,5,16,1,"Richmond, Subd. C",18,3,77,31,2,x,0,0,2,x
120517000,1217000,12,5,17,0,Cape Breton County,104,11,226,91,7,"1,672",1,x,13,"35,551"
120517030,1217030,12,5,17,30,Cape Breton,104,11,226,91,7,"1,672",1,x,13,"35,551"
120518000,1218000,12,5,18,0,Victoria County,34,3,x,x,2,x,1,x,4,x
120518001,1218001,12,5,18,1,"Victoria, Subd. B",34,3,x,x,2,x,1,x,4,x
130000000,1300000,13,0,0,0,New Brunswick - Nouveau-Brunswick,"3,405",390,"10,585","4,284",283,"340,798",174,"921,693",847,"6,606,446"
130100000,1300000,13,1,0,0,Agricultural Region 1 - RÇgion agricole 1,"1,249",164,"5,216","2,111",120,"188,922",59,"181,226",330,"2,936,248"
130110000,1310000,13,1,10,0,York County,366,58,"1,903",770,46,"42,273",24,"13,885",97,"824,121"
130110004,1310004,13,1,10,4,Manners Sutton,37,6,195,79,6,"2,802",0,0,9,"74,649"
130110011,1310011,13,1,10,11,Canterbury,19,3,258,104,2,x,0,0,6,"69,954"
130110016,1310016,13,1,10,16,Prince William,22,1,x,x,1,x,1,x,6,"46,027"
130110018,1310018,13,1,10,18,Kingsclear,35,13,132,53,8,"2,012",3,"4,075",9,"62,349"
130110021,1310021,13,1,10,21,Queensbury,37,5,102,41,3,x,6,"4,039",12,"83,938"
130110024,1310024,13,1,10,24,Southampton,32,1,x,x,1,x,1,x,17,"162,904"
130110026,1310026,13,1,10,26,Bright,52,4,71,29,3,x,5,"3,075",5,"32,690"
130110028,1310028,13,1,10,28,Douglas,44,6,309,125,6,"8,341",5,651,12,"114,010"
130110031,1310031,13,1,10,31,Saint Marys,25,2,x,x,2,x,2,x,6,"72,840"
130110032,1310032,13,1,10,32,Fredericton,25,5,118,48,3,x,0,0,4,"16,879"
130110036,1310036,13,1,10,36,Stanley,38,12,592,240,11,"18,074",1,x,11,"87,881"
130111000,1311000,13,1,11,0,Carleton County,474,45,"1,954",791,27,"79,382",11,"11,572",136,"1,341,751"
130111001,1311001,13,1,11,1,Richmond,42,5,49,20,2,x,3,"5,825",14,"132,036"
130111004,1311004,13,1,11,4,Woodstock,39,9,"1,150",465,5,x,1,x,10,"70,580"
130111008,1311008,13,1,11,8,Northampton,25,2,x,x,2,x,0,0,7,"99,566"
130111011,1311011,13,1,11,11,Brighton,41,4,77,31,2,x,0,0,19,"250,448"
130111014,1311014,13,1,11,14,Wakefield,70,6,120,49,4,"6,134",0,0,12,"128,326"
130111018,1311018,13,1,11,18,Wilmot,50,5,134,54,4,"5,860",1,x,14,"216,828"
130111021,1311021,13,1,11,21,Simonds,19,1,x,x,1,x,1,x,6,"73,269"
130111024,1311024,13,1,11,24,Peel,35,2,x,x,0,0,1,x,10,"36,937"
130111026,1311026,13,1,11,26,Aberdeen,34,1,x,x,0,0,2,x,13,"144,569"
130111028,1311028,13,1,11,28,Kent,75,6,178,72,6,"4,384",2,x,18,"126,788"
130111031,1311031,13,1,11,31,Wicklow,44,4,160,65,1,x,0,0,13,"62,404"
130112000,1312000,13,1,12,0,Victoria County,220,30,630,255,22,"28,658",5,"4,910",45,"316,900"
130112001,1312001,13,1,12,1,Andover,20,6,156,63,5,"6,308",1,x,5,x
130112004,1312004,13,1,12,4,Perth,39,9,193,78,8,"8,100",1,x,15,"85,402"
130112008,1312008,13,1,12,8,Gordon,38,9,155,63,6,x,2,x,8,"53,877"
130112014,1312014,13,1,12,14,Denmark,37,0,0,0,0,0,0,0,7,"57,982"
130112016,1312016,13,1,12,16,Grand Falls,38,4,x,x,3,x,0,0,8,"64,452"
130112021,1312021,13,1,12,21,Drummond,48,2,x,x,0,0,1,x,2,x
130113000,1313000,13,1,13,0,Madawaska County,189,31,729,295,25,"38,609",19,"150,859",52,"453,476"
130113001,1313001,13,1,13,1,Saint-AndrÇ,42,4,81,33,3,x,1,x,4,"21,114"
130113004,1313004,13,1,13,4,Saint-LÇonard,16,3,x,x,2,x,0,0,4,"55,055"
130113011,1313011,13,1,13,11,Sainte-Anne,18,5,145,59,4,"8,450",1,x,4,"11,644"
130113015,1313015,13,1,13,15,Riviäre-Verte,27,3,65,26,2,x,4,"104,999",9,"60,531"
130113022,1313022,13,1,13,22,Saint-Joseph,28,5,x,x,4,x,5,"24,000",12,"142,097"
130113038,1313038,13,1,13,38,Clair,24,4,144,58,3,"9,200",5,"13,200",10,"123,542"
130113041,1313041,13,1,13,41,Saint-Franáois,34,7,191,77,7,"10,240",3,x,9,"39,493"
130200000,1300000,13,2,0,0,Agricultural Region 2 - RÇgion agricole 2,957,106,"2,327",942,75,"59,499",25,"11,965",275,"1,848,351"
130202000,1302000,13,2,2,0,Charlotte County,150,39,"1,361",551,27,"25,657",4,76,41,"332,785"
130202011,1302011,13,2,2,11,Pennfield,33,2,x,x,2,x,0,0,3,x
130202016,1302016,13,2,2,16,Saint George,19,2,x,x,0,0,0,0,3,x
130202034,1302034,13,2,2,34,Saint Stephen,16,7,127,51,5,"5,700",2,x,5,"33,225"
130202039,1302039,13,2,2,39,Saint James,19,13,740,299,10,"9,784",0,0,9,"106,941"
130202042,1302042,13,2,2,42,Saint David,36,9,335,136,6,"6,873",1,x,9,"64,056"
130202044,1302044,13,2,2,44,Dumbarton,27,6,109,44,4,x,1,x,12,"90,877"
130203000,1303000,13,2,3,0,Sunbury County,120,14,231,93,11,"9,661",0,0,23,"314,042"
130203001,1303001,13,2,3,1,Blissville,32,11,204,83,10,x,0,0,6,"102,559"
130203004,1303004,13,2,3,4,Gladstone,18,0,0,0,0,0,0,0,5,"20,380"
130203008,1303008,13,2,3,8,Lincoln,24,2,x,x,1,x,0,0,3,"17,106"
130203011,1303011,13,2,3,11,Burton,17,1,x,x,0,0,0,0,4,"31,236"
130203016,1303016,13,2,3,16,Maugerville,29,0,0,0,0,0,0,0,5,"142,761"
130204000,1304000,13,2,4,0,Queens County,162,17,161,65,8,"1,150",5,199,51,"426,985"
130204004,1304004,13,2,4,4,Gagetown,19,2,x,x,2,x,2,x,6,"10,049"
130204006,1304006,13,2,4,6,Hampstead,28,4,36,15,1,x,2,x,6,"29,332"
130204008,1304008,13,2,4,8,Wickham,20,3,57,23,2,x,0,0,7,"136,632"
130204011,1304011,13,2,4,11,Cambridge,44,3,x,x,1,x,1,x,12,"142,462"
130204018,1304018,13,2,4,18,Waterborough,28,0,0,0,0,0,0,0,12,"66,443"
130204024,1304024,13,2,4,24,Chipman,23,5,42,17,2,x,0,0,8,"42,067"
130205000,1305000,13,2,5,0,Kings County,525,36,574,232,29,"23,031",16,"11,690",160,"774,539"
130205004,1305004,13,2,5,4,Upham,58,3,14,6,1,x,0,0,13,"78,752"
130205006,1305006,13,2,5,6,Hampton,24,1,x,x,1,x,0,0,5,"32,769"
130205014,1305014,13,2,5,14,Kingston,22,2,x,x,2,x,2,x,7,"56,652"
130205016,1305016,13,2,5,16,Norton,16,1,x,x,1,x,1,x,6,"23,880"
130205018,1305018,13,2,5,18,Norton,32,1,x,x,1,x,1,x,13,"30,268"
130205021,1305021,13,2,5,21,Sussex,58,8,175,71,8,"6,895",2,x,12,"105,634"
130205024,1305024,13,2,5,24,Waterford,21,1,x,x,1,x,1,x,6,"13,360"
130205026,1305026,13,2,5,26,Cardwell,30,1,x,x,0,0,0,0,10,"53,199"
130205028,1305028,13,2,5,28,Havelock,51,1,x,x,1,x,2,x,16,"79,219"
130205031,1305031,13,2,5,31,Studholm,119,4,35,14,4,"1,940",5,"2,288",46,"194,289"
130205034,1305034,13,2,5,34,Springfield,39,7,117,47,6,x,1,x,15,"58,879"
130205036,1305036,13,2,5,36,Kars,18,1,x,x,1,x,0,0,6,x
130205038,1305038,13,2,5,38,Greenwich,18,2,x,x,1,x,1,x,3,x
130205056,1305056,13,2,5,56,Quispamsis,19,3,65,26,1,x,0,0,2,x
130300000,1300000,13,3,0,0,Agricultural Region 3 - RÇgion agricole 3,787,56,"1,146",464,39,"44,745",42,"94,216",148,"866,236"
130306000,1306000,13,3,6,0,Albert County,139,14,242,98,8,"1,294",29,"78,810",28,"190,646"
130306001,1306001,13,3,6,1,Hopewell,36,1,x,x,0,0,0,0,3,x
130306008,1306008,13,3,6,8,Elgin,45,6,172,70,4,850,24,"63,760",17,"140,156"
130306011,1306011,13,3,6,11,Hillsborough,27,5,57,23,4,444,3,x,5,"11,473"
130306014,1306014,13,3,6,14,Coverdale,31,2,x,x,0,0,2,x,3,x
130307000,1307000,13,3,7,0,Westmorland County,465,25,451,183,20,"22,729",10,"14,256",79,"467,311"
130307001,1307001,13,3,7,1,Westmorland,43,3,x,x,2,x,0,0,5,"25,129"
130307004,1307004,13,3,7,4,Botsford,45,1,x,x,1,x,0,0,9,"41,424"
130307008,1307008,13,3,7,8,Sackville,83,3,84,34,2,x,2,x,10,"70,182"
130307013,1307013,13,3,7,13,Memramcook,53,1,x,x,1,x,0,0,5,"19,865"
130307016,1307016,13,3,7,16,Shediac,58,6,78,32,6,"6,128",0,0,10,"41,031"
130307019,1307019,13,3,7,19,Moncton,84,7,52,21,5,378,6,"8,714",18,"105,858"
130307024,1307024,13,3,7,24,Salisbury,99,4,156,63,3,x,2,x,22,"163,822"
130308000,1308000,13,3,8,0,Kent County,183,17,453,183,11,"20,722",3,"1,150",41,"208,279"
130308001,1308001,13,3,8,1,Dundas,34,0,0,0,0,0,0,0,5,x
130308004,1308004,13,3,8,4,Wellington,23,3,43,17,1,x,0,0,2,x
130308006,1308006,13,3,8,6,Saint Mary,32,1,x,x,1,x,2,x,8,"64,369"
130308008,1308008,13,3,8,8,Saint-Paul,29,9,344,139,7,x,1,x,6,"36,995"
130308014,1308014,13,3,8,14,Weldford,42,2,x,x,1,x,0,0,15,"69,763"
130308016,1308016,13,3,8,16,Richibucto,23,2,x,x,1,x,0,0,5,"17,622"
130400000,1300000,13,4,0,0,Agricultural Region 4 - RÇgion agricole 4,412,64,"1,896",767,49,"47,632",48,"634,286",94,"955,611"
130409000,1309000,13,4,9,0,Northumberland County,141,34,"1,311",531,26,"26,625",4,"5,620",30,"189,765"
130409004,1309004,13,4,9,4,Glenelg,23,3,86,35,2,x,0,0,9,"49,008"
130409024,1309024,13,4,9,24,Ludlow,18,5,112,45,5,"7,050",2,x,6,"39,804"
130409026,1309026,13,4,9,26,Southesk,24,2,x,x,1,x,1,x,9,"68,712"
130409031,1309031,13,4,9,31,Newcastle,29,3,x,x,3,865,0,0,0,0
130409036,1309036,13,4,9,36,Alnwick,47,21,"1,067",432,15,"16,460",1,x,6,"32,241"
130414000,1314000,13,4,14,0,Restigouche County,98,8,56,23,5,865,34,"595,016",34,"544,077"
130414001,1314001,13,4,14,1,Durham,27,5,40,16,4,x,2,x,4,"26,271"
130414008,1314008,13,4,14,8,Dalhousie,23,0,0,0,0,0,6,x,7,"54,357"
