AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TOTALM,TOTALF,ONE,ONEM,ONEF,TWO,TWOM,TWOF
120414000,1214000,12,4,14,0,Antigonish County,315,255,55,185,175,10,130,85,45
120414001,1214001,12,4,14,1,"Antigonish, Subd. A",200,165,30,115,110,5,80,55,25
120414006,1214006,12,4,14,6,"Antigonish, Subd. B",115,95,25,70,65,5,45,25,20
120500000,1200000,12,5,0,0,Agricultural Region 5 - RÇgion agricole 5,355,290,65,210,200,15,145,90,50
120515000,1215000,12,5,15,0,Inverness County,165,130,30,95,90,5,65,40,25
120515001,1215001,12,5,15,1,"Inverness, Subd. C",35,25,5,20,20,0,10,5,5
120515006,1215006,12,5,15,6,"Inverness, Subd. B",90,70,15,50,45,5,35,25,10
120515011,1215011,12,5,15,11,"Inverness, Subd. A",45,35,10,30,25,5,15,10,5
120516000,1216000,12,5,16,0,Richmond County,20,15,5,15,15,0,10,5,5
120516001,1216001,12,5,16,1,"Richmond, Subd. C",25,15,5,15,10,5,10,5,5
120517000,1217000,12,5,17,0,Cape Breton County,125,100,20,75,70,5,45,30,10
120517030,1217030,12,5,17,30,Cape Breton,125,105,20,80,70,5,45,35,15
120518000,1218000,12,5,18,0,Victoria County,45,40,10,20,25,0,25,15,10
120518001,1218001,12,5,18,1,"Victoria, Subd. B",50,35,10,25,25,0,20,15,10
130000000,1300000,13,0,0,0,New Brunswick - Nouveau-Brunswick,"4,340","3,650",690,"2,555","2,415",140,"1,785","1,235",545
130100000,1300000,13,1,0,0,Agricultural Region 1 - RÇgion agricole 1,"1,620","1,385",230,910,870,35,710,515,195
130110000,1310000,13,1,10,0,York County,485,395,95,255,240,20,225,155,75
130110004,1310004,13,1,10,4,Manners Sutton,50,40,5,25,25,0,20,10,10
130110011,1310011,13,1,10,11,Canterbury,20,20,0,15,15,0,10,5,5
130110016,1310016,13,1,10,16,Prince William,25,25,5,15,15,0,15,10,10
130110018,1310018,13,1,10,18,Kingsclear,45,35,10,25,25,5,25,15,10
130110021,1310021,13,1,10,21,Queensbury,50,40,10,25,30,0,25,15,10
130110024,1310024,13,1,10,24,Southampton,40,35,10,15,20,0,25,20,10
130110026,1310026,13,1,10,26,Bright,75,55,15,35,30,5,40,25,10
130110028,1310028,13,1,10,28,Douglas,55,50,10,35,35,0,20,15,5
130110031,1310031,13,1,10,31,Saint Marys,30,30,5,20,20,0,15,10,5
130110032,1310032,13,1,10,32,Fredericton,40,25,10,15,10,0,25,20,5
130110036,1310036,13,1,10,36,Stanley,45,40,10,30,30,0,20,10,5
130111000,1311000,13,1,11,0,Carleton County,615,540,80,355,345,10,260,190,70
130111001,1311001,13,1,11,1,Richmond,60,45,10,30,30,0,30,15,10
130111004,1311004,13,1,11,4,Woodstock,50,40,10,30,25,0,20,15,5
130111008,1311008,13,1,11,8,Northampton,25,25,5,20,20,0,10,5,5
130111011,1311011,13,1,11,11,Brighton,55,45,10,30,25,0,25,20,10
130111014,1311014,13,1,11,14,Wakefield,100,85,10,50,50,5,45,35,5
130111018,1311018,13,1,11,18,Wilmot,65,55,10,40,40,5,25,25,5
130111021,1311021,13,1,11,21,Simonds,25,20,5,15,15,0,10,5,0
130111024,1311024,13,1,11,24,Peel,45,45,10,25,25,0,20,15,5
130111026,1311026,13,1,11,26,Aberdeen,45,45,5,20,20,0,25,20,5
130111028,1311028,13,1,11,28,Kent,90,80,5,60,60,0,30,20,5
130111031,1311031,13,1,11,31,Wicklow,55,50,5,30,30,0,25,15,5
130112000,1312000,13,1,12,0,Victoria County,285,255,30,160,155,10,125,100,25
130112001,1312001,13,1,12,1,Andover,20,20,0,20,15,5,5,5,0
130112004,1312004,13,1,12,4,Perth,50,40,5,30,25,0,20,15,5
130112008,1312008,13,1,12,8,Gordon,50,45,5,25,25,0,30,25,5
130112014,1312014,13,1,12,14,Denmark,45,45,5,25,20,0,20,20,5
130112016,1312016,13,1,12,16,Grand Falls,60,50,5,25,20,0,30,30,5
130112021,1312021,13,1,12,21,Drummond,55,50,5,35,40,0,15,15,5
130113000,1313000,13,1,13,0,Madawaska County,230,205,30,140,135,0,95,70,25
130113001,1313001,13,1,13,1,Saint-AndrÇ,55,50,0,25,30,0,30,25,5
130113004,1313004,13,1,13,4,Saint-LÇonard,20,15,0,10,10,0,5,0,0
130113011,1313011,13,1,13,11,Sainte-Anne,25,20,10,10,10,0,15,10,5
130113015,1313015,13,1,13,15,Riviäre-Verte,30,25,5,25,25,0,5,5,5
130113022,1313022,13,1,13,22,Saint-Joseph,35,30,5,15,15,0,20,10,10
130113038,1313038,13,1,13,38,Clair,25,25,0,20,15,0,10,10,0
130113041,1313041,13,1,13,41,Saint-Franáois,35,30,10,30,25,0,15,10,5
130200000,1300000,13,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,210",985,220,730,670,60,485,320,165
130202000,1302000,13,2,2,0,Charlotte County,185,150,35,120,105,10,70,45,20
130202011,1302011,13,2,2,11,Pennfield,50,40,10,20,20,5,30,25,10
130202016,1302016,13,2,2,16,Saint George,25,15,5,15,15,5,5,0,0
130202034,1302034,13,2,2,34,Saint Stephen,20,20,5,10,10,0,10,10,5
130202039,1302039,13,2,2,39,Saint James,20,20,5,15,20,0,5,5,0
130202042,1302042,13,2,2,42,Saint David,40,35,5,30,25,0,5,5,5
130202044,1302044,13,2,2,44,Dumbarton,30,25,5,25,25,0,5,5,5
130203000,1303000,13,2,3,0,Sunbury County,150,125,25,95,85,5,55,35,15
130203001,1303001,13,2,3,1,Blissville,35,30,5,30,30,5,5,0,5
130203004,1303004,13,2,3,4,Gladstone,25,20,5,10,10,0,10,5,10
130203008,1303008,13,2,3,8,Lincoln,30,25,5,15,20,0,10,5,5
130203011,1303011,13,2,3,11,Burton,25,15,0,10,10,0,10,5,0
130203016,1303016,13,2,3,16,Maugerville,40,30,10,20,15,0,15,10,5
130204000,1304000,13,2,4,0,Queens County,210,175,35,120,115,5,90,60,30
130204004,1304004,13,2,4,4,Gagetown,25,20,0,15,15,0,15,10,5
130204006,1304006,13,2,4,6,Hampstead,35,30,5,25,25,0,10,10,5
130204008,1304008,13,2,4,8,Wickham,25,25,0,15,15,0,10,10,5
130204011,1304011,13,2,4,11,Cambridge,60,50,10,30,25,0,25,20,10
130204018,1304018,13,2,4,18,Waterborough,35,30,5,20,15,0,20,15,5
130204024,1304024,13,2,4,24,Chipman,30,20,5,20,15,5,15,10,5
130205000,1305000,13,2,5,0,Kings County,665,540,125,400,370,30,270,175,95
130205004,1305004,13,2,5,4,Upham,75,65,10,45,40,5,30,25,5
130205006,1305006,13,2,5,6,Hampton,35,25,10,15,15,0,20,10,5
130205014,1305014,13,2,5,14,Kingston,25,20,5,15,15,5,15,5,5
130205016,1305016,13,2,5,16,Norton,20,15,5,10,10,0,10,10,0
130205018,1305018,13,2,5,18,Norton,40,35,5,25,25,0,20,10,5
130205021,1305021,13,2,5,21,Sussex,75,65,15,45,45,0,30,15,15
130205024,1305024,13,2,5,24,Waterford,30,25,5,15,10,0,15,10,5
130205026,1305026,13,2,5,26,Cardwell,35,30,5,20,20,0,15,15,5
130205028,1305028,13,2,5,28,Havelock,65,45,15,40,35,5,25,10,10
130205031,1305031,13,2,5,31,Studholm,140,120,25,95,95,5,45,30,20
130205034,1305034,13,2,5,34,Springfield,50,40,5,30,25,0,20,20,5
130205036,1305036,13,2,5,36,Kars,25,25,5,10,15,0,10,10,0
130205038,1305038,13,2,5,38,Greenwich,25,15,10,15,15,5,5,5,5
130205056,1305056,13,2,5,56,Quispamsis,25,20,10,15,15,5,10,10,0
130300000,1300000,13,3,0,0,Agricultural Region 3 - RÇgion agricole 3,"1,010",840,170,590,560,35,425,285,135
130306000,1306000,13,3,6,0,Albert County,175,145,25,105,100,5,75,50,25
130306001,1306001,13,3,6,1,Hopewell,40,35,10,25,25,5,15,5,5
130306008,1306008,13,3,6,8,Elgin,60,50,15,30,30,0,35,20,10
130306011,1306011,13,3,6,11,Hillsborough,35,30,0,20,20,0,15,10,0
130306014,1306014,13,3,6,14,Coverdale,40,35,5,25,20,0,15,10,5
130307000,1307000,13,3,7,0,Westmorland County,595,490,105,350,335,15,240,150,85
130307001,1307001,13,3,7,1,Westmorland,60,45,10,30,30,0,30,15,15
130307004,1307004,13,3,7,4,Botsford,55,45,10,35,35,0,15,10,5
130307008,1307008,13,3,7,8,Sackville,100,85,20,65,60,5,35,25,15
130307013,1307013,13,3,7,13,Memramcook,65,55,10,40,40,0,25,15,10
130307016,1307016,13,3,7,16,Shediac,75,60,10,45,40,0,30,20,10
130307019,1307019,13,3,7,19,Moncton,110,95,20,60,60,5,50,35,15
130307024,1307024,13,3,7,24,Salisbury,130,105,20,75,70,5,55,35,20
130308000,1308000,13,3,8,0,Kent County,240,205,35,135,130,10,105,80,25
130308001,1308001,13,3,8,1,Dundas,45,40,5,25,25,5,20,20,5
130308004,1308004,13,3,8,4,Wellington,30,30,0,15,15,0,10,15,0
130308006,1308006,13,3,8,6,Saint Mary,40,35,5,30,25,0,10,5,5
130308008,1308008,13,3,8,8,Saint-Paul,40,35,10,20,20,0,25,20,5
130308014,1308014,13,3,8,14,Weldford,50,45,10,30,30,5,25,15,5
130308016,1308016,13,3,8,16,Richibucto,35,25,10,15,15,0,20,15,10
130400000,1300000,13,4,0,0,Agricultural Region 4 - RÇgion agricole 4,500,435,65,330,310,20,165,120,45
130409000,1309000,13,4,9,0,Northumberland County,160,145,15,120,110,10,40,35,10
130409004,1309004,13,4,9,4,Glenelg,25,25,0,20,15,5,10,5,0
130409024,1309024,13,4,9,24,Ludlow,25,15,5,15,15,0,5,5,5
130409026,1309026,13,4,9,26,Southesk,25,25,0,25,20,0,5,5,0
130409031,1309031,13,4,9,31,Newcastle,35,35,5,25,25,0,10,10,0
130409036,1309036,13,4,9,36,Alnwick,55,45,5,40,40,0,10,10,5
130414000,1314000,13,4,14,0,Restigouche County,125,110,15,75,75,0,50,35,10
130414001,1314001,13,4,14,1,Durham,30,30,5,25,20,0,10,10,5
130414008,1314008,13,4,14,8,Dalhousie,35,30,0,15,15,0,15,15,0
130414021,1314021,13,4,14,21,Saint-Quentin,60,55,10,40,40,0,20,15,10
130415000,1315000,13,4,15,0,Gloucester County,210,175,35,140,125,10,75,45,30
130415001,1315001,13,4,15,1,Saumarez,55,45,10,35,35,5,15,10,10
130415008,1315008,13,4,15,8,Bathurst,55,40,10,30,30,5,20,15,5
130415016,1315016,13,4,15,16,New Bandon,25,20,5,15,20,0,10,5,5
130415021,1315021,13,4,15,21,Saint-Isidore,40,35,5,20,20,0,15,10,5
130415026,1315026,13,4,15,26,Caraquet,40,30,5,30,25,5,15,5,5
240000000,2400000,24,0,0,0,Quebec - QuÇbec,"53,155","39,495","13,665","20,730","19,165","1,565","32,425","20,325","12,100"
240100000,2400000,24,1,0,0,Bas-Saint-Laurent,"3,760","2,800",950,"1,375","1,275",100,"2,380","1,525",855
240107000,2407000,24,1,7,0,La MatapÇdia,410,295,110,125,120,5,280,175,110
240107020,2407020,24,1,7,20,Saint-Jacques-le-Majeur-de-Causapscal,30,25,10,10,10,0,30,15,15
240107025,2407025,24,1,7,25,Saint-Raphaâl-d'Albertville,20,15,5,10,15,0,10,5,5
240107030,2407030,24,1,7,30,Saint-LÇon-le-Grand,35,25,15,10,10,0,30,15,10
240107040,2407040,24,1,7,40,Sainte-Iräne,60,45,20,25,25,0,35,20,15
240107047,2407047,24,1,7,47,Amqui,75,60,20,15,20,0,60,40,15
240107055,2407055,24,1,7,55,Saint-Edmond,35,25,10,5,10,0,30,20,10
240107070,2407070,24,1,7,70,Saint-Tharcisius,30,20,10,10,10,0,20,15,10
240107080,2407080,24,1,7,80,Val-Brillant,55,35,20,10,10,0,40,25,15
240107085,2407085,24,1,7,85,Sayabec,30,20,5,10,5,0,20,15,5
240107105,2407105,24,1,7,105,Saint-Damase,30,20,5,15,15,0,15,5,5
240108000,2408000,24,1,8,0,Matane,240,180,60,110,100,5,130,75,50
240108025,2408025,24,1,8,25,Sainte-FÇlicitÇ,20,20,0,15,15,0,5,5,5
240108045,2408045,24,1,8,45,Saint-Luc,60,45,15,35,30,0,30,15,10
240108050,2408050,24,1,8,50,Petit-Matane,45,30,10,20,20,0,20,15,10
240108065,2408065,24,1,8,65,Saint-LÇandre,30,25,0,10,15,0,15,10,0
240108075,2408075,24,1,8,75,Saint-Ulric-de-Matane,50,30,20,15,15,5,25,15,15
240108080,2408080,24,1,8,80,Baie-des-Sables,40,30,15,15,10,0,30,20,10
240109000,2409000,24,1,9,0,La Mitis,470,335,135,185,165,15,285,170,115
240109010,2409010,24,1,9,10,Saint-Charles-Garnier,30,20,10,20,15,0,10,10,5
240109015,2409015,24,1,9,15,Les Hauteurs,55,35,15,20,15,5,35,20,15
240109020,2409020,24,1,9,20,Sainte-Jeanne-d'Arc,30,20,10,10,10,0,20,10,5
240109025,2409025,24,1,9,25,Saint-Gabriel,60,35,20,15,15,0,45,25,20
240109030,2409030,24,1,9,30,Saint-Donat,40,25,10,15,15,0,25,15,10
240109035,2409035,24,1,9,35,Sainte-Angäle-de-MÇrici,50,30,15,25,20,5,25,10,10
240109055,2409055,24,1,9,55,Saint-Octave-de-MÇtis,80,60,15,30,25,0,50,30,20
240109085,2409085,24,1,9,85,Sainte-Flavie,70,55,10,40,40,0,30,20,10
240109095,2409095,24,1,9,95,Sainte-Luce,70,45,20,20,20,0,50,35,20
240110000,2410000,24,1,10,0,Rimouski-Neigette,465,360,110,155,140,15,315,215,95
240110015,2410015,24,1,10,15,Saint-Narcisse-de-Rimouski,50,40,15,20,20,0,35,20,10
240110025,2410025,24,1,10,25,Saint-Marcellin,30,30,5,10,10,0,25,20,5
240110030,2410030,24,1,10,30,Saint-Anaclet-de-Lessard,65,55,10,15,10,0,55,40,15
