AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TYPORG2_1,TYPORG2_2,TYPORG2_3,TYPORG2_4,TYPORG2_5,TYPORG2_6
110101046,1101046,11,1,1,46,Lot 40,19,12,2,1,4,0,0
110101049,1101049,11,1,1,49,Lot 39,17,10,1,4,2,0,0
110101051,1101051,11,1,1,51,Lot 38,20,13,2,1,3,1,0
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,1088,714,97,157,89,26,5
110202000,1102000,11,2,2,0,Queens County,1088,714,97,157,89,26,5
110202001,1102001,11,2,2,1,Lot 62,16,9,0,3,3,1,0
110202004,1102004,11,2,2,4,Lot 60,17,11,0,2,2,2,0
110202006,1102006,11,2,2,6,Lot 58,19,11,5,3,0,0,0
110202008,1102008,11,2,2,8,Lot 57,49,29,7,5,8,0,0
110202009,1102009,11,2,2,9,Lot 50,57,44,6,6,1,0,0
110202012,1102012,11,2,2,12,Lot 49,37,26,1,7,3,0,0
110202014,1102014,11,2,2,14,Lot 48,64,40,6,9,7,1,1
110202026,1102026,11,2,2,26,Lot 31,94,64,8,17,3,2,0
110202028,1102028,11,2,2,28,Lot 65,49,31,4,12,2,0,0
110202029,1102029,11,2,2,29,Lot 30,49,38,1,6,2,2,0
110202031,1102031,11,2,2,31,Lot 29,50,32,6,5,6,1,0
110202036,1102036,11,2,2,36,Lot 67,69,49,2,8,8,2,0
110202038,1102038,11,2,2,38,Lot 20,46,32,2,5,6,1,0
110202039,1102039,11,2,2,39,Lot 21,30,19,3,4,4,0,0
110202040,1102040,11,2,2,40,Miltonvale Park,31,22,2,2,3,1,1
110202041,1102041,11,2,2,41,Lot 22,33,18,6,6,2,1,0
110202042,1102042,11,2,2,42,Lot 23,50,34,1,7,5,3,0
110202044,1102044,11,2,2,44,Lot 24,65,51,5,5,2,2,0
110202049,1102049,11,2,2,49,Lot 33,75,44,9,11,7,1,3
110202052,1102052,11,2,2,52,Lot 34,59,28,7,12,10,2,0
110202054,1102054,11,2,2,54,Lot 35,32,19,7,4,0,2,0
110202056,1102056,11,2,2,56,Lot 36,39,28,4,4,3,0,0
110202058,1102058,11,2,2,58,Lot 37,28,19,2,5,1,1,0
110202085,1102085,11,2,2,85,Cornwall,30,16,3,9,1,1,0
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,756,475,41,91,124,20,5
110303000,1103000,11,3,3,0,Prince County,756,475,41,91,124,20,5
110303001,1103001,11,3,3,1,Lot 28,46,21,4,13,7,1,0
110303006,1103006,11,3,3,6,Lot 27,50,34,1,5,9,1,0
110303009,1103009,11,3,3,9,Lot 26,51,23,6,10,11,1,0
110303011,1103011,11,3,3,11,Lot 25,33,18,3,2,9,1,0
110303012,1103012,11,3,3,12,Lot 19,46,19,2,6,19,0,0
110303016,1103016,11,3,3,16,Lot 18,44,29,1,1,8,5,0
110303019,1103019,11,3,3,19,Lot 17,52,31,2,7,8,4,0
110303028,1103028,11,3,3,28,Lot 16,34,21,2,7,3,0,1
110303031,1103031,11,3,3,31,Lot 14,30,22,1,2,3,1,1
110303032,1103032,11,3,3,32,Lot 13,41,33,3,2,2,1,0
110303034,1103034,11,3,3,34,Lot 12,20,10,1,6,2,0,1
110303036,1103036,11,3,3,36,Lot 11,22,11,2,3,5,1,0
110303041,1103041,11,3,3,41,Lot  6,42,26,1,4,10,0,1
110303044,1103044,11,3,3,44,Lot  9,19,12,3,3,1,0,0
110303046,1103046,11,3,3,46,Lot  8,35,23,2,6,4,0,0
110303048,1103048,11,3,3,48,Lot  7,28,22,1,3,2,0,0
110303049,1103049,11,3,3,49,Lot  5,26,21,1,0,3,1,0
110303051,1103051,11,3,3,51,Lot  4,49,33,3,2,10,1,0
110303054,1103054,11,3,3,54,Lot  3,33,25,1,1,4,1,1
110303056,1103056,11,3,3,56,Lot  2,16,10,0,3,3,0,0
110303058,1103058,11,3,3,58,Lot  1,39,31,1,5,1,1,0
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,4453,3004,271,556,483,120,19
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,802,554,30,96,102,18,2
120101000,1201000,12,1,1,0,Shelburne County,29,16,0,8,5,0,0
120101006,1201006,12,1,1,6,Shelburne,29,16,0,8,5,0,0
120102000,1202000,12,1,2,0,Yarmouth County,133,90,7,16,14,6,0
120102001,1202001,12,1,2,1,Argyle,36,24,3,5,1,3,0
120102004,1202004,12,1,2,4,Yarmouth,97,66,4,11,13,3,0
120103000,1203000,12,1,3,0,Digby County,132,86,6,9,28,3,0
120103001,1203001,12,1,3,1,Clare,80,47,4,5,22,2,0
120103004,1203004,12,1,3,4,Digby,52,39,2,4,6,1,0
120104000,1204000,12,1,4,0,Queens County,58,48,1,3,6,0,0
120104008,1204008,12,1,4,8,"Queens, Subd. B",58,48,1,3,6,0,0
120106000,1206000,12,1,6,0,Lunenburg County,450,314,16,60,49,9,2
120106001,1206001,12,1,6,1,Lunenburg,315,213,14,46,37,4,1
120106009,1206009,12,1,6,9,Chester,135,101,2,14,12,5,1
120200000,1200000,12,2,0,0,Agricultural Region 2 - RÇgion agricole 2,1371,885,90,180,173,34,9
120205000,1205000,12,2,5,0,Annapolis County,271,176,16,45,27,6,1
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",33,24,1,3,4,1,0
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",75,45,1,14,12,2,1
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",89,56,8,17,6,2,0
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",74,51,6,11,5,1,0
120207000,1207000,12,2,7,0,Kings County,707,452,53,77,98,20,7
120207001,1207001,12,2,7,1,"Kings, Subd. A",347,235,16,47,41,5,3
120207011,1207011,12,2,7,11,"Kings, Subd. C",50,38,2,4,2,2,2
120207016,1207016,12,2,7,16,"Kings, Subd. B",205,120,17,20,35,12,1
120207021,1207021,12,2,7,21,"Kings, Subd. D",105,59,18,6,20,1,1
120208000,1208000,12,2,8,0,Hants County,393,257,21,58,48,8,1
120208001,1208001,12,2,8,1,West Hants,189,120,9,35,20,4,1
120208008,1208008,12,2,8,8,East Hants,204,137,12,23,28,4,0
120300000,1200000,12,3,0,0,Agricultural Region 3 - RÇgion agricole 3,1304,845,87,181,142,44,5
120309000,1209000,12,3,9,0,Halifax County,210,134,13,24,25,14,0
120309012,1209012,12,3,9,12,"Halifax, Subd. C",23,13,0,3,3,4,0
120309018,1209018,12,3,9,18,"Halifax, Subd. D",35,23,1,0,5,6,0
120309026,1209026,12,3,9,26,"Halifax, Subd. E",54,36,1,3,11,3,0
120309031,1209031,12,3,9,31,"Halifax, Subd. F",65,35,7,17,5,1,0
120309036,1209036,12,3,9,36,"Halifax, Subd. G",33,27,4,1,1,0,0
120310000,1210000,12,3,10,0,Colchester County,538,331,39,81,69,17,1
120310001,1210001,12,3,10,1,"Colchester, Subd. C",206,108,22,30,34,11,1
120310008,1210008,12,3,10,8,"Colchester, Subd. B",187,116,12,31,24,4,0
120310012,1210012,12,3,10,12,"Colchester, Subd. A",145,107,5,20,11,2,0
120311000,1211000,12,3,11,0,Cumberland County,556,380,35,76,48,13,4
120311001,1211001,12,3,11,1,"Cumberland, Subd. A",93,70,4,10,6,3,0
120311006,1211006,12,3,11,6,"Cumberland, Subd. B",186,131,9,21,17,7,1
120311009,1211009,12,3,11,9,"Cumberland, Subd. C",167,110,17,19,17,3,1
120311014,1211014,12,3,11,14,"Cumberland, Subd. D",110,69,5,26,8,0,2
120400000,1200000,12,4,0,0,Agricultural Region 4 - RÇgion agricole 4,690,515,50,69,40,14,2
120412000,1212000,12,4,12,0,Pictou County,343,254,25,38,20,5,1
120412001,1212001,12,4,12,1,"Pictou, Subd. A",151,106,15,17,9,4,0
120412006,1212006,12,4,12,6,"Pictou, Subd. B",94,70,5,12,6,0,1
120412011,1212011,12,4,12,11,"Pictou, Subd. C",98,78,5,9,5,1,0
120413000,1213000,12,4,13,0,Guysborough County,100,82,3,9,3,2,1
120413001,1213001,12,4,13,1,St. Mary's,33,22,3,4,2,1,1
120413004,1213004,12,4,13,4,Guysborough,67,60,0,5,1,1,0
120414000,1214000,12,4,14,0,Antigonish County,247,179,22,22,17,7,0
120414001,1214001,12,4,14,1,"Antigonish, Subd. A",155,115,12,14,11,3,0
120414006,1214006,12,4,14,6,"Antigonish, Subd. B",92,64,10,8,6,4,0
120500000,1200000,12,5,0,0,Agricultural Region 5 - RÇgion agricole 5,286,205,14,30,26,10,1
120515000,1215000,12,5,15,0,Inverness County,130,91,9,18,9,2,1
120515001,1215001,12,5,15,1,"Inverness, Subd. C",25,17,0,6,2,0,0
120515006,1215006,12,5,15,6,"Inverness, Subd. B",69,46,9,8,3,2,1
120515011,1215011,12,5,15,11,"Inverness, Subd. A",36,28,0,4,4,0,0
120516000,1216000,12,5,16,0,Richmond County,18,15,0,2,0,1,0
120516001,1216001,12,5,16,1,"Richmond, Subd. C",18,15,0,2,0,1,0
120517000,1217000,12,5,17,0,Cape Breton County,104,75,3,7,15,4,0
120517030,1217030,12,5,17,30,Cape Breton,104,75,3,7,15,4,0
120518000,1218000,12,5,18,0,Victoria County,34,24,2,3,2,3,0
120518001,1218001,12,5,18,1,"Victoria, Subd. B",34,24,2,3,2,3,0
130000000,1300000,13,0,0,0,New Brunswick - Nouveau-Brunswick,3405,2360,104,390,427,95,29
130100000,1300000,13,1,0,0,Agricultural Region 1 - RÇgion agricole 1,1249,831,44,144,189,30,11
130110000,1310000,13,1,10,0,York County,366,260,11,43,41,6,5
130110004,1310004,13,1,10,4,Manners Sutton,37,27,1,5,4,0,0
130110011,1310011,13,1,10,11,Canterbury,19,14,0,3,1,1,0
130110016,1310016,13,1,10,16,Prince William,22,16,0,1,5,0,0
130110018,1310018,13,1,10,18,Kingsclear,35,25,0,6,2,0,2
130110021,1310021,13,1,10,21,Queensbury,37,27,2,4,3,1,0
130110024,1310024,13,1,10,24,Southampton,32,23,2,5,2,0,0
130110026,1310026,13,1,10,26,Bright,52,40,3,3,5,1,0
130110028,1310028,13,1,10,28,Douglas,44,26,2,6,8,1,1
130110031,1310031,13,1,10,31,Saint Marys,25,21,1,2,1,0,0
130110032,1310032,13,1,10,32,Fredericton,25,12,0,4,7,0,2
130110036,1310036,13,1,10,36,Stanley,38,29,0,4,3,2,0
130111000,1311000,13,1,11,0,Carleton County,474,318,16,57,72,8,3
130111001,1311001,13,1,11,1,Richmond,42,30,1,6,3,1,1
130111004,1311004,13,1,11,4,Woodstock,39,27,3,3,5,0,1
130111008,1311008,13,1,11,8,Northampton,25,23,1,0,1,0,0
130111011,1311011,13,1,11,11,Brighton,41,26,3,11,1,0,0
130111014,1311014,13,1,11,14,Wakefield,70,44,3,9,12,2,0
130111018,1311018,13,1,11,18,Wilmot,50,32,1,8,6,3,0
130111021,1311021,13,1,11,21,Simonds,19,14,0,1,4,0,0
130111024,1311024,13,1,11,24,Peel,35,22,0,5,8,0,0
130111026,1311026,13,1,11,26,Aberdeen,34,22,1,5,4,2,0
130111028,1311028,13,1,11,28,Kent,75,50,0,6,19,0,0
130111031,1311031,13,1,11,31,Wicklow,44,28,3,3,9,0,1
130112000,1312000,13,1,12,0,Victoria County,220,138,10,25,41,5,1
130112001,1312001,13,1,12,1,Andover,20,13,2,2,3,0,0
130112004,1312004,13,1,12,4,Perth,39,27,3,6,1,1,1
130112008,1312008,13,1,12,8,Gordon,38,25,1,4,7,1,0
130112014,1312014,13,1,12,14,Denmark,37,24,0,9,4,0,0
130112016,1312016,13,1,12,16,Grand Falls,38,22,1,3,11,1,0
130112021,1312021,13,1,12,21,Drummond,48,27,3,1,15,2,0
130113000,1313000,13,1,13,0,Madawaska County,189,115,7,19,35,11,2
130113001,1313001,13,1,13,1,Saint-AndrÇ,42,24,2,2,13,1,0
130113004,1313004,13,1,13,4,Saint-LÇonard,16,10,1,4,1,0,0
130113011,1313011,13,1,13,11,Sainte-Anne,18,16,0,1,1,0,0
130113015,1313015,13,1,13,15,Riviäre-Verte,27,20,0,2,5,0,0
130113022,1313022,13,1,13,22,Saint-Joseph,28,17,1,5,0,4,1
130113038,1313038,13,1,13,38,Clair,24,13,2,4,5,0,0
130113041,1313041,13,1,13,41,Saint-Franáois,34,15,1,1,10,6,1
130200000,1300000,13,2,0,0,Agricultural Region 2 - RÇgion agricole 2,957,682,28,126,97,18,6
130202000,1302000,13,2,2,0,Charlotte County,150,113,5,17,13,2,0
130202011,1302011,13,2,2,11,Pennfield,33,19,2,6,5,1,0
130202016,1302016,13,2,2,16,Saint George,19,14,0,2,2,1,0
130202034,1302034,13,2,2,34,Saint Stephen,16,12,1,2,1,0,0
130202039,1302039,13,2,2,39,Saint James,19,16,0,1,2,0,0
130202042,1302042,13,2,2,42,Saint David,36,29,1,3,3,0,0
130202044,1302044,13,2,2,44,Dumbarton,27,23,1,3,0,0,0
130203000,1303000,13,2,3,0,Sunbury County,120,91,1,15,10,1,2
130203001,1303001,13,2,3,1,Blissville,32,26,0,3,0,1,2
130203004,1303004,13,2,3,4,Gladstone,18,13,0,4,1,0,0
130203008,1303008,13,2,3,8,Lincoln,24,16,0,6,2,0,0
130203011,1303011,13,2,3,11,Burton,17,14,0,1,2,0,0
130203016,1303016,13,2,3,16,Maugerville,29,22,1,1,5,0,0
130204000,1304000,13,2,4,0,Queens County,162,117,3,26,8,6,2
130204004,1304004,13,2,4,4,Gagetown,19,10,1,3,2,3,0
130204006,1304006,13,2,4,6,Hampstead,28,21,1,2,4,0,0
130204008,1304008,13,2,4,8,Wickham,20,17,1,1,1,0,0
130204011,1304011,13,2,4,11,Cambridge,44,35,0,9,0,0,0
130204018,1304018,13,2,4,18,Waterborough,28,20,0,5,0,1,2
130204024,1304024,13,2,4,24,Chipman,23,14,0,6,1,2,0
130205000,1305000,13,2,5,0,Kings County,525,361,19,68,66,9,2
130205004,1305004,13,2,5,4,Upham,58,40,2,5,8,1,2
130205006,1305006,13,2,5,6,Hampton,24,16,1,4,3,0,0
130205014,1305014,13,2,5,14,Kingston,22,14,2,2,4,0,0
130205016,1305016,13,2,5,16,Norton,16,8,0,3,5,0,0
130205018,1305018,13,2,5,18,Norton,32,21,1,6,4,0,0
130205021,1305021,13,2,5,21,Sussex,58,42,2,5,7,2,0
130205024,1305024,13,2,5,24,Waterford,21,15,0,4,2,0,0
130205026,1305026,13,2,5,26,Cardwell,30,14,2,7,5,2,0
130205028,1305028,13,2,5,28,Havelock,51,38,1,6,6,0,0
130205031,1305031,13,2,5,31,Studholm,119,85,5,19,9,1,0
130205034,1305034,13,2,5,34,Springfield,39,30,2,3,4,0,0
130205036,1305036,13,2,5,36,Kars,18,12,0,3,3,0,0
130205038,1305038,13,2,5,38,Greenwich,18,15,1,1,0,1,0
130205056,1305056,13,2,5,56,Quispamsis,19,11,0,0,6,2,0
130300000,1300000,13,3,0,0,Agricultural Region 3 - RÇgion agricole 3,787,564,25,94,80,18,6
130306000,1306000,13,3,6,0,Albert County,139,101,3,20,13,1,1
130306001,1306001,13,3,6,1,Hopewell,36,31,0,3,2,0,0
130306008,1306008,13,3,6,8,Elgin,45,30,1,7,6,1,0
130306011,1306011,13,3,6,11,Hillsborough,27,21,2,3,0,0,1
130306014,1306014,13,3,6,14,Coverdale,31,19,0,7,5,0,0
130307000,1307000,13,3,7,0,Westmorland County,465,335,16,55,48,7,4
130307001,1307001,13,3,7,1,Westmorland,43,33,3,7,0,0,0
130307004,1307004,13,3,7,4,Botsford,45,31,1,2,7,3,1
130307008,1307008,13,3,7,8,Sackville,83,63,2,12,4,1,1
130307013,1307013,13,3,7,13,Memramcook,53,38,1,6,5,2,1
130307016,1307016,13,3,7,16,Shediac,58,41,0,12,4,0,1
130307019,1307019,13,3,7,19,Moncton,84,56,4,8,15,1,0
130307024,1307024,13,3,7,24,Salisbury,99,73,5,8,13,0,0
130308000,1308000,13,3,8,0,Kent County,183,128,6,19,19,10,1
130308001,1308001,13,3,8,1,Dundas,34,25,0,5,3,1,0
130308004,1308004,13,3,8,4,Wellington,23,14,0,2,3,3,1
130308006,1308006,13,3,8,6,Saint Mary,32,26,2,2,2,0,0
130308008,1308008,13,3,8,8,Saint-Paul,29,19,2,1,4,3,0
130308014,1308014,13,3,8,14,Weldford,42,30,1,5,5,1,0
130308016,1308016,13,3,8,16,Richibucto,23,14,1,4,2,2,0
130400000,1300000,13,4,0,0,Agricultural Region 4 - RÇgion agricole 4,412,283,7,26,61,29,6
130409000,1309000,13,4,9,0,Northumberland County,141,109,3,9,15,3,2
130409004,1309004,13,4,9,4,Glenelg,23,15,0,0,5,1,2
130409024,1309024,13,4,9,24,Ludlow,18,14,0,3,1,0,0
130409026,1309026,13,4,9,26,Southesk,24,18,1,1,3,1,0
130409031,1309031,13,4,9,31,Newcastle,29,23,1,3,2,0,0
130409036,1309036,13,4,9,36,Alnwick,47,39,1,2,4,1,0
130414000,1314000,13,4,14,0,Restigouche County,98,60,3,4,21,9,1
130414001,1314001,13,4,14,1,Durham,27,17,1,3,6,0,0
130414008,1314008,13,4,14,8,Dalhousie,23,14,1,0,6,2,0
130414021,1314021,13,4,14,21,Saint-Quentin,48,29,1,1,9,7,1
130415000,1315000,13,4,15,0,Gloucester County,173,114,1,13,25,17,3
130415001,1315001,13,4,15,1,Saumarez,44,28,0,2,6,6,2
130415008,1315008,13,4,15,8,Bathurst,44,29,0,6,7,1,1
130415016,1315016,13,4,15,16,New Bandon,21,18,0,2,1,0,0
130415021,1315021,13,4,15,21,Saint-Isidore,30,16,1,2,3,8,0
130415026,1315026,13,4,15,26,Caraquet,34,23,0,1,8,2,0
240000000,2400000,24,0,0,0,Quebec - QuÇbec,35991,20033,6771,1938,5286,1863,100
240100000,2400000,24,1,0,0,Bas-Saint-Laurent,2482,1342,559,78,383,115,5
240107000,2407000,24,1,7,0,La MatapÇdia,259,124,83,9,34,9,0
240107020,2407020,24,1,7,20,Saint-Jacques-le-Majeur-de-Causapscal,19,8,6,1,4,0,0
240107025,2407025,24,1,7,25,Saint-Raphaâl-d'Albertville,17,12,3,0,2,0,0
240107030,2407030,24,1,7,30,Saint-LÇon-le-Grand,25,12,11,2,0,0,0
240107040,2407040,24,1,7,40,Sainte-Iräne,44,22,15,3,2,2,0
240107047,2407047,24,1,7,47,Amqui,45,20,15,2,8,0,0
240107055,2407055,24,1,7,55,Saint-Edmond,19,6,4,0,7,2,0
240107070,2407070,24,1,7,70,Saint-Tharcisius,21,12,6,0,3,0,0
240107080,2407080,24,1,7,80,Val-Brillant,30,14,10,1,4,1,0
240107085,2407085,24,1,7,85,Sayabec,18,7,5,0,4,2,0
240107105,2407105,24,1,7,105,Saint-Damase,21,11,8,0,0,2,0
240108000,2408000,24,1,8,0,Matane,171,107,28,7,23,5,1
240108025,2408025,24,1,8,25,Sainte-FÇlicitÇ,17,15,0,1,1,0,0
240108045,2408045,24,1,8,45,Saint-Luc,45,29,8,1,6,0,1
240108050,2408050,24,1,8,50,Petit-Matane,32,21,5,1,4,1,0
240108065,2408065,24,1,8,65,Saint-LÇandre,18,8,3,2,3,2,0
240108075,2408075,24,1,8,75,Saint-Ulric-de-Matane,33,22,8,0,2,1,0
240108080,2408080,24,1,8,80,Baie-des-Sables,26,12,4,2,7,1,0
240109000,2409000,24,1,9,0,La Mitis,321,177,65,11,53,15,0
240109010,2409010,24,1,9,10,Saint-Charles-Garnier,22,17,2,1,2,0,0
240109015,2409015,24,1,9,15,Les Hauteurs,36,17,6,0,11,2,0
240109020,2409020,24,1,9,20,Sainte-Jeanne-d'Arc,20,13,6,0,1,0,0
240109025,2409025,24,1,9,25,Saint-Gabriel,36,12,11,2,9,2,0
240109030,2409030,24,1,9,30,Saint-Donat,27,15,6,2,3,1,0
240109035,2409035,24,1,9,35,Sainte-Angäle-de-MÇrici,35,25,7,0,1,2,0
240109055,2409055,24,1,9,55,Saint-Octave-de-MÇtis,51,27,10,3,7,4,0
240109085,2409085,24,1,9,85,Sainte-Flavie,52,34,7,2,7,2,0
240109095,2409095,24,1,9,95,Sainte-Luce,42,17,10,1,12,2,0
240110000,2410000,24,1,10,0,Rimouski-Neigette,296,148,60,6,65,16,1
240110015,2410015,24,1,10,15,Saint-Narcisse-de-Rimouski,35,19,3,0,10,3,0
240110025,2410025,24,1,10,25,Saint-Marcellin,21,8,6,1,5,1,0
240110030,2410030,24,1,10,30,Saint-Anaclet-de-Lessard,35,13,9,0,12,1,0
240110045,2410045,24,1,10,45,Rimouski,37,17,5,1,10,3,1
240110050,2410050,24,1,10,50,Sainte-Odile-sur-Rimouski,19,11,4,0,3,1,0
240110055,2410055,24,1,10,55,Sainte-Blandine,17,10,3,2,2,0,0
240110060,2410060,24,1,10,60,Saint-ValÇrien,26,18,6,0,2,0,0
240110065,2410065,24,1,10,65,Le Bic,42,22,8,1,8,3,0
240110070,2410070,24,1,10,70,Saint-Fabien,40,17,13,1,7,2,0
240110075,2410075,24,1,10,75,Saint-Eugäne-de-Ladriäre,24,13,3,0,6,2,0
240111000,2411000,24,1,11,0,Les Basques,240,135,52,7,35,10,1
240111005,2411005,24,1,11,5,Saint-ClÇment,29,15,6,0,5,2,1
240111010,2411010,24,1,11,10,Saint-Jean-de-Dieu,50,31,15,1,3,0,0
240111015,2411015,24,1,11,15,Sainte-Rita,28,17,1,2,3,5,0
240111030,2411030,24,1,11,30,Sainte-Franáoise,22,12,6,2,1,1,0
240111035,2411035,24,1,11,35,Saint-êloi,27,12,8,0,7,0,0
240111045,2411045,24,1,11,45,Notre-Dame-des-Neiges-des-Trois-Pistoles,47,27,7,1,10,2,0
240111050,2411050,24,1,11,50,Saint-Mathieu-de-Rioux,17,10,4,1,2,0,0
240111055,2411055,24,1,11,55,Saint-Simon,20,11,5,0,4,0,0
240112000,2412000,24,1,12,0,Riviäre-du-Loup,310,156,78,8,56,12,0
240112005,2412005,24,1,12,5,Saint-Cyprien,26,16,4,0,6,0,0
240112010,2412010,24,1,12,10,Saint-Hubert,26,15,6,0,5,0,0
240112015,2412015,24,1,12,15,Saint-Antonin,39,26,6,2,3,2,0
240112030,2412030,24,1,12,30,Saint-êpiphane,26,17,5,2,2,0,0
240112035,2412035,24,1,12,35,Saint-Paul-de-la-Croix,18,9,6,0,2,1,0
240112050,2412050,24,1,12,50,Saint-Jean-Baptiste-de-l'Isle-Verte,55,20,25,1,7,2,0
240112060,2412060,24,1,12,60,Saint-Georges-de-Cacouna,27,11,5,0,10,1,0
240112065,2412065,24,1,12,65,Saint-Arsäne,58,23,15,1,16,3,0
240112075,2412075,24,1,12,75,Saint-Patrice-de-la-Riviäre-du-Loup,35,19,6,2,5,3,0
240113000,2413000,24,1,13,0,TÇmiscouata,367,207,60,24,47,29,0
240113005,2413005,24,1,13,5,DÇgelis,25,13,5,0,6,1,0
240113015,2413015,24,1,13,15,Packington,35,25,3,3,4,0,0
240113030,2413030,24,1,13,30,Saint-Eusäbe,33,20,7,3,1,2,0
240113035,2413035,24,1,13,35,Notre-Dame-du-Lac,29,12,11,1,3,2,0
240113040,2413040,24,1,13,40,Saint-Juste-du-Lac,27,14,5,5,2,1,0
240113045,2413045,24,1,13,45,Auclair,29,11,0,1,9,8,0
