AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,SALES95,SALEDST_1,SALEDST_2,SALEDST_3,SALEDST_4,SALEDST_5,SALEDST_6,SALEDST_7,SALEDST_8,SALEDST_9
100304000,1004000,10,3,4,0,Division No.  4,65,"2,666,681",14,9,10,14,5,9,3,0,1
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,"333,564",2,6,5,6,1,1,1,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,"2,333,117",12,3,5,8,4,8,2,0,1
100305000,1005000,10,3,5,0,Division No.  5,105,"17,248,678",21,9,16,15,8,6,7,11,12
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,"10,464,220",2,4,7,6,4,6,2,9,7
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,"5,365,537",7,2,3,2,4,0,4,1,4
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,"1,418,921",12,3,6,7,0,0,1,1,1
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217","349,195,896",202,149,223,348,269,255,377,216,178
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,"56,625,382",53,27,34,58,51,36,52,32,30
110101000,1101000,11,1,1,0,Kings County,373,"56,625,382",53,27,34,58,51,36,52,32,30
110101001,1101001,11,1,1,1,Lot 64,27,"1,328,905",5,3,5,7,3,2,1,0,1
110101006,1101006,11,1,1,6,Lot 63,19,"3,766,922",5,0,0,1,1,1,6,3,2
110101008,1101008,11,1,1,8,Lot 61,19,"798,944",6,2,1,2,2,4,2,0,0
110101009,1101009,11,1,1,9,Lot 59,31,"3,118,916",3,2,2,3,7,4,5,4,1
110101014,1101014,11,1,1,14,Lot 51,27,"3,209,995",5,1,1,5,2,4,7,1,1
110101016,1101016,11,1,1,16,Lot 52,29,"3,550,630",3,1,4,3,6,4,2,5,1
110101019,1101019,11,1,1,19,Lot 53,16,"2,603,872",3,1,2,1,1,3,1,2,2
110101026,1101026,11,1,1,26,Lot 54,25,"1,755,992",5,3,5,4,2,2,0,3,1
110101028,1101028,11,1,1,28,Lot 55,18,"1,157,455",1,1,1,8,2,2,2,0,1
110101029,1101029,11,1,1,29,Lot 56,17,"1,968,282",1,2,2,2,1,1,5,3,0
110101032,1101032,11,1,1,32,Lot 44,29,"7,149,113",2,4,2,7,4,2,4,1,3
110101034,1101034,11,1,1,34,Lot 45,19,"6,626,868",3,0,0,0,3,1,4,3,5
110101039,1101039,11,1,1,39,Lot 47,19,"5,869,118",2,1,0,3,3,1,3,1,5
110101042,1101042,11,1,1,42,Lot 41,22,"3,486,277",2,1,6,3,2,1,4,1,2
110101046,1101046,11,1,1,46,Lot 40,19,"5,448,217",1,1,0,2,8,1,1,2,3
110101049,1101049,11,1,1,49,Lot 39,17,"2,113,597",5,1,1,2,1,1,3,2,1
110101051,1101051,11,1,1,51,Lot 38,20,"2,672,279",1,3,2,5,3,2,2,1,1
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088","144,755,656",101,73,121,189,125,122,200,92,65
110202000,1102000,11,2,2,0,Queens County,"1,088","144,755,656",101,73,121,189,125,122,200,92,65
110202001,1102001,11,2,2,1,Lot 62,16,"2,291,706",5,1,1,3,3,1,1,0,1
110202004,1102004,11,2,2,4,Lot 60,17,"2,302,782",3,1,1,3,0,2,5,1,1
110202006,1102006,11,2,2,6,Lot 58,19,"1,490,776",2,3,0,4,4,1,2,3,0
110202008,1102008,11,2,2,8,Lot 57,49,"8,740,962",2,2,6,9,6,7,10,4,3
110202009,1102009,11,2,2,9,Lot 50,57,"9,188,020",3,2,5,9,5,3,13,14,3
110202012,1102012,11,2,2,12,Lot 49,37,"3,017,018",2,1,2,12,2,8,7,3,0
110202014,1102014,11,2,2,14,Lot 48,64,"4,537,425",8,12,15,6,4,5,12,0,2
110202026,1102026,11,2,2,26,Lot 31,94,"11,132,862",8,9,15,16,8,6,17,8,7
110202028,1102028,11,2,2,28,Lot 65,49,"4,031,356",4,3,6,11,6,6,10,2,1
110202029,1102029,11,2,2,29,Lot 30,49,"2,759,788",4,6,6,11,11,5,4,0,2
110202031,1102031,11,2,2,31,Lot 29,50,"4,835,732",5,3,6,10,6,5,10,3,2
110202036,1102036,11,2,2,36,Lot 67,69,"11,036,474",7,3,6,8,9,11,19,4,2
110202038,1102038,11,2,2,38,Lot 20,46,"13,730,125",2,2,0,8,8,7,6,6,7
110202039,1102039,11,2,2,39,Lot 21,30,"5,698,866",3,3,5,4,1,5,5,1,3
110202040,1102040,11,2,2,40,Miltonvale Park,31,"2,129,221",3,1,6,5,5,3,7,1,0
110202041,1102041,11,2,2,41,Lot 22,33,"3,308,065",2,2,3,7,4,2,7,6,0
110202042,1102042,11,2,2,42,Lot 23,50,"6,622,565",4,4,5,6,3,10,9,5,4
110202044,1102044,11,2,2,44,Lot 24,65,"8,422,707",8,1,5,15,7,10,9,4,6
110202049,1102049,11,2,2,49,Lot 33,75,"12,999,504",3,4,9,12,6,10,13,10,8
110202052,1102052,11,2,2,52,Lot 34,59,"9,682,085",9,3,7,6,9,3,10,7,5
110202054,1102054,11,2,2,54,Lot 35,32,"4,106,079",4,1,5,8,3,1,3,6,1
110202056,1102056,11,2,2,56,Lot 36,39,"3,116,572",3,0,5,8,8,2,11,1,1
110202058,1102058,11,2,2,58,Lot 37,28,"2,435,543",3,6,0,5,4,6,1,2,1
110202085,1102085,11,2,2,85,Cornwall,30,"7,139,423",4,0,2,3,3,3,9,1,5
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,756,"147,814,858",48,49,68,101,93,97,125,92,83
110303000,1103000,11,3,3,0,Prince County,756,"147,814,858",48,49,68,101,93,97,125,92,83
110303001,1103001,11,3,3,1,Lot 28,46,"12,724,048",1,1,2,3,7,8,6,11,7
110303006,1103006,11,3,3,6,Lot 27,50,"13,349,181",2,1,4,2,8,6,10,9,8
110303009,1103009,11,3,3,9,Lot 26,51,"12,101,104",1,1,7,6,3,8,9,8,8
110303011,1103011,11,3,3,11,Lot 25,33,"9,170,627",1,3,0,3,2,6,4,6,8
110303012,1103012,11,3,3,12,Lot 19,46,"9,821,067",4,2,3,4,5,4,10,9,5
110303016,1103016,11,3,3,16,Lot 18,44,"12,935,362",3,1,5,6,4,4,8,4,9
110303019,1103019,11,3,3,19,Lot 17,52,"11,654,929",1,2,6,10,6,9,6,7,5
110303028,1103028,11,3,3,28,Lot 16,34,"2,574,852",3,2,2,9,3,5,7,3,0
110303031,1103031,11,3,3,31,Lot 14,30,"6,378,365",6,1,4,4,2,3,4,1,5
110303032,1103032,11,3,3,32,Lot 13,41,"5,957,583",1,4,4,8,8,4,8,1,3
110303034,1103034,11,3,3,34,Lot 12,20,"369,740",1,6,1,5,6,1,0,0,0
110303036,1103036,11,3,3,36,Lot 11,22,"2,214,583",3,2,2,3,4,5,2,0,1
110303041,1103041,11,3,3,41,Lot  6,42,"9,118,474",4,3,7,1,4,5,7,7,4
110303044,1103044,11,3,3,44,Lot  9,19,"1,259,083",2,4,1,4,2,1,4,1,0
110303046,1103046,11,3,3,46,Lot  8,35,"6,070,065",1,2,2,3,5,7,5,6,4
110303048,1103048,11,3,3,48,Lot  7,28,"4,381,529",0,2,1,5,3,3,9,3,2
110303049,1103049,11,3,3,49,Lot  5,26,"4,161,464",3,2,1,2,4,4,5,3,2
110303051,1103051,11,3,3,51,Lot  4,49,"16,029,333",2,2,4,3,6,7,9,6,10
110303054,1103054,11,3,3,54,Lot  3,33,"4,361,381",1,1,6,6,3,3,8,3,2
110303056,1103056,11,3,3,56,Lot  2,16,"1,396,299",3,1,0,5,0,3,2,2,0
110303058,1103058,11,3,3,58,Lot  1,39,"1,785,789",5,6,6,9,8,1,2,2,0
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,"4,453","384,333,174",853,550,591,861,445,304,455,221,173
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,802,"38,798,808",224,125,137,126,71,31,44,22,22
120101000,1201000,12,1,1,0,Shelburne County,29,"512,907",7,8,6,0,5,2,1,0,0
120101006,1201006,12,1,1,6,Shelburne,29,"512,907",7,8,6,0,5,2,1,0,0
120102000,1202000,12,1,2,0,Yarmouth County,133,"4,816,502",44,21,15,20,15,5,8,3,2
120102001,1202001,12,1,2,1,Argyle,36,"603,761",20,1,3,7,2,1,2,0,0
120102004,1202004,12,1,2,4,Yarmouth,97,"4,212,741",24,20,12,13,13,4,6,3,2
120103000,1203000,12,1,3,0,Digby County,132,"14,594,044",21,18,21,24,8,11,9,8,12
120103001,1203001,12,1,3,1,Clare,80,"12,041,464",4,10,11,17,6,9,8,5,10
120103004,1203004,12,1,3,4,Digby,52,"2,552,580",17,8,10,7,2,2,1,3,2
120104000,1204000,12,1,4,0,Queens County,58,"1,706,150",20,12,5,11,4,2,3,0,1
120104008,1204008,12,1,4,8,"Queens, Subd. B",58,"1,706,150",20,12,5,11,4,2,3,0,1
120106000,1206000,12,1,6,0,Lunenburg County,450,"17,169,205",132,66,90,71,39,11,23,11,7
120106001,1206001,12,1,6,1,Lunenburg,315,"14,820,025",95,41,59,48,27,8,20,11,6
120106009,1206009,12,1,6,9,Chester,135,"2,349,180",37,25,31,23,12,3,3,0,1
120200000,1200000,12,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,371","191,436,124",220,130,139,271,138,107,170,95,101
120205000,1205000,12,2,5,0,Annapolis County,271,"19,074,794",44,37,31,68,24,25,23,11,8
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",33,"2,211,570",8,7,6,8,0,0,2,1,1
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",75,"4,679,818",12,11,11,18,10,4,5,1,3
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",89,"6,454,281",14,13,8,22,7,9,9,5,2
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",74,"5,729,125",10,6,6,20,7,12,7,4,2
120207000,1207000,12,2,7,0,Kings County,707,"132,449,162",116,49,59,121,72,55,96,61,78
120207001,1207001,12,2,7,1,"Kings, Subd. A",347,"41,316,011",67,19,31,60,45,29,48,26,22
120207011,1207011,12,2,7,11,"Kings, Subd. C",50,"2,780,074",14,3,9,9,6,1,4,3,1
120207016,1207016,12,2,7,16,"Kings, Subd. B",205,"68,692,475",20,17,13,32,13,16,30,24,40
120207021,1207021,12,2,7,21,"Kings, Subd. D",105,"19,660,602",15,10,6,20,8,9,14,8,15
120208000,1208000,12,2,8,0,Hants County,393,"39,912,168",60,44,49,82,42,27,51,23,15
120208001,1208001,12,2,8,1,West Hants,189,"16,501,657",31,22,28,43,25,6,21,10,3
120208008,1208008,12,2,8,8,East Hants,204,"23,410,511",29,22,21,39,17,21,30,13,12
120300000,1200000,12,3,0,0,Agricultural Region 3 - RÇgion agricole 3,"1,304","98,685,146",241,156,167,269,135,101,135,61,39
120309000,1209000,12,3,9,0,Halifax County,210,"15,196,469",47,24,26,43,24,16,11,11,8
120309012,1209012,12,3,9,12,"Halifax, Subd. C",23,"1,407,582",7,3,4,3,0,2,2,1,1
120309018,1209018,12,3,9,18,"Halifax, Subd. D",35,"3,223,971",10,4,2,9,3,4,0,0,3
120309026,1209026,12,3,9,26,"Halifax, Subd. E",54,"4,508,894",14,8,5,9,8,2,3,2,3
120309031,1209031,12,3,9,31,"Halifax, Subd. F",65,"4,654,876",8,8,12,13,6,6,5,6,1
120309036,1209036,12,3,9,36,"Halifax, Subd. G",33,"1,401,146",8,1,3,9,7,2,1,2,0
120310000,1210000,12,3,10,0,Colchester County,538,"42,924,150",98,57,65,107,44,46,70,34,17
120310001,1210001,12,3,10,1,"Colchester, Subd. C",206,"23,313,054",35,15,24,26,19,16,39,23,9
120310008,1210008,12,3,10,8,"Colchester, Subd. B",187,"12,372,027",29,23,23,48,13,19,18,10,4
120310012,1210012,12,3,10,12,"Colchester, Subd. A",145,"7,239,069",34,19,18,33,12,11,13,1,4
120311000,1211000,12,3,11,0,Cumberland County,556,"40,564,527",96,75,76,119,67,39,54,16,14
120311001,1211001,12,3,11,1,"Cumberland, Subd. A",93,"5,528,695",16,16,16,20,7,4,7,4,3
120311006,1211006,12,3,11,6,"Cumberland, Subd. B",186,"12,815,088",39,24,30,36,23,9,16,5,4
120311009,1211009,12,3,11,9,"Cumberland, Subd. C",167,"16,375,763",24,21,19,37,20,14,22,5,5
120311014,1211014,12,3,11,14,"Cumberland, Subd. D",110,"5,844,981",17,14,11,26,17,12,9,2,2
120400000,1200000,12,4,0,0,Agricultural Region 4 - RÇgion agricole 4,690,"36,529,859",118,100,105,135,76,50,66,33,7
120412000,1212000,12,4,12,0,Pictou County,343,"15,119,683",61,51,56,64,38,27,33,12,1
120412001,1212001,12,4,12,1,"Pictou, Subd. A",151,"7,958,478",19,16,27,33,18,13,17,7,1
120412006,1212006,12,4,12,6,"Pictou, Subd. B",94,"4,329,582",20,16,16,13,7,8,10,4,0
120412011,1212011,12,4,12,11,"Pictou, Subd. C",98,"2,831,623",22,19,13,18,13,6,6,1,0
120413000,1213000,12,4,13,0,Guysborough County,100,"2,465,663",19,18,23,22,7,5,5,1,0
120413001,1213001,12,4,13,1,St. Mary's,33,"1,289,884",1,6,9,9,3,1,3,1,0
120413004,1213004,12,4,13,4,Guysborough,67,"1,175,779",18,12,14,13,4,4,2,0,0
120414000,1214000,12,4,14,0,Antigonish County,247,"18,944,513",38,31,26,49,31,18,28,20,6
120414001,1214001,12,4,14,1,"Antigonish, Subd. A",155,"11,380,386",29,20,15,34,14,11,16,13,3
120414006,1214006,12,4,14,6,"Antigonish, Subd. B",92,"7,564,127",9,11,11,15,17,7,12,7,3
120500000,1200000,12,5,0,0,Agricultural Region 5 - RÇgion agricole 5,286,"18,883,237",50,39,43,60,25,15,40,10,4
120515000,1215000,12,5,15,0,Inverness County,130,"9,189,992",22,18,22,28,11,1,22,4,2
120515001,1215001,12,5,15,1,"Inverness, Subd. C",25,"2,555,588",8,3,5,3,3,0,1,1,1
120515006,1215006,12,5,15,6,"Inverness, Subd. B",69,"6,142,977",7,11,8,13,5,1,20,3,1
120515011,1215011,12,5,15,11,"Inverness, Subd. A",36,"491,427",7,4,9,12,3,0,1,0,0
120516000,1216000,12,5,16,0,Richmond County,18,"533,828",4,1,4,4,0,3,2,0,0
120516001,1216001,12,5,16,1,"Richmond, Subd. C",18,"533,828",4,1,4,4,0,3,2,0,0
120517000,1217000,12,5,17,0,Cape Breton County,104,"7,694,241",18,16,13,21,8,8,14,4,2
120517030,1217030,12,5,17,30,Cape Breton,104,"7,694,241",18,16,13,21,8,8,14,4,2
120518000,1218000,12,5,18,0,Victoria County,34,"1,465,176",6,4,4,7,6,3,2,2,0
120518001,1218001,12,5,18,1,"Victoria, Subd. B",34,"1,465,176",6,4,4,7,6,3,2,2,0
130000000,1300000,13,0,0,0,New Brunswick - Nouveau-Brunswick,"3,405","325,684,261",630,342,519,580,322,238,406,225,143
130100000,1300000,13,1,0,0,Agricultural Region 1 - RÇgion agricole 1,"1,249","176,752,877",196,125,164,177,110,93,167,130,87
130110000,1310000,13,1,10,0,York County,366,"41,187,576",79,45,73,50,31,25,32,15,16
130110004,1310004,13,1,10,4,Manners Sutton,37,"1,395,910",5,6,10,5,2,3,5,1,0
130110011,1310011,13,1,10,11,Canterbury,19,"200,632",4,4,6,3,1,1,0,0,0
130110016,1310016,13,1,10,16,Prince William,22,"1,432,447",4,4,5,2,0,3,2,1,1
130110018,1310018,13,1,10,18,Kingsclear,35,"1,022,414",9,6,9,3,2,2,3,1,0
130110021,1310021,13,1,10,21,Queensbury,37,"3,569,467",10,1,6,7,4,0,4,3,2
130110024,1310024,13,1,10,24,Southampton,32,"2,407,431",5,2,7,6,5,3,1,1,2
130110026,1310026,13,1,10,26,Bright,52,"5,021,789",11,5,6,6,6,7,5,3,3
130110028,1310028,13,1,10,28,Douglas,44,"16,514,173",6,7,6,6,5,2,7,1,4
130110031,1310031,13,1,10,31,Saint Marys,25,"801,292",7,2,6,5,3,0,1,1,0
130110032,1310032,13,1,10,32,Fredericton,25,"5,309,101",7,4,2,3,0,2,2,2,3
130110036,1310036,13,1,10,36,Stanley,38,"3,512,920",11,4,10,4,3,2,2,1,1
130111000,1311000,13,1,11,0,Carleton County,474,"68,307,539",59,53,50,73,42,35,68,61,33
130111001,1311001,13,1,11,1,Richmond,42,"3,207,525",9,5,7,5,5,3,3,3,2
130111004,1311004,13,1,11,4,Woodstock,39,"3,202,835",4,8,6,9,2,1,5,2,2
130111008,1311008,13,1,11,8,Northampton,25,"1,337,937",5,5,3,3,3,1,3,2,0
130111011,1311011,13,1,11,11,Brighton,41,"3,953,920",4,4,3,6,5,7,7,3,2
130111014,1311014,13,1,11,14,Wakefield,70,"12,521,982",8,5,7,7,8,5,11,12,7
130111018,1311018,13,1,11,18,Wilmot,50,"13,148,797",6,2,5,8,5,2,9,8,5
130111021,1311021,13,1,11,21,Simonds,19,"3,237,751",2,7,2,3,0,1,0,1,3
130111024,1311024,13,1,11,24,Peel,35,"7,712,113",3,5,4,3,2,5,5,4,4
130111026,1311026,13,1,11,26,Aberdeen,34,"4,161,815",5,2,2,10,1,2,6,4,2
130111028,1311028,13,1,11,28,Kent,75,"9,056,364",7,6,10,11,8,7,8,15,3
130111031,1311031,13,1,11,31,Wicklow,44,"6,766,500",6,4,1,8,3,1,11,7,3
130112000,1312000,13,1,12,0,Victoria County,220,"33,421,079",34,17,20,30,18,16,38,30,17
130112001,1312001,13,1,12,1,Andover,20,"1,757,350",1,1,2,6,2,1,4,3,0
130112004,1312004,13,1,12,4,Perth,39,"1,974,845",10,6,10,4,4,1,1,2,1
130112008,1312008,13,1,12,8,Gordon,38,"4,102,296",13,4,3,5,3,1,1,6,2
130112014,1312014,13,1,12,14,Denmark,37,"3,740,203",2,3,3,6,5,6,9,1,2
130112016,1312016,13,1,12,16,Grand Falls,38,"9,616,468",7,1,2,4,0,5,7,6,6
130112021,1312021,13,1,12,21,Drummond,48,"12,229,917",1,2,0,5,4,2,16,12,6
130113000,1313000,13,1,13,0,Madawaska County,189,"33,836,683",24,10,21,24,19,17,29,24,21
130113001,1313001,13,1,13,1,Saint-AndrÇ,42,"11,747,235",4,1,1,2,1,1,12,15,5
130113004,1313004,13,1,13,4,Saint-LÇonard,16,"1,556,643",3,0,4,2,0,2,3,1,1
130113011,1313011,13,1,13,11,Sainte-Anne,18,"830,269",3,1,3,5,2,1,3,0,0
130113015,1313015,13,1,13,15,Riviäre-Verte,27,"1,315,907",3,3,6,5,1,4,5,0,0
130113022,1313022,13,1,13,22,Saint-Joseph,28,"3,475,672",5,1,1,3,9,3,0,3,3
130113038,1313038,13,1,13,38,Clair,24,"4,045,335",4,2,3,2,3,2,3,3,2
130113041,1313041,13,1,13,41,Saint-Franáois,34,"10,865,622",2,2,3,5,3,4,3,2,10
130200000,1300000,13,2,0,0,Agricultural Region 2 - RÇgion agricole 2,957,"69,408,481",213,80,165,158,91,62,128,34,26
130202000,1302000,13,2,2,0,Charlotte County,150,"5,771,676",41,15,36,30,8,8,8,2,2
130202011,1302011,13,2,2,11,Pennfield,33,"1,417,927",10,5,8,4,2,1,2,0,1
130202016,1302016,13,2,2,16,Saint George,19,"567,448",4,3,4,2,3,1,2,0,0
130202034,1302034,13,2,2,34,Saint Stephen,16,"824,106",4,1,4,3,1,1,1,1,0
130202039,1302039,13,2,2,39,Saint James,19,"754,941",2,2,8,3,2,0,1,1,0
130202042,1302042,13,2,2,42,Saint David,36,"1,972,970",9,4,4,13,0,3,2,0,1
130202044,1302044,13,2,2,44,Dumbarton,27,"234,284",12,0,8,5,0,2,0,0,0
130203000,1303000,13,2,3,0,Sunbury County,120,"4,450,142",40,13,23,10,12,4,14,3,1
130203001,1303001,13,2,3,1,Blissville,32,"690,102",16,3,5,3,2,0,3,0,0
130203004,1303004,13,2,3,4,Gladstone,18,"427,615",8,3,3,0,1,0,3,0,0
130203008,1303008,13,2,3,8,Lincoln,24,"211,452",8,4,6,3,2,1,0,0,0
130203011,1303011,13,2,3,11,Burton,17,"341,920",6,1,5,1,2,1,1,0,0
130203016,1303016,13,2,3,16,Maugerville,29,"2,779,053",2,2,4,3,5,2,7,3,1
130204000,1304000,13,2,4,0,Queens County,162,"7,926,678",43,18,30,27,15,9,11,6,3
130204004,1304004,13,2,4,4,Gagetown,19,"602,476",6,2,3,3,2,1,2,0,0
130204006,1304006,13,2,4,6,Hampstead,28,"2,056,549",7,5,8,2,2,1,0,2,1
130204008,1304008,13,2,4,8,Wickham,20,"1,143,626",6,1,3,2,2,1,3,2,0
130204011,1304011,13,2,4,11,Cambridge,44,"1,576,751",13,5,8,6,5,2,4,0,1
130204018,1304018,13,2,4,18,Waterborough,28,"1,600,848",5,0,8,10,0,2,1,1,1
130204024,1304024,13,2,4,24,Chipman,23,"946,428",6,5,0,4,4,2,1,1,0
130205000,1305000,13,2,5,0,Kings County,525,"51,259,985",89,34,76,91,56,41,95,23,20
130205004,1305004,13,2,5,4,Upham,58,"2,418,817",19,5,7,13,8,1,2,2,1
130205006,1305006,13,2,5,6,Hampton,24,"1,138,921",4,2,3,4,3,3,5,0,0
130205014,1305014,13,2,5,14,Kingston,22,"2,045,225",6,0,4,6,3,0,2,0,1
130205016,1305016,13,2,5,16,Norton,16,"1,268,456",1,1,2,3,1,1,7,0,0
130205018,1305018,13,2,5,18,Norton,32,"2,769,953",5,2,3,4,3,3,9,3,0
130205021,1305021,13,2,5,21,Sussex,58,"6,825,158",9,4,7,8,3,7,12,3,5
130205024,1305024,13,2,5,24,Waterford,21,"892,982",5,1,4,4,2,1,4,0,0
130205026,1305026,13,2,5,26,Cardwell,30,"10,371,780",4,2,2,5,2,4,6,0,5
130205028,1305028,13,2,5,28,Havelock,51,"5,590,529",7,3,5,12,3,6,6,5,4
130205031,1305031,13,2,5,31,Studholm,119,"11,849,996",10,5,20,19,13,9,32,9,2
130205034,1305034,13,2,5,34,Springfield,39,"3,321,231",7,3,4,6,8,3,6,1,1
130205036,1305036,13,2,5,36,Kars,18,"2,026,818",3,3,5,3,0,0,3,0,1
130205038,1305038,13,2,5,38,Greenwich,18,"410,539",5,1,3,3,4,1,1,0,0
130205056,1305056,13,2,5,56,Quispamsis,19,"329,580",4,2,7,1,3,2,0,0,0
130300000,1300000,13,3,0,0,Agricultural Region 3 - RÇgion agricole 3,787,"52,328,775",130,100,117,178,83,45,75,39,20
130306000,1306000,13,3,6,0,Albert County,139,"5,451,260",33,19,21,31,16,5,8,4,2
130306001,1306001,13,3,6,1,Hopewell,36,"1,514,770",2,7,8,9,6,1,1,1,1
130306008,1306008,13,3,6,8,Elgin,45,"1,803,130",11,4,5,10,5,3,7,0,0
130306011,1306011,13,3,6,11,Hillsborough,27,"536,974",12,5,2,4,2,1,0,1,0
130306014,1306014,13,3,6,14,Coverdale,31,"1,596,386",8,3,6,8,3,0,0,2,1
130307000,1307000,13,3,7,0,Westmorland County,465,"36,156,809",76,61,63,96,49,29,50,26,15
130307001,1307001,13,3,7,1,Westmorland,43,"1,040,501",11,4,9,11,6,1,0,0,1
130307004,1307004,13,3,7,4,Botsford,45,"4,253,383",4,6,2,13,7,2,6,2,3
130307008,1307008,13,3,7,8,Sackville,83,"4,851,183",11,18,12,19,9,3,8,2,1
130307013,1307013,13,3,7,13,Memramcook,53,"4,090,827",10,9,9,12,4,2,1,4,2
130307016,1307016,13,3,7,16,Shediac,58,"3,952,272",12,9,7,9,3,5,8,4,1
130307019,1307019,13,3,7,19,Moncton,84,"7,803,647",14,5,17,12,9,7,11,6,3
130307024,1307024,13,3,7,24,Salisbury,99,"10,164,996",14,10,7,20,11,9,16,8,4
130308000,1308000,13,3,8,0,Kent County,183,"10,720,706",21,20,33,51,18,11,17,9,3
130308001,1308001,13,3,8,1,Dundas,34,"2,057,080",6,3,2,11,5,1,4,1,1
130308004,1308004,13,3,8,4,Wellington,23,"2,217,774",3,4,4,4,2,0,2,3,1
