AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTOTEXP,TOTEXP,NTRNTEXP,TRNTEXP,NRNTCSH,RNTCSH,NRNTSHR,RNTSHR,NTCSHWGE,TCSHWGE,NCSHWGEF,CSHWGEF,NCSHWGNF,CSHWGNF,NTINSUR,TINSUR,NINSCROP,INSCROP,NINSOTH,INSOTH,NTMCHEXP,TMCHEXP,NMCHFUEL,MCHFUEL,NREPMCH,REPMCH,NTCRPEXP,TCRPEXP,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NSEEDCO,SEEDCO,NCONTAIN,CONTAIN,NTLVSEXP,TLVSEXP,NFEEDPD,FEEDPD,NFEEDCO,FEEDCO,NLVSTPD,LVSTPD,NVETSER,VETSER,NCUSTOM,CUSTOM,NTOTINT,TOTINT,NTELPHON,TELPHON,NELECTY,ELECTY,NFUELHT,FUELHT,NREPBLDG,REPBLDG,NOTHEXP,OTHEXP,NTOTLAB,TOTLAB,NPDLBYR,PDLBYR,NPDLBSL,PDLBSL
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,"5,888,155",11,"17,021",10,x,1,x,23,"1,117,767",18,"351,940",18,"765,827",26,"114,683",5,"7,388",25,"107,295",36,"262,318",35,"144,866",29,"117,452",30,"209,422",29,"119,329",17,"24,570",19,"65,523",17,"64,643",23,"219,661",18,"3,317,917",18,"2,506,580",15,x,12,"793,780",15,"17,557",8,x,12,"135,707",29,"39,147",29,"69,784",9,x,20,"116,209",27,"193,421",23,"3,130",7,"1,172",21,"1,958"
100101519,1001519,10,1,1,519,St. John's,168,"17,780,499",53,"152,094",49,"137,396",5,"14,698",84,"4,002,925",55,"1,834,384",68,"2,168,541",119,"338,495",10,"3,670",114,"334,825",149,"948,420",147,"412,337",131,"536,083",131,"867,811",120,"351,020",68,"73,354",93,"443,437",76,"346,158",96,"280,149",93,"7,153,919",89,"5,307,770",83,"5,081,713",65,"1,577,059",72,"269,090",42,"205,839",63,"790,461",105,"114,361",124,"328,106",48,"276,040",110,"425,768",127,"1,896,111",84,"8,303",42,"5,633",64,"2,670"
100102000,1002000,10,1,2,0,Division No.  2,29,"1,001,613",13,"5,931",12,x,1,x,13,"164,499",6,"77,800",10,"86,699",12,"16,689",0,0,12,"16,689",22,"70,986",22,"36,507",21,"34,479",20,"58,740",18,"31,925",9,"7,354",12,"19,461",10,"14,618",12,x,16,"468,868",16,x,16,x,8,x,13,"3,116",5,x,8,"17,283",16,"8,722",17,"17,152",9,"8,911",14,"29,228",16,"67,903",13,488,2,x,11,x
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,"1,001,613",13,"5,931",12,x,1,x,13,"164,499",6,"77,800",10,"86,699",12,"16,689",0,0,12,"16,689",22,"70,986",22,"36,507",21,"34,479",20,"58,740",18,"31,925",9,"7,354",12,"19,461",10,"14,618",12,x,16,"468,868",16,x,16,x,8,x,13,"3,116",5,x,8,"17,283",16,"8,722",17,"17,152",9,"8,911",14,"29,228",16,"67,903",13,488,2,x,11,x
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,"12,195,630",73,"102,526",71,x,2,x,109,"2,698,726",72,"1,136,451",82,"1,562,275",123,"256,493",14,"8,346",119,"248,147",171,"803,388",166,"346,565",138,"456,823",140,"683,796",131,"391,224",80,"103,797",112,"188,775",100,"147,248",111,"358,427",99,"5,172,249",95,"3,933,364",87,"3,716,242",62,"1,178,496",69,"60,389",41,"72,021",66,"506,094",145,"118,186",152,"327,749",68,"158,389",132,"245,392",126,"692,194",109,"6,429",30,"3,156",94,"3,273"
100206000,1006000,10,2,6,0,Division No.  6,46,"3,197,758",17,x,17,x,0,0,28,"817,702",17,"228,452",19,"589,250",31,"89,132",3,"2,191",30,"86,941",40,"182,432",38,"72,397",33,"110,035",28,"128,325",27,"68,398",17,"18,833",22,"41,094",20,"30,268",24,"131,425",18,x,17,x,15,x,9,x,14,"15,124",6,x,18,"179,304",34,"36,026",36,"75,308",13,"60,526",32,"40,742",31,"285,811",28,"2,048",10,"1,139",23,909
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,"3,197,758",17,x,17,x,0,0,28,"817,702",17,"228,452",19,"589,250",31,"89,132",3,"2,191",30,"86,941",40,"182,432",38,"72,397",33,"110,035",28,"128,325",27,"68,398",17,"18,833",22,"41,094",20,"30,268",24,"131,425",18,x,17,x,15,x,9,x,14,"15,124",6,x,18,"179,304",34,"36,026",36,"75,308",13,"60,526",32,"40,742",31,"285,811",28,"2,048",10,"1,139",23,909
100207000,1007000,10,2,7,0,Division No.  7,87,"6,872,353",30,"25,315",30,"25,315",0,0,44,"1,278,908",33,"625,211",31,"653,697",53,"123,306",5,"3,488",50,"119,818",70,"440,997",69,"162,820",60,"278,177",62,"384,933",56,"225,814",34,"64,097",52,"95,022",47,"82,158",52,"179,180",41,"3,304,626",39,"2,466,550",36,"2,315,441",32,"800,909",28,"37,167",18,"51,006",30,"273,142",60,"58,000",63,"200,190",35,"75,209",56,"160,783",54,"316,758",44,"2,983",15,"1,537",37,"1,446"
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,"3,138,197",4,x,4,x,0,0,10,"366,301",7,"130,588",6,"235,713",13,"35,650",0,0,13,"35,650",20,"101,759",20,"42,108",17,"59,651",14,"48,329",13,"14,909",3,x,10,x,8,"23,452",14,"30,479",21,"2,129,809",20,"1,505,252",19,"1,399,165",18,"615,023",16,"9,534",7,x,6,"89,265",17,"21,516",18,"64,368",12,"37,844",19,"53,308",15,"120,726",10,707,3,x,7,x
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,"3,079,452",14,"18,904",14,"18,904",0,0,19,"748,823",18,"426,196",13,"322,627",22,"65,175",0,0,22,"65,175",27,"265,781",27,"87,340",26,"178,441",24,"249,921",21,"158,335",15,"41,391",21,"50,195",18,"38,562",18,"94,100",15,"1,163,550",14,x,12,"911,161",12,x,11,x,8,"10,686",16,"155,853",24,"20,841",25,"60,676",13,"33,238",21,"70,472",19,"121,432",19,"1,978",11,"1,075",16,903
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,"654,704",12,x,12,x,0,0,15,"163,784",8,"68,427",12,"95,357",18,"22,481",5,"3,488",15,"18,993",23,"73,457",22,"33,372",17,"40,085",24,"86,683",22,"52,570",16,x,21,x,21,"20,144",20,"54,601",5,"11,267",5,x,5,"5,115",2,x,1,x,3,x,8,"28,024",19,"15,643",20,"75,146",10,"4,127",16,"37,003",20,"74,600",15,298,1,x,14,x
100208000,1008000,10,2,8,0,Division No.  8,73,"2,125,519",26,x,24,x,2,x,37,"602,116",22,"282,788",32,"319,328",39,"44,055",6,"2,667",39,"41,388",61,"179,959",59,"111,348",45,"68,611",50,"170,538",48,"97,012",29,"20,867",38,"52,659",33,"34,822",35,"47,822",40,x,39,x,36,x,21,x,27,"8,098",17,x,18,"53,648",51,"24,160",53,"52,251",20,"22,654",44,"43,867",41,"89,625",37,"1,398",5,480,34,918
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,"223,018",6,x,5,x,1,x,8,"81,576",6,"41,825",6,"39,751",10,"5,776",0,0,10,"5,776",17,"24,278",16,"14,617",12,"9,661",10,"11,639",8,"2,522",6,"1,427",7,"7,690",6,"1,454",8,"4,968",14,"41,675",14,"34,735",12,"28,878",6,"5,135",12,"1,805",4,475,2,x,16,"5,852",17,"11,133",9,"6,074",13,"15,160",10,"6,878",8,189,1,x,8,x
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,"923,127",10,x,9,x,1,x,10,"250,480",5,"109,514",9,"140,966",10,"12,268",1,x,10,x,21,"46,079",21,"32,619",12,"13,460",19,"61,748",19,"42,065",8,"7,000",13,"12,683",11,"12,036",10,"5,863",15,x,14,x,13,x,9,"108,207",9,"4,305",7,x,5,x,14,"8,083",13,"17,812",4,"1,425",15,"12,954",11,"23,129",10,518,1,x,10,x
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,"979,374",10,x,10,x,0,0,19,"270,060",11,"131,449",17,"138,611",19,"26,011",5,x,19,x,23,"109,602",22,"64,112",21,"45,490",21,"97,151",21,"52,425",15,"12,440",18,"32,286",16,"21,333",17,"36,991",11,x,11,x,11,x,6,x,6,"1,988",6,x,11,"27,952",21,"10,225",23,"23,306",7,"15,155",16,"15,753",20,"59,618",19,691,3,x,16,x
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,"17,121,463",64,"107,596",62,x,4,x,99,"3,232,150",52,"1,240,377",79,"1,991,773",102,"264,161",5,"3,424",99,"260,737",149,"938,998",146,"514,423",130,"424,575",126,"661,660",116,"415,102",61,"81,335",83,"165,223",63,"78,461",99,"326,427",98,"8,772,346",89,"6,243,939",85,"6,225,141",49,"2,408,487",66,"119,920",33,"123,319",66,"552,543",117,"88,555",120,"299,297",39,"221,055",110,"222,861",113,"1,310,495",99,"6,543",29,"3,114",86,"3,429"
100304000,1004000,10,3,4,0,Division No.  4,65,"2,019,631",18,"7,252",17,x,3,x,35,"520,026",13,"96,000",26,"424,026",37,"60,185",0,0,37,"60,185",57,"298,060",57,"182,228",50,"115,832",55,"232,484",52,"134,856",23,"18,694",35,"78,934",27,"29,731",43,"50,048",35,"548,476",31,"376,425",27,"366,859",11,"155,625",23,"16,426",9,"7,445",23,"42,923",41,"22,107",43,"49,860",11,"8,620",42,"30,756",42,"141,389",35,"1,120",6,226,31,894
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,"323,807",3,"1,036",3,"1,036",0,0,14,"59,501",7,"32,642",9,"26,859",13,"11,647",0,0,13,"11,647",20,"56,022",20,"28,800",18,"27,222",20,"49,003",19,"43,000",5,"1,003",7,"5,000",7,"4,940",14,"9,535",13,"95,233",13,"81,778",10,"78,096",3,"4,924",7,"8,531",4,"1,970",7,"5,389",12,"4,432",12,"8,432",5,"3,644",13,"11,955",9,"6,008",14,201,1,x,13,x
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,"1,695,824",15,"6,216",14,x,3,x,21,"460,525",6,"63,358",17,"397,167",24,"48,538",0,0,24,"48,538",37,"242,038",37,"153,428",32,"88,610",35,"183,481",33,"91,856",18,"17,691",28,"73,934",20,"24,791",29,"40,513",22,"453,243",18,"294,647",17,"288,763",8,"150,701",16,"7,895",5,"5,475",16,"37,534",29,"17,675",31,"41,428",6,"4,976",29,"18,801",33,"135,381",21,919,5,x,18,x
100305000,1005000,10,3,5,0,Division No.  5,105,"15,101,832",46,"100,344",45,x,1,x,64,"2,712,124",39,"1,144,377",53,"1,567,747",65,"203,976",5,"3,424",62,"200,552",92,"640,938",89,"332,195",80,"308,743",71,"429,176",64,"280,246",38,"62,641",48,"86,289",36,"48,730",56,"276,379",63,"8,223,870",58,"5,867,514",58,"5,858,282",38,"2,252,862",43,"103,494",24,"115,874",43,"509,620",76,"66,448",77,"249,437",28,"212,435",68,"192,105",71,"1,169,106",64,"5,423",23,"2,888",55,"2,535"
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,"9,090,336",21,x,21,x,0,0,35,"1,559,941",22,"637,001",27,"922,940",32,"122,365",4,x,29,x,45,"394,683",44,"205,382",43,"189,301",38,"310,176",36,"207,094",23,"49,606",28,"53,476",19,"25,220",31,"118,007",26,"5,259,561",26,"3,693,153",26,"3,684,642",18,"1,488,952",18,"77,456",13,"53,497",27,"390,560",39,x,38,"163,564",13,"131,575",32,"89,481",37,"439,752",35,"3,031",15,"1,634",28,"1,397"
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,"4,636,959",7,x,7,x,0,0,20,"968,419",14,"420,850",17,"547,569",19,"53,378",1,x,19,x,22,"174,452",22,"79,883",19,"94,569",17,"84,059",15,"46,406",11,"11,796",11,"25,857",9,"18,423",11,"132,819",12,"2,098,901",11,"1,559,770",11,"1,559,558",10,"525,416",9,"13,715",7,"57,232",7,"78,349",23,x,23,"61,456",10,x,18,"91,291",19,"681,527",20,"2,119",6,x,19,x
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,"1,374,537",18,x,17,x,1,x,9,"183,764",3,"86,526",9,"97,238",14,"28,233",0,0,14,"28,233",25,"71,803",23,"46,930",18,"24,873",16,"34,941",13,"26,746",4,"1,239",9,"6,956",8,"5,087",14,"25,553",25,"865,408",21,"614,591",21,"614,081",10,"238,494",16,"12,323",4,"5,145",9,"40,711",14,"10,383",16,"24,417",5,x,18,"11,333",15,"47,827",9,273,2,x,8,x
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217","288,600,073",987,"10,087,911",948,"9,732,899",71,"355,012","1,237","42,284,056",649,"12,610,933","1,056","29,673,123","1,904","7,196,026",399,"2,146,890","1,824","5,049,136","2,075","30,209,898","2,023","12,269,150","1,919","17,940,748","1,802","66,116,426","1,681","32,967,687","1,270","17,687,451","1,318","15,461,288","1,213","10,594,155","1,364","5,394,997","1,677","64,146,090","1,578","32,199,675","1,524","25,703,650","1,094","28,520,617","1,488","3,425,798","1,156","5,917,506","1,282","19,138,620","1,836","1,931,878","1,979","4,786,027",579,"1,018,801","1,687","5,029,104","1,971","25,342,733","1,237","88,058",429,"44,947","1,044","43,111"
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,"44,011,874",149,"1,092,157",141,"1,064,009",11,"28,148",185,"7,488,438",99,"2,521,442",161,"4,966,996",298,"1,226,342",75,"418,611",282,"807,731",351,"4,727,389",342,"1,928,522",310,"2,798,867",301,"11,537,084",276,"6,022,956",211,"2,798,431",208,"2,715,697",186,"1,875,347",227,"1,614,472",243,"6,544,888",222,"4,310,161",212,"3,947,805",140,"1,855,790",208,"378,937",176,"947,279",192,"2,367,834",288,"324,556",318,"745,823",88,"159,588",263,"742,969",319,"4,493,055",185,"14,719",70,"7,533",151,"7,186"
110101000,1101000,11,1,1,0,Kings County,373,"44,011,874",149,"1,092,157",141,"1,064,009",11,"28,148",185,"7,488,438",99,"2,521,442",161,"4,966,996",298,"1,226,342",75,"418,611",282,"807,731",351,"4,727,389",342,"1,928,522",310,"2,798,867",301,"11,537,084",276,"6,022,956",211,"2,798,431",208,"2,715,697",186,"1,875,347",227,"1,614,472",243,"6,544,888",222,"4,310,161",212,"3,947,805",140,"1,855,790",208,"378,937",176,"947,279",192,"2,367,834",288,"324,556",318,"745,823",88,"159,588",263,"742,969",319,"4,493,055",185,"14,719",70,"7,533",151,"7,186"
110101001,1101001,11,1,1,1,Lot 64,27,"796,511",6,"40,745",6,"40,745",0,0,9,"91,645",1,x,8,x,19,"33,919",4,"6,022",17,"27,897",25,"109,109",25,"43,540",23,"65,569",24,"262,546",21,"139,041",17,"66,372",19,"57,133",18,"38,564",18,"16,518",14,"75,036",13,x,13,x,8,"28,350",9,x,11,"16,766",7,"35,249",17,"7,130",22,"24,776",5,967,20,"13,492",22,"68,613",9,306,1,x,9,x
110101006,1101006,11,1,1,6,Lot 63,19,"3,173,089",6,"60,915",5,x,1,x,11,"469,283",9,"178,013",8,"291,270",17,"101,885",6,"22,313",17,"79,572",17,"241,938",16,"103,409",16,"138,529",18,"663,941",15,"395,447",15,"84,012",15,"184,482",15,"183,977",10,"6,041",11,"1,156,432",9,"787,106",8,"783,106",6,"357,051",8,"12,275",6,"30,964",14,"170,335",17,"15,332",16,"47,718",9,"43,409",15,"60,003",17,"104,893",11,"1,203",5,479,8,724
110101008,1101008,11,1,1,8,Lot 61,19,"723,975",4,"7,175",4,"7,175",0,0,6,x,4,x,5,"73,711",12,"15,799",2,x,10,x,19,"90,616",17,"37,250",17,"53,366",18,"80,383",17,"61,012",10,"11,750",10,"7,621",9,x,13,"3,781",14,"229,191",12,"163,287",12,"155,365",8,"48,578",13,"17,326",5,"6,636",9,"32,916",14,"7,825",15,"24,732",2,x,12,"17,328",13,x,6,197,3,45,5,152
110101009,1101009,11,1,1,9,Lot 59,31,"2,687,847",11,"29,510",10,x,1,x,18,"554,118",10,"110,535",16,"443,583",24,"83,661",7,"32,253",23,"51,408",27,"279,956",27,"112,129",26,"167,827",23,"613,255",22,"258,447",16,"129,537",20,"225,271",16,"186,967",17,"44,163",19,"392,633",18,"308,872",17,"278,201",12,"64,392",17,"19,369",14,"45,799",16,"169,940",26,"26,561",27,"53,311",11,"24,105",18,"47,209",29,"323,626",18,983,6,365,15,618
110101014,1101014,11,1,1,14,Lot 51,27,"2,867,949",9,"173,439",8,x,1,x,12,"329,793",7,"101,972",12,"227,821",23,"63,654",7,"28,811",21,"34,843",25,"284,099",24,"147,960",20,"136,139",24,"897,153",23,"424,925",17,"219,386",14,"252,842",11,"52,157",16,"25,613",17,"621,273",16,"238,157",14,"213,866",10,"346,622",14,"36,494",15,"58,743",15,"193,212",19,"20,827",23,"39,485",5,"5,761",18,"52,005",21,"102,892",12,829,3,156,11,673
110101016,1101016,11,1,1,16,Lot 52,29,"2,955,745",15,"51,167",14,x,1,x,19,"277,256",9,"58,100",18,"219,156",28,"126,991",10,"60,380",26,"66,611",28,"256,409",28,"130,186",21,"126,223",21,"461,011",19,"279,122",16,"108,702",10,"73,187",8,"42,185",14,"36,625",17,"1,180,547",17,"755,106",17,"626,324",10,"372,873",15,"52,568",12,"31,236",16,"170,701",24,"14,195",24,"54,172",10,"18,188",19,"56,950",26,"220,297",19,493,4,204,17,289
110101019,1101019,11,1,1,19,Lot 53,16,"1,975,286",6,"14,962",6,"14,962",0,0,6,x,4,x,5,x,10,"50,178",2,x,10,x,14,"228,022",13,"89,223",11,"138,799",10,"382,176",10,"260,859",6,"49,352",7,"71,965",6,"69,681",9,x,14,"565,905",12,"391,258",12,"379,706",10,"154,086",11,"20,561",8,"133,864",11,"131,718",10,"7,730",13,"37,112",2,x,13,"55,792",14,"189,650",6,353,2,x,6,x
110101026,1101026,11,1,1,26,Lot 54,25,"1,593,944",9,"27,924",9,x,1,x,9,"146,105",4,"90,390",7,"55,715",18,"63,867",3,"23,653",18,"40,214",25,"173,474",24,"70,109",19,"103,365",20,"398,187",18,"249,339",8,"64,149",10,"84,699",10,"78,315",18,"31,241",22,"353,785",18,"295,159",18,"247,534",10,"30,241",22,"28,385",10,"30,329",12,"128,492",16,"11,973",19,"39,239",8,"10,403",17,"51,347",18,"127,578",9,304,4,218,5,86
110101028,1101028,11,1,1,28,Lot 55,18,"847,675",6,"9,570",6,"9,570",0,0,4,"94,510",3,"14,821",4,"79,689",13,"24,928",2,x,13,x,16,"100,507",16,"43,152",14,"57,355",13,"84,372",10,"46,786",7,"11,145",9,"26,441",7,"25,321",10,"16,180",16,"329,246",16,"208,630",14,"197,324",11,"101,090",13,"19,526",11,"17,532",10,"33,240",14,"13,012",17,"25,783",3,"1,698",15,"15,634",16,"81,463",4,167,2,x,4,x
110101029,1101029,11,1,1,29,Lot 56,17,"1,480,569",6,"23,970",5,x,1,x,9,"205,751",4,"61,975",8,"143,776",15,"54,683",5,"30,670",15,"24,013",16,"156,892",16,"66,186",14,"90,706",13,"182,192",12,x,11,x,9,x,8,"30,160",10,x,16,"399,632",13,"295,637",12,"268,406",8,"34,465",15,"69,530",12,"70,368",9,"156,126",14,"8,643",16,"37,639",2,x,13,"43,157",16,"109,520",9,624,5,405,7,219
