AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTOTVEG,TOTVEG,ETOTVEG,NSWCORN,SWCORN,ESWCORN,NTOMATO,TOMATO,ETOMATO,NCUCUMB,CUCUMB,ECUCUMB,NGRPEAS,GRPEAS,EGRPEAS,NBEANS,BEANS,EBEANS,NCABAGE,CABAGE,ECABAGE,NCHINCAB,CHINCAB,ECHINCAB,NCLFLWR,CLFLWR,ECLFLWR,NBROCLI,BROCLI,EBROCLI,NBRSPRT,BRSPRT,EBRSPRT,NCARROT,CARROT,ECARROT,NRTBAGA,RTBAGA,ERTBAGA,NBEETS,BEETS,EBEETS,NRADISH,RADISH,ERADISH,NONIONS,ONIONS,EONIONS,NSHALOT,SHALOT,ESHALOT,NCELERY,CELERY,ECELERY,NLETUCE,LETUCE,ELETUCE,NSPNACH,SPNACH,ESPNACH,NPEPPER,PEPPER,EPEPPER,NSQPUMP,SQPUMP,ESQPUMP,NRHBARB,RHBARB,ERHBARB,NASPPROD,ASPPROD,EASPPROD,NASPNPRD,ASPNPRD,EASPNPRD,NOTHVEG,OTHVEG,EOTHVEG
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,18,192,78,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,15,46,19,3,3,1,6,4,1,6,3,1,4,x,x,15,35,14,14,65,26,8,21,9,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,4,10,4
100101519,1001519,10,1,1,519,St. John's,168,72,217,88,0,0,0,5,x,x,1,x,x,4,x,x,5,x,x,49,36,14,5,2,0,21,7,3,24,10,4,15,6,3,51,30,12,59,60,24,43,16,7,2,x,x,8,2,1,7,x,x,3,x,x,14,10,4,7,x,x,1,x,x,8,3,1,6,x,x,0,0,0,0,0,0,16,26,11
100102000,1002000,10,1,2,0,Division No.  2,29,8,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,6,1,x,x,2,x,x,4,1,0,0,0,0,7,9,4,8,17,7,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,8,48,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,6,1,x,x,2,x,x,4,1,0,0,0,0,7,9,4,8,17,7,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,68,451,182,1,x,x,6,2,0,3,1,0,2,x,x,2,x,x,55,108,44,1,x,x,14,4,2,19,13,5,1,x,x,48,98,40,54,169,68,39,32,13,3,x,x,2,x,x,1,x,x,2,x,x,6,4,2,0,0,0,1,x,x,4,2,0,2,x,x,0,0,0,0,0,0,5,4,2
100206000,1006000,10,2,6,0,Division No.  6,46,11,99,40,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,8,21,9,0,0,0,1,x,x,4,5,2,0,0,0,6,21,8,10,36,15,4,7,3,0,0,0,1,x,x,1,x,x,1,x,x,3,3,1,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,11,99,40,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,8,21,9,0,0,0,1,x,x,4,5,2,0,0,0,6,21,8,10,36,15,4,7,3,0,0,0,1,x,x,1,x,x,1,x,x,3,3,1,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x
100207000,1007000,10,2,7,0,Division No.  7,87,31,177,72,0,0,0,2,x,x,1,x,x,1,x,x,1,x,x,23,44,18,1,x,x,4,x,x,6,3,1,1,x,x,20,46,19,21,68,27,16,9,4,2,x,x,1,x,x,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,2,x,x
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,13,90,36,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,9,27,11,1,x,x,2,x,x,2,x,x,0,0,0,7,x,x,7,45,18,7,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,2,x,x
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,15,x,x,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,11,13,5,0,0,0,1,x,x,3,x,x,1,x,x,11,36,14,12,x,x,8,5,2,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208000,1008000,10,2,8,0,Division No.  8,73,26,174,71,0,0,0,3,2,0,2,x,x,1,x,x,1,x,x,24,42,17,0,0,0,9,3,1,9,5,2,0,0,0,22,31,13,23,65,26,19,17,7,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,5,8,3,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,3,1,0,0,0,0,2,x,x,2,x,x,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,6,90,36,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,6,23,9,0,0,0,2,x,x,2,x,x,0,0,0,6,x,x,6,39,16,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,15,76,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,7,0,0,0,5,x,x,5,1,0,0,0,0,14,17,7,15,x,x,13,9,4,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,60,332,134,2,x,x,4,x,x,6,2,0,8,x,x,6,x,x,43,80,33,3,x,x,21,12,5,23,14,6,6,x,x,39,41,17,55,125,51,38,29,12,3,x,x,7,x,x,3,x,x,1,x,x,15,9,4,3,x,x,4,x,x,10,4,2,7,x,x,0,0,0,0,0,0,4,2,0
100304000,1004000,10,3,4,0,Division No.  4,65,34,183,74,1,x,x,2,x,x,4,x,x,3,x,x,3,1,0,20,49,20,1,x,x,9,5,2,10,6,2,4,x,x,19,22,9,32,72,29,20,15,6,2,x,x,3,x,x,3,x,x,0,0,0,7,2,0,2,x,x,1,x,x,5,2,0,3,1,0,0,0,0,0,0,0,3,x,x
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,8,21,8,1,x,x,1,x,x,2,x,x,1,x,x,0,0,0,3,1,0,0,0,0,1,x,x,1,x,x,2,x,x,5,2,1,7,9,4,5,4,2,0,0,0,2,x,x,1,x,x,0,0,0,2,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,26,162,66,0,0,0,1,x,x,2,x,x,2,x,x,3,1,0,17,48,19,1,x,x,8,x,x,9,x,x,2,x,x,14,19,8,25,63,26,15,11,4,2,x,x,1,x,x,2,x,x,0,0,0,5,x,x,1,x,x,0,0,0,3,x,x,1,x,x,0,0,0,0,0,0,2,x,x
100305000,1005000,10,3,5,0,Division No.  5,105,26,149,60,1,x,x,2,x,x,2,x,x,5,1,0,3,x,x,23,31,13,2,x,x,12,7,3,13,7,3,2,x,x,20,19,8,23,53,21,18,14,6,1,x,x,4,x,x,0,0,0,1,x,x,8,7,3,1,x,x,3,2,0,5,3,1,4,x,x,0,0,0,0,0,0,1,x,x
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,12,94,38,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,11,23,9,0,0,0,4,2,1,4,2,1,1,x,x,10,11,5,11,44,18,10,9,4,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,9,42,17,1,x,x,1,x,x,2,x,x,2,x,x,1,x,x,7,7,3,1,x,x,4,3,1,5,4,2,1,x,x,6,7,3,7,7,3,4,3,1,1,x,x,1,x,x,0,0,0,0,0,0,4,6,2,1,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,5,13,5,0,0,0,1,x,x,0,0,0,2,x,x,1,x,x,5,2,0,1,x,x,4,2,0,4,1,0,0,0,0,4,1,0,5,2,0,4,2,0,0,0,0,2,x,x,0,0,0,1,x,x,3,x,x,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217",167,"4,062","1,644",31,82,33,26,8,3,35,24,10,29,"1,771",717,38,23,9,30,224,91,8,4,2,21,58,24,27,54,22,15,175,71,43,603,244,64,485,196,31,11,5,11,7,3,30,183,74,8,2,0,6,5,2,27,62,25,13,5,2,23,20,8,32,50,20,11,2,0,3,2,0,4,3,1,54,196,79
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,34,847,343,6,11,4,5,x,x,7,x,x,4,x,x,6,2,0,8,32,13,2,x,x,3,1,0,5,5,2,4,x,x,8,2,0,12,131,53,6,x,x,3,x,x,6,32,13,1,x,x,1,x,x,3,x,x,1,x,x,5,1,0,4,1,0,1,x,x,1,x,x,0,0,0,14,84,34
110101000,1101000,11,1,1,0,Kings County,373,34,847,343,6,11,4,5,x,x,7,x,x,4,x,x,6,2,0,8,32,13,2,x,x,3,1,0,5,5,2,4,x,x,8,2,0,12,131,53,6,x,x,3,x,x,6,32,13,1,x,x,1,x,x,3,x,x,1,x,x,5,1,0,4,1,0,1,x,x,1,x,x,0,0,0,14,84,34
110101001,1101001,11,1,1,1,Lot 64,27,6,9,4,1,x,x,2,x,x,2,x,x,1,x,x,2,x,x,1,x,x,0,0,0,1,x,x,2,x,x,0,0,0,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,2,x,x,0,0,0,3,x,x,1,x,x,0,0,0,1,x,x,0,0,0,3,4,2
110101006,1101006,11,1,1,6,Lot 63,19,4,88,36,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x
110101008,1101008,11,1,1,8,Lot 61,19,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
110101009,1101009,11,1,1,9,Lot 59,31,7,108,44,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,4,33,13
110101014,1101014,11,1,1,14,Lot 51,27,3,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,2,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
110101016,1101016,11,1,1,16,Lot 52,29,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x
110101019,1101019,11,1,1,19,Lot 53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101026,1101026,11,1,1,26,Lot 54,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101028,1101028,11,1,1,28,Lot 55,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101029,1101029,11,1,1,29,Lot 56,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101032,1101032,11,1,1,32,Lot 44,29,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101034,1101034,11,1,1,34,Lot 45,19,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101039,1101039,11,1,1,39,Lot 47,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101042,1101042,11,1,1,42,Lot 41,22,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
110101046,1101046,11,1,1,46,Lot 40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101049,1101049,11,1,1,49,Lot 39,17,5,70,28,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101051,1101051,11,1,1,51,Lot 38,20,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088",100,"2,335",945,13,25,10,16,6,2,22,19,8,16,880,356,22,15,6,15,189,76,3,2,0,11,52,21,16,42,17,9,x,x,24,383,155,36,275,111,17,8,3,5,6,3,17,143,58,4,1,0,3,x,x,15,52,21,10,x,x,11,6,2,20,30,12,8,x,x,1,x,x,2,x,x,33,95,38
110202000,1102000,11,2,2,0,Queens County,"1,088",100,"2,335",945,13,25,10,16,6,2,22,19,8,16,880,356,22,15,6,15,189,76,3,2,0,11,52,21,16,42,17,9,x,x,24,383,155,36,275,111,17,8,3,5,6,3,17,143,58,4,1,0,3,x,x,15,52,21,10,x,x,11,6,2,20,30,12,8,x,x,1,x,x,2,x,x,33,95,38
110202001,1102001,11,2,2,1,Lot 62,16,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
110202004,1102004,11,2,2,4,Lot 60,17,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
110202006,1102006,11,2,2,6,Lot 58,19,6,71,29,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,3,12,5,1,x,x,0,0,0,2,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,3,9,4
110202008,1102008,11,2,2,8,Lot 57,49,13,362,147,2,x,x,2,x,x,1,x,x,2,x,x,1,x,x,2,x,x,0,0,0,1,x,x,1,x,x,2,x,x,1,x,x,6,57,23,1,x,x,0,0,0,4,94,38,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,5,11,4
110202009,1102009,11,2,2,9,Lot 50,57,11,84,34,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,2,x,x,11,64,26,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
110202012,1102012,11,2,2,12,Lot 49,37,5,68,27,1,x,x,0,0,0,2,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,2,x,x,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
110202014,1102014,11,2,2,14,Lot 48,64,4,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
110202026,1102026,11,2,2,26,Lot 31,94,6,130,52,0,0,0,0,0,0,0,0,0,3,115,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x
