AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FRMSIZE_1,FRMSIZE_2,FRMSIZE_3,FRMSIZE_4,FRMSIZE_5,FRMSIZE_6,FRMSIZE_7,FRMSIZE_8,FRMSIZE_9,FRMSIZE_10,FRMSIZE_11,FRMSIZE_12,FRMSIZE_13,FRMSIZE_14
110202004,1102004,11,2,2,4,Lot 60,17,1,3,4,1,2,2,2,1,1,0,0,0,0,0
110202006,1102006,11,2,2,6,Lot 58,19,1,4,2,5,1,3,0,3,0,0,0,0,0,0
110202008,1102008,11,2,2,8,Lot 57,49,3,10,5,6,4,9,7,2,1,1,0,1,0,0
110202009,1102009,11,2,2,9,Lot 50,57,1,9,9,7,5,11,8,5,1,1,0,0,0,0
110202012,1102012,11,2,2,12,Lot 49,37,1,4,4,2,4,11,6,1,2,0,1,0,1,0
110202014,1102014,11,2,2,14,Lot 48,64,3,16,14,6,6,12,4,2,1,0,0,0,0,0
110202026,1102026,11,2,2,26,Lot 31,94,8,26,13,9,9,10,9,3,6,1,0,0,0,0
110202028,1102028,11,2,2,28,Lot 65,49,1,10,9,8,7,9,2,3,0,0,0,0,0,0
110202029,1102029,11,2,2,29,Lot 30,49,3,7,10,8,8,10,1,2,0,0,0,0,0,0
110202031,1102031,11,2,2,31,Lot 29,50,3,9,12,5,5,11,2,0,2,1,0,0,0,0
110202036,1102036,11,2,2,36,Lot 67,69,5,9,13,5,11,17,6,2,1,0,0,0,0,0
110202038,1102038,11,2,2,38,Lot 20,46,2,5,10,9,1,5,7,2,1,1,1,1,1,0
110202039,1102039,11,2,2,39,Lot 21,30,3,6,4,3,2,7,1,2,0,0,1,1,0,0
110202040,1102040,11,2,2,40,Miltonvale Park,31,3,8,7,3,2,4,4,0,0,0,0,0,0,0
110202041,1102041,11,2,2,41,Lot 22,33,1,8,7,0,2,3,9,1,2,0,0,0,0,0
110202042,1102042,11,2,2,42,Lot 23,50,0,14,10,3,7,6,4,3,3,0,0,0,0,0
110202044,1102044,11,2,2,44,Lot 24,65,4,11,19,9,2,13,3,2,2,0,0,0,0,0
110202049,1102049,11,2,2,49,Lot 33,75,10,12,9,7,8,16,6,4,2,1,0,0,0,0
110202052,1102052,11,2,2,52,Lot 34,59,6,16,7,10,2,8,3,3,2,0,1,0,1,0
110202054,1102054,11,2,2,54,Lot 35,32,3,4,9,2,5,5,3,0,1,0,0,0,0,0
110202056,1102056,11,2,2,56,Lot 36,39,3,2,7,2,9,8,6,1,1,0,0,0,0,0
110202058,1102058,11,2,2,58,Lot 37,28,0,2,8,2,5,7,1,1,0,1,1,0,0,0
110202085,1102085,11,2,2,85,Cornwall,30,5,3,2,4,5,4,2,2,2,0,0,1,0,0
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,756,56,116,106,80,67,118,82,47,49,22,5,1,6,1
110303000,1103000,11,3,3,0,Prince County,756,56,116,106,80,67,118,82,47,49,22,5,1,6,1
110303001,1103001,11,3,3,1,Lot 28,46,0,9,5,4,5,3,10,2,7,0,0,0,1,0
110303006,1103006,11,3,3,6,Lot 27,50,3,5,12,6,2,7,6,4,1,2,1,0,1,0
110303009,1103009,11,3,3,9,Lot 26,51,1,8,8,6,2,6,6,7,3,3,0,1,0,0
110303011,1103011,11,3,3,11,Lot 25,33,1,5,4,4,3,6,3,2,2,3,0,0,0,0
110303012,1103012,11,3,3,12,Lot 19,46,4,8,10,3,4,4,7,2,2,2,0,0,0,0
110303016,1103016,11,3,3,16,Lot 18,44,1,12,9,4,2,6,1,2,3,2,1,0,1,0
110303019,1103019,11,3,3,19,Lot 17,52,8,9,5,9,4,7,1,4,2,1,1,0,0,1
110303028,1103028,11,3,3,28,Lot 16,34,1,7,3,4,4,7,6,0,2,0,0,0,0,0
110303031,1103031,11,3,3,31,Lot 14,30,3,4,4,4,3,4,0,2,5,0,0,0,1,0
110303032,1103032,11,3,3,32,Lot 13,41,5,3,6,7,4,10,2,2,0,1,1,0,0,0
110303034,1103034,11,3,3,34,Lot 12,20,4,2,3,4,1,4,1,0,1,0,0,0,0,0
110303036,1103036,11,3,3,36,Lot 11,22,2,4,3,2,0,4,5,0,1,0,1,0,0,0
110303041,1103041,11,3,3,41,Lot  6,42,3,6,4,1,5,5,9,4,3,1,0,0,1,0
110303044,1103044,11,3,3,44,Lot  9,19,0,2,2,6,1,3,4,1,0,0,0,0,0,0
110303046,1103046,11,3,3,46,Lot  8,35,2,3,3,2,5,4,5,4,5,2,0,0,0,0
110303048,1103048,11,3,3,48,Lot  7,28,3,3,4,3,2,3,7,0,3,0,0,0,0,0
110303049,1103049,11,3,3,49,Lot  5,26,2,5,4,2,2,5,3,1,1,1,0,0,0,0
110303051,1103051,11,3,3,51,Lot  4,49,7,4,2,1,6,14,1,4,7,2,0,0,1,0
110303054,1103054,11,3,3,54,Lot  3,33,1,2,2,3,6,11,2,4,1,1,0,0,0,0
110303056,1103056,11,3,3,56,Lot  2,16,2,5,3,0,2,2,0,1,0,1,0,0,0,0
110303058,1103058,11,3,3,58,Lot  1,39,3,10,10,5,4,3,3,1,0,0,0,0,0,0
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,"4,453",459,898,727,418,427,751,374,189,125,48,24,7,1,5
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,802,132,186,155,78,58,107,47,15,14,5,5,0,0,0
120101000,1201000,12,1,1,0,Shelburne County,29,13,3,3,2,3,1,1,0,2,1,0,0,0,0
120101006,1201006,12,1,1,6,Shelburne,29,13,3,3,2,3,1,1,0,2,1,0,0,0,0
120102000,1202000,12,1,2,0,Yarmouth County,133,30,31,29,11,5,13,9,1,1,2,1,0,0,0
120102001,1202001,12,1,2,1,Argyle,36,12,13,5,0,0,2,1,1,0,1,1,0,0,0
120102004,1202004,12,1,2,4,Yarmouth,97,18,18,24,11,5,11,8,0,1,1,0,0,0,0
120103000,1203000,12,1,3,0,Digby County,132,36,37,23,9,2,16,6,0,3,0,0,0,0,0
120103001,1203001,12,1,3,1,Clare,80,26,29,11,3,1,8,2,0,0,0,0,0,0,0
120103004,1203004,12,1,3,4,Digby,52,10,8,12,6,1,8,4,0,3,0,0,0,0,0
120104000,1204000,12,1,4,0,Queens County,58,12,15,5,3,5,5,6,5,2,0,0,0,0,0
120104008,1204008,12,1,4,8,"Queens, Subd. B",58,12,15,5,3,5,5,6,5,2,0,0,0,0,0
120106000,1206000,12,1,6,0,Lunenburg County,450,41,100,95,53,43,72,25,9,6,2,4,0,0,0
120106001,1206001,12,1,6,1,Lunenburg,315,35,70,67,37,25,49,19,6,2,2,3,0,0,0
120106009,1206009,12,1,6,9,Chester,135,6,30,28,16,18,23,6,3,4,0,1,0,0,0
120200000,1200000,12,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,371",134,322,214,126,130,219,117,58,31,14,3,1,1,1
120205000,1205000,12,2,5,0,Annapolis County,271,23,53,38,29,34,49,27,11,5,1,0,0,0,1
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",33,1,6,10,5,3,5,1,0,1,0,0,0,0,1
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",75,9,13,10,9,12,8,6,6,2,0,0,0,0,0
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",89,8,16,12,6,7,25,12,2,1,0,0,0,0,0
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",74,5,18,6,9,12,11,8,3,1,1,0,0,0,0
120207000,1207000,12,2,7,0,Kings County,707,73,199,118,62,57,94,50,30,15,6,3,0,0,0
120207001,1207001,12,2,7,1,"Kings, Subd. A",347,34,98,63,32,30,42,27,11,5,4,1,0,0,0
120207011,1207011,12,2,7,11,"Kings, Subd. C",50,7,13,6,6,5,6,3,4,0,0,0,0,0,0
120207016,1207016,12,2,7,16,"Kings, Subd. B",205,26,57,33,14,15,24,13,9,10,2,2,0,0,0
120207021,1207021,12,2,7,21,"Kings, Subd. D",105,6,31,16,10,7,22,7,6,0,0,0,0,0,0
120208000,1208000,12,2,8,0,Hants County,393,38,70,58,35,39,76,40,17,11,7,0,1,1,0
120208001,1208001,12,2,8,1,West Hants,189,21,29,29,20,24,37,18,6,3,2,0,0,0,0
120208008,1208008,12,2,8,8,East Hants,204,17,41,29,15,15,39,22,11,8,5,0,1,1,0
120300000,1200000,12,3,0,0,Agricultural Region 3 - RÇgion agricole 3,"1,304",141,244,196,105,119,231,104,72,52,19,13,5,0,3
120309000,1209000,12,3,9,0,Halifax County,210,51,42,29,11,12,26,17,8,9,3,2,0,0,0
120309012,1209012,12,3,9,12,"Halifax, Subd. C",23,9,4,3,1,3,2,0,0,1,0,0,0,0,0
120309018,1209018,12,3,9,18,"Halifax, Subd. D",35,20,11,2,0,0,1,0,1,0,0,0,0,0,0
120309026,1209026,12,3,9,26,"Halifax, Subd. E",54,11,14,7,3,4,5,6,2,0,1,1,0,0,0
120309031,1209031,12,3,9,31,"Halifax, Subd. F",65,6,7,13,6,3,12,8,3,6,0,1,0,0,0
120309036,1209036,12,3,9,36,"Halifax, Subd. G",33,5,6,4,1,2,6,3,2,2,2,0,0,0,0
120310000,1210000,12,3,10,0,Colchester County,538,44,106,78,53,59,100,37,33,21,5,1,0,0,1
120310001,1210001,12,3,10,1,"Colchester, Subd. C",206,18,31,24,21,14,45,21,22,8,2,0,0,0,0
120310008,1210008,12,3,10,8,"Colchester, Subd. B",187,9,33,29,22,29,40,11,7,7,0,0,0,0,0
120310012,1210012,12,3,10,12,"Colchester, Subd. A",145,17,42,25,10,16,15,5,4,6,3,1,0,0,1
120311000,1211000,12,3,11,0,Cumberland County,556,46,96,89,41,48,105,50,31,22,11,10,5,0,2
120311001,1211001,12,3,11,1,"Cumberland, Subd. A",93,10,23,14,5,9,13,5,2,3,4,3,2,0,0
120311006,1211006,12,3,11,6,"Cumberland, Subd. B",186,17,44,34,9,17,28,16,7,6,2,4,0,0,2
120311009,1211009,12,3,11,9,"Cumberland, Subd. C",167,13,23,22,15,10,47,9,13,10,2,1,2,0,0
120311014,1211014,12,3,11,14,"Cumberland, Subd. D",110,6,6,19,12,12,17,20,9,3,3,2,1,0,0
120400000,1200000,12,4,0,0,Agricultural Region 4 - RÇgion agricole 4,690,26,103,107,77,83,151,82,29,19,9,2,1,0,1
120412000,1212000,12,4,12,0,Pictou County,343,12,51,69,42,39,77,29,12,9,2,1,0,0,0
120412001,1212001,12,4,12,1,"Pictou, Subd. A",151,3,20,24,23,20,43,12,4,2,0,0,0,0,0
120412006,1212006,12,4,12,6,"Pictou, Subd. B",94,3,11,27,8,9,20,8,1,5,1,1,0,0,0
120412011,1212011,12,4,12,11,"Pictou, Subd. C",98,6,20,18,11,10,14,9,7,2,1,0,0,0,0
120413000,1213000,12,4,13,0,Guysborough County,100,4,25,8,7,16,10,17,3,4,5,0,0,0,1
120413001,1213001,12,4,13,1,St. Mary's,33,1,9,2,3,3,4,5,1,2,2,0,0,0,1
120413004,1213004,12,4,13,4,Guysborough,67,3,16,6,4,13,6,12,2,2,3,0,0,0,0
120414000,1214000,12,4,14,0,Antigonish County,247,10,27,30,28,28,64,36,14,6,2,1,1,0,0
120414001,1214001,12,4,14,1,"Antigonish, Subd. A",155,9,15,19,15,22,38,22,9,3,2,1,0,0,0
120414006,1214006,12,4,14,6,"Antigonish, Subd. B",92,1,12,11,13,6,26,14,5,3,0,0,1,0,0
120500000,1200000,12,5,0,0,Agricultural Region 5 - RÇgion agricole 5,286,26,43,55,32,37,43,24,15,9,1,1,0,0,0
120515000,1215000,12,5,15,0,Inverness County,130,6,13,20,17,17,22,15,13,6,0,1,0,0,0
120515001,1215001,12,5,15,1,"Inverness, Subd. C",25,1,1,2,2,4,5,4,4,1,0,1,0,0,0
120515006,1215006,12,5,15,6,"Inverness, Subd. B",69,1,8,6,11,12,11,9,7,4,0,0,0,0,0
120515011,1215011,12,5,15,11,"Inverness, Subd. A",36,4,4,12,4,1,6,2,2,1,0,0,0,0,0
120516000,1216000,12,5,16,0,Richmond County,18,3,5,4,0,3,3,0,0,0,0,0,0,0,0
120516001,1216001,12,5,16,1,"Richmond, Subd. C",18,3,5,4,0,3,3,0,0,0,0,0,0,0,0
120517000,1217000,12,5,17,0,Cape Breton County,104,13,21,23,15,13,13,5,1,0,0,0,0,0,0
120517030,1217030,12,5,17,30,Cape Breton,104,13,21,23,15,13,13,5,1,0,0,0,0,0,0
120518000,1218000,12,5,18,0,Victoria County,34,4,4,8,0,4,5,4,1,3,1,0,0,0,0
120518001,1218001,12,5,18,1,"Victoria, Subd. B",34,4,4,8,0,4,5,4,1,3,1,0,0,0,0
130000000,1300000,13,0,0,0,New Brunswick - Nouveau-Brunswick,"3,405",319,524,478,312,396,576,375,208,125,58,24,5,2,3
130100000,1300000,13,1,0,0,Agricultural Region 1 - RÇgion agricole 1,"1,249",103,136,173,105,149,215,154,93,70,31,13,4,1,2
130110000,1310000,13,1,10,0,York County,366,38,54,60,29,42,65,43,20,8,5,1,1,0,0
130110004,1310004,13,1,10,4,Manners Sutton,37,2,6,8,4,3,8,3,3,0,0,0,0,0,0
130110011,1310011,13,1,10,11,Canterbury,19,2,5,1,0,5,3,2,0,0,0,0,1,0,0
130110016,1310016,13,1,10,16,Prince William,22,2,3,3,1,3,5,3,1,0,1,0,0,0,0
130110018,1310018,13,1,10,18,Kingsclear,35,4,5,7,3,5,7,2,0,1,1,0,0,0,0
130110021,1310021,13,1,10,21,Queensbury,37,2,7,3,2,2,9,7,4,1,0,0,0,0,0
130110024,1310024,13,1,10,24,Southampton,32,1,0,7,1,1,7,7,3,4,1,0,0,0,0
130110026,1310026,13,1,10,26,Bright,52,9,9,10,4,4,8,6,2,0,0,0,0,0,0
130110028,1310028,13,1,10,28,Douglas,44,5,6,8,4,4,6,4,3,2,1,1,0,0,0
130110031,1310031,13,1,10,31,Saint Marys,25,3,3,3,2,8,3,3,0,0,0,0,0,0,0
130110032,1310032,13,1,10,32,Fredericton,25,5,4,1,3,2,3,3,3,0,1,0,0,0,0
130110036,1310036,13,1,10,36,Stanley,38,3,6,9,5,5,6,3,1,0,0,0,0,0,0
130111000,1311000,13,1,11,0,Carleton County,474,33,41,72,36,54,81,55,40,33,17,7,2,1,2
130111001,1311001,13,1,11,1,Richmond,42,4,6,5,4,5,6,7,2,2,0,0,1,0,0
130111004,1311004,13,1,11,4,Woodstock,39,1,6,4,3,6,7,4,3,2,1,1,1,0,0
130111008,1311008,13,1,11,8,Northampton,25,1,3,3,1,1,7,5,2,1,1,0,0,0,0
130111011,1311011,13,1,11,11,Brighton,41,2,2,10,4,3,7,3,2,4,3,1,0,0,0
130111014,1311014,13,1,11,14,Wakefield,70,9,6,9,2,8,11,6,5,6,5,2,0,1,0
130111018,1311018,13,1,11,18,Wilmot,50,3,5,7,3,4,10,7,4,3,2,1,0,0,1
130111021,1311021,13,1,11,21,Simonds,19,1,1,3,2,6,1,2,0,1,1,0,0,0,1
130111024,1311024,13,1,11,24,Peel,35,0,3,8,4,2,4,9,4,1,0,0,0,0,0
130111026,1311026,13,1,11,26,Aberdeen,34,3,0,6,2,3,10,3,5,2,0,0,0,0,0
130111028,1311028,13,1,11,28,Kent,75,8,6,7,7,12,11,7,7,7,2,1,0,0,0
130111031,1311031,13,1,11,31,Wicklow,44,1,3,10,4,4,7,2,6,4,2,1,0,0,0
130112000,1312000,13,1,12,0,Victoria County,220,12,23,21,23,34,36,27,16,16,7,5,0,0,0
130112001,1312001,13,1,12,1,Andover,20,1,2,4,5,1,3,1,3,0,0,0,0,0,0
130112004,1312004,13,1,12,4,Perth,39,4,3,4,6,0,11,3,2,5,1,0,0,0,0
130112008,1312008,13,1,12,8,Gordon,38,1,6,5,1,11,2,4,3,3,1,1,0,0,0
130112014,1312014,13,1,12,14,Denmark,37,0,3,4,7,8,5,5,2,3,0,0,0,0,0
130112016,1312016,13,1,12,16,Grand Falls,38,3,6,3,1,4,7,2,3,3,3,3,0,0,0
130112021,1312021,13,1,12,21,Drummond,48,3,3,1,3,10,8,12,3,2,2,1,0,0,0
130113000,1313000,13,1,13,0,Madawaska County,189,20,18,20,17,19,33,29,17,13,2,0,1,0,0
130113001,1313001,13,1,13,1,Saint-AndrÇ,42,2,2,2,2,5,9,7,5,7,1,0,0,0,0
130113004,1313004,13,1,13,4,Saint-LÇonard,16,2,1,3,2,1,0,3,2,2,0,0,0,0,0
130113011,1313011,13,1,13,11,Sainte-Anne,18,0,1,2,3,2,6,2,2,0,0,0,0,0,0
130113015,1313015,13,1,13,15,Riviäre-Verte,27,1,3,3,3,6,5,3,2,1,0,0,0,0,0
130113022,1313022,13,1,13,22,Saint-Joseph,28,3,2,5,3,2,5,4,2,1,1,0,0,0,0
130113038,1313038,13,1,13,38,Clair,24,3,3,3,1,1,3,6,2,1,0,0,1,0,0
130113041,1313041,13,1,13,41,Saint-Franáois,34,9,6,2,3,2,5,4,2,1,0,0,0,0,0
130200000,1300000,13,2,0,0,Agricultural Region 2 - RÇgion agricole 2,957,98,155,121,88,125,160,106,58,29,11,4,0,1,1
130202000,1302000,13,2,2,0,Charlotte County,150,23,31,26,14,15,21,8,5,4,2,1,0,0,0
130202011,1302011,13,2,2,11,Pennfield,33,10,9,4,2,2,1,4,0,1,0,0,0,0,0
130202016,1302016,13,2,2,16,Saint George,19,4,4,4,1,2,3,1,0,0,0,0,0,0,0
130202034,1302034,13,2,2,34,Saint Stephen,16,2,2,6,1,0,4,1,0,0,0,0,0,0,0
130202039,1302039,13,2,2,39,Saint James,19,0,2,1,2,3,5,0,4,1,1,0,0,0,0
130202042,1302042,13,2,2,42,Saint David,36,5,4,6,6,5,6,1,0,1,1,1,0,0,0
130202044,1302044,13,2,2,44,Dumbarton,27,2,10,5,2,3,2,1,1,1,0,0,0,0,0
130203000,1303000,13,2,3,0,Sunbury County,120,16,28,21,10,14,10,11,4,4,2,0,0,0,0
130203001,1303001,13,2,3,1,Blissville,32,4,5,7,6,4,2,2,1,1,0,0,0,0,0
130203004,1303004,13,2,3,4,Gladstone,18,3,3,3,1,5,0,3,0,0,0,0,0,0,0
130203008,1303008,13,2,3,8,Lincoln,24,3,5,6,1,2,4,2,1,0,0,0,0,0,0
130203011,1303011,13,2,3,11,Burton,17,5,7,0,1,1,1,1,1,0,0,0,0,0,0
130203016,1303016,13,2,3,16,Maugerville,29,1,8,5,1,2,3,3,1,3,2,0,0,0,0
130204000,1304000,13,2,4,0,Queens County,162,12,25,23,13,22,22,23,12,4,2,2,0,1,1
130204004,1304004,13,2,4,4,Gagetown,19,2,6,2,2,1,1,3,1,1,0,0,0,0,0
130204006,1304006,13,2,4,6,Hampstead,28,3,6,2,1,3,6,3,1,1,0,2,0,0,0
130204008,1304008,13,2,4,8,Wickham,20,0,0,4,2,3,3,3,4,0,0,0,0,0,1
130204011,1304011,13,2,4,11,Cambridge,44,1,8,8,4,6,8,4,2,2,0,0,0,1,0
130204018,1304018,13,2,4,18,Waterborough,28,1,2,5,3,6,2,6,2,0,1,0,0,0,0
130204024,1304024,13,2,4,24,Chipman,23,5,3,2,1,3,2,4,2,0,1,0,0,0,0
130205000,1305000,13,2,5,0,Kings County,525,47,71,51,51,74,107,64,37,17,5,1,0,0,0
130205004,1305004,13,2,5,4,Upham,58,10,16,5,4,4,9,5,2,1,2,0,0,0,0
130205006,1305006,13,2,5,6,Hampton,24,5,4,3,1,4,4,1,1,1,0,0,0,0,0
130205014,1305014,13,2,5,14,Kingston,22,2,3,1,6,3,4,2,1,0,0,0,0,0,0
130205016,1305016,13,2,5,16,Norton,16,1,0,3,1,0,4,4,2,1,0,0,0,0,0
130205018,1305018,13,2,5,18,Norton,32,0,4,1,3,5,11,4,1,3,0,0,0,0,0
130205021,1305021,13,2,5,21,Sussex,58,8,8,3,3,6,11,10,3,5,1,0,0,0,0
130205024,1305024,13,2,5,24,Waterford,21,1,2,1,1,7,6,0,2,1,0,0,0,0,0
130205026,1305026,13,2,5,26,Cardwell,30,2,5,2,3,2,6,4,5,0,1,0,0,0,0
130205028,1305028,13,2,5,28,Havelock,51,0,9,5,6,11,9,6,4,1,0,0,0,0,0
130205031,1305031,13,2,5,31,Studholm,119,8,6,8,13,19,30,23,10,1,0,1,0,0,0
