AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TOTALF,TOTALR,TOTALC,ONE,ONEF,ONER,ONEC,TWO,TWOF,TWOR,TWOC
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",25,96,"42,053","178,784",20,96,"12,183","134,553",5,98,"191,405","399,940"
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",25,96,"33,055","125,090",20,119,"18,931","134,100",5,27,"75,427","98,062"
100300000,1000000,10,3,0,0,Agricultural Region 3 - Région agricole 3,170,149,"117,149","266,758",140,148,"97,947","245,701",25,154,"214,532","373,544"
100304000,1004000,10,3,4,0,Division No.  4,65,170,"41,026","233,240",55,174,"39,289","222,089",10,142,"53,398","312,692"
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",20,181,"15,162","222,470",20,171,"11,561","175,507",5,243,"37,971","519,902"
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",45,164,"54,259","238,750",40,175,"53,154","245,380",5,82,"62,655","188,367"
100305000,1005000,10,3,5,0,Division No.  5,105,136,"164,273","287,507",85,130,"137,282","261,536",20,158,"278,985","397,885"
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",50,169,"222,643","412,800",40,159,"213,231","390,322",10,209,"257,468","495,966"
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",25,106,"198,724","233,270",20,101,"129,693","201,227",5,125,"440,331","345,420"
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",30,110,"45,772","144,786",25,115,"39,107","131,957",5,82,"90,758","231,380"
110000000,1100000,11,0,0,0,Prince Edward Island - Île-du-Prince-Édouard,"2,215",296,"157,508","639,215","1,590",252,"119,768","526,683",625,408,"253,641","925,854"
110100000,1100000,11,1,0,0,Agricultural Region 1 - Région agricole 1,375,342,"151,811","589,752",265,278,"104,012","462,130",110,498,"267,581","898,854"
110101000,1101000,11,1,1,0,Kings County,370,342,"151,811","589,752",265,278,"104,012","462,130",105,498,"267,581","898,854"
110101001,1101001,11,1,1,1,Lot 64,25,161,"49,219","296,332",20,138,"47,317","193,357",10,242,"55,876","656,743"
110101006,1101006,11,1,1,6,Lot 63,20,383,"198,259","461,729",15,214,"150,478","317,289",5,"1,018","377,439","1,003,379"
110101008,1101008,11,1,1,8,Lot 61,20,193,"42,050","269,679",15,191,"50,731","272,487",5,197,"23,241","263,595"
110101009,1101009,11,1,1,9,Lot 59,30,226,"100,610","422,339",20,231,"78,195","374,420",10,213,"155,402","539,476"
110101014,1101014,11,1,1,14,Lot 51,25,431,"118,889","715,787",25,454,"122,281","770,236",5,247,"91,753","280,195"
110101016,1101016,11,1,1,16,Lot 52,30,228,"122,436","478,573",15,219,"69,567","383,595",15,238,"179,080","580,335"
110101019,1101019,11,1,1,19,Lot 53,15,294,"162,742","545,382",10,282,"93,583","510,947",10,305,"231,901","579,817"
110101026,1101026,11,1,1,26,Lot 54,25,280,"70,240","360,788",20,216,"40,728","288,931",0,0,0,0
110101028,1101028,11,1,1,28,Lot 55,15,218,"64,303","367,476",15,172,"37,240","336,820",5,446,"199,617","520,758"
110101029,1101029,11,1,1,29,Lot 56,15,354,"115,781","665,231",10,200,"71,946","387,930",10,574,"178,403","1,061,375"
110101032,1101032,11,1,1,32,Lot 44,30,372,"246,521","686,880",25,336,"236,581","524,587",10,465,"272,613","1,112,900"
110101034,1101034,11,1,1,34,Lot 45,15,719,"348,783","1,236,163",10,384,"153,703","642,473",5,"1,292","683,204","2,253,918"
110101039,1101039,11,1,1,39,Lot 47,20,537,"308,901","1,052,762",15,287,"170,181","655,796",10,881,"499,641","1,598,592"
110101042,1101042,11,1,1,42,Lot 41,25,363,"158,467","656,735",20,363,"134,955","668,671",5,364,"221,166","624,907"
110101046,1101046,11,1,1,46,Lot 40,20,542,"286,748","1,007,211",15,283,"70,340","585,452",5,"1,104","755,633","1,921,023"
110101049,1101049,11,1,1,49,Lot 39,20,292,"124,329","552,232",10,292,"100,593","532,654",10,293,"167,846","588,127"
110101051,1101051,11,1,1,51,Lot 38,20,377,"133,614","486,543",15,437,"144,421","527,877",5,239,"108,397","390,098"
110200000,1100000,11,2,0,0,Agricultural Region 2 - Région agricole 2,"1,085",251,"133,047","545,795",780,216,"99,749","463,392",310,339,"217,757","755,427"
110202000,1102000,11,2,2,0,Queens County,"1,090",251,"133,047","545,795",785,216,"99,749","463,392",305,339,"217,757","755,427"
110202001,1102001,11,2,2,1,Lot 62,15,372,"143,232","349,366",10,269,"38,654","273,151",5,600,"373,303","517,040"
110202004,1102004,11,2,2,4,Lot 60,15,250,"135,458","489,324",10,280,"165,389","530,358",5,178,"63,622","390,841"
110202006,1102006,11,2,2,6,Lot 58,20,225,"78,462","392,102",10,248,"80,988","412,065",5,199,"75,656","369,921"
110202008,1102008,11,2,2,8,Lot 57,50,301,"178,387","641,610",30,298,"129,569","670,597",20,307,"255,468","595,841"
110202009,1102009,11,2,2,9,Lot 50,60,284,"161,193","592,803",45,226,"123,799","484,124",10,502,"301,422","1,000,347"
110202012,1102012,11,2,2,12,Lot 49,40,412,"81,541","820,363",30,383,"74,778","790,394",5,519,"106,058","929,003"
110202014,1102014,11,2,2,14,Lot 48,65,182,"70,897","357,520",45,177,"48,309","327,341",20,192,"120,592","423,915"
110202026,1102026,11,2,2,26,Lot 31,95,227,"118,435","498,360",70,179,"101,124","398,243",20,376,"171,872","807,416"
110202028,1102028,11,2,2,28,Lot 65,45,196,"82,273","407,224",40,183,"79,424","376,912",10,236,"91,057","500,685"
110202029,1102029,11,2,2,29,Lot 30,50,179,"56,322","316,690",40,147,"43,130","252,206",15,292,"101,895","539,452"
110202031,1102031,11,2,2,31,Lot 29,50,220,"96,715","424,279",40,175,"72,321","339,312",10,383,"183,203","725,527"
110202036,1102036,11,2,2,36,Lot 67,70,208,"159,949","479,935",55,208,"81,813","462,348",10,208,"466,910","549,024"
110202038,1102038,11,2,2,38,Lot 20,45,408,"298,481","1,192,374",35,395,"314,972","1,169,932",15,448,"251,755","1,255,961"
110202039,1102039,11,2,2,39,Lot 21,30,317,"189,962","708,293",20,138,"40,169","232,136",5,810,"601,894","2,017,722"
110202040,1102040,11,2,2,40,Miltonvale Park,30,157,"68,685","412,090",25,126,"54,944","343,953",10,234,"102,272","578,648"
110202041,1102041,11,2,2,41,Lot 22,30,270,"100,244","504,982",20,243,"98,479","415,542",10,312,"102,960","642,582"
110202042,1102042,11,2,2,42,Lot 23,50,246,"132,451","486,411",40,251,"145,904","485,597",10,228,"84,756","489,298"
110202044,1102044,11,2,2,44,Lot 24,65,196,"129,580","481,489",50,158,"100,265","398,412",15,348,"246,840","813,795"
110202049,1102049,11,2,2,49,Lot 33,75,233,"173,327","740,136",50,222,"125,610","606,282",25,254,"268,761","1,007,845"
110202052,1102052,11,2,2,52,Lot 34,60,276,"164,103","604,346",35,162,"77,001","404,490",25,412,"267,335","841,213"
110202054,1102054,11,2,2,54,Lot 35,30,193,"128,315","454,684",20,158,"118,437","346,081",10,261,"147,174","662,017"
110202056,1102056,11,2,2,56,Lot 36,40,247,"79,912","318,919",30,249,"53,350","288,154",10,241,"168,454","421,468"
110202058,1102058,11,2,2,58,Lot 37,30,302,"86,984","478,119",20,327,"96,769","551,875",5,228,"57,628","256,852"
110202085,1102085,11,2,2,85,Cornwall,30,337,"237,981","821,997",15,151,"77,358","443,915",10,579,"448,025","1,316,412"
110300000,1100000,11,3,0,0,Agricultural Region 3 - Région agricole 3,755,337,"195,522","798,064",550,290,"155,954","648,205",205,461,"299,081","1,190,277"
110303000,1103000,11,3,3,0,Prince County,755,337,"195,522","798,064",545,290,"155,954","648,205",210,461,"299,081","1,190,277"
110303001,1103001,11,3,3,1,Lot 28,45,398,"276,610","1,125,516",30,237,"174,970","634,088",15,648,"434,716","1,889,960"
110303006,1103006,11,3,3,6,Lot 27,50,383,"266,984","1,117,628",40,299,"223,072","871,375",10,648,"406,036","1,897,427"
110303009,1103009,11,3,3,9,Lot 26,50,412,"237,277","1,138,241",30,432,"242,476","1,087,407",25,388,"230,947","1,200,126"
110303011,1103011,11,3,3,11,Lot 25,30,396,"277,898","1,084,847",25,370,"198,736","966,059",10,477,"525,278","1,456,061"
110303012,1103012,11,3,3,12,Lot 19,45,288,"213,501","781,224",30,218,"177,634","455,758",20,388,"264,471","1,243,728"
110303016,1103016,11,3,3,16,Lot 18,45,353,"293,986","1,284,276",30,295,"270,932","1,061,845",10,551,"372,369","2,040,543"
110303019,1103019,11,3,3,19,Lot 17,55,326,"224,133","647,618",40,268,"205,529","461,271",10,503,"279,945","1,206,660"
110303028,1103028,11,3,3,28,Lot 16,35,272,"75,731","427,109",25,250,"61,949","349,250",10,318,"104,547","589,905"
110303031,1103031,11,3,3,31,Lot 14,30,393,"212,612","726,990",20,294,"123,236","475,378",10,625,"421,156","1,314,087"
110303032,1103032,11,3,3,32,Lot 13,40,264,"145,307","499,732",35,241,"98,491","435,201",5,396,"418,397","876,168"
110303034,1103034,11,3,3,34,Lot 12,20,202,"18,487","229,973",10,276,"17,034","267,127",10,128,"19,940","192,819"
110303036,1103036,11,3,3,36,Lot 11,25,311,"100,663","443,939",15,322,"119,924","436,186",10,282,"49,299","464,613"
110303041,1103041,11,3,3,41,Lot  6,45,404,"217,107","892,575",35,358,"168,886","780,921",10,572,"393,916","1,301,975"
110303044,1103044,11,3,3,44,Lot  9,20,248,"66,268","356,575",10,245,"61,387","277,887",10,251,"72,979","464,772"
110303046,1103046,11,3,3,46,Lot  8,35,421,"173,430","822,775",20,348,"142,220","805,488",10,546,"226,248","852,028"
110303048,1103048,11,3,3,48,Lot  7,30,294,"156,483","590,824",25,267,"120,819","421,461",5,421,"320,538","1,369,891"
110303049,1103049,11,3,3,49,Lot  5,30,291,"160,056","1,171,978",20,248,"138,756","1,225,794",5,431,"231,058","992,593"
110303051,1103051,11,3,3,51,Lot  4,50,440,"327,129","928,501",40,335,"177,155","699,517",10,804,"845,221","1,719,538"
110303054,1103054,11,3,3,54,Lot  3,35,357,"132,163","584,813",30,354,"134,744","539,154",5,379,"113,453","915,840"
110303056,1103056,11,3,3,56,Lot  2,15,220,"87,269","406,958",15,265,"104,854","481,089",5,24,"11,066","85,722"
110303058,1103058,11,3,3,58,Lot  1,35,153,"45,789","336,984",35,147,"49,028","311,131",5,189,"23,766","512,781"
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-Écosse,"4,450",237,"86,309","305,420","3,250",219,"65,583","266,186","1,205",285,"142,301","411,414"
120100000,1200000,12,1,0,0,Agricultural Region 1 - Région agricole 1,800,171,"48,378","234,514",610,166,"30,772","203,322",190,189,"105,878","336,384"
120101000,1201000,12,1,1,0,Shelburne County,30,177,"17,686","104,234",20,158,"17,479","88,744",5,238,"18,337","152,917"
120101006,1201006,12,1,1,6,Shelburne,30,177,"17,686","104,234",20,158,"17,479","88,744",5,238,"18,337","152,917"
120102000,1202000,12,1,2,0,Yarmouth County,135,163,"36,214","231,248",95,168,"27,418","207,639",35,150,"58,205","290,271"
120102001,1202001,12,1,2,1,Argyle,40,176,"16,771","129,441",25,190,"9,333","113,614",10,143,"33,676","165,411"
120102004,1202004,12,1,2,4,Yarmouth,95,158,"43,430","269,032",70,160,"33,877","241,219",30,152,"68,198","341,140"
120103000,1203000,12,1,3,0,Digby County,130,120,"110,561","347,422",100,123,"74,731","303,621",30,110,"237,818","502,991"
120103001,1203001,12,1,3,1,Clare,80,78,"150,518","421,557",65,77,"95,806","349,506",15,85,"369,369","709,759"
120103004,1203004,12,1,3,4,Digby,50,185,"49,088","233,369",40,200,"40,148","228,323",15,140,"75,910","248,508"
120104000,1204000,12,1,4,0,Queens County,55,200,"29,416","176,844",50,187,"15,872","152,132",10,271,"103,160","311,388"
120104008,1204008,12,1,4,8,"Queens, Subd. B",60,200,"29,416","176,844",50,187,"15,872","152,132",10,271,"103,160","311,388"
120106000,1206000,12,1,6,0,Lunenburg County,450,184,"38,154","218,188",345,175,"21,535","186,767",105,215,"92,759","321,431"
120106001,1206001,12,1,6,1,Lunenburg,315,178,"47,048","246,413",230,173,"24,391","204,581",85,192,"108,353","359,604"
120106009,1206009,12,1,6,9,Chester,135,199,"17,401","152,331",115,179,"15,822","151,137",20,311,"26,485","159,193"
120200000,1200000,12,2,0,0,Agricultural Region 2 - Région agricole 2,"1,370",225,"139,632","388,758",950,206,"114,687","339,389",420,268,"196,506","501,317"
120205000,1205000,12,2,5,0,Annapolis County,275,260,"70,387","291,643",185,268,"59,506","282,070",85,241,"93,399","311,890"
120205001,1205001,12,2,5,1,"Annapolis, Subd. D",35,542,"67,017","340,612",25,666,"71,688","378,059",5,212,"54,563","240,754"
120205004,1205004,12,2,5,4,"Annapolis, Subd. A",75,215,"62,398","228,713",55,199,"56,727","215,513",25,257,"76,980","262,659"
120205009,1205009,12,2,5,9,"Annapolis, Subd. B",90,221,"72,520","302,185",55,241,"47,830","300,524",40,191,"108,869","304,632"
120205014,1205014,12,2,5,14,"Annapolis, Subd. C",75,225,"77,421","320,907",55,186,"68,497","287,962",20,325,"99,941","404,053"
120207000,1207000,12,2,7,0,Kings County,710,197,"187,340","434,545",495,171,"146,169","361,878",205,257,"286,110","608,876"
120207001,1207001,12,2,7,1,"Kings, Subd. A",350,190,"119,066","351,607",250,170,"96,988","308,749",95,240,"176,793","463,663"
120207011,1207011,12,2,7,11,"Kings, Subd. C",50,176,"55,601","278,827",45,138,"51,368","241,123",10,410,"81,605","510,432"
120207016,1207016,12,2,7,16,"Kings, Subd. B",205,222,"335,085","588,571",140,191,"291,472","521,085",65,288,"429,022","733,925"
120207021,1207021,12,2,7,21,"Kings, Subd. D",105,180,"187,244","482,073",65,156,"85,838","304,019",40,219,"352,028","771,412"
120208000,1208000,12,2,8,0,Hants County,390,252,"101,558","373,356",270,228,"94,109","336,886",120,304,"117,909","453,411"
120208001,1208001,12,2,8,1,West Hants,185,214,"87,310","351,373",125,193,"91,192","322,453",65,259,"79,164","412,060"
120208008,1208008,12,2,8,8,East Hants,205,287,"114,757","393,721",140,259,"96,738","349,896",60,349,"156,028","494,096"
120300000,1200000,12,3,0,0,Agricultural Region 3 - Région agricole 3,"1,305",276,"75,679","292,921",940,253,"58,591","260,858",365,337,"119,640","375,408"
120309000,1209000,12,3,9,0,Halifax County,210,216,"72,364","268,510",155,209,"56,410","244,285",55,238,"117,326","336,780"
120309012,1209012,12,3,9,12,"Halifax, Subd. C",20,114,"61,199","252,749",15,107,"42,711","224,847",5,140,"127,758","353,196"
120309018,1209018,12,3,9,18,"Halifax, Subd. D",35,50,"92,113","202,125",30,57,"45,651","185,007",5,21,"277,965","270,594"
120309026,1209026,12,3,9,26,"Halifax, Subd. E",55,204,"83,498","353,518",45,214,"88,956","357,365",15,175,"66,283","341,386"
120309031,1209031,12,3,9,31,"Halifax, Subd. F",65,310,"71,613","252,920",40,272,"52,545","207,472",25,372,"102,122","325,637"
120309036,1209036,12,3,9,36,"Halifax, Subd. G",30,299,"42,459","241,507",30,328,"33,840","203,068",5,137,"90,725","456,767"
120310000,1210000,12,3,10,0,Colchester County,535,248,"79,785","309,603",365,240,"59,507","270,779",175,266,"122,934","392,217"
120310001,1210001,12,3,10,1,"Colchester, Subd. C",210,279,"113,170","407,130",130,249,"88,199","344,586",75,330,"156,787","516,371"
120310008,1210008,12,3,10,8,"Colchester, Subd. B",185,219,"66,161","273,040",130,214,"44,355","238,327",55,230,"113,468","348,351"
120310012,1210012,12,3,10,12,"Colchester, Subd. A",145,241,"49,925","218,201",110,258,"42,505","219,237",40,193,"70,817","215,285"
120311000,1211000,12,3,11,0,Cumberland County,555,326,"72,958","285,999",415,280,"58,597","258,316",140,465,"116,455","369,852"
120311001,1211001,12,3,11,1,"Cumberland, Subd. A",95,336,"59,448","253,455",75,258,"40,354","242,972",15,714,"151,342","303,905"
120311006,1211006,12,3,11,6,"Cumberland, Subd. B",185,312,"68,898","239,241",150,268,"60,289","231,174",35,496,"104,771","272,852"
120311009,1211009,12,3,11,9,"Cumberland, Subd. C",170,312,"98,058","352,310",120,262,"78,825","291,910",45,432,"144,375","497,764"
120311014,1211014,12,3,11,14,"Cumberland, Subd. D",110,363,"53,136","291,907",75,358,"41,668","275,969",40,371,"75,763","323,352"
120400000,1200000,12,4,0,0,Agricultural Region 4 - Région agricole 4,690,269,"52,942","257,873",525,256,"35,168","229,033",160,312,"110,406","351,116"
120412000,1212000,12,4,12,0,Pictou County,340,233,"44,081","250,691",260,221,"30,922","228,959",85,269,"84,655","317,699"
120412001,1212001,12,4,12,1,"Pictou, Subd. A",155,225,"52,705","259,987",115,222,"40,523","255,463",40,233,"86,511","272,542"
120412006,1212006,12,4,12,6,"Pictou, Subd. B",95,253,"46,059","251,902",65,225,"24,153","202,146",25,321,"100,419","375,371"
120412011,1212011,12,4,12,11,"Pictou, Subd. C",95,226,"28,894","235,205",85,217,"23,363","214,816",15,272,"55,250","332,353"
120413000,1213000,12,4,13,0,Guysborough County,100,332,"24,657","172,988",85,322,"22,734","166,338",15,383,"34,045","205,453"
120413001,1213001,12,4,13,1,St. Mary's,35,428,"39,087","249,791",20,434,"32,873","232,917",10,413,"53,381","288,603"
120413004,1213004,12,4,13,4,Guysborough,70,286,"17,549","135,159",60,279,"18,847","140,816",5,340,"6,420","86,669"
120414000,1214000,12,4,14,0,Antigonish County,245,294,"76,698","302,213",185,275,"46,692","257,265",60,350,"166,233","436,331"
120414001,1214001,12,4,14,1,"Antigonish, Subd. A",155,289,"73,422","305,973",115,265,"44,186","260,431",40,358,"157,476","436,907"
120414006,1214006,12,4,14,6,"Antigonish, Subd. B",95,303,"82,219","295,878",70,292,"50,810","252,065",20,336,"182,156","435,285"
120500000,1200000,12,5,0,0,Agricultural Region 5 - Région agricole 5,285,226,"66,025","276,455",215,199,"52,553","235,861",70,311,"108,396","404,121"
120515000,1215000,12,5,15,0,Inverness County,130,292,"70,692","306,643",95,249,"40,809","247,668",30,423,"162,209","487,256"
120515001,1215001,12,5,15,1,"Inverness, Subd. C",25,396,"102,224","335,485",20,315,"33,967","254,558",10,651,"318,370","591,755"
120515006,1215006,12,5,15,6,"Inverness, Subd. B",70,307,"89,029","348,617",50,270,"58,184","272,637",20,405,"170,199","548,562"
120515011,1215011,12,5,15,11,"Inverness, Subd. A",35,190,"13,651","206,166",30,169,"15,336","200,103",5,276,"6,670","231,285"
120516000,1216000,12,5,16,0,Richmond County,15,112,"29,657","217,075",15,139,"31,440","260,033",5,19,"23,416","66,722"
120516001,1216001,12,5,16,1,"Richmond, Subd. C",15,112,"29,657","217,075",15,139,"31,440","260,033",5,19,"23,416","66,722"
120517000,1217000,12,5,17,0,Cape Breton County,105,143,"73,983","247,883",80,134,"77,190","225,539",20,173,"62,689","326,574"
120517030,1217030,12,5,17,30,Cape Breton,105,143,"73,983","247,883",80,134,"77,190","225,539",20,173,"62,689","326,574"
120518000,1218000,12,5,18,0,Victoria County,30,289,"43,093","279,861",25,247,"29,670","208,385",10,390,"75,310","451,401"
120518001,1218001,12,5,18,1,"Victoria, Subd. B",30,289,"43,093","279,861",25,247,"29,670","208,385",10,390,"75,310","451,401"
130000000,1300000,13,0,0,0,New Brunswick - Nouveau-Brunswick,"3,405",280,"95,649","331,600","2,575",255,"77,973","286,998",830,357,"150,573","470,196"
130100000,1300000,13,1,0,0,Agricultural Region 1 - Région agricole 1,"1,250",340,"141,516","427,871",920,300,"119,013","364,169",330,451,"204,181","605,274"
130110000,1310000,13,1,10,0,York County,365,249,"112,534","285,428",260,239,"106,994","263,822",110,274,"125,769","337,042"
130110004,1310004,13,1,10,4,Manners Sutton,35,221,"37,727","207,477",25,222,"27,689","203,396",10,217,"64,831","218,495"
130110011,1310011,13,1,10,11,Canterbury,20,291,"10,560","187,822",15,321,"10,137","200,434",0,0,0,0
130110016,1310016,13,1,10,16,Prince William,25,283,"65,111","243,085",15,274,"69,074","194,797",5,303,"56,620","346,560"
130110018,1310018,13,1,10,18,Kingsclear,35,210,"29,212","258,591",25,194,"27,498","242,681",10,243,"32,951","293,303"
130110021,1310021,13,1,10,21,Queensbury,35,294,"96,472","375,092",25,291,"58,337","338,023",10,303,"199,438","475,180"
130110024,1310024,13,1,10,24,Southampton,30,410,"75,232","267,721",20,369,"16,432","203,119",15,470,"161,170","362,139"
130110026,1310026,13,1,10,26,Bright,55,173,"96,573","300,078",30,133,"58,695","226,510",15,248,"168,121","439,038"
130110028,1310028,13,1,10,28,Douglas,40,286,"375,322","444,258",35,299,"456,225","479,802",10,245,"100,252","323,407"
130110031,1310031,13,1,10,31,Saint Marys,25,196,"32,052","213,814",15,224,"11,693","209,683",5,109,"96,520","226,895"
130110032,1310032,13,1,10,32,Fredericton,25,278,"212,364","330,643",15,248,"162,084","295,923",10,322,"287,784","382,724"
130110036,1310036,13,1,10,36,Stanley,40,170,"92,445","200,384",30,154,"102,097","186,148",10,222,"61,345","246,253"
130111000,1311000,13,1,11,0,Carleton County,475,403,"144,109","472,214",355,362,"117,598","398,125",115,528,"225,000","698,280"
130111001,1311001,13,1,11,1,Richmond,45,301,"76,370","287,913",30,208,"58,205","245,894",15,507,"116,890","381,648"
130111004,1311004,13,1,11,4,Woodstock,40,398,"82,124","324,514",30,371,"53,957","278,829",10,490,"176,015","476,795"
130111008,1311008,13,1,11,8,Northampton,25,341,"53,517","222,121",20,352,"41,234","208,780",5,285,"118,004","292,159"
130111011,1311011,13,1,11,11,Brighton,40,391,"96,437","450,109",25,393,"82,136","444,049",15,385,"130,998","464,755"
130111014,1311014,13,1,11,14,Wakefield,70,463,"178,885","603,610",50,296,"117,545","400,759",15,911,"343,535","1,148,105"
130111018,1311018,13,1,11,18,Wilmot,50,592,"262,976","770,539",40,639,"261,809","776,283",15,425,"267,115","750,173"
130111021,1311021,13,1,11,21,Simonds,20,496,"170,408","707,425",15,427,"122,149","474,998",5,755,"351,379","1,579,025"
130111024,1311024,13,1,11,24,Peel,35,310,"220,346","406,595",25,274,"211,083","359,274",10,399,"243,504","524,899"
130111026,1311026,13,1,11,26,Aberdeen,35,332,"122,406","318,433",20,332,"81,843","329,971",10,331,"196,772","297,282"
130111028,1311028,13,1,11,28,Kent,75,369,"120,752","459,017",60,343,"96,368","350,423",10,494,"237,043","976,928"
130111031,1311031,13,1,11,31,Wicklow,45,390,"153,784","485,660",35,340,"127,588","399,028",10,560,"242,850","780,209"
130112000,1312000,13,1,12,0,Victoria County,220,371,"151,914","538,201",165,275,"107,198","422,826",55,639,"276,811","860,455"
130112001,1312001,13,1,12,1,Andover,20,250,"87,868","294,227",20,262,"80,650","300,020",0,0,0,0
130112004,1312004,13,1,12,4,Perth,40,341,"50,637","252,978",30,286,"37,861","268,112",10,524,"93,222","202,529"
130112008,1312008,13,1,12,8,Gordon,40,353,"107,955","466,379",25,200,"42,560","312,718",15,616,"220,062","729,799"
130112014,1312014,13,1,12,14,Denmark,40,298,"101,087","363,940",25,239,"55,060","302,826",15,420,"196,975","491,260"
130112016,1312016,13,1,12,16,Grand Falls,40,518,"253,065","819,208",20,289,"138,438","373,703",15,911,"449,569","1,582,932"
130112021,1312021,13,1,12,21,Drummond,50,402,"254,790","840,320",45,332,"220,928","756,324",10,811,"453,124","1,332,298"
130113000,1313000,13,1,13,0,Madawaska County,190,321,"179,030","464,079",140,283,"157,888","394,199",50,435,"242,908","675,205"
130113001,1313001,13,1,13,1,Saint-André,45,434,"279,696","803,262",25,395,"277,906","711,621",15,511,"283,277","986,544"
130113004,1313004,13,1,13,4,Saint-Léonard,15,344,"97,290","396,593",15,344,"104,216","411,461",5,343,"67,279","332,167"
130113011,1313011,13,1,13,11,Sainte-Anne,15,281,"46,126","232,822",10,208,"33,595","155,470",10,426,"71,188","387,526"
130113015,1313015,13,1,13,15,Rivière-Verte,25,255,"48,737","223,039",20,246,"36,504","197,463",0,0,0,0
130113022,1313022,13,1,13,22,Saint-Joseph,30,311,"124,131","280,566",15,245,"100,969","204,419",10,430,"165,823","417,630"
130113038,1313038,13,1,13,38,Clair,25,396,"168,556","353,904",20,329,"181,701","348,463",5,651,"118,603","374,581"
