AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTSMFRTC,TSMFRTC,ETSMFRTC,NTARHRV,TARHRV,ETARHRV,NSTWBRYC,STWBRYC,ESTWBRYC,NSTWBRYH,STWBRYH,ESTWBRYH,NRASPBC,RASPBC,ERASPBC,NRASPBH,RASPBH,ERASPBH,NBLUEBC,BLUEBC,EBLUEBC,NBLUEBH,BLUEBH,EBLUEBH,NCRANBC,CRANBC,ECRANBC,NCRANBH,CRANBH,ECRANBH,NGRAPESC,GRAPESC,EGRAPESC,NGRAPESH,GRAPESH,EGRAPESH,NOTHBERC,OTHBERC,EOTHBERC,NOTHBERH,OTHBERH,EOTHBERH
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,6,654,265,6,401,162,3,x,x,3,x,x,0,0,0,0,0,0,4,x,x,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100101519,1001519,10,1,1,519,St. John's,168,10,21,8,10,20,8,5,x,x,5,8,3,3,x,x,3,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,3,x,x
100102000,1002000,10,1,2,0,Division No.  2,29,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,33,"1,169",473,33,474,192,27,x,x,27,70,28,13,x,x,13,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,3,x,x
100206000,1006000,10,2,6,0,Division No.  6,46,11,29,12,11,24,10,9,x,x,9,x,x,5,5,2,5,4,2,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,11,29,12,11,24,10,9,x,x,9,x,x,5,5,2,5,4,2,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
100207000,1007000,10,2,7,0,Division No.  7,87,12,x,x,12,420,170,9,x,x,9,x,x,6,x,x,6,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,3,x,x,3,x,x,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,4,x,x,4,x,x,4,20,8,4,x,x,3,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,5,x,x,5,x,x,3,x,x,3,2,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208000,1008000,10,2,8,0,Division No.  8,73,10,x,x,10,30,12,9,x,x,9,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,3,x,x,3,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,6,15,6,6,15,6,6,x,x,6,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,25,161,65,24,121,49,23,148,60,23,111,45,8,x,x,7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x
100304000,1004000,10,3,4,0,Division No.  4,65,8,19,8,8,19,8,8,18,7,8,18,7,3,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,4,7,3,4,7,3,4,7,3,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,4,12,5,4,12,5,4,11,4,4,11,4,3,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100305000,1005000,10,3,5,0,Division No.  5,105,17,141,57,16,102,41,15,130,53,15,93,38,5,x,x,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,8,103,42,8,66,27,7,96,39,7,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,8,x,x,7,x,x,7,x,x,7,32,13,3,5,2,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217",121,"5,743","2,324",109,"3,328","1,347",52,297,120,52,227,92,27,40,16,25,34,14,58,"5,374","2,175",50,"3,048","1,233",5,26,10,4,13,5,5,5,2,4,5,2,8,3,1,6,2,0
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,29,"2,728","1,104",24,"1,643",665,8,36,14,8,23,9,4,x,x,4,x,x,18,"2,685","1,086",13,"1,612",653,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
110101000,1101000,11,1,1,0,Kings County,373,29,"2,728","1,104",24,"1,643",665,8,36,14,8,23,9,4,x,x,4,x,x,18,"2,685","1,086",13,"1,612",653,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
110101001,1101001,11,1,1,1,Lot 64,27,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
110101006,1101006,11,1,1,6,Lot 63,19,4,x,x,3,x,x,2,x,x,2,x,x,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101008,1101008,11,1,1,8,Lot 61,19,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101009,1101009,11,1,1,9,Lot 59,31,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101014,1101014,11,1,1,14,Lot 51,27,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101016,1101016,11,1,1,16,Lot 52,29,3,75,30,3,40,16,0,0,0,0,0,0,0,0,0,0,0,0,3,75,30,3,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101019,1101019,11,1,1,19,Lot 53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101026,1101026,11,1,1,26,Lot 54,25,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101028,1101028,11,1,1,28,Lot 55,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101029,1101029,11,1,1,29,Lot 56,17,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101032,1101032,11,1,1,32,Lot 44,29,4,90,36,3,x,x,2,x,x,2,x,x,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101034,1101034,11,1,1,34,Lot 45,19,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101039,1101039,11,1,1,39,Lot 47,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101042,1101042,11,1,1,42,Lot 41,22,3,338,137,3,44,18,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101046,1101046,11,1,1,46,Lot 40,19,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101049,1101049,11,1,1,49,Lot 39,17,3,4,2,3,3,1,1,x,x,1,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101051,1101051,11,1,1,51,Lot 38,20,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088",56,"2,070",838,54,"1,108",448,31,182,74,31,149,60,17,28,11,15,23,9,22,"1,840",745,21,923,374,2,x,x,2,x,x,2,x,x,2,x,x,5,2,0,4,x,x
110202000,1102000,11,2,2,0,Queens County,"1,088",56,"2,070",838,54,"1,108",448,31,182,74,31,149,60,17,28,11,15,23,9,22,"1,840",745,21,923,374,2,x,x,2,x,x,2,x,x,2,x,x,5,2,0,4,x,x
110202001,1102001,11,2,2,1,Lot 62,16,6,301,122,6,239,97,1,x,x,1,x,x,0,0,0,0,0,0,5,x,x,5,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202004,1102004,11,2,2,4,Lot 60,17,3,x,x,3,150,61,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,3,150,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202006,1102006,11,2,2,6,Lot 58,19,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202008,1102008,11,2,2,8,Lot 57,49,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
110202009,1102009,11,2,2,9,Lot 50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202012,1102012,11,2,2,12,Lot 49,37,3,3,1,3,2,0,2,x,x,2,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202014,1102014,11,2,2,14,Lot 48,64,6,92,37,6,77,31,6,82,33,6,67,27,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202026,1102026,11,2,2,26,Lot 31,94,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
110202028,1102028,11,2,2,28,Lot 65,49,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202029,1102029,11,2,2,29,Lot 30,49,2,x,x,2,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202031,1102031,11,2,2,31,Lot 29,50,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202036,1102036,11,2,2,36,Lot 67,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202038,1102038,11,2,2,38,Lot 20,46,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202039,1102039,11,2,2,39,Lot 21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202040,1102040,11,2,2,40,Miltonvale Park,31,3,x,x,2,x,x,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
110202041,1102041,11,2,2,41,Lot 22,33,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202042,1102042,11,2,2,42,Lot 23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202044,1102044,11,2,2,44,Lot 24,65,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202049,1102049,11,2,2,49,Lot 33,75,4,11,4,3,10,4,3,8,3,3,x,x,3,3,1,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202052,1102052,11,2,2,52,Lot 34,59,4,12,5,4,9,3,3,x,x,3,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
110202054,1102054,11,2,2,54,Lot 35,32,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202056,1102056,11,2,2,56,Lot 36,39,5,x,x,5,472,191,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0
110202058,1102058,11,2,2,58,Lot 37,28,6,145,59,6,55,22,1,x,x,1,x,x,2,x,x,2,x,x,3,x,x,3,x,x,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,2,x,x
110202085,1102085,11,2,2,85,Cornwall,30,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110300000,1100000,11,3,0,0,Agricultural Region 3 - RÇgion agricole 3,756,36,946,383,31,577,233,13,78,32,13,54,22,6,x,x,6,x,x,18,849,344,16,512,207,3,x,x,2,x,x,2,x,x,1,x,x,3,x,x,2,x,x
110303000,1103000,11,3,3,0,Prince County,756,36,946,383,31,577,233,13,78,32,13,54,22,6,x,x,6,x,x,18,849,344,16,512,207,3,x,x,2,x,x,2,x,x,1,x,x,3,x,x,2,x,x
110303001,1103001,11,3,3,1,Lot 28,46,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303006,1103006,11,3,3,6,Lot 27,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303009,1103009,11,3,3,9,Lot 26,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303011,1103011,11,3,3,11,Lot 25,33,2,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303012,1103012,11,3,3,12,Lot 19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303016,1103016,11,3,3,16,Lot 18,44,2,x,x,2,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303019,1103019,11,3,3,19,Lot 17,52,4,40,16,4,34,14,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
110303028,1103028,11,3,3,28,Lot 16,34,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
110303031,1103031,11,3,3,31,Lot 14,30,3,x,x,2,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
110303032,1103032,11,3,3,32,Lot 13,41,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,2,x,x
110303034,1103034,11,3,3,34,Lot 12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303036,1103036,11,3,3,36,Lot 11,22,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303041,1103041,11,3,3,41,Lot  6,42,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303044,1103044,11,3,3,44,Lot  9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303046,1103046,11,3,3,46,Lot  8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303048,1103048,11,3,3,48,Lot  7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303049,1103049,11,3,3,49,Lot  5,26,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303051,1103051,11,3,3,51,Lot  4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303054,1103054,11,3,3,54,Lot  3,33,3,246,100,3,141,57,1,x,x,1,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303056,1103056,11,3,3,56,Lot  2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110303058,1103058,11,3,3,58,Lot  1,39,13,426,172,11,239,97,0,0,0,0,0,0,0,0,0,0,0,0,12,x,x,11,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
120000000,1200000,12,0,0,0,Nova Scotia - Nouvelle-êcosse,"4,453",910,"31,766","12,855",845,"17,561","7,107",199,"1,121",453,192,856,346,120,174,71,107,140,57,679,"30,272","12,250",620,"16,398","6,636",7,50,20,6,49,20,34,139,56,30,109,44,21,11,5,18,10,4
120100000,1200000,12,1,0,0,Agricultural Region 1 - RÇgion agricole 1,802,79,"1,409",570,73,793,321,31,96,39,28,76,31,13,x,x,11,x,x,45,"1,283",519,40,691,280,1,x,x,1,x,x,5,x,x,4,x,x,2,x,x,2,x,x
120101000,1201000,12,1,1,0,Shelburne County,29,3,9,4,3,8,3,3,9,4,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120101006,1201006,12,1,1,6,Shelburne,29,3,9,4,3,8,3,3,9,4,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120102000,1202000,12,1,2,0,Yarmouth County,133,27,132,53,24,92,37,7,x,x,7,x,x,4,2,0,4,x,x,19,x,x,16,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
120102001,1202001,12,1,2,1,Argyle,36,7,54,22,6,30,12,1,x,x,1,x,x,0,0,0,0,0,0,7,x,x,6,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120102004,1202004,12,1,2,4,Yarmouth,97,20,78,32,18,63,25,6,4,1,6,x,x,4,2,0,4,x,x,12,x,x,10,57,23,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
120103000,1203000,12,1,3,0,Digby County,132,17,x,x,17,x,x,7,x,x,7,x,x,2,x,x,2,x,x,9,x,x,9,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
120103001,1203001,12,1,3,1,Clare,80,9,x,x,9,56,23,2,x,x,2,x,x,1,x,x,1,x,x,6,x,x,6,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120103004,1203004,12,1,3,4,Digby,52,8,x,x,8,x,x,5,22,9,5,x,x,1,x,x,1,x,x,3,12,5,3,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
