AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTCHICK,TCHICK,NBROILER,BROILER,NPULETS,PULETS,NLAYHEN,LAYHEN,NHENHTCH,HENHTCH,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NBROILPD,BROILPD,GBROILPD,NTURKPRD,TURKPRD,GTURKPRD,NHATCHNM,HATCHNM,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NSTEERS,STEERS,NCALFU1,CALFU1,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NTSHEEP,TSHEEP,NRAMS,RAMS,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NMINK,MINK,NFOX,FOX,NBISON,BISON,NDEER,DEER,NLAMAS,LAMAS,NOTHLIV,NBEES,BEES
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,4,"231,305",2,x,1,x,3,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,11,218,5,x,11,97,2,x,10,x,4,31,1,x,9,80,1,x,1,x,1,x,1,x,2,x,2,x,2,x,2,x,7,28,3,33,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0
100101519,1001519,10,1,1,519,St. John's,168,25,"98,074",7,"1,759",7,x,22,x,0,0,10,x,16,496,12,"6,042","13,320",21,"70,912","156,334",0,0,61,"3,327",39,63,45,"2,420",32,"2,333",16,87,38,409,5,8,48,427,5,"1,458",3,x,3,x,5,"1,304",12,470,6,16,11,224,10,230,20,80,7,39,2,x,0,0,1,x,0,0,0,0,0,0,0,1,x
100102000,1002000,10,1,2,0,Division No.  2,29,6,x,3,107,0,0,5,x,0,0,0,0,2,x,1,x,x,2,x,x,0,0,6,61,2,x,4,10,0,0,4,10,4,17,3,x,4,17,0,0,0,0,0,0,0,0,8,234,6,7,7,104,8,123,3,7,3,10,2,x,1,x,3,x,0,0,0,0,0,0,0,0,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,6,x,3,107,0,0,5,x,0,0,0,0,2,x,1,x,x,2,x,x,0,0,6,61,2,x,4,10,0,0,4,10,4,17,3,x,4,17,0,0,0,0,0,0,0,0,8,234,6,7,7,104,8,123,3,7,3,10,2,x,1,x,3,x,0,0,0,0,0,0,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,26,"219,570",4,x,3,72,22,x,0,0,5,x,13,191,9,x,x,8,x,x,0,0,36,"1,168",22,41,27,680,14,618,16,62,21,163,3,15,27,269,12,"1,634",7,x,6,x,11,"1,461",30,"1,005",25,37,29,526,29,442,20,91,12,49,3,18,0,0,21,"1,772",0,0,0,0,0,0,1,3,x
100206000,1006000,10,2,6,0,Division No.  6,46,5,x,1,x,0,0,4,x,0,0,1,x,1,x,1,x,x,1,x,x,0,0,4,226,2,x,3,x,2,x,1,x,3,38,1,x,4,50,0,0,0,0,0,0,0,0,3,62,3,3,3,44,3,15,7,39,1,x,0,0,0,0,5,495,0,0,0,0,0,0,0,3,x
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,5,x,1,x,0,0,4,x,0,0,1,x,1,x,1,x,x,1,x,x,0,0,4,226,2,x,3,x,2,x,1,x,3,38,1,x,4,50,0,0,0,0,0,0,0,0,3,62,3,3,3,44,3,15,7,39,1,x,0,0,0,0,5,495,0,0,0,0,0,0,0,3,x
100207000,1007000,10,2,7,0,Division No.  7,87,14,"141,374",3,x,3,72,11,x,0,0,4,313,9,165,8,x,x,6,"12,082","26,636",0,0,19,852,12,x,14,535,9,497,7,38,12,107,2,x,13,185,9,x,5,9,4,26,8,x,11,255,9,17,10,122,10,116,11,x,7,30,3,18,0,0,3,232,0,0,0,0,0,0,1,0,0
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,9,x,3,x,2,x,7,x,0,0,2,x,6,139,4,x,x,2,x,x,0,0,10,x,6,13,6,x,4,130,3,x,5,16,2,x,7,82,6,x,5,9,4,26,5,x,8,185,6,x,8,x,7,77,6,10,7,30,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,5,x,0,0,1,x,4,x,0,0,2,x,2,x,3,280,617,3,x,x,0,0,8,595,5,7,7,394,5,367,3,27,7,91,0,0,6,103,3,14,0,0,0,0,3,14,1,x,1,x,1,x,1,x,4,31,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,x,1,x,x,0,0,1,x,1,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,2,x,1,x,2,x,1,x,0,0,0,0,0,0,2,x,0,0,0,0,0,0,1,0,0
100208000,1008000,10,2,8,0,Division No.  8,73,7,x,0,0,0,0,7,x,0,0,0,0,3,x,0,0,0,1,x,x,0,0,13,90,8,x,10,x,3,x,8,x,6,18,0,0,10,34,3,x,2,x,2,x,3,x,16,688,13,17,16,360,16,311,2,x,4,x,0,0,0,0,13,"1,045",0,0,0,0,0,0,0,0,0
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,2,x,0,0,0,0,2,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,4,33,3,x,4,8,2,x,3,x,2,x,0,0,3,11,0,0,0,0,0,0,0,0,5,154,4,x,5,66,5,x,0,0,1,x,0,0,0,0,5,394,0,0,0,0,0,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,3,x,0,0,0,0,3,x,0,0,0,0,1,x,0,0,0,1,x,x,0,0,4,38,2,x,3,9,0,0,3,9,2,x,0,0,4,16,1,x,0,0,0,0,1,x,8,356,6,7,8,174,8,175,1,x,1,x,0,0,0,0,3,294,0,0,0,0,0,0,0,0,0
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,2,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,3,4,3,x,1,x,2,x,2,x,0,0,3,7,2,x,2,x,2,x,2,x,3,178,3,x,3,120,3,x,1,x,2,x,0,0,0,0,5,357,0,0,0,0,0,0,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,28,"612,055",10,x,2,x,19,x,1,x,2,x,9,163,9,x,x,2,x,x,0,0,52,"3,021",30,53,46,"1,753",20,"1,391",29,362,30,424,13,79,49,712,6,491,3,x,3,x,5,406,29,"2,299",29,57,29,"1,110",27,"1,132",16,51,5,70,5,38,1,x,5,661,0,0,0,0,0,0,1,1,x
100304000,1004000,10,3,4,0,Division No.  4,65,8,"6,035",1,x,1,x,7,x,0,0,0,0,5,73,1,x,x,1,x,x,0,0,24,"1,061",8,16,22,538,7,289,17,249,13,129,6,43,22,335,3,x,1,x,1,x,2,x,14,"1,300",14,35,14,641,12,624,8,32,2,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,3,x,0,0,1,x,2,x,0,0,0,0,3,x,1,x,x,1,x,x,0,0,10,409,4,6,10,200,3,x,9,x,6,63,3,21,9,119,1,x,0,0,0,0,1,x,5,461,5,10,5,241,4,210,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,5,x,1,x,0,0,5,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,14,652,4,10,12,338,4,x,8,x,7,66,3,22,13,216,2,x,1,x,1,x,1,x,9,839,9,25,9,400,8,414,5,29,2,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0
100305000,1005000,10,3,5,0,Division No.  5,105,20,"606,020",9,"535,030",1,x,12,x,1,x,2,x,4,90,8,"5,030,941","11,091,326",1,x,x,0,0,28,"1,960",22,37,24,"1,215",13,"1,102",12,113,17,295,7,36,27,377,3,x,2,x,2,x,3,x,15,999,15,22,15,469,15,508,8,19,3,x,3,x,1,x,5,661,0,0,0,0,0,0,1,1,x
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,9,"396,090",6,x,0,0,3,x,1,x,0,0,0,0,6,x,x,0,0,0,0,0,18,"1,292",16,25,17,825,10,740,8,85,13,182,7,36,17,224,0,0,0,0,0,0,0,0,3,x,3,x,3,x,3,x,3,12,0,0,0,0,1,x,1,x,0,0,0,0,0,0,0,0,0
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,5,x,2,x,1,x,4,x,0,0,1,x,2,x,1,x,x,1,x,x,0,0,3,393,2,x,3,x,2,x,1,x,3,x,0,0,3,x,2,x,2,x,2,x,2,x,1,x,1,x,1,x,1,x,2,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,1,x
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,6,x,1,x,0,0,5,x,0,0,1,x,2,x,1,x,x,0,0,0,0,0,7,275,4,x,4,x,1,x,3,x,1,x,0,0,7,x,1,x,0,0,0,0,1,x,11,792,11,15,11,362,11,415,3,x,3,x,3,x,0,0,3,x,0,0,0,0,0,0,1,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217",154,"352,488",51,"210,967",21,"31,110",120,"110,411",2,x,19,"3,173",100,"2,944",172,"3,340,973","7,365,585",54,"72,426","159,672",0,0,"1,384","94,611",686,"1,163","1,138","32,825",482,"16,353",784,"16,472","1,023","15,804",787,"20,350","1,182","24,469",315,"117,560",209,645,232,"12,246",298,"104,669",74,"2,996",51,83,68,"1,393",65,"1,520",379,"1,869",36,227,56,488,7,"28,390",30,"3,160",1,x,0,0,0,0,10,21,856
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,28,"76,464",10,x,1,x,24,x,0,0,4,x,12,117,29,x,x,7,"3,426","7,553",0,0,193,"10,315",109,172,167,"4,631",60,"1,985",124,"2,646",146,"1,520",95,"1,084",170,"2,908",52,"18,361",31,94,36,"1,754",49,"16,513",15,984,11,19,14,454,14,511,53,219,4,20,8,22,3,"24,000",10,"1,341",0,0,0,0,0,0,3,3,x
110101000,1101000,11,1,1,0,Kings County,373,28,"76,464",10,x,1,x,24,x,0,0,4,x,12,117,29,x,x,7,"3,426","7,553",0,0,193,"10,315",109,172,167,"4,631",60,"1,985",124,"2,646",146,"1,520",95,"1,084",170,"2,908",52,"18,361",31,94,36,"1,754",49,"16,513",15,984,11,19,14,454,14,511,53,219,4,20,8,22,3,"24,000",10,"1,341",0,0,0,0,0,0,3,3,x
110101001,1101001,11,1,1,1,Lot 64,27,4,371,2,x,1,x,4,x,0,0,0,0,1,x,4,x,x,0,0,0,0,0,12,244,3,5,9,107,1,x,8,x,10,37,7,26,10,69,3,x,1,x,1,x,3,43,4,53,2,x,4,x,4,28,2,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0
110101006,1101006,11,1,1,6,Lot 63,19,3,x,2,x,0,0,1,x,0,0,0,0,0,0,4,x,x,0,0,0,0,0,5,369,4,7,4,151,3,x,1,x,3,73,3,28,5,110,3,"1,087",1,x,1,x,3,x,0,0,0,0,0,0,0,0,2,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,1,x
110101008,1101008,11,1,1,8,Lot 61,19,5,131,2,x,0,0,5,x,0,0,0,0,3,29,2,x,x,1,x,x,0,0,11,452,6,8,10,170,4,97,7,73,8,75,5,39,11,160,2,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,3,5,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,1,x
110101009,1101009,11,1,1,9,Lot 59,31,1,x,0,0,0,0,1,x,0,0,0,0,0,0,3,"1,497","3,300",0,0,0,0,0,10,543,6,11,6,245,1,x,6,x,5,48,5,70,7,169,5,"1,516",5,12,5,204,4,"1,300",1,x,1,x,1,x,1,x,5,28,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0
110101014,1101014,11,1,1,14,Lot 51,27,3,130,1,x,0,0,2,x,0,0,0,0,1,x,2,x,x,0,0,0,0,0,16,973,6,12,13,556,9,236,7,320,12,133,7,61,13,211,2,x,1,x,1,x,2,x,1,x,1,x,1,x,1,x,7,25,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0
110101016,1101016,11,1,1,16,Lot 52,29,1,x,0,0,0,0,1,x,0,0,1,x,1,x,2,x,x,1,x,x,0,0,10,630,2,x,6,242,1,x,5,x,5,48,4,x,8,246,7,"7,114",4,24,4,505,7,"6,585",1,x,1,x,1,x,1,x,7,67,0,0,1,x,0,0,3,214,0,0,0,0,0,0,0,0,0
110101019,1101019,11,1,1,19,Lot 53,16,2,x,1,x,0,0,2,x,0,0,0,0,1,x,2,x,x,0,0,0,0,0,8,401,4,5,8,181,1,x,7,x,7,62,4,27,7,126,5,"1,604",3,6,3,162,5,"1,436",0,0,0,0,0,0,0,0,2,x,2,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0
110101026,1101026,11,1,1,26,Lot 54,25,3,60,1,x,0,0,2,x,0,0,2,x,1,x,2,x,x,2,x,x,0,0,19,854,14,28,16,299,2,x,15,x,11,97,8,192,16,238,4,x,3,15,4,x,3,x,2,x,2,x,2,x,2,x,5,11,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0
110101028,1101028,11,1,1,28,Lot 55,18,0,0,0,0,0,0,0,0,0,0,0,0,1,x,2,x,x,0,0,0,0,0,13,579,6,8,10,259,5,182,7,77,10,127,7,73,9,112,5,x,2,x,3,x,4,x,1,x,1,x,1,x,1,x,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,x
110101029,1101029,11,1,1,29,Lot 56,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,877,7,12,13,400,7,326,7,74,12,196,6,55,12,214,1,x,0,0,0,0,1,x,1,x,1,x,1,x,0,0,5,14,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0
110101032,1101032,11,1,1,32,Lot 44,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,629,10,15,11,336,2,x,10,x,9,52,6,80,11,146,3,x,2,x,2,x,3,x,3,186,2,x,3,94,3,x,3,4,0,0,0,0,0,0,1,x,0,0,0,0,0,0,1,0,0
110101034,1101034,11,1,1,34,Lot 45,19,1,x,0,0,0,0,1,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,9,536,7,9,9,255,4,121,7,134,8,95,5,31,9,146,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101039,1101039,11,1,1,39,Lot 47,19,1,x,0,0,0,0,1,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,9,318,5,x,9,171,5,120,5,51,9,58,5,x,9,67,6,264,2,x,4,x,6,213,1,x,0,0,0,0,1,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101042,1101042,11,1,1,42,Lot 41,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,16,"1,052",13,20,16,466,4,155,13,311,14,122,6,77,16,367,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,2,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,1,0,0
110101046,1101046,11,1,1,46,Lot 40,19,0,0,0,0,0,0,0,0,0,0,1,x,2,x,1,x,x,1,x,x,0,0,12,919,7,13,9,343,4,175,8,168,9,141,7,139,12,283,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0
110101049,1101049,11,1,1,49,Lot 39,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,6,382,4,4,6,188,1,x,5,x,5,48,4,36,5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101051,1101051,11,1,1,51,Lot 38,20,4,x,1,x,0,0,4,57,0,0,0,0,1,x,1,x,x,0,0,0,0,0,12,557,5,5,12,262,6,153,6,109,9,108,6,44,10,138,3,530,2,x,3,x,3,489,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110200000,1100000,11,2,0,0,Agricultural Region 2 - RÇgion agricole 2,"1,088",80,"207,989",25,"157,166",12,x,63,x,1,x,9,"2,321",46,"1,585",93,"2,245,637","4,950,782",36,"55,921","123,285",0,0,725,"52,841",377,667,624,"18,719",270,"9,359",427,"9,360",553,"8,828",420,"10,168",647,"14,459",182,"72,168",124,386,136,"7,598",173,"64,184",42,"1,424",28,47,39,651,37,726,232,"1,230",24,168,27,113,2,x,4,196,0,0,0,0,0,0,3,12,476
110202000,1102000,11,2,2,0,Queens County,"1,088",80,"207,989",25,"157,166",12,x,63,x,1,x,9,"2,321",46,"1,585",93,"2,245,637","4,950,782",36,"55,921","123,285",0,0,725,"52,841",377,667,624,"18,719",270,"9,359",427,"9,360",553,"8,828",420,"10,168",647,"14,459",182,"72,168",124,386,136,"7,598",173,"64,184",42,"1,424",28,47,39,651,37,726,232,"1,230",24,168,27,113,2,x,4,196,0,0,0,0,0,0,3,12,476
110202001,1102001,11,2,2,1,Lot 62,16,1,x,0,0,0,0,1,x,0,0,0,0,0,0,2,x,x,2,x,x,0,0,7,439,6,7,6,194,3,x,3,x,6,x,2,x,6,129,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
110202004,1102004,11,2,2,4,Lot 60,17,0,0,0,0,0,0,0,0,0,0,1,x,2,x,0,0,0,1,x,x,0,0,5,817,3,5,5,147,1,x,4,x,4,x,3,x,5,134,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202006,1102006,11,2,2,6,Lot 58,19,2,x,1,x,1,x,2,x,0,0,0,0,1,x,5,"8,840","19,489",0,0,0,0,0,11,422,6,7,10,156,2,x,9,x,8,57,5,53,10,149,4,x,3,10,3,168,3,x,0,0,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202008,1102008,11,2,2,8,Lot 57,49,0,0,0,0,0,0,0,0,0,0,0,0,2,x,2,x,x,1,x,x,0,0,27,"1,572",13,21,19,502,8,188,14,314,20,289,18,271,25,489,5,"1,440",5,13,5,230,5,"1,197",1,x,1,x,1,x,1,x,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202009,1102009,11,2,2,9,Lot 50,57,3,x,1,x,1,x,1,x,0,0,0,0,0,0,3,"3,186","7,024",1,x,x,0,0,50,"3,799",24,62,37,"1,145",16,700,24,445,37,629,29,705,40,"1,258",15,"6,889",8,30,8,520,13,"6,339",3,x,3,5,2,x,2,x,12,39,3,8,3,7,0,0,0,0,0,0,0,0,0,0,0,1,x
110202012,1102012,11,2,2,12,Lot 49,37,3,x,1,x,0,0,3,x,0,0,1,x,2,x,4,"1,542","3,400",3,x,x,0,0,28,"2,705",18,59,27,"1,168",11,320,20,848,24,341,20,305,28,832,5,951,4,11,4,168,5,772,3,134,3,3,3,59,3,72,7,59,1,x,1,x,0,0,0,0,0,0,0,0,0,0,1,0,0
110202014,1102014,11,2,2,14,Lot 48,64,5,257,1,x,0,0,4,x,0,0,0,0,0,0,2,x,x,3,x,x,0,0,41,"2,537",19,28,35,933,10,331,28,602,36,519,25,404,34,653,8,"1,760",5,11,5,180,8,"1,569",4,85,3,3,3,40,4,42,16,87,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110202026,1102026,11,2,2,26,Lot 31,94,6,x,1,x,1,x,5,x,0,0,3,x,4,39,6,"1,119","2,467",3,"26,567","58,570",0,0,62,"4,672",37,52,58,"1,609",15,448,47,"1,161",46,548,37,869,56,"1,594",22,"6,211",17,42,19,793,22,"5,376",2,x,2,x,2,x,1,x,25,108,3,16,6,11,0,0,0,0,0,0,0,0,0,0,0,1,x
