AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTOTWHT,TOTWHT,ETOTWHT,NWHTSPG,WHTSPG,EWHTSPG,NWHTDUR,WHTDUR,EWHTDUR,NWHTWIN,WHTWIN,EWHTWIN,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NCORNGR,CORNGR,ECORNGR,NBUCWHT,BUCWHT,EBUCWHT,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NCORNEN,CORNEN,ECORNEN,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NCANOLA,CANOLA,ECANOLA,NFLAXSD,FLAXSD,EFLAXSD,NSOYBNS,SOYBNS,ESOYBNS,NMUSTSD,MUSTSD,EMUSTSD,NSUNFLS,SUNFLS,ESUNFLS,NSAFLWR,SAFLWR,ESAFLWR,NPOTATS,POTATS,EPOTATS,NDFPEAS,DFPEAS,EDFPEAS,NLENTIL,LENTIL,ELENTIL,NTOTDRBN,TOTDRBN,ETOTDRBN,NWHITBN,WHITBN,EWHITBN,NFABABN,FABABN,EFABABN,NODFBNS,ODFBNS,EODFBNS,NCANARY,CANARY,ECANARY,NTOBACO,TOBACO,ETOBACO,NSUGARB,SUGARB,ESUGARB,NTRITCL,TRITCL,ETRITCL,NFORAGE,FORAGE,EFORAGE,NOFIELD,OFIELD,EOFIELD
100101405,1001405,10,1,1,405,"Division No.  1, Subd. K",40,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x,10,104,42,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,64,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
100101519,1001519,10,1,1,519,St. John's,168,0,0,0,0,0,0,0,0,0,0,0,0,16,97,39,3,7,3,0,0,0,0,0,0,0,0,0,3,15,6,3,x,x,1,x,x,0,0,0,6,505,204,73,"3,470","1,404",6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,130,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100102000,1002000,10,1,2,0,Division No.  2,29,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100102001,1002001,10,1,2,1,"Division No.  2, Subd. E",29,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100200000,1000000,10,2,0,0,Agricultural Region 2 - RÇgion agricole 2,206,1,x,x,1,x,x,0,0,0,0,0,0,10,62,25,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,515,208,35,"1,538",622,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,381,154,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100206000,1006000,10,2,6,0,Division No.  6,46,0,0,0,0,0,0,0,0,0,0,0,0,3,29,12,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,9,241,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100206014,1006014,10,2,6,14,"Division No.  6, Subd. C",46,0,0,0,0,0,0,0,0,0,0,0,0,3,29,12,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,9,241,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207000,1007000,10,2,7,0,Division No.  7,87,1,x,x,1,x,x,0,0,0,0,0,0,3,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,10,"1,007",408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,201,81,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100207009,1007009,10,2,7,9,"Division No.  7, Subd. K",27,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100207031,1007031,10,2,7,31,"Division No.  7, Subd. E",30,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,5,748,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,159,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207038,1007038,10,2,7,38,"Division No.  7, Subd. D",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208000,1008000,10,2,8,0,Division No.  8,73,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,16,290,117,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,139,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208031,1008031,10,2,8,31,"Division No.  8, Subd. H",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208036,1008036,10,2,8,36,"Division No.  8, Subd. G",24,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,6,179,72,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,53,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100208058,1008058,10,2,8,58,"Division No.  8, Subd. C",28,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,98,40,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,81,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100300000,1000000,10,3,0,0,Agricultural Region 3 - RÇgion agricole 3,170,2,x,x,2,x,x,0,0,0,0,0,0,9,43,17,5,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,18,910,368,75,"4,266","1,726",3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,195,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0
100304000,1004000,10,3,4,0,Division No.  4,65,2,x,x,2,x,x,0,0,0,0,0,0,5,13,5,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,321,130,27,"1,302",527,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,101,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100304001,1004001,10,3,4,1,"Division No.  4, Subd. A",22,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,9,315,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100304006,1004006,10,3,4,6,"Division No.  4, Subd. B",43,2,x,x,2,x,x,0,0,0,0,0,0,4,x,x,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,x,x,18,987,399,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,90,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100305000,1005000,10,3,5,0,Division No.  5,105,0,0,0,0,0,0,0,0,0,0,0,0,4,30,12,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,8,589,238,48,"2,964","1,199",2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,94,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100305007,1005007,10,3,5,7,"Division No.  5, Subd. E",47,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,324,131,31,"2,273",920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,75,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100305010,1005010,10,3,5,10,"Division No.  5, Subd. F",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,6,426,172,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
100305019,1005019,10,3,5,19,"Division No.  5, Subd. D",31,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,11,265,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110000000,1100000,11,0,0,0,Prince Edward Island - ?le-du-Prince-êdouard,"2,217",230,"23,637","9,566",199,"19,880","8,045",0,0,0,55,"3,757","1,520",389,"15,080","6,103",821,"90,576","36,655",484,"24,514","9,920",29,"1,403",568,14,113,46,44,"3,416","1,382",25,"2,430",983,19,986,399,114,"2,657","1,075",305,"16,943","6,857","1,333","117,818","47,679",3,42,17,0,0,0,100,"5,572","2,255",0,0,0,8,81,33,0,0,0,652,"108,158","43,770",3,49,20,1,x,x,12,428,173,4,x,x,1,x,x,8,341,138,0,0,0,0,0,0,0,0,0,0,0,0,7,340,138,10,136,55
110100000,1100000,11,1,0,0,Agricultural Region 1 - RÇgion agricole 1,373,38,"4,079","1,651",26,"2,789","1,129",0,0,0,16,"1,290",522,59,"2,360",955,111,"14,139","5,722",68,"3,680","1,489",10,619,251,4,x,x,8,"1,674",677,6,x,x,2,x,x,6,179,72,47,"3,000","1,214",189,"17,187","6,955",0,0,0,0,0,0,16,"1,279",518,0,0,0,4,22,9,0,0,0,105,"18,686","7,562",0,0,0,1,x,x,3,x,x,1,x,x,0,0,0,3,185,75,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,x,x
110101000,1101000,11,1,1,0,Kings County,373,38,"4,079","1,651",26,"2,789","1,129",0,0,0,16,"1,290",522,59,"2,360",955,111,"14,139","5,722",68,"3,680","1,489",10,619,251,4,x,x,8,"1,674",677,6,x,x,2,x,x,6,179,72,47,"3,000","1,214",189,"17,187","6,955",0,0,0,0,0,0,16,"1,279",518,0,0,0,4,22,9,0,0,0,105,"18,686","7,562",0,0,0,1,x,x,3,x,x,1,x,x,0,0,0,3,185,75,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,x,x
110101001,1101001,11,1,1,1,Lot 64,27,8,409,166,5,359,145,0,0,0,3,50,20,2,x,x,8,533,216,6,138,56,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,3,130,53,12,414,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101006,1101006,11,1,1,6,Lot 63,19,7,902,365,3,x,x,0,0,0,4,x,x,2,x,x,7,"1,001",405,1,x,x,0,0,0,2,x,x,3,x,x,2,x,x,1,x,x,1,x,x,3,135,55,5,508,206,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,5,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
110101008,1101008,11,1,1,8,Lot 61,19,2,x,x,1,x,x,0,0,0,1,x,x,5,85,34,7,403,163,3,87,35,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,164,66,11,506,205,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,5,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101009,1101009,11,1,1,9,Lot 59,31,4,556,225,3,x,x,0,0,0,1,x,x,3,105,42,3,x,x,6,388,157,6,481,195,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,4,162,66,10,726,294,0,0,0,0,0,0,2,x,x,0,0,0,2,x,x,0,0,0,10,922,373,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101014,1101014,11,1,1,14,Lot 51,27,3,390,158,3,x,x,0,0,0,1,x,x,6,178,72,13,"1,240",502,3,240,97,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,16,"1,492",604,0,0,0,0,0,0,4,360,146,0,0,0,0,0,0,0,0,0,9,"1,327",537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101016,1101016,11,1,1,16,Lot 52,29,5,681,276,5,x,x,0,0,0,2,x,x,4,170,69,6,667,270,3,141,57,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,8,797,323,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,7,613,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101019,1101019,11,1,1,19,Lot 53,16,4,510,206,2,x,x,0,0,0,3,x,x,0,0,0,6,892,361,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,707,286,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,4,718,291,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101026,1101026,11,1,1,26,Lot 54,25,1,x,x,1,x,x,0,0,0,0,0,0,7,290,117,4,229,93,4,180,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,154,62,14,998,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101028,1101028,11,1,1,28,Lot 55,18,0,0,0,0,0,0,0,0,0,0,0,0,4,54,22,2,x,x,4,160,65,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,13,"1,048",424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,26,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
110101029,1101029,11,1,1,29,Lot 56,17,0,0,0,0,0,0,0,0,0,0,0,0,3,43,17,7,672,272,4,135,55,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,4,224,91,10,"1,127",456,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
