AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTOTVEG,TOTVEG,ETOTVEG,NSWCORN,SWCORN,ESWCORN,NTOMATO,TOMATO,ETOMATO,NCUCUMB,CUCUMB,ECUCUMB,NGRPEAS,GRPEAS,EGRPEAS,NBEANS,BEANS,EBEANS,NCABAGE,CABAGE,ECABAGE,NCHINCAB,CHINCAB,ECHINCAB,NCLFLWR,CLFLWR,ECLFLWR,NBROCLI,BROCLI,EBROCLI,NBRSPRT,BRSPRT,EBRSPRT,NCARROT,CARROT,ECARROT,NRTBAGA,RTBAGA,ERTBAGA,NBEETS,BEETS,EBEETS,NRADISH,RADISH,ERADISH,NONIONS,ONIONS,EONIONS,NSHALOT,SHALOT,ESHALOT,NCELERY,CELERY,ECELERY,NLETUCE,LETUCE,ELETUCE,NSPNACH,SPNACH,ESPNACH,NPEPPER,PEPPER,EPEPPER,NSQPUMP,SQPUMP,ESQPUMP,NASPPROD,ASPPROD,EASPPROD,NASPNPRD,ASPNPRD,EASPNPRD,NRHBARB,RHBARB,ERHBARB,NOTHVEG,OTHVEG,EOTHVEG,NNURSERY,NURSERY,ENURSERY,NSOD,SOD,ESOD,NTUNGLAS,TUNGLAS,FTUNGLAS,NTOTGRN,TOTGRN,FTOTGRN,NFLOWER,FLOWER,FFLOWER,NGRNVEG,NGRNHTOM,FGRNHTOM,NGRNHCUC,GRNHCUC,FGRNHCUC,NGRNHLET,GRNHLET,FGRNHLET,NGRNHOVEG,GRNHOVEG,FGRNHOVEG,NVEGTRN,VEGTRN,FVEGTRN,NGRNOTHER,GRNOTHER,FGRNOTHER,NMUSHRM,MUSHRM,FMUSHRM
100101405,10,1,1,405,1001405,"- Division No.  1, Subd. K",32,9,55,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,5,0,0,0,1,x,x,2,x,x,1,x,x,5,11,5,8,29,12,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,3,"2,860",266,3,"2,810",261,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
100101515,10,1,1,515,1001515,- St. John's Metropolitan Area,168,59,211,85,2,x,x,0,0,0,0,0,0,4,1,x,2,x,x,35,42,17,4,x,x,13,4,2,17,18,7,7,1,x,33,25,10,41,67,27,25,11,5,0,0,0,6,1,x,3,x,x,4,x,x,11,21,8,7,x,x,0,0,0,4,1,x,0,0,0,0,0,0,7,1,x,9,15,6,4,9,4,7,26,11,21,"177,304","16,472",21,"157,638","14,645",12,"131,598","12,226",10,"9,235",858,3,x,x,1,x,x,5,"2,680",249,7,"7,510",698,1,x,x,1,x,x
100102000,10,1,2,0,1002000,- Division No.  2,24,9,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,0,0,0,1,x,x,1,x,x,1,x,x,7,7,3,8,12,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
100102001,10,1,2,1,1002001,"- Division No.  2, Subd. E",24,9,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,0,0,0,1,x,x,1,x,x,1,x,x,7,7,3,8,12,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
100200000,10,2,0,0,1000000,- Agricultural Region - RÇgion agricole 2,184,60,425,172,0,0,0,5,x,x,2,x,x,3,x,x,2,x,x,43,104,42,1,x,x,13,4,2,18,8,3,3,x,x,45,56,23,57,213,86,36,26,10,0,0,0,5,x,x,1,x,x,1,x,x,7,5,2,1,x,x,0,0,0,5,1,1,1,x,x,0,0,0,2,x,x,5,x,x,3,5,2,2,x,x,29,"106,489","9,893",29,"101,699","9,448",16,"61,934","5,754",14,"22,531","2,093",7,"2,151",200,3,x,x,3,x,x,9,x,x,3,x,x,0,0,0
100206000,10,2,6,0,1006000,- Division No.  6,48,11,106,43,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,8,27,11,0,0,0,0,0,0,3,3,1,0,0,0,8,18,7,10,42,17,6,10,4,0,0,0,1,x,x,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,11,"50,406","4,683",11,"49,208","4,572",7,"35,618","3,309",5,"11,645","1,082",2,x,x,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0
100206014,10,2,6,14,1006014,"- Division No.  6, Subd. C",48,11,106,43,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,8,27,11,0,0,0,0,0,0,3,3,1,0,0,0,8,18,7,10,42,17,6,10,4,0,0,0,1,x,x,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,11,"50,406","4,683",11,"49,208","4,572",7,"35,618","3,309",5,"11,645","1,082",2,x,x,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0
100207000,10,2,7,0,1007000,- Division No.  7,64,25,185,75,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,17,40,16,1,x,x,8,3,1,8,3,1,2,x,x,20,20,8,25,107,43,16,9,3,0,0,0,2,x,x,1,x,x,1,x,x,3,x,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,2,x,x,2,x,x,1,x,x,6,"33,160","3,081",6,"31,620","2,938",2,x,x,3,"8,200",762,0,0,0,1,x,x,2,x,x,2,x,x,1,x,x,0,0,0
100207031,10,2,7,31,1007031,"- Division No.  7, Subd. E",37,9,139,56,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,8,32,13,1,x,x,4,2,1,4,2,1,1,x,x,7,7,3,9,89,36,4,4,2,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,0,0,0,3,"5,420",504,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0
100207038,10,2,7,38,1007038,"- Division No.  7, Subd. D",27,16,46,18,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,9,8,3,0,0,0,4,1,x,4,1,x,1,x,x,13,13,5,16,17,7,12,5,2,0,0,0,1,x,x,1,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,3,"27,740","2,577",3,x,x,1,x,x,3,"8,200",762,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0
100208000,10,2,8,0,1008000,- Division No.  8,72,24,134,54,0,0,0,1,x,x,1,x,x,2,x,x,2,x,x,18,37,15,0,0,0,5,1,x,7,2,1,1,x,x,17,18,7,22,64,26,14,7,3,0,0,0,2,x,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,3,2,1,1,x,x,0,0,0,12,"22,923","2,130",12,"20,871","1,939",7,x,x,6,"2,686",250,5,x,x,2,x,x,1,x,x,5,"2,573",239,1,x,x,0,0,0
100208036,10,2,8,36,1008036,"- Division No.  8, Subd. G",37,6,30,12,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,4,9,3,0,0,0,2,x,x,2,x,x,1,x,x,3,4,2,5,14,6,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,9,"16,553","1,538",9,"15,901","1,477",6,"10,316",958,4,x,x,4,806,75,2,x,x,1,x,x,3,x,x,1,x,x,0,0,0
100208065,10,2,8,65,1008065,"- Division No.  8, Subd. P",35,18,105,42,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,14,28,11,0,0,0,3,x,x,5,x,x,0,0,0,14,15,6,17,50,20,12,x,x,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,3,"6,370",592,3,"4,970",462,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0
100300000,10,3,0,0,1000000,- Agricultural Region - RÇgion agricole 3,176,48,291,118,1,x,x,2,x,x,4,x,x,2,x,x,2,x,x,30,66,27,3,x,x,12,7,3,17,10,4,1,x,x,33,28,11,38,112,45,32,24,10,0,0,0,1,x,x,1,x,x,0,0,0,8,4,2,3,5,2,0,0,0,3,1,1,0,0,0,0,0,0,7,3,1,3,x,x,4,7,3,4,x,x,17,"71,405","6,634",17,"64,075","5,953",12,"37,395","3,474",5,"3,670",341,1,x,x,2,x,x,2,x,x,6,"6,805",632,1,x,x,0,0,0
100304000,10,3,4,0,1004000,- Division No.  4,79,30,166,67,1,x,x,0,0,0,3,x,x,1,x,x,2,x,x,20,45,18,3,x,x,7,5,2,10,6,2,1,x,x,20,17,7,27,68,28,22,16,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,x,x,0,0,0,3,1,1,0,0,0,0,0,0,3,1,1,2,x,x,3,x,x,2,x,x,6,"29,145","2,708",6,"23,615","2,194",4,"8,695",808,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0
100304001,10,3,4,1,1004001,"- Division No.  4, Subd. A",30,7,16,6,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,6,3,1,7,8,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
100304006,10,3,4,6,1004006,"- Division No.  4, Subd. B",49,23,150,61,1,x,x,0,0,0,2,x,x,1,x,x,2,x,x,19,x,x,2,x,x,6,x,x,9,x,x,0,0,0,14,14,6,20,60,24,17,14,6,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,1,x,x,0,0,0,3,1,1,0,0,0,0,0,0,1,x,x,2,x,x,3,x,x,1,x,x,4,x,x,4,x,x,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0
100305000,10,3,5,0,1005000,- Division No.  5,97,18,125,51,0,0,0,2,x,x,1,x,x,1,x,x,0,0,0,10,21,8,0,0,0,5,3,1,7,4,2,0,0,0,13,11,5,11,43,17,10,9,4,0,0,0,1,x,x,1,x,x,0,0,0,4,2,1,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,x,x,1,x,x,2,x,x,11,"42,260","3,926",11,"40,460","3,759",8,"28,700","2,666",3,x,x,1,x,x,2,x,x,2,x,x,4,x,x,0,0,0,0,0,0
100305007,10,3,5,7,1005007,"- Division No.  5, Subd. E",48,10,79,32,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,7,15,6,0,0,0,2,x,x,2,x,x,0,0,0,8,8,3,8,42,17,7,8,3,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x,3,x,x,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0
100305010,10,3,5,10,1005010,"- Division No.  5, Subd. F",28,4,37,15,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,2,x,x,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,1,x,x,2,x,x,4,"20,350","1,891",4,x,x,3,"15,350","1,426",1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
100305999,10,3,5,999,1005999,- Division No.  9,21,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,3,1,1,0,0,0,3,x,x,3,1,1,3,1,x,0,0,0,0,0,0,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,4,x,x,4,x,x,3,x,x,0,0,0,0,0,0,1,x,x,0,0,0,3,"2,405",223,0,0,0,0,0,0
110000000,11,0,0,0,1100000,- Prince Edward Island - Ile-du-Prince-êdouard,"2,361",134,"3,059","1,238",31,114,46,22,5,2,32,15,6,31,"1,702",689,35,17,7,22,118,48,4,1,1,21,25,10,23,26,11,7,74,30,35,450,182,78,331,134,24,10,4,4,4,1,10,17,7,8,1,1,0,0,0,17,66,27,11,6,3,10,2,1,23,29,12,2,x,x,3,x,x,8,2,1,10,46,19,10,32,13,3,23,9,29,"293,357","27,254",28,"280,005","26,013",15,"125,176","11,629",14,"102,621","9,534",8,"28,200","2,620",0,0,0,9,"13,976","1,298",5,x,x,1,x,x,1,x,x
110001000,11,0,1,0,1101000,#NAME?,396,17,91,37,4,6,3,2,x,x,5,1,1,0,0,0,5,1,x,2,x,x,1,x,x,2,x,x,2,x,x,3,38,15,6,2,1,10,34,14,3,1,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,2,x,x,6,"22,200","2,062",6,"20,700","1,923",5,"17,035","1,583",3,"1,033",96,2,x,x,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0
110001001,11,0,1,1,1101001,- Lot 64,32,2,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110001006,11,0,1,6,1101006,- Lot 63,19,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110001008,11,0,1,8,1101008,- Lot 61,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
110001009,11,0,1,9,1101009,- Lot 59,23,3,4,2,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110001014,11,0,1,14,1101014,- Lot 51,30,2,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
