AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTCHICK,TCHICK,NPULLETS,PULLETS,NHENS,HENS,NAOCHCK,AOCHCK,NHENEGG,HENEGG,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NEGGS,EGGS,NNOCHCK,NOCHCK,NNOTURK,NOTURK,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NMLKHEF,MLKHEF,NBFHEFS,BFHEFS,NBFSLGH,BFSLGH,NSTEERS,STEERS,NCALFU1,CALFU1,NCOWMLK,COWMLK,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NPIGU45,PIGU45,NPIGS45,PIGS45,NPIG130,PIG130,NTSHEEP,TSHEEP,NRAMS,RAMS,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NMINK,MINK,NFOX,FOX,NOTHLIV,NBEES,BEES
100101405,10,1,1,405,1001405,"- Division No.  1, Subd. K",32,5,"215,060",0,0,4,x,2,x,0,0,0,0,0,0,3,"2,060,882",3,x,1,x,12,132,5,x,9,43,1,x,8,x,5,36,0,0,3,4,3,32,2,x,7,38,0,0,2,x,1,x,1,x,2,x,1,x,2,x,1,x,2,x,2,x,2,x,2,x,7,7,1,x,0,0,0,0,0,0,0,0,0
100101515,10,1,1,515,1001515,- St. John's Metropolitan Area,168,24,"22,210",6,x,23,"13,870",5,x,0,0,7,x,7,216,13,"86,720",9,x,8,"2,105",73,"3,466",39,x,58,"2,558",43,"2,505",19,53,47,488,37,447,6,17,9,24,2,x,53,346,37,"2,034",14,"8,298",9,x,10,x,14,"7,086",11,x,10,"2,225",10,x,12,"1,039",10,24,11,488,11,527,32,136,6,35,5,17,0,0,0,0,1,0,0
100102000,10,1,2,0,1002000,- Division No.  2,24,6,x,2,x,6,x,2,x,0,0,1,x,2,x,5,x,2,x,2,x,6,62,2,x,3,14,0,0,3,14,5,17,1,x,3,x,2,x,4,x,4,15,0,0,2,x,0,0,0,0,2,x,1,x,1,x,0,0,4,90,3,3,4,40,4,47,3,5,2,x,1,x,0,0,3,650,1,0,0
100102001,10,1,2,1,1002001,"- Division No.  2, Subd. E",24,6,x,2,x,6,x,2,x,0,0,1,x,2,x,5,x,2,x,2,x,6,62,2,x,3,14,0,0,3,14,5,17,1,x,3,x,2,x,4,x,4,15,0,0,2,x,0,0,0,0,2,x,1,x,1,x,0,0,4,90,3,3,4,40,4,47,3,5,2,x,1,x,0,0,3,650,1,0,0
100200000,10,2,0,0,1000000,- Agricultural Region - RÇgion agricole 2,184,20,"121,796",3,x,19,x,1,x,0,0,2,x,10,262,14,"1,830,604",1,x,4,312,29,"1,119",17,31,26,694,12,600,17,94,16,149,7,99,5,30,5,20,3,21,25,224,14,520,4,x,2,x,2,x,4,x,3,x,2,x,3,x,14,677,10,14,14,341,12,322,22,73,5,52,5,x,5,218,41,"2,665",2,3,87
100206000,10,2,6,0,1006000,- Division No.  6,48,5,"40,940",1,x,5,x,0,0,0,0,0,0,3,43,5,"869,397",0,0,1,x,4,267,2,x,4,183,2,x,2,x,4,29,2,x,1,x,1,x,1,x,3,41,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,8,50,0,0,1,x,3,x,15,"1,043",1,3,87
100206014,10,2,6,14,1006014,"- Division No.  6, Subd. C",48,5,"40,940",1,x,5,x,0,0,0,0,0,0,3,43,5,"869,397",0,0,1,x,4,267,2,x,4,183,2,x,2,x,4,29,2,x,1,x,1,x,1,x,3,41,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,8,50,0,0,1,x,3,x,15,"1,043",1,3,87
100207000,10,2,7,0,1007000,- Division No.  7,64,5,"44,472",1,x,4,x,0,0,0,0,0,0,4,200,4,x,0,0,1,x,14,733,10,x,12,464,8,x,5,x,8,108,5,x,1,x,2,x,1,x,13,148,9,377,1,x,1,x,1,x,1,x,1,x,1,x,1,x,3,x,1,x,3,x,2,x,8,13,0,0,0,0,0,0,8,393,0,0,0
100207031,10,2,7,31,1007031,"- Division No.  7, Subd. E",37,3,x,0,0,3,x,0,0,0,0,0,0,4,200,3,"400,000",0,0,1,x,13,x,10,x,11,x,8,x,4,15,8,108,5,x,1,x,2,x,1,x,12,x,8,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,1,x,3,x,2,x,8,13,0,0,0,0,0,0,3,229,0,0,0
100207038,10,2,7,38,1007038,"- Division No.  7, Subd. D",27,2,x,1,x,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,1,x,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,164,0,0,0
100208000,10,2,8,0,1008000,- Division No.  8,72,10,"36,384",1,x,10,x,1,x,0,0,2,x,3,19,5,x,1,x,2,x,11,119,5,x,10,47,2,x,10,x,4,12,0,0,3,x,2,x,1,x,9,35,3,x,3,x,1,x,1,x,3,x,2,x,1,x,2,x,10,586,8,x,10,295,9,x,6,10,5,52,4,36,2,x,18,"1,229",1,0,0
100208036,10,2,8,36,1008036,"- Division No.  8, Subd. G",37,4,x,1,x,4,x,1,x,0,0,1,x,2,x,2,x,1,x,1,x,7,84,4,11,7,28,2,x,7,x,3,x,0,0,3,x,1,x,1,x,7,x,2,x,1,x,0,0,0,0,1,x,1,x,0,0,0,0,8,x,6,10,8,x,7,x,3,5,3,x,0,0,1,x,10,845,0,0,0
100208065,10,2,8,65,1008065,"- Division No.  8, Subd. P",35,6,x,0,0,6,x,0,0,0,0,1,x,1,x,3,x,0,0,1,x,4,35,1,x,3,19,0,0,3,19,1,x,0,0,0,0,1,x,0,0,2,x,1,x,2,x,1,x,1,x,2,x,1,x,1,x,2,x,2,x,2,x,2,x,2,x,3,5,2,x,4,36,1,x,8,384,1,0,0
100300000,10,3,0,0,1000000,- Agricultural Region - RÇgion agricole 3,176,28,"523,369",5,x,16,x,13,x,1,x,3,x,7,78,13,"1,484,498",10,x,4,72,77,"3,158",28,42,68,"1,902",24,"1,571",45,331,40,518,19,433,17,44,8,41,15,67,67,629,26,"1,251",8,x,4,x,3,x,6,x,4,x,4,x,3,x,39,"2,639",32,58,39,"1,270",38,"1,311",26,60,8,48,4,52,4,305,9,498,5,0,0
100304000,10,3,4,0,1004000,- Division No.  4,79,7,x,2,x,5,x,3,x,1,x,2,x,3,11,4,x,1,x,0,0,42,"1,364",11,13,38,696,6,465,32,231,18,253,5,193,10,x,6,x,10,49,38,353,7,366,5,21,1,x,1,x,4,x,2,x,2,x,1,x,23,"1,810",20,37,23,899,22,874,16,46,2,x,0,0,0,0,1,x,1,0,0
100304001,10,3,4,1,1004001,"- Division No.  4, Subd. A",30,4,x,1,x,3,x,2,x,1,x,2,x,3,11,2,x,1,x,0,0,22,"1,039",7,8,21,542,4,x,17,x,10,207,4,x,5,11,2,x,4,25,20,257,5,x,4,x,1,x,1,x,3,14,1,x,2,x,1,x,7,473,6,9,7,275,6,189,7,9,0,0,0,0,0,0,0,0,0,0,0
100304006,10,3,4,6,1004006,"- Division No.  4, Subd. B",49,3,x,1,x,2,x,1,x,0,0,0,0,0,0,2,x,0,0,0,0,20,325,4,5,17,154,2,x,15,x,8,46,1,x,5,x,4,x,6,24,18,96,2,x,1,x,0,0,0,0,1,x,1,x,0,0,0,0,16,"1,337",14,28,16,624,16,685,9,37,2,x,0,0,0,0,1,x,1,0,0
100305000,10,3,5,0,1005000,- Division No.  5,97,21,x,3,x,11,"62,895",10,"428,015",0,0,1,x,4,67,9,x,9,x,4,72,35,"1,794",17,29,30,"1,206",18,"1,106",13,100,22,265,14,240,7,x,2,x,5,18,29,276,19,885,3,x,3,17,2,x,2,x,2,x,2,x,2,x,16,829,12,21,16,371,16,437,10,14,6,x,4,52,4,305,8,x,4,0,0
100305007,10,3,5,7,1005007,"- Division No.  5, Subd. E",48,12,"294,915",0,0,6,x,7,x,0,0,0,0,2,x,4,x,7,x,3,x,20,"1,287",12,x,17,932,13,880,5,52,14,162,10,153,4,9,0,0,2,x,17,165,13,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,222,6,x,7,92,7,x,4,6,4,21,2,x,1,x,3,x,1,0,0
100305010,10,3,5,10,1005010,"- Division No.  5, Subd. F",28,7,"206,094",3,x,3,x,3,x,0,0,1,x,1,x,3,x,2,x,1,x,8,300,1,x,7,167,4,x,3,x,4,x,3,x,1,x,1,x,1,x,6,65,4,x,2,x,2,x,2,x,2,x,2,x,2,x,2,x,3,315,3,x,3,147,3,x,3,5,0,0,1,x,2,x,2,x,0,0,0
100305999,10,3,5,999,1005999,- Division No.  9,21,2,x,0,0,2,x,0,0,0,0,0,0,1,x,2,x,0,0,0,0,7,207,4,13,6,107,1,x,5,x,4,x,1,x,2,x,1,x,2,x,6,46,2,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,6,292,3,5,6,132,6,155,3,3,2,x,1,x,1,x,3,55,3,0,0
110000000,11,0,0,0,1100000,- Prince Edward Island - Ile-du-Prince-êdouard,"2,361",298,"429,724",58,"38,321",190,"140,485",151,"250,918",2,x,27,"1,679",88,"2,588",122,"2,736,008",151,"1,173,077",39,"2,880","1,610","94,573",699,"1,205","1,310","31,295",649,"18,318",780,"12,977","1,213","20,328",543,"8,548",486,"3,027",545,"8,753",785,"17,779","1,343","23,966",637,"15,258",460,"106,728",295,690,324,"12,158",442,"93,880",351,"37,478",278,"30,086",181,"26,316",79,"3,394",56,78,73,"1,577",75,"1,739",432,"1,891",29,114,51,263,6,"16,111",68,"3,899",16,39,723
110001000,11,0,1,0,1101000,- Kings County,396,56,"106,296",12,284,32,x,32,x,0,0,5,174,11,383,22,x,22,x,7,405,237,"10,448",123,175,209,"4,549",94,"2,395",135,"2,154",179,"1,954",78,"1,043",97,536,51,375,95,729,211,"3,041",96,"2,022",67,"19,160",39,103,42,"1,899",64,"17,158",51,"6,275",40,"5,402",26,"5,481",18,"1,037",11,15,16,486,17,536,68,320,5,12,8,13,3,x,13,"1,246",2,4,62
110001001,11,0,1,1,1101001,- Lot 64,32,8,x,1,x,6,198,5,x,0,0,0,0,1,x,5,"2,390",2,x,0,0,15,300,7,7,12,132,3,74,9,58,9,22,3,x,4,11,2,x,6,29,13,110,3,57,10,"1,829",3,x,2,x,10,"1,798",5,130,7,743,4,925,4,73,1,x,4,x,3,42,8,48,0,0,0,0,0,0,1,x,0,0,0
110001006,11,0,1,6,1101006,- Lot 63,19,6,x,0,0,2,x,5,x,0,0,0,0,1,x,1,x,3,x,0,0,7,330,4,5,7,134,3,109,4,25,4,83,3,x,1,x,0,0,3,31,3,77,3,100,3,"1,162",1,x,1,x,3,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,3,x,1,x,0,0,0,0,0,0,0,0,0
110001008,11,0,1,8,1101008,- Lot 61,24,6,217,2,x,4,x,4,156,0,0,1,x,3,x,4,692,4,518,1,x,18,600,8,10,16,228,4,84,13,144,16,142,3,44,14,70,4,28,10,40,16,180,4,74,3,x,2,x,2,x,3,x,3,x,2,x,1,x,0,0,0,0,0,0,0,0,5,13,0,0,1,x,0,0,1,x,0,2,x
110001009,11,0,1,9,1101009,- Lot 59,23,5,x,0,0,2,x,3,x,0,0,1,x,1,x,1,x,4,x,2,x,7,288,5,10,6,122,0,0,6,122,5,46,0,0,4,x,2,x,3,23,7,87,0,0,5,"2,414",5,17,5,297,5,"2,100",5,936,5,712,4,452,3,x,1,x,2,x,3,x,3,22,2,x,1,x,0,0,1,x,1,0,0
110001014,11,0,1,14,1101014,- Lot 51,30,3,121,0,0,2,x,2,x,0,0,1,x,0,0,3,x,2,x,1,x,19,822,8,8,15,325,10,231,8,94,14,195,9,144,4,22,3,29,8,110,18,184,10,197,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,6,24,0,0,1,x,0,0,1,x,0,1,x
110001016,11,0,1,16,1101016,- Lot 52,26,3,67,2,x,1,x,1,x,0,0,1,x,2,x,2,x,0,0,1,x,11,676,3,7,9,254,6,113,5,141,8,102,3,x,3,19,3,x,5,96,10,217,7,109,8,"5,297",6,24,6,501,8,"4,772",8,"1,462",7,"1,565",6,"1,745",1,x,0,0,1,x,1,x,7,25,0,0,3,6,0,0,2,x,0,0,0
110001019,11,0,1,19,1101019,- Lot 53,19,4,65,1,x,4,x,1,x,0,0,0,0,0,0,2,x,1,x,0,0,13,643,9,11,13,292,6,196,7,96,10,85,6,66,4,x,1,x,5,89,13,166,6,151,4,"1,593",3,8,3,203,4,"1,382",3,x,2,x,1,x,0,0,0,0,0,0,0,0,2,x,0,0,0,0,0,0,1,x,0,0,0
110001026,11,0,1,26,1101026,- Lot 54,25,4,136,2,x,2,x,1,x,0,0,0,0,1,x,0,0,2,x,1,x,22,724,12,13,20,295,6,110,14,185,16,140,4,61,10,42,6,37,7,60,21,216,7,91,7,"1,868",5,12,6,205,7,"1,651",7,x,3,x,2,x,1,x,0,0,0,0,1,x,8,36,0,0,0,0,0,0,0,0,0,0,0
110001028,11,0,1,28,1101028,- Lot 55,20,2,x,1,x,1,x,1,x,0,0,0,0,1,x,0,0,0,0,0,0,16,"1,267",9,26,14,601,8,190,8,411,15,213,9,111,6,82,3,20,6,44,15,383,8,152,3,x,1,x,2,x,2,x,2,x,1,x,1,x,0,0,0,0,0,0,0,0,5,20,1,x,1,x,0,0,1,x,1,1,x
110001029,11,0,1,29,1101029,- Lot 56,16,2,x,0,0,1,x,1,x,0,0,0,0,0,0,1,x,0,0,0,0,14,728,5,9,14,381,8,319,7,62,13,156,7,114,5,x,2,x,4,17,13,165,8,264,1,x,0,0,0,0,1,x,0,0,1,x,0,0,1,x,1,x,1,x,1,x,2,x,0,0,0,0,1,x,0,0,0,0,0
110001031,11,0,1,31,1101031,- Lot 43,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,265,3,3,7,99,4,x,4,x,6,54,2,x,4,x,3,12,3,15,7,94,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,2,x,2,x,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0
110001032,11,0,1,32,1101032,- Lot 44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,10,243,8,x,9,141,3,23,7,118,5,16,1,x,4,6,1,x,2,x,7,66,3,x,3,x,3,6,3,x,2,x,2,x,1,x,1,x,1,x,1,x,1,x,1,x,2,x,0,0,0,0,0,0,1,x,0,0,0
110001034,11,0,1,34,1101034,- Lot 45,21,2,x,1,x,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,11,568,6,6,9,268,5,160,5,108,7,120,4,65,4,33,3,22,5,21,10,153,5,143,3,15,0,0,0,0,3,15,1,x,2,x,0,0,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0
110001039,11,0,1,39,1101039,- Lot 47,22,4,251,1,x,2,x,4,x,0,0,0,0,0,0,1,x,3,113,0,0,11,410,7,7,11,192,6,105,6,87,10,53,5,34,5,x,2,x,8,28,9,130,6,88,5,134,2,x,3,x,4,111,3,x,1,x,0,0,1,x,1,x,1,x,1,x,0,0,1,x,1,x,0,0,0,0,0,0,0
110001042,11,0,1,42,1101042,- Lot 41,26,2,x,0,0,1,x,2,x,0,0,0,0,1,x,0,0,0,0,0,0,22,"1,022",14,18,19,446,8,205,15,241,15,175,5,80,12,53,7,42,8,36,19,347,8,169,4,x,1,x,2,x,4,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0
110001046,11,0,1,46,1101046,- Lot 40,23,2,x,0,0,1,x,1,x,0,0,1,x,0,0,1,x,0,0,0,0,12,732,8,16,9,262,5,172,6,90,12,190,6,62,7,79,6,49,5,38,11,226,5,154,3,860,3,7,3,132,3,721,3,x,1,x,1,x,2,x,2,x,2,x,2,x,5,13,0,0,0,0,1,x,1,x,0,0,0
110001049,11,0,1,49,1101049,- Lot 39,17,3,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,9,340,4,x,8,176,2,x,7,x,5,63,2,x,3,8,2,x,3,x,8,88,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,2,x,0,0,0
110001051,11,0,1,51,1101051,- Lot 38,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,490,3,3,11,201,7,157,4,44,9,99,6,76,3,x,1,x,4,35,11,152,7,138,4,887,3,x,3,x,4,826,4,x,2,x,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,1,x,0,0,0
110002000,11,0,2,0,1102000,- Queens County,"1,130",150,"236,659",30,"12,253",92,"60,369",77,"164,037",1,x,15,"1,067",37,981,59,"1,255,962",82,"747,620",20,"1,944",818,"50,887",357,659,664,"16,804",339,"9,867",385,"6,937",627,"11,283",267,"4,624",240,"1,665",304,"4,994",404,"8,831",673,"13,310",327,"8,337",260,"63,119",167,406,184,"7,015",250,"55,698",196,"21,359",170,"18,113",119,"16,226",43,"1,743",33,44,40,818,41,881,242,"1,196",16,74,24,174,2,x,16,290,7,26,557
110002006,11,0,2,6,1102006,- Lot 58,45,10,"1,918",3,106,6,466,6,"1,346",0,0,1,x,3,10,4,"3,150",4,x,0,0,26,"1,129",13,16,21,468,11,185,11,283,14,111,4,30,7,44,6,37,11,89,21,445,10,137,4,x,3,6,3,100,3,x,2,x,2,x,1,x,4,301,3,7,4,163,3,131,11,68,1,x,0,0,0,0,1,x,0,3,x
110002008,11,0,2,8,1102008,- Lot 57,49,8,558,1,x,6,x,4,385,0,0,2,x,1,x,2,x,9,924,3,82,33,"2,262",22,29,28,701,10,251,23,450,27,418,6,97,15,91,18,230,23,464,29,650,8,181,8,"1,501",5,14,6,153,8,"1,334",4,x,8,572,2,x,1,x,1,x,1,x,1,x,13,35,0,0,2,x,0,0,0,0,1,0,0
110002009,11,0,2,9,1102009,- Lot 50,70,7,572,2,x,3,x,3,225,0,0,0,0,1,x,3,x,4,855,0,0,62,"5,394",31,62,44,"1,315",19,744,26,571,48,"1,281",17,428,17,73,31,780,39,"1,499",50,"1,237",20,644,21,"6,580",11,29,11,415,21,"6,136",15,"1,475",17,"2,366",13,"2,295",2,x,1,x,2,x,2,x,15,50,2,x,3,6,0,0,2,x,1,2,x
110002012,11,0,2,12,1102012,- Lot 49,46,7,"2,481",3,x,5,x,2,x,0,0,1,x,2,x,2,x,3,350,1,x,33,"2,425",20,53,30,918,14,400,20,518,26,424,11,108,15,143,11,173,12,206,29,824,14,342,10,"1,281",7,15,7,223,10,"1,043",9,547,7,x,4,x,2,x,2,x,2,x,2,x,10,64,0,0,1,x,0,0,1,x,1,1,x
110002014,11,0,2,14,1102014,- Lot 48,66,10,x,4,90,6,x,4,380,0,0,2,x,3,88,4,x,2,x,0,0,48,"2,408",20,35,39,907,15,432,28,475,38,650,17,291,19,125,13,234,23,313,38,503,13,337,10,"1,667",8,14,9,266,9,"1,387",8,664,4,392,4,331,3,100,3,3,3,42,3,55,20,96,1,x,0,0,1,x,1,x,1,3,25
