AREAID,PROV,CAR,CD,CCS,CAR2,SGC,AREANAME,TOTAL,TYPORG2_1,TYPORG2_2,TYPORG2_3,TYPORG2_4,TYPORG2_5,TYPORG2_6,TYPORG_1,TYPORG_2,TYPORG_3,TYPORG_4,TYPORG_5,TYPORG_6,TYPORG_7,TYPORG_8,TYPORG_9,TYPORG_10,TYPORG_11,TYPORG_12,TYPORG_13,TYPORG_14,TYPORG_15,NTFAREA,TFAREA,ETFAREA,NAOWNED,AOWNED,EAOWNED,NTOTLSRT,TOTLSRT,ETOTLSRT,NALSDGOV,ALSDGOV,EALSDGOV,NARNTED,ARNTED,EARNTED,NTOTUSE,TOTUSE,ETOTUSE,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NUNIMPST,UNIMPST,EUNIMPST,NOTHLND,OTHLND,EOTHLND,CRPSFDT,CRPSFDT_1,CRPSFDT_2,CRPSFDT_3,CRPSFDT_4,CRPSFDT_5,CRPSFDT_6,CRPSFDT_7,CRPSFDT_8,CRPSFDT_9,CRPSFDT_10,CRPSFDT_11,CRPSFDT_12,NFERTIL,FERTIL,EFERTIL,NMANURE,MANURE,EMANURE,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NIRRIG,IRRIG,EIRRIG,NCROPROT,NCOVCROP,NGRASWAT,NSTRIPCR,NCONTOUR,NOTHSEC,NCHEMSF,CHEMSF,ECHEMSF,NTILLSF,TILLSF,ETILLSF,NCOMBSF,COMBSF,ECOMBSF,NTILARS,TILARS,ETILARS,NTILCONV,TILCONV,ETILCONV,NTILCONS,TILCONS,ETILCONS,NTILLNO,TILLNO,ETILLNO,NWINDYES,WINDYES,NSALINYES,FRMSIZE,FRMSIZE_1,FRMSIZE_2,FRMSIZE_3,FRMSIZE_4,FRMSIZE_5,FRMSIZE_6,FRMSIZE_7,FRMSIZE_8,FRMSIZE_9,FRMSIZE_10,FRMSIZE_11,FRMSIZE_12,FRMSIZE_13,FRMSIZE_14,FRMSIZE_15
100101405,10,1,1,405,1,1001405,"- Division No.  1, Subd. K",32,12,2,3,8,2,5,15,2,3,5,1,2,1,1,17,12,0,0,0,0,5,32,"5,364","2,171",25,"1,087",440,16,"4,277","1,731",14,"4,201","1,700",4,76,31,32,"5,364","2,171",21,689,279,2,x,x,12,970,393,8,465,188,29,x,x,21,3,6,9,2,0,1,0,0,0,0,0,0,16,634,257,11,193,78,4,39,16,6,46,19,2,x,x,7,0,0,0,1,3,1,x,x,1,x,x,0,0,0,14,179,72,13,x,x,0,0,0,2,x,x,3,2,0,32,1,6,16,2,1,1,1,1,1,0,1,1,0,0,0
100101515,10,1,1,515,1,1001515,- St. John's Metropolitan Area,168,110,4,21,22,5,6,43,4,20,12,0,4,2,1,125,110,0,1,4,4,6,168,"21,484","8,694",149,"5,405","2,187",75,"16,079","6,507",51,"14,481","5,860",39,"1,598",647,168,"21,484","8,694",122,"4,025","1,629",0,0,0,53,"2,719","1,100",59,"6,429","2,602",131,"8,311","3,363",122,21,34,48,9,3,6,1,0,0,0,0,0,84,"3,135","1,269",104,"3,494","1,414",28,118,48,33,208,84,7,34,14,53,8,3,3,12,15,0,0,0,0,0,0,0,0,0,96,"1,190",482,85,"1,043",422,11,103,42,8,44,18,11,8,0,168,13,27,79,16,13,6,4,5,2,1,0,0,1,0,1
100102000,10,1,2,0,1,1002000,- Division No.  2,24,16,0,3,3,0,2,5,0,3,2,0,0,0,0,19,16,0,0,1,0,2,24,"7,542","3,052",17,495,200,12,"7,047","2,852",12,"6,995","2,831",4,52,21,24,"7,542","3,052",18,212,86,1,x,x,10,688,278,10,217,88,21,x,x,18,2,6,10,0,0,0,0,0,0,0,0,0,16,268,108,7,56,23,5,26,11,5,29,12,0,0,0,9,0,1,0,3,4,1,x,x,0,0,0,1,x,x,13,89,36,11,73,30,1,x,x,2,x,x,4,6,0,24,3,2,15,2,0,0,0,1,0,0,0,0,0,0,1
100102001,10,1,2,1,1,1002001,"- Division No.  2, Subd. E",24,16,0,3,3,0,2,5,0,3,2,0,0,0,0,19,16,0,0,1,0,2,24,"7,542","3,052",17,495,200,12,"7,047","2,852",12,"6,995","2,831",4,52,21,24,"7,542","3,052",18,212,86,1,x,x,10,688,278,10,217,88,21,x,x,18,2,6,10,0,0,0,0,0,0,0,0,0,16,268,108,7,56,23,5,26,11,5,29,12,0,0,0,9,0,1,0,3,4,1,x,x,0,0,0,1,x,x,13,89,36,11,73,30,1,x,x,2,x,x,4,6,0,24,3,2,15,2,0,0,0,1,0,0,0,0,0,0,1
100200000,10,2,0,0,2,1000000,- Agricultural Region - RÇgion agricole 2,184,116,1,22,34,4,7,57,1,20,18,1,8,5,4,127,116,0,2,2,0,7,184,"16,581","6,710",117,"5,777","2,338",107,"10,804","4,372",101,"10,259","4,152",19,545,221,184,"16,581","6,710",108,"2,822","1,142",14,179,72,48,"1,707",691,39,"4,264","1,726",162,"7,609","3,079",108,26,23,49,5,2,3,0,0,0,0,0,0,91,"2,771","1,121",37,"1,061",429,34,535,217,37,421,170,12,110,45,36,9,8,2,8,14,2,x,x,6,74,30,7,x,x,85,"1,529",619,75,"1,179",477,10,147,59,6,203,82,8,8,0,184,39,36,60,22,8,9,1,3,1,3,0,1,1,0,0
100206000,10,2,6,0,2,1006000,- Division No.  6,48,32,1,3,9,2,1,15,1,3,5,1,4,0,1,33,32,0,0,0,0,1,48,"3,672","1,486",31,"2,569","1,040",26,"1,103",446,24,"1,046",423,3,57,23,48,"3,672","1,486",24,839,340,2,x,x,10,425,172,8,"1,159",469,47,x,x,24,7,3,11,1,1,1,0,0,0,0,0,0,14,669,271,7,295,119,7,93,38,6,52,21,1,x,x,8,3,0,0,0,5,0,0,0,2,x,x,0,0,0,18,338,137,16,280,113,2,x,x,1,x,x,2,x,0,48,9,15,12,3,2,4,1,1,0,1,0,0,0,0,0
100206014,10,2,6,14,2,1006014,"- Division No.  6, Subd. C",48,32,1,3,9,2,1,15,1,3,5,1,4,0,1,33,32,0,0,0,0,1,48,"3,672","1,486",31,"2,569","1,040",26,"1,103",446,24,"1,046",423,3,57,23,48,"3,672","1,486",24,839,340,2,x,x,10,425,172,8,"1,159",469,47,x,x,24,7,3,11,1,1,1,0,0,0,0,0,0,14,669,271,7,295,119,7,93,38,6,52,21,1,x,x,8,3,0,0,0,5,0,0,0,2,x,x,0,0,0,18,338,137,16,280,113,2,x,x,1,x,x,2,x,0,48,9,15,12,3,2,4,1,1,0,1,0,0,0,0,0
100207000,10,2,7,0,2,1007000,- Division No.  7,64,38,0,11,11,2,2,23,0,11,5,0,1,3,3,41,38,0,0,1,0,2,64,"5,640","2,282",42,"2,157",873,37,"3,483","1,410",33,"3,069","1,242",11,414,168,64,"5,640","2,282",46,"1,412",571,8,x,x,17,617,250,13,310,125,53,x,x,46,12,9,19,3,1,2,0,0,0,0,0,0,42,"1,524",617,14,638,258,13,334,135,15,259,105,6,84,34,15,1,4,2,7,4,2,x,x,2,x,x,5,61,25,37,774,313,31,507,205,3,x,x,5,x,x,2,x,0,64,11,11,21,9,3,5,0,2,1,1,0,0,0,0,0
100207031,10,2,7,31,2,1007031,"- Division No.  7, Subd. E",37,19,0,7,7,2,2,16,0,7,3,0,1,2,3,21,19,0,0,0,0,2,37,"4,853","1,964",27,"1,786",723,24,"3,067","1,241",21,x,x,10,x,x,37,"4,853","1,964",26,"1,162",470,7,109,44,15,x,x,10,279,113,33,x,x,26,5,1,15,2,1,2,0,0,0,0,0,0,25,"1,371",555,11,522,211,7,284,115,8,203,82,2,x,x,7,1,3,1,5,2,2,x,x,1,x,x,5,61,25,19,646,261,13,x,x,1,x,x,5,x,x,1,x,0,37,7,4,9,6,3,4,0,2,1,1,0,0,0,0,0
100207038,10,2,7,38,2,1007038,"- Division No.  7, Subd. D",27,19,0,4,4,0,0,7,0,4,2,0,0,1,0,20,19,0,0,1,0,0,27,787,318,15,371,150,13,416,168,12,x,x,1,x,x,27,787,318,20,250,101,1,x,x,2,x,x,3,31,13,20,x,x,20,7,8,4,1,0,0,0,0,0,0,0,0,17,153,62,3,116,47,6,50,20,7,56,23,4,x,x,8,0,1,1,2,2,0,0,0,1,x,x,0,0,0,18,128,52,18,x,x,2,x,x,0,0,0,1,x,0,27,4,7,12,3,0,1,0,0,0,0,0,0,0,0,0
100208000,10,2,8,0,2,1008000,- Division No.  8,72,46,0,8,14,0,4,19,0,6,8,0,3,2,0,53,46,0,2,1,0,4,72,"7,269","2,942",44,"1,051",425,44,"6,218","2,516",44,"6,144","2,486",5,74,30,72,"7,269","2,942",38,571,231,4,34,14,21,665,269,18,"2,795","1,131",62,"3,204","1,297",38,7,11,19,1,0,0,0,0,0,0,0,0,35,578,234,16,128,52,14,108,44,16,110,45,5,x,x,13,5,4,0,1,5,0,0,0,2,x,x,2,x,x,30,417,169,28,392,159,5,25,10,0,0,0,4,3,0,72,19,10,27,10,3,0,0,0,0,1,0,1,1,0,0
100208036,10,2,8,36,2,1008036,"- Division No.  8, Subd. G",37,23,0,3,8,0,3,9,0,2,3,0,2,2,0,28,23,0,1,1,0,3,37,"4,368","1,768",24,527,213,22,"3,841","1,554",22,"3,841","1,554",0,0,0,37,"4,368","1,768",15,164,66,0,0,0,10,304,123,11,"2,175",880,29,"1,725",698,15,4,4,7,0,0,0,0,0,0,0,0,0,13,186,75,8,48,19,2,x,x,4,37,15,2,x,x,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,9,94,38,8,x,x,1,x,x,0,0,0,1,x,0,37,12,6,11,5,1,0,0,0,0,1,0,0,1,0,0
100208065,10,2,8,65,2,1008065,"- Division No.  8, Subd. P",35,23,0,5,6,0,1,10,0,4,5,0,1,0,0,25,23,0,1,0,0,1,35,"2,901","1,174",20,524,212,22,"2,377",962,22,"2,303",932,5,74,30,35,"2,901","1,174",23,407,165,4,34,14,11,361,146,7,620,251,33,"1,479",599,23,3,7,12,1,0,0,0,0,0,0,0,0,22,392,159,8,80,32,12,x,x,12,73,30,3,12,5,7,3,2,0,1,4,0,0,0,2,x,x,2,x,x,21,323,131,20,x,x,4,x,x,0,0,0,3,x,0,35,7,4,16,5,2,0,0,0,0,0,0,1,0,0,0
100300000,10,3,0,0,3,1000000,- Agricultural Region - RÇgion agricole 3,176,106,3,24,28,4,11,56,2,23,14,1,9,3,4,120,106,1,1,1,0,11,176,"32,292","13,068",130,"14,234","5,760",105,"18,058","7,308",85,"16,348","6,616",29,"1,710",692,176,"32,292","13,068",139,"6,543","2,648",6,91,37,71,"3,119","1,262",62,"4,167","1,686",163,"18,372","7,435",140,11,18,81,17,8,2,3,0,0,0,0,0,115,"5,608","2,269",70,"2,371",960,34,578,234,42,532,215,11,93,38,55,9,5,0,8,17,0,0,0,6,91,37,0,0,0,91,"1,609",651,84,"1,462",592,6,86,35,5,61,25,14,15,0,176,9,11,58,32,16,14,17,7,5,5,1,0,0,0,1
100304000,10,3,4,0,3,1004000,- Division No.  4,79,54,1,12,4,2,6,18,1,11,2,1,2,0,1,61,54,0,1,0,0,6,79,"13,803","5,586",69,"8,957","3,625",33,"4,846","1,961",17,"3,421","1,384",21,"1,425",577,79,"13,803","5,586",65,"2,506","1,014",3,20,8,37,"1,482",600,40,"1,920",777,70,"7,875","3,187",66,6,7,43,6,3,0,1,0,0,0,0,0,57,"2,223",900,31,602,244,16,162,66,22,213,86,5,8,3,28,5,1,0,2,4,0,0,0,3,20,8,0,0,0,47,703,284,43,615,249,3,x,x,4,x,x,3,2,0,79,3,3,23,16,12,6,8,2,2,4,0,0,0,0,0
100304001,10,3,4,1,3,1004001,"- Division No.  4, Subd. A",30,23,1,3,0,1,2,5,1,3,0,1,0,0,0,25,23,0,0,0,0,2,30,"6,619","2,679",27,"4,643","1,879",9,"1,976",800,2,x,x,7,x,x,30,"6,619","2,679",23,"1,094",443,1,x,x,17,529,214,17,"1,140",461,30,x,x,23,2,2,14,3,1,0,1,0,0,0,0,0,21,961,389,16,283,115,5,14,6,1,x,x,3,x,x,5,1,0,0,0,2,0,0,0,1,x,x,0,0,0,14,199,81,13,x,x,0,0,0,1,x,x,2,x,0,30,1,1,6,3,6,3,7,1,0,2,0,0,0,0,0
100304006,10,3,4,6,3,1004006,"- Division No.  4, Subd. B",49,31,0,9,4,1,4,13,0,8,2,0,2,0,1,36,31,0,1,0,0,4,49,"7,184","2,907",42,"4,314","1,746",24,"2,870","1,161",15,x,x,14,x,x,49,"7,184","2,907",42,"1,412",571,2,x,x,20,953,386,23,780,316,40,x,x,43,4,5,29,3,2,0,0,0,0,0,0,0,36,"1,262",511,15,319,129,11,148,60,21,x,x,2,x,x,23,4,1,0,2,2,0,0,0,2,x,x,0,0,0,33,504,204,30,x,x,3,x,x,3,x,x,1,x,0,49,2,2,17,13,6,3,1,1,2,2,0,0,0,0,0
100305000,10,3,5,0,3,1005000,- Division No.  5,97,52,2,12,24,2,5,38,1,12,12,0,7,3,3,59,52,1,0,1,0,5,97,"18,489","7,482",61,"5,277","2,136",72,"13,212","5,347",68,"12,927","5,231",8,285,115,97,"18,489","7,482",74,"4,037","1,634",3,71,29,34,"1,637",662,22,"2,247",909,93,"10,497","4,248",74,5,11,38,11,5,2,2,0,0,0,0,0,58,"3,385","1,370",39,"1,769",716,18,416,168,20,319,129,6,85,34,27,4,4,0,6,13,0,0,0,3,71,29,0,0,0,44,906,367,41,847,343,3,x,x,1,x,x,11,13,0,97,6,8,35,16,4,8,9,5,3,1,1,0,0,0,1
