AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTOTEXP,TOTEXP,NTRNTEXP,TRNTEXP,NRNTCSH,RNTCSH,NRNTSHR,RNTSHR,NTCSHWGE,TCSHWGE,NCSHWGEF,CSHWGEF,NCSHWGNF,CSHWGNF,NELECTY,ELECTY,NTINTRST,TINTRST,NINTOPER,INTOPER,NINTOTHD,INTOTHD,NTELPHON,TELPHON,NTMCHEXP,TMCHEXP,NMCHFUEL,MCHFUEL,NREPMCH,REPMCH,NCUSTOM,CUSTOM,NTCRPEXP,TCRPEXP,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NTLVSEXP,TLVSEXP,NFEEDPD,FEEDPD,NFEEDCO,FEEDCO,NLVSTPD,LVSTPD,NVETSER,VETSER,NFUELHT,FUELHT,NOTHEXP,OTHEXP,SALEDST,SALES95,SALEDST_1,SALEDST_2,SALEDST_3,SALEDST_4,SALEDST_5,SALEDST_6,SALEDST_7,SALEDST_8,SALEDST_9,FRMTYP,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_11,FRMTYP1_9,FRMTYP1_10,FRMTYP1_12,NVFTPRD,VFTPRD,NMAPLET,MAPLET,NTOTLAB,TOTLAB,NPDLBYR,PDLBYR,NPDLBSL,PDLBSL
100101405,10,1,1,405,1001405,"- Division No.  1, Subd. K",32,"5,966,679",11,"4,524",9,x,2,x,19,"711,818",10,"257,997",17,"453,821",15,"95,544",11,"290,778",9,"112,232",8,"178,546",14,"20,611",26,"118,847",22,"38,986",23,"79,861",4,"10,655",22,"82,554",22,"39,502",11,"15,050",14,"28,002",16,"4,000,104",16,"2,836,714",15,"2,836,120",11,"1,147,250",12,"16,140",7,x,14,x,32,"6,068,679",5,7,4,7,1,1,2,1,4,27,1,4,1,5,0,0,2,1,4,2,1,6,1,x,0,0,19,"1,713",7,"1,097",15,616
100101515,10,1,1,515,1001515,- St. John's Metropolitan Area,168,"15,914,230",49,"78,941",44,x,12,x,94,"3,066,894",49,"1,006,048",71,"2,060,846",107,"321,656",65,"865,321",35,"265,267",51,"600,054",97,"84,587",132,"835,084",125,"387,904",118,"447,180",45,"148,776",126,"578,954",112,"311,022",57,"71,546",90,"196,386",103,"7,643,680",101,"5,966,464",99,"5,399,765",69,"1,507,779",79,"169,437",31,"188,150",79,"2,102,187",168,"19,134,637",32,15,25,18,10,13,29,17,9,136,40,12,9,6,0,0,8,3,25,19,4,10,1,x,0,0,94,"7,623",42,"4,983",77,"2,640"
100102000,10,1,2,0,1002000,- Division No.  2,24,"1,361,193",8,x,7,x,1,x,12,"199,654",8,"78,965",11,"120,689",14,x,8,"44,179",5,"9,460",6,"34,719",11,x,21,"74,406",21,"38,513",18,"35,893",3,x,19,"38,757",17,"29,534",7,"3,770",11,"5,453",13,"400,545",13,x,12,"302,136",5,x,8,"1,526",4,x,9,x,24,"1,473,735",7,5,4,2,3,0,0,2,1,17,0,1,0,2,0,0,0,0,5,5,1,3,0,0,0,0,12,635,3,456,9,179
100102001,10,1,2,1,1002001,"- Division No.  2, Subd. E",24,"1,361,193",8,x,7,x,1,x,12,"199,654",8,"78,965",11,"120,689",14,x,8,"44,179",5,"9,460",6,"34,719",11,x,21,"74,406",21,"38,513",18,"35,893",3,x,19,"38,757",17,"29,534",7,"3,770",11,"5,453",13,"400,545",13,x,12,"302,136",5,x,8,"1,526",4,x,9,x,24,"1,473,735",7,5,4,2,3,0,0,2,1,17,0,1,0,2,0,0,0,0,5,5,1,3,0,0,0,0,12,635,3,456,9,179
100200000,10,2,0,0,1000000,- Agricultural Region - RÇgion agricole 2,184,"9,406,392",79,"51,136",77,x,2,x,106,"2,033,189",58,"726,133",82,"1,307,056",95,"161,884",78,"639,304",52,"182,837",54,"456,467",109,"62,163",126,"667,459",115,"345,064",113,"322,395",27,"115,943",110,"542,128",99,"318,257",60,"63,876",83,"159,995",91,"3,787,400",89,"2,923,823",85,"2,807,793",44,"824,870",66,"38,707",26,"52,945",111,"1,292,841",184,"10,137,903",69,15,27,21,11,14,15,6,6,115,8,6,1,11,0,0,7,10,27,36,2,7,4,"5,316",0,0,106,"5,227",34,"2,611",93,"2,616"
100206000,10,2,6,0,1006000,- Division No.  6,48,"2,329,207",19,"10,173",19,"10,173",0,0,25,"491,216",9,"114,830",22,"376,386",26,"36,185",22,"183,018",15,"38,786",14,"144,232",32,"15,163",32,"126,550",30,"67,235",29,"59,315",8,"52,604",26,"111,703",20,"54,618",11,"8,607",19,"48,478",27,"999,542",25,"656,341",23,"606,116",12,"329,766",16,"13,435",10,"12,283",29,"290,770",48,"2,626,667",17,4,6,8,3,3,5,0,2,31,1,1,0,3,0,0,1,2,6,16,0,1,2,x,0,0,25,"1,279",9,570,22,709
100206014,10,2,6,14,1006014,"- Division No.  6, Subd. C",48,"2,329,207",19,"10,173",19,"10,173",0,0,25,"491,216",9,"114,830",22,"376,386",26,"36,185",22,"183,018",15,"38,786",14,"144,232",32,"15,163",32,"126,550",30,"67,235",29,"59,315",8,"52,604",26,"111,703",20,"54,618",11,"8,607",19,"48,478",27,"999,542",25,"656,341",23,"606,116",12,"329,766",16,"13,435",10,"12,283",29,"290,770",48,"2,626,667",17,4,6,8,3,3,5,0,2,31,1,1,0,3,0,0,1,2,6,16,0,1,2,x,0,0,25,"1,279",9,570,22,709
100207000,10,2,7,0,1007000,- Division No.  7,64,"5,104,433",29,"34,183",28,x,1,x,43,"968,217",29,"376,388",33,"591,829",34,"90,751",32,"337,458",17,"97,991",28,"239,467",38,"25,172",47,"359,524",42,"179,821",40,"179,703",10,"37,000",45,"318,431",43,"193,403",28,"36,777",35,"88,251",28,"2,132,088",28,"1,801,440",27,"1,738,194",17,"310,152",21,"20,496",7,"16,924",35,"784,685",64,"5,450,308",24,3,7,6,1,7,8,5,3,40,7,1,1,5,0,0,4,4,11,5,0,2,1,x,0,0,43,"2,261",16,"1,174",36,"1,087"
100207031,10,2,7,31,1007031,"- Division No.  7, Subd. E",37,"3,674,567",19,"31,790",18,x,1,x,28,"683,561",19,"271,928",22,"411,633",25,x,23,"267,753",12,"78,850",21,"188,903",27,"16,561",28,"271,039",24,"130,815",26,"140,224",7,x,26,"271,005",24,"166,780",13,"28,219",18,"76,006",20,x,20,x,19,x,14,x,18,x,5,x,25,"609,151",37,"3,955,524",12,3,1,2,0,6,7,5,1,25,7,1,0,4,0,0,2,3,5,2,0,1,1,x,0,0,28,"1,442",11,634,23,808
100207038,10,2,7,38,1007038,"- Division No.  7, Subd. D",27,"1,429,866",10,"2,393",10,"2,393",0,0,15,"284,656",10,"104,460",11,"180,196",9,x,9,"69,705",5,"19,141",7,"50,564",11,"8,611",19,"88,485",18,"49,006",14,"39,479",3,x,19,"47,426",19,"26,623",15,"8,558",17,"12,245",8,x,8,x,8,x,3,x,3,x,2,x,10,"175,534",27,"1,494,784",12,0,6,4,1,1,1,0,2,15,0,0,1,1,0,0,2,1,6,3,0,1,0,0,0,0,15,819,5,540,13,279
100208000,10,2,8,0,1008000,- Division No.  8,72,"1,972,752",31,"6,780",30,x,1,x,38,"573,756",20,"234,915",27,"338,841",35,"34,948",24,"118,828",20,"46,060",12,"72,768",39,"21,828",47,"181,385",43,"98,008",44,"83,377",9,"26,339",39,"111,994",36,"70,236",21,"18,492",29,"23,266",36,"655,770",36,"466,042",35,"463,483",15,"184,952",29,"4,776",9,"23,738",47,"217,386",72,"2,060,928",28,8,14,7,7,4,2,1,1,44,0,4,0,3,0,0,2,4,10,15,2,4,1,x,0,0,38,"1,687",9,867,35,820
100208036,10,2,8,36,1008036,"- Division No.  8, Subd. G",37,"851,726",13,x,13,x,0,0,18,"238,554",9,"71,084",13,"167,470",13,"9,703",11,"67,072",9,"13,214",6,"53,858",19,"8,570",23,"45,609",23,"27,395",21,"18,214",2,x,17,"39,079",15,"26,122",7,"6,531",11,"6,426",22,"340,146",22,x,21,"226,197",8,x,18,"2,227",5,x,23,"84,229",37,"882,354",16,6,8,1,2,3,0,0,1,21,0,2,0,1,0,0,0,2,3,10,1,2,1,x,0,0,18,635,3,314,16,321
100208065,10,2,8,65,1008065,"- Division No.  8, Subd. P",35,"1,121,026",18,x,17,x,1,x,20,"335,202",11,"163,831",14,"171,371",22,"25,245",13,"51,756",11,"32,846",6,"18,910",20,"13,258",24,"135,776",20,"70,613",23,"65,163",7,x,22,"72,915",21,"44,114",14,"11,961",18,"16,840",14,"315,624",14,x,14,"237,286",7,x,11,"2,549",4,x,24,"133,157",35,"1,178,574",12,2,6,6,5,1,2,1,0,23,0,2,0,2,0,0,2,2,7,5,1,2,0,0,0,0,20,"1,052",6,553,19,499
100300000,10,3,0,0,1000000,- Agricultural Region - RÇgion agricole 3,176,"18,831,539",87,"83,878",85,"82,074",5,"1,804",107,"2,767,307",46,"989,808",97,"1,777,499",99,"254,448",91,"882,249",53,"170,222",66,"712,027",115,"88,348",151,"1,085,089",143,"507,324",135,"577,765",39,"237,793",132,"567,217",127,"392,502",52,"64,675",79,"110,040",119,"10,353,597",113,"7,211,757",106,"6,957,744",52,"3,044,751",76,"97,089",28,"218,699",105,"2,292,914",176,"21,026,033",36,21,27,29,15,11,13,12,12,140,19,18,2,12,0,2,13,10,15,25,6,18,16,"44,259",0,0,107,"6,747",32,"3,007",99,"3,740"
100304000,10,3,4,0,1004000,- Division No.  4,79,"3,031,801",24,"16,993",24,x,1,x,42,"602,348",12,"129,475",36,"472,873",42,"58,766",32,"255,651",19,"82,462",23,"173,189",45,"23,960",67,"326,253",61,"128,460",61,"197,793",17,"38,191",61,"215,090",60,"164,541",27,"13,841",37,"36,708",55,"1,181,589",53,"968,018",50,"873,171",18,"178,095",32,"35,476",11,"6,657",35,"306,303",79,"3,622,222",21,11,11,14,10,5,3,3,1,58,5,11,0,2,0,0,4,1,11,9,4,11,8,"17,084",0,0,42,"1,729",8,469,39,"1,260"
100304001,10,3,4,1,1004001,"- Division No.  4, Subd. A",30,"1,882,707",8,"8,470",8,"8,470",0,0,16,"268,557",5,"75,000",13,"193,557",16,"40,846",12,"170,213",7,"48,843",10,"121,370",16,"9,927",27,"156,140",23,"53,724",25,"102,416",6,"26,872",24,"81,826",23,"75,242",6,"1,515",8,"5,069",23,"929,922",23,"796,122",21,"709,958",5,"118,178",9,"15,622",5,"1,983",12,"187,951",30,"2,297,576",8,6,4,4,3,0,2,2,1,22,4,7,0,1,0,0,2,0,1,0,3,4,5,"12,251",0,0,16,746,4,270,14,476
100304006,10,3,4,6,1004006,"- Division No.  4, Subd. B",49,"1,149,094",16,"8,523",16,x,1,x,26,"333,791",7,"54,475",23,"279,316",26,"17,920",20,"85,438",12,"33,619",13,"51,819",29,"14,033",40,"170,113",38,"74,736",36,"95,377",11,"11,319",37,"133,264",37,"89,299",21,"12,326",29,"31,639",32,"251,667",30,"171,896",29,"163,213",13,"59,917",23,"19,854",6,"4,674",23,"118,352",49,"1,324,646",13,5,7,10,7,5,1,1,0,36,1,4,0,1,0,0,2,1,10,9,1,7,3,"4,833",0,0,26,983,4,199,25,784
100305000,10,3,5,0,1005000,- Division No.  5,97,"15,799,738",63,"66,885",61,x,4,x,65,"2,164,959",34,"860,333",61,"1,304,626",57,"195,682",59,"626,598",34,"87,760",43,"538,838",70,"64,388",84,"758,836",82,"378,864",74,"379,972",22,"199,602",71,"352,127",67,"227,961",25,"50,834",42,"73,332",64,"9,172,008",60,"6,243,739",56,"6,084,573",34,"2,866,656",44,"61,613",17,"212,042",70,"1,986,611",97,"17,403,811",15,10,16,15,5,6,10,9,11,82,14,7,2,10,0,2,9,9,4,16,2,7,8,"27,175",0,0,65,"5,018",24,"2,538",60,"2,480"
100305007,10,3,5,7,1005007,"- Division No.  5, Subd. E",48,"10,988,409",34,"50,501",33,x,1,x,34,"1,320,811",18,"477,241",33,"843,570",30,"132,357",37,"455,451",20,"54,034",30,"401,417",39,"34,811",46,"498,736",44,"271,369",44,"227,367",13,"154,490",39,"232,940",37,"159,718",13,"31,556",22,"41,666",34,"6,818,316",32,"4,516,282",30,"4,399,382",18,"2,261,819",22,"40,215",8,"142,763",35,"1,147,233",48,"12,151,373",5,1,10,5,3,3,7,7,7,43,12,2,0,5,0,0,8,5,2,4,1,4,6,x,0,0,34,"3,217",17,"1,623",31,"1,594"
100305010,10,3,5,10,1005010,"- Division No.  5, Subd. F",28,"4,202,871",15,"11,273",15,"11,273",0,0,18,"723,029",10,"312,120",18,"410,909",18,"55,586",16,"155,075",9,x,12,x,19,"24,451",25,"202,444",25,"72,767",21,"129,677",4,"14,926",18,"78,997",17,"40,204",7,"16,163",11,"22,630",15,"2,136,524",15,"1,556,581",15,"1,554,733",8,"564,175",11,"15,768",4,"62,747",22,"737,819",28,"4,641,466",5,5,1,5,2,3,2,1,4,23,1,0,2,4,0,2,0,4,2,7,0,1,1,x,0,0,18,"1,487",5,x,17,x
100305999,10,3,5,999,1005999,- Division No.  9,21,"608,458",14,"5,111",13,"3,659",3,"1,452",13,"121,119",6,"70,972",10,"50,147",9,"7,739",6,"16,072",5,x,1,x,12,"5,126",13,"57,656",13,"34,728",9,"22,928",5,"30,186",14,"40,190",13,"28,039",5,"3,115",9,"9,036",15,"217,168",13,"170,876",11,"130,458",8,"40,662",11,"5,630",5,"6,532",13,"101,559",21,"610,972",5,4,5,5,0,0,1,1,0,16,1,5,0,1,0,0,1,0,0,5,1,2,1,x,0,0,13,314,2,x,12,x
110000000,11,0,0,0,1100000,- Prince Edward Island - Ile-du-Prince-êdouard,"2,361","209,699,421",988,"6,713,964",952,"6,524,086",59,"189,878","1,419","33,243,561",736,"11,543,824","1,159","21,699,737","1,976","3,840,152","1,419","17,064,007",970,"5,612,986","1,045","11,451,021","1,843","1,205,791","2,186","25,448,396","2,082","10,604,591","2,045","14,843,805","1,190","3,799,280","1,952","37,779,105","1,852","20,016,557","1,375","8,962,315","1,481","8,800,233","1,919","52,867,488","1,847","28,381,331","1,804","22,763,897","1,207","21,820,374","1,654","2,665,783",712,"1,145,887","1,507","26,591,790","2,361","270,020,368",217,184,244,383,261,355,434,180,103,"2,144",498,488,203,27,3,60,530,49,31,144,83,28,103,"515,746",5,"2,015","1,412","84,040",403,"35,647","1,274","48,393"
110001000,11,0,1,0,1101000,- Kings County,396,"31,614,106",139,"600,176",133,"563,501",9,"36,675",228,"6,173,541",114,"2,072,993",188,"4,100,548",323,"633,809",224,"2,486,012",139,"839,461",163,"1,646,551",303,"229,336",368,"3,698,214",346,"1,530,884",342,"2,167,330",165,"827,692",330,"5,623,891",313,"3,128,408",226,"1,256,878",242,"1,238,605",285,"5,462,156",275,"3,790,369",265,"3,139,238",152,"1,372,458",229,"299,329",111,"322,915",234,"5,556,364",396,"40,444,805",48,42,47,64,35,52,62,33,13,348,71,77,33,6,1,22,82,7,3,30,8,8,22,"244,283",1,x,228,"14,966",59,"4,971",213,"9,995"
110001001,11,0,1,1,1101001,- Lot 64,32,"1,921,819",7,"24,840",7,"24,840",0,0,15,"115,509",5,"46,195",12,"69,314",25,"41,036",14,"114,128",9,"48,562",9,"65,566",23,"11,177",29,"194,544",26,"90,231",28,"104,313",9,"12,350",25,"263,491",21,"154,202",14,"57,785",20,"51,504",22,"1,037,694",21,"520,337",21,"443,780",12,"479,468",15,"37,889",5,"2,789",16,"104,261",32,"2,373,910",6,2,8,7,2,2,2,2,1,26,3,5,4,1,1,2,5,0,1,4,0,0,0,0,0,0,15,610,4,102,13,508
110001006,11,0,1,6,1101006,- Lot 63,19,"1,971,334",3,"4,805",3,"4,805",0,0,12,"648,615",7,"197,096",11,"451,519",18,"58,458",14,"122,912",8,"45,347",12,"77,565",17,"9,648",19,"170,840",18,"71,307",18,"99,533",7,"24,341",16,"216,809",16,"145,203",15,"38,989",14,"32,617",12,"340,082",12,"199,460",12,"178,749",8,"128,289",7,"12,333",10,"62,831",14,"311,993",19,"2,451,529",1,0,2,2,1,2,7,4,0,18,3,1,2,1,0,0,8,1,0,0,0,2,1,x,0,0,12,860,3,x,12,x
110001008,11,0,1,8,1101008,- Lot 61,24,"1,166,838",8,"9,035",8,"9,035",0,0,8,"262,559",2,x,7,x,18,"26,268",12,"126,662",4,"33,152",10,"93,510",12,"5,257",23,"110,475",21,"48,655",22,"61,820",11,"25,522",19,"112,335",17,"81,454",11,"20,236",12,"10,645",19,"273,325",19,"237,753",18,"138,239",10,"23,855",14,"11,717",6,"59,079",11,"156,321",24,"1,470,582",7,4,3,2,2,2,2,2,0,17,3,6,2,1,0,0,3,1,0,1,0,0,0,0,0,0,8,282,4,226,5,56
