AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,ALL1,ALL2,ALL3,SEX1,SEX2,AGE1,AGE2,AGE3,RES1,OFF1,OFF2,OFF3,OFF4,OFF5,OFF6,AVAGE1,AVOFF1
100102000,10,1,2,0,1002000,Division No.  2,30,20,10,25,5,5,20,5,25,15,0,0,5,5,15,44.7,121.6
100102001,10,1,2,1,1002001,"Division No.  2, Subd. E",30,20,10,20,5,5,20,5,25,10,0,5,5,5,15,44.7,121.6
100200000,10,2,0,0,1000000,Agricultural Region RÇgion agricole 2,235,140,90,185,50,40,135,65,145,130,0,30,35,35,100,46.6,75.2
100206000,10,2,6,0,1006000,Division No.  6,60,35,20,50,10,10,30,15,40,30,0,5,5,15,30,45.8,105.9
100206014,10,2,6,14,1006014,"Division No.  6, Subd. C",60,35,25,45,10,10,30,15,45,30,0,5,5,15,30,45.8,105.9
100207000,10,2,7,0,1007000,Division No.  7,80,45,35,60,20,10,55,15,55,45,0,10,15,10,35,46.2,69.4
100207031,10,2,7,31,1007031,"Division No.  7, Subd. E",45,30,20,35,15,5,30,10,35,30,5,5,5,10,15,44.0,57.7
100207038,10,2,7,38,1007038,"Division No.  7, Subd. D",35,20,15,25,10,0,25,10,20,20,0,5,10,0,15,49.1,85.1
100208000,10,2,8,0,1008000,Division No.  8,90,55,35,75,15,15,45,30,50,55,0,15,15,10,40,47.4,59.9
100208036,10,2,8,36,1008036,"Division No.  8, Subd. G",50,25,20,40,10,10,25,10,30,30,0,5,5,5,15,46.0,47.5
100208065,10,2,8,65,1008065,"Division No.  8, Subd. P",40,25,15,35,5,10,20,15,20,20,0,5,10,5,20,49.0,74.8
100300000,10,3,0,0,1000000,Agricultural Region RÇgion agricole 3,215,135,85,170,45,35,135,50,165,120,0,25,35,30,90,45.7,72.0
100304000,10,3,4,0,1004000,Division No.  4,95,65,30,80,15,15,55,30,80,55,0,15,15,10,40,47.4,68.4
100304001,10,3,4,1,1004001,"Division No.  4, Subd. A",35,25,0,30,5,0,25,5,35,15,0,5,0,5,15,45.8,103.3
100304006,10,3,4,6,1004006,"Division No.  4, Subd. B",60,40,25,50,10,5,35,20,55,40,0,10,10,5,20,48.2,50.3
100305000,10,3,5,0,1005000,Division No.  5,125,70,55,95,30,20,80,25,85,70,0,15,20,20,55,44.4,74.8
100305007,10,3,5,7,1005007,"Division No.  5, Subd. E",60,35,25,45,15,10,45,10,45,35,0,10,15,10,25,44.2,82.3
100305010,10,3,5,10,1005010,"Division No.  5, Subd. F",40,20,15,25,10,10,20,10,25,20,5,5,5,5,15,45.1,50.1
100305999,10,3,5,999,1005999,Division no. 9,25,15,10,25,5,5,20,5,10,10,0,0,10,5,15,44.0,91.7
110000000,11,0,0,0,1100000,P.E.I. ?.-P.-ê.,"3,130","1,675","1,455","2,650",475,635,"1,460","1,035","2,940","2,055",70,240,420,350,"1,080",47.6,58.1
110001000,11,0,1,0,1101000,Kings County,530,280,255,460,75,110,235,195,500,355,15,50,80,40,180,48.2,52.8
110001001,11,0,1,1,1101001,Lot 64,40,25,20,40,5,10,10,20,35,20,0,5,5,5,20,52.9,70.0
110001006,11,0,1,6,1101006,Lot 63,30,15,10,20,5,10,10,10,25,20,0,0,0,5,5,47.5,67.3
110001008,11,0,1,8,1101008,Lot 61,25,20,10,30,0,10,10,10,25,20,0,5,0,5,15,48.2,75.7
110001009,11,0,1,9,1101009,Lot 59,30,15,15,25,5,10,15,5,30,15,0,5,5,10,15,44.2,92.0
110001014,11,0,1,14,1101014,Lot 51,35,25,10,35,5,10,15,10,35,25,0,5,5,0,10,49.6,46.6
110001016,11,0,1,16,1101016,Lot 52,30,20,15,30,0,10,15,10,30,25,0,5,5,0,10,50.0,22.8
110001019,11,0,1,19,1101019,Lot 53,30,5,20,25,5,10,15,5,30,20,0,5,0,5,10,41.8,36.5
110001026,11,0,1,26,1101026,Lot 54,35,15,20,25,5,5,15,10,30,20,5,10,0,5,15,48.2,52.3
110001028,11,0,1,28,1101028,Lot 55,25,15,5,20,5,5,5,10,25,15,0,5,5,0,10,48.6,64.8
110001029,11,0,1,29,1101029,Lot 56,20,10,10,20,0,10,5,5,20,15,0,5,5,0,5,44.0,43.3
110001031,11,0,1,31,1101031,Lot 43,25,10,10,20,5,5,10,10,25,20,0,5,5,5,5,51.2,61.7
110001032,11,0,1,32,1101032,Lot 44,25,10,10,20,5,0,15,10,20,10,0,5,10,0,10,51.4,85.9
110001034,11,0,1,34,1101034,Lot 45,30,15,15,30,5,10,15,5,30,25,0,0,5,5,5,46.1,42.0
110001039,11,0,1,39,1101039,Lot 47,35,15,20,35,5,5,15,15,35,30,0,0,0,0,5,52.9,15.7
110001042,11,0,1,42,1101042,Lot 41,30,20,10,25,5,10,15,15,30,20,0,5,10,5,15,47.5,79.1
110001046,11,0,1,46,1101046,Lot 40,35,15,20,30,5,10,10,15,30,25,0,0,5,0,5,45.0,25.2
110001049,11,0,1,49,1101049,Lot 39,20,10,10,15,5,5,10,5,20,15,5,0,0,0,5,47.8,33.0
110001051,11,0,1,51,1101051,Lot 38,25,15,5,15,5,5,15,10,20,15,0,0,5,0,5,48.7,46.8
110002000,11,0,2,0,1102000,Queens County,"1,490",800,690,"1,245",245,285,700,505,"1,415",980,35,90,185,200,510,48.1,61.9
110002006,11,0,2,6,1102006,Lot 58,60,25,35,55,10,15,30,20,55,50,0,5,0,5,20,47.5,43.3
110002008,11,0,2,8,1102008,Lot 57,70,35,40,50,20,10,30,25,70,45,5,5,5,5,20,48.1,53.7
110002009,11,0,2,9,1102009,Lot 50,100,45,50,80,15,30,40,25,95,70,5,0,5,10,25,43.9,45.7
110002012,11,0,2,12,1102012,Lot 49,55,35,20,50,5,10,30,15,50,30,0,0,10,10,25,45.6,78.1
110002014,11,0,2,14,1102014,Lot 48,85,50,35,70,15,10,40,35,85,50,0,5,10,15,30,50.3,77.5
110002026,11,0,2,26,1102026,Lot 31,140,65,70,115,25,15,75,50,130,80,5,10,15,25,55,48.7,83.1
110002027,11,0,2,27,1102027,North River,70,45,25,65,10,10,35,25,70,55,0,5,5,10,20,51.3,53.4
110002028,11,0,2,28,1102028,Lot 65,85,45,40,75,10,15,30,35,80,60,0,0,10,15,25,50.0,59.7
110002029,11,0,2,29,1102029,Lot 30,60,30,30,50,15,20,25,20,55,30,0,5,10,10,35,45.7,88.6
110002031,11,0,2,31,1102031,Lot 29,50,20,30,40,10,15,25,15,50,35,0,0,10,0,20,47.4,51.4
110002036,11,0,2,36,1102036,Lot 67,85,45,40,65,15,15,45,25,80,55,5,15,10,5,25,47.8,38.6
110002038,11,0,2,38,1102038,Lot 20,60,35,25,55,10,20,25,15,55,40,0,0,5,5,20,45.1,57.0
110002039,11,0,2,39,1102039,Lot 21,40,25,20,35,5,5,20,15,35,35,0,5,5,0,10,51.2,31.9
110002040,11,0,2,40,1102040,Miltonvale Park,40,25,15,30,5,5,15,20,40,25,0,0,5,15,15,51.7,102.7
110002041,11,0,2,41,1102041,Lot 22,50,30,20,40,10,10,20,20,45,35,0,5,10,5,10,50.3,37.9
110002042,11,0,2,42,1102042,Lot 23,70,40,35,55,15,10,30,30,65,45,0,5,10,15,25,49.6,65.5
110002044,11,0,2,44,1102044,Lot 24,75,40,35,65,10,10,35,25,70,50,0,10,5,10,20,47.2,50.9
110002049,11,0,2,49,1102049,Lot 33,105,55,50,90,15,10,60,30,100,70,0,5,10,20,35,46.6,77.7
110002052,11,0,2,52,1102052,Lot 34,70,35,35,60,10,20,30,20,60,50,5,0,10,5,20,45.6,55.1
110002054,11,0,2,54,1102054,Lot 35,40,20,20,35,5,10,15,15,40,25,5,0,5,5,15,50.1,58.0
110002056,11,0,2,56,1102056,Lot 36,50,35,20,45,5,5,30,20,45,25,5,0,15,5,20,48.7,69.8
110002058,11,0,2,58,1102058,Lot 37,35,25,10,30,5,5,15,15,30,15,0,0,10,0,15,50.0,64.8
110003000,11,0,3,0,1103000,Prince County,"1,105",590,510,945,160,245,525,340,"1,030",715,25,100,150,110,390,46.8,55.6
110003001,11,0,3,1,1103001,Lot 28,70,30,40,55,10,20,30,20,65,55,5,5,0,5,15,47.1,24.5
110003006,11,0,3,6,1103006,Lot 27,75,35,40,65,10,25,35,15,70,50,0,5,10,5,20,43.8,52.8
110003009,11,0,3,9,1103009,Lot 26,80,35,45,70,10,25,35,20,75,60,0,10,10,5,25,44.3,37.8
110003011,11,0,3,11,1103011,Lot 25,55,30,25,50,5,10,25,20,50,45,5,0,5,5,15,47.2,36.9
110003012,11,0,3,12,1103012,Lot 19,65,30,35,55,10,15,30,20,60,45,5,5,5,5,20,45.1,55.8
110003016,11,0,3,16,1103016,Lot 18,65,30,40,55,15,10,45,15,65,50,0,5,10,5,25,47.1,57.4
110003019,11,0,3,19,1103019,Lot 17,75,35,35,55,15,15,40,25,60,55,0,5,10,5,15,48.2,44.7
110003028,11,0,3,28,1103028,Lot 16,50,25,25,45,10,10,20,25,50,35,0,5,10,5,20,50.8,55.5
110003031,11,0,3,31,1103031,Lot 14,50,20,30,35,10,10,25,20,40,35,0,10,0,0,15,48.3,38.9
110003032,11,0,3,32,1103032,Lot 13,45,35,15,45,0,10,25,15,50,25,0,5,10,10,20,47.1,88.5
110003034,11,0,3,34,1103034,Lot 12,25,15,15,15,10,10,20,10,20,10,0,5,10,5,20,45.2,116.6
110003036,11,0,3,36,1103036,Lot 11,20,15,10,20,0,5,10,5,20,10,0,0,5,0,10,46.4,46.7
110003041,11,0,3,41,1103041,Lot  6,70,35,30,60,10,20,25,15,60,45,0,0,10,10,25,45.3,70.6
110003044,11,0,3,44,1103044,Lot  9,30,15,20,30,0,5,15,15,30,20,0,0,5,5,15,48.2,70.9
110003046,11,0,3,46,1103046,Lot  8,40,25,15,35,5,5,15,15,40,25,5,5,5,5,15,48.2,59.4
110003048,11,0,3,48,1103048,Lot  7,45,25,15,40,5,10,20,10,45,25,0,5,10,5,20,44.0,70.7
110003049,11,0,3,49,1103049,Lot  5,35,25,10,30,0,5,15,10,30,15,5,5,5,5,20,46.6,88.3
110003051,11,0,3,51,1103051,Lot  4,75,55,20,70,5,10,40,25,70,50,0,10,5,5,20,48.0,48.5
110003054,11,0,3,54,1103054,Lot  3,45,25,25,40,5,5,15,20,45,30,5,5,10,0,20,48.3,55.8
110003056,11,0,3,56,1103056,Lot  2,25,20,10,25,0,5,10,5,20,10,0,5,5,5,15,44.5,87.0
110003058,11,0,3,58,1103058,Lot  1,55,30,20,45,10,10,25,20,50,35,0,10,10,0,25,49.8,48.0
120000000,12,0,0,0,1200000,Nova Scotia Nouvelle-êcosse,"5,165","2,895","2,275","4,080","1,090",870,"2,615","1,685","4,655","3,040",100,315,795,920,"2,125",48.3,81.5
120100000,12,1,0,0,1200000,Agricultural Region RÇgion agricole 1,665,385,280,535,130,115,340,210,615,355,15,45,120,130,310,47.7,91.3
120101000,12,1,1,0,1201000,Shelburne County,30,15,15,20,10,5,10,10,30,15,0,0,5,5,10,49.4,77.0
120101006,12,1,1,6,1201006,Shelburne,30,15,10,20,10,5,15,10,25,20,0,0,5,5,10,49.4,77.0
120102000,12,1,2,0,1202000,Yarmouth County,135,80,55,105,30,20,85,35,125,65,5,5,40,30,75,45.8,106.2
120102001,12,1,2,1,1202001,Argyle,30,20,15,20,5,5,25,5,25,10,0,5,10,10,20,42.3,137.6
120102004,12,1,2,4,1202004,Yarmouth,105,65,35,80,20,15,60,30,95,50,0,5,30,20,50,47.0,96.2
120103000,12,1,3,0,1203000,Digby County,130,80,55,105,25,25,75,30,115,70,5,5,25,30,65,45.3,104.9
120103001,12,1,3,1,1203001,Clare,95,50,40,75,20,25,50,20,80,40,0,5,20,25,50,44.3,121.3
120103004,12,1,3,4,1203004,Digby,40,25,15,30,5,5,25,10,40,30,0,0,5,5,15,47.7,65.9
120104000,12,1,4,0,1204000,Queens County,45,30,15,40,5,5,15,15,40,25,0,5,0,5,15,50.2,72.6
120104008,12,1,4,8,1204008,"Queens, Subd. B",40,25,15,35,10,10,20,20,40,25,0,5,0,5,15,50.2,72.6
120106000,12,1,6,0,1206000,Lunenburg County,325,180,145,270,60,60,145,125,310,185,10,30,50,65,145,49.0,83.2
120106001,12,1,6,1,1206001,Lunenburg,265,145,120,215,50,45,120,100,250,150,10,20,40,55,115,49.1,81.3
120106009,12,1,6,9,1206009,Chester,60,35,25,50,10,10,20,20,55,25,0,5,15,10,30,48.6,92.3
120200000,12,2,0,0,1200000,Agricultural Region RÇgion agricole 2,1775,925,850,1385,385,320,870,585,1630,1110,20,95,245,300,660,48.1,76.0
120205000,12,2,5,0,1205000,Annapolis County,350,175,175,265,85,50,180,120,335,205,5,25,60,60,150,48.9,82.7
120205001,12,2,5,1,1205001,"Annapolis, Subd. D",40,15,25,30,10,5,25,10,40,20,0,5,10,10,15,47.1,84.4
120205004,12,2,5,4,1205004,"Annapolis, Subd. A",105,50,55,85,25,20,50,35,100,60,0,10,20,15,45,48.8,72.7
120205009,12,2,5,9,1205009,"Annapolis, Subd. B",115,60,60,90,35,15,65,35,115,70,0,5,25,20,50,49.1,88.2
120205014,12,2,5,14,1205014,"Annapolis, Subd. C",90,50,40,75,15,10,40,35,85,55,5,5,15,15,35,49.7,86.6
120207000,12,2,7,0,1207000,Kings County,885,470,415,705,180,165,435,290,805,575,15,45,105,145,310,47.7,72.2
120207001,12,2,7,1,1207001,"Kings, Subd. A",405,225,180,315,90,65,210,130,375,255,5,15,55,75,155,48.3,80.9
120207011,12,2,7,11,1207011,"Kings, Subd. C",50,40,10,45,0,5,25,20,40,35,5,5,5,10,15,49.1,68.1
120207016,12,2,7,16,1207016,"Kings, Subd. B",255,140,115,205,50,60,125,75,235,175,10,10,25,40,80,46.4,63.1
120207021,12,2,7,21,1207021,"Kings, Subd. D",175,70,105,140,35,35,75,60,155,115,0,10,20,25,60,47.8,66.6
120208000,12,2,8,0,1208000,Hants County,535,285,250,415,120,100,260,175,490,325,10,30,80,90,205,48.2,77.8
120208001,12,2,8,1,1208001,West Hants,265,145,120,205,60,35,125,100,240,155,5,15,45,50,110,50.5,88.1
120208008,12,2,8,8,1208008,East Hants,270,140,135,210,60,60,135,75,250,170,5,20,35,45,95,46.0,67.8
120300000,12,3,0,0,1200000,Agricultural Region RÇgion agricole 3,1610,915,685,1250,360,245,805,555,1375,930,45,85,245,305,680,49.1,83.3
120309000,12,3,9,0,1209000,Halifax County,215,125,90,160,50,45,110,70,195,130,5,5,35,40,85,47.5,79.6
120309018,12,3,9,18,1209018,"Halifax, Subd. D",55,40,20,40,20,10,25,20,45,40,0,0,5,10,15,47.0,69.6
120309026,12,3,9,26,1209026,"Halifax, Subd. E",45,30,10,40,5,10,25,10,40,25,5,0,0,10,15,47.9,71.7
120309031,12,3,9,31,1209031,"Halifax, Subd. F",75,30,45,50,20,15,35,20,75,40,0,5,20,10,30,46.6,91.5
120309036,12,3,9,36,1209036,"Halifax, Subd. G",40,25,15,35,5,5,20,10,35,20,0,0,10,5,20,49.7,80.4
120310000,12,3,10,0,1210000,Colchester County,660,340,315,515,150,110,325,225,575,400,10,30,100,115,255,48.4,77.7
120310001,12,3,10,1,1210001,"Colchester, Subd. C",255,130,120,205,50,50,125,70,230,170,5,10,25,40,85,46.7,65.9
120310008,12,3,10,8,1210008,"Colchester, Subd. B",260,130,125,200,60,35,125,100,225,170,0,10,40,35,90,49.8,66.7
120310012,12,3,10,12,1210012,"Colchester, Subd. A",150,80,65,105,40,25,75,55,120,65,0,10,35,40,85,49.0,116.9
120311000,12,3,11,0,1211000,Cumberland County,735,455,285,575,160,90,370,270,605,395,30,50,110,150,335,50.0,89.4
120311001,12,3,11,1,1211001,"Cumberland, Subd. A",130,90,40,95,35,15,60,55,95,75,5,15,20,15,55,53.2,62.7
120311006,12,3,11,6,1211006,"Cumberland, Subd. B",230,145,90,180,55,25,115,85,190,115,5,15,30,60,115,50.2,102.1
120311009,12,3,11,9,1211009,"Cumberland, Subd. C",215,120,90,170,40,30,120,65,190,130,5,10,30,45,85,48.0,87.9
120311014,12,3,11,14,1211014,"Cumberland, Subd. D",155,95,60,125,30,20,80,55,130,75,5,15,30,30,80,50.0,94.9
120400000,12,4,0,0,1200000,Agricultural Region RÇgion agricole 4,710,425,285,575,135,120,380,210,650,400,15,45,115,135,310,47.6,85.6
120412000,12,4,12,0,1212000,Pictou County,420,240,180,330,90,60,230,135,390,235,5,30,70,80,190,48.7,88.6
120412001,12,4,12,1,1212001,"Pictou, Subd. A",215,115,100,170,50,30,120,65,205,125,5,20,40,30,95,48.2,78.9
120412006,12,4,12,6,1212006,"Pictou, Subd. B",110,60,50,90,25,20,65,25,105,55,0,5,20,30,55,47.1,112.2
120412011,12,4,12,11,1212011,"Pictou, Subd. C",95,65,30,70,20,10,45,40,80,55,0,5,10,20,35,51.8,82.7
120413000,12,4,13,0,1213000,Guysborough County,50,35,15,45,5,5,25,15,40,30,5,0,5,10,20,50.2,87.6
120413001,12,4,13,1,1213001,St. Mary's,25,15,5,20,0,5,10,10,25,15,0,0,5,5,10,51.4,77.2
120413004,12,4,13,4,1213004,Guysborough,25,15,10,20,5,5,15,10,20,10,0,5,0,5,10,48.9,99.0
120414000,12,4,14,0,1214000,Antigonish County,240,150,95,205,40,55,125,60,225,140,5,15,35,45,100,45.2,79.9
120414001,12,4,14,1,1214001,"Antigonish, Subd. A",145,100,45,130,15,30,75,35,135,85,0,10,25,25,60,46.9,80.4
120414006,12,4,14,6,1214006,"Antigonish, Subd. B",100,50,45,75,25,25,50,20,85,60,0,5,10,20,40,42.7,79.3
120500000,12,5,0,0,1200000,Agricultural Region RÇgion agricole 5,410,245,170,335,80,65,220,125,380,245,5,35,75,55,170,48.0,75.7
120515000,12,5,15,0,1215000,Inverness County,170,100,70,140,30,25,90,55,160,105,5,15,30,20,65,48.8,66.4
120515001,12,5,15,1,1215001,"Inverness, Subd. C",30,15,15,25,10,0,10,15,30,20,0,5,5,10,10,50.2,97.6
120515006,12,5,15,6,1215006,"Inverness, Subd. B",80,50,30,65,15,15,45,25,75,55,0,5,15,5,30,48.3,47.1
120515011,12,5,15,11,1215011,"Inverness, Subd. A",55,35,20,50,10,10,30,15,50,25,0,10,10,10,30,48.6,77.8
120516000,12,5,16,0,1216000,Richmond County,25,20,5,20,0,10,10,10,25,10,0,5,5,5,15,48.5,95.1
120516006,12,5,16,6,1216006,"Richmond, Subd. A",25,20,5,20,5,10,10,10,25,10,0,5,5,5,15,48.5,95.1
120517000,12,5,17,0,1217000,Cape Breton County,140,85,55,115,30,25,75,40,130,90,0,10,20,20,50,47.5,76.4
120517006,12,5,17,6,1217006,"Cape Breton, Subd. B",50,35,15,40,15,5,30,20,45,30,0,5,10,10,20,51.2,88.9
120517016,12,5,17,16,1217016,"Cape Breton, Subd. A",95,55,40,80,15,25,50,20,80,60,0,5,10,15,30,45.5,69.4
120518000,12,5,18,0,1218000,Victoria County,80,40,40,60,20,10,45,20,65,45,5,5,20,10,40,47.0,88.5
120518001,12,5,18,1,1218001,"Victoria, Subd. B",80,40,40,60,15,15,45,25,70,45,5,5,20,15,35,47.0,88.5
130000000,13,0,0,0,1300000,N.B. N.-B.,"4,235","2,375","1,860","3,465",770,695,"2,225","1,320","3,775","2,495",90,285,615,750,"1,745",48.1,81.3
130100000,13,1,0,0,1300000,Agricultural Region RÇgion agricole 1,1640,895,745,1380,255,295,830,515,1475,1045,35,90,220,255,595,47.7,72.3
130110000,13,1,10,0,1310000,York County,490,260,235,395,95,75,225,185,420,265,20,25,80,95,220,49.7,90.1
130110004,13,1,10,4,1310004,Manners Sutton,55,35,20,45,10,10,35,10,50,25,5,5,15,10,30,44.6,97.4
130110011,13,1,10,11,1310011,Canterbury,25,15,10,20,5,5,10,5,25,10,0,0,5,10,15,48.7,128.0
130110016,13,1,10,16,1310016,Prince William,20,10,5,20,5,0,5,10,20,5,0,0,5,5,10,49.8,89.4
130110018,13,1,10,18,1310018,Kingsclear,55,25,25,40,10,10,20,20,40,30,0,5,5,15,20,51.4,91.5
130110021,13,1,10,21,1310021,Queensbury,50,30,20,40,5,5,20,20,40,30,5,0,5,0,15,51.9,51.3
130110024,13,1,10,24,1310024,Southampton,55,30,30,45,10,10,30,15,40,30,0,5,15,15,30,47.3,109.1
130110026,13,1,10,26,1310026,Bright,75,35,40,60,15,20,25,30,65,40,5,10,5,20,35,49.2,83.0
130110028,13,1,10,28,1310028,Douglas,75,40,30,55,15,10,40,30,65,35,5,5,15,20,40,50.8,108.4
130110031,13,1,10,31,1310031,Saint Marys,35,15,15,25,5,5,15,15,25,15,0,0,5,5,15,55.1,106.3
130110032,13,1,10,32,1310032,Fredericton,25,10,20,20,5,5,10,10,20,25,0,0,0,0,0,51.5,24.3
130110036,13,1,10,36,1310036,Stanley,30,15,15,25,5,5,10,10,25,15,5,0,5,5,10,48.4,86.1
130111000,13,1,11,0,1311000,Carleton County,650,335,310,560,90,130,325,195,610,415,10,45,85,95,235,47.1,69.7
130111001,13,1,11,1,1311001,Richmond,50,25,25,40,10,10,25,15,45,35,5,5,5,0,15,47.1,40.9
130111004,13,1,11,4,1311004,Woodstock,55,25,25,40,10,10,25,15,50,25,5,0,10,10,25,45.4,89.7
130111008,13,1,11,8,1311008,Northampton,30,20,10,25,5,5,15,15,30,15,0,0,0,10,15,53.0,106.0
130111011,13,1,11,11,1311011,Brighton,65,30,30,55,5,10,30,25,60,40,0,0,5,10,25,48.6,74.1
130111014,13,1,11,14,1311014,Wakefield,100,45,55,85,10,20,45,30,90,70,0,0,10,15,25,47.5,55.8
130111018,13,1,11,18,1311018,Wilmot,70,40,30,60,15,20,30,20,70,45,0,5,10,10,25,46.4,68.3
130111021,13,1,11,21,1311021,Simonds,25,10,15,20,0,0,15,5,25,10,0,5,5,10,15,46.9,102.7
130111024,13,1,11,24,1311024,Peel,45,20,20,35,10,10,20,15,35,30,0,5,5,5,15,46.0,53.7
130111026,13,1,11,26,1311026,Aberdeen,50,25,20,40,5,10,20,15,40,30,0,5,10,5,15,48.6,48.3
130111028,13,1,11,28,1311028,Kent,105,60,45,95,5,25,45,30,105,65,0,5,15,15,35,46.6,74.3
130111031,13,1,11,31,1311031,Wicklow,65,35,35,60,10,10,35,15,65,40,0,5,5,10,30,44.8,81.1
130112000,13,1,12,0,1312000,Victoria County,275,160,120,245,35,45,140,85,255,200,5,10,30,35,80,47.7,59.5
130112001,13,1,12,1,1312001,Andover,15,15,5,20,0,5,10,5,20,15,0,0,5,0,0,45.6,29.8
130112004,13,1,12,4,1312004,Perth,40,25,15,35,5,5,20,15,35,20,0,5,5,10,15,52.1,105.8
130112008,13,1,12,8,1312008,Gordon,45,30,20,40,5,5,20,20,40,30,0,0,10,5,15,50.7,65.0
130112014,13,1,12,14,1312014,Denmark,55,30,25,45,10,5,30,20,50,40,0,0,5,10,15,49.7,66.2
130112016,13,1,12,16,1312016,Grand Falls,45,20,30,40,5,15,20,10,45,35,0,0,5,5,15,45.0,71.5
130112021,13,1,12,21,1312021,Drummond,75,45,30,65,5,20,45,10,65,60,0,0,0,5,10,44.2,24.7
130113000,13,1,13,0,1313000,Madawaska County,220,140,85,190,35,40,140,45,190,165,0,10,25,25,60,45.4,56.8
130113001,13,1,13,1,1313001,Saint-AndrÇ,45,30,10,40,5,15,25,10,45,40,5,0,0,5,5,41.4,34.5
130113004,13,1,13,4,1313004,Saint-LÇonard,20,10,10,20,5,5,15,5,20,15,0,5,0,0,5,47.0,43.1
130113011,13,1,13,11,1313011,Sainte-Anne,20,15,10,15,0,0,15,5,10,15,0,5,5,5,10,47.7,81.9
130113015,13,1,13,15,1313015,Riviäre-Verte,35,15,15,25,10,0,20,10,30,20,0,0,5,5,10,45.8,74.3
130113022,13,1,13,22,1313022,Saint-Joseph,45,30,15,35,10,10,25,10,40,30,0,0,5,10,15,46.5,64.1
130113038,13,1,13,38,1313038,Clair,25,15,10,20,5,10,15,0,20,15,0,5,5,5,10,44.6,62.8
130113041,13,1,13,41,1313041,Saint-Franáois,35,15,20,30,10,5,20,10,25,30,0,0,5,5,10,47.2,51.5
130200000,13,2,0,0,1300000,Agricultural Region RÇgion agricole 2,1155,665,495,920,235,165,605,385,1060,685,30,60,160,225,470,48.9,84.7
130202000,13,2,2,0,1302000,Charlotte County,135,85,50,105,25,10,80,50,105,75,5,5,20,30,65,50.5,97.4
130202011,13,2,2,11,1302011,Pennfield,50,35,10,45,5,5,30,15,25,20,5,5,5,15,25,49.9,107.4
130202039,13,2,2,39,1302039,Saint James,25,15,10,25,5,0,20,10,25,10,0,0,10,10,20,49.7,127.5
130202042,13,2,2,42,1302042,Saint David,60,35,30,50,15,5,35,25,50,45,0,5,5,10,20,51.3,75.4
130203000,13,2,3,0,1303000,Sunbury County,135,85,50,115,25,25,65,50,125,75,5,0,20,35,60,49.1,108.6
130203001,13,2,3,1,1303001,Blissville,30,20,10,25,10,5,20,5,30,20,0,0,5,10,15,47.9,108.0
130203004,13,2,3,4,1303004,Gladstone,25,15,5,20,5,5,10,10,20,10,0,0,5,5,15,47.5,124.3
130203008,13,2,3,8,1303008,Lincoln,25,15,10,25,5,5,10,10,25,10,0,0,5,5,10,49.1,134.0
130203011,13,2,3,11,1303011,Burton,20,15,5,15,5,5,5,5,15,10,0,0,5,5,10,47.7,115.8
