HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTFAREA,TFAREA,ETFAREA,NAOWNED01,AOWNED01,EAOWNED01,NTLSRTCS01,TLSRTCS01,ETLSRTCS01,NALSDGV01,ALSDGV01,EALSDGV01,NARNTED01,ARNTED01,EARNTED01,NACRPSH01,ACRPSH01,EACRPSH01,NAOWNED,AOWNED,EAOWNED,NALSDGOV,ALSDGOV,EALSDGOV,NARNTED,ARNTED,EARNTED,NACRPSHR,ACRPSHR,EACRPSHR,NAOTUSED,AOTUSED,EAOTUSED,NTOTLAND1,TOTLAND1,ETOTLAND1,NRNTEDOT,RNTEDOT,ERNTEDOT,NCRPSHROT,CRPSHROT,ECRPSHROT,NUSEDOT,USEDOT,EUSEDOT,NAREAOT1,AREAOT1,EAREAOT1,NTOTUSE,TOTUSE,ETOTUSE,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NUNIMPAST,UNIMPAST,EUNIMPAST,NWOODWET,WOODWET,EWOODWET,NWOODXMAS,WOODXMAS,EWOODXMAS,NOTHLAND,OTHLAND,EOTHLAND,NOTHLND01,OTHLND01,EOTHLND01
10,3,4,6,"Division No.  4, Subd. B",21,21,"4,452","1,802",20,"2,673","1,082",10,"1,779",720,8,"1,490",603,5,289,117,0,0,0,20,"2,673","1,082",8,"1,490",603,4,x,x,0,0,0,1,x,x,21,"4,452","1,802",0,0,0,0,0,0,0,0,0,0,0,0,21,"4,452","1,802",16,x,x,1,x,x,4,x,x,8,"1,021",413,12,x,x,13,"1,482",600,12,x,x,19,x,x
10,3,4,16,"Division No.  4, Subd. D",16,16,"3,371","1,364",15,x,x,7,x,x,5,x,x,3,33,13,0,0,0,15,"1,937",784,5,x,x,1,x,x,0,0,0,2,x,x,16,x,x,0,0,0,0,0,0,1,x,x,1,x,x,16,"3,371","1,364",10,x,x,0,0,0,1,x,x,7,"1,409",570,7,x,x,7,962,389,11,170,69,14,"1,132",458
10,3,5,0,Division No.  5,83,83,"16,081","6,508",56,"4,088","1,654",55,"11,993","4,853",46,"10,979","4,443",14,"1,014",410,0,0,0,56,"4,192","1,696",46,"10,979","4,443",13,x,x,0,0,0,2,x,x,83,"16,185","6,550",3,x,x,0,0,0,1,x,x,4,104,42,83,"16,081","6,508",62,"5,030","2,036",4,x,x,22,"1,784",722,20,"2,914","1,179",55,"5,073","2,053",55,"5,123","2,073",54,x,x,73,x,x
10,3,5,7,"Division No.  5, Subd. E",54,54,"10,883","4,404",33,x,x,38,x,x,30,"7,664","3,102",10,x,x,0,0,0,33,"2,674","1,082",30,"7,664","3,102",9,x,x,0,0,0,2,x,x,54,x,x,2,x,x,0,0,0,1,x,x,3,x,x,54,"10,883","4,404",42,"3,129","1,266",4,x,x,13,"1,475",597,13,"2,647","1,071",36,x,x,36,"2,987","1,209",32,x,x,47,x,x
10,3,5,10,"Division No.  5, Subd. F",29,29,"5,198","2,104",23,x,x,17,x,x,16,"3,315","1,342",4,x,x,0,0,0,23,"1,518",614,16,"3,315","1,342",4,x,x,0,0,0,0,0,0,29,x,x,1,x,x,0,0,0,0,0,0,1,x,x,29,"5,198","2,104",20,"1,901",769,0,0,0,9,309,125,7,267,108,19,x,x,19,"2,136",864,22,585,237,26,"2,721","1,101"
10,2,6,0,Division No.  6,42,42,"5,914","2,393",32,"3,520","1,424",21,"2,394",969,17,"1,777",719,5,617,250,0,0,0,32,"3,520","1,424",17,"1,777",719,5,617,250,0,0,0,0,0,0,42,"5,914","2,393",0,0,0,0,0,0,0,0,0,0,0,0,42,"5,914","2,393",29,"1,823",738,3,32,13,6,188,76,7,59,24,20,x,x,21,"2,695","1,091",36,"1,117",452,39,"3,812","1,543"
10,2,6,14,"Division No.  6, Subd. C",42,42,"5,914","2,393",32,"3,520","1,424",21,"2,394",969,17,"1,777",719,5,617,250,0,0,0,32,"3,520","1,424",17,"1,777",719,5,617,250,0,0,0,0,0,0,42,"5,914","2,393",0,0,0,0,0,0,0,0,0,0,0,0,42,"5,914","2,393",29,"1,823",738,3,32,13,6,188,76,7,59,24,20,x,x,21,"2,695","1,091",36,"1,117",452,39,"3,812","1,543"
10,2,7,0,Division No.  7,59,59,"7,935","3,211",49,x,x,34,x,x,30,"4,670","1,890",12,x,x,0,0,0,49,"2,743","1,110",30,"4,670","1,890",9,x,x,0,0,0,3,x,x,59,x,x,1,x,x,0,0,0,0,0,0,1,x,x,59,"7,935","3,211",42,"2,945","1,192",3,25,10,8,226,91,16,"1,433",580,25,"1,956",792,28,"1,967",796,39,"1,339",542,46,"3,306","1,338"
10,2,7,9,"Division No.  7, Subd. K",17,17,"2,189",886,12,x,x,12,x,x,12,"1,483",600,3,x,x,0,0,0,12,x,x,12,"1,483",600,1,x,x,0,0,0,2,x,x,17,"2,189",886,0,0,0,0,0,0,0,0,0,0,0,0,17,"2,189",886,12,340,138,1,x,x,1,x,x,9,x,x,6,x,x,8,272,110,11,494,200,13,766,310
10,2,7,31,"Division No.  7, Subd. E",24,24,"4,599","1,861",22,x,x,16,x,x,14,"2,503","1,013",7,x,x,0,0,0,22,"1,663",673,14,"2,503","1,013",6,x,x,0,0,0,1,x,x,24,x,x,1,x,x,0,0,0,0,0,0,1,x,x,24,"4,599","1,861",18,"1,799",728,2,x,x,5,x,x,5,362,146,15,"1,584",641,15,"1,584",641,17,679,275,21,"2,263",916
10,2,7,38,"Division No.  7, Subd. D",18,18,"1,147",464,15,x,x,6,x,x,4,684,277,2,x,x,0,0,0,15,x,x,4,684,277,2,x,x,0,0,0,0,0,0,18,"1,147",464,0,0,0,0,0,0,0,0,0,0,0,0,18,"1,147",464,12,806,326,0,0,0,2,x,x,2,x,x,4,x,x,5,111,45,11,166,67,12,277,112
10,2,8,0,Division No.  8,53,53,"5,211","2,109",35,938,380,34,"4,273","1,729",33,x,x,4,x,x,0,0,0,35,938,380,33,"4,100","1,659",1,x,x,0,0,0,3,224,91,53,x,x,0,0,0,0,0,0,1,x,x,1,x,x,53,"5,211","2,109",34,553,224,4,17,7,7,350,142,14,"1,517",614,19,x,x,20,"1,364",552,38,"1,410",571,43,"2,774","1,123"
10,2,8,36,"Division No.  8, Subd. G",32,32,"2,625","1,062",24,546,221,18,"2,079",841,17,x,x,4,x,x,0,0,0,24,546,221,17,"1,906",771,1,x,x,0,0,0,3,224,91,32,x,x,0,0,0,0,0,0,1,x,x,1,x,x,32,"2,625","1,062",16,x,x,1,x,x,5,x,x,8,579,234,7,x,x,8,"1,040",421,20,348,141,23,"1,388",562
10,2,8,58,"Division No.  8, Subd. C",21,21,"2,586","1,047",11,392,159,16,"2,194",888,16,"2,194",888,0,0,0,0,0,0,11,392,159,16,"2,194",888,0,0,0,0,0,0,0,0,0,21,"2,586","1,047",0,0,0,0,0,0,0,0,0,0,0,0,21,"2,586","1,047",18,x,x,3,x,x,2,x,x,6,938,380,12,324,131,12,324,131,18,"1,062",430,20,"1,386",561
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,835,"250,749","101,475",820,"180,532","73,059",389,"70,217","28,416",28,"4,019","1,626",374,"64,782","26,216",19,"1,416",573,820,"196,673","79,591",28,"4,019","1,626",335,"59,612","24,124",19,"1,416",573,86,"6,219","2,517",835,"267,939","108,431",190,"14,850","6,010",16,443,179,33,"1,897",768,233,"17,190","6,957",835,"250,749","101,475",737,"172,762","69,914",16,292,118,300,"14,068","5,693",303,"14,037","5,681",594,"39,691","16,062",596,"39,786","16,101",535,"9,804","3,968",717,"49,590","20,068"
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700","1,700","619,885","250,859","1,665","444,926","180,055",831,"174,959","70,803",63,"12,510","5,063",795,"158,314","64,067",41,"4,135","1,673","1,665","485,003","196,274",63,"12,510","5,063",703,"143,715","58,159",41,"4,135","1,673",194,"16,368","6,624","1,700","661,731","267,793",390,"33,859","13,702",31,"1,396",565,84,"6,591","2,667",490,"41,846","16,934","1,700","619,885","250,859","1,524","423,281","171,296",31,571,231,554,"26,803","10,847",547,"30,432","12,315","1,208","111,954","45,306","1,213","112,444","45,504","1,089","26,354","10,665","1,461","138,798","56,170"
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,286,"122,993","49,773",285,x,x,130,x,x,9,346,140,121,x,x,8,630,255,285,"95,030","38,457",9,346,140,103,"28,853","11,676",8,630,255,34,"3,176","1,285",286,"128,035","51,814",46,"4,050","1,639",3,170,69,17,822,333,66,"5,042","2,040",286,"122,993","49,773",263,"74,688","30,225",6,85,34,94,"4,945","2,001",78,"5,036","2,038",211,"30,538","12,358",211,"30,742","12,441",183,"7,497","3,034",252,"38,239","15,475"
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,579,"246,143","99,611",560,x,x,312,x,x,26,"8,145","3,296",300,x,x,14,"2,089",845,560,"193,300","78,226",26,"8,145","3,296",265,"55,250","22,359",14,"2,089",845,74,"6,973","2,822",579,"265,757","107,548",154,"14,959","6,054",12,783,317,34,"3,872","1,567",191,"19,614","7,938",579,"246,143","99,611",524,"175,831","71,156",9,194,79,160,"7,790","3,153",166,"11,359","4,597",403,"41,725","16,886",406,"41,916","16,963",371,"9,053","3,664",492,"50,969","20,626"
11,1,1,0,Kings,286,286,"122,993","49,773",285,x,x,130,x,x,9,346,140,121,x,x,8,630,255,285,"95,030","38,457",9,346,140,103,"28,853","11,676",8,630,255,34,"3,176","1,285",286,"128,035","51,814",46,"4,050","1,639",3,170,69,17,822,333,66,"5,042","2,040",286,"122,993","49,773",263,"74,688","30,225",6,85,34,94,"4,945","2,001",78,"5,036","2,038",211,"30,538","12,358",211,"30,742","12,441",183,"7,497","3,034",252,"38,239","15,475"
11,1,1,1,Lot 64,34,34,"9,021","3,651",34,x,x,12,x,x,0,0,0,12,x,x,0,0,0,34,"6,986","2,827",0,0,0,9,"2,290",927,0,0,0,8,477,193,34,"9,753","3,947",6,x,x,0,0,0,2,x,x,8,732,296,34,"9,021","3,651",31,"5,323","2,154",1,x,x,8,x,x,12,789,319,22,x,x,22,"2,283",924,20,354,143,27,"2,637","1,067"
11,1,1,9,Lot 59,25,25,"5,830","2,359",24,"3,521","1,425",12,"2,309",934,0,0,0,12,"2,309",934,0,0,0,24,"4,291","1,737",0,0,0,10,"1,839",744,0,0,0,4,470,190,25,"6,600","2,671",4,770,312,0,0,0,0,0,0,4,770,312,25,"5,830","2,359",24,"2,876","1,164",1,x,x,7,459,186,5,x,x,17,x,x,17,"1,818",736,14,354,143,21,"2,172",879
11,1,1,14,Lot 51,17,17,"9,692","3,922",17,"7,726","3,127",6,"1,966",796,0,0,0,6,"1,966",796,0,0,0,17,"8,094","3,276",0,0,0,6,"1,966",796,0,0,0,0,0,0,17,"10,060","4,071",3,x,x,0,0,0,1,x,x,4,368,149,17,"9,692","3,922",15,"5,349","2,165",0,0,0,8,269,109,5,189,76,12,"3,321","1,344",12,"3,321","1,344",11,564,228,15,"3,885","1,572"
11,1,1,16,Lot 52,24,24,"7,028","2,844",24,"5,021","2,032",9,"2,007",812,0,0,0,7,x,x,2,x,x,24,"5,307","2,148",0,0,0,6,"1,876",759,2,x,x,1,x,x,24,"7,314","2,960",6,286,116,0,0,0,0,0,0,6,286,116,24,"7,028","2,844",20,"4,115","1,665",1,x,x,5,x,x,6,x,x,17,x,x,17,"1,506",609,18,"1,111",450,21,"2,617","1,059"
11,1,1,26,Lot 54,21,21,"8,135","3,292",21,x,x,8,x,x,0,0,0,8,x,x,0,0,0,21,"6,903","2,794",0,0,0,7,x,x,0,0,0,2,x,x,21,x,x,2,x,x,0,0,0,0,0,0,2,x,x,21,"8,135","3,292",18,"4,415","1,787",0,0,0,8,343,139,8,117,47,19,"2,595","1,050",19,"2,595","1,050",13,665,269,20,"3,260","1,319"
11,1,1,28,Lot 55,19,19,"6,500","2,630",19,"4,800","1,942",9,"1,700",688,0,0,0,8,x,x,1,x,x,19,"5,055","2,046",0,0,0,6,"1,537",622,1,x,x,3,x,x,19,"6,755","2,734",2,x,x,1,x,x,2,x,x,5,255,103,19,"6,500","2,630",18,"3,198","1,294",0,0,0,11,"1,219",493,7,247,100,14,x,x,14,"1,753",709,11,83,34,15,"1,836",743
11,1,1,32,Lot 44,23,23,"15,488","6,268",23,"10,471","4,237",8,"5,017","2,030",1,x,x,8,x,x,0,0,0,23,"10,742","4,347",1,x,x,8,x,x,0,0,0,0,0,0,23,"15,759","6,377",4,271,110,0,0,0,0,0,0,4,271,110,23,"15,488","6,268",22,"8,702","3,522",1,x,x,5,x,x,8,"2,075",840,15,x,x,15,"3,309","1,339",13,"1,168",473,22,"4,477","1,812"
11,1,1,34,Lot 45,30,30,"21,154","8,561",30,"15,413","6,237",20,"5,741","2,323",8,x,x,16,"5,328","2,156",2,x,x,30,"15,990","6,471",8,x,x,16,"5,328","2,156",2,x,x,0,0,0,30,"21,731","8,794",5,x,x,1,x,x,1,x,x,7,577,234,30,"21,154","8,561",30,"15,233","6,165",0,0,0,13,749,303,5,160,65,27,"4,408","1,784",27,"4,408","1,784",21,604,244,28,"5,012","2,028"
11,1,1,42,Lot 41,24,24,"10,436","4,223",24,"7,617","3,082",11,"2,819","1,141",0,0,0,10,x,x,1,x,x,24,"7,933","3,210",0,0,0,8,"1,807",731,1,x,x,5,x,x,24,"10,752","4,351",2,x,x,1,x,x,2,x,x,5,316,128,24,"10,436","4,223",22,"6,612","2,676",1,x,x,9,454,184,9,x,x,17,"1,831",741,17,"1,831",741,16,"1,139",461,21,"2,970","1,202"
11,1,1,46,Lot 40,31,31,"18,094","7,322",31,"13,203","5,343",19,"4,891","1,979",0,0,0,18,x,x,1,x,x,31,"13,985","5,660",0,0,0,14,"4,484","1,815",1,x,x,5,x,x,31,"18,876","7,639",7,690,279,0,0,0,3,92,37,10,782,316,31,"18,094","7,322",27,"11,817","4,782",1,x,x,11,588,238,5,x,x,22,"4,610","1,866",22,"4,610","1,866",20,883,357,27,"5,493","2,223"
11,1,1,49,Lot 39,19,19,"7,261","2,938",19,"5,898","2,387",8,"1,363",552,0,0,0,8,x,x,1,x,x,19,"6,293","2,547",0,0,0,8,759,307,1,x,x,2,x,x,19,"7,656","3,098",3,72,29,0,0,0,3,323,131,6,395,160,19,"7,261","2,938",19,"4,626","1,872",0,0,0,5,127,51,3,179,72,13,"1,998",809,13,"1,998",809,11,331,134,16,"2,329",943
11,1,1,51,Lot 38,19,19,"4,354","1,762",19,x,x,8,x,x,0,0,0,8,x,x,0,0,0,19,"3,451","1,397",0,0,0,5,703,284,0,0,0,4,x,x,19,x,x,2,x,x,0,0,0,3,70,28,5,x,x,19,"4,354","1,762",17,"2,422",980,0,0,0,4,190,77,5,191,77,16,x,x,16,"1,310",530,15,241,98,19,"1,551",628
11,2,2,0,Queens,835,835,"250,749","101,475",820,"180,532","73,059",389,"70,217","28,416",28,"4,019","1,626",374,"64,782","26,216",19,"1,416",573,820,"196,673","79,591",28,"4,019","1,626",335,"59,612","24,124",19,"1,416",573,86,"6,219","2,517",835,"267,939","108,431",190,"14,850","6,010",16,443,179,33,"1,897",768,233,"17,190","6,957",835,"250,749","101,475",737,"172,762","69,914",16,292,118,300,"14,068","5,693",303,"14,037","5,681",594,"39,691","16,062",596,"39,786","16,101",535,"9,804","3,968",717,"49,590","20,068"
11,2,2,6,Lot 58,45,45,"15,888","6,430",45,"9,854","3,988",14,"6,034","2,442",0,0,0,13,x,x,1,x,x,45,"10,150","4,108",0,0,0,11,"5,728","2,318",1,x,x,3,x,x,45,"16,184","6,549",7,296,120,0,0,0,0,0,0,7,296,120,45,"15,888","6,430",37,"10,511","4,254",1,x,x,11,454,184,7,171,69,34,x,x,34,"4,059","1,643",31,x,x,41,x,x
11,2,2,8,Lot 57,38,38,"17,803","7,205",36,"12,077","4,887",24,"5,726","2,317",2,x,x,22,"4,973","2,013",1,x,x,36,"13,637","5,519",2,x,x,21,"4,533","1,834",1,x,x,4,440,178,38,"19,363","7,836",10,x,x,1,x,x,1,x,x,12,"1,560",631,38,"17,803","7,205",36,"13,944","5,643",2,x,x,10,579,234,13,881,357,23,"1,939",785,23,"1,939",785,26,x,x,31,x,x
11,2,2,9,Lot 50,47,47,"19,210","7,774",47,"15,039","6,086",27,"4,171","1,688",0,0,0,27,x,x,2,x,x,47,"15,610","6,317",0,0,0,26,"4,060","1,643",2,x,x,2,x,x,47,"19,781","8,005",6,374,151,2,x,x,2,x,x,10,571,231,47,"19,210","7,774",44,"12,713","5,145",0,0,0,18,"1,332",539,19,"1,653",669,39,"3,168","1,282",39,"3,168","1,282",30,344,139,45,"3,512","1,421"
11,2,2,12,Lot 49,27,27,"11,203","4,534",27,"6,576","2,661",16,"4,627","1,872",1,x,x,16,x,x,1,x,x,27,"6,987","2,828",1,x,x,14,"3,567","1,444",1,x,x,5,x,x,27,"11,614","4,700",6,288,117,2,x,x,2,x,x,10,411,166,27,"11,203","4,534",23,"7,083","2,866",0,0,0,14,693,280,12,884,358,21,"2,328",942,21,"2,328",942,16,215,87,24,"2,543","1,029"
