HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NCRTORGNY,NCRTFULL,NCRTTRAN,NCRTNOT,NORGFLD,NCRTFLD,NTRNFLD,NNONFLD,NORGFRTVG,NCRTFRTVG,NTRNFRTVG,NNONFRTVG,NORGANML,NCRTANML,NTRNANML,NNONANML,NORGMAPL,NCRTMAPL,NTRNMAPL,NNONMAPL,NORGOTH,NCRTOTH,NTRNOTH,NNONOTH
10,1,1,357,"Division No.  1, Subd. H",22,3,1,0,2,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0
10,1,1,472,Holyrood,37,3,0,0,3,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,1,0,0,1
10,1,1,519,St. John's,125,13,3,1,11,2,0,0,2,11,3,1,9,3,0,0,3,0,0,0,0,2,1,0,1
10,3,4,0,Division No.  4,55,4,0,0,4,3,0,0,3,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
10,3,4,1,"Division No.  4, Subd. A",18,3,0,0,3,2,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
10,3,4,6,"Division No.  4, Subd. B",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,16,"Division No.  4, Subd. D",16,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,3,5,0,Division No.  5,83,10,0,0,10,3,0,0,3,3,0,0,3,6,0,0,6,0,0,0,0,4,0,0,4
10,3,5,7,"Division No.  5, Subd. E",54,7,0,0,7,3,0,0,3,3,0,0,3,5,0,0,5,0,0,0,0,2,0,0,2
10,3,5,10,"Division No.  5, Subd. F",29,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2
10,2,6,0,Division No.  6,42,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
10,2,6,14,"Division No.  6, Subd. C",42,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
10,2,7,0,Division No.  7,59,3,0,0,3,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
10,2,7,9,"Division No.  7, Subd. K",17,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10,2,7,31,"Division No.  7, Subd. E",24,2,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7,38,"Division No.  7, Subd. D",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,8,0,Division No.  8,53,3,0,0,3,2,0,0,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
10,2,8,36,"Division No.  8, Subd. G",32,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
10,2,8,58,"Division No.  8, Subd. C",21,2,0,0,2,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",80,31,11,49,40,19,6,17,37,24,5,9,37,4,3,30,1,0,0,1,7,2,1,4
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,17,7,0,12,8,4,0,4,9,5,0,4,9,1,0,8,0,0,0,0,2,1,0,1
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,45,17,8,26,23,11,4,9,19,14,4,2,22,2,3,17,1,0,0,1,4,0,1,3
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,18,7,3,11,9,4,2,4,9,5,1,3,6,1,0,5,0,0,0,0,1,1,0,0
11,1,1,0,Kings,286,17,7,0,12,8,4,0,4,9,5,0,4,9,1,0,8,0,0,0,0,2,1,0,1
11,1,1,1,Lot 64,34,5,1,0,5,2,0,0,2,2,0,0,2,2,0,0,2,0,0,0,0,2,1,0,1
11,1,1,9,Lot 59,25,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
11,1,1,14,Lot 51,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,16,Lot 52,24,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,26,Lot 54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,28,Lot 55,19,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,1,1,32,Lot 44,23,3,1,0,2,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
11,1,1,34,Lot 45,30,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
11,1,1,42,Lot 41,24,3,1,0,3,0,0,0,0,1,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0
11,1,1,46,Lot 40,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,49,Lot 39,19,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,51,Lot 38,19,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,0,Queens,835,45,17,8,26,23,11,4,9,19,14,4,2,22,2,3,17,1,0,0,1,4,0,1,3
11,2,2,6,Lot 58,45,5,3,2,3,1,1,1,0,3,3,1,0,2,0,0,2,1,0,0,1,0,0,0,0
11,2,2,8,Lot 57,38,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,9,Lot 50,47,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,12,Lot 49,27,3,1,1,2,3,1,0,2,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
11,2,2,14,Lot 48,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,26,Lot 31,62,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
11,2,2,28,Lot 65,52,2,1,0,2,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,2,2,29,Lot 30,31,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,2,2,31,Lot 29,34,3,0,1,2,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
11,2,2,36,Lot 67,49,3,1,1,1,1,1,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
11,2,2,38,Lot 20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,39,Lot 21,40,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,2,2,40,Miltonvale Park,19,2,0,0,2,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
11,2,2,42,Lot 23,45,3,2,0,2,1,0,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,2,2,44,Lot 24,46,3,1,1,1,2,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,2,2,49,Lot 33,72,10,4,0,6,6,4,0,2,2,2,0,0,5,1,0,4,0,0,0,0,2,0,0,2
11,2,2,52,Lot 34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,54,Lot 35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,56,Lot 36,29,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,2,2,58,Lot 37,21,4,2,2,0,3,1,2,0,2,1,1,0,2,0,2,0,0,0,0,0,1,0,1,0
11,2,2,85,Cornwall,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,0,Prince,579,18,7,3,11,9,4,2,4,9,5,1,3,6,1,0,5,0,0,0,0,1,1,0,0
11,3,3,1,Lot 28,40,2,2,0,1,2,2,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,3,3,6,Lot 27,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,9,Lot 26,42,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,11,Lot 25,30,2,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,12,Lot 19,36,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,16,Lot 18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,19,Lot 17,33,2,1,1,1,1,0,1,0,1,1,0,0,2,1,0,1,0,0,0,0,1,1,0,0
11,3,3,28,Lot 16,29,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,31,Lot 14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,32,Lot 13,27,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,3,3,34,Lot 12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,41,Lot  6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,44,Lot  9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,46,Lot  8,36,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,48,Lot  7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,51,Lot  4,39,4,1,1,2,2,1,0,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0
11,3,3,54,Lot  3,37,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,58,Lot  1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,Nova Scotia / Nouvelle-êcosse,"3,795",359,61,14,294,88,16,5,67,184,50,6,130,157,12,5,141,18,3,0,15,57,14,3,40
12,1,0,0,Agricultural Region 1 - rÇgion agricole 1,591,53,2,1,51,9,0,0,9,24,2,0,22,27,0,1,26,0,0,0,0,11,0,0,11
12,2,0,0,Agricultural Region 2 - rÇgion agricole 2,"1,175",132,34,7,98,39,9,2,28,72,29,2,42,53,6,2,46,6,1,0,5,23,8,1,14
12,3,0,0,Agricultural Region 3 - rÇgion agricole 3,"1,149",82,12,3,68,17,2,3,12,47,7,3,38,31,2,1,28,7,2,0,5,8,2,1,5
12,4,0,0,Agricultural Region 4 - rÇgion agricole 4,589,48,4,3,41,8,2,0,6,18,3,1,14,27,3,1,23,2,0,0,2,9,1,1,7
12,5,0,0,Agricultural Region 5 - rÇgion agricole 5,291,44,9,0,36,15,3,0,12,23,9,0,14,19,1,0,18,3,0,0,3,6,3,0,3
12,1,1,0,Shelburne,19,2,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,6,Shelburne,19,2,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2,0,Yarmouth,93,10,0,0,10,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0
12,1,2,1,Argyle,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2,4,Yarmouth,70,10,0,0,10,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0
12,1,3,0,Digby,118,9,1,0,8,2,0,0,2,7,1,0,6,5,0,0,5,0,0,0,0,1,0,0,1
12,1,3,1,Clare,64,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3,4,Digby,54,7,1,0,6,2,0,0,2,5,1,0,4,5,0,0,5,0,0,0,0,1,0,0,1
12,1,4,0,Queens,35,3,0,0,3,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0
12,1,4,10,Queens,35,3,0,0,3,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0
12,2,5,0,Annapolis,228,41,8,2,34,15,1,2,12,23,7,0,16,18,2,0,16,3,1,0,2,6,2,0,4
12,2,5,1,"Annapolis, Subd. D",23,3,1,0,2,1,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,2,5,4,"Annapolis, Subd. A",54,13,3,0,11,5,1,0,4,7,2,0,5,5,1,0,4,2,1,0,1,3,1,0,2
12,2,5,9,"Annapolis, Subd. B",78,13,2,0,11,4,0,0,4,6,2,0,4,6,0,0,6,0,0,0,0,3,1,0,2
12,2,5,14,"Annapolis, Subd. C",73,12,2,2,10,5,0,2,3,7,2,0,5,7,1,0,6,1,0,0,1,0,0,0,0
12,1,6,0,Lunenburg,326,29,1,1,28,6,0,0,6,10,1,0,9,15,0,1,14,0,0,0,0,10,0,0,10
12,1,6,1,Lunenburg,243,25,1,1,24,6,0,0,6,8,1,0,7,12,0,1,11,0,0,0,0,9,0,0,9
12,1,6,9,Chester,83,4,0,0,4,0,0,0,0,2,0,0,2,3,0,0,3,0,0,0,0,1,0,0,1
12,2,7,0,Kings,604,58,16,5,40,11,3,0,8,33,12,2,20,20,3,2,16,2,0,0,2,10,4,1,5
12,2,7,1,"Kings, Subd. A",308,31,8,0,23,6,0,0,6,18,5,0,13,8,1,0,7,1,0,0,1,5,2,0,3
12,2,7,11,"Kings, Subd. C",41,5,1,1,4,0,0,0,0,2,1,1,1,2,0,0,2,0,0,0,0,1,0,0,1
12,2,7,16,"Kings, Subd. B",171,13,6,1,8,4,2,0,2,9,5,0,4,6,1,1,5,0,0,0,0,2,2,0,0
12,2,7,21,"Kings, Subd. D",84,9,1,3,5,1,1,0,0,4,1,1,2,4,1,1,2,1,0,0,1,2,0,1,1
12,2,8,0,Hants,343,33,10,0,24,13,5,0,8,16,10,0,6,15,1,0,14,1,0,0,1,7,2,0,5
12,2,8,1,West Hants,164,18,8,0,11,9,4,0,5,11,8,0,3,8,1,0,7,0,0,0,0,2,1,0,1
12,2,8,8,East Hants,179,15,2,0,13,4,1,0,3,5,2,0,3,7,0,0,7,1,0,0,1,5,1,0,4
12,3,9,0,Halifax,154,13,3,1,9,1,0,1,0,9,2,1,6,4,1,0,3,0,0,0,0,3,2,0,1
12,3,9,34,Halifax,154,13,3,1,9,1,0,1,0,9,2,1,6,4,1,0,3,0,0,0,0,3,2,0,1
12,3,10,0,Colchester,442,27,5,2,21,3,0,2,1,18,3,2,14,8,0,1,7,4,2,0,2,3,0,1,2
12,3,10,1,"Colchester, Subd. C",171,9,2,1,6,1,0,1,0,5,0,1,4,2,0,0,2,2,2,0,0,1,0,0,1
12,3,10,8,"Colchester, Subd. B",158,13,3,1,10,2,0,1,1,10,3,1,7,4,0,1,3,2,0,0,2,2,0,1,1
12,3,10,12,"Colchester, Subd. A",113,5,0,0,5,0,0,0,0,3,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0
12,3,11,0,Cumberland,553,42,4,0,38,13,2,0,11,20,2,0,18,19,1,0,18,3,0,0,3,2,0,0,2
12,3,11,1,"Cumberland, Subd. A",102,6,1,0,5,2,0,0,2,3,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0
12,3,11,6,"Cumberland, Subd. B",204,10,2,0,8,2,1,0,1,6,1,0,5,2,0,0,2,2,0,0,2,1,0,0,1
12,3,11,9,"Cumberland, Subd. C",157,18,0,0,18,6,0,0,6,8,0,0,8,10,0,0,10,1,0,0,1,1,0,0,1
12,3,11,14,"Cumberland, Subd. D",90,8,1,0,7,3,1,0,2,3,0,0,3,5,1,0,4,0,0,0,0,0,0,0,0
12,4,12,0,Pictou,273,25,1,1,23,4,0,0,4,9,0,0,9,14,1,0,13,2,0,0,2,4,0,1,3
12,4,12,1,"Pictou, Subd. A",117,15,1,1,13,2,0,0,2,5,0,0,5,7,1,0,6,1,0,0,1,3,0,1,2
12,4,12,6,"Pictou, Subd. B",78,5,0,0,5,1,0,0,1,2,0,0,2,3,0,0,3,1,0,0,1,1,0,0,1
12,4,12,11,"Pictou, Subd. C",78,5,0,0,5,1,0,0,1,2,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0
12,4,13,0,Guysborough,90,2,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
12,4,13,1,St. Mary's,21,2,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
12,4,13,4,Guysborough,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,14,0,Antigonish,226,21,3,1,17,3,2,0,1,8,3,0,5,12,2,1,9,0,0,0,0,5,1,0,4
12,4,14,1,"Antigonish, Subd. A",124,12,0,1,11,1,0,0,1,3,0,0,3,8,0,1,7,0,0,0,0,2,0,0,2
12,4,14,6,"Antigonish, Subd. B",102,9,3,0,6,2,2,0,0,5,3,0,2,4,2,0,2,0,0,0,0,3,1,0,2
12,5,15,0,Inverness,138,20,2,0,18,9,1,0,8,8,2,0,6,11,1,0,10,3,0,0,3,0,0,0,0
12,5,15,1,"Inverness, Subd. C",25,3,0,0,3,2,0,0,2,1,0,0,1,2,0,0,2,1,0,0,1,0,0,0,0
12,5,15,6,"Inverness, Subd. B",66,7,1,0,6,2,1,0,1,3,1,0,2,4,1,0,3,1,0,0,1,0,0,0,0
12,5,15,11,"Inverness, Subd. A",47,10,1,0,9,5,0,0,5,4,1,0,3,5,0,0,5,1,0,0,1,0,0,0,0
12,5,16,0,Richmond,20,3,0,0,3,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1
12,5,16,6,"Richmond, Subd. A",20,3,0,0,3,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1
12,5,17,0,Cape Breton,94,11,3,0,9,3,2,0,1,7,3,0,4,3,0,0,3,0,0,0,0,3,1,0,2
12,5,17,30,Cape Breton,94,11,3,0,9,3,2,0,1,7,3,0,4,3,0,0,3,0,0,0,0,3,1,0,2
12,5,18,0,Victoria,39,10,4,0,6,2,0,0,2,8,4,0,4,3,0,0,3,0,0,0,0,2,2,0,0
12,5,18,1,"Victoria, Subd. B",39,10,4,0,6,2,0,0,2,8,4,0,4,3,0,0,3,0,0,0,0,2,2,0,0
13,0,0,0,New Brunswick / Nouveau-Brunswick,"2,776",239,42,2,196,74,14,0,60,106,27,1,79,95,8,0,87,41,8,0,33,34,7,1,26
13,1,0,0,Agricultural Region 1 - rÇgion agricole 1,992,81,22,1,58,27,6,0,21,31,12,0,19,32,2,0,30,20,8,0,12,13,2,1,10
13,2,0,0,Agricultural Region 2 - rÇgion agricole 2,767,64,12,1,51,22,5,0,17,31,9,1,21,32,5,0,27,3,0,0,3,10,4,0,6
13,3,0,0,Agricultural Region 3 - rÇgion agricole 3,633,50,7,0,43,17,3,0,14,24,5,0,19,20,1,0,19,4,0,0,4,5,1,0,4
13,4,0,0,Agricultural Region 4 - rÇgion agricole 4,384,44,1,0,44,8,0,0,8,20,1,0,20,11,0,0,11,14,0,0,14,6,0,0,6
13,2,2,0,Charlotte,109,8,1,0,7,0,0,0,0,5,1,0,4,3,0,0,3,0,0,0,0,1,0,0,1
13,2,2,16,Saint George,29,4,0,0,4,0,0,0,0,3,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0
13,2,2,28,Saint Croix,23,3,1,0,2,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
13,2,2,39,Saint James,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,2,2,42,Saint David,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,3,0,Sunbury,86,10,3,1,6,3,0,0,3,6,3,1,2,3,0,0,3,0,0,0,0,0,0,0,0
13,2,3,1,Blissville,26,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,3,4,Gladstone,18,3,1,1,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,3,8,Lincoln,18,5,1,0,4,2,0,0,2,2,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0
13,2,3,16,Maugerville,24,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2,4,0,Queens,107,12,2,0,10,7,2,0,5,6,1,0,5,8,2,0,6,1,0,0,1,2,1,0,1
13,2,4,4,Gagetown,28,3,1,0,2,2,1,0,1,2,1,0,1,3,1,0,2,1,0,0,1,1,1,0,0
13,2,4,8,Wickham,23,3,0,0,3,2,0,0,2,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0
13,2,4,11,Cambridge,29,4,1,0,3,2,1,0,1,2,0,0,2,2,1,0,1,0,0,0,0,1,0,0,1
13,2,4,18,Waterborough,27,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
13,2,5,0,Kings,465,34,6,0,28,12,3,0,9,14,4,0,10,18,3,0,15,2,0,0,2,7,3,0,4
13,2,5,4,Upham,23,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
13,2,5,6,Hampton,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,2,5,14,Kingston,23,4,0,0,4,1,0,0,1,2,0,0,2,2,0,0,2,1,0,0,1,0,0,0,0
13,2,5,18,Norton,36,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
13,2,5,21,Sussex,60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
13,2,5,24,Waterford,18,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2,5,26,Cardwell,28,3,2,0,1,1,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,2,2,0,0
13,2,5,28,Havelock,49,4,1,0,3,2,1,0,1,1,0,0,1,2,1,0,1,0,0,0,0,1,0,0,1
13,2,5,31,Studholm,101,11,1,0,10,4,0,0,4,3,1,0,2,8,0,0,8,0,0,0,0,1,0,0,1
13,2,5,34,Springfield,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,5,36,Kars,27,2,0,0,2,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
13,2,5,57,Quispamsis,43,5,1,0,4,2,0,0,2,3,1,0,2,2,0,0,2,0,0,0,0,1,1,0,0
13,3,6,0,Albert,113,13,1,0,12,2,0,0,2,7,1,0,6,4,0,0,4,4,0,0,4,2,0,0,2
13,3,6,1,Hopewell,36,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
13,3,6,8,Elgin,31,5,0,0,5,1,0,0,1,2,0,0,2,1,0,0,1,4,0,0,4,0,0,0,0
13,3,6,11,Hillsborough,19,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13,3,6,14,Coverdale,27,4,0,0,4,1,0,0,1,3,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0
13,3,7,0,Westmorland,357,23,2,0,21,9,2,0,7,10,2,0,8,10,0,0,10,0,0,0,0,3,1,0,2
13,3,7,1,Westmorland,37,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
13,3,7,4,Botsford,45,3,0,0,3,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1
13,3,7,5,Beaubassin East / Beaubassin-est,47,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
13,3,7,8,Sackville,58,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
13,3,7,13,Memramcook,35,5,0,0,5,1,0,0,1,3,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0
13,3,7,19,Moncton,64,3,0,0,3,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
