HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NVALULB,VALULB,NVLBOWN,VLBOWN,NVLBRNT,VLBRNT,NTRCU60,TRCU60,VTRCU60,NTRCO60,TRCO60,VTRCO60,NTRCU100,TRCU100,VTRCU100,NTRC100,TRC100,VTRC100,NTRC149,TRC149,VTRC149,NTOTTRC,TOTTRC,TVALTRC,NTOTTRK,TOTTRK,TVALTRK,NPICKUP,PICKUP,VPICKUP,NOTHTRK,OTHTRK,VOTHTRK,NAUTMBL,AUTMBL,VAUTMBL,NCULTSD,CULTSD,VCULTSD,NCOMB,COMB,VCOMB,NSWTMOW,SWTMOW,VSWTMOW,NBALER,BALER,VBALER,NHARVST,HARVST,VHARVST,NVIRRIG,VIRRIG,NVALOEQ,VALOEQ,NVALMCH,VALMCH,NVALLVSK,VALLVSK,NTOTFCAP,TOTFCAP
10,1,1,357,"Division No.  1, Subd. H",22,22,"3,142,506",16,"2,290,000",11,"852,506",12,24,"177,000",6,6,"110,000",15,30,"287,000",1,x,x,0,0,0,15,x,x,13,20,"198,000",13,x,x,2,x,x,4,6,"94,000",10,31,"38,000",0,0,0,5,7,x,6,7,"16,500",0,0,0,0,0,14,"159,000",22,"836,500",9,"144,947",22,"4,123,953"
10,1,1,472,Holyrood,37,37,"9,252,882",28,"6,119,782",18,"3,133,100",21,32,"344,000",10,10,"243,000",25,42,"587,000",2,x,x,0,0,0,26,x,x,26,46,"526,488",22,30,"336,500",9,16,"189,988",9,10,"159,000",18,51,"184,000",1,x,x,6,7,x,8,9,"65,500",0,0,0,3,x,26,"317,027",37,"2,064,015",19,"721,805",37,"12,038,702"
10,1,1,519,St. John's,125,125,"59,121,650",106,"48,256,000",66,"10,865,650",79,119,"1,288,033",33,49,"1,496,100",95,168,"2,784,133",15,x,x,3,x,x,98,201,"4,478,530",93,160,"2,272,173",87,122,"1,783,113",23,38,"489,060",48,65,"773,900",58,220,"1,032,622",1,x,x,33,43,"299,945",33,37,"323,183",7,9,x,10,x,86,"4,677,524",125,"14,060,073",57,"5,669,002",125,"78,850,725"
10,3,4,0,Division No.  4,55,55,"16,979,855",49,"14,613,000",23,"2,366,855",37,81,x,21,33,"1,243,000",45,114,x,4,x,x,1,x,x,46,128,"3,469,020",44,85,"991,200",41,63,"729,200",7,22,"262,000",18,24,"354,000",31,116,"759,200",1,x,x,12,16,"188,000",20,24,"177,800",3,5,x,3,x,38,"1,067,100",55,"7,487,820",29,"2,843,752",55,"27,311,427"
10,3,4,1,"Division No.  4, Subd. A",18,18,"8,274,855",14,"7,175,000",5,"1,099,855",14,37,x,5,13,"665,000",16,50,x,1,x,x,1,x,x,16,x,"2,357,000",13,42,"614,200",12,25,x,3,17,x,5,8,x,10,38,"366,300",0,0,0,5,8,x,8,8,x,2,x,x,0,0,15,"315,800",18,x,10,x,18,"15,177,656"
10,3,4,6,"Division No.  4, Subd. B",21,21,"4,612,000",20,"3,775,000",10,"837,000",13,24,x,10,13,"323,000",17,37,x,1,x,x,0,0,0,18,x,"564,020",19,28,"243,000",17,x,x,3,x,x,8,11,"184,000",12,39,"258,000",1,x,x,6,x,x,9,12,"85,500",1,x,x,2,x,13,"485,800",21,x,11,x,21,"6,756,751"
10,3,4,16,"Division No.  4, Subd. D",16,16,"4,093,000",15,"3,663,000",8,"430,000",10,20,x,6,7,"255,000",12,27,x,2,x,x,0,0,0,12,x,"548,000",12,15,"134,000",12,x,x,1,x,x,5,5,x,9,39,"134,900",0,0,0,1,x,x,3,4,x,0,0,0,1,x,10,"265,500",16,x,8,x,16,"5,377,020"
10,3,5,0,Division No.  5,83,83,"35,582,828",60,"26,974,422",55,"8,608,406",44,83,x,34,50,"1,394,286",59,133,x,14,23,x,6,8,x,62,164,"4,043,119",65,120,"1,440,122",61,84,"1,092,361",15,36,"347,761",28,32,"365,682",45,178,"766,785",1,x,x,23,32,"256,500",24,31,"321,513",9,11,x,7,x,66,"2,427,944",83,"10,035,565",42,"5,146,657",83,"50,765,050"
10,3,5,7,"Division No.  5, Subd. E",54,54,"19,429,887",35,"13,189,622",38,"6,240,265",29,56,x,23,32,"796,286",40,88,x,9,x,x,2,x,x,43,105,"2,128,619",42,69,"692,794",40,49,"579,771",7,20,"113,023",19,23,"253,182",31,133,"455,285",1,x,x,19,27,"176,000",20,25,"210,513",5,7,x,3,x,42,"1,141,315",54,"5,168,008",30,"3,645,540",54,"28,243,435"
10,3,5,10,"Division No.  5, Subd. F",29,29,"16,152,941",25,"13,784,800",17,"2,368,141",15,27,"299,500",11,18,"598,000",19,45,"897,500",5,x,"475,000",4,x,"542,000",19,59,"1,914,500",23,52,"747,328",21,36,"512,590",8,16,"234,738",9,9,"112,500",14,46,"311,500",0,0,0,4,5,"80,500",4,6,"111,000",4,4,x,4,x,24,"1,286,629",29,"4,867,557",12,"1,501,117",29,"22,521,615"
10,2,6,0,Division No.  6,42,42,"12,383,291",33,"9,874,891",24,"2,508,400",27,53,"545,527",12,23,"734,000",32,76,"1,279,527",2,x,x,1,x,x,32,80,"1,479,527",36,57,"554,404",33,48,"484,381",9,9,"70,023",16,16,"215,325",19,86,"559,914",1,x,x,9,12,x,10,12,"110,727",1,x,x,2,x,31,"1,041,591",42,"4,146,266",18,"1,173,379",42,"17,702,936"
10,2,6,14,"Division No.  6, Subd. C",42,42,"12,383,291",33,"9,874,891",24,"2,508,400",27,53,"545,527",12,23,"734,000",32,76,"1,279,527",2,x,x,1,x,x,32,80,"1,479,527",36,57,"554,404",33,48,"484,381",9,9,"70,023",16,16,"215,325",19,86,"559,914",1,x,x,9,12,x,10,12,"110,727",1,x,x,2,x,31,"1,041,591",42,"4,146,266",18,"1,173,379",42,"17,702,936"
10,2,7,0,Division No.  7,59,59,"17,294,178",52,"12,763,178",34,"4,531,000",34,70,"673,900",19,32,"1,072,000",41,102,"1,745,900",4,6,"377,000",0,0,0,42,108,"2,122,900",47,81,"1,185,894",43,57,"992,894",13,24,"193,000",20,27,"282,500",30,118,"397,700",0,0,0,11,13,"109,700",14,15,"170,500",7,8,"72,000",8,"231,300",39,"1,144,105",59,"5,716,599",27,"7,491,136",59,"30,501,913"
10,2,7,9,"Division No.  7, Subd. K",17,17,"3,516,000",12,"1,905,000",12,"1,611,000",11,24,"274,000",4,x,x,12,x,x,1,x,x,0,0,0,12,30,x,15,24,x,14,x,"299,500",3,x,x,5,6,"61,000",11,31,x,0,0,0,3,3,x,4,4,"34,000",3,3,"34,000",5,x,10,x,17,x,11,x,17,"10,650,392"
10,2,7,31,"Division No.  7, Subd. E",24,24,"11,847,778",23,"9,197,778",16,"2,650,000",15,33,"325,400",13,23,"776,000",20,56,"1,101,400",2,x,x,0,0,0,20,x,x,19,42,x,17,23,"418,994",9,19,x,9,15,"160,500",12,54,x,0,0,0,8,10,x,10,11,"136,500",4,5,"38,000",1,x,19,x,24,x,11,x,24,"16,905,897"
10,2,7,38,"Division No.  7, Subd. D",18,18,"1,930,400",17,"1,660,400",6,"270,000",8,13,"74,500",2,x,x,9,x,x,1,x,x,0,0,0,10,x,x,13,15,x,12,x,"274,400",1,x,x,6,6,"61,000",7,33,"168,400",0,0,0,0,0,0,0,0,0,0,0,0,2,x,10,"80,700",18,"1,005,000",5,"10,224",18,"2,945,624"
10,2,8,0,Division No.  8,53,53,"7,323,150",37,"4,871,350",35,"2,451,800",37,82,"705,500",10,15,"278,500",41,97,"984,000",4,x,x,1,x,x,43,102,"1,129,000",33,55,"593,000",31,49,"557,000",4,6,"36,000",17,19,"185,000",27,109,"322,800",0,0,0,7,11,x,13,14,"54,200",2,x,x,9,x,37,"527,530",53,"3,030,930",25,"640,068",53,"10,994,148"
10,2,8,36,"Division No.  8, Subd. G",32,32,"4,441,150",24,"3,028,350",18,"1,412,800",20,41,"373,000",4,8,"137,500",21,49,"510,500",4,x,x,1,x,x,23,54,"655,500",20,33,"330,000",19,x,x,2,x,x,11,12,"99,500",12,58,"187,000",0,0,0,4,8,x,9,9,x,1,x,x,3,x,23,"242,530",32,"1,731,630",17,"433,555",32,"6,606,335"
10,2,8,58,"Division No.  8, Subd. C",21,21,"2,882,000",13,"1,843,000",17,"1,039,000",17,41,"332,500",6,7,"141,000",20,48,"473,500",0,0,0,0,0,0,20,48,"473,500",13,22,"263,000",12,x,x,2,x,x,6,7,"85,500",15,51,"135,800",0,0,0,3,3,"3,000",4,5,x,1,x,x,6,"33,500",14,"285,000",21,"1,299,300",8,"206,513",21,"4,387,813"
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700","1,700","1,311,050,613","1,668","1,062,750,393",834,"248,300,220","1,013","1,663","10,962,754","1,116","1,966","51,498,062","1,497","3,629","62,460,816",484,"1,019","45,543,440",141,323,"27,115,174","1,596","4,970","135,119,430","1,454","4,295","45,403,990","1,370","1,903","20,582,566",708,"2,392","24,821,424",733,877,"8,553,869","1,103","5,112","32,844,712",577,664,"19,588,890",809,894,"6,499,475",931,"1,264","10,450,583",202,230,"2,266,888",62,"3,167,853","1,312","60,188,960","1,700","324,084,650","1,192","83,145,424","1,700","1,718,280,687"
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,286,"223,412,389",285,"182,777,189",131,"40,635,200",175,269,"1,736,935",187,308,"8,699,316",257,576,"10,436,251",73,157,"8,137,207",19,32,"2,357,000",272,765,"20,930,458",248,673,"7,096,992",236,321,"3,364,934",104,353,"3,732,058",111,134,"1,339,525",184,834,"6,563,454",83,91,"3,630,681",127,142,"997,462",141,186,"1,301,332",18,22,"173,201",6,"87,000",207,"12,244,621",286,"54,364,726",172,"8,911,712",286,"286,688,827"
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,835,"533,083,857",822,"436,466,114",390,"96,617,743",488,778,"5,120,203",560,"1,006","27,297,808",746,"1,783","32,418,011",198,360,"16,794,546",52,116,"11,400,556",788,"2,259","60,613,113",700,"1,690","18,813,186",653,840,"9,179,366",308,851,"9,633,820",384,455,"4,286,794",536,"2,302","12,110,600",267,292,"9,079,743",412,441,"3,324,165",479,661,"5,622,324",84,88,"818,036",18,"663,758",650,"24,534,743",835,"139,866,462",635,"46,509,465",835,"719,459,784"
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,579,"554,554,367",561,"443,507,090",313,"111,047,277",350,617,"4,105,616",369,652,"15,500,938",494,"1,269","19,606,554",213,502,"20,611,687",70,176,"13,357,618",536,"1,947","53,575,859",506,"1,932","19,493,812",481,743,"8,038,266",296,"1,189","11,455,546",238,288,"2,927,550",383,"1,977","14,170,658",227,281,"6,878,466",270,311,"2,177,848",311,418,"3,526,927",100,120,"1,275,651",38,"2,417,095",455,"23,409,596",579,"129,853,462",385,"27,724,247",579,"712,132,076"
11,1,1,0,Kings,286,286,"223,412,389",285,"182,777,189",131,"40,635,200",175,269,"1,736,935",187,308,"8,699,316",257,576,"10,436,251",73,157,"8,137,207",19,32,"2,357,000",272,765,"20,930,458",248,673,"7,096,992",236,321,"3,364,934",104,353,"3,732,058",111,134,"1,339,525",184,834,"6,563,454",83,91,"3,630,681",127,142,"997,462",141,186,"1,301,332",18,22,"173,201",6,"87,000",207,"12,244,621",286,"54,364,726",172,"8,911,712",286,"286,688,827"
11,1,1,1,Lot 64,34,34,"16,320,700",34,"12,167,200",13,"4,153,500",24,39,"250,024",15,27,"749,581",29,66,"999,605",7,x,x,1,x,x,32,80,"1,699,427",29,50,"468,359",28,31,"319,537",7,19,"148,822",12,13,"121,987",22,88,"367,178",8,9,"305,975",14,16,x,17,22,"104,804",2,x,x,1,x,19,"753,352",34,"3,968,160",21,"926,099",34,"21,214,959"
11,1,1,9,Lot 59,25,25,"10,022,500",24,"8,360,300",12,"1,662,200",18,29,"211,416",12,17,"448,183",20,46,"659,599",4,11,"421,000",0,0,0,22,57,"1,080,599",19,42,"276,935",17,22,x,10,20,x,11,13,"106,783",18,55,"134,283",3,3,x,6,6,"15,800",9,14,"110,500",1,x,x,1,x,18,"504,700",25,"2,271,600",10,"459,862",25,"12,753,962"
11,1,1,14,Lot 51,17,17,"11,757,600",17,"8,931,600",6,"2,826,000",9,13,"57,750",13,25,"443,886",17,38,"501,636",3,x,x,1,x,x,17,47,"1,131,636",16,40,"419,379",14,19,"226,316",6,21,"193,063",5,10,"58,500",14,63,"349,753",8,9,"149,000",8,8,x,13,17,"98,793",1,x,x,1,x,14,"531,127",17,"2,784,789",13,"388,973",17,"14,931,362"
11,1,1,16,Lot 52,24,24,"12,964,800",24,"9,969,300",9,"2,995,500",11,14,"124,502",14,19,"513,490",18,32,"637,992",4,7,x,3,4,x,21,43,"1,170,498",21,39,"354,872",19,21,"193,835",9,18,"161,037",10,12,"121,236",12,51,"316,280",5,7,"596,061",9,11,x,8,9,"33,960",1,x,x,0,0,18,"846,247",24,"3,464,699",16,"673,137",24,"17,102,636"
11,1,1,26,Lot 54,21,21,"16,364,050",21,"14,107,550",8,"2,256,500",13,21,"118,806",14,25,"879,230",19,46,"998,036",6,x,x,1,x,x,20,65,"1,856,536",14,50,"887,000",14,22,"345,000",7,28,"542,000",7,7,"50,057",11,49,"387,931",6,6,"348,517",11,12,x,10,15,"147,144",1,x,x,0,0,11,"1,297,000",21,"5,101,600",16,"678,576",21,"22,144,226"
11,1,1,28,Lot 55,19,19,"14,162,300",19,"12,452,300",9,"1,710,000",12,24,"216,787",14,22,"468,963",19,46,"685,750",4,x,x,1,x,x,19,56,"1,144,431",19,37,"449,644",18,24,"319,644",5,13,"130,000",9,10,"90,253",13,45,"262,100",5,5,x,12,12,x,13,16,"106,414",5,6,"90,701",0,0,16,"536,560",19,"2,887,418",17,"1,330,090",19,"18,379,808"
11,1,1,32,Lot 44,23,23,"24,574,739",23,"20,240,739",8,"4,334,000",12,18,"120,500",14,18,"413,800",21,36,"534,300",6,14,"461,000",5,9,"770,000",23,59,"1,765,300",21,76,"687,788",21,33,"266,188",9,43,"421,600",9,14,"194,125",14,76,"705,419",6,7,"254,000",9,10,x,13,15,"68,313",0,0,0,1,x,14,"1,124,984",23,"4,874,585",12,"476,930",23,"29,926,254"
11,1,1,34,Lot 45,30,30,"48,439,100",30,"39,374,600",20,"9,064,500",15,25,"119,350",25,43,"1,222,509",27,68,"1,341,859",12,x,x,2,x,x,29,103,"3,236,859",27,124,"1,256,164",25,45,"373,731",18,79,"882,433",14,18,"248,599",21,129,"1,483,149",12,14,"381,507",14,15,x,13,17,"129,810",1,x,x,0,0,27,"2,456,322",30,"9,271,548",13,"490,572",30,"58,201,220"
11,1,1,42,Lot 41,24,24,"15,755,900",24,"13,160,900",11,"2,595,000",19,29,"167,100",19,32,"1,192,281",24,61,"1,359,381",4,x,x,2,x,x,24,74,"1,927,299",22,53,"604,960",22,27,"311,389",8,26,"293,571",10,10,x,16,73,"784,827",5,5,"263,621",14,19,"156,783",14,22,"156,369",2,x,x,0,0,17,"780,119",24,"4,771,963",16,"864,744",24,"21,392,607"
11,1,1,46,Lot 40,31,31,"33,992,200",31,"27,094,200",19,"6,898,000",17,23,"157,200",21,36,"1,132,174",28,59,"1,289,374",13,x,x,2,x,x,29,86,"3,505,654",25,90,"869,500",23,36,"418,000",13,54,"451,500",7,8,x,21,103,"1,172,300",14,15,"832,200",12,12,"107,500",17,23,"150,200",1,x,x,0,0,22,"2,552,660",31,"9,266,514",16,"947,508",31,"44,206,222"
11,1,1,49,Lot 39,19,19,"9,927,300",19,"8,912,300",8,"1,015,000",12,18,"84,600",12,25,"582,219",18,43,"666,819",6,x,x,1,x,x,18,54,"1,305,319",17,46,"579,891",17,21,"226,344",9,25,"353,547",8,10,"92,500",11,66,"382,234",5,5,x,8,11,"136,531",5,5,"85,125",1,x,x,1,x,16,"558,050",19,"3,412,650",9,"293,194",19,"13,633,144"
11,1,1,51,Lot 38,19,19,"9,131,200",19,"8,006,200",8,"1,125,000",13,17,"108,900",14,19,"653,000",17,36,"761,900",4,6,"345,000",0,0,0,18,42,"1,106,900",18,27,"242,500",18,20,x,3,7,x,9,9,"94,000",11,37,"218,000",6,7,"90,000",10,10,"112,400",9,12,"109,900",2,x,x,1,x,15,"303,500",19,"2,289,200",13,"1,382,027",19,"12,802,427"
11,2,2,0,Queens,835,835,"533,083,857",822,"436,466,114",390,"96,617,743",488,778,"5,120,203",560,"1,006","27,297,808",746,"1,783","32,418,011",198,360,"16,794,546",52,116,"11,400,556",788,"2,259","60,613,113",700,"1,690","18,813,186",653,840,"9,179,366",308,851,"9,633,820",384,455,"4,286,794",536,"2,302","12,110,600",267,292,"9,079,743",412,441,"3,324,165",479,661,"5,622,324",84,88,"818,036",18,"663,758",650,"24,534,743",835,"139,866,462",635,"46,509,465",835,"719,459,784"
11,2,2,6,Lot 58,45,45,"31,755,000",45,"23,837,000",14,"7,918,000",28,44,"214,150",22,38,"777,050",35,82,"991,200",10,19,"637,500",4,17,"2,511,550",40,118,"4,140,250",36,110,"2,537,000",34,47,"668,000",16,63,"1,869,000",17,20,"169,500",20,103,"683,200",9,10,"769,500",14,18,x,12,17,"226,450",1,x,x,2,x,32,"3,301,900",45,"12,057,550",22,"1,976,885",45,"45,789,435"
11,2,2,8,Lot 57,38,38,"34,178,073",36,"26,983,573",24,"7,194,500",21,33,"311,000",23,50,"1,505,000",30,83,"1,816,000",13,24,"1,130,422",8,15,"1,525,000",36,122,"4,471,422",33,131,"1,603,468",30,47,"606,049",23,84,"997,419",15,18,"159,300",32,170,"1,094,668",13,13,"1,000,000",13,14,x,13,22,"216,500",4,4,x,4,"169,000",33,"1,951,800",38,"10,947,158",23,"1,951,234",38,"47,076,465"
11,2,2,9,Lot 50,47,47,"36,129,081",47,"30,024,081",27,"6,105,000",32,49,"282,658",33,69,"2,223,488",43,118,"2,506,146",18,36,"1,697,000",6,6,"475,000",46,160,"4,678,146",45,111,"1,296,481",43,55,"699,900",26,56,"596,581",27,36,"370,033",39,176,"913,420",21,20,"1,012,090",24,25,"314,600",34,46,"530,550",8,8,x,1,x,38,"1,198,700",47,"10,533,520",42,"4,957,133",47,"51,619,734"
11,2,2,12,Lot 49,27,27,"18,518,800",27,"13,629,900",16,"4,888,900",17,25,"128,814",19,37,"1,071,198",25,62,"1,200,012",9,x,x,2,x,x,26,79,"2,161,012",24,53,"369,541",21,25,x,12,28,x,12,16,"124,933",21,112,"643,216",13,16,"545,875",13,15,"121,978",20,25,"252,121",7,9,"50,131",0,0,20,"181,806",27,"4,450,613",26,"2,221,184",27,"25,190,597"
11,2,2,14,Lot 48,44,44,"19,649,200",41,"18,143,200",18,"1,506,000",28,40,"347,501",35,55,"1,312,724",42,95,"1,660,225",6,8,"300,000",0,0,0,42,103,"1,960,225",35,49,"452,760",34,37,"384,270",9,12,"68,490",17,19,"148,770",30,109,"304,387",12,12,"208,600",19,21,x,24,34,"195,300",4,6,"7,100",1,x,35,"503,650",44,"3,850,892",32,"1,036,729",44,"24,536,821"
11,2,2,26,Lot 31,62,62,"34,159,250",61,"26,499,250",29,"7,660,000",30,43,"339,920",37,69,"1,680,500",52,112,"2,020,420",16,32,"1,431,000",5,10,"640,000",57,154,"4,091,420",52,133,"1,345,042",49,61,"576,022",23,72,"769,020",24,26,"189,000",41,153,"854,400",20,24,"492,700",32,33,x,32,43,"440,200",5,5,x,0,0,48,"1,594,050",62,"9,247,712",49,"3,113,626",62,"46,520,588"
11,2,2,28,Lot 65,52,52,"25,434,860",51,"16,508,360",31,"8,926,500",33,49,"349,537",33,61,"1,544,129",47,109,"1,893,666",10,x,x,2,x,x,50,128,"2,806,598",45,82,"834,764",44,51,"547,764",13,32,"287,000",25,29,"256,968",33,144,"621,831",21,20,"328,443",30,29,x,30,44,"323,917",1,x,x,0,0,37,"918,054",52,"6,286,031",44,"1,508,404",52,"33,229,295"
11,2,2,29,Lot 30,31,31,"11,159,643",30,"8,674,600",11,"2,485,043",14,28,"82,500",23,37,"676,922",26,65,"759,422",2,x,x,1,x,x,26,70,"899,422",25,40,"392,821",25,27,"165,321",8,13,"227,500",11,12,"120,000",16,58,"104,330",7,6,"67,800",19,25,x,23,30,"194,021",2,x,x,0,0,25,"403,403",31,"2,273,077",26,"835,330",31,"14,268,050"
