HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NBEEHON,BEEHON,NBEEPOLL,BEEPOLL,NBROILER,BROILER,NPULETS,PULETS,NLAYHEN,LAYHEN,NTCHICK,TCHICK,NHENHATCH,HENHATCH,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NTURKPRD,TURKPRD,ETURKPRD,NBROILPRD,BROILPRD,EBROILPRD,NHATCHNUM,HATCHNUM,NCALFU1,CALFU1,NSTEERS,STEERS,NHEIFER,HEIFER,NFDHEIF,FDHEIF,NBFHEIF,BFHEIF,NMLKHEIF,MLKHEIF,NTOTCOW,TOTCOW,NBFCOWS,BFCOWS,NMLKCOW,MLKCOW,NBULLS,BULLS,NTCATTL,TCATTL,NRAMS,RAMS,NEWES,EWES,NLAMBS,LAMBS,NTSHEEP,TSHEEP,NBOARS,BOARS,NSOWS,SOWS,NNURPIG,NURPIG,NGRWPIG,GRWPIG,NTOPIGS,TOPIGS,NHORSES,HORSES,NGOATS,GOATS,NWLDBOAR,WLDBOAR,NMINK,MINK,NFOX,FOX,NBISON,BISON,NLAMAS,LAMAS,NDEER,DEER,NELK,ELK
10,1,1,357,"Division No.  1, Subd. H",22,0,0,0,0,1,x,1,x,1,x,2,x,0,0,1,x,2,x,1,x,x,0,0,0,0,0,4,16,1,x,2,x,0,0,1,x,1,x,4,23,4,23,0,0,1,x,5,48,2,x,4,x,4,62,4,x,0,0,0,0,0,0,0,0,0,0,3,10,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,472,Holyrood,37,0,0,0,0,4,x,2,x,4,x,7,x,0,0,2,x,1,x,2,x,x,4,x,x,1,x,9,109,2,x,5,11,3,x,2,x,0,0,8,130,8,130,0,0,6,x,11,265,0,0,1,x,0,0,1,x,1,x,1,x,1,x,1,x,2,x,4,7,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0
10,1,1,519,St. John's,125,1,x,1,x,6,x,1,x,14,x,16,x,0,0,4,"1,160",2,x,11,x,x,6,x,x,0,0,35,622,5,54,29,740,9,83,3,x,19,x,29,"2,175",9,x,20,x,17,40,40,"3,631",6,16,8,350,8,403,9,769,2,x,5,x,3,x,6,218,10,460,16,56,4,13,0,0,1,x,0,0,0,0,2,x,0,0,0,0
10,3,4,0,Division No.  4,55,1,x,0,0,3,58,0,0,5,x,6,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,16,516,9,x,11,530,6,x,5,x,2,x,16,x,14,x,2,x,8,x,17,"2,556",9,11,10,249,8,213,12,473,1,x,2,x,2,x,1,x,2,x,8,23,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
10,3,4,1,"Division No.  4, Subd. A",18,0,0,0,0,1,x,0,0,1,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,x,5,x,7,x,4,x,2,x,2,x,8,x,6,x,2,x,3,3,8,"2,214",2,x,2,x,2,x,3,74,0,0,0,0,0,0,0,0,0,0,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,6,"Division No.  4, Subd. B",21,1,x,0,0,1,x,0,0,2,x,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,7,134,4,15,4,x,2,x,3,x,0,0,6,164,6,164,0,0,5,x,7,x,4,x,4,x,2,x,4,152,1,x,1,x,1,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,16,"Division No.  4, Subd. D",16,0,0,0,0,1,x,0,0,2,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,2,x,2,x,0,0,0,0,2,x,3,4,4,102,4,141,5,247,0,0,1,x,1,x,0,0,1,x,4,6,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0
10,3,5,0,Division No.  5,83,1,x,0,0,0,0,1,x,2,x,2,x,0,0,0,0,1,x,1,x,x,0,0,0,0,0,14,563,2,x,13,539,1,x,2,x,10,x,14,x,6,x,8,x,7,x,18,"3,040",8,11,9,261,11,288,11,560,1,x,1,x,1,x,1,x,1,x,10,46,2,x,0,0,4,x,1,x,0,0,0,0,0,0,0,0
10,3,5,7,"Division No.  5, Subd. E",54,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,9,379,1,x,9,302,1,x,1,x,7,x,9,x,3,x,6,x,5,6,12,"1,995",7,x,7,x,9,x,9,x,0,0,0,0,0,0,0,0,0,0,6,22,1,x,0,0,3,x,1,x,0,0,0,0,0,0,0,0
10,3,5,10,"Division No.  5, Subd. F",29,1,x,0,0,0,0,1,x,1,x,1,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,5,184,1,x,4,237,0,0,1,x,3,x,5,x,3,x,2,x,2,x,6,"1,045",1,x,2,x,2,x,2,x,1,x,1,x,1,x,1,x,1,x,4,24,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0
10,2,6,0,Division No.  6,42,1,x,3,14,2,x,1,x,3,x,4,x,0,0,1,x,2,x,1,x,x,0,0,0,0,0,4,85,2,x,2,x,1,x,1,x,1,x,3,147,2,x,1,x,2,x,4,338,1,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,7,42,1,x,0,0,2,x,2,x,0,0,0,0,0,0,0,0
10,2,6,14,"Division No.  6, Subd. C",42,1,x,3,14,2,x,1,x,3,x,4,x,0,0,1,x,2,x,1,x,x,0,0,0,0,0,4,85,2,x,2,x,1,x,1,x,1,x,3,147,2,x,1,x,2,x,4,338,1,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,7,42,1,x,0,0,2,x,2,x,0,0,0,0,0,0,0,0
10,2,7,0,Division No.  7,59,0,0,1,x,1,x,2,x,6,x,6,x,0,0,3,x,3,60,3,x,x,1,x,x,0,0,10,213,3,13,10,320,2,x,1,x,8,305,13,930,5,x,9,x,6,6,13,"1,482",4,x,6,x,6,72,6,x,1,x,1,x,1,x,2,x,3,43,8,47,3,18,0,0,1,x,0,0,0,0,2,x,0,0,0,0
10,2,7,9,"Division No.  7, Subd. K",17,0,0,0,0,1,x,0,0,3,x,3,198,0,0,2,x,2,x,2,x,x,1,x,x,0,0,4,18,2,x,3,26,1,x,0,0,2,x,4,113,2,x,2,x,3,x,4,163,4,x,5,56,5,x,5,x,1,x,1,x,1,x,2,x,3,43,3,x,2,x,0,0,1,x,0,0,0,0,1,x,0,0,0,0
10,2,7,31,"Division No.  7, Subd. E",24,0,0,0,0,0,0,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,195,1,x,7,294,1,x,1,x,6,x,9,817,3,x,7,x,3,x,9,"1,319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7,38,"Division No.  7, Subd. D",18,0,0,1,x,0,0,1,x,2,x,2,x,0,0,1,x,1,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0
10,2,8,0,Division No.  8,53,0,0,1,x,1,x,1,x,9,x,9,x,0,0,0,0,3,x,1,x,x,1,x,x,0,0,7,45,2,x,4,x,3,x,1,x,0,0,8,46,8,46,0,0,3,x,8,108,7,9,11,225,10,282,11,516,2,x,2,x,1,x,1,x,2,x,10,37,4,x,0,0,2,x,2,x,0,0,0,0,0,0,0,0
10,2,8,36,"Division No.  8, Subd. G",32,0,0,1,x,1,x,0,0,6,x,6,x,0,0,0,0,2,x,1,x,x,1,x,x,0,0,6,x,2,x,3,5,2,x,1,x,0,0,7,x,7,x,0,0,2,x,7,x,4,6,8,192,7,247,8,445,1,x,1,x,0,0,0,0,1,x,7,32,2,x,0,0,2,x,2,x,0,0,0,0,0,0,0,0
10,2,8,58,"Division No.  8, Subd. C",21,0,0,0,0,0,0,1,x,3,x,3,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,1,x,0,0,1,x,1,x,0,0,0,0,1,x,1,x,0,0,1,x,1,x,3,3,3,33,3,35,3,71,1,x,1,x,1,x,1,x,1,x,3,5,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",15,"2,309",10,344,79,x,18,x,97,"130,412",152,"447,061",0,0,26,"3,533",41,625,41,"61,473","135,525",97,x,x,0,0,803,"21,269",434,"15,474",696,"19,695",334,"10,663",251,"1,796",268,"7,236",768,"29,204",550,"16,107",254,"13,097",477,793,923,"86,435",52,116,64,"1,863",55,"1,922",69,"3,901",85,414,88,"11,247",91,"37,619",109,"73,912",149,"123,192",288,"1,921",31,229,0,0,7,"51,820",5,"1,345",1,x,21,148,0,0,1,x
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,5,x,3,x,13,x,2,x,19,354,29,x,0,0,6,144,6,83,8,"4,815","10,615",14,x,x,0,0,112,"2,473",56,506,100,"1,391",40,404,52,253,30,734,118,"3,983",96,"2,636",24,"1,347",77,120,129,"8,473",13,27,19,547,15,628,20,"1,202",14,29,14,907,15,"2,937",17,"8,175",23,"12,048",42,244,4,15,0,0,2,x,0,0,0,0,2,x,0,0,0,0
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,8,"2,069",2,x,45,"202,835",11,366,52,"29,538",87,"232,739",0,0,12,"2,295",23,306,23,"48,515","106,957",62,"2,998,382","6,610,300",0,0,431,"12,059",218,"7,981",361,"11,010",179,"5,797",122,862,144,"4,351",410,"16,778",292,"9,018",138,"7,760",262,476,481,"48,304",29,74,33,"1,107",30,"1,105",36,"2,286",53,315,54,"7,072",56,"24,646",73,"47,760",97,"79,793",161,"1,155",18,177,0,0,3,"19,800",1,x,0,0,14,127,0,0,0,0
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,2,x,5,188,21,"2,455",5,x,26,"100,520",36,x,0,0,8,"1,094",12,236,10,"8,143","17,952",21,"13,367","29,469",0,0,260,"6,737",160,"6,987",235,"7,294",115,"4,462",77,681,94,"2,151",240,"8,443",162,"4,453",92,"3,990",138,197,313,"29,658",10,15,12,209,10,189,13,413,18,70,20,"3,268",20,"10,036",19,"17,977",29,"31,351",85,522,9,37,0,0,2,x,4,x,1,x,5,x,0,0,1,x
11,1,1,0,Kings,286,5,x,3,x,13,x,2,x,19,354,29,x,0,0,6,144,6,83,8,"4,815","10,615",14,x,x,0,0,112,"2,473",56,506,100,"1,391",40,404,52,253,30,734,118,"3,983",96,"2,636",24,"1,347",77,120,129,"8,473",13,27,19,547,15,628,20,"1,202",14,29,14,907,15,"2,937",17,"8,175",23,"12,048",42,244,4,15,0,0,2,x,0,0,0,0,2,x,0,0,0,0
11,1,1,1,Lot 64,34,1,x,0,0,3,x,0,0,2,x,5,x,0,0,1,x,0,0,0,0,0,3,x,x,0,0,10,202,5,27,8,125,2,x,2,x,4,108,11,349,9,192,3,157,8,12,13,715,2,x,3,x,1,x,4,63,2,x,2,x,2,x,2,x,3,x,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,9,Lot 59,25,0,0,0,0,1,x,0,0,2,x,3,92,0,0,0,0,1,x,0,0,0,0,0,0,0,0,6,112,5,59,5,104,3,68,4,x,1,x,7,227,7,x,1,x,5,17,8,519,2,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,5,42,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
11,1,1,14,Lot 51,17,0,0,0,0,2,x,1,x,2,x,3,198,0,0,1,x,0,0,1,x,x,1,x,x,0,0,9,102,4,x,8,x,4,44,2,x,4,69,9,163,8,x,1,x,5,x,11,442,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,1,x,5,33,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,16,Lot 52,24,0,0,0,0,1,x,0,0,1,x,2,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,5,114,4,35,5,43,3,16,3,27,0,0,4,109,4,109,0,0,3,3,6,304,1,x,2,x,1,x,2,x,3,11,3,472,3,"1,770",4,"3,570",4,"5,823",2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,26,Lot 54,21,1,x,0,0,0,0,0,0,2,x,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,9,154,5,83,7,129,4,38,4,19,3,72,12,303,9,170,3,133,9,12,12,681,0,0,1,x,1,x,1,x,2,x,2,x,2,x,3,x,4,"1,610",6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,28,Lot 55,19,1,x,0,0,3,120,0,0,2,x,4,x,0,0,0,0,2,x,0,0,0,1,x,x,0,0,13,243,6,25,12,178,2,x,6,x,5,152,14,452,10,178,4,274,7,7,14,905,3,5,3,86,3,85,3,176,1,x,1,x,2,x,1,x,3,36,6,15,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0
11,1,1,32,Lot 44,23,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,9,300,4,19,8,79,4,50,6,x,1,x,8,385,8,385,0,0,7,16,9,799,3,4,5,83,4,108,5,195,1,x,1,x,1,x,0,0,1,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,34,Lot 45,30,0,0,0,0,1,x,0,0,0,0,1,x,0,0,1,x,0,0,1,x,x,1,x,x,0,0,10,196,6,60,11,108,3,22,7,29,3,57,11,317,8,196,3,121,7,7,12,688,1,x,2,x,2,x,2,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,42,Lot 41,24,1,x,0,0,1,x,0,0,1,x,2,x,0,0,1,x,0,0,1,x,x,2,x,x,0,0,14,397,4,25,12,169,6,34,6,41,4,94,15,646,11,414,4,232,10,17,15,"1,254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
11,1,1,46,Lot 40,31,0,0,0,0,0,0,0,0,4,52,4,52,0,0,1,x,2,x,2,x,x,1,x,x,0,0,13,331,6,84,11,143,5,88,5,x,1,x,13,469,12,x,1,x,9,11,13,"1,038",1,x,1,x,1,x,1,x,2,x,2,x,2,x,5,x,5,"2,743",5,39,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,49,Lot 39,19,0,0,2,x,0,0,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,146,1,x,3,x,0,0,2,x,1,x,5,213,4,x,1,x,2,x,6,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,51,Lot 38,19,1,x,0,0,1,x,0,0,2,x,2,x,0,0,1,x,0,0,1,x,x,2,x,x,0,0,9,176,6,32,10,167,4,30,5,19,3,118,9,350,6,143,3,207,5,8,10,733,0,0,0,0,0,0,0,0,1,x,1,x,1,x,0,0,1,x,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0
11,2,2,0,Queens,835,8,"2,069",2,x,45,"202,835",11,366,52,"29,538",87,"232,739",0,0,12,"2,295",23,306,23,"48,515","106,957",62,"2,998,382","6,610,300",0,0,431,"12,059",218,"7,981",361,"11,010",179,"5,797",122,862,144,"4,351",410,"16,778",292,"9,018",138,"7,760",262,476,481,"48,304",29,74,33,"1,107",30,"1,105",36,"2,286",53,315,54,"7,072",56,"24,646",73,"47,760",97,"79,793",161,"1,155",18,177,0,0,3,"19,800",1,x,0,0,14,127,0,0,0,0
11,2,2,6,Lot 58,45,1,x,0,0,3,x,2,x,3,x,4,x,0,0,0,0,3,15,2,x,x,3,x,x,0,0,7,365,6,187,6,140,4,111,3,29,0,0,7,393,7,393,0,0,5,12,8,"1,097",1,x,3,x,1,x,3,x,5,140,5,"1,369",5,"3,655",5,"6,522",5,"11,686",8,53,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,8,Lot 57,38,0,0,0,0,1,x,0,0,4,x,4,338,0,0,1,x,1,x,1,x,x,2,x,x,0,0,16,445,13,709,17,767,11,571,7,50,4,146,16,607,13,319,3,288,12,14,18,"2,542",1,x,1,x,1,x,1,x,3,x,2,x,2,x,1,x,4,422,7,22,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,9,Lot 50,47,0,0,0,0,3,388,1,x,3,x,6,452,0,0,0,0,1,x,0,0,0,2,x,x,0,0,28,"1,125",16,"1,558",21,"1,002",13,579,8,45,8,378,26,"1,724",19,795,7,929,21,37,31,"5,446",1,x,2,x,2,x,2,x,3,10,3,595,4,"2,030",8,"7,104",9,"9,739",12,33,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
11,2,2,12,Lot 49,27,0,0,0,0,1,x,0,0,3,x,4,x,0,0,0,0,1,x,0,0,0,4,"5,307","11,700",0,0,20,"1,054",9,378,15,444,10,256,8,107,3,81,20,"1,143",17,994,4,149,17,40,23,"3,059",3,8,3,198,3,160,3,366,3,5,3,x,3,x,2,x,5,"2,565",8,30,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0
11,2,2,14,Lot 48,44,0,0,0,0,4,x,0,0,2,x,6,"1,974",0,0,0,0,1,x,0,0,0,5,"5,760","12,699",0,0,22,417,5,114,13,223,5,86,8,52,3,85,18,495,15,345,3,150,11,22,24,"1,271",1,x,2,x,2,x,2,x,0,0,0,0,0,0,2,x,2,x,8,100,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
11,2,2,26,Lot 31,62,0,0,0,0,2,x,0,0,4,x,6,x,0,0,0,0,1,x,1,x,x,1,x,x,0,0,35,"1,054",22,494,28,789,18,375,9,83,11,331,31,"1,394",24,882,11,512,21,32,37,"3,763",8,12,8,124,8,125,9,261,6,13,5,263,5,779,8,"2,420",11,"3,475",15,114,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
11,2,2,28,Lot 65,52,2,x,0,0,5,"1,040",0,0,3,51,8,"1,091",0,0,2,x,1,x,3,x,x,5,"5,368","11,834",0,0,27,538,14,202,21,290,10,123,8,22,10,145,25,643,18,329,10,314,17,19,28,"1,692",0,0,0,0,0,0,0,0,7,12,7,212,6,747,6,996,8,"1,967",11,80,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,29,Lot 30,31,0,0,0,0,4,545,2,x,5,x,7,706,0,0,1,x,3,24,0,0,0,2,x,x,0,0,21,324,9,77,15,166,9,74,6,41,4,51,23,548,20,440,3,108,13,16,25,"1,131",0,0,0,0,0,0,0,0,2,x,2,x,2,x,2,x,2,x,11,44,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0
11,2,2,31,Lot 29,34,0,0,0,0,4,x,0,0,2,x,6,905,0,0,3,77,1,x,4,x,x,6,"4,241","9,350",0,0,21,376,6,106,12,167,3,26,6,29,5,112,20,505,15,306,6,199,13,15,23,"1,169",0,0,1,x,1,x,1,x,0,0,0,0,0,0,1,x,1,x,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,36,Lot 67,49,0,0,0,0,3,x,1,x,2,x,5,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,31,886,16,302,28,825,14,254,6,30,13,541,30,"1,530",18,649,13,881,12,75,36,"3,618",0,0,0,0,0,0,0,0,4,9,4,x,4,968,4,x,7,"2,104",7,34,1,x,0,0,1,x,0,0,0,0,1,x,0,0,0,0
