HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTVEG,TOTVEG,ETOTVEG,NSWCORN,SWCORN,ESWCORN,NTOMATO,TOMATO,ETOMATO,NCUCUMB,CUCUMB,ECUCUMB,NGRPEAS,GRPEAS,EGRPEAS,NBEANS,BEANS,EBEANS,NCABAGE,CABAGE,ECABAGE,NCHINCABG,CHINCABG,ECHINCABG,NCLFLWR,CLFLWR,ECLFLWR,NBROCLI,BROCLI,EBROCLI,NBRSPRT,BRSPRT,EBRSPRT,NCARROT,CARROT,ECARROT,NRTBAGA,RTBAGA,ERTBAGA,NBEETS,BEETS,EBEETS,NRADISH,RADISH,ERADISH,NSHALOT,SHALOT,ESHALOT,NONIONS,ONIONS,EONIONS,NCELERY,CELERY,ECELERY,NLETUCE,LETUCE,ELETUCE,NSPNACH,SPNACH,ESPNACH,NPEPPER,PEPPER,EPEPPER,NPUMPKIN,PUMPKIN,EPUMPKIN,NSQUAZUC,SQUAZUC,ESQUAZUC,NSQPUMP,SQPUMP,ESQPUMP,NASPPROD,ASPPROD,EASPPROD,NASPNPRD,ASPNPRD,EASPNPRD,NOTHVEG,OTHVEG,EOTHVEG
10,1,1,357,"Division No.  1, Subd. H",22,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x
10,1,1,472,Holyrood,37,12,121,49,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,5,24,10,0,0,0,2,x,x,4,11,4,0,0,0,7,36,15,9,28,11,4,11,4,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0,4,3,1
10,1,1,519,St. John's,125,41,176,71,5,x,x,4,x,x,4,x,x,5,1,0,5,x,x,24,24,10,2,x,x,9,3,1,13,7,3,10,2,1,32,28,11,32,34,14,24,10,4,3,x,x,5,x,x,11,x,x,4,x,x,10,6,3,5,x,x,1,x,x,9,x,x,7,x,x,10,16,6,0,0,0,0,0,0,15,17,7
10,3,4,0,Division No.  4,55,17,146,59,4,x,x,2,x,x,5,x,x,3,2,1,3,2,1,13,34,14,1,x,x,6,x,x,8,4,2,0,0,0,14,22,9,16,48,19,12,7,3,0,0,0,0,0,0,2,x,x,0,0,0,4,5,2,1,x,x,0,0,0,6,4,1,4,1,0,7,5,2,0,0,0,0,0,0,1,x,x
10,3,4,1,"Division No.  4, Subd. A",18,2,x,x,1,x,x,1,x,x,2,x,x,1,x,x,1,x,x,1,x,x,0,0,0,2,x,x,2,x,x,0,0,0,2,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x
10,3,4,6,"Division No.  4, Subd. B",21,9,99,40,2,x,x,1,x,x,2,x,x,2,x,x,2,x,x,7,25,10,1,x,x,3,3,1,3,3,1,0,0,0,6,x,x,9,34,14,5,4,1,0,0,0,0,0,0,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,4,x,x,2,x,x,4,3,1,0,0,0,0,0,0,0,0,0
10,3,4,16,"Division No.  4, Subd. D",16,6,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,5,x,x,0,0,0,1,x,x,3,x,x,0,0,0,6,12,5,6,x,x,5,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
10,3,5,0,Division No.  5,83,13,124,50,3,x,x,2,x,x,2,x,x,0,0,0,0,0,0,8,18,7,1,x,x,1,x,x,5,3,1,1,x,x,10,14,6,11,68,28,7,5,2,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,4,6,2,3,1,1,5,7,3,0,0,0,0,0,0,1,x,x
10,3,5,7,"Division No.  5, Subd. E",54,7,53,22,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,0,0,0,1,x,x,2,x,x,1,x,x,6,8,3,6,23,9,3,3,1,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x
10,3,5,10,"Division No.  5, Subd. F",29,6,70,28,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,4,3,1,1,x,x,0,0,0,3,x,x,0,0,0,4,6,2,5,45,18,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,2,x,x,3,x,x,0,0,0,0,0,0,0,0,0
10,2,6,0,Division No.  6,42,14,119,48,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,8,19,8,0,0,0,0,0,0,5,8,3,0,0,0,9,49,20,11,34,14,7,6,3,0,0,0,0,0,0,1,x,x,0,0,0,3,1,0,0,0,0,0,0,0,2,x,x,2,x,x,3,2,1,0,0,0,0,0,0,1,x,x
10,2,6,14,"Division No.  6, Subd. C",42,14,119,48,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,8,19,8,0,0,0,0,0,0,5,8,3,0,0,0,9,49,20,11,34,14,7,6,3,0,0,0,0,0,0,1,x,x,0,0,0,3,1,0,0,0,0,0,0,0,2,x,x,2,x,x,3,2,1,0,0,0,0,0,0,1,x,x
10,2,7,0,Division No.  7,59,20,162,65,4,4,2,3,1,0,2,x,x,3,2,1,2,x,x,15,30,12,0,0,0,4,1,0,7,17,7,2,x,x,16,23,9,17,48,20,14,14,6,0,0,0,1,x,x,4,x,x,0,0,0,4,13,5,1,x,x,1,x,x,3,x,x,3,x,x,3,3,1,0,0,0,0,0,0,4,1,1
10,2,7,9,"Division No.  7, Subd. K",17,5,27,11,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,4,5,2,0,0,0,1,x,x,2,x,x,1,x,x,4,4,1,4,10,4,3,6,2,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x
10,2,7,31,"Division No.  7, Subd. E",24,7,107,43,1,x,x,1,x,x,1,x,x,2,x,x,1,x,x,6,20,8,0,0,0,2,x,x,4,x,x,1,x,x,6,12,5,6,29,12,6,6,2,0,0,0,0,0,0,3,x,x,0,0,0,3,x,x,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x
10,2,7,38,"Division No.  7, Subd. D",18,8,27,11,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,1,x,x,1,x,x,0,0,0,6,7,3,7,9,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x
10,2,8,0,Division No.  8,53,21,135,55,5,x,x,3,0,0,6,x,x,4,1,0,3,x,x,17,25,10,0,0,0,5,1,0,10,10,4,1,x,x,20,27,11,20,50,20,16,11,5,0,0,0,1,x,x,3,0,0,1,x,x,3,1,0,1,x,x,0,0,0,5,2,1,6,2,1,7,3,1,0,0,0,0,0,0,2,x,x
10,2,8,36,"Division No.  8, Subd. G",32,8,80,33,3,2,1,1,x,x,4,1,0,2,x,x,2,x,x,7,16,7,0,0,0,3,x,x,5,8,3,0,0,0,8,12,5,8,31,12,7,6,3,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,3,x,x,4,x,x,4,3,1,0,0,0,0,0,0,0,0,0
10,2,8,58,"Division No.  8, Subd. C",21,13,55,22,2,x,x,2,x,x,2,x,x,2,x,x,1,x,x,10,9,3,0,0,0,2,x,x,5,2,1,1,x,x,12,16,6,12,20,8,9,5,2,0,0,0,1,x,x,2,x,x,1,x,x,2,x,x,1,x,x,0,0,0,2,x,x,2,x,x,3,1,0,0,0,0,0,0,0,2,x,x
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",114,"2,725","1,103",31,87,35,25,6,2,32,21,9,21,8,3,41,32,13,26,216,88,2,x,x,27,321,130,28,148,60,8,x,x,48,923,373,42,563,228,32,38,15,11,3,1,10,2,1,24,69,28,0,0,0,29,37,15,14,3,1,15,4,1,25,104,42,27,11,4,39,115,46,8,2,1,0,0,0,35,x,x
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,21,546,221,6,4,2,3,1,1,4,1,1,1,x,x,3,1,1,3,20,8,1,x,x,6,142,57,5,60,24,3,x,x,4,x,x,6,x,x,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,4,3,1,3,0,0,3,x,x,6,4,2,4,1,1,7,5,2,3,x,x,0,0,0,5,x,x
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,67,"1,733",701,15,54,22,13,3,1,19,13,5,13,6,2,26,25,10,17,189,76,1,x,x,16,178,72,16,86,35,3,x,x,29,565,229,26,335,136,21,34,14,5,2,1,4,2,1,14,x,x,0,0,0,18,33,13,8,3,1,6,x,x,13,92,37,16,7,3,24,99,40,3,x,x,0,0,0,19,37,15
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,26,446,180,10,30,12,9,2,1,9,8,3,7,x,x,12,6,2,6,8,3,0,0,0,5,1,0,7,1,0,2,x,x,15,x,x,10,x,x,9,x,x,4,x,x,4,x,x,8,x,x,0,0,0,7,1,0,3,0,0,6,3,1,6,8,3,7,2,1,8,10,4,2,x,x,0,0,0,11,9,4
11,1,1,0,Kings,286,21,546,221,6,4,2,3,1,1,4,1,1,1,x,x,3,1,1,3,20,8,1,x,x,6,142,57,5,60,24,3,x,x,4,x,x,6,x,x,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,4,3,1,3,0,0,3,x,x,6,4,2,4,1,1,7,5,2,3,x,x,0,0,0,5,x,x
11,1,1,1,Lot 64,34,5,9,4,1,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,2,x,x,3,0,0,2,x,x,2,x,x,2,x,x,3,x,x,2,x,x,0,0,0,2,x,x
11,1,1,9,Lot 59,25,4,34,14,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x
11,1,1,14,Lot 51,17,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
11,1,1,16,Lot 52,24,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
11,1,1,26,Lot 54,21,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,28,Lot 55,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,32,Lot 44,23,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
11,1,1,34,Lot 45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,42,Lot 41,24,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
11,1,1,46,Lot 40,31,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,49,Lot 39,19,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,2,x,x,2,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
11,1,1,51,Lot 38,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,0,Queens,835,67,"1,733",701,15,54,22,13,3,1,19,13,5,13,6,2,26,25,10,17,189,76,1,x,x,16,178,72,16,86,35,3,x,x,29,565,229,26,335,136,21,34,14,5,2,1,4,2,1,14,x,x,0,0,0,18,33,13,8,3,1,6,x,x,13,92,37,16,7,3,24,99,40,3,x,x,0,0,0,19,37,15
11,2,2,6,Lot 58,45,7,150,61,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,1,x,x,0,0,0,1,x,x,2,x,x,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,5,9,4
11,2,2,8,Lot 57,38,8,185,75,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,2,x,x,5,74,30,2,x,x,0,0,0,1,x,x,3,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,2,x,x,1,x,x,0,0,0,1,x,x
11,2,2,9,Lot 50,47,9,238,96,1,x,x,0,0,0,2,x,x,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,6,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x
11,2,2,12,Lot 49,27,3,x,x,1,x,x,1,x,x,2,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0
11,2,2,14,Lot 48,44,4,x,x,1,x,x,0,0,0,2,x,x,1,x,x,2,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,3,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0
11,2,2,26,Lot 31,62,2,x,x,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,1,x,x,0,0,0,2,x,x,2,x,x,0,0,0,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x
11,2,2,28,Lot 65,52,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,29,Lot 30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,31,Lot 29,34,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
11,2,2,36,Lot 67,49,2,x,x,2,x,x,2,x,x,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,2,x,x,2,x,x,0,0,0,2,x,x,0,0,0,1,x,x,2,x,x,2,x,x,2,x,x,0,0,0,2,x,x,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
11,2,2,38,Lot 20,29,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
11,2,2,39,Lot 21,40,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x
11,2,2,40,Miltonvale Park,19,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
11,2,2,42,Lot 23,45,4,12,5,1,x,x,2,x,x,3,0,0,3,0,0,4,3,1,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,4,1,1,0,0,0,2,x,x,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x
11,2,2,44,Lot 24,46,3,x,x,2,x,x,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,3,x,x,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
11,2,2,49,Lot 33,72,7,104,42,0,0,0,2,x,x,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,3,24,10,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,2,x,x
11,2,2,52,Lot 34,50,6,209,84,0,0,0,1,x,x,2,x,x,0,0,0,2,x,x,4,65,26,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,4,82,33,0,0,0,4,82,33,0,0,0,0,0,0,1,x,x
