HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTFRT,TOTFRT,ETOTFRT,NAPPLETA,APPLETA,EAPPLETA,NPEARTA,PEARTA,EPEARTA,NPLUMTA,PLUMTA,EPLUMTA,NSWCHTA,SWCHTA,ESWCHTA,NSRCHTA,SRCHTA,ESRCHTA,NPECHTA,PECHTA,EPECHTA,NAPCTTA,APCTTA,EAPCTTA,NGRAPETA,GRAPETA,EGRAPETA,NSTRWBTA,STRWBTA,ESTRWBTA,NRASPBTA,RASPBTA,ERASPBTA,NCRANBTA,CRANBTA,ECRANBTA,NBLUEBTA,BLUEBTA,EBLUEBTA,NSASKBTA,SASKBTA,ESASKBTA,NOTFRTTA,OTFRTTA,EOTFRTTA
10,2,7,31,"Division No.  7, Subd. E",24,6,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,x,x,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x
10,2,7,38,"Division No.  7, Subd. D",18,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
10,2,8,0,Division No.  8,53,10,31,13,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,x,x,4,2,1,0,0,0,1,x,x,0,0,0,1,x,x
10,2,8,36,"Division No.  8, Subd. G",32,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x
10,2,8,58,"Division No.  8, Subd. C",21,8,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,5,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",203,"10,365","4,195",28,122,49,7,10,4,10,7,3,4,2,1,4,3,1,0,0,0,0,0,0,6,22,9,45,280,113,26,32,13,12,75,30,118,"9,803","3,967",1,x,x,18,x,x
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,70,"4,569","1,849",3,x,x,1,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,3,9,4,8,36,15,3,5,2,4,x,x,52,"4,473","1,810",0,0,0,4,2,1
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,81,"4,702","1,903",14,x,x,5,x,x,5,3,1,3,x,x,1,x,x,0,0,0,0,0,0,2,x,x,27,104,42,16,21,8,2,x,x,41,"4,498","1,820",1,x,x,13,7,3
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,52,"1,094",443,11,64,26,1,x,x,3,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,10,140,56,7,6,2,6,42,17,25,831,336,0,0,0,1,x,x
11,1,1,0,Kings,286,70,"4,569","1,849",3,x,x,1,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,3,9,4,8,36,15,3,5,2,4,x,x,52,"4,473","1,810",0,0,0,4,2,1
11,1,1,1,Lot 64,34,7,256,104,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,1,x,x,1,x,x,2,x,x,0,0,0,2,x,x
11,1,1,9,Lot 59,25,9,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,0,5,86,35,0,0,0,1,x,x
11,1,1,14,Lot 51,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,16,Lot 52,24,8,295,119,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,x,x,0,0,0,0,0,0
11,1,1,26,Lot 54,21,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0
11,1,1,28,Lot 55,19,4,865,350,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0
11,1,1,32,Lot 44,23,6,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,3,x,x,0,0,0,0,0,0
11,1,1,34,Lot 45,30,8,719,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,7,x,x,0,0,0,1,x,x
11,1,1,42,Lot 41,24,8,364,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,6,x,x,0,0,0,0,0,0
11,1,1,46,Lot 40,31,5,105,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,105,42,0,0,0,0,0,0
11,1,1,49,Lot 39,19,9,914,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,8,x,x,0,0,0,0,0,0
11,1,1,51,Lot 38,19,4,307,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,307,124,0,0,0,0,0,0
11,2,2,0,Queens,835,81,"4,702","1,903",14,x,x,5,x,x,5,3,1,3,x,x,1,x,x,0,0,0,0,0,0,2,x,x,27,104,42,16,21,8,2,x,x,41,"4,498","1,820",1,x,x,13,7,3
11,2,2,6,Lot 58,45,19,885,358,3,4,1,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,15,877,355,0,0,0,0,0,0
11,2,2,8,Lot 57,38,4,13,5,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x
11,2,2,9,Lot 50,47,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,0,0,0,0,0,0
11,2,2,12,Lot 49,27,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,1,x,x,0,0,0,1,x,x,0,0,0,2,x,x
11,2,2,14,Lot 48,44,7,297,120,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,x,x,1,x,x,0,0,0,3,x,x,0,0,0,0,0,0
11,2,2,26,Lot 31,62,3,22,9,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
11,2,2,28,Lot 65,52,3,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
11,2,2,29,Lot 30,31,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
11,2,2,31,Lot 29,34,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,36,Lot 67,49,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x
11,2,2,38,Lot 20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,39,Lot 21,40,4,18,7,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x
11,2,2,40,Miltonvale Park,19,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,42,Lot 23,45,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x
11,2,2,44,Lot 24,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,49,Lot 33,72,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
11,2,2,52,Lot 34,50,6,31,12,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,3,17,7,0,0,0,1,x,x
11,2,2,54,Lot 35,25,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x
11,2,2,56,Lot 36,29,5,"1,159",469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,4,x,x,0,0,0,0,0,0
11,2,2,58,Lot 37,21,6,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,4,x,x,0,0,0,1,x,x
11,2,2,85,Cornwall,30,5,62,25,3,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,2,x,x
11,3,3,0,Prince,579,52,"1,094",443,11,64,26,1,x,x,3,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,10,140,56,7,6,2,6,42,17,25,831,336,0,0,0,1,x,x
11,3,3,1,Lot 28,40,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,6,Lot 27,35,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,9,Lot 26,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,11,Lot 25,30,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,12,Lot 19,36,5,22,9,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0
11,3,3,16,Lot 18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,19,Lot 17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,28,Lot 16,29,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,31,Lot 14,31,3,56,23,2,x,x,1,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x
11,3,3,32,Lot 13,27,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,34,Lot 12,19,4,101,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,x,x,0,0,0,0,0,0
11,3,3,41,Lot  6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,44,Lot  9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,46,Lot  8,36,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
11,3,3,48,Lot  7,35,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,51,Lot  4,39,5,121,49,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0
11,3,3,54,Lot  3,37,6,128,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,4,x,x,0,0,0,0,0,0
11,3,3,58,Lot  1,28,20,621,251,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,3,x,x,15,597,242,0,0,0,0,0,0
12,0,0,0,Nova Scotia / Nouvelle-êcosse,"3,795","1,206","46,886","18,974",228,"6,109","2,472",80,233,94,54,70,28,30,27,11,13,8,3,34,x,x,2,x,x,66,466,189,141,803,325,113,159,64,21,214,87,843,"38,634","15,635",6,x,x,35,103,42
12,1,0,0,Agricultural Region 1 - rÇgion agricole 1,591,111,"2,428",982,17,118,48,8,11,4,8,x,x,2,x,x,0,0,0,5,x,x,2,x,x,10,x,x,18,114,46,22,26,10,5,x,x,69,"2,064",835,1,x,x,8,7,3
12,2,0,0,Agricultural Region 2 - rÇgion agricole 2,"1,175",313,"10,697","4,329",183,"5,825","2,357",62,216,87,39,57,23,17,23,9,8,x,x,27,x,x,0,0,0,35,295,119,64,361,146,51,74,30,7,156,63,81,"3,619","1,465",2,x,x,15,15,6
12,3,0,0,Agricultural Region 3 - rÇgion agricole 3,"1,149",576,"27,621","11,178",15,63,26,4,1,0,5,5,2,4,1,0,2,x,x,1,x,x,0,0,0,11,96,39,29,151,61,17,16,7,6,23,9,535,"27,188","11,003",0,0,0,6,x,x
12,4,0,0,Agricultural Region 4 - rÇgion agricole 4,589,154,"5,502","2,226",9,97,39,4,x,x,2,x,x,1,x,x,2,x,x,1,x,x,0,0,0,6,x,x,13,97,39,10,28,11,1,x,x,129,"5,263","2,130",2,x,x,1,x,x
12,5,0,0,Agricultural Region 5 - rÇgion agricole 5,291,52,639,258,4,7,3,2,x,x,0,0,0,6,3,1,1,x,x,0,0,0,0,0,0,4,17,7,17,80,32,13,15,6,2,x,x,29,501,203,1,x,x,5,x,x
12,1,1,0,Shelburne,19,5,229,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,4,x,x,0,0,0,0,0,0
12,1,1,6,Shelburne,19,5,229,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,4,x,x,0,0,0,0,0,0
12,1,2,0,Yarmouth,93,35,386,156,3,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,5,x,x,5,x,x,0,0,0,30,332,134,0,0,0,3,4,2
12,1,2,1,Argyle,23,9,83,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,9,x,x,0,0,0,0,0,0
12,1,2,4,Yarmouth,70,26,304,123,3,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,4,24,10,4,3,1,0,0,0,21,x,x,0,0,0,3,4,2
12,1,3,0,Digby,118,22,x,x,5,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,15,6,3,3,1,1,x,x,12,x,x,0,0,0,0,0,0
12,1,3,1,Clare,64,9,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,5,x,x,0,0,0,0,0,0
12,1,3,4,Digby,54,13,156,63,4,72,29,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,3,3,1,0,0,0,7,x,x,0,0,0,0,0,0
12,1,4,0,Queens,35,5,x,x,1,x,x,1,x,x,3,3,1,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,0,0,0,0,0,0
12,1,4,10,Queens,35,5,x,x,1,x,x,1,x,x,3,3,1,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,0,0,0,0,0,0
12,2,5,0,Annapolis,228,51,530,214,24,335,135,10,34,14,9,9,4,5,x,x,2,x,x,6,13,5,0,0,0,9,32,13,15,20,8,16,11,5,3,26,11,13,37,15,2,x,x,6,x,x
12,2,5,1,"Annapolis, Subd. D",23,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x
12,2,5,4,"Annapolis, Subd. A",54,15,243,98,11,147,59,7,x,x,8,x,x,3,4,2,2,x,x,5,x,x,0,0,0,4,15,6,4,12,5,7,4,2,1,x,x,5,x,x,0,0,0,0,0,0
12,2,5,9,"Annapolis, Subd. B",78,17,x,x,7,38,15,2,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,2,x,x,5,2,1,2,x,x,2,x,x,5,x,x,0,0,0,1,x,x
12,2,5,14,"Annapolis, Subd. C",73,18,191,77,6,150,61,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,6,6,2,6,7,3,0,0,0,3,7,3,2,x,x,4,2,1
12,1,6,0,Lunenburg,326,44,495,200,8,14,5,5,3,1,4,3,1,2,x,x,0,0,0,3,0,0,1,x,x,8,38,15,9,69,28,14,x,x,3,20,8,19,326,132,1,x,x,5,3,1
12,1,6,1,Lunenburg,243,42,x,x,8,14,5,5,3,1,4,3,1,1,x,x,0,0,0,3,0,0,1,x,x,8,38,15,8,x,x,13,18,7,3,20,8,17,x,x,1,x,x,4,x,x
12,1,6,9,Chester,83,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,2,x,x,0,0,0,1,x,x
12,2,7,0,Kings,604,211,"6,200","2,509",148,"4,899","1,982",46,172,70,26,45,18,11,17,7,6,6,2,20,32,13,0,0,0,16,166,67,41,312,126,27,58,23,4,130,53,43,353,143,0,0,0,7,11,4
12,2,7,1,"Kings, Subd. A",308,115,"2,818","1,140",78,"2,028",821,20,62,25,13,20,8,5,11,5,1,x,x,9,12,5,0,0,0,9,83,34,20,223,90,18,44,18,3,x,x,25,210,85,0,0,0,3,x,x
