HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NCOMPNY,NACCNT,NLIVECRP,NWRDPRS,NDESKPUB,NBANK,NINTNET,NEMAIL,NOTHCMP
10,2,6,14,"Division No.  6, Subd. C",42,22,13,4,15,4,6,15,16,0
10,2,7,0,Division No.  7,59,27,21,8,22,6,15,23,22,0
10,2,7,9,"Division No.  7, Subd. K",17,5,3,0,5,1,3,5,4,0
10,2,7,31,"Division No.  7, Subd. E",24,14,12,4,10,2,7,11,10,0
10,2,7,38,"Division No.  7, Subd. D",18,8,6,4,7,3,5,7,8,0
10,2,8,0,Division No.  8,53,24,13,7,18,5,14,21,20,0
10,2,8,36,"Division No.  8, Subd. G",32,17,11,5,12,4,11,15,14,0
10,2,8,58,"Division No.  8, Subd. C",21,7,2,2,6,1,3,6,6,0
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",746,516,282,451,79,318,525,511,1
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,126,88,41,76,14,53,89,88,0
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,365,246,138,217,39,150,260,256,1
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,255,182,103,158,26,115,176,167,0
11,1,1,0,Kings,286,126,88,41,76,14,53,89,88,0
11,1,1,1,Lot 64,34,15,10,8,8,4,5,12,11,0
11,1,1,9,Lot 59,25,12,5,2,6,0,2,9,8,0
11,1,1,14,Lot 51,17,6,6,3,6,3,6,6,6,0
11,1,1,16,Lot 52,24,11,6,4,5,1,4,7,7,0
11,1,1,26,Lot 54,21,10,7,3,5,1,2,4,4,0
11,1,1,28,Lot 55,19,9,9,3,7,2,3,6,5,0
11,1,1,32,Lot 44,23,7,4,2,4,0,6,6,6,0
11,1,1,34,Lot 45,30,15,11,0,10,1,6,9,9,0
11,1,1,42,Lot 41,24,10,6,5,5,1,5,8,9,0
11,1,1,46,Lot 40,31,15,13,5,9,1,6,11,12,0
11,1,1,49,Lot 39,19,10,7,5,7,0,6,8,7,0
11,1,1,51,Lot 38,19,6,4,1,4,0,2,3,4,0
11,2,2,0,Queens,835,365,246,138,217,39,150,260,256,1
11,2,2,6,Lot 58,45,32,20,16,24,7,10,19,22,0
11,2,2,8,Lot 57,38,13,10,4,6,0,4,9,8,0
11,2,2,9,Lot 50,47,21,18,9,13,4,8,17,16,0
11,2,2,12,Lot 49,27,14,9,5,8,3,7,11,8,0
11,2,2,14,Lot 48,44,13,10,5,6,3,5,8,7,0
11,2,2,26,Lot 31,62,29,18,17,20,2,13,22,23,0
11,2,2,28,Lot 65,52,20,14,7,14,3,9,16,16,1
11,2,2,29,Lot 30,31,9,6,3,4,0,2,3,6,0
11,2,2,31,Lot 29,34,10,6,2,3,0,3,8,8,0
11,2,2,36,Lot 67,49,24,12,10,12,1,12,19,13,0
11,2,2,38,Lot 20,29,12,10,3,8,1,6,9,11,0
11,2,2,39,Lot 21,40,21,17,7,11,3,13,16,16,0
11,2,2,40,Miltonvale Park,19,7,3,2,3,0,3,6,6,0
11,2,2,42,Lot 23,45,17,10,5,8,0,8,13,12,0
11,2,2,44,Lot 24,46,20,16,9,12,0,5,14,13,0
11,2,2,49,Lot 33,72,29,14,7,18,2,8,19,20,0
11,2,2,52,Lot 34,50,32,23,14,21,4,16,23,22,0
11,2,2,54,Lot 35,25,11,10,4,8,1,7,7,7,0
11,2,2,56,Lot 36,29,12,8,3,9,2,6,8,8,0
11,2,2,58,Lot 37,21,8,7,3,4,0,2,6,6,0
11,2,2,85,Cornwall,30,11,5,3,5,3,3,7,8,0
11,3,3,0,Prince,579,255,182,103,158,26,115,176,167,0
11,3,3,1,Lot 28,40,15,12,5,11,3,12,12,9,0
11,3,3,6,Lot 27,35,15,14,9,11,1,10,10,10,0
11,3,3,9,Lot 26,42,25,17,7,16,4,8,17,19,0
11,3,3,11,Lot 25,30,18,13,8,13,2,7,15,11,0
11,3,3,12,Lot 19,36,12,9,4,6,2,5,9,9,0
11,3,3,16,Lot 18,26,9,7,5,6,0,4,6,6,0
11,3,3,19,Lot 17,33,20,17,10,13,4,13,14,16,0
11,3,3,28,Lot 16,29,16,10,8,8,2,6,10,8,0
11,3,3,31,Lot 14,31,21,13,7,15,3,14,16,15,0
11,3,3,32,Lot 13,27,10,7,7,7,0,4,8,8,0
11,3,3,34,Lot 12,19,8,4,4,4,1,3,6,5,0
11,3,3,41,Lot  6,35,18,14,6,12,0,6,12,11,0
11,3,3,44,Lot  9,21,7,6,2,5,0,2,3,3,0
11,3,3,46,Lot  8,36,15,13,7,8,1,5,8,8,0
11,3,3,48,Lot  7,35,15,9,6,7,1,6,10,11,0
11,3,3,51,Lot  4,39,12,9,1,6,0,4,9,7,0
11,3,3,54,Lot  3,37,10,5,5,4,1,4,7,6,0
11,3,3,58,Lot  1,28,9,3,2,6,1,2,4,5,0
12,0,0,0,Nova Scotia / Nouvelle-êcosse,"3,795","1,653","1,183",601,"1,154",341,837,"1,247","1,231",0
12,1,0,0,Agricultural Region 1 - rÇgion agricole 1,591,226,162,66,157,46,105,175,155,0
12,2,0,0,Agricultural Region 2 - rÇgion agricole 2,"1,175",593,445,229,426,129,310,441,457,0
12,3,0,0,Agricultural Region 3 - rÇgion agricole 3,"1,149",480,345,185,327,91,237,355,359,0
12,4,0,0,Agricultural Region 4 - rÇgion agricole 4,589,233,160,88,160,45,124,181,181,0
12,5,0,0,Agricultural Region 5 - rÇgion agricole 5,291,121,71,33,84,30,61,95,79,0
12,1,1,0,Shelburne,19,9,8,2,6,2,3,6,5,0
12,1,1,6,Shelburne,19,9,8,2,6,2,3,6,5,0
12,1,2,0,Yarmouth,93,32,18,9,18,7,17,28,23,0
12,1,2,1,Argyle,23,7,5,4,5,3,3,6,6,0
12,1,2,4,Yarmouth,70,25,13,5,13,4,14,22,17,0
12,1,3,0,Digby,118,51,34,15,29,7,31,37,32,0
12,1,3,1,Clare,64,33,23,11,18,4,19,22,20,0
12,1,3,4,Digby,54,18,11,4,11,3,12,15,12,0
12,1,4,0,Queens,35,12,8,2,9,3,5,10,9,0
12,1,4,10,Queens,35,12,8,2,9,3,5,10,9,0
12,2,5,0,Annapolis,228,105,69,41,71,22,63,77,77,0
12,2,5,1,"Annapolis, Subd. D",23,6,3,3,4,1,6,4,6,0
12,2,5,4,"Annapolis, Subd. A",54,26,17,7,15,6,12,18,16,0
12,2,5,9,"Annapolis, Subd. B",78,34,23,15,22,6,19,24,22,0
12,2,5,14,"Annapolis, Subd. C",73,39,26,16,30,9,26,31,33,0
12,1,6,0,Lunenburg,326,122,94,38,95,27,49,94,86,0
12,1,6,1,Lunenburg,243,89,70,30,68,17,39,69,61,0
12,1,6,9,Chester,83,33,24,8,27,10,10,25,25,0
12,2,7,0,Kings,604,326,263,120,239,68,161,245,252,0
12,2,7,1,"Kings, Subd. A",308,157,126,62,111,36,77,117,116,0
12,2,7,11,"Kings, Subd. C",41,18,13,4,14,4,4,11,11,0
12,2,7,16,"Kings, Subd. B",171,103,85,39,78,19,59,81,87,0
12,2,7,21,"Kings, Subd. D",84,48,39,15,36,9,21,36,38,0
12,2,8,0,Hants,343,162,113,68,116,39,86,119,128,0
12,2,8,1,West Hants,164,76,56,28,55,13,41,59,64,0
12,2,8,8,East Hants,179,86,57,40,61,26,45,60,64,0
12,3,9,0,Halifax,154,69,55,24,44,12,37,50,54,0
12,3,9,34,Halifax,154,69,55,24,44,12,37,50,54,0
12,3,10,0,Colchester,442,207,148,81,143,53,103,161,155,0
12,3,10,1,"Colchester, Subd. C",171,87,71,42,59,19,42,63,64,0
12,3,10,8,"Colchester, Subd. B",158,76,46,22,56,24,42,65,63,0
12,3,10,12,"Colchester, Subd. A",113,44,31,17,28,10,19,33,28,0
12,3,11,0,Cumberland,553,204,142,80,140,26,97,144,150,0
12,3,11,1,"Cumberland, Subd. A",102,34,24,12,25,2,19,27,28,0
12,3,11,6,"Cumberland, Subd. B",204,73,47,30,47,6,29,47,47,0
12,3,11,9,"Cumberland, Subd. C",157,57,43,20,39,12,25,40,43,0
12,3,11,14,"Cumberland, Subd. D",90,40,28,18,29,6,24,30,32,0
12,4,12,0,Pictou,273,102,79,42,77,27,67,78,82,0
12,4,12,1,"Pictou, Subd. A",117,43,31,21,36,17,32,34,37,0
12,4,12,6,"Pictou, Subd. B",78,30,25,9,20,4,20,20,22,0
12,4,12,11,"Pictou, Subd. C",78,29,23,12,21,6,15,24,23,0
12,4,13,0,Guysborough,90,31,23,10,18,3,16,25,21,0
12,4,13,1,St. Mary's,21,7,5,4,5,0,5,7,6,0
12,4,13,4,Guysborough,69,24,18,6,13,3,11,18,15,0
12,4,14,0,Antigonish,226,100,58,36,65,15,41,78,78,0
12,4,14,1,"Antigonish, Subd. A",124,51,25,18,33,8,27,41,41,0
12,4,14,6,"Antigonish, Subd. B",102,49,33,18,32,7,14,37,37,0
12,5,15,0,Inverness,138,56,37,15,35,12,29,42,35,0
12,5,15,1,"Inverness, Subd. C",25,10,6,4,7,3,4,7,8,0
12,5,15,6,"Inverness, Subd. B",66,29,19,8,17,3,17,24,16,0
12,5,15,11,"Inverness, Subd. A",47,17,12,3,11,6,8,11,11,0
12,5,16,0,Richmond,20,11,8,2,9,3,7,11,9,0
12,5,16,6,"Richmond, Subd. A",20,11,8,2,9,3,7,11,9,0
12,5,17,0,Cape Breton,94,36,21,11,25,10,18,30,22,0
12,5,17,30,Cape Breton,94,36,21,11,25,10,18,30,22,0
12,5,18,0,Victoria,39,18,5,5,15,5,7,12,13,0
12,5,18,1,"Victoria, Subd. B",39,18,5,5,15,5,7,12,13,0
13,0,0,0,New Brunswick / Nouveau-Brunswick,"2,776","1,171",812,391,782,200,543,838,845,0
13,1,0,0,Agricultural Region 1 - rÇgion agricole 1,992,445,326,157,287,58,204,318,306,0
13,2,0,0,Agricultural Region 2 - rÇgion agricole 2,767,299,193,98,197,65,151,221,226,0
13,3,0,0,Agricultural Region 3 - rÇgion agricole 3,633,253,160,88,179,48,109,183,194,0
13,4,0,0,Agricultural Region 4 - rÇgion agricole 4,384,174,133,48,119,29,79,116,119,0
13,2,2,0,Charlotte,109,46,30,15,27,13,20,27,31,0
13,2,2,16,Saint George,29,12,6,2,8,5,3,8,11,0
13,2,2,28,Saint Croix,23,11,6,4,7,2,8,8,7,0
13,2,2,39,Saint James,30,14,10,7,10,5,5,8,10,0
13,2,2,42,Saint David,27,9,8,2,2,1,4,3,3,0
13,2,3,0,Sunbury,86,29,19,12,25,7,13,23,23,0
13,2,3,1,Blissville,26,8,5,3,6,2,4,6,7,0
13,2,3,4,Gladstone,18,5,2,3,5,0,2,5,4,0
13,2,3,8,Lincoln,18,5,4,2,4,2,3,3,3,0
13,2,3,16,Maugerville,24,11,8,4,10,3,4,9,9,0
13,2,4,0,Queens,107,41,23,18,28,9,27,34,34,0
13,2,4,4,Gagetown,28,12,6,5,6,3,7,10,10,0
13,2,4,8,Wickham,23,11,6,6,7,1,7,10,7,0
13,2,4,11,Cambridge,29,10,7,5,9,5,7,8,10,0
13,2,4,18,Waterborough,27,8,4,2,6,0,6,6,7,0
13,2,5,0,Kings,465,183,121,53,117,36,91,137,138,0
13,2,5,4,Upham,23,12,9,4,7,2,2,7,5,0
13,2,5,6,Hampton,20,6,4,1,4,0,2,4,4,0
13,2,5,14,Kingston,23,10,6,2,9,5,5,9,7,0
13,2,5,18,Norton,36,15,8,3,7,3,6,11,11,0
13,2,5,21,Sussex,60,14,10,6,9,3,8,13,12,0
13,2,5,24,Waterford,18,4,3,2,3,2,4,4,4,0
13,2,5,26,Cardwell,28,15,10,7,9,4,9,12,14,0
13,2,5,28,Havelock,49,17,13,6,9,4,9,11,13,0
13,2,5,31,Studholm,101,50,33,16,34,8,22,38,36,0
13,2,5,34,Springfield,37,18,10,2,10,2,13,14,16,0
13,2,5,36,Kars,27,7,4,1,5,0,4,5,6,0
13,2,5,57,Quispamsis,43,15,11,3,11,3,7,9,10,0
13,3,6,0,Albert,113,56,34,18,45,12,32,42,47,0
13,3,6,1,Hopewell,36,16,9,4,14,3,8,12,14,0
13,3,6,8,Elgin,31,14,6,5,10,2,11,12,12,0
13,3,6,11,Hillsborough,19,10,8,4,9,4,6,5,7,0
13,3,6,14,Coverdale,27,16,11,5,12,3,7,13,14,0
13,3,7,0,Westmorland,357,138,97,45,95,20,53,102,103,0
13,3,7,1,Westmorland,37,11,7,5,8,1,4,6,9,0
13,3,7,4,Botsford,45,14,12,6,8,1,5,11,10,0
13,3,7,5,Beaubassin East / Beaubassin-est,47,23,15,7,15,2,7,15,14,0
13,3,7,8,Sackville,58,16,10,5,10,1,5,10,10,0
13,3,7,13,Memramcook,35,12,9,7,9,4,2,10,10,0
13,3,7,19,Moncton,64,27,20,7,18,6,12,19,19,0
13,3,7,24,Salisbury,71,35,24,8,27,5,18,31,31,0
13,3,8,0,Kent,163,59,29,25,39,16,24,39,44,0
13,3,8,1,Dundas,24,10,7,7,6,4,6,6,6,0
13,3,8,4,Wellington,27,10,3,4,6,3,4,8,9,0
13,3,8,6,Saint Mary,22,2,2,0,0,0,1,1,1,0
13,3,8,8,Saint-Paul,30,11,6,4,6,3,5,8,9,0
13,3,8,14,Weldford,35,11,2,3,10,3,3,7,11,0
13,3,8,16,Richibucto,25,15,9,7,11,3,5,9,8,0
13,4,9,0,Northumberland,100,47,32,17,35,12,19,38,34,0
13,4,9,16,Rogersville,17,8,6,2,4,2,3,6,6,0
13,4,9,26,Southesk,29,15,10,7,12,3,6,14,12,0
13,4,9,31,Newcastle,21,13,7,5,12,6,5,12,10,0
13,4,9,36,Alnwick,33,11,9,3,7,1,5,6,6,0
13,1,10,0,York,280,119,86,38,82,20,65,88,97,0
13,1,10,4,Manners Sutton,29,12,9,2,8,1,9,8,10,0
13,1,10,16,Prince William,33,9,8,2,6,2,7,8,8,0
13,1,10,18,Kingsclear,32,15,9,9,15,6,9,13,14,0
13,1,10,21,Queensbury,28,14,9,3,11,3,6,10,10,0
13,1,10,24,Southampton,20,8,6,6,4,0,4,4,5,0
13,1,10,26,Bright,37,22,18,6,13,2,12,17,19,0
13,1,10,28,Douglas,43,15,12,7,12,3,8,12,12,0
13,1,10,31,Saint Marys,35,12,9,3,8,2,5,10,11,0
13,1,10,36,Stanley,23,12,6,0,5,1,5,6,8,0
13,1,11,0,Carleton,397,177,129,69,110,25,80,124,118,0
13,1,11,1,Richmond,34,15,11,7,10,2,8,11,8,0
13,1,11,4,Woodstock,34,16,9,5,10,1,6,14,13,0
13,1,11,8,Northampton,31,2,2,1,2,1,1,2,2,0
13,1,11,11,Brighton,33,10,9,4,9,2,7,9,9,0
13,1,11,14,Wakefield,55,21,14,7,14,3,10,13,15,0
13,1,11,18,Wilmot,40,15,12,8,11,2,7,11,11,0
13,1,11,24,Peel,42,24,16,9,14,3,8,18,16,0
13,1,11,26,Aberdeen,28,20,13,6,12,5,11,16,16,0
13,1,11,28,Kent,63,36,29,14,17,3,18,22,22,0
13,1,11,31,Wicklow,37,18,14,8,11,3,4,8,6,0
13,1,12,0,Victoria,150,76,59,28,47,9,30,57,47,0
13,1,12,4,Perth,43,15,10,7,10,2,5,10,9,0
13,1,12,14,Denmark,41,16,15,7,9,4,7,11,9,0
13,1,12,16,Grand Falls,30,20,15,10,12,1,11,16,13,0
13,1,12,21,Drummond,36,25,19,4,16,2,7,20,16,0
13,1,13,0,Madawaska,165,73,52,22,48,4,29,49,44,0
13,1,13,1,Saint-AndrÇ,36,22,19,8,12,0,9,14,12,0
13,1,13,4,Saint-LÇonard,20,7,4,1,6,1,2,6,6,0
13,1,13,15,Riviäre-Verte,26,7,4,2,4,0,2,4,3,0
13,1,13,22,Saint-Joseph,31,10,6,4,4,0,2,6,6,0
13,1,13,27,Edmundston,33,17,14,4,13,1,9,13,11,0
13,1,13,41,Saint-Franáois,19,10,5,3,9,2,5,6,6,0
13,4,14,0,Restigouche,92,41,37,10,27,6,20,26,27,0
13,4,14,1,Durham,28,13,12,4,9,3,6,10,11,0
13,4,14,8,Dalhousie,18,9,8,2,8,0,5,5,6,0
13,4,14,21,Saint-Quentin,46,19,17,4,10,3,9,11,10,0
13,4,15,0,Gloucester,192,86,64,21,57,11,40,52,58,0
13,4,15,1,Saumarez,35,18,12,3,12,3,5,9,10,0
13,4,15,8,Bathurst,45,19,15,6,17,5,11,17,17,0
13,4,15,16,New Bandon,27,11,11,4,6,1,6,5,7,0
13,4,15,21,Saint-Isidore,29,16,11,4,12,1,9,10,12,0
13,4,15,24,Inkerman,37,15,8,2,7,1,4,8,9,0
13,4,15,29,Shippagan,19,7,7,2,3,0,5,3,3,0
24,0,0,0,Quebec / QuÇbec,"30,675","15,862","12,298","5,008","9,466","1,566","7,110","10,896","9,125",4
24,1,0,0,Bas-Saint-Laurent,"2,300","1,236",988,368,761,105,532,829,698,1
24,2,0,0,Saguenay--Lac-Saint-Jean/Cìte-Nord,"1,184",675,555,215,390,69,283,410,359,0
24,3,0,0,QuÇbec,"1,157",597,458,203,398,71,243,411,383,0
24,4,0,0,Mauricie,"1,121",625,465,214,349,60,263,417,318,0
24,5,0,0,Estrie,"2,812","1,329","1,024",458,798,161,540,895,776,1
24,6,0,0,MontrÇal/Laval,225,89,69,24,67,23,37,57,57,0
24,7,0,0,Lanaudiäre,"1,700",907,679,301,547,94,418,608,520,0
24,8,0,0,Outaouais,"1,217",528,395,199,336,80,233,376,340,0
24,9,0,0,Laurentides,"1,448",685,525,207,437,110,302,483,410,0
24,10,0,0,Abitibi-TÇmiscamingue/Nord-du-QuÇbec,785,436,337,173,285,51,212,320,262,0
24,11,0,0,GaspÇsie--?les-de-la-Madeleine,315,129,93,41,92,23,49,93,88,0
24,12,0,0,Chaudiäre-Appalaches,"5,845","2,654","2,087",730,"1,442",151,"1,154","1,722","1,414",0
24,13,0,0,MontÇrÇgie,"7,118","4,004","3,075","1,224","2,449",425,"1,804","2,874","2,384",2
24,14,0,0,Centre-du-QuÇbec,"3,448","1,968","1,548",651,"1,115",143,"1,040","1,401","1,116",0
24,11,1,0,Les ?les-de-la-Madeleine,28,6,4,1,5,1,3,4,4,0
24,11,1,23,Les ?les-de-la-Madeleine,28,6,4,1,5,1,3,4,4,0
24,11,2,0,Le Rocher-PercÇ,31,10,7,2,9,3,5,8,8,0
24,11,2,5,PercÇ,31,10,7,2,9,3,5,8,8,0
24,11,3,0,La Cìte-de-GaspÇ,24,14,10,1,11,4,5,7,9,0
24,11,3,5,GaspÇ,24,14,10,1,11,4,5,7,9,0
24,11,4,0,La Haute-GaspÇsie,31,15,11,6,9,5,4,11,10,0
24,11,4,47,Cap-Chat,31,15,11,6,9,5,4,11,10,0
24,11,5,0,Bonaventure,122,51,41,22,38,6,18,39,35,0
24,11,5,10,Shigawake,36,13,12,7,10,4,6,10,9,0
24,11,5,45,Bonaventure,25,12,10,5,11,0,7,9,9,0
24,11,5,60,Caplan,31,12,8,6,8,1,2,8,8,0
24,11,5,70,New Richmond,30,14,11,4,9,1,3,12,9,0
24,11,6,0,Avignon,79,33,20,9,20,4,14,24,22,0
24,11,6,20,Nouvelle,36,16,9,1,11,0,6,10,10,0
24,11,6,25,Escuminac,19,5,4,4,4,2,3,5,4,0
24,11,6,50,Saint-Alexis-de-MatapÇdia,24,12,7,4,5,2,5,9,8,0
24,1,7,0,La MatapÇdia,240,134,105,42,87,9,54,92,77,0
24,1,7,18,Causapscal,21,15,12,9,10,1,10,12,10,0
24,1,7,30,Saint-LÇon-le-Grand,27,12,11,3,6,0,6,8,9,0
24,1,7,40,Sainte-Iräne,39,20,16,6,12,0,8,15,11,0
24,1,7,47,Amqui,53,30,23,10,22,4,9,19,16,0
24,1,7,57,Lac-au-Saumon,20,12,9,4,7,0,7,8,7,0
24,1,7,70,Saint-Tharcisius,21,7,5,3,4,1,2,3,3,0
24,1,7,80,Val-Brillant,25,19,14,1,13,1,6,14,12,0
24,1,7,85,Sayabec,16,7,5,2,4,1,3,3,2,0
24,1,7,105,Saint-Damase,18,12,10,4,9,1,3,10,7,0
24,1,8,0,Matane,157,89,76,32,61,11,41,61,57,0
24,1,8,23,Sainte-FÇlicitÇ,17,5,3,2,2,1,2,2,3,0
24,1,8,30,Saint-Adelme,21,11,8,4,5,0,2,5,3,0
24,1,8,53,Matane,46,27,25,13,21,4,13,20,17,0
24,1,8,65,Saint-LÇandre,17,10,7,2,10,1,3,6,7,0
24,1,8,73,Saint-Ulric,30,14,13,4,7,4,8,10,10,0
24,1,8,80,Baie-des-Sables,26,22,20,7,16,1,13,18,17,0
24,1,9,0,La Mitis,300,150,115,48,86,4,52,88,72,1
24,1,9,15,Les Hauteurs,33,16,13,2,6,0,2,5,5,0
24,1,9,20,Sainte-Jeanne-d'Arc,33,11,7,0,5,0,5,4,3,0
24,1,9,25,Saint-Gabriel-de-Rimouski,38,22,18,8,18,1,6,16,14,0
24,1,9,30,Saint-Donat,21,11,11,5,6,1,4,7,6,0
24,1,9,35,Sainte-Angäle-de-MÇrici,27,16,12,8,10,1,6,8,7,0
24,1,9,55,Saint-Octave-de-MÇtis,52,22,16,7,11,0,10,14,12,0
24,1,9,85,Sainte-Flavie,52,28,21,12,18,0,12,18,12,1
24,1,9,92,Sainte-Luce,44,24,17,6,12,1,7,16,13,0
24,1,10,0,Rimouski-Neigette,260,134,114,39,85,17,60,80,76,0
24,1,10,15,Saint-Narcisse-de-Rimouski,23,16,14,6,8,3,4,9,9,0
24,1,10,43,Rimouski,103,56,47,17,28,8,20,28,29,0
24,1,10,60,Saint-ValÇrien,24,10,6,2,8,1,5,8,8,0
24,1,10,65,Le Bic,34,20,19,4,16,0,10,12,10,0
24,1,10,70,Saint-Fabien,44,24,20,7,17,3,16,17,14,0
24,1,10,75,Saint-Eugäne-de-Ladriäre,32,8,8,3,8,2,5,6,6,0
24,1,11,0,Les Basques,211,113,85,30,70,8,47,82,63,0
24,1,11,5,Saint-ClÇment,25,14,10,4,6,0,8,11,6,0
24,1,11,10,Saint-Jean-de-Dieu,44,19,17,7,11,0,10,12,11,0
24,1,11,15,Sainte-Rita,33,17,12,4,13,4,10,11,5,0
24,1,11,30,Sainte-Franáoise,22,9,7,3,7,2,5,7,6,0
24,1,11,35,Saint-êloi,23,14,9,3,12,0,3,12,11,0
24,1,11,45,Notre-Dame-des-Neiges,35,20,15,6,8,1,4,14,13,0
24,1,11,55,Saint-Simon,29,20,15,3,13,1,7,15,11,0
24,1,12,0,Riviäre-du-Loup,296,164,127,50,100,13,75,114,98,0
24,1,12,5,Saint-Cyprien,32,17,13,3,12,1,8,14,12,0
24,1,12,10,Saint-Hubert-de-Riviäre-du-Loup,28,14,11,7,10,1,9,11,9,0
24,1,12,15,Saint-Antonin,34,16,11,7,10,2,10,9,10,0
24,1,12,30,Saint-êpiphane,41,24,21,11,15,3,13,18,17,0
24,1,12,43,L'Isle-Verte,48,25,18,6,14,1,10,17,14,0
24,1,12,60,Saint-Georges-de-Cacouna,29,13,6,4,6,0,1,10,9,0
24,1,12,65,Saint-Arsäne,51,36,30,5,21,1,19,24,18,0
24,1,12,72,Riviäre-du-Loup,33,19,17,7,12,4,5,11,9,0
24,1,13,0,TÇmiscouata,393,173,140,51,104,19,69,111,92,0
24,1,13,5,DÇgelis,42,21,15,7,12,0,7,12,9,0
24,1,13,25,Riviäre-Bleue,45,12,7,2,6,1,3,8,6,0
24,1,13,30,Saint-Eusäbe,25,10,8,3,5,1,2,5,3,0
24,1,13,35,Notre-Dame-du-Lac,28,14,11,4,12,2,9,12,12,0
24,1,13,45,Auclair,31,15,14,4,12,2,7,10,7,0
24,1,13,50,Lejeune,21,7,7,2,5,1,3,5,5,0
24,1,13,55,Biencourt,41,16,15,3,8,2,7,8,6,0
24,1,13,65,Saint-Michel-du-Squatec,44,17,13,7,11,3,5,12,9,0
24,1,13,70,Cabano,28,21,18,6,12,2,8,13,13,0
24,1,13,80,Saint-Louis-du-Ha! Ha!,20,13,10,4,6,0,5,9,7,0
24,1,13,95,PohÇnÇgamook,49,21,17,8,12,4,9,14,11,0
24,1,13,100,Saint-Athanase,19,6,5,1,3,1,4,3,4,0
24,1,14,0,Kamouraska,443,279,226,76,168,24,134,201,163,0
24,1,14,5,Mont-Carmel,32,22,18,7,11,2,10,11,9,0
24,1,14,18,Saint-Pascal,44,28,21,4,16,3,13,21,14,0
24,1,14,25,Sainte-HÇläne,26,13,12,6,10,1,8,10,10,0
24,1,14,30,Saint-Joseph-de-Kamouraska,28,19,13,4,13,0,4,13,10,0
24,1,14,35,Saint-Alexandre-de-Kamouraska,50,30,27,12,15,4,12,19,14,0
24,1,14,40,Saint-AndrÇ,37,22,18,4,14,4,14,16,15,0
24,1,14,50,Kamouraska,38,29,22,8,18,3,13,22,15,0
24,1,14,55,Saint-Denis,31,22,20,7,14,2,13,18,16,0
24,1,14,60,Saint-Philippe-de-NÇri,24,11,9,4,7,2,7,9,8,0
24,1,14,65,Riviäre-Ouelle,32,25,20,3,12,0,15,16,13,0
24,1,14,80,Saint-OnÇsime-d'Ixworth,35,19,16,3,10,1,7,13,10,0
24,1,14,90,Sainte-Anne-de-la-Pocatiäre,66,39,30,14,28,2,18,33,29,0
24,3,15,0,Charlevoix-Est,67,37,27,13,24,4,15,26,24,0
24,3,15,5,Saint-IrÇnÇe,19,11,11,5,6,0,4,8,6,0
24,3,15,13,La Malbaie,48,26,16,8,18,4,11,18,18,0
