HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NCHEMSF,CHEMSF,ECHEMSF,NTILLSF,TILLSF,ETILLSF,NCOMBSF,COMBSF,ECOMBSF,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NFUNGIC,FUNGIC,EFUNGIC,NFERTIL,FERTIL,EFERTIL,NLIME,LIME,ELIME,NCROPROT,NROTGRAZ,NCOVCROP,NGRNMAN,NBUFFZON,NWINDYES,NMANURNY,NMAPPLY,NMSOLD,NMBOUGHT,NMANOTH,NMCOMPIN,MCOMPIN,EMCOMPIN,NMCOMPIN1,NMCOMPIN2,NMCOMPIN3,NMCOMPNO,MCOMPNO,EMCOMPNO,NMCOMPNO1,NMCOMPNO2,NMCOMPNO3,NMSOLIN,MSOLIN,EMSOLIN,NMSOLIN1,NMSOLIN2,NMSOLIN3,NMSOLNO,MSOLNO,EMSOLNO,NMSOLNO1,NMSOLNO2,NMSOLNO3,NMLIQINJ,MLIQINJ,EMLIQINJ,NMLIQINJ1,NMLIQINJ2,NMLIQINJ3,NMLIQSUR,MLIQSUR,EMLIQSUR,NMLIQSUR1,NMLIQSUR2,NMLIQSUR3,NMIRRIG,MIRRIG,EMIRRIG,NMIRRIG1,NMIRRIG2,NMIRRIG3,NTILARS,TILARS,ETILARS,NTILCONV,TILCONV,ETILCONV,NTILCONS,TILCONS,ETILCONS,NTILLNO,TILLNO,ETILLNO,NIRRIG,IRRIG,EIRRIG,NIRRFLD,IRRFLD,EIRRFLD,NIRRHAY,IRRHAY,EIRRHAY,NIRRVEG,IRRVEG,EIRRVEG,NIRRFRT,IRRFRT,EIRRFRT,NIRROTH,IRROTH,EIRROTH
10,1,1,357,"Division No.  1, Subd. H",22,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,7,115,47,3,21,8,5,3,0,1,3,3,9,6,1,1,2,0,0,0,0,0,0,2,x,x,1,1,0,2,x,x,0,2,0,2,x,x,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,8,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,472,Holyrood,37,0,0,0,0,0,0,0,0,0,6,465,188,3,100,40,4,76,31,21,"1,023",414,8,58,23,14,8,3,6,6,9,21,18,3,4,3,11,171,69,6,3,4,3,62,25,1,2,1,1,x,x,1,0,0,5,162,66,1,5,0,0,0,0,0,0,0,2,x,x,1,2,0,0,0,0,0,0,0,15,196,79,12,170,69,3,21,8,3,5,2,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
10,1,1,519,St. John's,125,0,0,0,0,0,0,1,x,x,24,500,202,24,238,96,4,37,15,68,"3,390","1,372",40,824,333,58,13,11,33,34,35,83,78,13,37,10,24,916,371,16,10,7,7,147,59,1,6,1,29,414,168,19,14,4,26,878,355,4,25,1,7,876,355,2,6,0,7,994,402,0,7,1,0,0,0,0,0,0,65,"1,102",446,46,949,384,11,51,21,12,102,41,9,x,x,0,0,0,0,0,0,5,x,x,5,26,11,0,0,0
10,3,4,0,Division No.  4,55,0,0,0,1,x,x,0,0,0,11,902,365,10,98,40,4,44,18,36,"3,189","1,291",15,587,238,23,7,3,10,5,14,23,18,2,2,6,4,38,15,1,3,0,4,37,15,0,3,1,4,151,61,0,4,0,5,92,37,2,5,0,1,x,x,1,0,0,4,"1,065",431,1,4,0,0,0,0,0,0,0,29,"1,304",528,20,"1,205",488,5,45,18,7,54,22,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0
10,3,4,1,"Division No.  4, Subd. A",18,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,12,"2,457",994,3,303,123,6,3,1,2,1,6,8,6,0,1,2,0,0,0,0,0,0,1,x,x,0,0,1,2,x,x,0,2,0,1,x,x,0,1,0,0,0,0,0,0,0,2,x,x,1,2,0,0,0,0,0,0,0,8,921,373,5,882,357,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,6,"Division No.  4, Subd. B",21,0,0,0,1,x,x,0,0,0,6,56,23,7,65,26,4,44,18,16,536,217,7,144,58,11,3,1,4,2,6,9,7,0,0,3,3,x,x,0,3,0,1,x,x,0,1,0,1,x,x,0,1,0,3,x,x,1,3,0,0,0,0,0,0,0,1,x,x,0,1,0,0,0,0,0,0,0,13,283,115,11,251,102,3,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0
10,3,4,16,"Division No.  4, Subd. D",16,0,0,0,0,0,0,0,0,0,4,x,x,3,33,13,0,0,0,8,196,79,5,140,57,6,1,1,4,2,2,6,5,2,1,1,1,x,x,1,0,0,2,x,x,0,2,0,1,x,x,0,1,0,1,x,x,1,1,0,1,x,x,1,0,0,1,x,x,0,1,0,0,0,0,0,0,0,8,100,40,4,72,29,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,5,0,Division No.  5,83,0,0,0,4,x,x,0,0,0,22,682,276,11,217,88,6,151,61,43,"3,905","1,580",24,909,368,36,14,3,16,25,40,43,35,5,6,8,9,196,79,2,6,1,4,20,8,0,3,1,9,281,114,2,7,0,7,438,177,2,6,0,4,x,x,3,1,0,10,"2,371",960,5,9,0,0,0,0,0,0,0,41,"1,412",571,34,"1,276",516,7,66,27,6,70,28,5,x,x,2,x,x,1,x,x,2,x,x,2,x,x,1,x,x
10,3,5,7,"Division No.  5, Subd. E",54,0,0,0,4,x,x,0,0,0,13,265,107,6,78,32,3,43,17,27,"2,521","1,020",16,697,282,26,11,3,11,18,30,30,25,2,4,7,7,x,x,1,6,0,3,x,x,0,3,0,8,x,x,1,7,0,3,43,17,0,3,0,2,x,x,2,0,0,7,"1,884",762,3,7,0,0,0,0,0,0,0,25,531,215,22,477,193,4,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
10,3,5,10,"Division No.  5, Subd. F",29,0,0,0,0,0,0,0,0,0,9,417,169,5,139,56,3,108,44,16,"1,384",560,8,212,86,10,3,0,5,7,10,13,10,3,2,1,2,x,x,1,0,1,1,x,x,0,0,1,1,x,x,1,0,0,4,395,160,2,3,0,2,x,x,1,1,0,3,487,197,2,2,0,0,0,0,0,0,0,16,881,357,12,799,323,3,x,x,4,x,x,3,94,38,1,x,x,0,0,0,2,x,x,2,x,x,1,x,x
10,2,6,0,Division No.  6,42,0,0,0,2,x,x,1,x,x,13,407,165,8,159,64,5,61,25,20,"1,115",451,12,293,119,18,4,5,6,16,16,13,9,3,3,6,2,x,x,1,0,1,1,x,x,0,0,1,3,17,7,0,3,1,2,x,x,0,2,0,2,x,x,1,1,0,1,x,x,0,1,0,0,0,0,0,0,0,21,370,150,19,362,146,3,8,3,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
10,2,6,14,"Division No.  6, Subd. C",42,0,0,0,2,x,x,1,x,x,13,407,165,8,159,64,5,61,25,20,"1,115",451,12,293,119,18,4,5,6,16,16,13,9,3,3,6,2,x,x,1,0,1,1,x,x,0,0,1,3,17,7,0,3,1,2,x,x,0,2,0,2,x,x,1,1,0,1,x,x,0,1,0,0,0,0,0,0,0,21,370,150,19,362,146,3,8,3,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
10,2,7,0,Division No.  7,59,0,0,0,1,x,x,2,x,x,17,527,213,15,241,98,7,138,56,32,"1,373",556,17,744,301,27,7,7,10,18,21,24,20,7,2,3,5,x,x,3,1,1,3,x,x,0,1,2,6,248,100,3,4,0,6,455,184,0,4,2,1,x,x,0,1,0,2,x,x,0,2,2,0,0,0,0,0,0,34,775,314,27,631,255,6,x,x,7,x,x,6,122,49,1,x,x,0,0,0,3,22,9,4,x,x,1,x,x
10,2,7,9,"Division No.  7, Subd. K",17,0,0,0,1,x,x,0,0,0,5,63,25,3,22,9,2,x,x,9,278,113,4,58,23,7,6,2,3,6,4,9,7,3,0,1,2,x,x,2,0,0,1,x,x,0,0,1,1,x,x,0,1,0,2,x,x,0,1,1,1,x,x,0,1,0,1,x,x,0,1,1,0,0,0,0,0,0,8,111,45,6,72,29,2,x,x,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0
10,2,7,31,"Division No.  7, Subd. E",24,0,0,0,0,0,0,2,x,x,9,366,148,6,116,47,5,x,x,14,929,376,8,622,252,13,1,5,6,9,11,12,10,3,2,2,2,x,x,1,0,1,2,x,x,0,1,1,3,235,95,2,2,0,4,x,x,0,3,1,0,0,0,0,0,0,1,x,x,0,1,1,0,0,0,0,0,0,15,571,231,12,484,196,3,54,22,3,33,13,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0
10,2,7,38,"Division No.  7, Subd. D",18,0,0,0,0,0,0,0,0,0,3,98,40,6,103,42,0,0,0,9,166,67,5,64,26,7,0,0,1,3,6,3,3,1,0,0,1,x,x,0,1,0,0,0,0,0,0,0,2,x,x,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,93,38,9,75,30,1,x,x,3,x,x,3,63,25,1,x,x,0,0,0,2,x,x,1,x,x,1,x,x
10,2,8,0,Division No.  8,53,0,0,0,3,x,x,1,x,x,17,176,71,18,159,64,4,34,14,27,344,139,22,252,102,28,11,2,14,11,16,24,19,2,6,9,4,70,28,3,2,1,4,49,20,0,4,0,4,55,22,0,4,1,5,x,x,1,3,1,3,32,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,322,130,27,294,119,4,x,x,1,x,x,8,x,x,3,6,2,0,0,0,4,8,3,3,19,8,1,x,x
10,2,8,36,"Division No.  8, Subd. G",32,0,0,0,1,x,x,0,0,0,8,107,43,7,110,45,2,x,x,14,219,89,11,147,59,13,10,2,5,7,9,17,13,2,5,5,3,x,x,2,2,1,4,49,20,0,4,0,2,x,x,0,2,1,4,12,5,1,2,1,1,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,177,72,12,x,x,2,x,x,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
10,2,8,58,"Division No.  8, Subd. C",21,0,0,0,2,x,x,1,x,x,9,69,28,11,49,20,2,x,x,13,125,51,11,105,42,15,1,0,9,4,7,7,6,0,1,4,1,x,x,1,0,0,0,0,0,0,0,0,2,x,x,0,2,0,1,x,x,0,1,0,2,x,x,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,145,59,15,x,x,2,x,x,0,0,0,6,x,x,3,6,2,0,0,0,4,8,3,2,x,x,0,0,0
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,3,x,x,10,161,65,3,x,x,402,"78,938","31,945",175,"27,108","10,970",153,"31,624","12,798",506,"111,776","45,234",305,"29,065","11,762",590,315,144,214,439,395,654,589,86,46,61,155,"7,826","3,167",88,80,12,116,"3,938","1,594",15,110,2,213,"12,211","4,942",163,83,9,214,"11,629","4,706",25,201,7,48,"7,610","3,080",46,6,0,50,"5,831","2,360",11,45,0,3,x,x,1,3,0,542,"102,440","41,456",465,"75,385","30,507",115,"22,910","9,271",28,"4,145","1,677",15,661,267,2,x,x,0,0,0,7,364,147,6,x,x,0,0,0
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",4,79,32,18,277,112,9,215,87,876,"216,708","87,699",478,"99,247","40,164",425,"103,386","41,839","1,075","277,236","112,193",651,"85,013","34,404","1,234",543,304,491,890,804,"1,246","1,098",204,115,123,350,"20,191","8,171",225,157,21,208,"6,697","2,710",33,190,5,404,"23,542","9,527",315,137,14,322,"16,807","6,802",50,290,12,84,"12,414","5,024",79,17,2,74,"8,637","3,495",20,63,0,4,285,115,1,3,1,"1,135","271,746","109,972",986,"211,603","85,633",238,"52,172","21,113",60,"7,971","3,226",55,"4,376","1,771",24,"3,795","1,536",0,0,0,11,439,178,19,106,43,3,36,15
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,0,0,0,3,20,8,3,65,26,143,"41,940","16,973",78,"17,540","7,098",72,"20,675","8,367",173,"44,799","18,130",95,"18,126","7,335",198,91,48,80,134,137,171,150,25,9,22,51,"1,490",603,30,29,4,38,"1,087",440,5,34,2,46,"2,246",909,35,15,1,38,"1,409",570,6,31,4,14,"1,440",583,14,3,1,5,680,275,1,4,0,1,x,x,0,0,1,180,"47,344","19,159",150,"31,749","12,848",42,"13,141","5,318",16,"2,454",993,4,22,9,0,0,0,0,0,0,1,x,x,4,x,x,0,0,0
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,1,x,x,5,96,39,3,x,x,331,"95,830","38,781",225,"54,599","22,095",200,"51,087","20,674",396,"120,661","48,830",251,"37,822","15,306",446,137,112,197,317,272,421,359,93,60,40,144,"10,875","4,401",107,48,5,54,"1,672",677,13,46,1,145,"9,085","3,677",117,39,4,70,"3,769","1,525",19,58,1,22,"3,364","1,361",19,8,1,19,"2,126",860,8,14,0,0,0,0,0,0,0,413,"121,962","49,356",371,"104,469","42,277",81,"16,121","6,524",16,"1,372",555,36,"3,693","1,495",22,x,x,0,0,0,3,x,x,9,58,23,3,36,15
11,1,1,0,Kings,286,0,0,0,3,20,8,3,65,26,143,"41,940","16,973",78,"17,540","7,098",72,"20,675","8,367",173,"44,799","18,130",95,"18,126","7,335",198,91,48,80,134,137,171,150,25,9,22,51,"1,490",603,30,29,4,38,"1,087",440,5,34,2,46,"2,246",909,35,15,1,38,"1,409",570,6,31,4,14,"1,440",583,14,3,1,5,680,275,1,4,0,1,x,x,0,0,1,180,"47,344","19,159",150,"31,749","12,848",42,"13,141","5,318",16,"2,454",993,4,22,9,0,0,0,0,0,0,1,x,x,4,x,x,0,0,0
11,1,1,1,Lot 64,34,0,0,0,1,x,x,0,0,0,14,"2,412",976,5,632,256,5,882,357,14,"2,263",916,7,544,220,23,8,7,9,14,14,22,17,3,1,6,6,183,74,4,3,0,2,x,x,0,2,0,5,295,119,4,2,0,4,301,122,0,4,0,1,x,x,1,0,0,0,0,0,0,0,0,1,x,x,0,0,1,19,"3,050","1,234",15,"1,901",769,8,"1,149",465,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0
11,1,1,9,Lot 59,25,0,0,0,0,0,0,1,x,x,12,"1,171",474,7,809,327,5,777,314,19,"1,421",575,8,755,306,17,6,6,7,10,11,10,9,3,0,3,1,x,x,0,1,0,3,51,21,1,3,0,2,x,x,1,1,0,3,190,77,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"1,499",607,13,"1,402",567,3,97,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,14,Lot 51,17,0,0,0,0,0,0,0,0,0,6,"1,807",731,2,x,x,3,"1,320",534,11,"3,147","1,274",3,165,67,11,6,5,5,6,9,13,12,1,2,1,4,63,25,1,3,0,3,50,20,0,3,0,4,160,65,2,2,0,3,80,32,1,3,0,1,x,x,1,0,0,2,x,x,0,2,0,0,0,0,0,0,0,12,"3,599","1,456",9,"3,102","1,255",3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,16,Lot 52,24,0,0,0,1,x,x,0,0,0,17,"3,476","1,407",12,864,350,10,"1,435",581,18,"3,134","1,268",7,789,319,16,7,3,4,12,12,16,13,3,1,2,3,67,27,2,2,0,3,65,26,0,2,1,1,x,x,1,0,0,4,62,25,0,3,1,3,231,93,3,0,0,1,x,x,1,0,0,0,0,0,0,0,0,15,"3,431","1,388",11,x,x,4,"2,252",911,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,26,Lot 54,21,0,0,0,0,0,0,0,0,0,9,"2,376",962,2,x,x,2,x,x,11,"2,660","1,076",6,790,320,13,12,3,5,11,9,16,14,2,0,1,6,189,76,3,4,1,3,44,18,0,3,0,6,139,56,4,2,0,5,140,57,1,3,1,1,x,x,1,0,0,1,x,x,0,1,0,0,0,0,0,0,0,13,"2,952","1,195",12,"2,216",897,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
