HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTWHT,TOTWHT,ETOTWHT,NWHTSPG,WHTSPG,EWHTSPG,NWHTDUR,WHTDUR,EWHTDUR,NWHTWIN,WHTWIN,EWHTWIN,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NTOTCORN,TOTCORN,ETOTCRN,NCORNGR,CORNGR,ECORNGR,NCORNSI,CORNSI,ECORNSI,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NCANOLA,CANOLA,ECANOLA,NSOYBNS,SOYBNS,ESOYBNS,NFLAXSD,FLAXSD,EFLAXSD,NDFPEAS,DFPEAS,EDFPEAS,NCHICPEA,CHICPEA,ECHICPEA,NLENTIL,LENTIL,ELENTIL,NWHITBN,WHITBN,EWHITBN,NODFBNS,ODFBNS,EODFBNS,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NFORAGE,FORAGE,EFORAGE,NPOTATS,POTATS,EPOTATS,NMUSTSD,MUSTSD,EMUSTSD,NSUNFLS,SUNFLS,ESUNFLS,NCANARY,CANARY,ECANARY,NTOBACO,TOBACO,ETOBACO,NGINSENG,GINSENG,EGINSENG,NBUCWHT,BUCWHT,EBUCWHT,NSUGARB,SUGARB,ESUGARB,NCARAWAY,CARAWAY,ECARAWAY,NTRITCL,TRITCL,ETRITCL,NOFIELD,OFIELD,EOFIELD
10,1,1,357,"Division No.  1, Subd. H",22,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,8,223,90,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,472,Holyrood,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,17,555,225,0,0,0,9,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,519,St. John's,125,1,x,x,1,x,x,0,0,0,0,0,0,4,42,17,0,0,0,1,x,x,15,451,183,0,0,0,15,451,183,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,866,350,61,"3,365","1,362",0,0,0,32,74,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,0,Division No.  4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,434,176,25,"2,601","1,053",1,x,x,15,124,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,1,"Division No.  4, Subd. A",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,290,117,9,"1,279",518,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,6,"Division No.  4, Subd. B",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,144,58,9,612,248,1,x,x,7,89,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,16,"Division No.  4, Subd. D",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,710,287,0,0,0,6,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,5,0,Division No.  5,83,0,0,0,0,0,0,0,0,0,0,0,0,4,53,21,1,x,x,0,0,0,6,x,x,0,0,0,6,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,661,267,31,"3,450","1,396",2,x,x,10,226,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,5,7,"Division No.  5, Subd. E",54,0,0,0,0,0,0,0,0,0,0,0,0,4,53,21,1,x,x,0,0,0,3,x,x,0,0,0,3,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,566,229,24,"2,134",864,1,x,x,7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,5,10,"Division No.  5, Subd. F",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,172,70,0,0,0,3,172,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,95,38,7,"1,316",533,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,6,0,Division No.  6,42,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,11,289,117,0,0,0,14,81,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,6,14,"Division No.  6, Subd. C",42,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,11,289,117,0,0,0,14,81,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7,0,Division No.  7,59,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,4,x,x,0,0,0,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,412,167,16,"1,278",517,1,x,x,17,103,42,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7,9,"Division No.  7, Subd. K",17,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,3,x,x,0,0,0,5,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7,31,"Division No.  7, Subd. E",24,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,3,95,38,0,0,0,3,95,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,12,"1,227",497,1,x,x,7,66,27,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7,38,"Division No.  7, Subd. D",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,5,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,8,0,Division No.  8,53,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,11,165,67,1,x,x,25,127,51,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,8,36,"Division No.  8, Subd. G",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,7,99,40,1,x,x,10,56,23,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,8,58,"Division No.  8, Subd. C",21,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,4,66,27,0,0,0,15,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",187,"27,872","11,279",151,"22,900","9,267",0,0,0,54,"4,972","2,012",281,"12,551","5,079",561,"79,248","32,071",176,"10,122","4,096",131,"6,404","2,592",15,"2,022",818,119,"4,382","1,773",58,"5,449","2,205",44,"4,303","1,741",15,"1,146",464,4,158,64,89,"11,318","4,580",5,251,102,2,x,x,0,0,0,0,0,0,0,0,0,5,71,29,350,"36,402","14,731",993,"121,003","48,968",6,501,203,412,"97,637","39,512",0,0,0,6,19,8,0,0,0,1,x,x,1,x,x,11,463,187,0,0,0,0,0,0,0,0,0,8,461,187
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,31,"5,266","2,131",22,"4,337","1,755",0,0,0,13,929,376,48,"1,789",724,71,"14,631","5,921",21,"1,709",692,10,342,138,1,x,x,9,x,x,9,528,214,8,x,x,1,x,x,0,0,0,17,"2,592","1,049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,60,"7,126","2,884",147,"18,362","7,431",3,x,x,58,"16,982","6,872",0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,1,x,x
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,98,"14,203","5,748",76,"11,432","4,626",0,0,0,34,"2,771","1,121",114,"4,531","1,834",250,"27,951","11,311",122,"6,527","2,641",62,"4,148","1,679",11,"1,927",780,53,"2,221",899,20,"1,928",780,17,x,x,4,x,x,2,x,x,58,"8,043","3,255",5,251,102,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,165,"15,238","6,167",515,"57,312","23,193",1,x,x,138,"25,156","10,180",0,0,0,2,x,x,0,0,0,1,x,x,1,x,x,6,405,164,0,0,0,0,0,0,0,0,0,5,247,100
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,58,"8,403","3,401",53,"7,131","2,886",0,0,0,7,"1,272",515,119,"6,231","2,522",240,"36,666","14,838",33,"1,886",763,59,"1,914",775,3,x,x,57,x,x,29,"2,993","1,211",19,"2,470","1,000",10,523,212,2,x,x,14,683,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,"14,038","5,681",331,"45,329","18,344",2,x,x,216,"55,499","22,460",0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x
11,1,1,0,Kings,286,31,"5,266","2,131",22,"4,337","1,755",0,0,0,13,929,376,48,"1,789",724,71,"14,631","5,921",21,"1,709",692,10,342,138,1,x,x,9,x,x,9,528,214,8,x,x,1,x,x,0,0,0,17,"2,592","1,049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,60,"7,126","2,884",147,"18,362","7,431",3,x,x,58,"16,982","6,872",0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,1,x,x
11,1,1,1,Lot 64,34,7,"1,050",425,5,542,219,0,0,0,3,508,206,5,289,117,7,470,190,1,x,x,2,x,x,0,0,0,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,4,442,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,8,582,236,18,"1,467",594,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,9,Lot 59,25,1,x,x,1,x,x,0,0,0,0,0,0,6,201,81,1,x,x,3,77,31,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,11,825,334,0,0,0,5,816,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,14,Lot 51,17,3,x,x,2,x,x,0,0,0,1,x,x,1,x,x,4,270,109,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,500,202,13,"1,662",673,0,0,0,3,"1,320",534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,16,Lot 52,24,2,x,x,2,x,x,0,0,0,0,0,0,3,90,36,7,520,210,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,171,69,7,424,172,1,x,x,4,536,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,26,Lot 54,21,5,637,258,4,x,x,0,0,0,2,x,x,5,118,48,6,"1,340",542,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,14,942,381,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,28,Lot 55,19,1,x,x,1,x,x,0,0,0,0,0,0,3,64,26,2,x,x,2,x,x,3,x,x,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,212,86,10,935,378,0,0,0,3,248,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,32,Lot 44,23,1,x,x,0,0,0,0,0,0,1,x,x,7,257,104,5,"2,000",809,2,x,x,0,0,0,0,0,0,0,0,0,3,63,25,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,740,299,9,"1,848",748,0,0,0,5,"2,595","1,050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,34,Lot 45,30,4,161,65,2,x,x,0,0,0,2,x,x,5,110,45,11,"3,022","1,223",4,207,84,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,788,319,19,"4,662","1,887",0,0,0,14,"5,506","2,228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
11,1,1,42,Lot 41,24,1,x,x,0,0,0,0,0,0,1,x,x,4,x,x,9,"2,503","1,013",0,0,0,2,x,x,0,0,0,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,437,177,13,"1,883",762,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,46,Lot 40,31,4,659,267,4,x,x,0,0,0,2,x,x,4,409,166,12,"3,037","1,229",1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,320,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,7,"1,998",809,18,"2,262",915,0,0,0,11,"2,883","1,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,49,Lot 39,19,2,x,x,1,x,x,0,0,0,1,x,x,4,163,66,4,846,342,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,403,163,7,642,260,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
