HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NFEEDPD,FEEDPD,NLVSTPD,LVSTPD,NVETSER,VETSER,NCUSTWRK,CUSTWRK,NTCSHWGE,TCSHWGE,NCSHWGEF,CSHWGEF,NCSHWGENF,CSHWGENF,NFUEL,FUEL,NREPMCH,REPMCH,NREPBLDG,REPBLDG,NRNTEXP,RNTEXP,NRNTMCH,RNTMCH,NUTILEXP,UTILEXP,NTOTINT,TOTINT,NOTHEXP,OTHEXP,NTOTEXP,TOTEXP,NFEEDCO,FEEDCO,NPDLBSL,PDLBSL,NPDLBYR,PDLBYR,NTOTLAB,TOTLAB
10,1,1,357,"Division No.  1, Subd. H",22,9,x,6,"10,152",8,"54,112",8,"112,779",1,x,7,"5,568",4,"23,361",14,"439,176",7,x,12,x,19,"100,831",18,"58,787",13,"45,382",7,"2,411",1,x,17,"71,602",8,"20,312",19,"148,367",22,"1,125,312",8,"108,359",12,435,4,460,14,895
10,1,1,472,Holyrood,37,29,x,12,x,17,x,13,x,7,x,11,x,13,x,22,"1,863,609",13,"365,729",20,"1,497,880",33,"298,293",28,"212,307",27,x,8,"4,529",5,x,26,x,12,x,21,"871,864",37,"9,338,976",10,x,17,"1,369",9,"1,775",22,"3,144"
10,1,1,519,St. John's,125,88,"472,244",45,x,78,"841,425",63,"15,114,928",39,x,51,"357,613",45,"2,540,858",75,"4,317,908",47,"1,150,296",68,"3,167,612",119,"1,656,721",107,"1,005,945",81,"449,931",36,"104,515",7,x,98,"664,671",49,"745,578",103,"2,813,971",125,"39,111,385",62,"14,703,754",55,"7,680",37,"5,772",75,"13,452"
10,3,4,0,Division No.  4,55,40,"374,347",18,"72,629",28,"224,249",21,"532,225",6,x,17,"61,182",9,"50,089",30,"880,082",7,"270,373",28,"609,709",48,"329,435",43,"405,277",36,"256,971",14,"32,124",3,x,34,"120,500",22,"358,898",39,"315,312",55,"4,057,168",17,"353,217",28,"1,086",4,774,30,"1,860"
10,3,4,1,"Division No.  4, Subd. A",18,13,x,3,x,6,x,9,x,2,x,6,x,3,x,7,x,2,x,7,x,16,x,15,x,12,x,5,x,0,0,10,"61,385",4,x,13,"135,521",18,x,7,x,6,x,2,x,7,939
10,3,4,6,"Division No.  4, Subd. B",21,15,"76,273",10,"25,462",12,"169,189",6,x,1,x,7,x,3,"27,927",13,"272,035",5,x,11,x,19,"82,376",16,"62,723",15,"29,705",8,x,2,x,14,"37,419",11,x,13,"63,779",21,x,4,"18,812",12,x,2,x,13,713
10,3,4,16,"Division No.  4, Subd. D",16,12,x,5,x,10,x,6,x,3,x,4,x,3,x,10,x,0,0,10,x,13,x,12,x,9,x,1,x,1,x,10,"21,696",7,"17,183",13,"116,012",16,x,6,x,10,208,0,0,10,208
10,3,5,0,Division No.  5,83,60,"480,093",33,"100,377",43,"222,077",37,"4,408,085",14,x,26,"289,222",20,"887,551",43,"2,712,402",19,"830,193",39,"1,882,209",74,"792,754",68,"564,365",52,"305,799",35,"60,057",16,x,67,"390,477",35,"1,107,188",67,"3,141,883",83,"15,993,275",31,"3,558,177",35,"1,677",15,"3,485",43,"5,162"
10,3,5,7,"Division No.  5, Subd. E",54,36,"313,446",17,"29,945",26,"77,678",28,"2,600,626",11,x,18,"181,389",15,x,24,"1,358,479",10,"475,539",23,"882,940",48,"431,130",42,"309,026",33,"112,376",23,"25,198",9,x,42,"218,544",24,"752,531",43,"1,491,401",54,"8,840,778",23,"1,751,127",18,957,10,"1,865",24,"2,822"
10,3,5,10,"Division No.  5, Subd. F",29,24,"166,647",16,"70,432",17,"144,399",9,"1,807,459",3,"161,752",8,"107,833",5,x,19,"1,353,923",9,"354,654",16,"999,269",26,"361,624",26,"255,339",19,"193,423",12,"34,859",7,x,25,"171,933",11,"354,657",24,"1,650,482",29,"7,152,497",8,"1,807,050",17,720,5,"1,620",19,"2,340"
10,2,6,0,Division No.  6,42,32,"134,106",18,x,23,"97,439",14,"1,105,678",2,x,10,x,16,"307,697",27,"1,279,117",18,"491,620",24,"787,497",38,"220,246",34,"209,668",25,"119,887",10,"5,070",4,x,30,"93,319",20,"116,753",33,"866,130",42,"4,943,510",11,"1,075,394",25,"1,390",4,"1,061",27,"2,451"
10,2,6,14,"Division No.  6, Subd. C",42,32,"134,106",18,x,23,"97,439",14,"1,105,678",2,x,10,x,16,"307,697",27,"1,279,117",18,"491,620",24,"787,497",38,"220,246",34,"209,668",25,"119,887",10,"5,070",4,x,30,"93,319",20,"116,753",33,"866,130",42,"4,943,510",11,"1,075,394",25,"1,390",4,"1,061",27,"2,451"
10,2,7,0,Division No.  7,59,40,"155,551",20,"49,151",39,"164,093",24,"2,597,226",18,"467,146",22,"99,913",14,"269,034",39,"2,013,820",17,"503,119",32,"1,510,701",52,"336,779",50,"402,632",36,"89,939",19,"23,114",9,"140,161",50,"254,510",24,"389,098",50,"661,097",59,"8,113,264",21,"2,518,302",32,"1,714",15,"2,619",39,"4,333"
10,2,7,9,"Division No.  7, Subd. K",17,11,"33,178",4,"21,800",9,"24,958",12,x,6,"40,297",11,x,6,x,9,"770,951",4,x,7,x,17,"90,921",14,"53,035",8,x,9,x,3,x,12,"72,951",5,"51,500",14,"176,012",17,"2,187,082",11,x,6,342,3,"1,168",9,"1,510"
10,2,7,31,"Division No.  7, Subd. E",24,17,"84,256",9,"20,385",17,"82,717",11,"1,889,450",9,"424,087",10,"78,726",7,"137,385",18,"1,072,641",10,"398,932",14,"673,709",21,"202,221",21,"328,955",16,"72,530",7,"17,970",5,"78,661",21,"155,463",14,"326,085",20,"449,484",24,"5,421,016",9,"1,813,776",14,"1,023",12,"1,451",18,"2,474"
10,2,7,38,"Division No.  7, Subd. D",18,12,"38,117",7,"6,966",13,"56,418",1,x,3,"2,762",1,x,1,x,12,"170,228",3,x,11,x,14,"43,637",15,"20,642",12,x,3,x,1,x,17,"26,096",5,"11,513",16,"35,601",18,"505,166",1,x,12,349,0,0,12,349
10,2,8,0,Division No.  8,53,36,"127,725",18,x,32,"60,370",22,"1,177,150",11,x,18,x,17,"73,388",33,"876,403",19,"370,285",28,"506,118",49,"233,921",43,"152,636",35,"93,986",21,"16,303",6,x,41,"126,859",21,"159,126",44,"264,947",53,"3,853,282",20,"1,175,454",31,"1,108",5,681,33,"1,789"
10,2,8,36,"Division No.  8, Subd. G",32,19,"68,617",8,x,18,x,15,x,9,x,11,x,13,x,20,"649,133",12,"267,455",16,"381,678",29,"104,385",26,"95,410",20,"49,745",13,"12,358",4,x,27,"72,342",16,"118,018",28,"170,803",32,"2,597,727",14,x,19,x,3,x,20,"1,329"
10,2,8,58,"Division No.  8, Subd. C",21,17,"59,108",10,x,14,x,7,x,2,x,7,x,4,x,13,"227,270",7,"102,830",12,"124,440",20,"129,536",17,"57,226",15,"44,241",8,"3,945",2,x,14,"54,517",5,"41,108",16,"94,144",21,"1,255,555",6,x,12,x,2,x,13,460
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700","1,240","35,508,559",922,"25,226,427","1,049","16,151,584","1,127","34,457,799",710,"23,528,955","1,054","4,793,997",936,"11,840,874",942,"54,393,313",568,"20,096,301",736,"34,297,012","1,610","21,735,179","1,542","22,042,438","1,307","5,852,744",692,"12,763,030",415,"6,614,840","1,506","7,644,762","1,033","24,783,167","1,579","41,605,960","1,700","348,943,628","1,080","28,941,364",758,"49,248",424,"52,366",942,"101,614"
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,198,"6,080,265",147,"3,537,187",155,"2,515,926",158,"4,427,217",78,"1,177,435",147,"447,992",147,"1,636,542",146,"7,448,103",85,"2,629,539",117,"4,818,564",271,"2,973,095",255,"3,125,935",212,"675,623",103,"1,709,412",61,"865,412",242,"1,031,415",168,"3,016,399",267,"5,848,525",286,"46,516,483",153,"4,049,540",121,"7,852",58,"6,132",146,"13,984"
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,605,"11,676,302",435,"7,823,658",510,"5,691,570",602,"20,327,891",389,"13,232,096",571,"2,780,901",468,"5,962,247",442,"19,663,866",257,"7,417,683",347,"12,246,183",792,"8,732,655",759,"8,363,121",665,"2,695,901",324,"4,125,395",195,"3,000,052",743,"3,188,755",487,"9,937,704",776,"17,658,548",835,"144,860,662",581,"17,159,428",352,"16,837",186,"21,216",442,"38,053"
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,437,"17,751,992",340,"13,865,582",384,"7,944,088",367,"9,702,691",243,"9,119,424",336,"1,565,104",321,"4,242,085",354,"27,281,344",226,"10,049,079",272,"17,232,265",547,"10,029,429",528,"10,553,382",430,"2,481,220",265,"6,928,223",159,"2,749,376",521,"3,424,592",378,"11,829,064",536,"18,098,887",579,"157,566,483",346,"7,732,396",285,"24,559",180,"25,018",354,"49,577"
11,1,1,0,Kings,286,198,"6,080,265",147,"3,537,187",155,"2,515,926",158,"4,427,217",78,"1,177,435",147,"447,992",147,"1,636,542",146,"7,448,103",85,"2,629,539",117,"4,818,564",271,"2,973,095",255,"3,125,935",212,"675,623",103,"1,709,412",61,"865,412",242,"1,031,415",168,"3,016,399",267,"5,848,525",286,"46,516,483",153,"4,049,540",121,"7,852",58,"6,132",146,"13,984"
11,1,1,1,Lot 64,34,18,"252,843",18,"144,317",19,"61,912",19,"1,081,833",8,"318,093",18,"44,603",15,"70,782",17,"415,064",9,"149,296",13,"265,768",33,"203,319",33,"194,538",27,"99,534",9,"86,346",8,"86,478",27,"91,773",21,"248,810",33,"403,060",34,"3,803,305",19,"1,038,941",15,595,4,325,17,920
11,1,1,9,Lot 59,25,19,"246,885",13,"182,722",14,"130,633",10,"152,802",7,"66,159",9,"24,399",9,"50,166",15,"365,433",8,"155,953",12,"209,480",24,"127,791",23,"111,208",16,"53,182",6,"94,558",6,"25,498",20,"50,685",9,"61,883",24,"207,020",25,"1,951,024",9,"115,749",12,305,6,344,15,649
11,1,1,14,Lot 51,17,13,"272,689",11,"213,459",10,"106,018",11,"126,800",5,x,11,"26,872",12,"53,691",10,"167,623",3,"23,953",9,"143,670",16,"142,491",16,"119,512",12,"26,303",6,x,4,"76,599",16,"55,951",7,"173,566",16,"324,322",17,"1,955,808",11,"106,200",8,x,4,x,10,348
11,1,1,16,Lot 52,24,17,"204,823",14,"164,094",13,"231,933",14,"706,723",8,"212,003",11,"27,832",10,"70,887",14,"305,861",4,"51,841",14,"254,020",23,"134,113",21,"101,766",19,"63,487",7,"99,700",5,"75,207",20,"76,705",18,"220,160",24,"277,840",24,"2,973,134",13,"618,884",13,x,1,x,14,793
11,1,1,26,Lot 54,21,16,"324,090",8,"145,085",10,"56,420",14,"138,223",6,"56,336",13,"27,293",7,"86,233",8,"431,980",6,"299,607",5,"132,373",20,"164,832",17,"144,143",16,"24,637",7,"71,276",3,"2,816",16,"55,701",9,"150,578",19,"216,854",21,"2,096,497",14,"128,519",6,373,5,535,8,908
11,1,1,28,Lot 55,19,13,"144,383",9,"42,949",9,"87,600",14,"832,639",5,x,15,"86,849",12,"190,940",6,"349,322",4,"99,868",5,"249,454",19,"181,628",18,"221,654",15,"46,490",7,x,2,x,18,"74,351",13,"248,105",17,"555,660",19,"3,346,312",13,"811,510",5,396,3,228,6,624
11,1,1,32,Lot 44,23,15,"891,155",10,"545,353",13,"190,942",12,"39,334",4,x,12,"11,329",9,"86,184",10,"1,655,310",6,"491,218",10,"1,164,092",23,"388,918",20,"549,555",15,"36,573",6,"222,841",3,x,21,"165,614",13,"475,643",22,"989,993",23,"6,489,718",12,"36,506",8,"1,950",5,809,10,"2,759"
11,1,1,34,Lot 45,30,22,"1,595,050",18,"1,110,866",18,"766,370",16,"126,506",5,"14,080",13,"27,087",18,"261,042",19,"1,778,931",11,"504,921",18,"1,274,010",28,"664,299",26,"888,733",24,"128,805",18,"351,772",5,"38,671",25,"140,432",20,"519,089",26,"950,912",30,"9,362,645",15,"113,327",16,"1,609",10,935,19,"2,544"
11,1,1,42,Lot 41,24,17,"422,949",11,"226,526",14,"129,578",17,"375,699",10,"81,321",14,"55,621",14,"117,200",10,"342,735",6,"77,500",7,"265,235",20,"204,417",19,"229,359",17,"58,441",8,"81,038",7,"97,228",21,"86,241",14,"343,992",21,"288,864",24,"3,141,209",17,"310,600",9,196,4,866,10,"1,062"
11,1,1,46,Lot 40,31,23,"1,219,249",17,"479,263",19,"614,619",14,"536,847",9,"79,840",15,"39,938",22,"399,859",20,"905,629",16,"473,426",12,"432,203",30,"516,772",28,"299,461",22,"80,846",15,"238,480",7,"117,840",26,"105,588",22,"314,658",28,"798,226",31,"6,747,115",13,"470,782",17,841,8,"1,185",20,"2,026"
11,1,1,49,Lot 39,19,13,"443,099",11,"263,551",9,"117,175",8,"93,302",4,x,7,"15,084",13,"198,309",6,"558,772",5,"196,095",5,"362,677",18,"150,924",17,"178,221",15,"30,202",8,x,5,"61,376",16,"62,429",10,"94,941",19,"708,559",19,"3,350,063",8,"90,704",4,736,4,254,6,990
11,1,1,51,Lot 38,19,12,"63,050",7,"19,002",7,"22,726",9,"216,509",7,"28,345",9,"61,085",6,"51,249",11,"171,443",7,"105,861",7,"65,582",17,"93,591",17,"87,785",14,"27,123",6,"25,626",6,"73,985",16,"65,945",12,"164,974",18,"127,215",19,"1,299,653",9,"207,818",8,176,4,185,11,361
11,2,2,0,Queens,835,605,"11,676,302",435,"7,823,658",510,"5,691,570",602,"20,327,891",389,"13,232,096",571,"2,780,901",468,"5,962,247",442,"19,663,866",257,"7,417,683",347,"12,246,183",792,"8,732,655",759,"8,363,121",665,"2,695,901",324,"4,125,395",195,"3,000,052",743,"3,188,755",487,"9,937,704",776,"17,658,548",835,"144,860,662",581,"17,159,428",352,"16,837",186,"21,216",442,"38,053"
11,2,2,6,Lot 58,45,32,"1,017,451",27,"999,548",22,"638,306",19,"1,622,707",14,"241,225",15,"114,135",23,"854,683",29,"2,038,343",18,"315,435",21,"1,722,908",41,"890,078",40,"856,720",31,"258,686",12,"584,578",7,"385,197",39,"244,995",23,"637,362",45,"1,688,322",45,"13,072,336",18,"1,390,863",24,"2,113",7,"1,539",29,"3,652"
11,2,2,8,Lot 57,38,33,"1,510,604",28,"1,011,952",34,"692,541",22,"568,157",16,"1,131,763",22,"70,236",26,"990,232",23,"1,911,296",16,"845,927",16,"1,065,369",34,"593,286",34,"567,404",32,"221,277",20,"428,975",13,"312,131",35,"226,743",24,"693,339",37,"1,221,772",38,"12,151,708",22,"485,435",20,"1,906",8,"1,520",23,"3,426"
11,2,2,9,Lot 50,47,37,"660,972",28,"281,638",35,"354,834",39,"1,913,995",29,"2,390,548",39,"275,272",28,"546,739",32,"1,257,330",18,"415,798",29,"841,532",46,"704,715",44,"635,863",40,"210,252",26,"174,070",15,"373,954",47,"221,514",36,"894,346",45,"1,482,841",47,"12,378,883",39,"1,786,965",24,928,15,"1,076",32,"2,004"
11,2,2,12,Lot 49,27,17,"432,306",16,"246,136",18,"137,529",23,"472,344",16,"557,737",21,"65,851",18,"94,466",12,"195,185",9,"138,093",8,"57,092",26,"289,322",26,"295,763",22,"58,777",15,"99,425",11,"201,813",26,"95,093",18,"286,050",25,"301,003",27,"3,828,800",22,"431,767",8,123,5,356,12,479
11,2,2,14,Lot 48,44,30,"167,223",20,"95,701",28,"84,475",31,"252,582",19,"311,639",26,"60,948",18,"159,969",19,"313,734",10,"78,397",13,"235,337",42,"158,878",41,"251,084",31,"54,248",9,"42,114",9,"42,159",36,"60,409",18,"88,582",41,"402,196",44,"2,545,941",31,"235,136",15,491,5,139,19,630
11,2,2,26,Lot 31,62,44,"1,037,636",31,"619,468",37,"397,400",50,"1,078,662",31,"504,552",48,"195,341",29,"149,126",29,"1,228,725",17,"571,454",21,"657,271",59,"663,806",54,"585,773",51,"120,581",27,"214,083",15,"181,908",54,"213,433",43,"812,079",54,"1,121,656",62,"9,124,229",48,"969,060",21,746,15,"2,080",29,"2,826"
11,2,2,28,Lot 65,52,36,"377,271",26,"267,186",30,"192,871",40,"253,067",26,"160,059",38,"86,285",23,"121,011",20,"475,634",9,"82,810",16,"392,824",51,"339,216",44,"289,958",44,"113,900",20,"165,020",6,"46,960",46,"134,277",26,"224,149",44,"500,940",52,"3,747,804",40,"204,635",17,424,9,442,20,866
11,2,2,29,Lot 30,31,18,"49,146",9,"13,837",14,"14,891",24,"190,692",12,"103,321",27,"81,813",12,"18,481",10,"112,198",4,"58,215",7,"53,983",28,"103,002",28,"116,097",25,"63,823",4,"5,000",6,"6,130",28,"44,061",13,"42,877",27,"136,205",31,"1,101,574",22,"155,793",9,x,2,x,10,282
11,2,2,31,Lot 29,34,23,"237,836",20,"135,274",22,"94,607",26,"148,053",17,"122,936",25,"54,860",20,"70,351",16,"338,246",8,"199,693",12,"138,553",33,"213,038",32,"193,683",27,"55,719",13,"97,872",6,"19,240",28,"73,276",15,"144,603",28,"327,495",34,"2,327,089",24,x,13,243,5,339,16,582
11,2,2,36,Lot 67,49,36,"582,105",25,x,27,"718,074",40,"2,139,217",28,"807,412",36,"348,436",32,"588,302",27,"1,216,268",18,"491,634",20,"724,634",48,"630,666",47,"609,946",41,"147,468",15,x,11,"75,833",46,"252,781",32,"998,710",48,"1,498,167",49,"11,545,168",40,"2,007,915",22,"1,015",14,"1,237",27,"2,252"
11,2,2,38,Lot 20,29,22,"428,914",16,x,20,"274,759",22,"550,861",16,"645,956",23,"120,006",18,"223,352",16,"772,562",8,"258,827",13,"513,735",28,"339,435",27,"362,266",24,"121,010",11,x,11,"54,898",25,"118,509",17,"421,449",29,"627,219",29,"5,697,944",20,"426,939",11,488,8,"1,028",16,"1,516"
11,2,2,39,Lot 21,40,32,"563,245",23,"421,239",27,"435,620",30,"512,158",22,"449,431",29,"90,490",25,"105,333",19,"711,203",8,"161,483",17,"549,720",38,"452,765",37,"414,109",34,"115,789",20,"343,468",9,"278,749",35,"163,211",23,"559,377",39,"763,981",40,"6,380,168",30,"423,228",14,594,9,507,19,"1,101"
11,2,2,40,Miltonvale Park,19,14,x,5,x,12,"59,703",15,x,8,x,12,"56,026",13,"147,167",11,"245,153",5,"93,894",8,"151,259",17,"144,999",17,"173,328",15,"59,313",10,"66,511",7,"90,081",18,"61,651",16,"263,206",16,"490,078",19,"2,500,658",13,"188,537",8,113,4,407,11,520
11,2,2,42,Lot 23,45,33,"373,094",22,"92,651",27,"96,227",34,"1,503,133",20,"1,706,332",33,"173,686",31,"318,349",30,"540,422",14,"184,829",26,"355,593",43,"369,533",44,"334,931",39,"145,449",25,"168,787",9,"65,091",43,"148,231",29,"739,439",44,"666,781",45,"7,442,136",34,"904,819",22,514,12,561,30,"1,075"
11,2,2,44,Lot 24,46,36,"889,148",21,"521,007",31,"283,776",33,"1,536,330",23,"1,138,710",32,"280,016",34,"347,611",25,"1,959,227",11,"512,240",22,"1,446,987",43,"588,052",43,"601,490",39,"290,672",16,"330,720",11,"155,913",40,"252,381",24,"837,617",43,"1,510,977",46,"11,523,647",31,"1,059,300",18,"1,462",15,"2,027",25,"3,489"
11,2,2,49,Lot 33,72,45,"676,077",30,"304,027",41,"223,151",46,"2,646,466",26,"667,844",43,"165,167",27,"266,434",46,"1,690,882",31,"918,552",35,"772,330",68,"667,302",63,"510,591",53,"222,054",23,"141,142",14,"194,281",64,"318,099",38,"685,590",65,"1,194,629",72,"10,573,736",45,"1,980,924",39,"1,241",13,"2,367",46,"3,608"
11,2,2,52,Lot 34,50,41,"889,060",29,"475,422",25,"445,607",35,"1,414,621",28,"462,462",33,"181,146",30,"370,027",28,"2,218,754",21,"1,081,663",25,"1,137,091",48,"585,750",43,"484,452",34,"176,212",25,"216,891",13,"173,140",43,"203,358",34,"599,260",46,"1,825,325",50,"10,721,487",34,"1,337,739",22,805,18,"3,193",28,"3,998"
11,2,2,54,Lot 35,25,19,"386,922",13,"230,178",14,"242,347",19,"701,832",10,"100,565",17,"131,897",18,"190,345",11,"755,889",7,"341,628",9,"414,261",24,"240,225",23,"311,673",21,"58,025",12,"201,818",5,"22,658",22,"86,328",12,"277,681",24,"518,491",25,"4,456,874",18,"643,427",9,"1,022",7,714,11,"1,736"
11,2,2,56,Lot 36,29,23,"228,492",18,"123,352",19,x,17,"226,644",7,x,17,"26,115",19,"211,360",11,"275,680",7,"110,330",7,"165,350",28,"185,309",25,"167,795",22,"52,298",6,"70,813",8,"112,229",26,"75,972",19,"207,146",29,"405,599",29,"2,963,702",15,"215,754",10,x,2,x,11,527
11,2,2,58,Lot 37,21,11,x,9,x,10,x,14,x,7,x,12,"139,963",7,"111,877",10,"803,420",6,"272,530",8,"530,890",20,"227,721",20,"287,723",18,"85,216",4,x,3,"7,419",17,"89,284",10,"282,132",18,"382,387",21,"4,979,592",13,x,10,"1,249",5,770,10,"2,019"
