HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NINJURNY,NOPINJD,NOPINJ01,NOPINJ02,NOPINJ03,NOPINJ04,NOPINJ05,NOPINJ06,NOPINJ07,NOPINJ08,NOPINJ09,NOPINJ10,NINJFMD,NFMINJ01,NFMINJ02,NFMINJ03,NFMINJ04,NFMINJ05,NFMINJ06,NFMINJ07,NFMINJ08,NFMINJ09,NFMINJ10,NINJOTD,NOTINJ01,NOTINJ02,NOTINJ03,NOTINJ04,NOTINJ05,NOTINJ06,NOTINJ07,NOTINJ08,NOTINJ09,NOTINJ10,NINJURY01,NINJURY02,NINJURY03,NINJURY04,NINJURY05,NINJURY06,NINJURY07,NINJURY08,NINJURY09,NINJURY10
10,1,1,357,"Division No.  1, Subd. H",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,472,Holyrood,37,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10,1,1,519,St. John's,125,8,4,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0
10,3,4,0,Division No.  4,55,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,3,4,1,"Division No.  4, Subd. A",18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,3,4,6,"Division No.  4, Subd. B",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,4,16,"Division No.  4, Subd. D",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,5,0,Division No.  5,83,9,4,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,1,0,2,0,1,0,0,0,0,1,2,1,3,0,1,0,1,0,0,1
10,3,5,7,"Division No.  5, Subd. E",54,7,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,1,1,1,2,0,1,0,1,0,0,1
10,3,5,10,"Division No.  5, Subd. F",29,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
10,2,6,0,Division No.  6,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
10,2,6,14,"Division No.  6, Subd. C",42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
10,2,7,0,Division No.  7,59,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,2,7,9,"Division No.  7, Subd. K",17,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,2,7,31,"Division No.  7, Subd. E",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7,38,"Division No.  7, Subd. D",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,8,0,Division No.  8,53,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,2,8,36,"Division No.  8, Subd. G",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,8,58,"Division No.  8, Subd. C",21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,Prince Edward Island / ?le-du-Prince-êdouard,"1,700",94,74,20,2,29,21,6,4,3,4,1,9,11,5,1,1,0,0,1,0,0,1,3,14,4,0,8,0,2,0,2,1,0,0,28,3,37,21,8,5,5,5,2,10
11,1,0,0,Agricultural Region 1 - rÇgion agricole 1,286,8,6,1,0,3,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,2
11,2,0,0,Agricultural Region 2 - rÇgion agricole 2,835,52,42,11,1,16,11,2,3,2,2,1,5,8,4,0,1,0,0,1,0,0,1,2,6,2,0,3,0,2,0,1,1,0,0,16,1,19,11,4,4,3,3,2,6
11,3,0,0,Agricultural Region 3 - rÇgion agricole 3,579,34,26,8,1,10,9,3,1,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,6,2,0,3,0,0,0,1,0,0,0,11,2,13,9,3,1,2,2,0,2
11,1,1,0,Kings,286,8,6,1,0,3,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,2
11,1,1,1,Lot 64,34,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,1,1,9,Lot 59,25,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,1,1,14,Lot 51,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,16,Lot 52,24,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11,1,1,26,Lot 54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,28,Lot 55,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,32,Lot 44,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,34,Lot 45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,42,Lot 41,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,46,Lot 40,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,49,Lot 39,19,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
11,1,1,51,Lot 38,19,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,2,0,Queens,835,52,42,11,1,16,11,2,3,2,2,1,5,8,4,0,1,0,0,1,0,0,1,2,6,2,0,3,0,2,0,1,1,0,0,16,1,19,11,4,4,3,3,2,6
11,2,2,6,Lot 58,45,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
11,2,2,8,Lot 57,38,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,1,1,0,0
11,2,2,9,Lot 50,47,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11,2,2,12,Lot 49,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,14,Lot 48,44,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11,2,2,26,Lot 31,62,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,2,2,28,Lot 65,52,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11,2,2,29,Lot 30,31,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
11,2,2,31,Lot 29,34,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,2,2,36,Lot 67,49,3,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
11,2,2,38,Lot 20,29,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
11,2,2,39,Lot 21,40,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
11,2,2,40,Miltonvale Park,19,3,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
11,2,2,42,Lot 23,45,4,3,2,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,1,1,0
11,2,2,44,Lot 24,46,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11,2,2,49,Lot 33,72,9,9,1,0,4,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,1,0,0,0,1
11,2,2,52,Lot 34,50,5,3,1,1,2,1,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,2,1,1,1,1,1,0,0
11,2,2,54,Lot 35,25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2,2,56,Lot 36,29,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,2,2,58,Lot 37,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,85,Cornwall,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,0,Prince,579,34,26,8,1,10,9,3,1,1,2,0,2,2,1,1,0,0,0,0,0,0,0,0,6,2,0,3,0,0,0,1,0,0,0,11,2,13,9,3,1,2,2,0,2
11,3,3,1,Lot 28,40,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0
11,3,3,6,Lot 27,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,3,3,9,Lot 26,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,11,Lot 25,30,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
11,3,3,12,Lot 19,36,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
11,3,3,16,Lot 18,26,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
11,3,3,19,Lot 17,33,3,3,2,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,1,0,0
11,3,3,28,Lot 16,29,4,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
11,3,3,31,Lot 14,31,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,3,3,32,Lot 13,27,3,2,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
11,3,3,34,Lot 12,19,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,3,3,41,Lot  6,35,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
11,3,3,44,Lot  9,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,3,3,46,Lot  8,36,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11,3,3,48,Lot  7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,51,Lot  4,39,5,5,1,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,2
11,3,3,54,Lot  3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,3,58,Lot  1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,Nova Scotia / Nouvelle-êcosse,"3,795",195,149,32,11,59,34,12,10,10,14,3,12,23,4,0,10,3,4,1,0,1,0,1,40,9,1,19,13,1,1,0,0,0,4,45,12,80,49,17,12,10,14,3,17
12,1,0,0,Agricultural Region 1 - rÇgion agricole 1,591,27,19,5,2,9,2,0,1,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,7,0,0,4,2,0,1,0,0,0,2,6,2,12,5,0,2,1,1,0,3
12,2,0,0,Agricultural Region 2 - rÇgion agricole 2,"1,175",78,58,11,5,24,14,6,4,5,7,3,6,9,1,0,3,2,2,1,0,1,0,0,19,5,0,10,6,1,0,0,0,0,2,17,5,34,21,9,5,5,7,3,8
12,3,0,0,Agricultural Region 3 - rÇgion agricole 3,"1,149",52,40,8,1,18,7,1,3,3,5,0,3,7,2,0,4,0,1,0,0,0,0,0,9,1,0,5,4,0,0,0,0,0,0,11,1,24,11,2,3,3,5,0,3
12,4,0,0,Agricultural Region 4 - rÇgion agricole 4,589,25,21,7,2,5,8,1,2,1,1,0,1,2,0,0,1,0,0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,0,0,8,3,6,9,1,2,1,1,0,2
12,5,0,0,Agricultural Region 5 - rÇgion agricole 5,291,13,11,1,1,3,3,4,0,0,0,0,1,3,0,0,2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,4,3,5,0,0,0,0,1
12,1,1,0,Shelburne,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,6,Shelburne,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2,0,Yarmouth,93,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
12,1,2,1,Argyle,23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12,1,2,4,Yarmouth,70,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
12,1,3,0,Digby,118,5,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,2
12,1,3,1,Clare,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
12,1,3,4,Digby,54,4,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1
12,1,4,0,Queens,35,3,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
12,1,4,10,Queens,35,3,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1
12,2,5,0,Annapolis,228,14,12,2,1,7,5,0,2,0,4,2,0,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,3,1,7,6,1,2,0,4,2,0
12,2,5,1,"Annapolis, Subd. D",23,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
12,2,5,4,"Annapolis, Subd. A",54,3,3,1,0,1,2,0,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,2,0
12,2,5,9,"Annapolis, Subd. B",78,7,5,1,0,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,2,0,3,3,1,1,0,2,0,0
12,2,5,14,"Annapolis, Subd. C",73,2,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
12,1,6,0,Lunenburg,326,16,13,3,1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,1,0,0,0,0,3,1,7,4,0,2,1,0,0,0
12,1,6,1,Lunenburg,243,13,10,3,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,1,0,0,0,0,3,0,6,3,0,2,1,0,0,0
12,1,6,9,Chester,83,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
12,2,7,0,Kings,604,40,28,5,2,13,6,3,1,4,2,1,2,5,1,0,2,1,0,1,0,0,0,0,12,3,0,8,4,0,0,0,0,0,0,9,2,21,10,3,2,4,2,1,2
12,2,7,1,"Kings, Subd. A",308,27,22,4,2,11,6,2,1,4,1,1,0,4,0,0,2,1,0,1,0,0,0,0,6,1,0,4,2,0,0,0,0,0,0,5,2,15,8,2,2,4,1,1,0
12,2,7,11,"Kings, Subd. C",41,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,2,7,16,"Kings, Subd. B",171,5,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0,0,1,0,3,2,0,0,0,1,0,1
12,2,7,21,"Kings, Subd. D",84,7,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,1
