HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTFCAP01,NTOTFCAP02,NTOTFCAP03,NTOTFCAP04,NTOTFCAP05,NTOTFCAP06,NTOTFCAP07,NTOTFCAP08,NTOTFCAP09
11,2,2,26,Lot 31,62,3,10,12,9,12,8,3,4,1
11,2,2,28,Lot 65,52,3,7,14,6,11,7,3,1,0
11,2,2,29,Lot 30,31,4,4,11,2,7,2,0,1,0
11,2,2,31,Lot 29,34,2,7,9,4,6,3,1,2,0
11,2,2,36,Lot 67,49,3,4,7,10,8,8,4,3,2
11,2,2,38,Lot 20,29,1,4,3,4,7,5,1,2,2
11,2,2,39,Lot 21,40,1,2,8,3,11,5,5,3,2
11,2,2,40,Miltonvale Park,19,0,1,5,3,7,1,2,0,0
11,2,2,42,Lot 23,45,3,5,7,6,10,8,0,6,0
11,2,2,44,Lot 24,46,0,9,7,11,8,3,3,3,2
11,2,2,49,Lot 33,72,2,13,15,12,10,10,6,3,1
11,2,2,52,Lot 34,50,4,4,7,3,15,8,4,4,1
11,2,2,54,Lot 35,25,1,0,8,0,9,6,0,1,0
11,2,2,56,Lot 36,29,1,1,8,5,9,2,1,1,1
11,2,2,58,Lot 37,21,2,4,5,4,2,1,1,1,1
11,2,2,85,Cornwall,30,1,3,6,4,10,1,2,2,1
11,3,3,0,Prince,579,33,63,85,69,129,66,31,53,50
11,3,3,1,Lot 28,40,0,3,4,9,8,5,2,5,4
11,3,3,6,Lot 27,35,1,2,7,5,5,3,4,4,4
11,3,3,9,Lot 26,42,0,5,2,4,10,6,1,8,6
11,3,3,11,Lot 25,30,3,1,1,5,7,2,4,4,3
11,3,3,12,Lot 19,36,3,5,6,2,4,4,4,4,4
11,3,3,16,Lot 18,26,1,4,3,6,3,0,0,3,6
11,3,3,19,Lot 17,33,3,1,4,5,12,3,3,1,1
11,3,3,28,Lot 16,29,4,3,3,2,10,3,0,2,2
11,3,3,31,Lot 14,31,1,3,5,5,7,5,1,2,2
11,3,3,32,Lot 13,27,1,4,3,3,11,2,1,1,1
11,3,3,34,Lot 12,19,2,6,4,1,3,3,0,0,0
11,3,3,41,Lot  6,35,1,4,5,3,6,4,5,4,3
11,3,3,44,Lot  9,21,1,2,4,2,6,4,1,0,1
11,3,3,46,Lot  8,36,4,3,8,3,5,7,1,2,3
11,3,3,48,Lot  7,35,2,3,4,2,6,7,3,4,4
11,3,3,51,Lot  4,39,1,3,7,5,10,5,0,4,4
11,3,3,54,Lot  3,37,2,4,8,4,10,3,1,3,2
11,3,3,58,Lot  1,28,3,7,7,3,6,0,0,2,0
12,0,0,0,Nova Scotia / Nouvelle-êcosse,"3,795",424,686,"1,009",533,666,241,103,103,30
12,1,0,0,Agricultural Region 1 - rÇgion agricole 1,591,75,124,155,83,85,31,12,18,8
12,2,0,0,Agricultural Region 2 - rÇgion agricole 2,"1,175",87,181,309,169,233,92,43,45,16
12,3,0,0,Agricultural Region 3 - rÇgion agricole 3,"1,149",155,217,296,157,195,67,29,27,6
12,4,0,0,Agricultural Region 4 - rÇgion agricole 4,589,65,110,164,79,106,37,16,12,0
12,5,0,0,Agricultural Region 5 - rÇgion agricole 5,291,42,54,85,45,47,14,3,1,0
12,1,1,0,Shelburne,19,5,2,7,3,2,0,0,0,0
12,1,1,6,Shelburne,19,5,2,7,3,2,0,0,0,0
12,1,2,0,Yarmouth,93,14,21,27,12,11,5,1,1,1
12,1,2,1,Argyle,23,4,5,8,2,2,1,0,1,0
12,1,2,4,Yarmouth,70,10,16,19,10,9,4,1,0,1
12,1,3,0,Digby,118,16,20,23,11,15,8,6,12,7
12,1,3,1,Clare,64,6,8,12,8,6,3,5,10,6
12,1,3,4,Digby,54,10,12,11,3,9,5,1,2,1
12,1,4,0,Queens,35,3,10,9,4,6,2,0,1,0
12,1,4,10,Queens,35,3,10,9,4,6,2,0,1,0
12,2,5,0,Annapolis,228,17,44,66,38,42,7,8,5,1
12,2,5,1,"Annapolis, Subd. D",23,1,11,7,0,2,0,2,0,0
12,2,5,4,"Annapolis, Subd. A",54,7,10,16,8,8,2,1,2,0
12,2,5,9,"Annapolis, Subd. B",78,7,13,18,18,17,1,4,0,0
12,2,5,14,"Annapolis, Subd. C",73,2,10,25,12,15,4,1,3,1
12,1,6,0,Lunenburg,326,37,71,89,53,51,16,5,4,0
12,1,6,1,Lunenburg,243,25,51,67,40,38,14,4,4,0
12,1,6,9,Chester,83,12,20,22,13,13,2,1,0,0
12,2,7,0,Kings,604,43,80,146,91,124,59,24,27,10
12,2,7,1,"Kings, Subd. A",308,20,46,87,52,62,21,7,8,5
12,2,7,11,"Kings, Subd. C",41,7,5,13,4,8,3,1,0,0
12,2,7,16,"Kings, Subd. B",171,10,18,35,26,35,19,13,11,4
12,2,7,21,"Kings, Subd. D",84,6,11,11,9,19,16,3,8,1
12,2,8,0,Hants,343,27,57,97,40,67,26,11,13,5
12,2,8,1,West Hants,164,11,25,52,22,35,9,6,3,1
12,2,8,8,East Hants,179,16,32,45,18,32,17,5,10,4
12,3,9,0,Halifax,154,17,32,51,14,26,9,1,3,1
12,3,9,34,Halifax,154,17,32,51,14,26,9,1,3,1
12,3,10,0,Colchester,442,42,84,114,67,77,28,12,14,4
12,3,10,1,"Colchester, Subd. C",171,12,27,42,21,34,17,7,8,3
12,3,10,8,"Colchester, Subd. B",158,14,32,44,26,31,7,1,3,0
12,3,10,12,"Colchester, Subd. A",113,16,25,28,20,12,4,4,3,1
12,3,11,0,Cumberland,553,96,101,131,76,92,30,16,10,1
12,3,11,1,"Cumberland, Subd. A",102,20,24,26,10,12,5,3,2,0
12,3,11,6,"Cumberland, Subd. B",204,42,38,50,26,28,9,6,4,1
12,3,11,9,"Cumberland, Subd. C",157,23,24,34,29,33,9,3,2,0
12,3,11,14,"Cumberland, Subd. D",90,11,15,21,11,19,7,4,2,0
12,4,12,0,Pictou,273,29,63,66,44,48,12,4,7,0
12,4,12,1,"Pictou, Subd. A",117,9,29,30,21,21,4,2,1,0
12,4,12,6,"Pictou, Subd. B",78,12,18,16,12,13,4,2,1,0
12,4,12,11,"Pictou, Subd. C",78,8,16,20,11,14,4,0,5,0
12,4,13,0,Guysborough,90,18,14,31,10,9,3,4,1,0
12,4,13,1,St. Mary's,21,3,1,8,4,1,1,2,1,0
12,4,13,4,Guysborough,69,15,13,23,6,8,2,2,0,0
12,4,14,0,Antigonish,226,18,33,67,25,49,22,8,4,0
12,4,14,1,"Antigonish, Subd. A",124,9,18,36,17,25,12,5,2,0
12,4,14,6,"Antigonish, Subd. B",102,9,15,31,8,24,10,3,2,0
12,5,15,0,Inverness,138,20,21,36,20,29,10,1,1,0
12,5,15,1,"Inverness, Subd. C",25,5,5,5,3,4,2,1,0,0
12,5,15,6,"Inverness, Subd. B",66,5,6,21,9,20,5,0,0,0
12,5,15,11,"Inverness, Subd. A",47,10,10,10,8,5,3,0,1,0
12,5,16,0,Richmond,20,2,7,4,4,2,1,0,0,0
12,5,16,6,"Richmond, Subd. A",20,2,7,4,4,2,1,0,0,0
12,5,17,0,Cape Breton,94,16,22,29,14,10,1,2,0,0
12,5,17,30,Cape Breton,94,16,22,29,14,10,1,2,0,0
12,5,18,0,Victoria,39,4,4,16,7,6,2,0,0,0
12,5,18,1,"Victoria, Subd. B",39,4,4,16,7,6,2,0,0,0
13,0,0,0,New Brunswick / Nouveau-Brunswick,"2,776",301,547,622,355,506,170,97,110,68
13,1,0,0,Agricultural Region 1 - rÇgion agricole 1,992,85,167,198,115,180,63,55,74,55
13,2,0,0,Agricultural Region 2 - rÇgion agricole 2,767,86,162,183,117,136,46,20,11,6
13,3,0,0,Agricultural Region 3 - rÇgion agricole 3,633,66,139,143,87,121,45,11,16,5
13,4,0,0,Agricultural Region 4 - rÇgion agricole 4,384,64,79,98,36,69,16,11,9,2
13,2,2,0,Charlotte,109,17,31,30,17,9,3,0,2,0
13,2,2,16,Saint George,29,8,7,10,2,0,1,0,1,0
13,2,2,28,Saint Croix,23,2,9,4,5,3,0,0,0,0
13,2,2,39,Saint James,30,3,9,7,7,4,0,0,0,0
13,2,2,42,Saint David,27,4,6,9,3,2,2,0,1,0
13,2,3,0,Sunbury,86,16,11,19,11,24,3,1,1,0
13,2,3,1,Blissville,26,5,5,4,5,7,0,0,0,0
13,2,3,4,Gladstone,18,3,3,5,2,5,0,0,0,0
13,2,3,8,Lincoln,18,3,2,7,2,2,1,0,1,0
13,2,3,16,Maugerville,24,5,1,3,2,10,2,1,0,0
13,2,4,0,Queens,107,9,29,21,19,16,7,3,1,2
13,2,4,4,Gagetown,28,1,5,4,7,6,4,0,1,0
13,2,4,8,Wickham,23,2,7,3,3,5,0,2,0,1
13,2,4,11,Cambridge,29,2,7,8,6,2,2,1,0,1
13,2,4,18,Waterborough,27,4,10,6,3,3,1,0,0,0
13,2,5,0,Kings,465,44,91,113,70,87,33,16,7,4
13,2,5,4,Upham,23,0,4,8,1,9,1,0,0,0
13,2,5,6,Hampton,20,3,3,3,3,2,2,4,0,0
13,2,5,14,Kingston,23,3,2,8,4,4,2,0,0,0
13,2,5,18,Norton,36,2,13,7,3,4,3,3,1,0
13,2,5,21,Sussex,60,6,14,10,11,11,5,1,2,0
13,2,5,24,Waterford,18,1,6,6,1,2,1,1,0,0
13,2,5,26,Cardwell,28,3,5,9,2,5,2,0,0,2
13,2,5,28,Havelock,49,4,11,7,11,10,3,0,2,1
13,2,5,31,Studholm,101,6,15,24,16,23,11,5,1,0
13,2,5,34,Springfield,37,4,5,12,7,4,2,2,1,0
13,2,5,36,Kars,27,3,5,8,4,7,0,0,0,0
13,2,5,57,Quispamsis,43,9,8,11,7,6,1,0,0,1
13,3,6,0,Albert,113,10,33,27,13,17,6,3,3,1
13,3,6,1,Hopewell,36,2,12,10,3,6,1,1,0,1
13,3,6,8,Elgin,31,2,8,8,5,3,2,2,1,0
13,3,6,11,Hillsborough,19,3,8,3,2,3,0,0,0,0
13,3,6,14,Coverdale,27,3,5,6,3,5,3,0,2,0
13,3,7,0,Westmorland,357,34,74,80,46,76,28,4,11,4
13,3,7,1,Westmorland,37,4,11,9,5,4,4,0,0,0
13,3,7,4,Botsford,45,4,8,10,7,9,3,2,1,1
13,3,7,5,Beaubassin East / Beaubassin-est,47,1,16,6,4,17,2,0,1,0
13,3,7,8,Sackville,58,11,11,14,7,8,5,0,2,0
13,3,7,13,Memramcook,35,5,8,7,5,5,2,0,1,2
13,3,7,19,Moncton,64,3,13,20,10,11,4,1,1,1
13,3,7,24,Salisbury,71,6,7,14,8,22,8,1,5,0
13,3,8,0,Kent,163,22,32,36,28,28,11,4,2,0
13,3,8,1,Dundas,24,0,6,8,6,4,0,0,0,0
13,3,8,4,Wellington,27,8,4,9,1,2,3,0,0,0
13,3,8,6,Saint Mary,22,1,4,6,7,4,0,0,0,0
13,3,8,8,Saint-Paul,30,5,7,4,6,4,2,1,1,0
13,3,8,14,Weldford,35,3,6,7,4,10,2,3,0,0
13,3,8,16,Richibucto,25,5,5,2,4,4,4,0,1,0
13,4,9,0,Northumberland,100,14,21,26,8,21,5,5,0,0
13,4,9,16,Rogersville,17,1,4,3,1,5,3,0,0,0
13,4,9,26,Southesk,29,5,6,9,3,4,0,2,0,0
13,4,9,31,Newcastle,21,4,3,6,3,4,1,0,0,0
13,4,9,36,Alnwick,33,4,8,8,1,8,1,3,0,0
13,1,10,0,York,280,32,67,69,33,48,16,12,2,1
13,1,10,4,Manners Sutton,29,2,12,6,3,4,1,1,0,0
13,1,10,16,Prince William,33,5,11,7,3,4,0,3,0,0
13,1,10,18,Kingsclear,32,5,9,7,3,7,0,1,0,0
13,1,10,21,Queensbury,28,2,4,7,4,7,3,1,0,0
13,1,10,24,Southampton,20,1,4,6,1,5,2,1,0,0
13,1,10,26,Bright,37,6,4,11,5,5,2,4,0,0
13,1,10,28,Douglas,43,6,7,12,6,4,4,1,2,1
13,1,10,31,Saint Marys,35,3,8,11,3,6,4,0,0,0
13,1,10,36,Stanley,23,2,8,2,5,6,0,0,0,0
13,1,11,0,Carleton,397,26,63,72,43,80,26,23,37,27
13,1,11,1,Richmond,34,4,5,7,4,7,2,0,5,0
13,1,11,4,Woodstock,34,1,7,9,4,5,2,3,0,3
13,1,11,8,Northampton,31,4,9,8,2,5,2,0,0,1
13,1,11,11,Brighton,33,3,8,2,7,7,3,0,0,3
13,1,11,14,Wakefield,55,2,6,9,9,11,4,3,5,6
13,1,11,18,Wilmot,40,6,6,5,5,4,3,2,5,4
13,1,11,24,Peel,42,0,8,7,2,15,2,2,4,2
13,1,11,26,Aberdeen,28,2,4,6,2,3,2,3,5,1
13,1,11,28,Kent,63,0,7,15,3,15,4,8,10,1
13,1,11,31,Wicklow,37,4,3,4,5,8,2,2,3,6
13,1,12,0,Victoria,150,13,14,21,16,24,11,14,19,18
13,1,12,4,Perth,43,5,7,6,6,6,4,4,3,2
13,1,12,14,Denmark,41,6,3,5,3,12,1,5,4,2
13,1,12,16,Grand Falls,30,2,2,3,4,3,2,2,5,7
13,1,12,21,Drummond,36,0,2,7,3,3,4,3,7,7
13,1,13,0,Madawaska,165,14,23,36,23,28,10,6,16,9
13,1,13,1,Saint-AndrÇ,36,0,3,3,2,5,3,4,10,6
13,1,13,4,Saint-LÇonard,20,1,6,4,2,2,2,1,1,1
13,1,13,15,Riviäre-Verte,26,3,5,4,7,6,0,0,1,0
13,1,13,22,Saint-Joseph,31,0,3,10,6,8,2,0,2,0
13,1,13,27,Edmundston,33,7,6,8,4,4,1,1,2,0
13,1,13,41,Saint-Franáois,19,3,0,7,2,3,2,0,0,2
13,4,14,0,Restigouche,92,9,17,19,9,23,4,4,6,1
13,4,14,1,Durham,28,6,4,9,1,5,1,2,0,0
13,4,14,8,Dalhousie,18,1,7,2,1,3,1,0,3,0
13,4,14,21,Saint-Quentin,46,2,6,8,7,15,2,2,3,1
13,4,15,0,Gloucester,192,41,41,53,19,25,7,2,3,1
13,4,15,1,Saumarez,35,13,5,7,4,4,1,0,1,0
13,4,15,8,Bathurst,45,7,9,15,6,6,1,0,1,0
13,4,15,16,New Bandon,27,6,5,10,2,2,1,1,0,0
13,4,15,21,Saint-Isidore,29,4,7,9,2,4,2,0,0,1
13,4,15,24,Inkerman,37,8,14,8,1,4,1,0,1,0
13,4,15,29,Shippagan,19,3,1,4,4,5,1,1,0,0
24,0,0,0,Quebec / QuÇbec,"30,675","1,550","3,178","5,243","4,142","8,610","3,623","1,654","1,831",844
24,1,0,0,Bas-Saint-Laurent,"2,300",138,305,396,362,741,221,70,54,13
24,2,0,0,Saguenay--Lac-Saint-Jean/Cìte-Nord,"1,184",61,141,223,157,369,123,49,49,12
24,3,0,0,QuÇbec,"1,157",94,166,222,187,291,109,35,45,8
24,4,0,0,Mauricie,"1,121",70,134,190,150,308,133,47,63,26
24,5,0,0,Estrie,"2,812",111,290,540,379,850,317,144,138,43
24,6,0,0,MontrÇal/Laval,225,15,28,44,41,55,19,6,8,9
24,7,0,0,Lanaudiäre,"1,700",60,138,237,224,520,220,101,132,68
24,8,0,0,Outaouais,"1,217",34,153,319,207,347,90,38,26,3
24,9,0,0,Laurentides,"1,448",45,156,285,236,420,144,64,70,28
24,10,0,0,Abitibi-TÇmiscamingue/Nord-du-QuÇbec,785,55,102,173,113,220,58,27,30,7
24,11,0,0,GaspÇsie--?les-de-la-Madeleine,315,38,65,67,65,66,12,2,0,0
24,12,0,0,Chaudiäre-Appalaches,"5,845",545,848,"1,077",766,"1,470",600,231,226,82
24,13,0,0,MontÇrÇgie,"7,118",151,354,893,852,"1,937","1,092",629,770,440
24,14,0,0,Centre-du-QuÇbec,"3,448",133,298,577,403,"1,016",485,211,220,105
24,11,1,0,Les ?les-de-la-Madeleine,28,10,4,6,6,1,1,0,0,0
24,11,1,23,Les ?les-de-la-Madeleine,28,10,4,6,6,1,1,0,0,0
24,11,2,0,Le Rocher-PercÇ,31,2,11,5,11,2,0,0,0,0
24,11,2,5,PercÇ,31,2,11,5,11,2,0,0,0,0
24,11,3,0,La Cìte-de-GaspÇ,24,6,9,5,3,1,0,0,0,0
24,11,3,5,GaspÇ,24,6,9,5,3,1,0,0,0,0
24,11,4,0,La Haute-GaspÇsie,31,4,7,8,5,6,1,0,0,0
24,11,4,47,Cap-Chat,31,4,7,8,5,6,1,0,0,0
24,11,5,0,Bonaventure,122,13,18,30,22,32,6,1,0,0
24,11,5,10,Shigawake,36,6,1,12,8,8,1,0,0,0
24,11,5,45,Bonaventure,25,1,4,6,3,9,1,1,0,0
24,11,5,60,Caplan,31,1,6,3,8,11,2,0,0,0
24,11,5,70,New Richmond,30,5,7,9,3,4,2,0,0,0
24,11,6,0,Avignon,79,3,16,13,18,24,4,1,0,0
24,11,6,20,Nouvelle,36,2,8,6,11,9,0,0,0,0
24,11,6,25,Escuminac,19,1,6,3,5,3,1,0,0,0
24,11,6,50,Saint-Alexis-de-MatapÇdia,24,0,2,4,2,12,3,1,0,0
24,1,7,0,La MatapÇdia,240,11,37,28,40,97,15,8,4,0
24,1,7,18,Causapscal,21,0,2,1,6,10,0,2,0,0
24,1,7,30,Saint-LÇon-le-Grand,27,1,5,3,4,14,0,0,0,0
24,1,7,40,Sainte-Iräne,39,1,8,4,5,13,3,3,2,0
24,1,7,47,Amqui,53,5,5,7,11,18,6,1,0,0
24,1,7,57,Lac-au-Saumon,20,1,4,3,2,7,2,0,1,0
24,1,7,70,Saint-Tharcisius,21,1,5,3,4,7,1,0,0,0
24,1,7,80,Val-Brillant,25,0,5,0,4,12,3,1,0,0
24,1,7,85,Sayabec,16,1,2,3,1,8,0,0,1,0
24,1,7,105,Saint-Damase,18,1,1,4,3,8,0,1,0,0
24,1,8,0,Matane,157,8,27,25,26,51,10,1,8,1
24,1,8,23,Sainte-FÇlicitÇ,17,1,2,3,7,2,2,0,0,0
24,1,8,30,Saint-Adelme,21,4,3,3,3,8,0,0,0,0
24,1,8,53,Matane,46,1,8,4,11,14,3,1,4,0
24,1,8,65,Saint-LÇandre,17,1,4,3,1,6,1,0,0,1
24,1,8,73,Saint-Ulric,30,1,6,5,3,10,3,0,2,0
24,1,8,80,Baie-des-Sables,26,0,4,7,1,11,1,0,2,0
24,1,9,0,La Mitis,300,15,31,61,40,98,40,7,6,2
24,1,9,15,Les Hauteurs,33,1,3,5,4,17,2,0,1,0
24,1,9,20,Sainte-Jeanne-d'Arc,33,3,3,14,6,5,1,0,1,0
24,1,9,25,Saint-Gabriel-de-Rimouski,38,3,1,3,8,15,5,0,2,1
24,1,9,30,Saint-Donat,21,2,1,4,1,9,3,0,1,0
24,1,9,35,Sainte-Angäle-de-MÇrici,27,0,5,5,4,9,3,1,0,0
24,1,9,55,Saint-Octave-de-MÇtis,52,2,9,14,3,14,8,2,0,0
24,1,9,85,Sainte-Flavie,52,1,4,10,9,17,9,2,0,0
24,1,9,92,Sainte-Luce,44,3,5,6,5,12,9,2,1,1
24,1,10,0,Rimouski-Neigette,260,14,35,44,38,87,25,9,6,2
24,1,10,15,Saint-Narcisse-de-Rimouski,23,2,3,2,1,9,3,1,1,1
24,1,10,43,Rimouski,103,4,15,16,14,36,11,4,3,0
24,1,10,60,Saint-ValÇrien,24,1,2,4,6,8,3,0,0,0
24,1,10,65,Le Bic,34,1,1,9,5,11,3,2,1,1
24,1,10,70,Saint-Fabien,44,3,9,7,8,13,2,2,0,0
24,1,10,75,Saint-Eugäne-de-Ladriäre,32,3,5,6,4,10,3,0,1,0
24,1,11,0,Les Basques,211,12,27,42,43,58,18,8,3,0
24,1,11,5,Saint-ClÇment,25,0,3,7,5,9,0,1,0,0
24,1,11,10,Saint-Jean-de-Dieu,44,0,6,5,11,17,2,2,1,0
24,1,11,15,Sainte-Rita,33,2,6,8,8,5,2,1,1,0
24,1,11,30,Sainte-Franáoise,22,3,4,2,3,7,1,2,0,0
24,1,11,35,Saint-êloi,23,0,0,5,4,11,3,0,0,0
24,1,11,45,Notre-Dame-des-Neiges,35,4,2,11,8,4,5,0,1,0
24,1,11,55,Saint-Simon,29,3,6,4,4,5,5,2,0,0
24,1,12,0,Riviäre-du-Loup,296,16,26,52,53,105,26,8,8,2
24,1,12,5,Saint-Cyprien,32,3,4,8,6,10,0,0,1,0
24,1,12,10,Saint-Hubert-de-Riviäre-du-Loup,28,1,4,6,4,8,3,1,1,0
24,1,12,15,Saint-Antonin,34,3,2,9,8,9,2,1,0,0
24,1,12,30,Saint-êpiphane,41,3,6,6,7,14,3,1,1,0
24,1,12,43,L'Isle-Verte,48,2,3,3,12,19,4,1,2,2
24,1,12,60,Saint-Georges-de-Cacouna,29,3,0,7,1,13,5,0,0,0
24,1,12,65,Saint-Arsäne,51,1,2,7,11,22,6,1,1,0
24,1,12,72,Riviäre-du-Loup,33,0,5,6,4,10,3,3,2,0
24,1,13,0,TÇmiscouata,393,33,74,65,51,123,28,11,6,2
24,1,13,5,DÇgelis,42,2,7,6,6,16,4,0,0,1
24,1,13,25,Riviäre-Bleue,45,3,6,7,3,21,2,3,0,0
24,1,13,30,Saint-Eusäbe,25,4,4,3,6,8,0,0,0,0
24,1,13,35,Notre-Dame-du-Lac,28,1,5,3,5,8,1,2,2,1
24,1,13,45,Auclair,31,3,6,5,4,8,4,0,1,0
24,1,13,50,Lejeune,21,0,5,5,4,3,3,1,0,0
24,1,13,55,Biencourt,41,1,10,8,5,12,2,1,2,0
24,1,13,65,Saint-Michel-du-Squatec,44,7,12,5,6,12,1,1,0,0
24,1,13,70,Cabano,28,1,4,7,3,9,2,1,1,0
24,1,13,80,Saint-Louis-du-Ha! Ha!,20,3,4,3,0,7,2,1,0,0
24,1,13,95,PohÇnÇgamook,49,6,6,10,7,13,7,0,0,0
24,1,13,100,Saint-Athanase,19,2,5,3,2,6,0,1,0,0
24,1,14,0,Kamouraska,443,29,48,79,71,122,59,18,13,4
24,1,14,5,Mont-Carmel,32,1,4,14,2,7,1,3,0,0
24,1,14,18,Saint-Pascal,44,3,8,9,8,10,4,1,0,1
24,1,14,25,Sainte-HÇläne,26,1,3,4,6,6,5,0,1,0
24,1,14,30,Saint-Joseph-de-Kamouraska,28,2,1,4,7,5,8,0,0,1
24,1,14,35,Saint-Alexandre-de-Kamouraska,50,2,4,6,9,19,7,2,1,0
24,1,14,40,Saint-AndrÇ,37,1,2,8,8,9,6,2,1,0
24,1,14,50,Kamouraska,38,0,0,4,4,17,7,2,4,0
24,1,14,55,Saint-Denis,31,0,4,5,3,10,6,2,1,0
24,1,14,60,Saint-Philippe-de-NÇri,24,4,3,2,7,4,2,0,1,1
24,1,14,65,Riviäre-Ouelle,32,1,2,3,5,9,7,2,2,1
24,1,14,80,Saint-OnÇsime-d'Ixworth,35,3,8,12,2,9,0,0,1,0
24,1,14,90,Sainte-Anne-de-la-Pocatiäre,66,11,9,8,10,17,6,4,1,0
24,3,15,0,Charlevoix-Est,67,6,11,14,8,13,10,1,3,1
