PROV ,CAR,CD,CCS,GEO NAMES,ntfarea,tfarea,etfarea,ncrplnd,crplnd,ecrplnd,nsummrf,summrf,esummrf,nimpast,impast,eimpast,nunimpst,unimpst,eunimpst,nothlnd,othlnd,eothlnd,nimpsz1,nimpsz2,nimpsz3,nimpsz4,nimpsz5,nimpsz6,nimpsz7,nimpsz8,nimpsz9,nimpsz10,nimpsz11,nimpsz12,nimpsz13,ntunglas,tunglas,etunglas,ntotgrn,totgrn,etotgrn,nflower,flower,eflower,ngrnveg,grnveg,egrnveg,ngrnothr,grnothr,egrnothr,nmushrm,mushrm,emushrm,nirrig,irrig,eirrig,nfertil,fertil,efertil,nherbci,herbci,eherbci,ninsecti,insecti,einsecti,nfungic,fungic,efungic,nmsolid,msolid,emsolid,nmirrig,mirrig,emirrig,nmliqsur,mliqsur,emliqsur,nmliqinj,mliqinj,emliqinj,ncroprot,nprmgras,ncovcrop,ncontour,nstripcr,ngraswat,nwindyes,ngrmanny,nmchcpny,ntilars,tilars,etilars,ntilconv,tilconv,etilconv,ntilcons,tilcons,etilcons,ntillno,tillno,etillno,nchemsf,chemsf,echemsf,ntillsf,tillsf,etillsf,ncombsf,combsf,ecombsf
10,1,1,519,St. John's,162,"18,265","7,392",129,"5,045","2,042",0,0,0,29,"1,125",455,41,"3,520","1,424",124,"8,575","3,470",129,19,38,49,12,5,4,0,2,0,0,0,0,28,"299,855","27,857",28,"290,105","26,952",19,"265,778","24,692",12,"17,127","1,591",4,"7,200",669,0,0,0,8,15,6,88,"2,737","1,108",42,528,214,42,240,97,13,88,36,89,"2,840","1,149",0,0,0,25,"1,761",713,0,0,0,64,55,10,4,4,3,19,15,46,87,927,375,68,554,224,16,189,76,24,184,74,0,0,0,0,0,0,0,0,0
10,1,2,0,Division No.  2,26,"1,716",694,19,342,138,1,x,x,5,89,36,8,221,89,19,x,x,19,6,5,6,2,0,0,0,0,0,0,0,0,5,"21,900","2,035",5,"21,900","2,035",3,x,x,2,x,x,1,x,x,0,0,0,4,12,5,14,207,84,6,51,21,6,27,11,3,7,3,8,40,16,0,0,0,0,0,0,0,0,0,9,9,1,1,1,0,0,3,10,11,98,40,10,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0
10,1,2,1,Subd. E,26,"1,716",694,19,342,138,1,x,x,5,89,36,8,221,89,19,x,x,19,6,5,6,2,0,0,0,0,0,0,0,0,5,"21,900","2,035",5,"21,900","2,035",3,x,x,2,x,x,1,x,x,0,0,0,4,12,5,14,207,84,6,51,21,6,27,11,3,7,3,8,40,16,0,0,0,0,0,0,0,0,0,9,9,1,1,1,0,0,3,10,11,98,40,10,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0
10,3,4,0,Division No.  4,51,"12,088","4,892",38,"2,914","1,179",4,93,38,22,"1,443",584,22,"2,388",966,41,"5,250","2,125",38,7,3,19,6,0,0,1,0,1,1,0,0,6,"39,510","3,671",6,"38,100","3,540",4,x,x,2,x,x,1,x,x,0,0,0,3,7,3,32,"2,681","1,085",13,493,200,13,140,57,8,74,30,13,310,125,0,0,0,4,895,362,0,0,0,24,13,2,2,0,1,10,6,14,27,880,356,23,812,329,3,40,16,5,28,11,1,x,x,3,x,x,0,0,0
10,3,4,1,Subd. A,19,"6,072","2,457",15,"1,333",539,2,x,x,9,816,330,12,"1,064",431,16,x,x,15,3,0,8,3,0,0,0,0,0,1,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,13,"1,481",599,1,x,x,1,x,x,0,0,0,7,171,69,0,0,0,2,x,x,0,0,0,7,6,0,0,0,0,3,1,3,8,253,102,7,241,98,2,x,x,1,x,x,1,x,x,1,x,x,0,0,0
10,3,4,6,Subd. B,32,"6,016","2,435",23,"1,581",640,2,x,x,13,627,254,10,"1,324",536,25,x,x,23,4,3,11,3,0,0,1,0,1,0,0,0,5,x,x,5,x,x,3,x,x,2,x,x,1,x,x,0,0,0,3,7,3,19,"1,200",486,12,x,x,12,x,x,8,74,30,6,139,56,0,0,0,2,x,x,0,0,0,17,7,2,2,0,1,7,5,11,19,627,254,16,571,231,1,x,x,4,x,x,0,0,0,2,x,x,0,0,0
10,3,5,0,Division No.  5,100,"18,308","7,409",82,"5,637","2,281",7,39,16,30,962,389,21,932,377,86,"10,738","4,346",82,7,17,34,6,5,6,5,2,0,0,0,0,13,"41,330","3,840",13,"40,378","3,751",10,x,x,7,x,x,0,0,0,0,0,0,12,219,89,63,"4,530","1,833",17,336,136,18,174,70,9,127,51,35,938,380,0,0,0,15,"2,348",950,0,0,0,33,45,0,3,2,3,17,13,26,53,973,394,45,706,286,7,65,26,8,202,82,2,x,x,7,x,x,0,0,0
10,3,5,7,Subd. E,43,"12,388","5,013",40,"3,763","1,523",5,x,x,13,446,180,8,794,321,40,x,x,40,4,7,11,6,4,3,3,2,0,0,0,0,3,x,x,3,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,33,"3,181","1,287",9,95,38,10,70,28,4,38,15,11,345,140,0,0,0,10,"1,844",746,0,0,0,15,26,0,1,1,3,6,5,12,24,572,231,21,356,144,3,x,x,2,x,x,1,x,x,5,30,12,0,0,0
10,3,5,10,Subd. F,22,"2,673","1,082",16,893,361,0,0,0,6,175,71,4,18,7,19,"1,587",642,16,2,2,9,0,0,2,1,0,0,0,0,0,3,x,x,3,x,x,3,x,x,0,0,0,0,0,0,0,0,0,5,204,83,12,678,274,5,161,65,4,82,33,2,x,x,10,471,191,0,0,0,3,x,x,0,0,0,7,4,0,1,1,0,3,2,7,10,139,56,9,122,49,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0
10,3,5,19,Subd. D,35,"3,247","1,314",26,981,397,2,x,x,11,341,138,9,120,49,27,x,x,26,1,8,14,0,1,1,1,0,0,0,0,0,7,"12,080","1,122",7,"11,480","1,067",6,"8,210",763,5,"3,270",304,0,0,0,0,0,0,6,x,x,18,671,272,3,80,32,4,22,9,3,x,x,14,122,49,0,0,0,2,x,x,0,0,0,11,15,0,1,0,0,8,6,7,19,262,106,15,228,92,3,14,6,4,20,8,1,x,x,2,x,x,0,0,0
10,2,6,0,Division No.  6,42,"4,053","1,640",25,"1,208",489,1,x,x,5,165,67,3,120,49,39,x,x,25,3,5,14,1,0,1,0,1,0,0,0,0,14,"47,764","4,437",14,"47,208","4,386",10,x,x,6,"7,020",652,1,x,x,0,0,0,5,25,10,22,790,320,10,445,180,8,281,114,4,207,84,7,181,73,1,x,x,4,77,31,0,0,0,19,9,1,3,0,0,10,7,15,18,457,185,17,352,142,4,x,x,2,x,x,0,0,0,0,0,0,1,x,x
10,2,6,14,Subd. C,42,"4,053","1,640",25,"1,208",489,1,x,x,5,165,67,3,120,49,39,x,x,25,3,5,14,1,0,1,0,1,0,0,0,0,14,"47,764","4,437",14,"47,208","4,386",10,x,x,6,"7,020",652,1,x,x,0,0,0,5,25,10,22,790,320,10,445,180,8,281,114,4,207,84,7,181,73,1,x,x,4,77,31,0,0,0,19,9,1,3,0,0,10,7,15,18,457,185,17,352,142,4,x,x,2,x,x,0,0,0,0,0,0,1,x,x
10,2,7,0,Division No.  7,64,"6,063","2,454",44,"2,114",856,3,26,11,10,174,70,14,450,182,54,"3,299","1,335",44,5,8,20,5,2,2,2,0,0,0,0,0,14,"74,332","6,906",14,"74,332","6,906",12,x,x,5,"10,412",967,1,x,x,0,0,0,7,93,38,40,"1,703",689,16,303,123,18,263,106,7,113,46,19,424,172,0,0,0,7,x,x,0,0,0,25,18,2,5,1,1,10,3,19,35,700,283,30,617,250,8,66,27,5,17,7,0,0,0,3,26,11,0,0,0
10,2,7,9,Subd. K,19,827,335,10,281,114,0,0,0,3,x,x,4,14,6,18,x,x,10,1,0,8,1,0,0,0,0,0,0,0,0,4,"10,800","1,003",4,"10,800","1,003",4,x,x,1,x,x,0,0,0,0,0,0,1,x,x,9,221,89,4,75,30,3,94,38,2,x,x,7,x,x,0,0,0,2,x,x,0,0,0,4,4,1,1,0,0,2,1,4,7,69,28,5,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7,31,Subd. E,26,"3,691","1,494",20,"1,463",592,1,x,x,5,63,25,7,409,166,22,x,x,20,1,3,8,3,2,1,2,0,0,0,0,0,4,"14,680","1,364",4,"14,680","1,364",3,x,x,2,x,x,0,0,0,0,0,0,4,25,10,19,"1,321",535,5,131,53,7,112,45,4,70,28,10,361,146,0,0,0,5,472,191,0,0,0,11,12,1,3,0,1,5,2,7,16,534,216,15,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0
10,2,7,38,Subd. D,19,"1,545",625,14,370,150,2,x,x,2,x,x,3,27,11,14,x,x,14,3,5,4,1,0,1,0,0,0,0,0,0,6,"48,852","4,538",6,"48,852","4,538",5,x,x,2,x,x,1,x,x,0,0,0,2,x,x,12,161,65,7,97,39,8,57,23,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,10,2,0,1,1,0,3,0,8,12,97,39,10,64,26,5,x,x,4,x,x,0,0,0,2,x,x,0,0,0
10,2,8,0,Division No.  8,59,"4,371","1,769",39,489,198,5,x,x,11,86,35,15,"1,560",631,44,x,x,39,8,13,17,1,0,0,0,0,0,0,0,0,14,"36,366","3,379",14,"36,366","3,379",10,"31,400","2,917",8,"4,966",461,0,0,0,0,0,0,8,46,19,32,532,215,16,190,77,23,175,71,7,69,28,17,154,62,1,x,x,1,x,x,0,0,0,22,15,2,2,0,4,10,9,20,28,293,119,24,261,106,5,x,x,4,x,x,1,x,x,3,12,5,2,x,x
10,2,8,31,Subd. H,18,451,183,6,28,11,0,0,0,2,x,x,5,284,115,11,x,x,6,2,3,1,0,0,0,0,0,0,0,0,0,6,"20,480","1,903",6,"20,480","1,903",5,"17,600","1,635",4,"2,880",268,0,0,0,0,0,0,1,x,x,5,16,6,0,0,0,1,x,x,0,0,0,5,91,37,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,4,9,4,3,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
10,2,8,36,Subd. G,18,"1,298",525,12,236,96,1,x,x,3,36,15,6,414,168,14,x,x,12,0,6,5,1,0,0,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,10,198,80,5,91,37,7,102,41,2,x,x,8,25,10,1,x,x,0,0,0,0,0,0,8,6,1,2,0,4,6,2,8,8,133,54,7,x,x,2,x,x,1,x,x,1,x,x,0,0,0,1,x,x
10,2,8,58,Subd. C,23,"2,622","1,061",21,225,91,4,x,x,6,x,x,4,862,349,19,x,x,21,6,4,11,0,0,0,0,0,0,0,0,0,6,x,x,6,x,x,3,x,x,4,"2,086",194,0,0,0,0,0,0,5,18,7,17,318,129,11,99,40,15,x,x,5,x,x,4,38,15,0,0,0,1,x,x,0,0,0,13,5,0,0,0,0,4,7,11,16,151,61,14,136,55,2,x,x,2,x,x,0,0,0,3,12,5,1,x,x
10,1,0,0,Agr. Reg. 1 - RÇg. Agr 1,327,"55,388","22,415",249,"8,481","3,432",8,87,35,59,"3,421","1,384",98,"12,074","4,886",249,"31,325","12,677",249,37,65,109,23,7,5,0,3,0,0,0,0,49,"395,111","36,707",49,"384,761","35,745",34,"338,694","31,466",19,"38,147","3,544",6,"7,920",736,0,0,0,16,75,30,163,"5,616","2,273",68,870,352,71,552,223,26,176,71,169,"5,781","2,339",0,0,0,28,"1,811",733,0,0,0,108,124,15,10,6,7,34,26,88,146,"1,695",686,110,993,402,29,378,153,39,324,131,0,0,0,7,x,x,1,x,x
10,2,0,0,Agr. Reg. 2 - RÇg. Agr 2,165,"14,487","5,863",108,"3,811","1,542",9,62,25,26,425,172,32,"2,130",862,137,"8,059","3,261",108,16,26,51,7,2,3,2,1,0,0,0,0,42,"158,462","14,722",42,"157,906","14,670",32,x,x,19,"22,398","2,081",2,x,x,0,0,0,20,164,66,94,"3,025","1,224",42,938,380,49,719,291,18,389,157,43,759,307,2,x,x,12,689,279,0,0,0,66,42,5,10,1,5,30,19,54,81,"1,450",587,71,"1,230",498,17,173,70,11,47,19,1,x,x,6,38,15,3,x,x
10,3,0,0,Agr. Reg. 3 - RÇg. Agr 3,151,"30,396","12,301",120,"8,551","3,460",11,132,53,52,"2,405",973,43,"3,320","1,344",127,"15,988","6,470",120,14,20,53,12,5,6,6,2,1,1,0,0,19,"80,840","7,510",19,"78,478","7,291",14,x,x,9,"4,068",378,1,x,x,0,0,0,15,226,91,95,"7,211","2,918",30,829,335,31,314,127,17,201,81,48,"1,248",505,0,0,0,19,"3,243","1,312",0,0,0,57,58,2,5,2,4,27,19,40,80,"1,853",750,68,"1,518",614,10,105,42,13,230,93,3,x,x,10,x,x,0,0,0
11,0,0,0,P.E.I. - ?.-P.-ê.,"1,845","646,137","261,482","1,684","433,641","175,488",31,520,210,750,"29,192","11,814",658,"31,786","12,863","1,589","150,998","61,107","1,684",38,69,478,311,158,141,195,97,62,59,43,33,42,"423,620","39,356",42,"399,307","37,097",18,"257,755","23,946",25,"112,732","10,473",6,"28,820","2,677",2,x,x,38,"1,827",739,"1,232","272,069","110,102","1,087","229,145","92,732",605,"111,841","45,260",519,"110,081","44,548","1,202","63,870","25,847",1,x,x,165,"16,971","6,868",0,0,0,"1,375",721,278,206,237,437,452,427,301,"1,362","294,652","119,241","1,227","224,665","90,919",304,"64,905","26,266",43,"5,082","2,057",7,202,82,19,228,92,7,90,36
11,1,1,0,Kings County,322,"130,448","52,790",292,"77,155","31,224",7,139,56,107,"4,655","1,884",110,"4,771","1,931",279,"43,728","17,696",292,8,14,87,51,37,13,30,14,12,10,8,8,8,"31,960","2,969",8,"26,820","2,492",3,"9,695",901,7,"17,125","1,591",0,0,0,0,0,0,3,12,5,193,"45,930","18,587",182,"42,755","17,302",96,"18,941","7,665",90,"19,483","7,884",161,"6,085","2,463",0,0,0,23,"2,034",823,0,0,0,218,121,53,33,40,60,71,68,66,222,"52,147","21,103",197,"35,520","14,374",58,"15,319","6,199",5,"1,308",529,1,x,x,4,51,21,2,x,x
11,1,1,1,Lot 64,19,"3,382","1,369",17,"1,942",786,1,x,x,5,162,66,7,118,48,17,x,x,17,1,2,8,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,938,380,8,620,251,3,x,x,3,x,x,10,119,48,0,0,0,0,0,0,0,0,0,13,7,3,1,0,2,2,4,5,14,905,366,14,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0
11,1,1,6,Lot 63,22,"6,526","2,641",20,"3,829","1,550",0,0,0,5,179,72,7,147,59,21,"2,371",960,20,1,0,3,3,5,1,4,3,0,0,0,0,2,x,x,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,10,"2,084",843,14,"2,365",957,4,497,201,6,"1,032",418,11,371,150,0,0,0,1,x,x,0,0,0,15,10,6,3,5,2,4,8,6,17,"2,538","1,027",16,"1,920",777,5,618,250,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,9,Lot 59,31,"6,473","2,620",24,"3,745","1,516",2,x,x,8,293,119,7,174,70,22,x,x,24,1,2,11,5,0,2,0,1,1,0,1,0,4,"22,960","2,133",4,"20,820","1,934",1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,19,"2,296",929,17,"1,241",502,11,881,357,11,788,319,12,306,124,0,0,0,1,x,x,0,0,0,16,11,5,0,2,2,7,6,11,17,"3,010","1,218",15,x,x,4,"1,674",677,1,x,x,0,0,0,0,0,0,2,x,x
11,1,1,14,Lot 51,26,"12,687","5,134",23,"7,364","2,980",0,0,0,12,688,278,7,178,72,21,"4,457","1,804",23,0,0,3,3,6,3,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"5,250","2,125",15,"4,212","1,705",5,812,329,4,800,324,13,660,267,0,0,0,4,280,113,0,0,0,18,13,4,4,2,7,6,5,3,21,"5,142","2,081",20,"4,617","1,868",6,525,212,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,16,Lot 52,24,"7,101","2,874",20,"3,812","1,543",0,0,0,6,296,120,6,224,91,21,"2,769","1,121",20,0,0,6,4,4,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"3,050","1,234",17,"2,792","1,130",10,871,352,11,"1,536",622,9,295,119,0,0,0,7,643,260,0,0,0,15,6,4,0,2,3,6,1,3,15,"2,894","1,171",13,"1,551",628,3,"1,343",543,0,0,0,0,0,0,0,0,0,0,0,0
