areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ATOTAL,BSEX01,BSEX02,CAGEDIS01,CAGEDIS02,CAGEDIS03,DAAGE,ERESNY01,ERESNY02,FINJURNY01,FINJURNY02,GWRKONF01,GWRKONF02,GWRKONF03,HWRKOFF01,HWRKOFF02,HWRKOFF03,HWRKOFF04
110000000,11,0,0,0,0,110000000,Prince Edward Island,"2,455","2,095",360,265,"1,385",805,49.3,315,"2,140","2,380",75,520,520,"1,415","1,390",200,475,390
110100000,11,1,0,0,1,110100000,Agricultural Region 1 - (CAR),430,365,60,35,250,145,49.9,75,355,415,15,105,95,230,220,40,80,90
110101000,11,1,1,0,1,110101000,Kings County - (CD),430,365,65,35,250,145,49.9,75,355,415,15,105,95,230,220,40,80,90
110101001,11,1,1,1,1,110101001,Lot 64 - (CCS),25,15,5,5,10,10,53.5,0,20,20,0,15,5,5,5,0,5,10
110101006,11,1,1,6,1,110101006,Lot 63 - (CCS),30,25,5,5,15,10,48.0,10,20,30,0,5,5,15,20,5,5,0
110101009,11,1,1,9,1,110101009,Lot 59 - (CCS),40,30,10,10,15,15,49.7,5,35,40,0,10,15,15,20,5,10,5
110101014,11,1,1,14,1,110101014,Lot 51 - (CCS),30,30,5,0,20,10,48.9,0,30,30,0,5,5,20,20,5,5,5
110101016,11,1,1,16,1,110101016,Lot 52 - (CCS),30,25,5,0,20,10,49.7,5,25,25,0,10,0,15,10,5,10,5
110101026,11,1,1,26,1,110101026,Lot 54 - (CCS),30,30,0,0,20,10,51.3,0,25,30,5,0,10,15,20,0,5,5
110101028,11,1,1,28,1,110101028,Lot 55 - (CCS),35,30,5,5,25,5,46.3,5,35,40,0,5,10,25,20,5,5,10
110101032,11,1,1,32,1,110101032,Lot 44 - (CCS),35,30,5,0,20,15,53.8,5,30,35,0,10,10,15,20,0,5,15
110101034,11,1,1,34,1,110101034,Lot 45 - (CCS),35,35,5,0,25,10,49.6,10,25,35,0,5,5,25,15,5,10,5
110101039,11,1,1,39,1,110101039,Lot 47 - (CCS),20,20,5,0,15,10,53.3,5,20,25,0,5,5,20,15,5,0,5
110101042,11,1,1,42,1,110101042,Lot 41 - (CCS),30,25,0,5,15,10,48.6,10,15,30,0,10,5,15,10,0,5,10
110101046,11,1,1,46,1,110101046,Lot 40 - (CCS),60,50,10,5,35,15,48.3,10,45,55,0,10,5,40,35,5,5,5
110101051,11,1,1,51,1,110101051,Lot 38 - (CCS),30,20,5,0,15,10,52.0,10,25,30,0,5,10,15,10,0,10,5
110200000,11,2,0,0,2,110200000,Agricultural Region 2 - (CAR),"1,190","1,000",190,130,670,390,49.5,120,"1,070","1,150",40,260,255,675,665,85,255,180
110202000,11,2,2,0,2,110202000,Queens County - (CD),"1,190","1,000",190,125,670,390,49.5,120,"1,070","1,150",40,260,255,670,665,90,255,180
110202006,11,2,2,6,2,110202006,Lot 58 - (CCS),65,45,20,10,45,10,46.0,15,50,60,5,25,10,25,30,5,20,10
110202008,11,2,2,8,2,110202008,Lot 57 - (CCS),55,45,10,15,30,15,47.5,10,45,50,5,5,10,40,35,5,10,10
110202009,11,2,2,9,2,110202009,Lot 50 - (CCS),55,55,5,5,35,10,47.0,5,50,50,0,10,5,35,40,5,10,5
110202012,11,2,2,12,2,110202012,Lot 49 - (CCS),40,40,5,5,20,15,50.2,0,40,35,5,5,15,20,15,5,10,10
110202014,11,2,2,14,2,110202014,Lot 48 - (CCS),55,45,10,5,25,25,52.1,5,50,55,0,20,15,20,25,5,10,20
110202026,11,2,2,26,2,110202026,Lot 31 - (CCS),95,80,10,10,55,30,50.6,10,90,90,5,15,20,60,55,10,15,15
110202028,11,2,2,28,2,110202028,Lot 65 - (CCS),75,55,15,5,35,30,51.6,5,70,70,5,15,20,40,40,5,20,5
110202029,11,2,2,29,2,110202029,Lot 30 - (CCS),45,35,10,5,20,15,49.8,0,40,40,5,10,15,15,20,0,10,10
110202031,11,2,2,31,2,110202031,Lot 29 - (CCS),45,35,5,5,20,20,50.9,5,40,40,0,15,10,25,20,5,15,10
110202036,11,2,2,36,2,110202036,Lot 67 - (CCS),85,70,15,10,50,20,47.8,10,75,75,5,20,10,50,45,5,20,10
110202038,11,2,2,38,2,110202038,Lot 20 - (CCS),60,45,15,10,35,15,45.9,0,60,60,0,10,15,30,30,5,15,10
110202039,11,2,2,39,2,110202039,Lot 21 - (CCS),25,20,10,0,15,15,53.7,0,25,25,0,0,5,20,20,0,5,0
110202040,11,2,2,40,2,110202040,Miltonvale Park - (CCS),40,35,5,5,25,10,47.5,5,30,40,0,10,10,20,20,0,15,5
110202041,11,2,2,41,2,110202041,Lot 22 - (CCS),40,35,5,5,15,20,51.0,0,40,40,5,10,10,30,25,0,5,10
110202042,11,2,2,42,2,110202042,Lot 23 - (CCS),50,50,5,5,25,25,52.3,5,45,50,0,10,10,35,35,0,10,5
110202044,11,2,2,44,2,110202044,Lot 24 - (CCS),70,55,15,5,40,25,48.6,5,65,70,0,10,15,45,45,10,5,10
110202049,11,2,2,49,2,110202049,Lot 33 - (CCS),90,80,15,5,60,25,51.1,15,75,85,0,20,25,50,45,5,20,20
110202052,11,2,2,52,2,110202052,Lot 34 - (CCS),65,55,10,10,40,15,47.6,5,55,60,0,5,15,45,45,5,15,10
110202054,11,2,2,54,2,110202054,Lot 35 - (CCS),35,30,5,0,20,15,51.4,5,35,35,5,10,10,15,20,0,10,5
110202056,11,2,2,56,2,110202056,Lot 36 - (CCS),40,35,10,5,15,15,49.5,0,40,40,0,5,10,25,25,0,10,5
110202058,11,2,2,58,2,110202058,Lot 37 - (CCS),30,30,0,5,25,5,46.2,5,25,30,0,10,5,15,10,5,10,10
110202085,11,2,2,85,2,110202085,Cornwall - (CCS),35,30,5,0,25,10,53.5,0,30,30,0,10,5,25,20,5,5,0
110300000,11,3,0,0,3,110300000,Agricultural Region 3 - (CAR),835,725,110,105,460,270,48.8,125,710,815,15,155,170,510,505,70,140,120
110303000,11,3,3,0,3,110303000,Prince County - (CD),830,725,105,100,465,270,48.8,120,710,815,15,150,175,510,505,65,140,120
110303001,11,3,3,1,3,110303001,Lot 28 - (CCS),60,55,5,0,30,25,51.9,5,55,55,0,10,5,40,45,0,5,5
110303006,11,3,3,6,3,110303006,Lot 27 - (CCS),45,40,5,5,25,15,45.7,10,35,45,0,5,5,35,30,5,10,0
110303009,11,3,3,9,3,110303009,Lot 26 - (CCS),70,60,10,10,40,15,46.5,0,65,65,0,10,20,40,45,5,10,10
110303011,11,3,3,11,3,110303011,Lot 25 - (CCS),60,50,10,10,30,20,47.4,5,55,60,0,5,15,40,40,5,10,5
110303012,11,3,3,12,3,110303012,Lot 19 - (CCS),60,50,5,10,30,25,50.6,10,55,55,0,10,15,35,35,0,10,10
110303016,11,3,3,16,3,110303016,Lot 18 - (CCS),50,40,5,5,25,20,50.4,10,35,50,0,15,10,30,30,5,10,5
110303019,11,3,3,19,3,110303019,Lot 17 - (CCS),50,40,10,5,30,15,49.7,15,35,45,0,15,10,30,30,10,5,5
110303028,11,3,3,28,3,110303028,Lot 16 - (CCS),50,35,15,5,20,25,51.1,5,45,50,0,10,10,30,35,0,5,0
110303031,11,3,3,31,3,110303031,Lot 14 - (CCS),35,35,5,0,25,10,47.8,5,35,35,5,10,5,25,25,5,5,5
110303032,11,3,3,32,3,110303032,Lot 13 - (CCS),30,30,0,0,25,10,50.5,0,30,30,0,5,10,20,15,10,5,5
110303034,11,3,3,34,3,110303034,Lot 12 - (CCS),25,25,5,0,20,5,50.3,5,15,20,0,5,5,5,0,0,10,5
110303041,11,3,3,41,3,110303041,Lot  6 - (CCS),45,45,0,5,30,15,48.9,10,40,45,0,5,10,30,25,5,5,10
110303044,11,3,3,44,3,110303044,Lot  9 - (CCS),35,25,10,5,20,15,50.7,0,35,30,5,5,10,15,20,0,5,10
110303046,11,3,3,46,3,110303046,Lot  8 - (CCS),40,35,5,10,20,10,47.5,0,40,40,0,5,5,30,30,0,5,5
110303048,11,3,3,48,3,110303048,Lot  7 - (CCS),50,40,10,15,30,5,43.2,10,40,45,0,5,15,25,30,5,10,10
110303051,11,3,3,51,3,110303051,Lot  4 - (CCS),50,45,5,5,30,15,49.7,10,40,50,0,10,5,35,30,5,10,5
110303054,11,3,3,54,3,110303054,Lot  3 - (CCS),45,45,0,10,25,15,49.9,10,35,40,0,10,10,25,25,5,0,5
110303058,11,3,3,58,3,110303058,Lot  1 - (CCS),40,30,5,5,20,10,48.2,10,30,40,0,20,10,10,10,5,10,10
120000000,12,0,0,0,0,120000000,Nova Scotia,"5,080","4,000","1,080",475,"2,675","1,935",51.0,855,"4,230","4,925",160,"1,785","1,255","2,035","2,625",450,985,"1,015"
120100000,12,1,0,0,1,120100000,Agricultural Region 1 - (CAR),845,670,170,85,435,325,51.1,205,635,820,25,345,215,280,370,100,175,195
120101000,12,1,1,0,1,120101000,Shelburne County - (CD),30,20,15,5,10,15,53.8,5,30,30,0,15,10,5,10,5,10,10
120101006,12,1,1,6,1,120101006,Shelburne - (CCS),35,20,10,5,15,15,53.8,5,30,35,0,15,15,10,10,5,10,10
120102000,12,1,2,0,1,120102000,Yarmouth County - (CD),145,110,35,15,75,50,51.6,35,105,145,0,70,25,40,65,25,25,35
120102001,12,1,2,1,1,120102001,Argyle - (CCS),35,25,10,5,20,15,51.1,10,30,35,0,25,5,10,10,10,5,10
120102004,12,1,2,4,1,120102004,Yarmouth - (CCS),105,85,20,10,60,35,51.8,30,80,105,5,50,25,35,50,15,15,25
120103000,12,1,3,0,1,120103000,Digby County - (CD),140,120,20,25,70,50,48.5,40,100,130,5,35,35,70,65,15,30,30
120103001,12,1,3,1,1,120103001,Clare - (CCS),90,75,15,20,40,30,47.6,30,60,85,5,20,20,50,40,10,15,20
120103004,12,1,3,4,1,120103004,Digby - (CCS),50,45,10,10,25,20,49.9,10,40,45,5,15,15,25,20,5,15,10
120104000,12,1,4,0,1,120104000,Queens County - (CD),55,50,10,5,25,30,52.5,15,45,60,5,25,10,25,30,5,10,20
120104010,12,1,4,10,1,120104010,Queens - (CCS),60,50,10,5,25,30,52.5,15,40,55,0,25,10,20,30,0,10,15
120106000,12,1,6,0,1,120106000,Lunenburg County - (CD),465,375,95,35,250,180,51.3,110,360,455,15,205,125,135,205,55,95,105
120106001,12,1,6,1,1,120106001,Lunenburg - (CCS),335,265,70,25,180,130,51.6,70,265,325,10,145,80,115,160,40,60,80
120106009,12,1,6,9,1,120106009,Chester - (CCS),130,110,20,10,70,45,50.7,35,95,125,5,60,40,25,50,15,40,30
120200000,12,2,0,0,2,120200000,Agricultural Region 2 - (CAR),"1,655","1,285",365,175,900,580,50.0,180,"1,470","1,590",65,445,420,790,955,135,280,285
120205000,12,2,5,0,2,120205000,Annapolis County - (CD),340,260,75,35,180,120,50.4,25,315,325,10,105,90,140,180,35,65,55
120205001,12,2,5,1,2,120205001,"Annapolis, Subd. D - (CCS)",45,30,10,0,25,15,50.5,5,40,40,0,10,15,15,20,5,5,5
120205004,12,2,5,4,2,120205004,"Annapolis, Subd. A - (CCS)",90,65,25,10,50,30,50.6,5,85,80,5,30,25,35,50,10,20,10
120205009,12,2,5,9,2,120205009,"Annapolis, Subd. B - (CCS)",115,90,30,15,55,50,51.2,10,105,115,0,40,35,45,65,10,25,20
120205014,12,2,5,14,2,120205014,"Annapolis, Subd. C - (CCS)",90,80,10,10,45,35,49.2,5,85,85,5,25,20,45,50,10,20,15
120207000,12,2,7,0,2,120207000,Kings County - (CD),860,680,185,95,490,280,49.2,115,755,830,35,210,205,450,520,55,125,165
120207001,12,2,7,1,2,120207001,"Kings, Subd. A - (CCS)",430,330,100,55,235,145,48.9,55,375,410,15,105,110,220,230,25,70,100
120207011,12,2,7,11,2,120207011,"Kings, Subd. C - (CCS)",45,40,5,5,20,25,55.4,15,35,40,5,15,10,20,25,5,10,5
120207016,12,2,7,16,2,120207016,"Kings, Subd. B - (CCS)",250,195,50,30,155,65,47.8,30,215,235,10,55,45,145,160,20,30,40
120207021,12,2,7,21,2,120207021,"Kings, Subd. D - (CCS)",135,110,30,5,85,45,50.7,15,125,135,5,35,35,70,95,10,15,20
120208000,12,2,8,0,2,120208000,Hants County - (CD),450,345,105,40,230,180,51.3,45,410,430,20,130,125,200,250,40,90,70
120208001,12,2,8,1,2,120208001,West Hants - (CCS),210,150,55,10,110,90,53.6,20,185,205,5,60,65,85,115,15,45,30
120208008,12,2,8,8,2,120208008,East Hants - (CCS),240,195,50,35,125,85,49.4,20,225,230,15,60,65,115,135,25,45,35
120300000,12,3,0,0,3,120300000,Agricultural Region 3 - (CAR),"1,480","1,155",335,130,730,620,51.9,295,"1,190","1,440",45,610,330,545,765,120,290,300
120309000,12,3,9,0,3,120309000,Halifax County - (CD),200,150,55,25,95,85,51.3,45,160,195,10,70,45,90,125,15,30,35
120309034,12,3,9,34,3,120309034,Halifax - (CCS),200,145,55,25,95,85,51.3,40,160,195,10,65,45,90,125,15,25,40
120310000,12,3,10,0,3,120310000,Colchester County - (CD),605,475,130,70,305,230,50.5,115,490,585,20,230,125,250,310,45,125,125
120310001,12,3,10,1,3,120310001,"Colchester, Subd. C - (CCS)",255,205,45,35,135,80,48.9,40,210,245,10,85,45,125,135,15,40,55
120310008,12,3,10,8,3,120310008,"Colchester, Subd. B - (CCS)",220,165,50,20,105,90,52.1,30,185,205,5,75,50,90,115,15,40,45
120310012,12,3,10,12,3,120310012,"Colchester, Subd. A - (CCS)",135,105,35,15,70,55,51.1,40,100,135,5,65,30,40,55,15,40,25
120311000,12,3,11,0,3,120311000,Cumberland County - (CD),675,530,145,40,325,315,53.4,140,540,665,15,315,160,205,335,60,140,140
120311001,12,3,11,1,3,120311001,"Cumberland, Subd. A - (CCS)",120,85,25,5,55,55,55.1,40,75,110,5,65,30,25,50,15,25,25
120311006,12,3,11,6,3,120311006,"Cumberland, Subd. B - (CCS)",235,185,55,15,100,120,54.1,55,180,235,10,135,40,65,115,20,50,55
120311009,12,3,11,9,3,120311009,"Cumberland, Subd. C - (CCS)",195,155,40,10,100,80,52.1,25,170,190,0,70,50,70,105,15,35,40
120311014,12,3,11,14,3,120311014,"Cumberland, Subd. D - (CCS)",130,105,25,5,70,50,52.5,15,110,120,5,45,35,50,65,10,25,25
120400000,12,4,0,0,4,120400000,Agricultural Region 4 - (CAR),740,600,135,65,395,270,51.3,125,610,715,25,270,190,280,370,60,150,160
120412000,12,4,12,0,4,120412000,Pictou County - (CD),345,275,70,25,180,140,52.7,40,305,340,10,105,105,140,185,25,65,75
120412001,12,4,12,1,4,120412001,"Pictou, Subd. A - (CCS)",155,120,30,15,85,55,50.8,10,140,150,5,35,45,70,85,10,30,30
120412006,12,4,12,6,4,120412006,"Pictou, Subd. B - (CCS)",100,80,20,5,55,40,53.6,10,90,95,0,25,35,40,50,10,15,20
120412011,12,4,12,11,4,120412011,"Pictou, Subd. C - (CCS)",90,75,20,5,45,45,55.0,20,75,90,0,40,25,30,45,5,15,25
120413000,12,4,13,0,4,120413000,Guysborough County - (CD),105,85,20,5,65,40,51.9,40,70,95,5,65,20,20,35,15,25,30
120413001,12,4,13,1,4,120413001,St. Mary's - (CCS),35,25,10,0,15,15,53.0,10,25,35,0,15,10,5,20,0,5,5
120413004,12,4,13,4,4,120413004,Guysborough - (CCS),70,60,15,0,50,20,51.5,30,40,70,5,50,15,10,15,10,20,25
120414000,12,4,14,0,4,120414000,Antigonish County - (CD),285,240,50,40,155,95,49.4,50,235,280,10,105,65,120,150,25,60,55
120414001,12,4,14,1,4,120414001,"Antigonish, Subd. A - (CCS)",160,135,30,25,75,55,49.2,20,140,155,5,60,40,70,90,10,30,30
120414006,12,4,14,6,4,120414006,"Antigonish, Subd. B - (CCS)",125,105,20,10,80,35,49.6,25,100,125,5,50,30,50,65,5,25,25
120500000,12,5,0,0,5,120500000,Agricultural Region 5 - (CAR),370,290,80,25,210,135,51.3,45,320,365,10,115,110,140,170,30,90,75
120515000,12,5,15,0,5,120515000,Inverness County - (CD),175,135,40,15,105,60,50.3,15,160,170,5,50,60,70,75,10,45,40
120515001,12,5,15,1,5,120515001,"Inverness, Subd. C - (CCS)",45,35,10,0,30,10,50.8,5,40,45,0,10,15,15,20,5,15,5
120515006,12,5,15,6,5,120515006,"Inverness, Subd. B - (CCS)",80,65,20,10,45,30,49.3,5,75,80,0,20,20,40,40,0,25,20
120515011,12,5,15,11,5,120515011,"Inverness, Subd. A - (CCS)",50,40,10,0,25,15,51.5,5,45,50,0,20,20,10,15,5,10,15
120516000,12,5,16,0,5,120516000,Richmond County - (CD),20,15,5,0,5,15,55.4,5,15,20,0,10,5,10,5,5,10,5
120516001,12,5,16,1,5,120516001,"Richmond, Subd. C - (CCS)",20,15,5,0,5,15,55.4,5,10,25,0,10,5,10,5,5,10,0
120517000,12,5,17,0,5,120517000,Cape Breton County - (CD),130,105,25,5,65,50,52.6,15,110,125,0,45,30,50,70,10,30,20
120517030,12,5,17,30,5,120517030,Cape Breton - (CCS),125,105,25,5,65,55,52.6,20,110,130,0,50,35,45,65,10,30,20
120518000,12,5,18,0,5,120518000,Victoria County - (CD),45,35,10,5,35,10,49.3,5,40,45,0,15,15,15,20,5,10,15
120518001,12,5,18,1,5,120518001,"Victoria, Subd. B - (CCS)",45,35,10,5,30,10,49.3,5,40,45,0,15,15,20,20,5,10,15
130000000,13,0,0,0,0,130000000,New Brunswick,"3,890","3,190",705,350,"2,135","1,405",51.0,715,"3,175","3,795",100,"1,140",975,"1,780","2,020",280,765,830
130100000,13,1,0,0,1,130100000,Agricultural Region 1 - (CAR),"1,420","1,210",210,140,795,490,50.4,280,"1,140","1,380",40,360,335,730,815,90,230,290
130110000,13,1,10,0,1,130110000,York County - (CD),410,330,85,40,205,165,52.0,75,335,400,15,140,100,175,210,30,90,80
130110004,13,1,10,4,1,130110004,Manners Sutton - (CCS),40,30,5,5,25,15,53.1,5,35,40,5,10,15,15,25,5,5,5
130110016,13,1,10,16,1,130110016,Prince William - (CCS),45,35,5,5,25,15,49.6,5,40,40,5,15,10,20,20,5,10,10
130110018,13,1,10,18,1,130110018,Kingsclear - (CCS),40,30,10,5,15,20,53.3,15,25,40,0,20,10,10,20,5,10,5
130110021,13,1,10,21,1,130110021,Queensbury - (CCS),55,50,5,10,25,20,49.8,10,45,55,0,15,15,30,25,5,15,15
130110024,13,1,10,24,1,130110024,Southampton - (CCS),40,35,5,5,20,15,50.9,10,30,40,0,10,15,15,15,5,10,10
130110026,13,1,10,26,1,130110026,Bright - (CCS),50,35,15,5,30,15,50.0,10,40,50,0,15,15,20,25,5,10,10
130110028,13,1,10,28,1,130110028,Douglas - (CCS),60,50,15,5,25,30,54.6,10,55,60,5,20,10,25,40,5,5,10
130110032,13,1,10,32,1,130110032,Fredericton - (CCS),45,35,10,5,25,25,55.0,10,35,40,10,15,10,20,25,5,10,10
130110036,13,1,10,36,1,130110036,Stanley - (CCS),35,25,5,0,20,15,51.6,5,30,40,0,15,10,15,10,5,15,10
130111000,13,1,11,0,1,130111000,Carleton County - (CD),555,490,70,60,310,185,50.0,95,455,545,10,110,140,305,320,45,80,110
130111001,13,1,11,1,1,130111001,Richmond - (CCS),45,40,10,5,25,15,49.1,5,40,45,0,5,10,25,25,5,5,10
130111004,13,1,11,4,1,130111004,Woodstock - (CCS),35,30,5,5,20,15,54.8,5,35,35,0,10,10,15,25,5,5,10
130111008,13,1,11,8,1,130111008,Northampton - (CCS),30,30,0,5,15,15,58.1,5,30,35,0,5,10,15,20,0,5,5
130111011,13,1,11,11,1,130111011,Brighton - (CCS),50,45,10,5,30,20,50.8,10,45,50,5,15,15,20,25,5,15,10
130111014,13,1,11,14,1,130111014,Wakefield - (CCS),80,75,5,5,40,25,50.7,15,65,75,5,10,10,55,50,5,10,10
130111018,13,1,11,18,1,130111018,Wilmot - (CCS),55,50,5,5,30,15,47.5,10,45,50,0,10,10,30,30,0,5,15
130111021,13,1,11,21,1,130111021,Simonds - (CCS),25,25,0,5,10,10,54.8,5,20,25,0,5,10,10,10,0,0,5
130111024,13,1,11,24,1,130111024,Peel - (CCS),40,35,5,0,30,10,51.7,0,35,35,0,5,10,20,20,10,5,10
130111026,13,1,11,26,1,130111026,Aberdeen - (CCS),45,40,5,5,30,10,47.6,15,30,45,0,10,15,25,25,10,5,10
130111028,13,1,11,28,1,130111028,Kent - (CCS),90,80,10,10,45,30,48.5,15,75,85,0,15,20,50,50,5,15,15
130111031,13,1,11,31,1,130111031,Wicklow - (CCS),55,50,10,15,25,15,44.8,15,45,55,5,10,15,30,35,5,5,10
130112000,13,1,12,0,1,130112000,Victoria County - (CD),235,205,30,20,130,80,50.1,40,195,230,0,50,45,145,150,10,35,40
130112001,13,1,12,1,1,130112001,Andover - (CCS),25,20,5,0,10,10,51.0,0,20,20,0,10,5,10,10,0,0,10
130112004,13,1,12,4,1,130112004,Perth - (CCS),25,25,0,5,15,15,52.2,0,25,30,0,15,5,10,5,5,15,5
130112008,13,1,12,8,1,130112008,Gordon - (CCS),35,25,5,5,20,10,50.2,10,15,30,0,10,5,15,20,5,5,5
130112014,13,1,12,14,1,130112014,Denmark - (CCS),50,45,5,5,35,15,49.9,15,35,55,0,5,15,35,40,5,0,10
130112016,13,1,12,16,1,130112016,Grand Falls - (CCS),40,40,0,5,25,10,47.7,5,35,45,0,5,5,25,25,0,0,10
130112021,13,1,12,21,1,130112021,Drummond - (CCS),55,50,10,5,30,25,50.4,5,50,55,5,5,10,45,50,5,10,0
130113000,13,1,13,0,1,130113000,Madawaska County - (CD),220,190,30,15,150,55,48.6,60,155,210,10,55,55,110,130,5,25,55
130113001,13,1,13,1,1,130113001,Saint-AndrÇ - (CCS),45,45,0,5,40,5,45.6,15,35,45,5,0,10,40,40,0,5,5
