areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ANUMFARMS,BATFAREA,CASALEMFP,DATOTFCAP,ANUMFARMS1,BATFAREA1,CASALEMFP1,DATOTFCAP1,ANUMFARMS2,BATFAREA2,CASALEMFP2,DATOTFCAP2
110101014,11,1,1,14,1,110101014,Lot 51 - (CCS),25,488,"198,966","962,400",20,444,"162,434","761,843",5,672,"352,402","1,804,742"
110101016,11,1,1,16,1,110101016,Lot 52 - (CCS),25,296,"167,299","715,630",15,340,"167,738","695,698",5,208,"166,422","755,496"
110101026,11,1,1,26,1,110101026,Lot 54 - (CCS),25,391,"124,093","698,699",20,309,"78,653","562,734",5,783,"339,933","1,344,536"
110101028,11,1,1,28,1,110101028,Lot 55 - (CCS),25,317,"115,062","698,790",15,211,"53,817","510,745",10,497,"219,179","1,018,465"
110101032,11,1,1,32,1,110101032,Lot 44 - (CCS),25,554,"286,230","999,418",25,412,"227,848","676,073",5,"1,205","554,791","2,486,802"
110101034,11,1,1,34,1,110101034,Lot 45 - (CCS),25,596,"341,675","1,249,628",15,351,"119,900","680,077",10,939,"652,159","2,047,000"
110101039,11,1,1,39,1,110101039,Lot 47 - (CCS),15,599,"367,027","935,167",10,408,"303,314","929,536",5,872,"458,046","943,211"
110101042,11,1,1,42,1,110101042,Lot 41 - (CCS),25,363,"179,926","639,997",15,299,"95,620","478,788",5,546,"418,793","1,096,755"
110101046,11,1,1,46,1,110101046,Lot 40 - (CCS),35,584,"304,848","1,183,569",25,355,"147,248","611,037",15,972,"571,556","2,152,470"
110101051,11,1,1,51,1,110101051,Lot 38 - (CCS),25,345,"114,761","522,981",15,386,"134,645","570,246",10,228,"58,422","389,064"
110200000,11,2,0,0,2,110200000,Agricultural Region 2 - (CAR),905,290,"178,676","760,177",645,241,"133,487","612,521",260,411,"292,000","1,130,459"
110202000,11,2,2,0,2,110202000,Queens County - (CD),905,290,"178,676","760,177",645,241,"133,487","612,521",260,411,"292,000","1,130,459"
110202006,11,2,2,6,2,110202006,Lot 58 - (CCS),45,410,"206,468","793,884",25,360,"162,880","595,415",20,467,"256,594","1,022,124"
110202008,11,2,2,8,2,110202008,Lot 57 - (CCS),40,433,"324,826","993,077",30,370,"280,186","827,339",15,603,"446,573","1,445,092"
110202009,11,2,2,9,2,110202009,Lot 50 - (CCS),45,365,"229,826","942,055",25,300,"185,311","790,429",15,508,"329,128","1,280,298"
110202012,11,2,2,12,2,110202012,Lot 49 - (CCS),35,340,"112,281","630,071",25,265,"75,523","580,113",10,576,"227,148","786,187"
110202014,11,2,2,14,2,110202014,Lot 48 - (CCS),50,193,"95,523","508,993",35,176,"102,615","529,478",10,255,"69,993","435,248"
110202026,11,2,2,26,2,110202026,Lot 31 - (CCS),75,306,"176,508","835,183",55,268,"162,143","647,600",20,419,"218,848","1,388,057"
110202028,11,2,2,28,2,110202028,Lot 65 - (CCS),55,208,"84,513","543,774",40,184,"63,062","469,697",10,288,"155,469","788,795"
110202029,11,2,2,29,2,110202029,Lot 30 - (CCS),35,198,"85,135","347,952",25,193,"86,410","333,168",5,216,"80,217","404,979"
110202031,11,2,2,31,2,110202031,Lot 29 - (CCS),35,338,"196,060","801,467",25,218,"70,273","444,000",10,698,"573,420","1,873,867"
110202036,11,2,2,36,2,110202036,Lot 67 - (CCS),70,216,"153,514","603,508",55,201,"124,682","555,020",15,271,"264,720","790,534"
110202038,11,2,2,38,2,110202038,Lot 20 - (CCS),45,317,"260,461","1,151,897",25,332,"276,210","1,190,425",15,286,"227,837","1,072,088"
110202039,11,2,2,39,2,110202039,Lot 21 - (CCS),20,382,"251,480","981,227",20,180,"122,634","453,148",5,"1,108","715,326","2,882,313"
110202040,11,2,2,40,2,110202040,Miltonvale Park - (CCS),30,211,"138,555","685,880",20,156,"98,672","506,794",10,335,"227,184","1,083,848"
110202041,11,2,2,41,2,110202041,Lot 22 - (CCS),30,307,"124,947","711,599",20,284,"119,897","688,696",10,351,"134,543","755,117"
110202042,11,2,2,42,2,110202042,Lot 23 - (CCS),45,234,"150,711","701,345",35,198,"112,671","589,986",10,378,"302,872","1,146,782"
110202044,11,2,2,44,2,110202044,Lot 24 - (CCS),50,243,"187,492","840,939",30,230,"102,762","674,913",20,264,"333,418","1,126,874"
110202049,11,2,2,49,2,110202049,Lot 33 - (CCS),65,244,"183,255","844,154",45,199,"125,933","671,822",20,339,"306,087","1,213,438"
110202052,11,2,2,52,2,110202052,Lot 34 - (CCS),45,364,"265,665","1,017,191",30,227,"111,628","540,047",15,607,"537,495","1,859,211"
110202054,11,2,2,54,2,110202054,Lot 35 - (CCS),25,229,"159,165","532,263",20,206,"120,930","442,626",10,281,"245,192","733,946"
110202056,11,2,2,56,2,110202056,Lot 36 - (CCS),30,285,"97,948","633,986",20,276,"63,757","520,613",10,303,"166,329","860,733"
110202058,11,2,2,58,2,110202058,Lot 37 - (CCS),25,388,"244,967","759,821",15,416,"248,459","705,999",10,325,"236,986","882,842"
110202085,11,2,2,85,2,110202085,Cornwall - (CCS),25,317,"251,568","739,144",15,199,"142,228","613,562",5,622,"532,727","1,062,068"
110300000,11,3,0,0,3,110300000,Agricultural Region 3 - (CAR),615,410,"277,647","1,079,331",430,335,"212,834","828,604",185,585,"428,181","1,661,663"
110303000,11,3,3,0,3,110303000,Prince County - (CD),620,410,"277,647","1,079,331",435,335,"212,834","828,604",185,585,"428,181","1,661,663"
110303001,11,3,3,1,3,110303001,Lot 28 - (CCS),45,376,"266,747","1,194,003",30,259,"228,897","920,468",10,695,"370,834","1,946,226"
110303006,11,3,3,6,3,110303006,Lot 27 - (CCS),35,567,"323,492","1,689,177",25,487,"271,393","1,434,132",10,733,"432,425","2,222,452"
110303009,11,3,3,9,3,110303009,Lot 26 - (CCS),40,439,"308,562","1,330,371",20,268,"189,923","755,221",20,627,"439,064","1,963,036"
110303011,11,3,3,11,3,110303011,Lot 25 - (CCS),40,395,"379,970","1,279,783",20,354,"356,235","1,154,817",15,437,"404,954","1,411,326"
110303012,11,3,3,12,3,110303012,Lot 19 - (CCS),40,383,"298,779","1,149,119",25,328,"278,927","959,320",15,484,"335,647","1,501,603"
110303016,11,3,3,16,3,110303016,Lot 18 - (CCS),30,480,"455,066","1,340,774",20,285,"202,985","835,079",10,820,"896,206","2,225,741"
110303019,11,3,3,19,3,110303019,Lot 17 - (CCS),35,429,"389,188","958,182",20,175,"225,457","560,516",10,939,"716,649","1,753,513"
110303028,11,3,3,28,3,110303028,Lot 16 - (CCS),30,420,"205,696","888,088",15,497,"183,622","869,987",15,337,"229,242","907,397"
110303031,11,3,3,31,3,110303031,Lot 14 - (CCS),30,513,"358,090","1,241,964",25,365,"194,659","658,938",10,998,"895,078","3,157,621"
110303032,11,3,3,32,3,110303032,Lot 13 - (CCS),25,275,"222,346","671,841",20,284,"219,011","643,127",5,239,"236,357","792,440"
110303034,11,3,3,34,3,110303034,Lot 12 - (CCS),20,391,"45,144","328,053",20,416,"43,635","328,762",5,157,"59,481","321,314"
110303041,11,3,3,41,3,110303041,Lot  6 - (CCS),35,462,"315,326","1,235,459",25,363,"279,822","962,871",10,810,"439,587","2,189,516"
110303044,11,3,3,44,3,110303044,Lot  9 - (CCS),25,391,"149,193","672,224",10,450,"207,139","771,717",5,298,"59,054","517,458"
110303046,11,3,3,46,3,110303046,Lot  8 - (CCS),35,442,"210,056","919,975",25,350,"148,275","755,318",10,686,"374,806","1,359,062"
110303048,11,3,3,48,3,110303048,Lot  7 - (CCS),35,401,"268,460","1,256,488",25,368,"266,040","1,020,010",10,486,"274,753","1,871,332"
110303051,11,3,3,51,3,110303051,Lot  4 - (CCS),40,503,"389,060","1,460,430",30,434,"280,099","1,085,828",10,685,"676,320","2,448,018"
110303054,11,3,3,54,3,110303054,Lot  3 - (CCS),35,379,"200,433","802,268",35,376,"194,656","779,008",5,399,"238,568","955,782"
110303058,11,3,3,58,3,110303058,Lot  1 - (CCS),35,116,"40,549","336,911",30,122,"43,971","350,598",5,79,"20,017","254,789"
120000000,12,0,0,0,0,120000000,Nova Scotia,"3,920",256,"117,366","430,039","2,865",245,"93,104","371,513","1,055",286,"183,320","589,141"
120100000,12,1,0,0,1,120100000,Agricultural Region 1 - (CAR),665,177,"85,152","355,132",500,175,"56,085","299,879",165,182,"173,769","523,588"
120101000,12,1,1,0,1,120101000,Shelburne County - (CD),25,175,"11,100","143,026",20,118,"10,089","112,122",5,376,"14,636","251,189"
120101006,12,1,1,6,1,120101006,Shelburne - (CCS),30,175,"11,100","143,026",20,118,"10,089","112,122",10,376,"14,636","251,189"
120102000,12,1,2,0,1,120102000,Yarmouth County - (CD),110,147,"48,339","281,151",85,142,"21,679","217,638",30,160,"121,209","454,753"
120102001,12,1,2,1,1,120102001,Argyle - (CCS),30,133,"25,142","215,400",25,133,"7,715","152,131",5,132,"97,752","479,024"
120102004,12,1,2,4,1,120102004,Yarmouth - (CCS),80,152,"57,217","306,314",55,146,"27,803","246,369",25,167,"127,074","448,685"
120103000,12,1,3,0,1,120103000,Digby County - (CD),105,114,"236,306","760,836",85,122,"174,617","627,109",30,89,"423,656","1,166,970"
120103001,12,1,3,1,1,120103001,Clare - (CCS),65,70,"323,184","895,379",45,61,"253,716","761,785",20,94,"498,683","1,232,879"
120103004,12,1,3,4,1,120103004,Digby - (CCS),40,183,"97,714","546,208",35,208,"62,949","436,979",10,77,"245,466","1,010,436"
120104000,12,1,4,0,1,120104000,Queens County - (CD),45,274,"38,078","311,661",35,274,"24,912","293,234",10,272,"75,380","363,871"
120104010,12,1,4,10,1,120104010,Queens - (CCS),45,274,"38,078","311,661",35,274,"24,912","293,234",15,272,"75,380","363,871"
120106000,12,1,6,0,1,120106000,Lunenburg County - (CD),370,192,"63,022","278,891",285,192,"38,745","243,223",90,193,"139,671","391,506"
120106001,12,1,6,1,1,120106001,Lunenburg - (CCS),260,199,"74,647","319,661",185,204,"42,836","283,085",75,188,"155,702","412,855"
120106009,12,1,6,9,1,120106009,Chester - (CCS),110,176,"35,897","183,762",95,169,"30,737","165,178",15,218,"66,530","294,104"
120200000,12,2,0,0,2,120200000,Agricultural Region 2 - (CAR),"1,230",242,"188,451","531,600",855,224,"155,458","449,318",375,284,"263,674","719,203"
120205000,12,2,5,0,2,120205000,Annapolis County - (CD),250,314,"79,173","379,428",175,337,"49,131","306,185",80,264,"145,420","540,937"
120205001,12,2,5,1,2,120205001,"Annapolis, Subd. D - (CCS)",35,882,"57,692","278,548",20,"1,201","62,179","259,501",10,179,"47,822","320,450"
120205004,12,2,5,4,2,120205004,"Annapolis, Subd. A - (CCS)",60,225,"59,563","290,237",40,189,"41,002","237,985",25,290,"92,467","382,864"
120205009,12,2,5,9,2,120205009,"Annapolis, Subd. B - (CCS)",90,220,"47,377","349,836",60,218,"25,579","311,605",25,226,"100,195","442,474"
120205014,12,2,5,14,2,120205014,"Annapolis, Subd. C - (CCS)",70,249,"148,488","545,642",50,217,"80,666","375,883",20,327,"311,261","953,064"
120207000,12,2,7,0,2,120207000,Kings County - (CD),640,202,"243,919","587,360",445,173,"193,308","482,755",200,267,"357,095","821,277"
120207001,12,2,7,1,2,120207001,"Kings, Subd. A - (CCS)",325,192,"165,355","493,709",220,173,"137,064","437,463",100,235,"229,365","620,974"
120207011,12,2,7,11,2,120207011,"Kings, Subd. C - (CCS)",40,184,"96,199","376,613",30,162,"71,665","309,670",10,254,"175,253","592,315"
120207016,12,2,7,16,2,120207016,"Kings, Subd. B - (CCS)",185,224,"381,047","727,317",135,178,"322,193","603,506",55,335,"522,295","1,024,462"
120207021,12,2,7,21,2,120207021,"Kings, Subd. D - (CCS)",95,197,"299,615","713,256",60,162,"178,531","469,852",40,257,"501,421","1,118,929"
120208000,12,2,8,0,2,120208000,Hants County - (CD),335,266,"163,444","537,950",240,239,"161,530","490,240",95,334,"168,093","653,815"
120208001,12,2,8,1,2,120208001,West Hants - (CCS),150,229,"97,348","470,279",105,215,"98,392","455,903",45,260,"95,132","500,793"
120208008,12,2,8,8,2,120208008,East Hants - (CCS),180,297,"218,705","594,526",135,257,"210,532","516,890",45,408,"241,054","806,838"
120300000,12,3,0,0,3,120300000,Agricultural Region 3 - (CAR),"1,140",291,"94,900","417,480",830,281,"81,538","376,380",315,318,"130,024","525,515"
120309000,12,3,9,0,3,120309000,Halifax County - (CD),150,216,"107,842","414,064",110,211,"85,660","351,158",45,229,"162,287","568,468"
120309034,12,3,9,34,3,120309034,Halifax - (CCS),150,216,"107,842","414,064",110,211,"85,660","351,158",45,229,"162,287","568,468"
120310000,12,3,10,0,3,120310000,Colchester County - (CD),450,287,"108,503","454,737",310,275,"94,470","401,123",145,314,"138,826","570,587"
120310001,12,3,10,1,3,120310001,"Colchester, Subd. C - (CCS)",185,311,"147,068","564,314",125,277,"115,481","448,052",60,382,"212,349","804,590"
120310008,12,3,10,8,3,120310008,"Colchester, Subd. B - (CCS)",160,245,"68,086","382,709",110,245,"58,582","370,910",55,245,"88,373","407,894"
120310012,12,3,10,12,3,120310012,"Colchester, Subd. A - (CCS)",105,311,"103,665","374,532",75,316,"113,095","367,807",30,300,"81,154","390,585"
120311000,12,3,11,0,3,120311000,Cumberland County - (CD),540,316,"79,843","387,200",410,304,"70,731","364,404",125,354,"109,100","460,395"
120311001,12,3,11,1,3,120311001,"Cumberland, Subd. A - (CCS)",95,273,"55,107","342,087",75,239,"45,189","311,715",20,392,"89,583","447,667"
120311006,12,3,11,6,3,120311006,"Cumberland, Subd. B - (CCS)",195,298,"101,406","371,974",155,296,"99,934","386,224",40,304,"107,332","314,606"
120311009,12,3,11,9,3,120311009,"Cumberland, Subd. C - (CCS)",155,334,"83,459","434,299",110,322,"61,273","387,336",40,369,"146,134","566,970"
120311014,12,3,11,14,3,120311014,"Cumberland, Subd. D - (CCS)",100,366,"54,276","387,394",65,364,"46,444","332,480",30,371,"73,296","520,756"
120400000,12,4,0,0,4,120400000,Agricultural Region 4 - (CAR),600,307,"71,333","381,450",465,296,"52,629","332,916",135,345,"137,508","553,157"
120412000,12,4,12,0,4,120412000,Pictou County - (CD),275,272,"59,161","354,261",210,258,"40,652","309,301",65,315,"117,495","495,951"
120412001,12,4,12,1,4,120412001,"Pictou, Subd. A - (CCS)",120,241,"69,738","385,112",90,230,"49,300","353,774",30,274,"131,053","479,126"
120412006,12,4,12,6,4,120412006,"Pictou, Subd. B - (CCS)",75,280,"56,159","314,196",60,238,"40,060","244,676",20,399,"102,040","512,331"
120412011,12,4,12,11,4,120412011,"Pictou, Subd. C - (CCS)",80,312,"45,681","346,245",65,319,"28,445","304,074",20,290,"111,392","507,025"
120413000,12,4,13,0,4,120413000,Guysborough County - (CD),90,396,"37,475","304,251",75,399,"32,484","271,929",15,384,"62,431","465,861"
120413001,12,4,13,1,4,120413001,St. Mary's - (CCS),30,395,"58,348","388,823",20,324,"39,979","220,744",5,643,"122,638","977,097"
120413004,12,4,13,4,4,120413004,Guysborough - (CCS),65,397,"28,530","268,006",55,427,"29,570","291,835",10,211,"22,292","125,037"
120414000,12,4,14,0,4,120414000,Antigonish County - (CD),235,314,"98,492","442,717",185,298,"74,379","384,470",50,372,"185,488","652,864"
120414001,12,4,14,1,4,120414001,"Antigonish, Subd. A - (CCS)",130,330,"102,787","476,694",105,312,"88,899","444,162",25,395,"151,635","591,119"
120414006,12,4,14,6,4,120414006,"Antigonish, Subd. B - (CCS)",100,294,"93,082","399,919",80,281,"56,318","310,219",20,342,"230,112","734,256"
120500000,12,5,0,0,5,120500000,Agricultural Region 5 - (CAR),290,256,"72,790","319,505",215,247,"64,093","294,851",70,283,"100,265","397,398"
120515000,12,5,15,0,5,120515000,Inverness County - (CD),140,295,"76,554","329,743",105,265,"54,739","289,709",30,389,"145,966","457,125"
120515001,12,5,15,1,5,120515001,"Inverness, Subd. C - (CCS)",35,323,"83,365","291,822",25,359,"90,909","298,298",5,217,"61,574","273,114"
120515006,12,5,15,6,5,120515006,"Inverness, Subd. B - (CCS)",65,320,"111,224","424,104",45,256,"62,544","347,986",15,512,"257,262","652,460"
120515011,12,5,15,11,5,120515011,"Inverness, Subd. A - (CCS)",35,229,"13,548","208,926",30,201,"12,318","192,270",5,338,"18,317","273,467"
120516000,12,5,16,0,5,120516000,Richmond County - (CD),20,157,"37,081","177,113",15,173,"31,454","160,885",5,80,"63,340","252,842"
120516001,12,5,16,1,5,120516001,"Richmond, Subd. C - (CCS)",15,157,"37,081","177,113",15,173,"31,454","160,885",5,80,"63,340","252,842"
120517000,12,5,17,0,5,120517000,Cape Breton County - (CD),95,160,"88,829","302,452",70,163,"102,797","291,452",25,152,"52,617","330,970"
120517030,12,5,17,30,5,120517030,Cape Breton - (CCS),95,160,"88,829","302,452",70,163,"102,797","291,452",30,152,"52,617","330,970"
120518000,12,5,18,0,5,120518000,Victoria County - (CD),35,416,"30,838","395,560",30,420,"20,296","386,345",10,395,"81,791","440,100"
120518001,12,5,18,1,5,120518001,"Victoria, Subd. B - (CCS)",35,416,"30,838","395,560",30,420,"20,296","386,345",5,395,"81,791","440,100"
130000000,13,0,0,0,0,130000000,New Brunswick,"3,030",316,"146,668","500,804","2,230",288,"130,955","430,437",805,394,"190,322","696,308"
130100000,13,1,0,0,1,130100000,Agricultural Region 1 - (CAR),"1,085",395,"239,316","707,698",780,350,"237,428","609,225",310,510,"244,128","958,709"
130110000,13,1,10,0,1,130110000,York County - (CD),305,289,"120,204","397,946",200,280,"121,932","358,256",100,307,"116,834","475,381"
130110004,13,1,10,4,1,130110004,Manners Sutton - (CCS),30,220,"40,982","284,538",20,238,"28,300","290,540",10,177,"70,571","270,534"
130110016,13,1,10,16,1,130110016,Prince William - (CCS),30,322,"40,980","343,397",25,345,"39,537","355,954",10,271,"44,154","315,773"
130110018,13,1,10,18,1,130110018,Kingsclear - (CCS),30,208,"39,912","294,405",20,188,"41,107","287,900",10,251,"37,256","308,861"
130110021,13,1,10,21,1,130110021,Queensbury - (CCS),40,370,"130,935","572,819",20,336,"139,245","557,952",20,416,"120,028","592,332"
130110024,13,1,10,24,1,130110024,Southampton - (CCS),30,397,"62,834","350,047",20,401,"40,304","311,290",10,389,"105,641","423,686"
130110026,13,1,10,26,1,130110026,Bright - (CCS),40,216,"91,369","370,976",25,143,"58,500","226,307",10,362,"157,108","660,313"
130110028,13,1,10,28,1,130110028,Douglas - (CCS),45,334,"404,223","530,433",35,332,"469,464","467,423",10,339,"255,099","674,455"
130110032,13,1,10,32,1,130110032,Fredericton - (CCS),30,280,"85,174","376,322",20,359,"79,187","379,658",15,171,"93,463","371,704"
130110036,13,1,10,36,1,130110036,Stanley - (CCS),30,228,"36,374","351,412",20,191,"15,949","314,785",5,320,"87,436","442,979"
130111000,13,1,11,0,1,130111000,Carleton County - (CD),425,449,"242,364","840,787",320,394,"228,735","730,455",110,611,"282,367","1,164,633"
130111001,13,1,11,1,1,130111001,Richmond - (CCS),35,437,"110,410","654,605",25,316,"125,085","574,224",5,858,"59,048","935,939"
130111004,13,1,11,4,1,130111004,Woodstock - (CCS),35,482,"217,049","546,336",25,463,"235,245","466,379",5,549,"152,064","831,894"
130111008,13,1,11,8,1,130111008,Northampton - (CCS),30,315,"689,608","1,252,098",30,319,"732,046","1,307,408",5,259,"95,468","477,756"
130111011,13,1,11,11,1,130111011,Brighton - (CCS),45,365,"118,803","533,711",30,285,"69,633","399,355",10,560,"237,630","858,404"
130111014,13,1,11,14,1,130111014,Wakefield - (CCS),55,529,"272,539","1,032,225",35,358,"162,941","686,068",20,853,"479,557","1,686,079"
130111018,13,1,11,18,1,130111018,Wilmot - (CCS),40,620,"284,813","1,116,645",35,609,"258,268","915,249",10,657,"369,758","1,761,113"
130111021,13,1,11,21,1,130111021,Simonds - (CCS),15,351,"136,295","670,346",10,325,"114,724","559,519",5,420,"192,380","958,496"
130111024,13,1,11,24,1,130111024,Peel - (CCS),30,358,"288,378","784,726",20,346,"289,293","768,083",10,394,"285,504","837,036"
130111026,13,1,11,26,1,130111026,Aberdeen - (CCS),35,532,"178,075","819,967",20,517,"143,809","759,340",10,557,"235,185","921,014"
130111028,13,1,11,28,1,130111028,Kent - (CCS),75,381,"183,179","762,738",60,364,"174,662","686,132",10,460,"223,144","1,122,198"
130111031,13,1,11,31,1,130111031,Wicklow - (CCS),40,510,"264,639","993,882",25,450,"216,710","872,044",15,617,"350,226","1,211,448"
130112000,13,1,12,0,1,130112000,Victoria County - (CD),180,411,"224,606","870,603",130,323,"154,419","604,590",55,633,"401,425","1,540,752"
130112001,13,1,12,1,1,130112001,Andover - (CCS),15,299,"122,594","331,118",15,261,"92,170","316,866",5,370,"178,371","357,246"
130112004,13,1,12,4,1,130112004,Perth - (CCS),25,301,"42,124","364,217",25,319,"46,778","396,775",5,170,"7,992","125,463"
130112008,13,1,12,8,1,130112008,Gordon - (CCS),20,593,"162,142","898,909",15,381,"83,093","586,813",10,899,"276,323","1,349,714"
130112014,13,1,12,14,1,130112014,Denmark - (CCS),40,314,"159,750","626,456",30,243,"101,926","372,796",10,551,"350,570","1,463,531"
130112016,13,1,12,16,1,130112016,Grand Falls - (CCS),30,542,"317,112","1,055,284",15,448,"246,147","787,842",10,704,"439,688","1,517,230"
130112021,13,1,12,21,1,130112021,Drummond - (CCS),50,429,"391,653","1,439,431",35,331,"274,706","972,330",10,679,"688,517","2,625,150"
130113000,13,1,13,0,1,130113000,Madawaska County - (CD),180,429,"449,761","746,461",130,377,"512,717","700,354",45,586,"259,461","885,828"
