areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ATOTAL,BAGEDIS01,CAGEDIS02,DAGEDIS03,ATOTAL1,BAGEDIS011,CAGEDIS021,DAGEDIS031,ATOTAL2,BAGEDIS012,CAGEDIS022,DAGEDIS032
110202014,11,2,2,14,2,110202014,Lot 48 - (CCS),60,5,25,25,35,5,10,20,20,0,10,5
110202026,11,2,2,26,2,110202026,Lot 31 - (CCS),95,5,55,30,55,5,30,20,45,5,25,10
110202028,11,2,2,28,2,110202028,Lot 65 - (CCS),70,10,35,30,45,5,25,15,30,5,10,10
110202029,11,2,2,29,2,110202029,Lot 30 - (CCS),40,5,20,20,30,0,15,10,15,0,5,5
110202031,11,2,2,31,2,110202031,Lot 29 - (CCS),45,5,20,20,25,0,10,15,20,0,15,5
110202036,11,2,2,36,2,110202036,Lot 67 - (CCS),80,10,50,20,55,5,40,10,30,5,15,5
110202038,11,2,2,38,2,110202038,Lot 20 - (CCS),55,10,35,15,30,0,20,10,30,5,15,10
110202039,11,2,2,39,2,110202039,Lot 21 - (CCS),30,5,15,15,20,0,10,10,10,0,5,5
110202040,11,2,2,40,2,110202040,Miltonvale Park - (CCS),35,5,25,10,15,0,10,5,20,5,15,0
110202041,11,2,2,41,2,110202041,Lot 22 - (CCS),40,10,15,15,20,5,10,10,25,5,10,10
110202042,11,2,2,42,2,110202042,Lot 23 - (CCS),55,5,20,25,35,5,10,20,15,5,15,0
110202044,11,2,2,44,2,110202044,Lot 24 - (CCS),70,5,35,25,30,0,15,15,40,5,25,10
110202049,11,2,2,49,2,110202049,Lot 33 - (CCS),90,5,60,30,45,0,25,15,45,5,35,5
110202052,11,2,2,52,2,110202052,Lot 34 - (CCS),65,10,35,15,30,5,15,10,35,5,25,5
110202054,11,2,2,54,2,110202054,Lot 35 - (CCS),35,0,25,10,20,0,10,5,15,0,15,5
110202056,11,2,2,56,2,110202056,Lot 36 - (CCS),40,5,15,15,20,0,10,10,20,5,5,5
110202058,11,2,2,58,2,110202058,Lot 37 - (CCS),30,5,25,5,15,0,10,5,15,5,15,0
110202085,11,2,2,85,2,110202085,Cornwall - (CCS),30,0,20,10,20,0,10,5,15,0,10,5
110300000,11,3,0,0,3,110300000,Agricultural Region 3 - (CAR),830,105,460,265,430,30,250,145,405,70,210,125
110303000,11,3,3,0,3,110303000,Prince County - (CD),830,100,465,270,430,30,255,145,410,70,210,125
110303001,11,3,3,1,3,110303001,Lot 28 - (CCS),55,5,30,25,30,0,15,15,25,5,10,10
110303006,11,3,3,6,3,110303006,Lot 27 - (CCS),50,10,25,10,25,5,15,5,20,5,15,10
110303009,11,3,3,9,3,110303009,Lot 26 - (CCS),70,10,40,20,20,0,20,5,45,10,25,15
110303011,11,3,3,11,3,110303011,Lot 25 - (CCS),60,15,30,20,20,0,10,5,40,10,20,10
110303012,11,3,3,12,3,110303012,Lot 19 - (CCS),60,10,30,25,25,5,15,10,35,10,15,10
110303016,11,3,3,16,3,110303016,Lot 18 - (CCS),45,5,25,20,20,0,10,10,30,0,15,10
110303019,11,3,3,19,3,110303019,Lot 17 - (CCS),45,0,30,10,25,0,15,10,25,0,15,10
110303028,11,3,3,28,3,110303028,Lot 16 - (CCS),50,5,20,20,20,0,10,5,35,5,15,15
110303031,11,3,3,31,3,110303031,Lot 14 - (CCS),40,5,20,10,25,0,10,5,15,0,10,0
110303032,11,3,3,32,3,110303032,Lot 13 - (CCS),30,5,20,10,20,0,15,5,10,0,10,5
110303034,11,3,3,34,3,110303034,Lot 12 - (CCS),25,0,20,5,20,0,15,5,0,0,5,0
110303041,11,3,3,41,3,110303041,Lot  6 - (CCS),45,5,25,15,30,0,20,5,15,5,5,5
110303044,11,3,3,44,3,110303044,Lot  9 - (CCS),30,0,20,10,15,0,10,5,20,0,10,5
110303046,11,3,3,46,3,110303046,Lot  8 - (CCS),40,10,15,10,20,5,10,5,15,10,5,5
110303048,11,3,3,48,3,110303048,Lot  7 - (CCS),50,15,30,10,25,5,15,5,20,5,10,0
110303051,11,3,3,51,3,110303051,Lot  4 - (CCS),50,5,30,15,25,0,15,10,25,0,15,5
110303054,11,3,3,54,3,110303054,Lot  3 - (CCS),45,10,25,15,30,0,15,10,10,0,10,0
110303058,11,3,3,58,3,110303058,Lot  1 - (CCS),40,5,25,10,30,5,15,15,10,5,10,0
120000000,12,0,0,0,0,120000000,Nova Scotia,"5,080",480,"2,675","1,935","2,850",165,"1,460","1,230","2,230",315,"1,210",700
120100000,12,1,0,0,1,120100000,Agricultural Region 1 - (CAR),845,85,435,325,500,30,250,215,340,55,185,105
120101000,12,1,1,0,1,120101000,Shelburne County - (CD),35,5,10,15,20,0,10,10,15,0,10,5
120101006,12,1,1,6,1,120101006,Shelburne - (CCS),30,5,15,15,20,5,5,10,15,0,5,5
120102000,12,1,2,0,1,120102000,Yarmouth County - (CD),140,10,75,55,80,5,35,35,65,5,35,15
120102001,12,1,2,1,1,120102001,Argyle - (CCS),35,5,20,15,25,5,5,15,10,0,5,5
120102004,12,1,2,4,1,120102004,Yarmouth - (CCS),110,10,60,40,60,0,30,25,50,10,30,15
120103000,12,1,3,0,1,120103000,Digby County - (CD),140,25,70,45,80,10,50,25,60,15,20,20
120103001,12,1,3,1,1,120103001,Clare - (CCS),85,20,45,25,50,10,30,10,40,10,15,20
120103004,12,1,3,4,1,120103004,Digby - (CCS),50,10,25,20,35,0,20,10,15,5,5,5
120104000,12,1,4,0,1,120104000,Queens County - (CD),60,5,25,30,35,0,10,20,25,5,15,5
120104010,12,1,4,10,1,120104010,Queens - (CCS),60,5,25,30,30,0,10,20,25,5,15,10
120106000,12,1,6,0,1,120106000,Lunenburg County - (CD),465,40,250,180,285,15,150,120,185,25,100,60
120106001,12,1,6,1,1,120106001,Lunenburg - (CCS),335,25,180,135,185,10,95,85,150,15,90,50
120106009,12,1,6,9,1,120106009,Chester - (CCS),125,10,70,45,95,5,55,35,35,5,15,5
120200000,12,2,0,0,2,120200000,Agricultural Region 2 - (CAR),"1,650",175,900,580,850,55,450,340,805,115,450,235
120205000,12,2,5,0,2,120205000,Annapolis County - (CD),335,35,180,125,170,10,90,70,165,25,90,50
120205001,12,2,5,1,2,120205001,"Annapolis, Subd. D - (CCS)",45,0,25,15,20,0,10,10,20,5,10,5
120205004,12,2,5,4,2,120205004,"Annapolis, Subd. A - (CCS)",90,10,50,30,40,0,30,10,50,10,25,15
120205009,12,2,5,9,2,120205009,"Annapolis, Subd. B - (CCS)",115,10,55,45,60,5,25,30,55,5,30,15
120205014,12,2,5,14,2,120205014,"Annapolis, Subd. C - (CCS)",95,15,50,35,45,0,25,20,45,10,20,15
120207000,12,2,7,0,2,120207000,Kings County - (CD),860,95,490,280,440,25,245,165,425,65,245,115
120207001,12,2,7,1,2,120207001,"Kings, Subd. A - (CCS)",430,55,235,140,220,15,130,75,210,40,105,65
120207011,12,2,7,11,2,120207011,"Kings, Subd. C - (CCS)",50,5,15,25,30,0,15,15,20,5,10,10
120207016,12,2,7,16,2,120207016,"Kings, Subd. B - (CCS)",245,25,155,65,130,15,75,45,120,15,70,25
120207021,12,2,7,21,2,120207021,"Kings, Subd. D - (CCS)",140,5,85,45,60,5,25,30,75,5,60,20
120208000,12,2,8,0,2,120208000,Hants County - (CD),455,40,230,175,235,20,115,105,210,25,115,70
120208001,12,2,8,1,2,120208001,West Hants - (CCS),210,10,110,95,105,0,50,50,105,5,55,45
120208008,12,2,8,8,2,120208008,East Hants - (CCS),245,35,120,85,135,15,65,55,110,20,60,25
120300000,12,3,0,0,3,120300000,Agricultural Region 3 - (CAR),"1,485",130,730,620,820,45,405,380,660,90,330,245
120309000,12,3,9,0,3,120309000,Halifax County - (CD),205,20,95,80,110,10,50,50,95,15,45,35
120309034,12,3,9,34,3,120309034,Halifax - (CCS),200,25,100,85,110,10,50,50,95,15,45,30
120310000,12,3,10,0,3,120310000,Colchester County - (CD),605,70,305,230,305,15,155,130,300,50,150,95
120310001,12,3,10,1,3,120310001,"Colchester, Subd. C - (CCS)",250,35,135,80,125,10,70,45,130,25,65,35
120310008,12,3,10,8,3,120310008,"Colchester, Subd. B - (CCS)",215,15,105,90,110,5,50,55,105,10,50,35
120310012,12,3,10,12,3,120310012,"Colchester, Subd. A - (CCS)",135,15,65,55,75,0,35,30,65,10,25,25
120311000,12,3,11,0,3,120311000,Cumberland County - (CD),675,35,325,310,410,15,195,195,265,20,125,115
120311001,12,3,11,1,3,120311001,"Cumberland, Subd. A - (CCS)",120,0,55,60,70,5,35,35,40,0,20,20
120311006,12,3,11,6,3,120311006,"Cumberland, Subd. B - (CCS)",240,15,100,125,155,10,70,80,85,5,35,40
120311009,12,3,11,9,3,120311009,"Cumberland, Subd. C - (CCS)",195,10,105,80,115,5,55,55,80,10,50,25
120311014,12,3,11,14,3,120311014,"Cumberland, Subd. D - (CCS)",125,10,70,55,65,5,35,30,60,5,30,25
120400000,12,4,0,0,4,120400000,Agricultural Region 4 - (CAR),735,65,400,270,465,25,240,200,270,45,160,70
120412000,12,4,12,0,4,120412000,Pictou County - (CD),345,25,180,140,205,10,105,95,135,15,75,45
120412001,12,4,12,1,4,120412001,"Pictou, Subd. A - (CCS)",150,15,85,55,90,5,45,40,60,10,35,15
120412006,12,4,12,6,4,120412006,"Pictou, Subd. B - (CCS)",100,5,50,45,55,5,30,25,45,0,25,20
120412011,12,4,12,11,4,120412011,"Pictou, Subd. C - (CCS)",90,5,45,45,60,0,25,30,35,5,15,10
120413000,12,4,13,0,4,120413000,Guysborough County - (CD),105,5,65,40,75,0,45,30,30,5,15,10
120413001,12,4,13,1,4,120413001,St. Mary's - (CCS),35,0,15,15,20,0,10,10,15,0,5,5
120413004,12,4,13,4,4,120413004,Guysborough - (CCS),75,0,45,20,50,0,35,20,15,0,10,5
120414000,12,4,14,0,4,120414000,Antigonish County - (CD),290,40,155,95,185,15,90,75,105,20,70,20
120414001,12,4,14,1,4,120414001,"Antigonish, Subd. A - (CCS)",165,30,80,60,100,10,45,45,60,20,30,10
120414006,12,4,14,6,4,120414006,"Antigonish, Subd. B - (CCS)",125,10,80,35,80,10,40,30,45,0,35,5
120500000,12,5,0,0,5,120500000,Agricultural Region 5 - (CAR),365,25,210,135,215,10,115,95,150,15,95,40
120515000,12,5,15,0,5,120515000,Inverness County - (CD),170,15,105,55,105,5,60,40,65,5,45,20
120515001,12,5,15,1,5,120515001,"Inverness, Subd. C - (CCS)",40,0,30,10,25,0,15,5,15,0,15,0
120515006,12,5,15,6,5,120515006,"Inverness, Subd. B - (CCS)",85,5,50,25,45,5,25,20,30,5,20,10
120515011,12,5,15,11,5,120515011,"Inverness, Subd. A - (CCS)",50,5,30,20,30,5,15,10,20,5,10,10
120516000,12,5,16,0,5,120516000,Richmond County - (CD),20,5,5,10,15,0,5,10,10,5,5,5
120516001,12,5,16,1,5,120516001,"Richmond, Subd. C - (CCS)",20,0,5,10,15,0,5,10,10,0,0,5
120517000,12,5,17,0,5,120517000,Cape Breton County - (CD),130,10,65,55,70,0,30,35,55,5,35,15
120517030,12,5,17,30,5,120517030,Cape Breton - (CCS),125,5,70,55,70,0,30,35,60,5,35,20
120518000,12,5,18,0,5,120518000,Victoria County - (CD),45,5,30,10,30,0,20,5,15,5,10,5
120518001,12,5,18,1,5,120518001,"Victoria, Subd. B - (CCS)",45,5,30,10,25,0,20,10,15,0,15,5
130000000,13,0,0,0,0,130000000,New Brunswick,"3,895",350,"2,135","1,410","2,205",150,"1,190",865,"1,690",200,945,545
130100000,13,1,0,0,1,130100000,Agricultural Region 1 - (CAR),"1,420",140,795,490,770,60,425,285,650,80,370,200
130110000,13,1,10,0,1,130110000,York County - (CD),415,45,210,165,195,10,95,90,215,25,110,75
130110004,13,1,10,4,1,130110004,Manners Sutton - (CCS),40,0,20,15,20,5,15,5,15,0,5,10
130110016,13,1,10,16,1,130110016,Prince William - (CCS),40,5,25,15,20,0,15,5,25,5,10,5
130110018,13,1,10,18,1,130110018,Kingsclear - (CCS),40,5,15,20,20,0,5,10,20,5,5,10
130110021,13,1,10,21,1,130110021,Queensbury - (CCS),55,10,25,20,20,5,10,10,35,5,20,10
130110024,13,1,10,24,1,130110024,Southampton - (CCS),45,5,20,20,20,0,10,5,25,5,10,5
130110026,13,1,10,26,1,130110026,Bright - (CCS),50,5,30,15,25,0,15,10,25,5,15,5
130110028,13,1,10,28,1,130110028,Douglas - (CCS),60,10,25,25,35,0,15,20,25,10,15,10
130110032,13,1,10,32,1,130110032,Fredericton - (CCS),45,0,25,20,20,0,10,10,25,0,15,10
130110036,13,1,10,36,1,130110036,Stanley - (CCS),35,0,20,15,20,0,15,5,15,0,5,10
130111000,13,1,11,0,1,130111000,Carleton County - (CD),555,60,305,190,315,30,170,115,240,30,140,70
130111001,13,1,11,1,1,130111001,Richmond - (CCS),45,5,20,15,30,5,15,10,20,0,10,5
130111004,13,1,11,4,1,130111004,Woodstock - (CCS),40,0,20,15,25,0,10,10,15,0,10,5
130111008,13,1,11,8,1,130111008,Northampton - (CCS),30,0,15,15,30,0,10,20,5,0,5,0
130111011,13,1,11,11,1,130111011,Brighton - (CCS),55,5,35,15,30,0,10,10,25,0,15,5
130111014,13,1,11,14,1,130111014,Wakefield - (CCS),80,10,40,30,35,5,20,10,45,5,20,20
130111018,13,1,11,18,1,130111018,Wilmot - (CCS),55,10,30,15,30,5,20,10,20,0,15,10
130111021,13,1,11,21,1,130111021,Simonds - (CCS),20,0,10,10,15,0,5,10,10,0,5,0
130111024,13,1,11,24,1,130111024,Peel - (CCS),40,0,25,10,20,0,15,5,15,0,10,5
130111026,13,1,11,26,1,130111026,Aberdeen - (CCS),45,5,30,10,20,0,10,5,25,0,20,5
130111028,13,1,11,28,1,130111028,Kent - (CCS),90,10,50,30,60,5,35,20,25,5,15,10
130111031,13,1,11,31,1,130111031,Wicklow - (CCS),55,15,25,15,20,0,15,5,35,10,10,10
130112000,13,1,12,0,1,130112000,Victoria County - (CD),235,25,135,80,130,10,70,50,105,15,65,30
130112001,13,1,12,1,1,130112001,Andover - (CCS),25,5,10,10,15,0,5,5,10,5,5,5
130112004,13,1,12,4,1,130112004,Perth - (CCS),25,0,10,10,25,5,10,10,5,0,5,0
130112008,13,1,12,8,1,130112008,Gordon - (CCS),30,0,15,10,15,0,10,10,15,5,10,0
130112014,13,1,12,14,1,130112014,Denmark - (CCS),55,5,35,15,35,5,20,10,20,5,10,5
130112016,13,1,12,16,1,130112016,Grand Falls - (CCS),40,5,30,10,20,0,15,5,20,5,15,5
130112021,13,1,12,21,1,130112021,Drummond - (CCS),60,5,25,25,30,0,15,15,30,0,15,10
130113000,13,1,13,0,1,130113000,Madawaska County - (CD),215,15,150,55,130,5,90,30,85,10,60,25
130113001,13,1,13,1,1,130113001,Saint-AndrÇ - (CCS),45,5,35,5,30,0,20,5,20,0,20,5
130113004,13,1,13,4,1,130113004,Saint-LÇonard - (CCS),30,5,15,10,15,0,5,5,20,5,10,5
130113015,13,1,13,15,1,130113015,Riviäre-Verte - (CCS),35,0,20,10,20,0,15,10,10,0,10,5
130113022,13,1,13,22,1,130113022,Saint-Joseph - (CCS),35,5,20,15,20,0,15,5,15,5,10,5
130113034,13,1,13,34,1,130113034,Baker Brook - (CCS),40,5,30,10,25,0,20,5,20,0,10,5
130113041,13,1,13,41,1,130113041,Saint-Franáois - (CCS),25,0,20,5,20,0,20,0,5,0,0,0
130200000,13,2,0,0,2,130200000,Agricultural Region 2 - (CAR),"1,035",85,560,390,605,35,320,250,430,55,240,140
130202000,13,2,2,0,2,130202000,Charlotte County - (CD),155,5,80,70,100,0,45,55,55,0,30,20
130202011,13,2,2,11,2,130202011,Pennfield - (CCS),25,0,15,15,15,0,10,10,10,0,0,5
130202016,13,2,2,16,2,130202016,Saint George - (CCS),25,0,20,10,15,0,10,5,10,0,5,5
130202034,13,2,2,34,2,130202034,Saint Stephen - (CCS),20,0,10,10,15,5,10,5,10,0,5,5
130202039,13,2,2,39,2,130202039,Saint James - (CCS),25,0,10,15,15,0,5,15,10,0,10,0
130202042,13,2,2,42,2,130202042,Saint David - (CCS),35,0,15,15,25,0,10,15,10,0,10,0
130202044,13,2,2,44,2,130202044,Dumbarton - (CCS),25,0,10,10,15,0,10,10,5,0,5,0
130203000,13,2,3,0,2,130203000,Sunbury County - (CD),130,10,60,55,70,5,30,30,60,5,35,25
130203001,13,2,3,1,2,130203001,Blissville - (CCS),20,0,10,10,15,0,5,10,10,0,5,5
130203004,13,2,3,4,2,130203004,Gladstone - (CCS),20,0,15,10,10,5,0,5,15,0,5,5
130203008,13,2,3,8,2,130203008,Lincoln - (CCS),30,0,10,15,15,0,5,5,15,0,5,5
130203011,13,2,3,11,2,130203011,Burton - (CCS),15,0,10,10,15,0,10,5,5,0,5,0
130203016,13,2,3,16,2,130203016,Maugerville - (CCS),35,5,20,15,20,5,10,5,20,5,10,5
130204000,13,2,4,0,2,130204000,Queens County - (CD),140,10,70,65,95,5,45,45,45,5,20,15
130204004,13,2,4,4,2,130204004,Gagetown - (CCS),35,0,20,15,30,0,15,15,5,0,10,5
130204008,13,2,4,8,2,130204008,Wickham - (CCS),35,10,15,10,20,0,10,5,10,10,5,5
130204011,13,2,4,11,2,130204011,Cambridge - (CCS),35,0,25,15,25,0,15,10,10,0,5,5
130204018,13,2,4,18,2,130204018,Waterborough - (CCS),35,0,15,15,25,0,10,15,10,0,5,5
130205000,13,2,5,0,2,130205000,Kings County - (CD),610,60,350,205,335,25,195,120,270,40,155,80
130205004,13,2,5,4,2,130205004,Upham - (CCS),40,0,25,15,20,0,10,10,20,5,15,5
130205006,13,2,5,6,2,130205006,Hampton - (CCS),30,0,15,15,15,0,5,10,15,5,10,5
130205014,13,2,5,14,2,130205014,Kingston - (CCS),25,0,10,10,15,0,10,5,10,0,5,5
130205018,13,2,5,18,2,130205018,Norton - (CCS),45,10,25,10,25,5,10,10,20,5,10,0
130205021,13,2,5,21,2,130205021,Sussex - (CCS),75,5,45,25,45,5,25,15,35,5,20,5
130205024,13,2,5,24,2,130205024,Waterford - (CCS),25,0,10,10,15,0,5,5,10,0,5,5
130205026,13,2,5,26,2,130205026,Cardwell - (CCS),35,5,20,10,25,0,15,10,15,5,5,5
130205028,13,2,5,28,2,130205028,Havelock - (CCS),65,5,50,20,40,0,25,10,30,5,20,10
130205031,13,2,5,31,2,130205031,Studholm - (CCS),140,15,75,45,70,5,40,25,65,10,35,20
130205034,13,2,5,34,2,130205034,Springfield - (CCS),50,5,35,10,35,5,20,10,15,5,15,0
130205036,13,2,5,36,2,130205036,Kars - (CCS),40,0,20,15,20,0,10,10,15,0,10,5
130205057,13,2,5,57,2,130205057,Quispamsis - (CCS),50,5,30,20,25,5,15,10,20,0,10,15
130300000,13,3,0,0,3,130300000,Agricultural Region 3 - (CAR),930,75,495,360,515,30,255,225,420,45,240,135
130306000,13,3,6,0,3,130306000,Albert County - (CD),155,10,85,60,85,5,45,40,70,5,45,20
130306001,13,3,6,1,3,130306001,Hopewell - (CCS),35,0,15,15,25,0,10,15,5,5,5,0
130306008,13,3,6,8,3,130306008,Elgin - (CCS),55,5,30,20,25,5,15,10,30,5,15,15
130306011,13,3,6,11,3,130306011,Hillsborough - (CCS),30,0,25,10,20,0,10,5,15,0,10,5
130306014,13,3,6,14,3,130306014,Coverdale - (CCS),35,5,20,10,15,5,5,5,15,5,10,0
130307000,13,3,7,0,3,130307000,Westmorland County - (CD),535,45,285,210,310,15,155,130,230,25,125,80
130307001,13,3,7,1,3,130307001,Westmorland - (CCS),50,5,20,20,15,5,5,5,30,5,15,15
130307004,13,3,7,4,3,130307004,Botsford - (CCS),60,5,35,20,40,5,15,15,25,0,20,5
130307008,13,3,7,8,3,130307008,Sackville - (CCS),100,5,55,40,60,5,30,30,35,0,20,10
130307013,13,3,7,13,3,130307013,Memramcook - (CCS),55,5,25,25,35,5,15,15,25,5,5,10
130307016,13,3,7,16,3,130307016,Shediac - (CCS),70,5,35,35,40,0,20,20,30,5,15,10
130307019,13,3,7,19,3,130307019,Moncton - (CCS),90,5,50,35,50,0,25,25,50,5,30,15
130307024,13,3,7,24,3,130307024,Salisbury - (CCS),100,15,60,25,60,5,35,20,40,10,25,5
130308000,13,3,8,0,3,130308000,Kent County - (CD),240,20,130,90,120,10,60,55,115,10,70,40
130308001,13,3,8,1,3,130308001,Dundas - (CCS),35,0,20,15,15,0,5,10,20,0,15,5
130308004,13,3,8,4,3,130308004,Wellington - (CCS),30,5,20,5,20,5,10,5,10,0,5,0
130308006,13,3,8,6,3,130308006,Saint Mary - (CCS),40,5,15,15,20,5,5,10,15,0,10,5
130308014,13,3,8,14,3,130308014,Weldford - (CCS),60,5,30,20,35,5,20,10,25,0,10,10
130308016,13,3,8,16,3,130308016,Richibucto - (CCS),40,5,20,15,10,0,5,5,30,5,15,10
