PROV ,CAR,CD,CCS,GEO NAMES,nsalesxfp,ntchick,tchick,nbroiler,broiler,npulets,pulets,nlayhen,layhen,nhenhtch,henhtch,nturkey,turkey,nothplt,othplt,nbroilpd,broilpd,ebroilpd,nturkprd,turkprd,eturkprd,nhatchnm,hatchnm,ntcattl,tcattl,nbulls,bulls,ntotcow,totcow,nmlkcow,mlkcow,nbfcows,bfcows,nheifer,heifer,nbfheif,bfheif,nmlkheif,mlkheif,nfdheif,fdheif,nsteers,steers,ncalfu1,calfu1,ntopigs,topigs,nboars,boars,nsows,sows,nnurpig,nurpig,ngrwpig,grwpig,ntsheep,tsheep,nrams,rams,newes,ewes,nlambs,lambs,nhorses,horses,ngoats,goats,nwldboar,wldboar,nmink,mink,nfox,fox,nbison,bison,ndeer,deer,nelk,elk,nlamas,lamas,nrabbit,rabbit,nbees,bees,ntottrc,tottrc,tottrco,tottrcl,tvaltrc,nttru100,ttru100,otru100,ltru100,vtru100,nttrc100,ttrc100,otrc100,ltrc100,vtrc100,nttrc149,ttrc149,otrc149,ltrc149,vtrc149,ntottrk,tottrk,tottrko,tottrkl,tvaltrk,ntotptrk,totptrk,opickup,lpickup,vpickup,ntototrk,tototrk,oothtrk,lothtrk,vothtrk,ntautmbl,tautmbl,oautmbl,lautmbl,vautmbl,ntotcomb,totcomb,ocomb,lcomb,vcomb,ntswtmow,tswtmow,oswtmow,lswtmow,vswtmow,ntotbal,totbal,obaler,lbaler,vbaler,ntharvst,tharvst,oharvst,lharvst,vharvst,ntcultsd,tcultsd,ocultsd,lcultsd,vcultsd,nvirrig,virrig,nvaloeq,valoeq
10,1,1,519,St. John's,162,18,x,8,x,3,x,14,x,0,0,8,x,8,130,9,x,x,13,x,x,0,0,47,"3,052",26,41,34,"1,997",29,"1,954",6,43,37,502,8,39,28,439,5,24,4,6,37,506,6,506,3,5,4,45,3,x,4,x,12,658,10,23,12,300,11,335,15,47,5,22,0,0,1,x,3,220,0,0,0,0,0,0,1,x,0,0,2,x,125,239,x,x,"4,795,791",118,215,x,x,"3,647,130",11,17,17,0,x,6,7,7,0,x,128,215,204,12,"2,616,965",121,171,x,x,"1,974,856",26,44,x,x,"642,109",54,65,61,4,"651,817",1,x,x,0,x,47,52,x,x,"468,128",61,69,69,0,"641,284",10,12,12,0,"195,131",79,254,x,x,"676,303",11,x,104,"1,849,423"
10,1,2,0,Division No.  2,26,6,165,0,0,0,0,6,165,0,0,3,20,3,54,1,x,x,2,x,x,0,0,6,53,2,x,4,15,0,0,4,15,2,x,1,x,0,0,2,x,3,11,5,17,0,0,0,0,0,0,0,0,0,0,7,558,6,17,7,243,6,298,4,11,3,14,0,0,0,0,1,x,0,0,0,0,0,0,1,x,1,x,0,0,21,35,35,0,"389,500",19,32,32,0,x,2,x,x,0,x,1,x,x,0,x,19,25,x,x,"289,000",17,21,x,x,"262,500",4,4,4,0,"26,500",4,5,5,0,"54,500",0,0,0,0,0,2,x,x,0,x,3,4,4,0,x,0,0,0,0,0,11,38,x,x,"91,600",3,x,14,"99,500"
10,1,2,1,Subd. E,26,6,165,0,0,0,0,6,165,0,0,3,20,3,54,1,x,x,2,x,x,0,0,6,53,2,x,4,15,0,0,4,15,2,x,1,x,0,0,2,x,3,11,5,17,0,0,0,0,0,0,0,0,0,0,7,558,6,17,7,243,6,298,4,11,3,14,0,0,0,0,1,x,0,0,0,0,0,0,1,x,1,x,0,0,21,35,35,0,"389,500",19,32,32,0,x,2,x,x,0,x,1,x,x,0,x,19,25,x,x,"289,000",17,21,x,x,"262,500",4,4,4,0,"26,500",4,5,5,0,"54,500",0,0,0,0,0,2,x,x,0,x,3,4,4,0,x,0,0,0,0,0,11,38,x,x,"91,600",3,x,14,"99,500"
10,3,4,0,Division No.  4,51,7,x,1,x,1,x,7,x,0,0,2,x,2,x,0,0,0,1,x,x,0,0,23,"1,694",10,15,20,834,4,611,16,223,15,369,12,x,3,297,2,x,7,38,22,438,3,x,2,x,1,x,1,x,2,x,11,"1,755",9,36,11,938,10,781,9,18,3,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,1,x,40,98,91,7,"2,164,602",40,86,x,x,"1,197,026",3,x,x,x,x,2,x,x,0,x,37,70,67,3,"802,666",36,54,51,3,"462,116",10,16,16,0,"340,550",14,18,x,x,"187,793",2,x,x,0,x,13,14,14,0,"115,867",20,25,25,0,"140,557",4,6,6,0,x,31,123,x,x,"389,395",2,x,34,"894,606"
10,3,4,1,Subd. A,19,1,x,1,x,1,x,1,x,0,0,1,x,1,x,0,0,0,1,x,x,0,0,13,951,6,x,12,493,2,x,10,x,10,182,8,x,2,x,1,x,5,x,13,254,1,x,1,x,0,0,0,0,0,0,4,304,3,3,4,216,4,85,3,3,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,x,x,"907,000",15,x,35,x,x,1,x,x,x,x,2,x,x,0,x,13,27,27,0,"326,800",13,21,21,0,x,3,6,6,0,x,6,8,x,x,"135,500",0,0,0,0,0,5,6,6,0,x,10,12,12,0,"52,590",1,x,x,0,x,12,30,30,0,"93,300",0,0,12,x
10,3,4,6,Subd. B,32,6,x,0,0,0,0,6,x,0,0,1,x,1,x,0,0,0,0,0,0,0,0,10,743,4,x,8,341,2,x,6,x,5,187,4,x,1,x,1,x,2,x,9,184,2,x,1,x,1,x,1,x,2,x,7,"1,451",6,33,7,722,6,696,6,15,2,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,1,x,25,55,x,x,"1,257,602",25,x,x,x,x,2,x,x,x,x,0,0,0,0,0,24,43,40,3,"475,866",23,33,30,3,x,7,10,10,0,x,8,10,10,0,"52,293",2,x,x,0,x,8,8,8,0,x,10,13,13,0,"87,967",3,x,x,0,x,19,94,x,x,"296,095",2,x,22,x
10,3,5,0,Division No.  5,100,12,x,3,x,1,x,12,"50,810",0,0,2,x,5,x,2,x,x,4,x,x,0,0,22,"2,286",15,24,19,"1,346",12,"1,302",7,44,16,447,5,10,11,437,0,0,4,7,19,462,4,x,3,5,4,x,2,x,2,x,17,"1,109",17,28,16,482,16,599,13,63,3,x,0,0,1,x,3,319,0,0,0,0,0,0,0,0,0,0,1,x,80,204,189,15,"3,827,450",78,180,x,x,"2,716,185",13,x,x,x,x,7,x,x,0,x,81,118,114,4,"1,034,156",81,100,x,x,"783,848",9,18,x,x,"250,308",31,33,30,3,"331,273",1,x,x,0,x,34,40,x,x,"281,600",42,48,48,0,"540,010",7,7,7,0,x,52,179,179,0,"543,434",9,x,68,"1,514,377"
10,3,5,7,Subd. E,43,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"1,794",12,x,12,"1,058",9,"1,023",3,35,12,328,4,x,8,x,0,0,2,x,12,382,0,0,0,0,0,0,0,0,0,0,3,x,3,x,3,x,3,x,8,49,0,0,0,0,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,39,106,101,5,"2,185,050",37,90,85,5,"1,463,750",9,11,11,0,"316,800",5,5,5,0,"404,500",37,47,47,0,"381,425",37,x,x,0,x,2,x,x,0,x,16,17,x,x,"173,450",1,x,x,0,x,21,25,x,x,"171,300",26,30,30,0,"408,710",3,3,3,0,x,30,101,101,0,"350,272",0,0,30,"640,515"
10,3,5,10,Subd. F,22,5,x,1,x,1,x,5,x,0,0,0,0,3,43,0,0,0,1,x,x,0,0,4,x,1,x,4,x,2,x,2,x,3,x,1,x,2,x,0,0,1,x,4,39,2,x,2,x,2,x,2,x,2,x,2,x,2,x,2,x,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,16,49,43,6,"1,034,200",16,45,x,x,x,2,x,x,x,x,1,x,x,0,x,19,35,x,x,"289,731",19,x,x,0,x,4,x,x,x,x,7,7,7,0,"61,923",0,0,0,0,0,5,7,7,0,"70,000",5,6,6,0,"63,000",2,x,x,0,x,8,39,39,0,"115,962",5,x,19,"403,962"
10,3,5,19,Subd. D,35,6,"5,798",2,x,0,0,6,x,0,0,2,x,2,x,2,x,x,3,692,"1,526",0,0,4,x,2,x,3,x,1,x,2,x,1,x,0,0,1,x,0,0,1,x,3,41,2,x,1,x,2,x,0,0,0,0,12,753,12,19,11,339,11,395,4,x,3,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0,0,25,49,45,4,"608,200",25,45,x,x,x,2,x,x,x,x,1,x,x,0,x,25,36,x,x,"363,000",25,28,x,x,"300,500",3,8,8,0,"62,500",8,9,x,x,"95,900",0,0,0,0,0,8,8,8,0,"40,300",11,12,12,0,"68,300",2,x,x,0,x,14,39,39,0,"77,200",4,x,19,"469,900"
10,2,6,0,Division No.  6,42,4,x,1,x,1,x,4,x,0,0,2,x,2,x,0,0,0,1,x,x,0,0,4,x,1,x,3,x,2,x,2,x,3,74,1,x,1,x,2,x,2,x,3,x,1,x,1,x,1,x,0,0,0,0,2,x,2,x,2,x,1,x,2,x,1,x,0,0,1,x,6,372,0,0,0,0,0,0,0,0,0,0,1,x,29,73,73,0,"861,300",28,67,67,0,x,3,x,x,0,x,2,x,x,0,x,29,49,x,x,"487,500",25,40,x,x,"419,500",9,9,9,0,"68,000",15,16,16,0,"153,060",0,0,0,0,0,6,6,6,0,x,10,10,10,0,"63,500",1,x,x,0,x,18,69,69,0,"235,000",4,"26,000",27,"288,702"
10,2,6,14,Subd. C,42,4,x,1,x,1,x,4,x,0,0,2,x,2,x,0,0,0,1,x,x,0,0,4,x,1,x,3,x,2,x,2,x,3,74,1,x,1,x,2,x,2,x,3,x,1,x,1,x,1,x,0,0,0,0,2,x,2,x,2,x,1,x,2,x,1,x,0,0,1,x,6,372,0,0,0,0,0,0,0,0,0,0,1,x,29,73,73,0,"861,300",28,67,67,0,x,3,x,x,0,x,2,x,x,0,x,29,49,x,x,"487,500",25,40,x,x,"419,500",9,9,9,0,"68,000",15,16,16,0,"153,060",0,0,0,0,0,6,6,6,0,x,10,10,10,0,"63,500",1,x,x,0,x,18,69,69,0,"235,000",4,"26,000",27,"288,702"
10,2,7,0,Division No.  7,64,6,x,2,x,2,x,5,x,0,0,1,x,4,114,3,x,x,2,x,x,0,0,16,"1,066",7,15,13,663,9,x,5,x,10,190,3,x,7,x,1,x,3,9,14,189,2,x,2,x,2,x,1,x,1,x,5,x,5,x,5,x,4,x,8,23,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,43,100,95,5,"1,574,624",41,88,83,5,"1,351,666",6,x,x,0,x,4,x,x,0,x,46,80,x,x,"821,393",45,59,x,x,"632,793",12,21,21,0,"188,600",20,20,20,0,"201,266",0,0,0,0,0,13,13,13,0,x,17,18,18,0,"218,500",3,x,x,0,x,32,101,101,0,"465,866",9,"146,200",41,"745,256"
10,2,7,9,Subd. K,19,3,x,1,x,1,x,2,x,0,0,0,0,2,x,2,x,x,1,x,x,0,0,6,x,3,5,4,60,2,x,2,x,2,x,1,x,1,x,0,0,2,x,4,x,1,x,1,x,1,x,0,0,0,0,4,115,4,7,4,52,3,56,2,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,11,23,x,x,"393,874",11,x,x,x,x,2,x,x,0,x,1,x,x,0,x,12,19,19,0,"147,893",11,x,x,0,x,3,x,x,0,x,4,4,4,0,"26,966",0,0,0,0,0,5,x,x,0,"38,000",6,6,6,0,x,1,x,x,0,x,7,13,13,0,"40,766",2,x,12,"170,750"
10,2,7,31,Subd. E,26,2,x,0,0,1,x,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,9,951,4,10,9,603,7,548,3,55,8,x,2,x,6,157,1,x,1,x,9,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,57,x,x,"951,500",18,49,x,x,"823,500",4,x,x,0,x,2,x,x,0,x,20,42,x,x,"477,500",20,27,x,x,"333,500",7,15,15,0,"144,000",11,11,11,0,"106,800",0,0,0,0,0,6,6,6,0,"33,100",8,9,9,0,"151,000",2,x,x,0,x,16,55,55,0,"139,500",3,x,20,"453,006"
10,2,7,38,Subd. D,19,1,x,1,x,0,0,1,x,0,0,1,x,1,x,1,x,x,1,x,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,20,0,"229,250",12,x,x,0,x,0,0,0,0,0,1,x,x,0,x,14,19,x,x,"196,000",14,x,x,x,x,2,x,x,0,x,5,5,5,0,"67,500",0,0,0,0,0,2,x,x,0,x,3,3,3,0,x,0,0,0,0,0,9,33,33,0,"285,600",4,x,9,"121,500"
10,2,8,0,Division No.  8,59,7,x,1,x,0,0,7,"36,119",0,0,1,x,3,x,0,0,0,1,x,x,0,0,11,x,5,x,5,x,1,x,4,x,6,14,5,x,1,x,1,x,4,x,6,x,3,x,1,x,1,x,2,x,2,x,15,721,14,43,15,343,13,335,5,x,5,x,0,0,0,0,4,x,0,0,0,0,0,0,0,0,1,x,0,0,36,86,86,0,"729,510",34,78,78,0,x,6,8,8,0,x,0,0,0,0,0,46,72,x,x,"585,182",44,59,x,x,"540,182",10,13,13,0,"45,000",12,12,x,x,"208,851",0,0,0,0,0,7,8,8,0,"22,157",10,10,10,0,"42,000",0,0,0,0,0,30,102,102,0,"234,780",13,"195,479",35,"449,492"
