areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ATOTAL,BSEX01,CSEX02,ATOTAL1,BSEX011,CSEX021,ATOTAL2,BSEX012,CSEX022
"110,101,028",11,1,1,28,1,110101028,Lot 55 - (CCS),40,35,5,20,15,0,20,15,5
"110,101,032",11,1,1,32,1,110101032,Lot 44 - (CCS),35,30,0,20,20,0,10,5,0
"110,101,034",11,1,1,34,1,110101034,Lot 45 - (CCS),40,35,5,10,15,0,25,15,0
"110,101,039",11,1,1,39,1,110101039,Lot 47 - (CCS),25,20,0,10,10,0,15,10,5
"110,101,042",11,1,1,42,1,110101042,Lot 41 - (CCS),30,25,0,15,20,0,15,10,5
"110,101,046",11,1,1,46,1,110101046,Lot 40 - (CCS),55,50,5,25,25,0,30,30,10
"110,101,051",11,1,1,51,1,110101051,Lot 38 - (CCS),30,25,5,15,20,0,10,10,5
"110,200,000",11,2,0,0,2,110200000,Agricultural Region 2 - (CAR),"1,195","1,000",190,640,600,35,555,400,155
"110,202,000",11,2,2,0,2,110202000,Queens County - (CD),"1,190","1,000",190,640,600,40,550,395,155
"110,202,006",11,2,2,6,2,110202006,Lot 58 - (CCS),65,45,15,20,20,5,45,25,15
"110,202,008",11,2,2,8,2,110202008,Lot 57 - (CCS),55,50,5,30,30,0,20,20,5
"110,202,009",11,2,2,9,2,110202009,Lot 50 - (CCS),55,50,5,30,25,0,30,25,5
"110,202,012",11,2,2,12,2,110202012,Lot 49 - (CCS),45,40,5,25,25,0,15,10,5
"110,202,014",11,2,2,14,2,110202014,Lot 48 - (CCS),55,50,10,30,30,5,20,15,5
"110,202,026",11,2,2,26,2,110202026,Lot 31 - (CCS),95,80,10,55,50,5,40,30,10
"110,202,028",11,2,2,28,2,110202028,Lot 65 - (CCS),70,55,15,45,40,5,30,20,10
"110,202,029",11,2,2,29,2,110202029,Lot 30 - (CCS),45,35,10,30,25,0,20,5,5
"110,202,031",11,2,2,31,2,110202031,Lot 29 - (CCS),45,35,10,25,20,5,20,15,5
"110,202,036",11,2,2,36,2,110202036,Lot 67 - (CCS),85,70,15,55,50,0,30,20,15
"110,202,038",11,2,2,38,2,110202038,Lot 20 - (CCS),60,45,10,30,25,5,30,20,10
"110,202,039",11,2,2,39,2,110202039,Lot 21 - (CCS),25,20,5,20,15,0,10,5,5
"110,202,040",11,2,2,40,2,110202040,Miltonvale Park - (CCS),40,35,5,20,20,5,20,15,5
"110,202,041",11,2,2,41,2,110202041,Lot 22 - (CCS),40,35,5,20,15,0,25,15,5
"110,202,042",11,2,2,42,2,110202042,Lot 23 - (CCS),50,50,5,35,35,5,15,15,5
"110,202,044",11,2,2,44,2,110202044,Lot 24 - (CCS),70,60,10,35,35,0,40,25,10
"110,202,049",11,2,2,49,2,110202049,Lot 33 - (CCS),85,75,10,45,40,5,45,40,10
"110,202,052",11,2,2,52,2,110202052,Lot 34 - (CCS),65,55,10,30,30,0,35,25,10
"110,202,054",11,2,2,54,2,110202054,Lot 35 - (CCS),35,35,5,20,15,0,15,15,5
"110,202,056",11,2,2,56,2,110202056,Lot 36 - (CCS),45,35,5,20,20,0,20,10,10
"110,202,058",11,2,2,58,2,110202058,Lot 37 - (CCS),35,30,5,15,15,0,15,10,5
"110,202,085",11,2,2,85,2,110202085,Cornwall - (CCS),35,30,5,20,15,0,15,10,0
"110,300,000",11,3,0,0,3,110300000,Agricultural Region 3 - (CAR),835,725,105,425,405,15,405,320,90
"110,303,000",11,3,3,0,3,110303000,Prince County - (CD),835,725,110,425,410,15,410,315,90
"110,303,001",11,3,3,1,3,110303001,Lot 28 - (CCS),60,55,5,35,30,0,25,25,0
"110,303,006",11,3,3,6,3,110303006,Lot 27 - (CCS),45,40,5,25,20,5,25,25,0
"110,303,009",11,3,3,9,3,110303009,Lot 26 - (CCS),70,60,10,20,25,0,45,40,5
"110,303,011",11,3,3,11,3,110303011,Lot 25 - (CCS),60,50,10,20,20,0,45,30,10
"110,303,012",11,3,3,12,3,110303012,Lot 19 - (CCS),55,55,10,25,25,0,30,25,10
"110,303,016",11,3,3,16,3,110303016,Lot 18 - (CCS),50,40,5,20,20,0,30,20,10
"110,303,019",11,3,3,19,3,110303019,Lot 17 - (CCS),50,40,5,25,20,0,25,20,5
"110,303,028",11,3,3,28,3,110303028,Lot 16 - (CCS),50,35,15,15,15,0,35,20,15
"110,303,031",11,3,3,31,3,110303031,Lot 14 - (CCS),35,35,5,20,25,0,15,10,0
"110,303,032",11,3,3,32,3,110303032,Lot 13 - (CCS),30,30,0,20,20,0,10,10,5
"110,303,034",11,3,3,34,3,110303034,Lot 12 - (CCS),20,20,5,20,20,0,5,5,0
"110,303,041",11,3,3,41,3,110303041,Lot  6 - (CCS),45,45,0,25,30,0,20,20,0
"110,303,044",11,3,3,44,3,110303044,Lot  9 - (CCS),30,30,10,10,15,0,20,15,5
"110,303,046",11,3,3,46,3,110303046,Lot  8 - (CCS),40,35,5,25,25,0,15,15,5
"110,303,048",11,3,3,48,3,110303048,Lot  7 - (CCS),50,40,10,25,25,0,25,15,10
"110,303,051",11,3,3,51,3,110303051,Lot  4 - (CCS),50,45,5,30,25,5,20,20,5
"110,303,054",11,3,3,54,3,110303054,Lot  3 - (CCS),45,45,0,30,35,0,10,10,5
"110,303,058",11,3,3,58,3,110303058,Lot  1 - (CCS),40,30,5,30,30,5,10,5,5
"120,000,000",12,0,0,0,0,120000000,Nova Scotia,"5,080","4,000","1,085","2,850","2,585",270,"2,230","1,415",815
"120,100,000",12,1,0,0,1,120100000,Agricultural Region 1 - (CAR),840,670,170,500,445,55,340,225,120
"120,101,000",12,1,1,0,1,120101000,Shelburne County - (CD),35,20,15,20,15,5,10,5,5
"120,101,006",12,1,1,6,1,120101006,Shelburne - (CCS),35,20,10,20,15,5,10,5,5
"120,102,000",12,1,2,0,1,120102000,Yarmouth County - (CD),145,115,30,85,65,15,65,45,20
"120,102,001",12,1,2,1,1,120102001,Argyle - (CCS),35,30,10,25,20,5,10,5,5
"120,102,004",12,1,2,4,1,120102004,Yarmouth - (CCS),110,85,25,55,50,5,50,35,15
"120,103,000",12,1,3,0,1,120103000,Digby County - (CD),140,120,20,85,75,5,55,40,15
"120,103,001",12,1,3,1,1,120103001,Clare - (CCS),85,70,15,45,45,5,40,30,10
"120,103,004",12,1,3,4,1,120103004,Digby - (CCS),50,45,10,35,35,5,20,10,5
"120,104,000",12,1,4,0,1,120104000,Queens County - (CD),60,50,10,35,30,0,25,15,10
"120,104,010",12,1,4,10,1,120104010,Queens - (CCS),60,50,5,35,35,0,25,15,5
"120,106,000",12,1,6,0,1,120106000,Lunenburg County - (CD),470,370,95,280,255,25,185,120,70
"120,106,001",12,1,6,1,1,120106001,Lunenburg - (CCS),340,265,75,185,165,20,155,95,55
"120,106,009",12,1,6,9,1,120106009,Chester - (CCS),130,110,20,95,85,5,35,20,15
"120,200,000",12,2,0,0,2,120200000,Agricultural Region 2 - (CAR),"1,655","1,285",365,845,780,75,805,510,295
"120,205,000",12,2,5,0,2,120205000,Annapolis County - (CD),335,260,75,170,155,15,165,110,60
"120,205,001",12,2,5,1,2,120205001,"Annapolis, Subd. D - (CCS)",40,30,10,25,20,0,20,10,10
"120,205,004",12,2,5,4,2,120205004,"Annapolis, Subd. A - (CCS)",90,65,25,35,35,10,50,35,20
"120,205,009",12,2,5,9,2,120205009,"Annapolis, Subd. B - (CCS)",115,90,30,65,55,5,55,30,25
"120,205,014",12,2,5,14,2,120205014,"Annapolis, Subd. C - (CCS)",90,75,15,50,45,5,45,30,15
"120,207,000",12,2,7,0,2,120207000,Kings County - (CD),865,680,180,440,405,35,425,275,145
"120,207,001",12,2,7,1,2,120207001,"Kings, Subd. A - (CCS)",430,330,95,220,200,20,210,135,75
"120,207,011",12,2,7,11,2,120207011,"Kings, Subd. C - (CCS)",50,40,5,30,30,0,15,10,5
"120,207,016",12,2,7,16,2,120207016,"Kings, Subd. B - (CCS)",250,200,50,130,120,15,115,80,40
"120,207,021",12,2,7,21,2,120207021,"Kings, Subd. D - (CCS)",140,105,30,60,55,5,80,55,25
"120,208,000",12,2,8,0,2,120208000,Hants County - (CD),450,350,105,235,220,20,215,125,90
"120,208,001",12,2,8,1,2,120208001,West Hants - (CCS),210,155,60,105,95,10,105,55,45
"120,208,008",12,2,8,8,2,120208008,East Hants - (CCS),240,190,50,135,125,5,110,65,45
"120,300,000",12,3,0,0,3,120300000,Agricultural Region 3 - (CAR),"1,480","1,150",330,825,740,85,660,415,250
"120,309,000",12,3,9,0,3,120309000,Halifax County - (CD),205,145,60,105,90,20,100,60,40
"120,309,034",12,3,9,34,3,120309034,Halifax - (CCS),205,145,60,105,85,20,95,60,40
"120,310,000",12,3,10,0,3,120310000,Colchester County - (CD),605,475,130,305,285,20,300,190,110
"120,310,001",12,3,10,1,3,120310001,"Colchester, Subd. C - (CCS)",255,205,45,120,115,5,130,90,40
"120,310,008",12,3,10,8,3,120310008,"Colchester, Subd. B - (CCS)",220,165,50,110,105,10,110,65,40
"120,310,012",12,3,10,12,3,120310012,"Colchester, Subd. A - (CCS)",135,100,35,70,65,10,65,35,25
"120,311,000",12,3,11,0,3,120311000,Cumberland County - (CD),675,530,145,410,365,45,265,165,100
"120,311,001",12,3,11,1,3,120311001,"Cumberland, Subd. A - (CCS)",115,90,25,75,65,10,40,25,15
"120,311,006",12,3,11,6,3,120311006,"Cumberland, Subd. B - (CCS)",240,185,55,160,130,20,80,55,30
"120,311,009",12,3,11,9,3,120311009,"Cumberland, Subd. C - (CCS)",195,155,40,110,105,10,85,50,25
"120,311,014",12,3,11,14,3,120311014,"Cumberland, Subd. D - (CCS)",130,100,25,70,65,0,60,35,20
"120,400,000",12,4,0,0,4,120400000,Agricultural Region 4 - (CAR),735,600,140,465,420,40,270,180,90
"120,412,000",12,4,12,0,4,120412000,Pictou County - (CD),345,280,65,205,185,20,140,90,50
"120,412,001",12,4,12,1,4,120412001,"Pictou, Subd. A - (CCS)",150,120,30,90,80,15,60,45,20
"120,412,006",12,4,12,6,4,120412006,"Pictou, Subd. B - (CCS)",100,80,20,55,50,5,45,30,15
"120,412,011",12,4,12,11,4,120412011,"Pictou, Subd. C - (CCS)",95,75,15,65,55,5,30,20,10
"120,413,000",12,4,13,0,4,120413000,Guysborough County - (CD),105,85,20,75,65,5,30,20,10
"120,413,001",12,4,13,1,4,120413001,St. Mary's - (CCS),35,25,10,20,15,0,15,10,5
"120,413,004",12,4,13,4,4,120413004,Guysborough - (CCS),70,60,10,50,50,0,15,10,10
"120,414,000",12,4,14,0,4,120414000,Antigonish County - (CD),285,240,50,180,170,15,105,70,35
"120,414,001",12,4,14,1,4,120414001,"Antigonish, Subd. A - (CCS)",160,135,25,100,95,5,60,35,20
"120,414,006",12,4,14,6,4,120414006,"Antigonish, Subd. B - (CCS)",130,105,20,85,70,10,50,30,15
"120,500,000",12,5,0,0,5,120500000,Agricultural Region 5 - (CAR),370,290,80,215,205,15,150,85,60
"120,515,000",12,5,15,0,5,120515000,Inverness County - (CD),175,135,40,105,95,10,70,40,30
"120,515,001",12,5,15,1,5,120515001,"Inverness, Subd. C - (CCS)",45,30,10,30,25,0,20,10,10
"120,515,006",12,5,15,6,5,120515006,"Inverness, Subd. B - (CCS)",80,65,15,45,45,5,35,20,15
"120,515,011",12,5,15,11,5,120515011,"Inverness, Subd. A - (CCS)",50,40,10,30,30,0,20,15,5
"120,516,000",12,5,16,0,5,120516000,Richmond County - (CD),20,15,5,15,15,5,5,0,5
"120,516,001",12,5,16,1,5,120516001,"Richmond, Subd. C - (CCS)",20,15,5,10,10,0,5,5,5
"120,517,000",12,5,17,0,5,120517000,Cape Breton County - (CD),125,100,30,70,65,5,55,35,20
"120,517,030",12,5,17,30,5,120517030,Cape Breton - (CCS),130,100,25,70,65,5,55,35,25
"120,518,000",12,5,18,0,5,120518000,Victoria County - (CD),45,35,5,30,30,0,15,10,5
"120,518,001",12,5,18,1,5,120518001,"Victoria, Subd. B - (CCS)",45,35,5,30,25,5,15,10,10
"130,000,000",13,0,0,0,0,130000000,New Brunswick,"3,895","3,195",705,"2,205","2,065",140,"1,690","1,125",565
"130,100,000",13,1,0,0,1,130100000,Agricultural Region 1 - (CAR),"1,420","1,210",215,770,740,30,655,470,180
"130,110,000",13,1,10,0,1,130110000,York County - (CD),415,325,85,200,190,10,220,145,75
"130,110,004",13,1,10,4,1,130110004,Manners Sutton - (CCS),40,30,10,20,20,0,20,10,5
"130,110,016",13,1,10,16,1,130110016,Prince William - (CCS),45,40,10,20,25,0,25,15,10
"130,110,018",13,1,10,18,1,130110018,Kingsclear - (CCS),40,30,5,20,20,0,20,10,5
"130,110,021",13,1,10,21,1,130110021,Queensbury - (CCS),55,50,10,20,20,0,35,25,10
"130,110,024",13,1,10,24,1,130110024,Southampton - (CCS),40,35,5,20,20,0,25,15,5
"130,110,026",13,1,10,26,1,130110026,Bright - (CCS),50,40,10,25,20,0,30,15,15
"130,110,028",13,1,10,28,1,130110028,Douglas - (CCS),60,50,10,30,30,5,30,20,10
"130,110,032",13,1,10,32,1,130110032,Fredericton - (CCS),45,35,10,20,20,5,30,20,10
"130,110,036",13,1,10,36,1,130110036,Stanley - (CCS),35,25,5,20,20,0,15,10,5
"130,111,000",13,1,11,0,1,130111000,Carleton County - (CD),555,490,65,315,300,10,240,185,55
"130,111,001",13,1,11,1,1,130111001,Richmond - (CCS),45,35,5,30,30,5,20,10,5
"130,111,004",13,1,11,4,1,130111004,Woodstock - (CCS),35,30,10,25,25,5,15,5,5
"130,111,008",13,1,11,8,1,130111008,Northampton - (CCS),35,30,0,30,25,0,5,5,0
"130,111,011",13,1,11,11,1,130111011,Brighton - (CCS),50,45,10,30,30,0,25,20,10
"130,111,014",13,1,11,14,1,130111014,Wakefield - (CCS),75,70,5,35,35,0,45,35,5
"130,111,018",13,1,11,18,1,130111018,Wilmot - (CCS),55,50,5,30,30,0,25,25,5
"130,111,021",13,1,11,21,1,130111021,Simonds - (CCS),20,20,0,15,15,0,10,5,0
"130,111,024",13,1,11,24,1,130111024,Peel - (CCS),40,30,5,20,20,5,20,10,0
"130,111,026",13,1,11,26,1,130111026,Aberdeen - (CCS),45,40,5,20,20,0,25,20,5
"130,111,028",13,1,11,28,1,130111028,Kent - (CCS),90,85,5,60,55,0,30,25,5
"130,111,031",13,1,11,31,1,130111031,Wicklow - (CCS),55,45,10,25,25,0,35,20,10
"130,112,000",13,1,12,0,1,130112000,Victoria County - (CD),235,205,30,125,125,5,110,80,30
"130,112,001",13,1,12,1,1,130112001,Andover - (CCS),20,20,5,10,10,0,15,10,0
"130,112,004",13,1,12,4,1,130112004,Perth - (CCS),25,25,5,25,25,0,10,5,0
"130,112,008",13,1,12,8,1,130112008,Gordon - (CCS),30,30,5,10,10,0,20,15,5
"130,112,014",13,1,12,14,1,130112014,Denmark - (CCS),55,45,5,30,30,5,20,15,0
"130,112,016",13,1,12,16,1,130112016,Grand Falls - (CCS),40,40,0,20,20,0,25,20,5
"130,112,021",13,1,12,21,1,130112021,Drummond - (CCS),55,50,10,30,30,0,25,20,10
"130,113,000",13,1,13,0,1,130113000,Madawaska County - (CD),215,185,30,130,120,5,90,65,25
"130,113,001",13,1,13,1,1,130113001,Saint-AndrÇ - (CCS),50,45,5,25,25,0,20,15,5
"130,113,004",13,1,13,4,1,130113004,Saint-LÇonard - (CCS),30,25,5,15,15,0,15,10,5
"130,113,015",13,1,13,15,1,130113015,Riviäre-Verte - (CCS),35,30,5,20,25,0,10,5,5
"130,113,022",13,1,13,22,1,130113022,Saint-Joseph - (CCS),35,30,5,20,20,0,15,10,5
"130,113,034",13,1,13,34,1,130113034,Baker Brook - (CCS),45,40,10,25,20,5,20,15,5
"130,113,041",13,1,13,41,1,130113041,Saint-Franáois - (CCS),25,25,0,20,20,5,5,0,5
"130,200,000",13,2,0,0,2,130200000,Agricultural Region 2 - (CAR),"1,030",815,220,605,555,50,430,265,165
"130,202,000",13,2,2,0,2,130202000,Charlotte County - (CD),155,115,35,100,85,15,55,35,20
"130,202,011",13,2,2,11,2,130202011,Pennfield - (CCS),20,20,5,15,10,0,10,5,0
"130,202,016",13,2,2,16,2,130202016,Saint George - (CCS),25,20,10,15,10,0,10,5,5
"130,202,034",13,2,2,34,2,130202034,Saint Stephen - (CCS),25,15,5,15,10,0,5,5,5
"130,202,039",13,2,2,39,2,130202039,Saint James - (CCS),25,15,5,15,10,0,10,5,5
"130,202,042",13,2,2,42,2,130202042,Saint David - (CCS),35,30,5,25,20,5,10,10,5
"130,202,044",13,2,2,44,2,130202044,Dumbarton - (CCS),20,20,5,20,15,5,5,5,5
"130,203,000",13,2,3,0,2,130203000,Sunbury County - (CD),130,95,30,70,60,10,60,35,25
"130,203,001",13,2,3,1,2,130203001,Blissville - (CCS),25,20,5,15,15,0,5,5,5
"130,203,004",13,2,3,4,2,130203004,Gladstone - (CCS),20,15,5,5,5,5,10,10,10
"130,203,008",13,2,3,8,2,130203008,Lincoln - (CCS),30,25,5,15,15,0,15,5,5
"130,203,011",13,2,3,11,2,130203011,Burton - (CCS),20,15,5,15,10,5,0,0,0
"130,203,016",13,2,3,16,2,130203016,Maugerville - (CCS),35,25,10,15,15,5,15,10,5
"130,204,000",13,2,4,0,2,130204000,Queens County - (CD),140,115,25,95,90,5,45,25,20
"130,204,004",13,2,4,4,2,130204004,Gagetown - (CCS),40,30,5,30,30,0,10,5,5
"130,204,008",13,2,4,8,2,130204008,Wickham - (CCS),30,30,5,15,15,0,10,10,5
"130,204,011",13,2,4,11,2,130204011,Cambridge - (CCS),40,30,10,25,20,0,15,10,5
"130,204,018",13,2,4,18,2,130204018,Waterborough - (CCS),35,25,10,25,20,0,10,5,5
"130,205,000",13,2,5,0,2,130205000,Kings County - (CD),610,485,130,335,320,20,270,165,105
"130,205,004",13,2,5,4,2,130205004,Upham - (CCS),45,35,10,20,20,0,25,15,5
"130,205,006",13,2,5,6,2,130205006,Hampton - (CCS),30,30,5,10,10,0,20,10,5
"130,205,014",13,2,5,14,2,130205014,Kingston - (CCS),25,20,5,15,15,0,10,5,5
"130,205,018",13,2,5,18,2,130205018,Norton - (CCS),40,30,10,25,25,0,20,10,10
"130,205,021",13,2,5,21,2,130205021,Sussex - (CCS),75,60,15,40,40,5,35,20,10
"130,205,024",13,2,5,24,2,130205024,Waterford - (CCS),20,15,5,10,15,0,10,5,5
"130,205,026",13,2,5,26,2,130205026,Cardwell - (CCS),35,25,10,20,20,0,15,5,5
"130,205,028",13,2,5,28,2,130205028,Havelock - (CCS),65,50,15,35,30,5,30,20,10
"130,205,031",13,2,5,31,2,130205031,Studholm - (CCS),135,110,30,75,70,5,65,40,30
"130,205,034",13,2,5,34,2,130205034,Springfield - (CCS),50,45,5,30,30,5,20,10,5
"130,205,036",13,2,5,36,2,130205036,Kars - (CCS),35,25,15,20,20,5,15,5,5
"130,205,057",13,2,5,57,2,130205057,Quispamsis - (CCS),50,35,10,25,25,5,20,15,10
"130,300,000",13,3,0,0,3,130300000,Agricultural Region 3 - (CAR),930,735,190,510,475,35,415,260,155
"130,306,000",13,3,6,0,3,130306000,Albert County - (CD),155,115,35,85,75,5,70,40,30
"130,306,001",13,3,6,1,3,130306001,Hopewell - (CCS),35,25,5,25,20,0,10,5,5
"130,306,008",13,3,6,8,3,130306008,Elgin - (CCS),55,45,15,25,25,0,30,20,15
"130,306,011",13,3,6,11,3,130306011,Hillsborough - (CCS),35,25,10,15,15,0,15,10,5
"130,306,014",13,3,6,14,3,130306014,Coverdale - (CCS),30,20,10,15,10,5,15,10,10
"130,307,000",13,3,7,0,3,130307000,Westmorland County - (CD),540,425,105,310,285,20,230,140,90
"130,307,001",13,3,7,1,3,130307001,Westmorland - (CCS),50,35,15,15,15,5,30,20,10
"130,307,004",13,3,7,4,3,130307004,Botsford - (CCS),65,55,10,40,35,5,25,15,5
"130,307,008",13,3,7,8,3,130307008,Sackville - (CCS),100,80,25,60,55,5,35,25,15
"130,307,013",13,3,7,13,3,130307013,Memramcook - (CCS),55,45,5,35,35,5,20,20,5
"130,307,016",13,3,7,16,3,130307016,Shediac - (CCS),70,60,15,45,40,5,30,20,15
"130,307,019",13,3,7,19,3,130307019,Moncton - (CCS),95,75,20,50,50,0,45,25,20
"130,307,024",13,3,7,24,3,130307024,Salisbury - (CCS),105,80,25,60,60,5,45,25,20
"130,308,000",13,3,8,0,3,130308000,Kent County - (CD),240,190,45,120,110,10,120,80,35
"130,308,001",13,3,8,1,3,130308001,Dundas - (CCS),35,30,5,20,20,5,15,15,5
"130,308,004",13,3,8,4,3,130308004,Wellington - (CCS),30,25,5,20,20,5,5,5,5
"130,308,006",13,3,8,6,3,130308006,Saint Mary - (CCS),35,30,5,20,15,0,20,10,5
"130,308,014",13,3,8,14,3,130308014,Weldford - (CCS),55,50,10,35,35,5,25,15,5
"130,308,016",13,3,8,16,3,130308016,Richibucto - (CCS),40,30,15,10,5,0,30,15,15
"130,308,024",13,3,8,24,3,130308024,Acadieville - (CCS),45,40,5,20,20,0,20,20,5
"130,400,000",13,4,0,0,4,130400000,Agricultural Region 4 - (CAR),505,425,85,320,300,25,190,125,60
"130,409,000",13,4,9,0,4,130409000,Northumberland County - (CD),145,115,30,90,85,5,55,35,25
"130,409,016",13,4,9,16,4,130409016,Rogersville - (CCS),30,20,10,15,15,0,10,5,5
"130,409,026",13,4,9,26,4,130409026,Southesk - (CCS),35,25,10,20,20,5,15,5,5
"130,409,031",13,4,9,31,4,130409031,Newcastle - (CCS),25,25,5,15,20,0,10,5,0
"130,409,036",13,4,9,36,4,130409036,Alnwick - (CCS),55,50,10,35,30,0,20,10,5
"130,414,000",13,4,14,0,4,130414000,Restigouche County - (CD),110,100,10,70,70,0,40,30,10
"130,414,001",13,4,14,1,4,130414001,Durham - (CCS),30,25,5,25,25,0,10,5,5
"130,414,008",13,4,14,8,4,130414008,Dalhousie - (CCS),30,25,5,15,10,0,15,15,0
"130,414,021",13,4,14,21,4,130414021,Saint-Quentin - (CCS),45,45,5,35,35,0,15,10,5
"130,415,000",13,4,15,0,4,130415000,Gloucester County - (CD),255,205,45,160,145,15,100,65,30
"130,415,001",13,4,15,1,4,130415001,Saumarez - (CCS),50,35,10,35,30,5,15,10,5
"130,415,008",13,4,15,8,4,130415008,Bathurst - (CCS),55,45,10,35,30,0,20,15,5
"130,415,016",13,4,15,16,4,130415016,New Bandon - (CCS),40,35,5,20,20,0,15,15,5
"130,415,019",13,4,15,19,4,130415019,Paquetville - (CCS),25,20,10,10,10,5,15,10,5
"130,415,021",13,4,15,21,4,130415021,Saint-Isidore - (CCS),30,25,5,20,20,5,10,5,5
