PROV ,CAR,CD,CCS,GEO NAMES,ntotfcap,totfcap,nvalulb,valulb,nvlbown,vlbown,nvlbrnt,vlbrnt,nvallvsk,vallvsk,nvalmch,valmch,ncap1,ncap2,ncap3,ncap4,ncap5,ncap6,ncap7,ncap8,ncap9,ntotexp,totexp,nfertpd,fertpd,nchempd,chempd,nseedpd,seedpd,nfeedpd,feedpd,ncostfd,costfd,nlvstpd,lvstpd,nvetser,vetser,ncustwrk,custwrk,ntcshwge,tcshwge,ncshwgef,cshwgef,ncshwgnf,cshwgnf,nfuel,fuel,nrepmch,repmch,nrntmch,rntmch,nrepbldg,repbldg,nrntexp,rntexp,nutilexp,utilexp,ntotint,totint,nothexp,othexp,nsalesxfp,salesxfp,nsale1,nsale2,nsale3,nsale4,nsale5,nsale6,nsale7,nsale8,nsale9,ntype0,ntype1,ntype2,ntype3,ntype4,ntype5,ntype6,ntype7,ntype8,ntype9,ntype10,ntype11,ntype12,nnaic1,nnaic2,nnaic3,nnaic4,nnaic5,nnaic6,nnaic7,nnaic8,nnaic9,nnaic10,ntotlab,totlab,npdlbyr,pdlbyr,npdlbsl,pdlbsl
10,1,1,519,St. John's,162,"76,825,328",162,"58,946,252",138,"47,815,001",82,"11,131,251",77,"5,837,498",162,"12,041,578",18,14,38,38,14,24,6,4,6,162,"36,754,171",118,"372,852",63,"91,685",96,"672,951",74,"16,048,162",11,"94,934",53,"6,553,674",53,"289,084",41,"1,759,837",94,"4,147,967",58,"1,509,321",67,"2,638,646",150,"1,434,350",133,"747,366",32,"123,358",97,"579,965",56,"136,511",119,"645,912",61,"616,208",144,"2,534,289",162,40062587,23,18,24,30,12,9,20,9,17,139,28,10,2,7,0,0,15,2,38,2,26,9,38,3,7,3,9,0,29,2,28,20,94,"7,604",37,"5,329",75,"2,275"
10,1,2,0,Division No.  2,26,"3,936,654",26,"2,709,000",18,"1,819,700",20,"889,300",11,"209,854",26,"1,017,800",8,4,7,4,2,1,0,0,0,26,"834,261",21,"42,664",13,"23,886",15,"96,877",13,"46,162",4,"19,757",4,"5,025",10,"3,890",6,"15,184",8,"309,995",3,x,7,x,24,"86,454",21,"57,934",2,x,19,"16,590",10,"2,790",16,"28,641",8,"27,422",18,x,26,912152,7,4,4,2,4,3,1,1,0,19,0,1,0,0,0,0,2,0,10,1,2,3,3,0,0,2,1,0,2,0,7,4,8,356,2,x,6,x
10,1,2,1,Subd. E,26,"3,936,654",26,"2,709,000",18,"1,819,700",20,"889,300",11,"209,854",26,"1,017,800",8,4,7,4,2,1,0,0,0,26,"834,261",21,"42,664",13,"23,886",15,"96,877",13,"46,162",4,"19,757",4,"5,025",10,"3,890",6,"15,184",8,"309,995",3,x,7,x,24,"86,454",21,"57,934",2,x,19,"16,590",10,"2,790",16,"28,641",8,"27,422",18,x,26,912152,7,4,4,2,4,3,1,1,0,19,0,1,0,0,0,0,2,0,10,1,2,3,3,0,0,2,1,0,2,0,7,4,8,356,2,x,6,x
10,3,4,0,Division No.  4,51,"19,567,733",51,"12,304,700",45,"10,030,500",21,"2,274,200",32,"2,365,380",51,"4,897,653",3,12,14,15,3,0,1,1,2,51,"4,493,483",37,"190,627",23,"32,059",29,"68,648",23,"1,089,395",7,"29,700",12,"152,307",16,"94,743",14,"49,546",27,"1,040,265",15,"327,972",18,"712,293",45,"290,262",42,"237,011",9,"25,404",37,"127,309",20,"25,047",34,"146,136",19,"373,509",36,"551,215",51,5408896,12,3,7,8,9,6,4,0,2,39,4,12,0,1,0,0,1,1,8,2,8,2,17,0,1,1,2,0,8,1,7,2,27,"2,005",7,"1,058",24,947
10,3,4,1,Subd. A,19,"7,083,884",19,"3,798,000",18,x,3,x,14,"1,183,188",19,"2,102,696",0,7,5,6,0,0,0,0,1,19,x,13,"80,036",4,x,7,"20,727",10,x,2,x,3,"3,117",6,x,7,"33,525",8,x,5,"150,636",4,x,17,"106,741",15,"140,315",3,x,12,"74,626",5,x,10,"50,371",6,x,11,x,19,x,5,1,4,5,2,0,1,0,1,14,2,8,0,0,0,0,1,0,1,0,1,1,10,0,0,0,0,0,1,0,1,2,8,670,2,x,8,x
10,3,4,6,Subd. B,32,"12,483,849",32,"8,506,700",27,x,18,x,18,"1,182,192",32,"2,794,957",3,5,9,9,3,0,1,1,1,32,x,24,"110,591",19,x,22,"47,921",13,x,5,x,9,"149,190",10,x,7,"16,021",19,x,10,"177,336",14,x,28,"183,521",27,"96,696",6,x,25,"52,683",15,x,24,"95,765",13,x,25,x,32,x,7,2,3,3,7,6,3,0,1,25,2,4,0,1,0,0,0,1,7,2,7,1,7,0,1,1,2,0,7,1,6,0,19,"1,335",5,x,16,x
10,3,5,0,Division No.  5,100,"33,775,078",100,"21,624,964",80,"16,213,744",72,"5,411,220",53,"3,915,491",100,"8,234,623",14,24,20,17,4,12,6,2,1,100,"11,370,067",79,"298,712",41,"63,469",58,"163,070",54,"3,404,775",15,"308,827",26,"890,622",45,"142,333",25,"403,606",54,"2,500,022",32,"1,092,584",45,"1,407,438",95,"477,968",86,"403,805",17,"132,859",71,"141,209",52,"86,919",80,"292,500",43,"631,241",89,"1,336,957",100,12883530,18,10,11,22,10,8,7,6,8,82,11,3,1,5,0,0,13,7,25,0,6,11,16,1,5,6,6,0,10,7,12,19,54,"5,563",21,"3,343",45,"2,220"
10,3,5,7,Subd. E,43,"19,706,035",43,"12,547,724",37,"10,140,424",30,"2,407,300",20,"2,819,589",43,"4,338,722",3,7,8,10,2,7,4,1,1,43,"6,292,033",36,"209,846",20,"35,696",29,"82,481",22,"1,886,765",7,x,14,"168,674",18,"89,408",16,"231,185",25,"1,433,453",15,"631,200",22,"802,253",41,"283,991",37,"233,953",7,"50,036",29,"77,467",25,"64,249",34,"152,896",27,"477,149",40,"814,784",43,7291698,6,2,4,12,4,4,1,5,5,37,9,3,0,0,0,0,10,3,7,0,2,3,12,0,0,1,3,0,5,3,3,10,25,"3,436",11,"2,199",21,"1,237"
10,3,5,10,Subd. F,22,"7,023,035",22,"4,337,000",19,"3,302,000",13,"1,035,000",10,"538,834",22,"2,147,201",3,5,5,4,0,4,0,1,0,22,"3,560,991",16,"50,164",11,"23,823",10,"40,416",11,"1,069,590",1,x,7,x,10,x,4,x,16,"798,208",11,"387,243",12,"410,965",21,"105,799",20,"85,859",5,"56,003",17,"40,885",8,"13,216",18,"88,242",6,"77,300",19,"302,439",22,3990521,6,2,0,1,3,3,4,1,2,16,1,0,1,3,0,0,0,4,5,0,1,1,1,1,3,0,0,0,1,4,5,1,16,"1,387",6,855,12,532
10,3,5,19,Subd. D,35,"7,046,008",35,"4,740,240",24,"2,771,320",29,"1,968,920",23,"557,068",35,"1,748,700",8,12,7,3,2,1,2,0,0,35,"1,517,043",27,"38,702",10,"3,950",19,"40,173",21,"448,420",7,x,5,x,17,x,5,x,13,"268,361",6,"74,141",11,"194,220",33,"88,178",29,"83,993",5,"26,820",25,"22,857",19,"9,454",28,"51,362",10,"76,792",30,"219,734",35,1601311,6,6,7,9,3,1,2,0,1,29,1,0,0,2,0,0,3,0,13,0,3,7,3,0,2,5,3,0,4,0,4,8,13,740,4,289,12,451
10,2,6,0,Division No.  6,42,"11,057,587",42,"8,389,250",28,"6,654,250",29,"1,735,000",15,"520,475",42,"2,147,862",13,7,6,7,3,3,2,1,0,42,"2,659,469",33,"93,451",19,"30,796",25,"51,901",14,x,3,"6,334",7,x,10,x,7,"26,629",19,"682,122",10,"204,137",13,"477,985",39,"142,586",33,"100,135",4,x,27,"67,606",15,x,33,"71,913",18,"137,813",39,"448,875",42,3154727,6,9,4,11,2,6,2,0,2,36,1,1,0,2,0,0,3,2,15,1,9,2,2,0,2,0,6,0,10,2,11,3,19,"1,124",5,629,17,495
10,2,6,14,Subd. C,42,"11,057,587",42,"8,389,250",28,"6,654,250",29,"1,735,000",15,"520,475",42,"2,147,862",13,7,6,7,3,3,2,1,0,42,"2,659,469",33,"93,451",19,"30,796",25,"51,901",14,x,3,"6,334",7,x,10,x,7,"26,629",19,"682,122",10,"204,137",13,"477,985",39,"142,586",33,"100,135",4,x,27,"67,606",15,x,33,"71,913",18,"137,813",39,"448,875",42,3154727,6,9,4,11,2,6,2,0,2,36,1,1,0,2,0,0,3,2,15,1,9,2,2,0,2,0,6,0,10,2,11,3,19,"1,124",5,629,17,495
10,2,7,0,Division No.  7,64,"18,051,389",64,"12,097,740",57,"9,220,770",40,"2,876,970",28,"1,692,644",64,"4,261,005",12,16,13,9,4,6,3,0,1,64,"6,308,273",52,"197,621",25,"49,640",44,"136,276",26,"1,535,866",9,x,20,"495,464",20,"75,396",15,"146,812",38,"1,398,638",26,"724,612",26,"674,026",60,"350,468",48,"234,519",8,x,41,"121,216",25,x,48,"219,242",27,"460,638",57,"813,457",64,7997706,9,6,9,11,9,4,6,5,5,55,9,3,0,4,0,0,8,3,14,1,7,6,13,0,4,1,1,0,10,3,13,10,38,"3,099",12,"1,282",33,"1,817"
10,2,7,9,Subd. K,19,"4,014,477",19,"2,853,750",19,"2,489,750",9,"364,000",12,"248,978",19,"911,749",3,4,5,4,1,2,0,0,0,19,"1,176,980",14,"33,174",6,"22,670",11,"41,672",11,x,5,x,9,x,6,"7,231",5,x,7,"164,942",2,x,6,x,17,"79,293",13,"32,545",1,x,13,"29,385",5,x,14,"27,538",4,"76,978",16,"139,750",19,1409414,4,3,3,3,1,1,2,1,1,15,2,2,0,3,0,0,1,1,3,1,1,1,4,0,3,1,1,0,2,1,2,1,7,462,2,x,6,x
10,2,7,31,Subd. E,26,"11,176,946",26,"7,392,490",21,"5,441,520",21,"1,950,970",12,"1,432,750",26,"2,351,706",6,4,2,5,2,3,3,0,1,26,"4,646,248",20,"126,509",8,"17,749",16,"50,089",12,"1,252,105",3,"350,000",8,x,10,"67,383",7,x,20,"1,005,869",16,"582,778",13,"423,091",26,"228,194",23,"181,191",6,"36,614",16,"80,686",14,"28,567",22,"177,863",18,"374,113",25,"632,017",26,5943937,2,2,3,1,5,3,3,3,4,24,7,1,0,1,0,0,5,1,4,0,2,3,9,0,1,0,0,0,3,1,4,6,20,"2,088",8,"1,083",17,"1,005"
10,2,7,38,Subd. D,19,"2,859,966",19,"1,851,500",17,"1,289,500",10,"562,000",4,"10,916",19,"997,550",3,8,6,0,1,1,0,0,0,19,"485,045",18,"37,938",11,"9,221",17,"44,515",3,x,1,x,3,x,4,782,3,"10,287",11,"227,827",8,x,7,x,17,"42,981",12,"20,783",1,x,12,"11,145",6,"1,960",12,"13,841",5,"9,547",16,"41,690",19,644355,3,1,3,7,3,0,1,1,0,16,0,0,0,0,0,0,2,1,7,0,4,2,0,0,0,0,0,0,5,1,7,3,11,549,2,x,10,x
10,2,8,0,Division No.  8,59,"9,525,995",59,"6,612,000",38,"4,934,000",40,"1,678,000",28,"446,544",59,"2,467,451",16,11,20,6,2,3,1,0,0,59,"2,478,652",42,"123,204",26,"24,856",34,"48,835",27,x,2,x,14,x,18,x,9,"11,290",31,"603,082",18,"353,593",24,"249,489",54,"163,295",40,"103,443",13,x,33,"43,094",17,x,46,"60,544",26,"90,460",45,"214,798",59,2760671,12,12,7,10,4,9,3,0,2,47,1,2,2,4,0,0,4,1,19,1,7,6,5,2,4,4,4,0,9,1,11,7,31,"1,592",7,774,26,818
10,2,8,31,Subd. H,18,"1,520,733",18,"1,036,000",11,"694,000",11,"342,000",12,"78,933",18,"405,800",9,3,4,2,0,0,0,0,0,18,"236,088",9,"16,155",2,x,6,x,12,"29,039",1,x,7,"12,141",9,"1,337",1,x,7,"87,048",3,"33,425",5,"53,623",15,"27,528",10,"6,939",2,x,8,"5,459",3,403,15,x,8,"8,890",12,"13,880",18,306463,5,5,0,5,1,2,0,0,0,13,0,2,1,1,0,0,0,0,9,0,0,0,3,1,1,1,2,0,0,0,5,0,7,212,1,x,6,x
10,2,8,36,Subd. G,18,"4,238,143",18,"2,940,000",12,"2,353,000",11,"587,000",8,"137,942",18,"1,160,201",2,3,9,1,1,1,1,0,0,18,"1,131,862",13,"48,024",9,x,11,x,9,x,0,0,3,x,4,870,4,x,12,"302,494",8,"192,997",9,"109,497",17,"40,211",12,"45,789",3,x,9,"9,435",5,x,13,x,9,"52,082",14,"100,934",18,1325924,2,3,4,3,1,2,2,0,1,16,0,0,0,1,0,0,3,1,6,1,3,1,1,0,1,2,2,0,4,1,3,2,12,515,1,x,11,x
10,2,8,58,Subd. C,23,"3,767,119",23,"2,636,000",15,"1,887,000",18,"749,000",8,"229,669",23,"901,450",5,5,7,3,1,2,0,0,0,23,"1,110,702",20,"59,025",15,x,17,"14,388",6,x,1,x,4,x,5,x,4,"4,160",12,"213,540",7,"127,171",10,"86,369",22,"95,556",18,"50,715",8,x,16,"28,200",9,x,18,x,9,"29,488",19,"99,984",23,1128284,5,4,3,2,2,5,1,0,1,18,1,0,1,2,0,0,1,0,4,0,4,5,1,1,2,1,0,0,5,0,3,5,12,865,5,x,9,x
10,1,0,0,Agr. Reg. 1 - RÇg. Agr 1,327,"111,868,860",327,"84,841,344",271,"66,727,901",183,"18,113,443",174,"8,640,800",327,"18,386,716",49,48,79,69,25,38,8,5,6,327,"51,510,647",224,"607,304",114,"165,015",173,"911,172",165,"19,785,577",29,"193,310",96,"10,562,958",120,"340,505",80,"2,023,471",171,"7,003,370",101,"2,602,923",125,"4,400,447",298,"2,162,700",268,"1,167,546",58,"245,633",209,"811,614",117,"220,687",242,"1,058,066",116,"895,330",260,"3,549,699",327,58193292,67,36,49,54,27,20,37,16,21,260,33,25,5,17,0,0,26,9,74,7,39,25,66,6,17,15,19,0,43,9,48,37,171,"13,823",60,"8,293",141,"5,530"
10,2,0,0,Agr. Reg. 2 - RÇg. Agr 2,165,"38,634,971",165,"27,098,990",123,"20,809,020",109,"6,289,970",71,"2,659,663",165,"8,876,318",41,34,39,22,9,12,6,1,1,165,"11,446,394",127,"414,276",70,"105,292",103,"237,012",67,"2,749,252",14,"410,939",41,"985,975",48,"95,342",31,"184,731",88,"2,683,842",54,"1,282,342",63,"1,401,500",153,"656,349",121,"438,097",25,"88,305",101,"231,916",57,"58,265",127,"351,699",71,"688,911",141,"1,477,130",165,13913104,27,27,20,32,15,19,11,5,9,138,11,6,2,10,0,0,15,6,48,3,23,14,20,2,10,5,11,0,29,6,35,20,88,"5,815",24,"2,685",76,"3,130"
10,3,0,0,Agr. Reg. 3 - RÇg. Agr 3,151,"53,342,811",151,"33,929,664",125,"26,244,244",93,"7,685,420",85,"6,280,871",151,"13,132,276",17,36,34,32,7,12,7,3,3,151,"15,863,550",116,"489,339",64,"95,528",87,"231,718",77,"4,494,170",22,"338,527",38,"1,042,929",61,"237,076",39,"453,152",81,"3,540,287",47,"1,420,556",63,"2,119,731",140,"768,230",128,"640,816",26,"158,263",108,"268,518",72,"111,966",114,"438,636",62,"1,004,750",125,"1,888,172",151,18292426,30,13,18,30,19,14,11,6,10,121,15,15,1,6,0,0,14,8,33,2,14,13,33,1,6,7,8,0,18,8,19,21,81,"7,568",28,"4,401",69,"3,167"
11,0,0,0,P.E.I. - ?.-P.-ê.,"1,845","1,605,122,021","1,845","1,201,110,348","1,811","956,229,208",874,"244,881,140","1,319","100,955,871","1,845","303,055,802",29,97,255,355,251,385,189,93,191,"1,845","337,679,101","1,429","35,360,513","1,141","25,688,667","1,230","21,100,761","1,265","32,213,242",365,"4,718,609",904,"33,465,557","1,200","4,367,612","1,040","8,314,126","1,051","49,086,652",606,"17,391,083",824,"31,695,569","1,767","16,527,574","1,744","20,407,604",523,"6,927,043","1,455","5,821,353",738,"11,610,738","1,692","6,493,949","1,214","27,047,088","1,751","33,246,622","1,845",395660037,106,98,151,315,196,234,312,204,229,1739,309,455,94,22,14,43,461,91,114,35,42,59,734,95,22,9,124,57,398,91,33,176,"1,051","104,358",457,"51,828",850,"52,530"
11,1,1,0,Kings County,322,"250,135,721",322,"184,713,179",317,"146,247,563",137,"38,465,616",190,"13,697,141",322,"51,725,401",7,23,48,72,43,56,31,13,29,322,"53,427,210",235,"6,587,707",205,"4,376,503",194,"3,374,084",179,"4,509,117",34,"263,666",113,"2,339,831",167,"425,750",173,"1,455,669",171,"8,262,074",92,"3,149,201",131,"5,112,873",309,"2,609,459",303,"3,286,316",86,"1,056,740",243,"1,330,686",112,"1,573,895",279,"963,123",185,"3,958,630",304,"7,317,626",322,62372104,27,19,38,68,33,29,39,33,36,295,33,70,20,6,2,10,79,28,23,2,12,10,100,20,6,5,15,12,65,28,7,37,171,"17,771",65,"9,085",143,"8,686"
