AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,VALMCH,NTOTTRC,TOTTRC,NTTRC20,TTRC20,VTRC20,NTTRC50,TTRC50,VTRC50,NTTRC100,TTRC100,VTRC100,NTTRC150,TTRC150,VTRC150,NTOTTRK,TOTTRK,TVALTRK,NTOTCOMB,TOTCOMB,NSPCOMB,SPCOMB,VSPCOMB,NPTCOMB,PTCOMB,VPTCOMB,NSWTHER,SWTHER,NSPSWTH,SPSWTH,VSPSWTH,NPTSWTH,PTSWTH,VPTSWTH,NTOTBAL,TOTBAL,NBALSML,BALSML,VBALSML,NBALLRG,BALLRG,VBALLRG,NHARVST,HARVST,VHARVST,NAUTMBL,AUTMBL,VALATO,NVALOEQ,VALOEQ
100101357,10,1,1,357,1001357,"DIVISION NO.  1, SUBD. H",25,"283,965",8,10,5,5,"22,500",3,4,"52,000",0,0,0,1,1,x,13,19,"58,100",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,x,3,3,3,3,x,0,0,0,2,2,x,13,18,"79,100",8,"47,365"
100101405,10,1,1,405,1001405,"DIVISION NO.  1, SUBD. K",16,"286,300",11,16,10,15,"98,000",0,0,0,1,1,x,0,0,0,13,21,"77,400",0,0,0,0,0,0,0,0,3,3,3,3,x,0,0,0,4,4,4,4,"13,200",0,0,0,0,0,0,8,11,"39,300",10,"39,900"
100101421,10,1,1,421,1001421,"DIVISION NO.  1, SUBD. M",17,"219,850",8,14,7,11,"29,000",2,2,x,0,0,0,1,1,x,9,14,"61,500",0,0,0,0,0,0,0,0,2,3,0,0,0,2,3,x,2,3,2,3,x,0,0,0,0,0,0,11,13,"56,900",4,x
100101452,10,1,1,452,1001452,"DIVISION NO.  1, SUBD. O",26,"288,850",8,8,5,5,x,2,2,x,1,1,x,0,0,0,4,4,"23,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,24,31,"122,400",8,"115,150"
100101515,10,1,1,515,1001515,ST. JOHN'S METROPOLITAN AREA,130,"3,365,598",91,143,66,92,"501,050",33,46,"451,000",2,2,x,3,3,x,90,126,"622,000",0,0,0,0,0,0,0,0,5,5,2,2,x,3,3,x,34,34,34,34,"106,550",0,0,0,7,10,"39,500",66,111,"522,200",83,"1,075,298"
100200000,10,2,0,0,1000000,AGRICULTURAL REGION AGRICOLE 2,141,"2,500,200",89,136,72,96,"532,469",28,34,"331,200",4,4,x,2,2,x,79,112,"426,390",1,1,1,1,x,0,0,0,2,2,0,0,0,2,2,x,12,12,12,12,"29,800",0,0,0,1,1,x,70,96,"435,400",78,"677,791"
100202000,10,2,2,0,1002000,DIVISION NO.  2,30,"403,300",17,20,16,18,"91,400",2,2,x,0,0,0,0,0,0,14,18,"99,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,1,1,x,15,20,"135,200",15,"38,200"
100202023,10,2,2,23,1002023,WINTERLAND,20,"281,400",13,15,13,15,"81,400",0,0,0,0,0,0,0,0,0,10,14,"79,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,1,1,x,11,14,"82,200",12,x
100202024,10,2,2,24,1002024,MARYSTOWN,10,"121,900",4,5,3,3,"10,000",2,2,x,0,0,0,0,0,0,4,4,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,"53,000",3,x
100206000,10,2,6,0,1006000,DIVISION NO.  6,36,"828,522",24,39,17,24,"172,788",10,13,x,1,1,x,1,1,x,25,32,"110,323",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,x,2,2,2,2,x,0,0,0,0,0,0,16,21,"62,500",22,"302,911"
100206008,10,2,6,8,1006008,"DIVISION NO.  6, SUBD. E",10,x,6,9,4,5,"39,500",2,3,x,0,0,0,1,1,x,5,8,"17,023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,"20,000",7,"83,411"
100206014,10,2,6,14,1006014,"DIVISION NO.  6, SUBD. C",26,x,18,30,13,19,"133,288",8,10,"108,500",1,1,x,0,0,0,20,24,"93,300",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,x,2,2,2,2,x,0,0,0,0,0,0,12,13,"42,500",15,"219,500"
100207000,10,2,7,0,1007000,DIVISION NO.  7,75,"1,268,378",48,77,39,54,"268,281",16,19,"165,700",3,3,x,1,1,x,40,62,"217,067",1,1,1,1,x,0,0,0,1,1,0,0,0,1,1,x,9,9,9,9,"21,300",0,0,0,0,0,0,39,55,"237,700",41,"336,680"
100207014,10,2,7,14,1007014,"DIVISION NO.  7, SUBD. J",19,"200,600",7,9,6,8,"31,500",1,1,x,0,0,0,0,0,0,10,11,"60,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,7,7,x,7,"76,300"
100207031,10,2,7,31,1007031,"DIVISION NO.  7, SUBD. E",35,"763,148",26,48,19,29,"153,081",13,16,x,2,2,x,1,1,x,20,36,"101,467",1,1,1,1,x,0,0,0,1,1,0,0,0,1,1,x,8,8,8,8,x,0,0,0,0,0,0,21,35,"152,100",20,"179,650"
100207038,10,2,7,38,1007038,"DIVISION NO.  7, SUBD. D",21,"304,630",15,20,14,17,"83,700",2,2,x,1,1,x,0,0,0,10,15,"55,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,x,14,"80,730"
100300000,10,3,0,0,1000000,AGRICULTURAL REGION AGRICOLE 3,80,"1,033,093",51,73,40,57,"268,200",13,14,"163,500",2,2,x,0,0,0,39,51,"203,000",0,0,0,0,0,0,0,0,2,2,1,1,x,1,1,x,6,6,6,6,"12,500",0,0,0,0,0,0,32,42,"146,500",42,"228,243"
100308000,10,3,8,0,1008000,DIVISION NO.  8,67,"768,800",40,60,34,50,"232,700",8,9,"89,500",1,1,x,0,0,0,35,47,"180,000",0,0,0,0,0,0,0,0,2,2,1,1,x,1,1,x,5,5,5,5,x,0,0,0,0,0,0,27,32,x,35,"136,450"
100308036,10,3,8,36,1008036,"DIVISION NO.  8, SUBD. G",20,"149,050",9,10,9,10,"41,600",0,0,0,0,0,0,0,0,0,12,14,"44,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,5,5,x,9,"41,550"
100308042,10,3,8,42,1008042,"DIVISION NO.  8, SUBD. F",14,"109,400",8,9,5,6,"18,300",3,3,x,0,0,0,0,0,0,7,10,"39,000",0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,x,6,"13,300"
100308058,10,3,8,58,1008058,"DIVISION NO.  8, SUBD. C",18,"262,350",13,23,11,18,"90,000",4,5,"43,000",0,0,0,0,0,0,9,12,"43,500",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,x,3,3,3,3,x,0,0,0,0,0,0,12,14,"46,400",9,"35,800"
100308065,10,3,8,65,1008065,"DIVISION NO.  8, SUBD. P",15,"248,000",10,18,9,16,"82,800",1,1,x,1,1,x,0,0,0,7,11,"53,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,5,7,"36,400",11,"45,800"
100309000,10,3,9,0,1009000,DIVISION NO.  9,13,"264,293",11,13,6,7,"35,500",5,5,"74,000",1,1,x,0,0,0,4,4,"23,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,5,10,x,7,"91,793"
100309041,10,3,9,41,1009041,"DIVISION NO.  9, SUBD. H",13,"264,293",11,13,6,7,"35,500",5,5,"74,000",1,1,x,0,0,0,4,4,"23,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,0,0,0,5,10,x,7,"91,793"
100400000,10,4,0,0,1000000,AGRICULTURAL REGION AGRICOLE 4,124,"3,507,912",109,191,77,109,"619,230",54,73,"783,500",6,7,"82,500",2,2,x,93,124,"472,300",0,0,0,0,0,0,0,0,10,11,6,6,x,5,5,x,51,52,51,52,"174,600",0,0,0,9,9,x,82,112,"446,155",90,"856,327"
100404000,10,4,4,0,1004000,DIVISION NO.  4,66,"1,784,117",60,92,40,56,"336,930",28,34,"378,500",1,1,x,1,1,x,49,65,"271,200",0,0,0,0,0,0,0,0,7,7,4,4,x,3,3,x,32,32,32,32,"100,700",0,0,0,5,5,"28,000",44,57,"208,355",48,"434,532"
100404001,10,4,4,1,1004001,"DIVISION NO.  4, SUBD. A",16,"544,270",16,29,12,16,"66,130",7,13,"167,000",0,0,0,0,0,0,12,15,"47,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,x,0,0,0,2,2,x,11,13,"34,600",12,"170,040"
100404006,10,4,4,6,1004006,"DIVISION NO.  4, SUBD. B",40,"918,547",36,47,23,30,"237,300",15,15,"140,500",1,1,x,1,1,x,30,38,"181,700",0,0,0,0,0,0,0,0,5,5,3,3,x,2,2,x,17,17,17,17,"44,600",0,0,0,2,2,x,25,30,"122,755",30,"160,492"
100404022,10,4,4,22,1004022,"DIVISION NO.  4, SUBD. E",10,"321,300",8,16,5,10,"33,500",6,6,"71,000",0,0,0,0,0,0,7,12,"42,500",0,0,0,0,0,0,0,0,2,2,1,1,x,1,1,x,6,6,6,6,x,0,0,0,1,1,x,8,14,"51,000",6,"104,000"
100405000,10,4,5,0,1005000,DIVISION NO.  5,58,"1,723,795",49,99,37,53,"282,300",26,39,"405,000",5,6,x,1,1,x,44,59,"201,100",0,0,0,0,0,0,0,0,3,4,2,2,x,2,2,x,19,20,19,20,"73,900",0,0,0,4,4,x,38,55,"237,800",42,"421,795"
100405007,10,4,5,7,1005007,"DIVISION NO.  5, SUBD. E",39,"1,147,600",34,66,26,35,"173,100",19,28,"283,500",2,2,x,1,1,x,32,43,"139,600",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,x,14,15,14,15,"52,500",0,0,0,3,3,"10,500",26,39,"153,300",29,"303,600"
100405010,10,4,5,10,1005010,"DIVISION NO.  5, SUBD. F",19,"576,195",15,33,11,18,"109,200",7,11,"121,500",3,4,x,0,0,0,12,16,"61,500",0,0,0,0,0,0,0,0,2,3,2,2,x,1,1,x,5,5,5,5,"21,400",0,0,0,1,1,x,12,16,"84,500",13,"118,195"
110000000,11,0,0,0,1100000,P.E.I. - I.-P.-E.,"3,154","148,971,254","2,864","5,804","1,960","2,664","9,765,665","1,638","2,605","27,024,449",284,483,"12,030,050",37,52,"1,352,600","2,320","4,099","16,016,115","1,121","1,161",656,678,x,474,483,"1,364,600",201,220,68,76,x,139,144,"377,030","1,815","1,896","1,778","1,809","4,332,460",85,87,"550,450",384,407,"1,564,245","2,543","3,670","14,019,220","2,561","48,816,770"
110100000,11,1,0,0,1100000,KINGS COUNTY,586,"24,931,486",537,"1,029",384,513,"1,948,900",283,443,"4,490,050",41,68,"1,775,500",5,5,"115,000",445,733,"2,828,099",200,203,118,119,x,83,84,"172,475",36,40,9,9,x,30,31,"64,850",318,330,314,320,"719,625",9,10,"76,100",46,51,"265,745",445,625,"2,257,050",471,"8,103,592"
110101000,11,1,1,0,1101000,KINGS COUNTY,586,"24,931,486",537,"1,029",384,513,"1,948,900",283,443,"4,490,050",41,68,"1,775,500",5,5,"115,000",445,733,"2,828,099",200,203,118,119,x,83,84,"172,475",36,40,9,9,x,30,31,"64,850",318,330,314,320,"719,625",9,10,"76,100",46,51,"265,745",445,625,"2,257,050",471,"8,103,592"
110101001,11,1,1,1,1101001,TOWNSHIP 64,57,"1,737,400",52,91,41,54,"207,700",21,30,"280,200",4,7,"123,000",0,0,0,37,51,"176,400",15,15,12,12,"229,000",3,3,"4,000",2,2,0,0,0,2,2,x,32,32,32,32,"55,600",0,0,0,2,2,x,40,52,"175,800",44,"471,400"
110101006,11,1,1,6,1101006,TOWNSHIP 63,32,"1,060,135",30,57,22,27,"94,700",19,29,"234,500",0,0,0,1,1,x,23,32,"112,400",9,9,5,5,"90,000",4,4,x,2,2,1,1,x,1,1,x,12,12,12,12,"24,700",0,0,0,4,4,"13,000",25,36,"143,000",21,"319,535"
110101008,11,1,1,8,1101008,TOWNSHIP 61,31,"929,995",29,50,22,30,"99,600",14,19,"203,000",1,1,x,0,0,0,23,28,"86,750",5,5,4,4,"43,000",1,1,x,2,2,0,0,0,2,2,x,15,15,15,15,"20,650",0,0,0,2,3,x,27,35,"127,895",24,"322,800"
110101009,11,1,1,9,1101009,TOWNSHIP 59,39,"2,190,445",36,80,24,36,"159,100",21,40,"343,600",1,4,x,0,0,0,32,56,"206,200",15,16,10,11,"206,000",5,5,x,3,3,0,0,0,3,3,x,20,23,20,23,"54,100",0,0,0,8,8,x,28,41,"165,400",34,"818,200"
110101014,11,1,1,14,1101014,TOWNSHIP 51,52,"2,173,394",50,101,41,53,"236,000",23,43,"471,500",3,5,"103,000",0,0,0,43,64,"202,000",19,19,8,8,"180,000",11,11,"24,500",4,4,3,3,x,1,1,x,25,27,25,25,"48,550",2,2,x,5,7,"31,500",39,53,"177,300",48,"676,444"
110101016,11,1,1,16,1101016,TOWNSHIP 52,32,"1,741,900",26,49,12,14,"40,700",17,30,"409,900",3,5,"138,500",0,0,0,27,48,"187,300",15,15,11,11,"275,000",4,4,"9,400",1,1,0,0,0,1,1,x,16,16,15,15,"33,600",1,1,x,1,1,x,24,36,"146,200",21,"478,800"
110101019,11,1,1,19,1101019,TOWNSHIP 53,25,"1,073,408",25,49,19,26,"73,100",13,20,"195,300",3,3,"87,000",0,0,0,18,37,"165,900",13,13,4,4,"95,000",9,9,x,2,3,1,1,x,2,2,x,14,14,14,14,"30,000",0,0,0,3,3,"23,000",22,33,"103,900",16,"277,908"
110101026,11,1,1,26,1101026,TOWNSHIP 54,21,"777,444",20,33,15,18,"72,500",10,14,"168,300",1,1,x,0,0,0,18,27,"86,649",12,14,8,8,"90,000",5,6,"14,500",1,1,0,0,0,1,1,x,15,15,14,14,"28,200",1,1,x,2,2,x,14,23,"81,395",20,"214,300"
110101028,11,1,1,28,1101028,TOWNSHIP 55,21,"1,014,185",19,36,12,18,"71,500",9,14,"126,000",1,2,x,2,2,x,15,25,"78,300",9,9,5,5,"77,000",4,4,x,2,4,2,2,x,1,2,x,12,14,12,12,x,1,2,x,3,5,x,18,27,"73,400",17,"302,635"
110101029,11,1,1,29,1101029,TOWNSHIP 56,21,"758,850",20,47,17,29,"85,500",10,17,"142,600",1,1,x,0,0,0,16,27,"92,500",9,9,3,3,x,6,6,"10,800",1,1,0,0,0,1,1,x,16,18,15,15,"29,100",3,3,x,2,2,x,14,21,"71,400",19,"248,150"
110101031,11,1,1,31,1101031,TOWNSHIP 43,26,"1,159,480",23,48,19,29,"99,500",11,17,"181,250",2,2,x,0,0,0,22,46,"178,100",8,8,7,7,"56,500",1,1,x,3,3,0,0,0,3,3,x,17,17,17,17,"32,350",0,0,0,2,2,x,21,29,"101,200",17,"436,530"
110101032,11,1,1,32,1101032,TOWNSHIP 44,26,"482,540",21,29,12,14,"54,500",12,14,"96,300",1,1,x,0,0,0,12,15,"46,400",4,4,2,2,x,2,2,x,0,0,0,0,0,0,0,0,12,12,12,12,"25,000",0,0,0,0,0,0,18,20,"96,900",19,"100,440"
110101034,11,1,1,34,1101034,TOWNSHIP 45,14,"1,599,200",14,36,7,10,"63,000",7,17,"186,000",4,8,"203,000",1,1,x,12,36,"147,000",6,6,5,5,"153,000",1,1,x,1,1,0,0,0,1,1,x,7,7,7,7,"32,850",0,0,0,2,2,x,12,16,"68,700",12,"678,850"
110101038,11,1,1,38,1101038,TOWNSHIP 46,20,"1,228,500",17,38,12,16,"76,500",9,14,"218,000",4,8,"147,000",0,0,0,18,39,"179,500",7,7,3,3,x,4,4,"14,500",1,1,0,0,0,1,1,x,6,6,6,6,x,0,0,0,0,0,0,13,17,"94,300",14,"442,800"
110101039,11,1,1,39,1101039,TOWNSHIP 47,34,"1,846,455",33,55,19,23,"111,700",21,25,"287,400",5,7,"188,500",0,0,0,26,54,"230,800",16,16,10,10,"129,500",6,6,x,2,2,1,1,x,1,1,x,22,23,22,23,"49,325",0,0,0,0,0,0,27,43,"168,400",28,"657,630"
110101041,11,1,1,41,1101041,TOWNSHIP 42,19,"181,250",18,23,16,19,"39,700",4,4,"9,500",0,0,0,0,0,0,14,14,"35,700",1,1,0,0,0,1,1,x,1,1,0,0,0,1,1,x,10,10,10,10,x,0,0,0,0,0,0,13,17,"37,600",15,"39,800"
110101042,11,1,1,42,1101042,TOWNSHIP 41,34,"1,214,745",30,49,18,23,"81,200",18,24,"248,000",1,2,x,0,0,0,25,33,"182,500",7,7,6,6,"95,500",1,1,x,1,1,0,0,0,1,1,x,21,23,20,22,"53,700",1,1,x,1,1,x,26,42,"151,200",31,"344,645"
110101046,11,1,1,46,1101046,TOWNSHIP 40,28,"2,080,630",27,64,19,26,"114,500",17,31,"336,900",3,7,x,0,0,0,23,42,"217,200",13,13,8,8,"221,000",5,5,x,3,3,0,0,0,3,3,x,20,20,20,20,"79,400",0,0,0,6,6,"16,100",22,32,"120,610",26,"731,120"
110101049,11,1,1,49,1101049,TOWNSHIP 39,18,"655,775",16,33,12,14,"36,500",8,15,"120,000",2,3,x,1,1,x,14,23,"120,000",6,6,2,2,x,4,4,"3,675",1,2,1,1,x,1,1,x,9,9,9,9,x,0,0,0,3,3,"3,600",11,14,"43,650",11,"172,800"
110101051,11,1,1,51,1101051,TOWNSHIP 38,36,"1,025,755",31,61,25,34,"131,400",19,26,"231,800",1,1,x,0,0,0,27,36,"96,500",11,11,5,5,"16,300",6,6,x,3,3,0,0,0,3,3,x,17,17,17,17,"44,000",0,0,0,0,0,0,31,38,"108,800",34,"368,805"
110200000,11,2,0,0,1100000,PRINCE COUNTY,"1,084","64,436,958",984,"2,250",657,894,"3,103,855",618,"1,043","10,871,187",154,281,"7,237,500",21,32,"844,600",787,"1,742","6,947,548",421,442,221,232,"3,731,400",205,210,"746,600",66,76,30,37,"194,500",37,39,"114,770",628,657,616,633,"1,397,810",24,24,"134,950",173,179,"586,200",903,"1,338","5,387,655",877,"23,138,383"
110203000,11,2,3,0,1103000,PRINCE COUNTY,"1,084","64,436,958",984,"2,250",657,894,"3,103,855",618,"1,043","10,871,187",154,281,"7,237,500",21,32,"844,600",787,"1,742","6,947,548",421,442,221,232,"3,731,400",205,210,"746,600",66,76,30,37,"194,500",37,39,"114,770",628,657,616,633,"1,397,810",24,24,"134,950",173,179,"586,200",903,"1,338","5,387,655",877,"23,138,383"
110203001,11,2,3,1,1103001,TOWNSHIP 28,68,"6,461,800",63,200,36,59,"228,000",50,105,"1,089,300",17,35,"932,000",1,1,x,55,156,"819,700",22,23,10,10,"135,600",12,13,"147,000",5,5,3,3,x,2,2,x,35,37,34,34,"60,700",3,3,"23,700",6,6,"40,000",60,94,"491,900",56,"2,401,300"
110203006,11,2,3,6,1103006,TOWNSHIP 27,77,"5,670,882",70,175,41,58,"223,750",48,88,"862,300",17,28,"878,500",1,1,x,57,140,"600,717",31,32,14,14,"275,500",17,18,"40,800",7,7,0,0,0,7,7,x,40,41,38,39,"85,000",2,2,x,9,10,"25,500",68,112,"501,995",63,"2,141,120"
110203009,11,2,3,9,1103009,TOWNSHIP 26,73,"6,924,561",65,186,34,52,"154,200",46,88,"917,700",17,41,"1,192,000",4,5,"146,000",55,165,"873,850",33,35,17,19,"445,500",16,16,"83,700",8,13,4,8,"67,200",4,5,"9,300",39,39,39,39,"72,700",0,0,0,12,13,"56,100",65,105,"432,100",63,"2,474,211"
110203011,11,2,3,11,1103011,TOWNSHIP 25,54,"4,284,100",51,134,32,45,"147,400",36,67,"740,000",12,19,"492,000",1,3,x,49,121,"473,450",24,27,16,19,"347,000",8,8,"80,000",2,3,1,1,x,1,2,x,28,29,27,27,"64,100",2,2,x,9,9,"20,000",51,74,"327,000",48,"1,490,650"
110203012,11,2,3,12,1103012,TOWNSHIP 19,77,"6,845,555",71,170,49,63,"188,600",47,76,"831,000",13,29,"717,200",1,2,x,62,150,"590,400",22,23,14,14,"240,000",8,9,x,2,4,1,3,x,1,1,x,45,51,44,47,"122,400",4,4,"32,500",7,8,"38,500",70,114,"547,700",65,"3,503,355"
110203016,11,2,3,16,1103016,TOWNSHIP 18,72,"4,191,920",70,149,49,59,"162,700",46,73,"772,000",10,17,"452,500",0,0,0,56,131,"467,700",32,36,14,16,"371,500",19,20,"49,800",4,4,2,2,x,2,2,x,46,50,43,46,"96,500",4,4,"21,000",18,18,"55,500",60,94,"375,400",56,"1,355,520"
110203019,11,2,3,19,1103019,TOWNSHIP 17,40,"3,165,975",35,99,23,32,"160,600",23,39,"370,800",7,18,"385,000",5,10,"205,100",32,98,"477,050",10,12,9,11,"269,500",1,1,x,1,1,0,0,0,1,1,x,17,17,16,16,"45,600",1,1,x,5,6,x,29,46,"207,450",34,"1,020,925"
110203026,11,2,3,26,1103026,TOWNSHIP 15,12,"741,450",11,23,10,11,"33,200",7,9,"130,000",3,3,"122,000",0,0,0,8,13,"44,300",6,6,3,3,"90,000",3,3,x,4,4,4,4,"9,500",0,0,0,8,10,8,9,"37,950",1,1,x,5,6,"20,500",11,14,"37,400",11,"209,000"
110203028,11,2,3,28,1103028,TOWNSHIP 16,47,"1,990,400",39,82,27,37,"122,300",24,41,"398,200",2,4,x,0,0,0,31,44,"115,900",17,17,9,9,"122,500",8,8,x,2,3,2,2,x,1,1,x,29,29,29,29,"68,750",0,0,0,8,8,"32,100",42,52,"181,500",38,"822,050"
