AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTOTFCAP,TOTFCAP,VALULB,VALMCH,VALULVSK,FCAPDIST_1,FCAPDIST_2,FCAPDIST_3,FCAPDIST_4,FCAPDIST_5,FCAPDIST_6,FCAPDIST_7,FRMTYP,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_9,FRMTYP1_10,FRMTYP1_11,FRMTYP1_12,FRMTYP1_13,FRMTYP1_14,FRMTYP1_15,NTOTWRK,TOTWRK,NWRKAGR,WRKAGR,NWRKNAG,WRKNAG,TOTWRK_1,TOTWRK_2,TOTWRK_3,TOTWRK_4,TOTWRK_5,TOTWRK_6,TOTWRK_7,TOTWRK_8,TOTWRK_9,TOTWRK_10
100405007,10,4,5,7,1005007,"DIVISION NO.  5, SUBD. E",39,"7,386,284","5,597,400","1,147,600","641,284",1,2,4,8,11,11,2,30,2,2,2,6,0,0,7,6,1,4,0,0,4,0,0,16,"1,777",1,120,15,"1,657",0,0,2,1,4,1,3,2,0,3
100405010,10,4,5,10,1005010,"DIVISION NO.  5, SUBD. F",19,"4,329,725","3,137,827","576,195","615,703",1,0,3,4,3,6,2,16,1,0,2,5,0,0,0,2,3,3,1,1,1,0,0,9,"1,918",2,308,8,"1,610",0,0,0,0,0,0,0,1,5,3
110000000,11,0,0,0,1100000,P.E.I. - I.-P.-E.,"3,154","699,470,045","478,844,864","148,971,254","71,653,927",15,81,280,797,899,799,283,"2,585",768,547,255,26,5,85,462,53,88,296,204,48,44,9,115,"1,141","185,000",280,"33,419",916,"151,581",17,27,44,75,82,88,151,83,236,338
110100000,11,1,0,0,1100000,KINGS COUNTY,586,"110,489,573","74,144,485","24,931,486","11,413,602",0,15,72,158,159,148,34,438,121,93,41,4,1,18,85,14,23,38,27,5,6,3,14,217,"32,086",50,"5,572",183,"26,514",3,1,9,19,23,20,38,16,36,52
110101000,11,1,1,0,1101000,KINGS COUNTY,586,"110,489,573","74,144,485","24,931,486","11,413,602",0,15,72,158,159,148,34,438,121,93,41,4,1,18,85,14,23,38,27,5,6,3,14,217,"32,086",50,"5,572",183,"26,514",3,1,9,19,23,20,38,16,36,52
110101001,11,1,1,1,1101001,TOWNSHIP 64,57,"5,917,754","3,531,600","1,737,400","648,754",0,3,11,24,12,7,0,36,4,10,6,0,1,4,2,3,1,5,5,0,0,0,4,21,"3,698",2,440,20,"3,258",0,0,0,3,0,2,2,3,3,8
110101006,11,1,1,6,1101006,TOWNSHIP 63,32,"6,034,179","4,546,200","1,060,135","427,844",0,0,6,7,6,12,1,24,8,1,4,0,0,2,8,0,1,0,0,0,0,0,0,10,"1,717",2,665,8,"1,052",0,0,0,0,2,2,2,0,1,3
110101008,11,1,1,8,1101008,TOWNSHIP 61,31,"5,479,128","4,042,300","929,995","506,833",0,0,4,9,6,11,1,20,9,4,2,0,0,0,5,0,0,0,0,0,0,0,0,11,"1,966",2,455,10,"1,511",0,0,1,0,2,1,1,0,2,4
110101009,11,1,1,9,1101009,TOWNSHIP 59,39,"9,231,231","6,015,400","2,190,445","1,025,386",0,1,4,7,12,11,4,30,5,9,2,1,0,2,3,0,5,3,3,0,0,0,3,18,"3,356",4,359,15,"2,997",0,0,1,0,1,3,2,0,2,9
110101014,11,1,1,14,1101014,TOWNSHIP 51,52,"9,839,725","6,724,500","2,173,394","941,831",0,0,5,8,18,18,3,41,14,7,1,0,0,0,11,2,2,4,3,1,0,1,1,16,"2,345",5,700,12,"1,645",0,0,0,0,2,1,5,3,3,2
110101016,11,1,1,16,1101016,TOWNSHIP 52,32,"6,758,488","4,240,900","1,741,900","775,688",0,0,4,6,11,9,2,25,6,3,8,0,0,0,3,1,3,1,1,0,0,0,0,9,805,4,299,6,506,0,0,1,2,3,1,0,0,1,1
110101019,11,1,1,19,1101019,TOWNSHIP 53,25,"5,181,483","3,588,398","1,073,408","519,677",0,0,2,8,8,5,2,22,4,6,4,0,0,1,5,0,0,2,2,0,0,0,1,5,757,0,0,5,757,0,0,1,1,0,0,0,1,1,1
110101026,11,1,1,26,1101026,TOWNSHIP 54,21,"3,289,048","1,988,900","777,444","522,704",0,0,3,5,6,7,0,15,6,4,2,0,0,0,1,1,1,0,0,0,0,0,0,10,"1,026",3,123,9,903,1,0,2,0,2,1,1,0,2,1
110101028,11,1,1,28,1101028,TOWNSHIP 55,21,"5,413,060","3,306,900","1,014,185","1,091,975",0,0,2,6,9,2,2,15,6,3,1,1,0,0,3,0,0,1,1,0,0,0,1,10,"1,118",3,92,7,"1,026",0,0,0,3,1,1,2,0,2,1
110101029,11,1,1,29,1101029,TOWNSHIP 56,21,"3,954,032","2,649,500","758,850","545,682",0,1,1,7,5,5,2,16,11,1,0,0,0,0,2,0,2,0,0,0,0,0,0,11,"1,110",1,25,10,"1,085",0,0,0,2,1,0,6,1,1,0
110101031,11,1,1,31,1101031,TOWNSHIP 43,26,"4,212,601","2,670,900","1,159,480","382,221",0,1,2,9,5,9,0,22,4,3,0,0,0,0,8,1,4,2,1,1,0,0,0,8,804,2,69,7,735,0,0,2,1,1,0,1,0,3,0
110101032,11,1,1,32,1101032,TOWNSHIP 44,26,"2,518,224","1,638,400","482,540","397,284",0,3,3,8,10,2,0,17,3,6,3,0,0,0,2,1,2,0,0,0,0,0,0,11,"1,424",1,120,10,"1,304",1,0,0,0,1,1,3,1,4,0
110101034,11,1,1,34,1101034,TOWNSHIP 45,14,"6,398,720","4,401,800","1,599,200","397,720",0,0,1,0,2,8,3,14,3,1,1,0,0,1,6,0,0,2,2,0,0,1,0,2,340,1,270,1,70,0,0,0,0,1,0,0,0,0,1
110101038,11,1,1,38,1101038,TOWNSHIP 46,20,"4,847,133","3,429,400","1,228,500","189,233",0,2,2,3,6,6,1,18,3,3,0,1,0,2,8,0,0,1,0,1,0,0,0,6,"1,242",5,674,3,568,0,0,0,1,0,0,0,0,2,3
110101039,11,1,1,39,1101039,TOWNSHIP 47,34,"7,154,976","4,814,700","1,846,455","493,821",0,0,4,4,16,7,3,29,9,7,1,0,0,2,7,0,0,3,1,2,0,1,0,10,"1,467",0,0,10,"1,467",0,0,0,1,1,1,2,1,1,3
110101041,11,1,1,41,1101041,TOWNSHIP 42,19,"1,534,996","1,156,800","181,250","196,946",0,0,8,5,6,0,0,6,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,11,"1,350",2,150,9,"1,200",1,0,1,0,1,1,3,1,1,2
110101042,11,1,1,42,1101042,TOWNSHIP 41,34,"6,220,753","4,395,000","1,214,745","611,008",0,1,3,15,6,6,3,21,2,12,0,1,0,1,1,0,1,3,2,0,1,0,0,19,"2,809",4,335,17,"2,474",0,0,0,1,2,3,4,4,1,4
110101046,11,1,1,46,1101046,TOWNSHIP 40,28,"7,415,387","4,461,837","2,080,630","872,920",0,0,2,7,6,9,4,24,11,2,3,0,0,1,3,1,1,2,2,0,0,0,1,7,"1,010",2,70,6,940,0,1,0,1,0,0,1,0,2,2
110101049,11,1,1,49,1101049,TOWNSHIP 39,18,"3,200,223","2,241,100","655,775","303,348",0,2,3,6,1,4,2,15,5,3,0,0,0,0,3,2,0,2,2,0,0,0,1,8,"1,415",2,180,6,"1,235",0,0,0,0,1,1,2,0,1,3
110101051,11,1,1,51,1101051,TOWNSHIP 38,36,"5,888,432","4,299,950","1,025,755","562,727",0,1,2,14,8,10,1,28,8,3,3,0,0,2,4,2,0,6,2,0,4,0,2,14,"2,327",5,546,12,"1,781",0,0,0,3,1,1,1,1,3,4
110200000,11,2,0,0,1100000,PRINCE COUNTY,"1,084","274,973,116","187,906,368","64,436,958","22,629,790",7,38,99,252,283,278,127,919,251,145,80,12,1,28,255,10,31,106,66,26,14,2,26,367,"58,430",100,"11,660",287,"46,770",7,8,13,27,32,27,47,18,84,104
110203000,11,2,3,0,1103000,PRINCE COUNTY,"1,084","274,973,116","187,906,368","64,436,958","22,629,790",7,38,99,252,283,278,127,919,251,145,80,12,1,28,255,10,31,106,66,26,14,2,26,367,"58,430",100,"11,660",287,"46,770",7,8,13,27,32,27,47,18,84,104
110203001,11,2,3,1,1103001,TOWNSHIP 28,68,"26,860,124","19,639,990","6,461,800","758,334",0,1,2,6,24,20,15,63,4,6,1,1,0,1,45,2,0,3,1,1,1,0,0,11,"2,233",7,"1,119",4,"1,114",0,1,1,0,0,1,0,0,2,6
110203006,11,2,3,6,1103006,TOWNSHIP 27,77,"22,578,514","15,884,637","5,670,882","1,022,995",0,3,4,14,18,27,11,72,14,8,4,0,0,1,38,0,1,6,4,2,0,0,1,26,"4,415",6,938,22,"3,477",1,0,1,2,1,2,4,0,5,10
110203009,11,2,3,9,1103009,TOWNSHIP 26,73,"29,043,314","20,626,950","6,924,561","1,491,803",0,2,3,15,17,18,18,65,14,9,4,1,0,1,23,1,1,11,5,3,3,0,2,15,"2,778",7,"1,028",11,"1,750",0,0,0,1,3,0,1,1,2,7
110203011,11,2,3,11,1103011,TOWNSHIP 25,54,"17,485,356","11,815,925","4,284,100","1,385,331",0,0,4,7,17,16,10,51,10,9,6,2,0,0,16,0,2,6,5,1,0,0,2,14,"2,546",5,840,9,"1,706",0,1,3,0,0,1,0,0,3,6
110203012,11,2,3,12,1103012,TOWNSHIP 19,77,"24,493,329","15,516,750","6,845,555","2,131,024",0,1,4,17,23,20,12,72,20,14,12,0,0,1,18,0,3,4,3,0,1,0,2,23,"3,619",7,541,18,"3,078",0,0,0,2,3,0,4,3,5,6
110203016,11,2,3,16,1103016,TOWNSHIP 18,72,"19,738,534","13,806,800","4,191,920","1,739,814",0,1,11,17,16,16,11,63,13,11,8,2,0,6,11,0,3,9,8,1,0,0,3,26,"3,922",10,673,19,"3,249",1,0,2,1,4,1,3,0,7,7
110203019,11,2,3,19,1103019,TOWNSHIP 17,40,"14,837,637","10,945,800","3,165,975","725,862",0,2,6,7,6,10,9,33,5,7,2,0,0,1,7,4,4,3,2,1,0,0,0,11,"1,470",0,0,11,"1,470",0,0,0,1,3,2,1,0,0,4
110203026,11,2,3,26,1103026,TOWNSHIP 15,12,"2,843,185","1,625,900","741,450","475,835",0,0,3,1,3,3,2,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,270,0,0,2,270,0,0,0,0,0,0,1,1,0,0
110203028,11,2,3,28,1103028,TOWNSHIP 16,47,"8,692,747","5,316,000","1,990,400","1,386,347",0,2,4,11,14,15,1,40,20,8,3,1,0,3,1,0,2,2,1,0,1,0,1,17,"2,312",3,351,15,"1,961",0,3,0,1,0,3,3,0,2,5
110203031,11,2,3,31,1103031,TOWNSHIP 14,39,"7,946,449","5,135,900","1,789,470","1,021,079",2,0,3,9,13,9,3,30,12,6,3,0,0,0,6,0,0,3,1,1,1,0,1,13,"1,679",1,135,12,"1,544",0,0,1,0,4,1,1,1,4,1
110203032,11,2,3,32,1103032,TOWNSHIP 13,66,"9,575,671","6,287,900","1,911,600","1,376,171",1,5,7,20,16,16,1,46,17,12,1,2,0,0,3,0,4,7,5,1,1,0,2,32,"5,986",4,579,29,"5,407",0,0,0,1,0,3,6,3,7,12
110203034,11,2,3,34,1103034,TOWNSHIP 12,15,"1,555,947","861,400","408,275","286,272",0,1,2,6,5,1,0,10,3,4,1,0,0,0,0,0,1,1,1,0,0,0,1,8,"1,348",0,0,8,"1,348",0,0,1,0,0,1,1,0,2,3
110203036,11,2,3,36,1103036,TOWNSHIP 11,10,"793,568","548,100","165,000","80,468",1,0,3,2,4,0,0,8,2,2,0,0,0,0,0,0,3,1,1,0,0,0,0,6,"1,130",1,250,5,880,0,1,0,0,0,1,0,0,1,3
110203038,11,2,3,38,1103038,TOWNSHIP 10,14,"1,960,328","1,345,370","376,000","238,958",0,2,2,3,3,4,0,10,7,1,0,0,0,0,1,0,0,1,0,1,0,0,0,6,664,2,183,4,481,1,0,0,0,2,0,0,0,3,0
110203041,11,2,3,41,1103041,TOWNSHIP  6,60,"13,086,326","8,667,800","3,163,527","1,254,999",1,4,3,16,16,15,5,54,16,5,7,0,0,4,12,1,0,9,6,2,1,0,2,20,"3,267",5,259,16,"3,008",1,0,0,2,2,1,2,2,3,7
110203044,11,2,3,44,1103044,TOWNSHIP  9,38,"4,997,842","3,218,030","1,091,976","687,836",1,3,5,11,9,8,1,33,9,4,4,0,0,2,5,0,1,8,6,2,0,0,5,11,"1,442",5,558,7,884,0,1,0,3,0,0,1,1,3,2
110203046,11,2,3,46,1103046,TOWNSHIP  8,42,"15,812,903","11,042,000","3,393,295","1,377,608",0,1,2,4,11,17,7,39,14,5,3,1,0,0,14,0,0,2,1,0,1,0,0,11,"1,299",4,444,7,855,2,0,0,2,1,1,1,1,1,2
110203048,11,2,3,48,1103048,TOWNSHIP  7,43,"9,350,381","6,607,804","1,871,885","870,692",0,2,3,13,6,14,5,37,7,6,6,1,0,1,12,1,0,3,0,1,2,0,0,12,"2,488",6,858,9,"1,630",0,0,0,0,1,0,2,0,4,5
110203049,11,2,3,49,1103049,TOWNSHIP  5,37,"10,127,269","7,259,512","2,115,250","752,507",0,1,4,8,12,7,5,29,15,1,1,0,0,1,7,0,1,3,2,1,0,0,0,21,"2,893",5,273,16,"2,620",1,0,1,3,0,2,4,1,6,3
110203051,11,2,3,51,1103051,TOWNSHIP  4,63,"15,883,229","10,564,200","3,724,638","1,594,391",0,1,7,15,13,18,9,50,16,8,1,0,0,2,15,0,0,8,4,4,0,2,0,18,"2,547",4,356,14,"2,191",0,1,2,1,1,1,4,1,4,3
110203054,11,2,3,54,1103054,TOWNSHIP  3,46,"7,022,888","4,294,050","1,858,115","870,723",0,2,3,12,14,15,0,40,14,5,3,0,1,1,7,0,1,8,5,1,2,0,0,16,"2,465",5,570,12,"1,895",0,0,0,3,0,2,1,1,7,2
110203056,11,2,3,56,1103056,TOWNSHIP  2,31,"4,227,014","2,536,500","1,279,130","411,384",0,1,2,14,9,4,1,26,8,1,0,1,0,2,10,0,1,3,1,2,0,0,1,16,"3,084",7,"1,036",10,"2,048",0,0,0,1,1,2,2,0,5,5
