AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,TFAREA,AGEDST_1,AGEDST_2,AGEDST_3,AGEDST_4,AGEDST_5,AGEDST_6,AGEDST_7,AGEDST_8,AGEDST_9,AGEDST_10,AGEDST_11,AGEDST_12,LRESID,LRESID_1,LRESID_2,LRESID_3,LRESID_4,TYPORG_1,TYPORG_2,TYPORG_3,TYPORG_4,TYPORG_5,TYPORG_6
100207000,10,2,7,0,1007000,DIVISION NO.  7,75,1,2,5,12,9,7,6,13,8,6,3,3,66,62,2,2,9,63,0,9,2,0,1
100207014,10,2,7,14,1007014,"DIVISION NO.  7, SUBD. J",19,0,2,2,3,2,1,0,4,1,2,2,0,17,16,1,0,2,17,0,2,0,0,0
100207031,10,2,7,31,1007031,"DIVISION NO.  7, SUBD. E",35,1,0,2,8,4,1,4,4,6,2,1,2,32,31,1,0,3,27,0,6,1,0,1
100207038,10,2,7,38,1007038,"DIVISION NO.  7, SUBD. D",21,0,0,1,1,3,5,2,5,1,2,0,1,17,15,0,2,4,19,0,1,1,0,0
100300000,10,3,0,0,1000000,AGRICULTURAL REGION AGRICOLE 3,80,0,1,2,5,8,9,14,13,9,13,4,2,50,48,2,0,30,67,2,2,3,2,4
100308000,10,3,8,0,1008000,DIVISION NO.  8,67,0,1,1,4,8,4,12,10,9,12,4,2,43,41,2,0,24,56,2,2,2,2,3
100308036,10,3,8,36,1008036,"DIVISION NO.  8, SUBD. G",20,0,0,0,2,3,2,5,1,5,1,0,1,12,11,1,0,8,16,0,2,0,1,1
100308042,10,3,8,42,1008042,"DIVISION NO.  8, SUBD. F",14,0,0,0,1,2,0,2,3,1,4,1,0,12,12,0,0,2,12,1,0,1,0,0
100308058,10,3,8,58,1008058,"DIVISION NO.  8, SUBD. C",18,0,1,1,1,2,1,4,3,0,3,1,1,10,10,0,0,8,15,1,0,1,1,0
100308065,10,3,8,65,1008065,"DIVISION NO.  8, SUBD. P",15,0,0,0,0,1,1,1,3,3,4,2,0,9,8,1,0,6,13,0,0,0,0,2
100309000,10,3,9,0,1009000,DIVISION NO.  9,13,0,0,1,1,0,5,2,3,0,1,0,0,7,7,0,0,6,11,0,0,1,0,1
100309041,10,3,9,41,1009041,"DIVISION NO.  9, SUBD. H",13,0,0,1,1,0,5,2,3,0,1,0,0,7,7,0,0,6,11,0,0,1,0,1
100400000,10,4,0,0,1000000,AGRICULTURAL REGION AGRICOLE 4,124,0,6,10,15,14,14,23,12,11,13,5,1,115,114,1,0,9,102,2,9,9,0,2
100404000,10,4,4,0,1004000,DIVISION NO.  4,66,0,4,7,7,3,11,13,7,6,5,3,0,65,65,0,0,1,59,1,5,1,0,0
100404001,10,4,4,1,1004001,"DIVISION NO.  4, SUBD. A",16,0,0,2,1,1,3,4,2,2,1,0,0,16,16,0,0,0,14,1,0,1,0,0
100404006,10,4,4,6,1004006,"DIVISION NO.  4, SUBD. B",40,0,3,3,4,0,8,8,4,4,3,3,0,39,39,0,0,1,37,0,3,0,0,0
100404022,10,4,4,22,1004022,"DIVISION NO.  4, SUBD. E",10,0,1,2,2,2,0,1,1,0,1,0,0,10,10,0,0,0,8,0,2,0,0,0
100405000,10,4,5,0,1005000,DIVISION NO.  5,58,0,2,3,8,11,3,10,5,5,8,2,1,50,49,1,0,8,43,1,4,8,0,2
100405007,10,4,5,7,1005007,"DIVISION NO.  5, SUBD. E",39,0,2,1,5,10,3,7,1,2,6,1,1,35,34,1,0,4,31,1,4,2,0,1
100405010,10,4,5,10,1005010,"DIVISION NO.  5, SUBD. F",19,0,0,2,3,1,0,3,4,3,2,1,0,15,15,0,0,4,12,0,0,6,0,1
110000000,11,0,0,0,1100000,P.E.I. - I.-P.-E.,"3,154",10,109,214,309,306,361,380,406,369,300,212,178,"3,025","2,974",31,20,129,"2,639",168,211,119,6,11
110100000,11,1,0,0,1100000,KINGS COUNTY,586,0,21,42,55,56,65,59,86,67,59,38,38,567,548,9,10,19,493,32,37,23,1,0
110101000,11,1,1,0,1101000,KINGS COUNTY,586,0,21,42,55,56,65,59,86,67,59,38,38,567,548,9,10,19,493,32,37,23,1,0
110101001,11,1,1,1,1101001,TOWNSHIP 64,57,0,2,2,3,1,4,6,7,6,12,7,7,55,54,0,1,2,52,1,1,3,0,0
110101006,11,1,1,6,1101006,TOWNSHIP 63,32,0,1,2,5,2,1,3,7,3,2,2,4,32,31,0,1,0,27,3,2,0,0,0
110101008,11,1,1,8,1101008,TOWNSHIP 61,31,0,0,2,3,1,4,5,5,3,3,2,3,31,30,0,1,0,23,4,4,0,0,0
110101009,11,1,1,9,1101009,TOWNSHIP 59,39,0,1,2,4,7,5,5,7,2,4,2,0,38,37,1,0,1,33,1,4,1,0,0
110101014,11,1,1,14,1101014,TOWNSHIP 51,52,0,2,5,4,5,8,5,3,7,5,3,5,50,48,2,0,2,47,2,2,1,0,0
110101016,11,1,1,16,1101016,TOWNSHIP 52,32,0,2,1,3,4,3,2,7,4,2,4,0,30,28,1,1,2,21,3,6,2,0,0
110101019,11,1,1,19,1101019,TOWNSHIP 53,25,0,0,1,0,3,6,2,5,3,1,3,1,25,25,0,0,0,22,1,0,2,0,0
110101026,11,1,1,26,1101026,TOWNSHIP 54,21,0,1,4,2,4,3,0,1,1,5,0,0,20,18,0,2,1,16,2,2,1,0,0
110101028,11,1,1,28,1101028,TOWNSHIP 55,21,0,1,3,1,3,1,2,3,3,1,1,2,21,21,0,0,0,18,2,1,0,0,0
110101029,11,1,1,29,1101029,TOWNSHIP 56,21,0,2,1,1,1,3,2,5,4,1,1,0,21,21,0,0,0,16,4,1,0,0,0
110101031,11,1,1,31,1101031,TOWNSHIP 43,26,0,2,1,3,3,3,3,2,2,3,2,2,24,24,0,0,2,22,2,2,0,0,0
110101032,11,1,1,32,1101032,TOWNSHIP 44,26,0,0,3,4,5,2,2,1,2,2,3,2,26,24,1,1,0,25,0,0,1,0,0
110101034,11,1,1,34,1101034,TOWNSHIP 45,14,0,0,1,2,2,1,1,1,4,2,0,0,14,14,0,0,0,10,2,0,2,0,0
110101038,11,1,1,38,1101038,TOWNSHIP 46,20,0,0,3,1,2,5,3,2,1,3,0,0,17,17,0,0,3,16,0,2,2,0,0
110101039,11,1,1,39,1101039,TOWNSHIP 47,34,0,0,0,2,2,3,2,6,7,5,4,3,33,32,1,0,1,28,0,2,4,0,0
110101041,11,1,1,41,1101041,TOWNSHIP 42,19,0,1,0,1,1,3,2,6,3,1,0,1,18,18,0,0,1,18,1,0,0,0,0
110101042,11,1,1,42,1101042,TOWNSHIP 41,34,0,1,4,5,3,3,5,6,5,1,0,1,32,31,0,1,2,33,1,0,0,0,0
110101046,11,1,1,46,1101046,TOWNSHIP 40,28,0,1,1,4,3,1,4,5,5,1,1,2,28,28,0,0,0,20,0,5,3,0,0
110101049,11,1,1,49,1101049,TOWNSHIP 39,18,0,1,0,4,2,1,1,3,1,3,2,0,18,17,1,0,0,15,1,0,1,1,0
110101051,11,1,1,51,1101051,TOWNSHIP 38,36,0,3,6,3,2,5,4,4,1,2,1,5,34,30,2,2,2,31,2,3,0,0,0
110200000,11,2,0,0,1100000,PRINCE COUNTY,"1,084",2,46,75,102,109,128,131,138,127,108,63,55,"1,036","1,027",6,3,48,875,50,87,63,3,6
110203000,11,2,3,0,1103000,PRINCE COUNTY,"1,084",2,46,75,102,109,128,131,138,127,108,63,55,"1,036","1,027",6,3,48,875,50,87,63,3,6
110203001,11,2,3,1,1103001,TOWNSHIP 28,68,0,1,5,5,8,6,11,8,9,8,3,4,66,66,0,0,2,52,3,6,7,0,0
110203006,11,2,3,6,1103006,TOWNSHIP 27,77,0,3,5,4,11,12,11,9,6,13,1,2,73,72,1,0,4,63,6,7,1,0,0
110203009,11,2,3,9,1103009,TOWNSHIP 26,73,0,4,5,5,7,11,8,10,6,12,3,2,71,70,0,1,2,56,3,5,8,1,0
110203011,11,2,3,11,1103011,TOWNSHIP 25,54,0,4,2,6,8,6,6,7,6,2,5,2,54,54,0,0,0,41,4,3,6,0,0
110203012,11,2,3,12,1103012,TOWNSHIP 19,77,0,4,4,4,13,13,8,8,8,4,3,8,72,71,1,0,5,58,6,3,9,1,0
110203016,11,2,3,16,1103016,TOWNSHIP 18,72,0,3,5,9,6,9,7,5,13,7,4,4,69,69,0,0,3,60,2,7,3,0,0
110203019,11,2,3,19,1103019,TOWNSHIP 17,40,0,1,8,5,2,5,4,3,4,3,2,3,38,37,1,0,2,27,3,1,8,1,0
110203026,11,2,3,26,1103026,TOWNSHIP 15,12,0,0,0,2,2,3,3,0,1,1,0,0,12,12,0,0,0,12,0,0,0,0,0
110203028,11,2,3,28,1103028,TOWNSHIP 16,47,0,0,1,6,3,8,6,9,4,3,5,2,46,46,0,0,1,38,2,5,1,0,1
110203031,11,2,3,31,1103031,TOWNSHIP 14,39,0,0,2,3,1,4,3,6,9,4,2,5,37,37,0,0,2,33,1,4,0,0,1
110203032,11,2,3,32,1103032,TOWNSHIP 13,66,0,0,11,6,7,5,4,12,4,8,5,4,60,60,0,0,6,54,3,7,1,0,1
110203034,11,2,3,34,1103034,TOWNSHIP 12,15,0,1,1,2,0,0,2,1,2,1,3,2,15,15,0,0,0,14,0,0,1,0,0
110203036,11,2,3,36,1103036,TOWNSHIP 11,10,0,0,2,1,0,2,2,0,2,0,0,1,9,9,0,0,1,8,0,0,2,0,0
110203038,11,2,3,38,1103038,TOWNSHIP 10,14,0,1,0,1,3,0,0,3,1,2,3,0,13,13,0,0,1,12,0,1,1,0,0
110203041,11,2,3,41,1103041,TOWNSHIP  6,60,0,3,4,4,6,3,10,7,8,9,5,1,57,56,1,0,3,50,1,6,3,0,0
110203044,11,2,3,44,1103044,TOWNSHIP  9,38,0,7,1,5,2,4,4,6,6,3,0,0,38,38,0,0,0,29,2,7,0,0,0
110203046,11,2,3,46,1103046,TOWNSHIP  8,42,0,1,3,5,3,5,8,2,6,5,2,2,42,41,0,1,0,31,3,6,2,0,0
110203048,11,2,3,48,1103048,TOWNSHIP  7,43,0,4,5,4,4,3,7,5,3,2,3,3,42,42,0,0,1,39,1,0,2,0,1
110203049,11,2,3,49,1103049,TOWNSHIP  5,37,0,1,1,9,5,4,4,3,4,2,4,0,34,34,0,0,3,27,2,6,1,0,1
110203051,11,2,3,51,1103051,TOWNSHIP  4,63,1,0,3,8,7,8,7,9,7,5,4,4,59,59,0,0,4,52,5,4,2,0,0
110203054,11,2,3,54,1103054,TOWNSHIP  3,46,0,1,3,0,3,7,5,11,8,4,2,2,43,41,2,0,3,41,1,2,1,0,1
110203056,11,2,3,56,1103056,TOWNSHIP  2,31,1,2,1,4,3,3,2,3,4,5,1,2,29,29,0,0,2,23,0,4,4,0,0
110203058,11,2,3,58,1103058,TOWNSHIP  1,60,0,5,3,4,5,7,9,11,6,5,3,2,57,56,0,1,3,55,2,3,0,0,0
110300000,11,3,0,0,1100000,QUEENS COUNTY,"1,484",8,42,97,152,141,168,190,182,175,133,111,85,"1,422","1,399",16,7,62,"1,271",86,87,33,2,5
110302000,11,3,2,0,1102000,QUEENS COUNTY,"1,484",8,42,97,152,141,168,190,182,175,133,111,85,"1,422","1,399",16,7,62,"1,271",86,87,33,2,5
110302001,11,3,2,1,1102001,TOWNSHIP 62,22,0,0,2,3,0,1,5,2,4,2,0,3,20,20,0,0,2,20,0,1,1,0,0
110302004,11,3,2,4,1102004,TOWNSHIP 60,23,0,0,6,4,4,3,0,2,2,0,1,1,20,19,0,1,3,17,2,2,1,1,0
110302006,11,3,2,6,1102006,TOWNSHIP 58,27,0,1,1,4,2,5,2,3,3,3,1,2,27,26,1,0,0,25,1,1,0,0,0
110302008,11,3,2,8,1102008,TOWNSHIP 57,74,0,4,2,7,8,7,16,11,8,2,6,3,71,69,2,0,3,60,4,4,5,0,1
110302009,11,3,2,9,1102009,TOWNSHIP 50,78,0,5,4,9,5,8,9,13,10,9,3,3,75,75,0,0,3,60,13,3,2,0,0
110302012,11,3,2,12,1102012,TOWNSHIP 49,58,0,1,2,4,8,8,10,5,6,5,5,4,57,56,1,0,1,50,3,4,1,0,0
110302014,11,3,2,14,1102014,TOWNSHIP 48,81,0,2,1,4,10,7,13,10,16,8,7,3,79,78,1,0,2,69,4,3,4,0,1
110302022,11,3,2,22,1102022,CHARLOTTETOWN,17,0,1,0,1,0,0,1,4,1,2,6,1,16,15,0,1,1,13,3,0,1,0,0
110302024,11,3,2,24,1102024,TOWNSHIP 32,89,0,1,1,9,9,8,11,6,9,12,14,9,81,80,1,0,8,73,6,9,1,0,0
110302026,11,3,2,26,1102026,TOWNSHIP 31,124,1,0,7,14,13,11,17,14,16,14,11,6,121,120,0,1,3,105,7,8,4,0,0
110302028,11,3,2,28,1102028,TOWNSHIP 65,75,0,1,4,8,7,9,14,10,9,3,6,4,72,70,0,2,3,65,3,7,0,0,0
110302029,11,3,2,29,1102029,TOWNSHIP 30,47,1,1,1,4,4,8,5,9,5,6,1,2,47,47,0,0,0,44,2,1,0,0,0
110302031,11,3,2,31,1102031,TOWNSHIP 29,76,0,4,8,2,8,20,6,11,6,6,3,2,73,73,0,0,3,68,3,4,0,0,1
110302036,11,3,2,36,1102036,TOWNSHIP 67,90,2,4,9,14,6,14,7,10,12,6,4,2,88,86,2,0,2,79,4,7,0,0,0
110302038,11,3,2,38,1102038,TOWNSHIP 20,59,0,4,5,6,3,7,8,6,4,6,5,5,57,56,1,0,2,52,3,3,1,0,0
110302039,11,3,2,39,1102039,TOWNSHIP 21,51,0,2,4,5,4,5,3,9,6,7,3,3,49,48,0,1,2,40,4,4,3,0,0
110302041,11,3,2,41,1102041,TOWNSHIP 22,48,0,2,2,7,4,6,8,9,6,1,1,2,47,47,0,0,1,46,0,2,0,0,0
110302042,11,3,2,42,1102042,TOWNSHIP 23,76,0,2,3,6,13,5,12,10,5,11,4,5,70,69,1,0,6,68,2,5,1,0,0
110302044,11,3,2,44,1102044,TOWNSHIP 24,109,1,2,7,11,14,9,13,10,13,5,14,10,106,103,2,1,3,96,5,7,1,0,0
110302049,11,3,2,49,1102049,TOWNSHIP 33,86,0,2,12,11,6,8,11,12,9,6,5,4,79,79,0,0,7,70,8,4,2,1,1
110302052,11,3,2,52,1102052,TOWNSHIP 34,61,2,0,6,8,4,6,8,10,8,3,3,3,56,53,3,0,5,48,4,5,4,0,0
110302054,11,3,2,54,1102054,TOWNSHIP 35,42,0,2,2,3,2,5,6,2,6,8,4,2,40,40,0,0,2,35,4,2,1,0,0
110302056,11,3,2,56,1102056,TOWNSHIP 36,47,0,0,5,6,7,4,2,3,8,4,2,6,47,46,1,0,0,45,1,1,0,0,0
110302058,11,3,2,58,1102058,TOWNSHIP 37,24,1,1,3,2,0,4,3,1,3,4,2,0,24,24,0,0,0,23,0,0,0,0,1
120000000,12,0,0,0,1200000,NOVA SCOTIA - NOUVELLE-ECOSSE,"5,045",9,81,285,493,562,558,590,642,591,521,370,343,"4,785","4,656",73,56,260,"4,435",175,221,173,23,18
120100000,12,1,0,0,1200000,AGRICULTURAL REGION AGRICOLE 1,853,3,16,45,89,93,90,101,116,96,83,57,64,811,784,15,12,42,754,32,40,21,2,4
120101000,12,1,1,0,1201000,SHELBURNE COUNTY,36,0,1,4,4,4,5,5,3,3,1,3,3,30,28,1,1,6,30,3,3,0,0,0
120101001,12,1,1,1,1201001,BARRINGTON,14,0,1,2,2,2,3,1,1,0,1,0,1,12,11,1,0,2,12,1,1,0,0,0
120101006,12,1,1,6,1201006,SHELBURNE,22,0,0,2,2,2,2,4,2,3,0,3,2,18,17,0,1,4,18,2,2,0,0,0
120102000,12,1,2,0,1202000,YARMOUTH COUNTY,143,0,1,12,19,20,11,11,17,13,13,13,13,135,133,1,1,8,124,6,9,2,1,1
120102001,12,1,2,1,1202001,ARGYLE,33,0,1,6,5,2,5,1,4,4,2,2,1,29,28,1,0,4,25,0,6,1,0,1
120102004,12,1,2,4,1202004,YARMOUTH,110,0,0,6,14,18,6,10,13,9,11,11,12,106,105,0,1,4,99,6,3,1,1,0
120103000,12,1,3,0,1203000,DIGBY COUNTY,203,1,5,9,24,22,24,30,29,20,15,10,14,190,182,3,5,13,172,11,4,14,1,1
120103001,12,1,3,1,1203001,CLARE,96,1,3,6,14,10,10,12,13,11,6,5,5,88,84,2,2,8,71,10,2,12,1,0
120103004,12,1,3,4,1203004,DIGBY,107,0,2,3,10,12,14,18,16,9,9,5,9,102,98,1,3,5,101,1,2,2,0,1
120104000,12,1,4,0,1204000,QUEENS COUNTY,65,0,1,2,8,7,7,7,9,8,6,6,4,64,60,1,3,1,58,1,4,1,0,1
120104008,12,1,4,8,1204008,"QUEENS, SUBD. B",65,0,1,2,8,7,7,7,9,8,6,6,4,64,60,1,3,1,58,1,4,1,0,1
120106000,12,1,6,0,1206000,LUNENBURG COUNTY,406,2,8,18,34,40,43,48,58,52,48,25,30,392,381,9,2,14,370,11,20,4,0,1
120106001,12,1,6,1,1206001,LUNENBURG,353,2,6,18,28,36,36,42,48,47,43,21,26,341,332,8,1,12,321,9,19,4,0,0
120106009,12,1,6,9,1206009,CHESTER,53,0,2,0,6,4,7,6,10,5,5,4,4,51,49,1,1,2,49,2,1,0,0,1
120200000,12,2,0,0,1200000,AGRICULTURAL REGION AGRICOLE 2,"1,596",1,23,89,133,172,191,217,200,201,168,105,96,"1,530","1,492",25,13,66,"1,371",78,58,74,12,3
120205000,12,2,5,0,1205000,ANNAPOLIS COUNTY,373,0,5,16,38,39,40,54,39,54,42,28,18,363,354,5,4,10,327,16,16,12,1,1
120205001,12,2,5,1,1205001,"ANNAPOLIS, SUBD. D",34,0,1,2,4,2,3,8,5,3,5,0,1,32,31,1,0,2,29,0,2,3,0,0
120205004,12,2,5,4,1205004,"ANNAPOLIS, SUBD. A",110,0,2,4,10,6,12,16,15,16,12,9,8,108,105,3,0,2,102,4,2,1,1,0
120205009,12,2,5,9,1205009,"ANNAPOLIS, SUBD. B",125,0,1,6,19,15,16,10,8,21,12,11,6,123,120,0,3,2,106,6,9,3,0,1
120205014,12,2,5,14,1205014,"ANNAPOLIS, SUBD. C",104,0,1,4,5,16,9,20,11,14,13,8,3,100,98,1,1,4,90,6,3,5,0,0
120207000,12,2,7,0,1207000,KINGS COUNTY,792,0,10,46,60,79,104,107,107,94,87,48,50,752,734,14,4,40,665,43,24,48,10,2
120207001,12,2,7,1,1207001,"KINGS, SUBD. A",398,0,5,22,27,33,55,47,56,49,49,25,30,385,374,10,1,13,355,19,6,14,3,1
120207011,12,2,7,11,1207011,"KINGS, SUBD. C",48,0,0,2,7,3,4,12,5,4,4,3,4,42,41,1,0,6,40,3,2,1,1,1
120207016,12,2,7,16,1207016,"KINGS, SUBD. B",237,0,3,13,22,31,34,31,32,25,23,15,8,222,217,3,2,15,195,11,5,20,6,0
120207021,12,2,7,21,1207021,"KINGS, SUBD. D",109,0,2,9,4,12,11,17,14,16,11,5,8,103,102,0,1,6,75,10,11,13,0,0
120208000,12,2,8,0,1208000,HANTS COUNTY,431,1,8,27,35,54,47,56,54,53,39,29,28,415,404,6,5,16,379,19,18,14,1,0
120208001,12,2,8,1,1208001,WEST HANTS,227,1,3,15,17,31,23,27,25,28,18,20,19,218,208,6,4,9,199,9,9,9,1,0
120208008,12,2,8,8,1208008,EAST HANTS,204,0,5,12,18,23,24,29,29,25,21,9,9,197,196,0,1,7,180,10,9,5,0,0
120300000,12,3,0,0,1200000,AGRICULTURAL REGION AGRICOLE 3,"1,896",5,25,110,203,220,209,190,240,198,198,150,148,"1,774","1,727",23,24,122,"1,678",54,97,53,7,7
120310000,12,3,10,0,1210000,COLCHESTER COUNTY,549,2,8,33,56,69,59,61,69,59,56,36,41,514,499,6,9,35,479,20,28,18,2,2
120310001,12,3,10,1,1210001,"COLCHESTER, SUBD. C",224,0,4,18,25,26,30,21,22,24,23,17,14,215,208,1,6,9,193,11,9,8,2,1
120310008,12,3,10,8,1210008,"COLCHESTER, SUBD. B",229,2,2,13,18,35,22,30,33,18,23,16,17,209,206,2,1,20,201,8,12,7,0,1
120310012,12,3,10,12,1210012,"COLCHESTER, SUBD. A",96,0,2,2,13,8,7,10,14,17,10,3,10,90,85,3,2,6,85,1,7,3,0,0
120311000,12,3,11,0,1211000,CUMBERLAND COUNTY,612,2,7,30,54,66,81,61,78,64,63,50,56,550,534,10,6,62,547,14,29,21,0,1
120311001,12,3,11,1,1211001,"CUMBERLAND, SUBD. A",103,0,1,5,7,16,13,5,13,6,15,10,12,87,82,4,1,16,93,2,7,1,0,0
120311006,12,3,11,6,1211006,"CUMBERLAND, SUBD. B",176,1,1,7,11,15,29,18,24,22,16,12,20,151,145,4,2,25,152,6,9,8,0,1
120311009,12,3,11,9,1211009,"CUMBERLAND, SUBD. C",209,1,3,12,23,21,23,24,22,23,22,23,12,197,193,2,2,12,188,2,9,10,0,0
120311014,12,3,11,14,1211014,"CUMBERLAND, SUBD. D",124,0,2,6,13,14,16,14,19,13,10,5,12,115,114,0,1,9,114,4,4,2,0,0
120312000,12,3,12,0,1212000,PICTOU COUNTY,492,1,5,30,63,51,48,46,60,51,53,44,40,470,458,5,7,22,438,8,29,9,5,3
120312001,12,3,12,1,1212001,"PICTOU, SUBD. A",246,1,2,17,34,29,22,23,25,22,31,24,16,234,226,4,4,12,218,4,16,4,1,3
120312006,12,3,12,6,1212006,"PICTOU, SUBD. B",131,0,1,6,18,13,17,9,17,14,12,13,11,124,122,0,2,7,117,1,9,1,3,0
120312011,12,3,12,11,1212011,"PICTOU, SUBD. C",115,0,2,7,11,9,9,14,18,15,10,7,13,112,110,1,1,3,103,3,4,4,1,0
120314000,12,3,14,0,1214000,ANTIGONISH COUNTY,243,0,5,17,30,34,21,22,33,24,26,20,11,240,236,2,2,3,214,12,11,5,0,1
120314001,12,3,14,1,1214001,"ANTIGONISH, SUBD. A",151,0,2,11,15,22,15,13,16,14,18,16,9,149,147,1,1,2,134,6,8,3,0,0
120314006,12,3,14,6,1214006,"ANTIGONISH, SUBD. B",92,0,3,6,15,12,6,9,17,10,8,4,2,91,89,1,1,1,80,6,3,2,0,1
120400000,12,4,0,0,1200000,AGRICULTURAL REGION AGRICOLE 4,345,0,11,14,30,35,31,41,46,50,33,35,19,329,317,8,4,16,310,4,15,15,0,1
120409000,12,4,9,0,1209000,HALIFAX COUNTY,225,0,6,10,22,25,22,27,30,28,21,20,14,211,203,4,4,14,197,3,11,14,0,0
120409012,12,4,9,12,1209012,"HALIFAX, SUBD. C",14,0,1,0,0,1,3,4,1,2,1,0,1,13,11,1,1,1,11,0,1,2,0,0
120409018,12,4,9,18,1209018,"HALIFAX, SUBD. D",30,0,1,1,0,6,3,5,3,2,2,4,3,23,21,1,1,7,19,1,3,7,0,0
120409026,12,4,9,26,1209026,"HALIFAX, SUBD. E",73,0,1,4,12,5,3,3,12,14,7,7,5,70,69,1,0,3,66,2,2,3,0,0
120409031,12,4,9,31,1209031,"HALIFAX, SUBD. F",67,0,0,4,8,6,8,9,12,4,6,8,2,65,64,0,1,2,62,0,3,2,0,0
