AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,TFAREA,ETFAREA,NAOWNED,AOWNED,EAOWNED,NTOTLSRT,TOTLSRT,ETOTLSRT,NTENURE_1,NTENURE_2,NTENURE_3,TENURE_1,TENURE_2,TENURE_3,ETENURE_1,ETENURE_2,ETENURE_3,FRMSIZE_1,FRMSIZE_2,FRMSIZE_3,FRMSIZE_4,FRMSIZE_5,FRMSIZE_6,FRMSIZE_7,FRMSIZE_8,FRMSIZE_9,FRMSIZE_10,FRMSIZE_11,FRMSIZE_12,FRMSIZE_13,FRMSIZE_14,FRMSIZE_15
110101006,11,1,1,6,1101006,TOWNSHIP 63,32,"7,020","2,841",32,"5,686","2,301",13,"1,334",540,19,0,13,"3,416",0,"3,604","1,382",0,"1,458",1,0,3,6,5,6,7,2,2,0,0,0,0,0,0
110101008,11,1,1,8,1101008,TOWNSHIP 61,31,"5,437","2,200",30,"4,800","1,942",10,637,258,21,1,9,"3,454",82,"1,901","1,398",33,769,0,0,7,5,9,1,8,1,0,0,0,0,0,0,0
110101009,11,1,1,9,1101009,TOWNSHIP 59,39,"9,761","3,950",38,"7,756","3,139",14,"2,005",811,25,1,13,"4,092",15,"5,654","1,656",6,"2,288",0,0,6,9,1,7,9,5,1,0,1,0,0,0,0
110101014,11,1,1,14,1101014,TOWNSHIP 51,52,"13,219","5,350",51,"11,208","4,536",17,"2,011",814,35,1,16,"7,260",295,"5,664","2,938",119,"2,292",0,1,1,10,9,7,15,6,2,1,0,0,0,0,0
110101016,11,1,1,16,1101016,TOWNSHIP 52,32,"8,508","3,443",31,"6,486","2,625",17,"2,022",818,15,1,16,"1,670",1,"6,837",676,0,"2,767",2,1,4,7,3,3,7,1,1,2,1,0,0,0,0
110101019,11,1,1,19,1101019,TOWNSHIP 53,25,"6,716","2,718",24,"5,524","2,235",7,"1,192",482,18,1,6,"3,571",150,"2,995","1,445",61,"1,212",0,0,1,5,7,3,5,2,1,0,1,0,0,0,0
110101026,11,1,1,26,1101026,TOWNSHIP 54,21,"6,089","2,464",19,"4,929","1,995",10,"1,160",469,11,2,8,"2,701",529,"2,859","1,093",214,"1,157",0,0,1,3,5,2,7,1,0,2,0,0,0,0,0
110101028,11,1,1,28,1101028,TOWNSHIP 55,21,"11,488","4,649",19,"10,352","4,189",14,"1,136",460,7,2,12,"1,048",450,"9,990",424,182,"4,043",0,0,0,4,5,6,4,0,0,1,0,0,0,0,1
110101029,11,1,1,29,1101029,TOWNSHIP 56,21,"5,270","2,133",19,"3,938","1,594",11,"1,332",539,10,2,9,"2,025",469,"2,776",819,190,"1,123",0,0,1,5,3,2,5,4,1,0,0,0,0,0,0
110101031,11,1,1,31,1101031,TOWNSHIP 43,26,"6,481","2,623",26,"5,237","2,119",15,"1,244",503,11,0,15,"2,075",0,"4,406",840,0,"1,783",1,0,3,3,3,4,7,3,2,0,0,0,0,0,0
110101032,11,1,1,32,1101032,TOWNSHIP 44,26,"3,611","1,461",25,"2,845","1,151",11,766,310,15,1,10,"1,890",121,"1,600",765,49,647,0,2,3,9,5,3,4,0,0,0,0,0,0,0,0
110101034,11,1,1,34,1101034,TOWNSHIP 45,14,"6,927","2,803",14,"5,772","2,336",9,"1,155",467,5,0,9,"1,092",0,"5,835",442,0,"2,361",0,0,1,0,0,0,7,4,0,0,1,1,0,0,0
110101038,11,1,1,38,1101038,TOWNSHIP 46,20,"6,631","2,683",19,"5,020","2,032",14,"1,611",652,6,1,13,"1,544",6,"5,081",625,2,"2,056",0,1,2,3,3,1,4,4,0,1,1,0,0,0,0
110101039,11,1,1,39,1101039,TOWNSHIP 47,34,"9,377","3,795",34,"7,075","2,863",19,"2,302",932,15,0,19,"3,557",0,"5,820","1,439",0,"2,355",0,0,4,4,5,5,9,4,1,2,0,0,0,0,0
110101041,11,1,1,41,1101041,TOWNSHIP 42,19,"3,297","1,334",19,"2,942","1,191",4,355,144,15,0,4,"2,342",0,955,948,0,386,0,0,4,3,4,3,4,1,0,0,0,0,0,0,0
110101042,11,1,1,42,1101042,TOWNSHIP 41,34,"7,460","3,019",32,"5,992","2,425",15,"1,468",594,19,2,13,"2,487",56,"4,917","1,006",23,"1,990",5,0,2,8,4,2,6,5,2,0,0,0,0,0,0
110101046,11,1,1,46,1101046,TOWNSHIP 40,28,"9,484","3,838",28,"7,548","3,055",14,"1,936",783,14,0,14,"2,436",0,"7,048",986,0,"2,852",0,1,3,3,4,5,6,2,1,1,2,0,0,0,0
110101049,11,1,1,49,1101049,TOWNSHIP 39,18,"4,738","1,917",17,"3,877","1,569",7,861,348,11,1,6,"2,014",90,"2,634",815,36,"1,066",0,0,2,3,3,3,2,3,2,0,0,0,0,0,0
110101051,11,1,1,51,1101051,TOWNSHIP 38,36,"7,729","3,128",34,"6,676","2,702",11,"1,053",426,25,2,9,"5,237",151,"2,341","2,119",61,947,0,1,0,12,4,8,6,4,1,0,0,0,0,0,0
110200000,11,2,0,0,1100000,PRINCE COUNTY,"1,084","262,881","106,384","1,030","203,590","82,390",501,"59,292","23,995",583,54,447,"92,275","7,402","163,205","37,342","2,995","66,047",35,28,122,231,148,147,215,88,27,25,10,3,3,2,0
110203000,11,2,3,0,1103000,PRINCE COUNTY,"1,084","262,881","106,384","1,030","203,590","82,390",501,"59,292","23,995",583,54,447,"92,275","7,402","163,205","37,342","2,995","66,047",35,28,122,231,148,147,215,88,27,25,10,3,3,2,0
110203001,11,2,3,1,1103001,TOWNSHIP 28,68,"21,271","8,608",67,"17,857","7,226",25,"3,414","1,382",43,1,24,"7,566",125,"13,580","3,062",51,"5,496",3,0,4,15,10,11,13,5,2,2,2,0,0,1,0
110203006,11,2,3,6,1103006,TOWNSHIP 27,77,"17,109","6,924",76,"13,174","5,331",37,"3,935","1,592",40,1,36,"5,119",5,"11,985","2,072",2,"4,850",1,2,6,17,17,9,13,8,1,3,0,0,0,0,0
110203009,11,2,3,9,1103009,TOWNSHIP 26,73,"20,403","8,257",69,"16,547","6,696",33,"3,856","1,560",40,4,29,"5,168",226,"15,009","2,091",91,"6,074",2,2,13,12,10,10,10,5,6,1,0,1,1,0,0
110203011,11,2,3,11,1103011,TOWNSHIP 25,54,"12,900","5,220",50,"9,399","3,804",25,"3,501","1,417",29,4,21,"4,198",367,"8,335","1,699",149,"3,373",1,3,5,15,6,4,10,6,2,1,1,0,0,0,0
110203012,11,2,3,12,1103012,TOWNSHIP 19,77,"15,833","6,407",70,"10,768","4,358",34,"5,065","2,050",43,7,27,"5,443",830,"9,560","2,203",336,"3,869",3,4,11,18,15,8,9,7,1,0,0,0,1,0,0
110203016,11,2,3,16,1103016,TOWNSHIP 18,72,"14,990","6,066",68,"9,096","3,681",36,"5,894","2,385",36,4,32,"3,168",411,"11,411","1,282",166,"4,618",1,3,17,18,7,4,12,5,2,2,1,0,0,0,0
110203019,11,2,3,19,1103019,TOWNSHIP 17,40,"10,251","4,148",33,"6,782","2,745",22,"3,469","1,404",18,7,15,"1,565",364,"8,322",633,147,"3,368",3,3,9,6,3,6,4,2,0,2,1,0,1,0,0
110203026,11,2,3,26,1103026,TOWNSHIP 15,12,"4,036","1,633",12,"2,821","1,142",7,"1,215",492,5,0,7,954,0,"3,082",386,0,"1,247",1,0,2,0,1,2,2,3,0,0,1,0,0,0,0
110203028,11,2,3,28,1103028,TOWNSHIP 16,47,"12,100","4,897",44,"8,755","3,543",24,"3,345","1,354",23,3,21,"3,493","1,912","6,695","1,414",774,"2,709",2,1,1,12,3,11,12,2,0,2,1,0,0,0,0
110203031,11,2,3,31,1103031,TOWNSHIP 14,39,"10,100","4,087",37,"8,091","3,274",15,"2,009",813,24,2,13,"4,890",520,"4,690","1,979",210,"1,898",1,1,3,5,8,8,7,2,1,2,1,0,0,0,0
110203032,11,2,3,32,1103032,TOWNSHIP 13,66,"14,874","6,019",62,"13,197","5,341",26,"1,677",679,40,4,22,"9,193",87,"5,594","3,720",35,"2,264",4,2,11,11,9,6,19,3,0,0,0,0,0,1,0
110203034,11,2,3,34,1103034,TOWNSHIP 12,15,"3,119","1,262",14,"2,454",993,9,665,269,6,1,8,"1,151",9,"1,959",466,4,793,1,1,0,5,2,2,1,2,0,1,0,0,0,0,0
110203036,11,2,3,36,1103036,TOWNSHIP 11,10,"1,544",625,9,"1,323",535,3,221,89,7,1,2,"1,039",1,504,420,0,204,1,2,1,1,1,0,4,0,0,0,0,0,0,0,0
110203038,11,2,3,38,1103038,TOWNSHIP 10,14,"4,392","1,777",14,"4,012","1,624",5,380,154,9,0,5,"1,959",0,"2,433",793,0,985,0,0,2,1,2,2,2,4,0,0,1,0,0,0,0
110203041,11,2,3,41,1103041,TOWNSHIP  6,60,"11,898","4,815",58,"9,812","3,971",30,"2,086",844,30,2,28,"4,450",170,"7,278","1,801",69,"2,945",4,0,7,16,8,7,11,5,1,1,0,0,0,0,0
110203044,11,2,3,44,1103044,TOWNSHIP  9,38,"7,512","3,040",37,"5,760","2,331",22,"1,752",709,16,1,21,"1,849",214,"5,449",748,87,"2,205",1,0,5,10,3,6,11,1,1,0,0,0,0,0,0
110203046,11,2,3,46,1103046,TOWNSHIP  8,42,"15,772","6,383",41,"11,742","4,752",24,"4,030","1,631",18,1,23,"4,780",100,"10,892","1,934",40,"4,408",0,1,1,2,7,4,11,10,3,2,0,1,0,0,0
110203048,11,2,3,48,1103048,TOWNSHIP  7,43,"9,599","3,885",37,"6,420","2,598",23,"3,179","1,286",20,6,17,"2,668","1,808","5,123","1,080",732,"2,073",1,1,4,10,5,6,12,3,0,1,0,0,0,0,0
110203049,11,2,3,49,1103049,TOWNSHIP  5,37,"9,330","3,776",36,"7,815","3,163",18,"1,515",613,19,1,17,"3,341",85,"5,904","1,352",34,"2,389",0,0,6,10,4,4,9,2,1,0,0,1,0,0,0
110203051,11,2,3,51,1103051,TOWNSHIP  4,63,"17,985","7,278",63,"13,794","5,582",30,"4,191","1,696",33,0,30,"5,470",0,"12,515","2,214",0,"5,065",1,0,3,9,8,13,19,3,4,2,1,0,0,0,0
110203054,11,2,3,54,1103054,TOWNSHIP  3,46,"11,444","4,631",45,"9,981","4,039",16,"1,463",592,30,1,15,"6,598",145,"4,701","2,670",59,"1,902",0,0,2,9,7,9,12,5,1,1,0,0,0,0,0
110203056,11,2,3,56,1103056,TOWNSHIP  2,31,"7,329","2,966",31,"6,008","2,431",17,"1,321",535,14,0,17,"2,392",0,"4,937",968,0,"1,998",0,1,0,9,4,6,6,4,0,1,0,0,0,0,0
110203058,11,2,3,58,1103058,TOWNSHIP  1,60,"9,090","3,679",57,"7,982","3,230",20,"1,109",449,40,3,17,"5,821",23,"3,247","2,356",9,"1,314",4,1,9,20,8,9,6,1,1,1,0,0,0,0,0
110300000,11,3,0,0,1100000,QUEENS COUNTY,"1,484","287,676","116,418","1,442","215,934","87,385",607,"71,740","29,032",877,42,565,"112,736","3,084","171,854","45,623","1,248","69,547",32,36,244,383,217,189,236,72,42,22,7,4,0,0,0
110302000,11,3,2,0,1102000,QUEENS COUNTY,"1,484","287,676","116,418","1,442","215,934","87,385",607,"71,740","29,032",877,42,565,"112,736","3,084","171,854","45,623","1,248","69,547",32,36,244,383,217,189,236,72,42,22,7,4,0,0,0
110302001,11,3,2,1,1102001,TOWNSHIP 62,22,"4,495","1,819",22,"3,906","1,581",6,589,238,16,0,6,"3,208",0,"1,287","1,298",0,521,0,0,3,5,3,4,3,4,0,0,0,0,0,0,0
110302004,11,3,2,4,1102004,TOWNSHIP 60,23,"5,080","2,056",21,"3,678","1,488",10,"1,402",567,13,2,8,"2,035",121,"2,924",824,49,"1,183",0,0,6,4,5,1,4,1,1,1,0,0,0,0,0
110302006,11,3,2,6,1102006,TOWNSHIP 58,27,"6,885","2,786",26,"5,371","2,174",7,"1,513",612,20,1,6,"3,966",20,"2,898","1,605",8,"1,173",0,0,3,7,4,2,4,4,2,1,0,0,0,0,0
110302008,11,3,2,8,1102008,TOWNSHIP 57,74,"16,784","6,792",71,"13,230","5,354",29,"3,554","1,438",45,3,26,"7,098",178,"9,508","2,872",72,"3,848",0,2,9,20,9,12,13,4,3,1,0,1,0,0,0
110302009,11,3,2,9,1102009,TOWNSHIP 50,78,"18,869","7,636",76,"12,544","5,076",45,"6,325","2,560",33,2,43,"4,562",32,"14,275","1,846",13,"5,777",2,1,12,14,11,12,12,8,3,1,2,0,0,0,0
110302012,11,3,2,12,1102012,TOWNSHIP 49,58,"14,516","5,874",57,"10,838","4,386",28,"3,678","1,488",30,1,27,"5,196",50,"9,270","2,103",20,"3,751",0,1,13,12,4,2,17,3,4,1,1,0,0,0,0
110302014,11,3,2,14,1102014,TOWNSHIP 48,81,"12,951","5,241",79,"10,464","4,235",31,"2,487","1,006",50,2,29,"5,121",56,"7,774","2,072",23,"3,146",3,6,16,14,15,9,14,1,2,1,0,0,0,0,0
110302022,11,3,2,22,1102022,CHARLOTTETOWN,17,"1,159",469,16,964,390,6,195,79,11,1,5,473,1,685,191,0,277,2,3,5,5,0,1,1,0,0,0,0,0,0,0,0
110302024,11,3,2,24,1102024,TOWNSHIP 32,89,"14,548","5,887",87,"10,160","4,112",32,"4,388","1,776",57,2,30,"4,055",34,"10,459","1,641",14,"4,233",3,6,25,26,9,8,4,1,4,2,0,1,0,0,0
110302026,11,3,2,26,1102026,TOWNSHIP 31,124,"21,567","8,728",120,"16,451","6,657",46,"5,116","2,070",78,4,42,"8,675",270,"12,622","3,511",109,"5,108",4,5,22,41,22,12,7,4,2,4,1,0,0,0,0
110302028,11,3,2,28,1102028,TOWNSHIP 65,75,"11,963","4,841",73,"8,805","3,563",38,"3,158","1,278",37,2,36,"3,898",167,"7,898","1,577",68,"3,196",1,2,9,26,9,12,12,3,1,0,0,0,0,0,0
110302029,11,3,2,29,1102029,TOWNSHIP 30,47,"8,141","3,295",46,"6,471","2,619",19,"1,670",676,28,1,18,"4,057",11,"4,073","1,642",4,"1,648",0,0,4,14,13,8,5,2,1,0,0,0,0,0,0
110302031,11,3,2,31,1102031,TOWNSHIP 29,76,"12,499","5,058",73,"10,406","4,211",21,"2,093",847,55,3,18,"7,233",278,"4,988","2,927",113,"2,019",2,4,12,24,10,8,11,3,1,0,1,0,0,0,0
110302036,11,3,2,36,1102036,TOWNSHIP 67,90,"17,622","7,131",85,"14,420","5,836",28,"3,202","1,296",62,5,23,"9,074","1,011","7,537","3,672",409,"3,050",2,0,11,23,10,12,27,2,3,0,0,0,0,0,0
110302038,11,3,2,38,1102038,TOWNSHIP 20,59,"16,203","6,557",58,"9,663","3,910",30,"6,540","2,647",29,1,29,"4,483",1,"11,719","1,814",0,"4,743",1,0,4,15,9,9,13,2,3,1,1,1,0,0,0
110302039,11,3,2,39,1102039,TOWNSHIP 21,51,"9,782","3,959",49,"6,797","2,751",21,"2,985","1,208",30,2,19,"3,508",100,"6,174","1,420",40,"2,499",0,2,11,13,6,7,5,5,0,2,0,0,0,0,0
110302041,11,3,2,41,1102041,TOWNSHIP 22,48,"10,522","4,258",47,"7,562","3,060",22,"2,960","1,198",26,1,21,"4,413",60,"6,049","1,786",24,"2,448",0,0,4,9,8,12,8,6,0,1,0,0,0,0,0
110302042,11,3,2,42,1102042,TOWNSHIP 23,76,"15,789","6,390",74,"11,505","4,656",33,"4,284","1,734",43,2,31,"4,792",105,"10,892","1,939",42,"4,408",3,0,12,21,8,7,16,3,4,2,0,0,0,0,0
110302044,11,3,2,44,1102044,TOWNSHIP 24,109,"15,756","6,376",107,"11,218","4,540",46,"4,538","1,836",63,2,44,"5,429",363,"9,964","2,197",147,"4,032",4,1,20,42,13,13,11,1,4,0,0,0,0,0,0
