AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,TFAREA,NTOTLAB,TOTLAB,NPDLBYR,PDLBYR,NPDLBSL,PDLBSL,NTRNTEXP,TRNTEXP,NRNTCSH,RNTCSH,NRNTSHR,RNTSHR,NTCSHWGE,TCSHWGE,NELECTY,ELECTY,NFUEL,FUEL,NREPMCH,REPMCH,NCUSTOM,CUSTOM,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NFEEDPD,FEEDPD,NREPBLDG,REPBLDG,NVFTPRD,VFTPRD,NMAPLET,MAPLET,SALEDST_1,SALEDST_2,SALEDST_3,SALEDST_4,SALEDST_5,SALEDST_6,SALEDST_7,SALEDST_8,SALES95
100101357,10,1,1,357,1001357,"DIVISION NO.  1, SUBD. H",25,13,748,7,550,7,198,..,..,3,"2,450",..,..,13,"139,744",15,"29,446",15,"58,027",13,"13,393",4,"3,070",11,"28,601",7,"2,187",9,"6,541",17,"862,977",15,"34,592",0,0,0,0,9,2,1,1,2,4,5,1,"1,525,148"
100101405,10,1,1,405,1001405,"DIVISION NO.  1, SUBD. K",16,8,629,2,336,6,293,..,..,6,"6,672",..,..,8,"123,757",10,"35,230",14,"27,793",12,"10,460",3,x,12,"20,642",11,"7,982",11,"11,712",7,x,8,"8,229",1,x,0,0,5,4,0,3,1,0,2,1,"744,722"
100101421,10,1,1,421,1001421,"DIVISION NO.  1, SUBD. M",17,8,"1,193",4,994,5,199,..,..,2,x,..,..,8,"240,576",10,"39,788",10,"26,274",9,"41,833",0,0,8,"10,755",4,"1,950",4,x,11,"1,180,150",11,"16,945",0,0,0,0,6,5,2,1,0,1,0,2,x
100101452,10,1,1,452,1001452,"DIVISION NO.  1, SUBD. O",26,5,303,3,114,4,189,..,..,1,x,..,..,5,"49,000",4,x,8,"19,185",4,x,0,0,10,"1,334",3,183,7,694,21,x,4,"1,310",0,0,0,0,21,1,2,0,0,0,1,1,x
100101515,10,1,1,515,1001515,ST. JOHN'S METROPOLITAN AREA,130,53,"5,404",24,"3,965",40,"1,439",..,..,40,"115,062",..,..,53,"1,334,389",88,"175,903",107,"328,507",92,"194,566",30,"72,739",90,"131,564",62,"25,894",92,"43,280",85,"3,136,005",79,"123,565",0,0,0,0,45,12,10,14,18,12,11,8,"7,645,909"
100200000,10,2,0,0,1000000,AGRICULTURAL REGION AGRICOLE 2,141,52,"2,653",18,"1,384",42,"1,269",..,..,22,"1,754",..,..,52,"457,593",69,"68,209",95,"194,750",71,"128,376",20,"19,281",92,"269,084",65,"28,210",75,"59,807",73,"1,697,279",59,"31,569",8,x,0,0,61,26,17,13,5,4,13,2,"4,100,656"
100202000,10,2,2,0,1002000,DIVISION NO.  2,30,9,342,4,244,5,98,..,..,4,56,..,..,9,"76,614",17,"13,311",18,"25,723",16,"11,083",4,"2,565",17,"17,992",11,"2,113",11,"3,983",18,"267,108",18,"8,614",0,0,0,0,13,5,5,4,1,0,2,0,"583,815"
100202023,10,2,2,23,1002023,WINTERLAND,20,6,252,2,164,4,88,..,..,2,x,..,..,6,x,11,"5,674",11,"17,478",10,"6,421",1,x,11,"14,517",7,"1,252",7,"2,243",10,x,11,"4,409",0,0,0,0,10,2,3,3,1,0,1,0,"338,015"
100202024,10,2,2,24,1002024,MARYSTOWN,10,3,90,2,80,1,10,..,..,2,x,..,..,3,x,6,"7,637",7,"8,245",6,"4,662",3,x,6,"3,475",4,861,4,"1,740",8,x,7,"4,205",0,0,0,0,3,3,2,1,0,0,1,0,"245,800"
100206000,10,2,6,0,1006000,DIVISION NO.  6,36,17,755,7,382,15,373,..,..,9,282,..,..,17,"135,066",24,"21,631",31,"71,377",25,"29,632",11,"5,895",30,"81,663",23,"13,266",27,"12,414",15,"629,311",16,"11,546",4,"4,900",0,0,15,7,3,1,1,3,5,1,"1,466,360"
100206008,10,2,6,8,1006008,"DIVISION NO.  6, SUBD. E",10,5,300,2,192,4,108,..,..,3,x,..,..,5,"67,052",8,"4,679",10,"20,310",8,"6,733",3,"1,860",8,"5,055",7,778,7,"3,283",4,x,4,"5,934",1,x,0,0,6,1,1,0,0,0,1,1,x
100206014,10,2,6,14,1006014,"DIVISION NO.  6, SUBD. C",26,12,455,5,190,11,265,..,..,6,x,..,..,12,"68,014",16,"16,952",21,"51,067",17,"22,899",8,"4,035",22,"76,608",16,"12,488",20,"9,131",11,x,12,"5,612",3,x,0,0,9,6,2,1,1,3,4,0,x
100207000,10,2,7,0,1007000,DIVISION NO.  7,75,26,"1,556",7,758,22,798,..,..,9,"1,416",..,..,26,"245,913",28,"33,267",46,"97,650",30,"87,661",5,"10,821",45,"169,429",31,"12,831",37,"43,410",40,"800,860",25,"11,409",4,x,0,0,33,14,9,8,3,1,6,1,"2,050,481"
100207014,10,2,7,14,1007014,"DIVISION NO.  7, SUBD. J",19,3,96,0,0,3,96,..,..,1,x,..,..,3,"11,113",5,"4,624",8,"8,317",5,x,0,0,5,"2,677",2,x,4,607,14,"165,906",7,"3,331",0,0,0,0,13,3,1,0,0,0,2,0,"373,542"
100207031,10,2,7,31,1007031,"DIVISION NO.  7, SUBD. E",35,16,680,3,180,14,500,..,..,5,"1,072",..,..,16,"118,708",12,"7,107",21,"37,374",16,x,2,x,22,"118,029",18,"8,589",20,"26,022",21,x,11,"5,888",3,"2,667",0,0,12,6,6,5,2,1,3,0,"755,303"
100207038,10,2,7,38,1007038,"DIVISION NO.  7, SUBD. D",21,7,780,4,578,5,202,..,..,3,x,..,..,7,"116,092",11,"21,536",17,"51,959",9,x,3,x,18,"48,723",11,x,13,"16,781",5,x,7,"2,190",1,x,0,0,8,5,2,3,1,0,1,1,"921,636"
100300000,10,3,0,0,1000000,AGRICULTURAL REGION AGRICOLE 3,80,29,802,6,295,23,507,..,..,19,974,..,..,29,"143,586",33,"14,831",59,"72,581",43,"38,995",15,x,53,"61,424",35,"5,995",51,"13,313",42,"403,635",27,"13,787",6,"19,545",0,0,37,15,9,11,3,3,2,0,"997,096"
100308000,10,3,8,0,1008000,DIVISION NO.  8,67,25,717,5,243,20,474,..,..,14,868,..,..,25,"128,616",28,"11,882",48,"60,200",36,"27,573",13,x,48,"59,429",34,x,45,"12,124",33,"324,309",23,"11,844",6,"19,545",0,0,31,12,7,11,2,2,2,0,"873,668"
100308036,10,3,8,36,1008036,"DIVISION NO.  8, SUBD. G",20,4,63,0,0,4,63,..,..,2,x,..,..,4,"7,864",5,774,12,"7,068",11,"5,664",2,x,9,"11,687",6,x,9,"1,685",17,"20,284",12,"6,571",1,x,0,0,11,5,2,2,0,0,0,0,"70,651"
100308042,10,3,8,42,1008042,"DIVISION NO.  8, SUBD. F",14,4,221,0,0,4,221,..,..,5,181,..,..,4,"28,018",8,"1,336",9,"9,309",4,"3,447",2,x,12,"19,168",9,"1,928",11,"2,215",6,"18,000",2,x,2,x,0,0,6,3,1,2,1,1,0,0,"140,562"
100308058,10,3,8,58,1008058,"DIVISION NO.  8, SUBD. C",18,9,279,3,189,6,90,..,..,4,178,..,..,9,"67,020",8,"7,590",17,"29,095",12,"9,681",7,x,16,"16,377",10,"1,244",14,"2,876",5,x,5,"3,029",1,x,0,0,7,4,4,0,1,0,2,0,"464,547"
100308065,10,3,8,65,1008065,"DIVISION NO.  8, SUBD. P",15,8,154,2,54,6,100,..,..,3,x,..,..,8,"25,714",7,"2,182",10,"14,728",9,"8,781",2,x,11,"12,197",9,"1,578",11,"5,348",5,x,4,x,2,x,0,0,7,0,0,7,0,1,0,0,"197,908"
100309000,10,3,9,0,1009000,DIVISION NO.  9,13,4,85,1,52,3,33,..,..,5,106,..,..,4,"14,970",5,"2,949",11,"12,381",7,"11,422",2,x,5,"1,995",1,x,6,"1,189",9,"79,326",4,"1,943",0,0,0,0,6,3,2,0,1,1,0,0,"123,428"
100309041,10,3,9,41,1009041,"DIVISION NO.  9, SUBD. H",13,4,85,1,52,3,33,..,..,5,106,..,..,4,"14,970",5,"2,949",11,"12,381",7,"11,422",2,x,5,"1,995",1,x,6,"1,189",9,"79,326",4,"1,943",0,0,0,0,6,3,2,0,1,1,0,0,"123,428"
100400000,10,4,0,0,1000000,AGRICULTURAL REGION AGRICOLE 4,124,63,"2,964",28,"1,863",44,"1,101",..,..,38,"54,927",..,..,63,"524,063",75,"104,737",111,"338,893",106,"174,530",20,x,92,"299,408",64,"48,349",73,"47,022",76,"2,265,001",85,"104,356",24,"63,620",0,0,29,23,18,21,4,8,10,11,"7,020,977"
100404000,10,4,4,0,1004000,DIVISION NO.  4,66,32,782,12,373,23,409,..,..,22,x,..,..,32,"179,051",40,"41,152",61,"133,607",59,"90,368",10,x,54,"109,939",37,"23,410",42,"19,432",44,"431,455",56,"69,480",13,"24,410",0,0,17,13,12,13,4,1,6,0,"1,721,903"
100404001,10,4,4,1,1004001,"DIVISION NO.  4, SUBD. A",16,8,282,6,208,3,74,..,..,6,x,..,..,8,"63,896",11,"17,224",16,"38,086",15,"26,372",4,x,14,"46,662",10,"2,311",9,"3,141",12,"372,609",14,"19,270",5,"10,000",0,0,4,5,1,2,0,0,4,0,"864,575"
100404006,10,4,4,6,1004006,"DIVISION NO.  4, SUBD. B",40,19,372,5,130,15,242,..,..,13,x,..,..,19,"86,855",22,"20,363",37,"84,661",36,"57,522",4,x,32,"56,184",23,"20,269",28,"15,602",25,x,34,"41,984",8,"14,410",0,0,10,7,8,11,2,0,2,0,"685,445"
100404022,10,4,4,22,1004022,"DIVISION NO.  4, SUBD. E",10,5,128,1,35,5,93,..,..,3,x,..,..,5,"28,300",7,"3,565",8,"10,860",8,"6,474",2,x,8,"7,093",4,830,5,689,7,x,8,"8,226",0,0,0,0,3,1,3,0,2,1,0,0,"171,883"
100405000,10,4,5,0,1005000,DIVISION NO.  5,58,31,"2,182",16,"1,490",21,692,..,..,16,x,..,..,31,"345,012",35,"63,585",50,"205,286",47,"84,162",10,x,38,"189,469",27,"24,939",31,"27,590",32,"1,833,546",29,"34,876",11,"39,210",0,0,12,10,6,8,0,7,4,11,"5,299,074"
100405007,10,4,5,7,1005007,"DIVISION NO.  5, SUBD. E",39,19,839,8,413,13,426,..,..,11,x,..,..,19,"121,479",24,"34,235",34,"138,721",31,"59,544",7,x,30,"174,500",24,x,27,"27,180",20,"1,341,511",19,"23,469",9,x,0,0,9,7,4,6,0,5,2,6,"2,757,023"
100405010,10,4,5,10,1005010,"DIVISION NO.  5, SUBD. F",19,12,"1,343",8,"1,077",8,266,..,..,5,x,..,..,12,"223,533",11,"29,350",16,"66,565",16,"24,618",3,x,8,"14,969",3,x,4,410,12,"492,035",10,"11,407",2,x,0,0,3,3,2,2,0,2,2,5,"2,542,051"
110000000,11,0,0,0,1100000,P.E.I. - I.-P.-E.,"3,154","1,628","80,656",430,"32,594","1,379","48,062",..,..,"1,273","2,561,165",..,..,"1,628","14,294,508","2,711","2,597,700","2,841","7,824,732","2,666","7,723,929","1,601","2,133,263","2,582","14,715,689","2,042","5,484,367","2,225","4,199,985","2,382","19,888,232","2,320","2,765,658",253,"363,221",15,437,569,362,386,569,473,414,299,82,"140,369,820"
110100000,11,1,0,0,1100000,KINGS COUNTY,586,272,"18,099",65,"5,087",241,"13,012",..,..,215,"256,035",..,..,272,"3,051,109",487,"468,538",515,"1,611,146",487,"1,339,681",259,"310,966",460,"2,436,900",365,"713,606",413,"580,765",401,"3,365,259",429,"505,904",97,"185,997",1,x,148,78,58,96,67,68,60,11,"23,077,147"
110101000,11,1,1,0,1101000,KINGS COUNTY,586,272,"18,099",65,"5,087",241,"13,012",..,..,215,"256,035",..,..,272,"3,051,109",487,"468,538",515,"1,611,146",487,"1,339,681",259,"310,966",460,"2,436,900",365,"713,606",413,"580,765",401,"3,365,259",429,"505,904",97,"185,997",1,x,148,78,58,96,67,68,60,11,"23,077,147"
110101001,11,1,1,1,1101001,TOWNSHIP 64,57,16,676,3,210,14,466,..,..,13,"11,639",..,..,16,"113,202",41,"18,158",46,"67,241",44,"64,058",22,"8,294",42,"125,847",26,"25,694",37,"35,960",37,"200,754",35,"24,368",2,x,0,0,21,7,9,7,6,2,5,0,"1,382,823"
110101006,11,1,1,6,1101006,TOWNSHIP 63,32,10,"2,238",2,62,9,"2,176",..,..,6,"6,816",..,..,10,"199,343",27,"29,017",28,"99,998",21,"41,400",8,"3,542",24,"107,640",18,"15,382",21,"11,909",16,"207,980",19,"25,082",3,"1,250",0,0,8,6,1,5,2,6,4,0,"1,156,099"
110101008,11,1,1,8,1101008,TOWNSHIP 61,31,13,997,1,52,13,945,..,..,8,x,..,..,13,"184,756",25,"32,381",27,"75,372",26,"50,913",17,"16,667",24,"111,915",16,"23,997",19,"18,248",21,"205,489",24,"49,337",4,"1,556",0,0,11,5,1,1,5,3,5,0,"1,033,821"
110101009,11,1,1,9,1101009,TOWNSHIP 59,39,21,"1,263",9,523,14,740,..,..,16,"27,279",..,..,21,"275,417",35,"39,709",36,"112,362",32,"86,909",15,"35,317",30,"178,600",26,"39,008",27,"50,607",30,"360,379",26,"30,207",7,"13,226",0,0,9,5,4,10,0,3,5,3,"3,114,113"
110101014,11,1,1,14,1101014,TOWNSHIP 51,52,26,"1,523",2,102,25,"1,421",..,..,15,"22,685",..,..,26,"372,022",49,"47,942",50,"223,968",50,"214,127",24,"36,640",43,"268,269",41,"88,852",43,"73,668",36,"218,636",40,"62,194",9,"7,916",0,0,11,4,5,8,7,11,5,1,"2,281,739"
110101016,11,1,1,16,1101016,TOWNSHIP 52,32,18,913,9,585,13,328,..,..,14,"12,173",..,..,18,"128,002",26,"23,769",26,"72,932",23,"85,295",9,"6,243",22,"155,450",17,"27,859",17,"31,368",25,"430,419",19,"18,079",3,"10,622",1,x,7,4,3,4,5,3,6,0,"1,381,931"
110101019,11,1,1,19,1101019,TOWNSHIP 53,25,12,"1,340",3,366,11,974,..,..,9,"14,704",..,..,12,"215,339",21,"18,771",24,"109,816",23,"65,271",6,"7,488",19,"121,258",19,"25,536",18,"21,511",17,"163,693",22,"36,287",4,x,0,0,3,7,2,3,3,2,5,0,"1,034,146"
110101026,11,1,1,26,1101026,TOWNSHIP 54,21,8,151,2,104,7,47,..,..,7,"10,299",..,..,8,"21,322",17,"10,592",19,"27,611",17,"34,404",8,"4,235",21,"120,416",15,"9,375",16,"9,606",15,"139,687",14,"9,929",3,x,0,0,6,2,5,3,1,2,2,0,"500,931"
110101028,11,1,1,28,1101028,TOWNSHIP 55,21,10,941,4,439,7,502,..,..,11,"6,098",..,..,10,x,18,"26,165",12,"64,624",18,"71,129",11,"54,638",18,"94,335",13,"6,801",16,"15,011",17,"166,617",16,"28,657",2,x,0,0,6,4,1,4,3,1,1,1,"764,332"
110101029,11,1,1,29,1101029,TOWNSHIP 56,21,8,362,1,5,7,357,..,..,8,"3,584",..,..,8,"65,189",19,"17,724",21,"52,406",18,"43,190",10,"6,196",19,"56,639",16,"9,949",14,"8,742",16,"126,880",16,"13,577",5,"2,046",0,0,5,5,1,1,2,7,0,0,"615,225"
110101031,11,1,1,31,1101031,TOWNSHIP 43,26,13,475,5,168,12,307,..,..,13,"6,774",..,..,13,"77,035",23,"17,749",22,"53,064",20,"69,485",8,"8,670",19,"118,383",16,"51,754",18,"20,432",17,"90,780",17,"21,179",6,"4,469",0,0,4,1,1,10,4,3,3,0,"907,855"
110101032,11,1,1,32,1101032,TOWNSHIP 44,26,6,161,1,104,5,57,..,..,10,"5,947",..,..,6,x,17,"9,135",21,"21,201",20,"24,201",11,"7,390",13,"24,147",8,"7,510",14,"21,525",17,"141,123",17,"13,163",6,"8,690",0,0,9,6,3,5,2,0,1,0,"313,797"
110101034,11,1,1,34,1101034,TOWNSHIP 45,14,10,"1,667",4,398,10,"1,269",..,..,11,"18,258",..,..,10,"201,861",13,"39,381",14,"148,504",12,"113,762",10,"18,680",13,"151,663",11,"65,495",12,"39,823",9,"114,199",11,"21,996",1,x,0,0,0,0,2,2,2,4,3,1,"1,804,529"
110101038,11,1,1,38,1101038,TOWNSHIP 46,20,13,883,2,569,12,314,..,..,11,"25,595",..,..,13,"205,483",17,"11,632",19,"72,417",18,"84,549",12,"21,444",18,"136,894",16,"95,266",17,"60,086",11,"28,686",13,"13,037",4,"5,962",0,0,2,2,3,4,4,3,1,1,"1,059,737"
110101039,11,1,1,39,1101039,TOWNSHIP 47,34,24,"1,501",3,209,23,"1,292",..,..,23,"24,309",..,..,24,"145,116",31,"26,109",34,"152,723",29,"61,274",23,"24,179",32,"207,356",28,"72,800",33,"61,680",23,"54,899",30,"22,609",11,"10,109",0,0,5,3,4,8,6,3,3,2,"1,728,599"
110101041,11,1,1,41,1101041,TOWNSHIP 42,19,2,12,0,0,2,12,..,..,5,x,..,..,2,x,13,"4,600",17,"10,540",15,"10,470",7,970,10,"4,581",4,319,10,"2,138",10,"7,104",14,"6,840",6,"2,482",0,0,13,2,3,1,0,0,0,0,"54,370"
110101042,11,1,1,42,1101042,TOWNSHIP 41,34,15,480,3,105,14,375,..,..,9,"5,043",..,..,15,"80,083",25,"16,025",24,"35,960",26,"41,816",17,"17,693",23,"96,352",20,"31,997",18,"24,167",24,"81,054",26,"24,458",4,x,0,0,13,6,2,5,4,2,2,0,"598,071"
110101046,11,1,1,46,1101046,TOWNSHIP 40,28,16,"1,132",4,685,16,447,..,..,13,"13,877",..,..,16,"244,705",27,"30,480",26,"92,234",25,"89,123",14,"13,748",23,"159,505",18,"61,373",21,"26,608",22,"321,960",25,"32,594",5,"4,333",0,0,4,1,2,5,5,6,3,2,"1,670,918"
110101049,11,1,1,49,1101049,TOWNSHIP 39,18,10,569,3,144,9,425,..,..,6,"5,033",..,..,10,"131,855",13,"12,877",15,"31,932",16,"34,910",9,"5,599",17,"88,642",13,"21,075",15,"13,957",13,"76,878",16,"15,841",4,"5,361",0,0,3,2,2,4,3,0,4,0,"659,401"
110101051,11,1,1,51,1101051,TOWNSHIP 38,36,21,815,4,257,18,558,..,..,7,"5,397",..,..,21,"104,328",30,"36,322",34,"86,241",34,"53,395",18,"13,333",30,"109,008",24,"33,564",27,"33,719",25,"228,042",29,"36,470",8,"5,460",0,0,8,6,4,6,3,7,2,0,"1,014,710"
110200000,11,2,0,0,1100000,PRINCE COUNTY,"1,084",651,"33,712",181,"14,274",554,"19,438",..,..,494,"1,325,913",..,..,651,"5,914,057",939,"880,177",987,"3,058,205",925,"3,372,794",573,"1,029,292",876,"6,688,554",762,"3,302,192",803,"2,179,976",796,"5,140,233",779,"997,774",66,"85,369",6,253,165,111,132,179,186,161,109,41,"57,202,899"
110203000,11,2,3,0,1103000,PRINCE COUNTY,"1,084",651,"33,712",181,"14,274",554,"19,438",..,..,494,"1,325,913",..,..,651,"5,914,057",939,"880,177",987,"3,058,205",925,"3,372,794",573,"1,029,292",876,"6,688,554",762,"3,302,192",803,"2,179,976",796,"5,140,233",779,"997,774",66,"85,369",6,253,165,111,132,179,186,161,109,41,"57,202,899"
110203001,11,2,3,1,1103001,TOWNSHIP 28,68,56,"4,026",17,"1,701",47,"2,325",..,..,24,"90,045",..,..,56,"668,678",61,"70,094",62,"301,233",60,"280,119",38,x,58,"765,889",55,"816,857",53,"297,530",25,"120,756",44,"82,887",0,0,0,0,5,3,2,9,19,9,17,4,"5,650,044"
110203006,11,2,3,6,1103006,TOWNSHIP 27,77,58,"2,945",13,"1,037",53,"1,908",..,..,45,"121,517",..,..,58,"433,711",73,"56,064",73,"258,519",71,"318,418",45,"66,792",69,"524,260",60,"322,155",67,"253,003",52,"231,085",57,"66,682",2,x,2,x,5,8,10,9,15,17,11,2,"4,161,152"
110203009,11,2,3,9,1103009,TOWNSHIP 26,73,48,"3,240",15,"1,252",42,"1,988",..,..,35,"151,212",..,..,48,"603,034",65,"71,552",69,"473,047",67,"397,482",39,"62,238",61,"615,886",53,"328,599",60,"400,002",55,"413,891",57,"133,995",3,"5,580",0,0,8,2,9,10,13,16,9,6,"6,098,394"
110203011,11,2,3,11,1103011,TOWNSHIP 25,54,35,"2,668",19,"1,621",25,"1,047",..,..,27,"120,114",..,..,35,"495,805",50,"57,536",52,"212,279",48,"271,717",22,"23,657",44,"523,804",37,"227,111",41,"182,188",40,"468,200",39,"55,662",2,x,0,0,3,5,7,5,12,6,12,4,"4,477,705"
110203012,11,2,3,12,1103012,TOWNSHIP 19,77,50,"2,711",13,"1,198",44,"1,513",..,..,34,"204,444",..,..,50,"490,955",67,"61,176",67,"192,372",67,"257,834",45,"150,752",59,"522,998",50,"322,347",55,"191,773",57,"702,425",56,"72,892",1,x,0,0,5,12,5,15,14,14,5,7,"6,613,046"
110203016,11,2,3,16,1103016,TOWNSHIP 18,72,34,"1,980",11,"1,024",28,956,..,..,37,"160,418",..,..,34,"344,066",66,"70,436",66,"262,255",64,"251,304",37,"54,254",55,"494,842",45,"179,680",50,"84,997",54,"577,439",59,"80,214",1,x,0,0,9,8,8,16,9,13,6,3,"3,746,926"
110203019,11,2,3,19,1103019,TOWNSHIP 17,40,25,"3,158",9,"1,638",21,"1,520",..,..,23,"86,962",..,..,25,"723,285",31,"41,198",36,"148,521",30,"234,443",17,"58,182",28,"476,438",22,"260,902",26,"111,105",27,"211,129",29,"60,248",2,x,0,0,7,4,4,7,3,6,4,5,"4,168,833"
110203026,11,2,3,26,1103026,TOWNSHIP 15,12,6,260,3,156,5,104,..,..,8,"13,280",..,..,6,"41,297",10,"8,672",11,"34,616",11,"26,895",6,"2,327",10,"57,274",8,"5,575",9,"6,231",11,"49,939",8,"9,206",1,x,0,0,3,0,1,1,2,3,1,1,"755,647"
110203028,11,2,3,28,1103028,TOWNSHIP 16,47,30,"1,405",9,934,25,471,..,..,25,"61,945",..,..,30,"197,431",41,"30,709",41,"93,510",39,"104,716",26,"16,606",37,"145,973",28,"31,714",36,"64,459",39,"161,947",37,"31,410",3,973,0,0,7,3,7,5,14,8,3,0,"1,668,875"
110203031,11,2,3,31,1103031,TOWNSHIP 14,39,22,785,6,149,18,636,..,..,19,"32,800",..,..,22,"145,686",33,"31,093",35,"94,914",33,"81,815",14,"14,651",31,"183,400",25,"78,408",26,"35,294",28,"190,935",28,"25,914",4,"1,640",0,0,9,7,1,7,7,3,3,2,"1,688,249"
