AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,TFAREA,ETFAREA,NTOTIMP,TOTIMP,ETOTIMP,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NOTHIMP,OTHIMP,EOTHIMP,TOTUNIM,ETOTUNIM,NWDLAND,WDLAND,EWDLAND,NOUNIMP,OUNIMP,EOUNIMP,ILANDIST,ILANDIST_1,ILANDIST_2,ILANDIST_3,ILANDIST_4,ILANDIST_5,ILANDIST_6,ILANDIST_7,ILANDIST_8,ILANDIST_9,ILANDIST_10,ILANDIST_11,ILANDIST_12,ILANDIST_13,NFORAGE,FORAGE,EFORAGE,NALFASD,ALFASD,EALFASD,NALSIKE,ALSIKE,EALSIKE,NCLOVRD,CLOVRD,ECLOVRD,NCLOVSW,CLOVSW,ECLOVSW,NTIMOTHY,TIMOTHY,ETIMOTHY,NBROMSD,BROMSD,EBROMSD,NFESCUE,FESCUE,EFESCUE,NOFORGSD,OFORGSD,EOFORGSD,NTOTFER,TOTFER,ETOTFER,TOTTON,NFERCPA,FERCPA,EFERCPA,FERCPT,NFERTHA,FERTHA,EFERTHA,FERTHT,NFERIPA,FERIPA,EFERIPA,FERIPT,NSPRAY,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NIRRIG,IRRIG,EIRRIG,NIRGSSY,IRGSSY,EIRGSSY
100101357,10,1,1,357,1001357,"DIVISION NO.  1, SUBD. H",25,"2,364",957,23,730,295,19,389,157,0,0,0,5,291,118,7,50,20,"1,634",661,3,46,19,8,"1,588",643,23,2,5,10,5,1,0,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,583,236,220,7,202,82,73,4,114,46,23,3,267,108,124,5,2,20,8,4,201,81,..,..,..,0,0,0
100101405,10,1,1,405,1001405,"DIVISION NO.  1, SUBD. K",16,548,222,16,418,169,15,258,104,1,10,4,2,16,6,6,134,54,130,53,3,73,30,6,57,23,16,0,2,6,7,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,200,81,129,13,128,52,120,1,52,21,7,1,20,8,2,11,8,77,31,11,85,34,..,..,..,0,0,0
100101421,10,1,1,421,1001421,"DIVISION NO.  1, SUBD. M",17,"2,842","1,150",17,"1,043",422,10,166,67,1,15,6,7,729,295,5,133,54,"1,800",728,2,420,170,13,"1,380",558,17,0,6,3,4,1,0,1,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,516,209,42,3,14,6,10,1,2,1,1,2,500,202,31,1,1,2,1,1,5,2,..,..,..,0,0,0
100101452,10,1,1,452,1001452,"DIVISION NO.  1, SUBD. O",26,906,367,24,177,72,16,104,42,0,0,0,3,6,2,20,67,27,729,295,1,2,1,10,727,294,24,2,8,11,5,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,656,265,24,3,5,2,3,1,1,0,1,1,650,263,20,0,0,0,0,0,0,0,..,..,..,0,0,0
100101515,10,1,1,515,1001515,ST. JOHN'S METROPOLITAN AREA,130,"15,930","6,447",128,"6,744","2,729",113,"2,540","1,028",7,91,37,53,"3,835","1,552",54,278,113,"9,188","3,718",34,"6,789","2,747",55,"2,399",971,128,2,20,35,53,12,3,2,2,0,0,0,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76,"2,183",883,513,64,420,170,144,36,"1,377",557,263,13,386,156,106,47,26,106,43,38,327,132,..,..,..,3,17,7
100200000,10,2,0,0,1000000,AGRICULTURAL REGION AGRICOLE 2,141,"12,649","5,119",138,"4,029","1,630",95,"1,727",699,15,110,45,41,"1,567",634,79,625,253,"8,619","3,488",59,"1,592",644,56,"7,027","2,844",138,3,43,31,46,11,3,2,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79,"2,538","1,027",757,67,847,343,524,23,816,330,143,15,875,354,90,46,32,424,172,42,330,134,..,..,..,1,1,0
100202000,10,2,2,0,1002000,DIVISION NO.  2,30,"6,920","2,800",28,540,219,20,164,66,2,10,4,9,256,104,16,110,45,"6,380","2,582",13,278,113,16,"6,102","2,469",28,2,6,8,13,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,275,111,80,12,58,23,34,4,51,21,19,4,166,67,27,8,7,28,11,7,25,10,..,..,..,0,0,0
100202023,10,2,2,23,1002023,WINTERLAND,20,"6,764","2,737",20,480,194,15,131,53,2,10,4,6,237,96,12,102,41,"6,284","2,543",9,188,76,13,"6,096","2,467",20,0,2,7,10,0,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,258,104,66,8,44,18,23,3,49,20,17,3,165,67,26,7,7,28,11,6,23,9,..,..,..,0,0,0
100202024,10,2,2,24,1002024,MARYSTOWN,10,156,63,8,60,24,5,33,13,0,0,0,3,19,8,4,8,3,96,39,4,90,36,3,6,2,8,2,4,1,3,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,17,7,14,4,14,6,11,1,2,1,2,1,1,0,1,1,0,0,0,1,2,1,..,..,..,0,0,0
100206000,10,2,6,0,1006000,DIVISION NO.  6,36,"2,021",818,36,828,335,30,514,208,5,56,23,11,157,64,20,101,41,"1,193",483,21,741,300,19,452,183,36,0,13,8,10,4,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,422,171,159,22,173,70,116,7,194,79,32,3,55,22,11,14,3,8,3,13,58,23,..,..,..,0,0,0
100206008,10,2,6,8,1006008,"DIVISION NO.  6, SUBD. E",10,201,81,10,41,17,8,26,11,0,0,0,1,5,2,5,10,4,160,65,5,85,34,4,75,30,10,0,6,3,1,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,21,8,8,4,15,6,4,1,5,2,3,1,1,0,1,1,0,0,0,1,1,0,..,..,..,0,0,0
100206014,10,2,6,14,1006014,"DIVISION NO.  6, SUBD. C",26,"1,820",737,26,787,318,22,488,197,5,56,23,10,152,62,15,91,37,"1,033",418,16,656,265,15,377,153,26,0,7,5,9,4,0,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,401,162,151,18,158,64,112,6,189,76,29,2,54,22,10,13,3,8,3,12,57,23,..,..,..,0,0,0
100207000,10,2,7,0,1007000,DIVISION NO.  7,75,"3,708","1,501",74,"2,661","1,077",45,"1,049",425,8,44,18,21,"1,154",467,43,414,168,"1,046",423,25,573,232,21,473,191,74,1,24,15,23,7,2,1,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,"1,841",745,518,33,616,249,374,12,571,231,92,8,654,265,52,24,22,388,157,22,247,100,..,..,..,1,1,0
100207014,10,2,7,14,1007014,"DIVISION NO.  7, SUBD. J",19,305,123,18,140,57,4,66,27,0,0,0,3,20,8,15,54,22,165,67,5,121,49,6,44,18,18,1,10,4,4,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,87,35,8,3,18,7,3,2,40,16,3,2,29,12,2,2,2,7,3,2,3,1,..,..,..,0,0,0
100207031,10,2,7,31,1007031,"DIVISION NO.  7, SUBD. E",35,"2,763","1,118",35,"2,127",861,22,817,331,4,31,13,17,"1,127",456,16,152,62,635,257,15,402,163,9,233,94,35,0,10,3,12,5,2,1,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,"1,619",655,428,16,467,189,292,10,531,215,89,5,621,251,47,14,14,296,120,13,182,74,..,..,..,1,1,0
100207038,10,2,7,38,1007038,"DIVISION NO.  7, SUBD. D",21,640,259,21,394,159,19,166,67,4,13,5,1,7,3,12,208,84,246,100,5,50,20,6,196,79,21,0,4,8,7,2,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,135,55,82,14,131,53,79,0,0,0,0,1,4,2,3,8,6,85,34,7,62,25,..,..,..,0,0,0
100300000,10,3,0,0,1000000,AGRICULTURAL REGION AGRICOLE 3,80,"4,537","1,836",77,"1,927",780,66,731,296,10,94,38,25,722,292,24,380,154,"2,611","1,057",19,430,174,39,"2,181",883,77,3,14,20,35,7,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,716,290,302,47,297,120,200,8,91,37,39,7,328,133,63,40,24,108,44,36,129,52,..,..,..,0,0,0
100308000,10,3,8,0,1008000,DIVISION NO.  8,67,"4,154","1,681",65,"1,641",664,55,551,223,7,77,31,21,701,284,19,312,126,"2,513","1,017",18,420,170,35,"2,093",847,65,2,11,19,29,5,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46,677,274,286,43,278,113,191,7,86,35,37,6,313,127,58,39,24,108,44,35,128,52,..,..,..,0,0,0
100308036,10,3,8,36,1008036,"DIVISION NO.  8, SUBD. G",20,806,326,19,355,144,17,127,51,1,20,8,9,204,83,2,4,2,452,183,4,136,55,10,316,128,19,1,3,7,7,2,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,182,74,58,8,70,28,49,0,0,0,0,2,112,45,9,7,2,7,3,7,24,10,..,..,..,0,0,0
100308042,10,3,8,42,1008042,"DIVISION NO.  8, SUBD. F",14,296,120,13,195,79,11,76,31,2,11,4,4,91,37,3,17,7,101,41,4,28,11,8,73,30,13,1,3,4,5,1,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,144,58,80,10,52,21,43,2,2,1,2,1,90,36,35,11,8,39,16,10,33,13,..,..,..,0,0,0
100308058,10,3,8,58,1008058,"DIVISION NO.  8, SUBD. C",18,897,363,18,550,223,15,234,95,2,25,10,6,96,39,8,195,79,347,140,4,87,35,7,260,105,18,0,4,3,9,2,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,156,63,90,15,76,31,56,4,74,30,33,1,6,2,1,11,6,26,11,9,34,14,..,..,..,0,0,0
100308065,10,3,8,65,1008065,"DIVISION NO.  8, SUBD. P",15,"2,155",872,15,541,219,12,114,46,2,21,8,2,310,125,6,96,39,"1,613",653,6,169,68,10,"1,444",584,15,0,1,5,8,0,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,195,79,58,10,80,32,43,1,10,4,2,2,105,42,13,10,8,36,15,9,37,15,..,..,..,0,0,0
100309000,10,3,9,0,1009000,DIVISION NO.  9,13,383,155,12,286,116,11,180,73,3,17,7,4,21,8,5,68,28,98,40,1,10,4,4,88,36,12,1,3,1,6,2,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,39,16,16,4,19,8,9,1,5,2,2,1,15,6,5,1,0,0,0,1,1,0,..,..,..,0,0,0
100309041,10,3,9,41,1009041,"DIVISION NO.  9, SUBD. H",13,383,155,12,286,116,11,180,73,3,17,7,4,21,8,5,68,28,98,40,1,10,4,4,88,36,12,1,3,1,6,2,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,39,16,16,4,19,8,9,1,5,2,2,1,15,6,5,1,0,0,0,1,1,0,..,..,..,0,0,0
100400000,10,4,0,0,1000000,AGRICULTURAL REGION AGRICOLE 4,124,"15,553","6,294",122,"7,987","3,232",112,"4,982","2,016",26,523,212,63,"1,686",682,67,796,322,"7,570","3,063",70,"4,479","1,813",64,"3,091","1,251",122,2,4,11,70,20,6,6,4,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72,"2,612","1,057",812,60,"1,245",504,536,30,905,366,201,17,462,187,75,55,39,447,181,42,524,212,..,..,..,1,4,2
100404000,10,4,4,0,1004000,DIVISION NO.  4,66,"8,866","3,588",66,"4,759","1,926",63,"2,935","1,188",13,285,115,40,"1,199",485,31,340,138,"4,112","1,664",35,"2,560","1,036",31,"1,552",628,66,0,2,3,36,15,4,3,2,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47,"1,983",802,611,38,922,373,385,22,644,261,164,13,417,169,62,33,22,290,117,29,367,149,..,..,..,1,4,2
100404001,10,4,4,1,1004001,"DIVISION NO.  4, SUBD. A",16,"2,960","1,198",16,"1,622",656,16,"1,131",458,1,25,10,10,407,165,9,59,24,"1,341",543,10,674,273,10,667,270,16,0,0,2,6,3,1,2,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,866,350,188,9,228,92,79,7,346,140,67,4,292,118,42,7,5,18,7,4,37,15,..,..,..,0,0,0
100404006,10,4,4,6,1004006,"DIVISION NO.  4, SUBD. B",40,"3,702","1,498",40,"2,259",914,38,"1,334",540,11,185,75,23,553,224,17,187,76,"1,445",585,20,976,395,17,469,190,40,0,1,1,25,9,3,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30,985,399,370,25,660,267,286,11,228,92,67,7,97,39,17,23,17,272,110,22,308,125,..,..,..,1,4,2
100404022,10,4,4,22,1004022,"DIVISION NO.  4, SUBD. E",10,"2,204",892,10,878,355,9,470,190,1,75,30,7,239,97,5,94,38,"1,326",537,5,910,368,4,416,168,10,0,1,0,5,3,0,0,0,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,132,53,53,4,34,14,20,4,70,28,30,2,28,11,3,3,0,0,0,3,22,9,..,..,..,0,0,0
100405000,10,4,5,0,1005000,DIVISION NO.  5,58,"6,687","2,706",56,"3,228","1,306",49,"2,047",828,13,238,96,23,487,197,36,456,185,"3,458","1,399",35,"1,919",777,33,"1,539",623,56,2,2,8,34,5,2,3,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,629,255,201,22,323,131,151,8,261,106,37,4,45,18,13,22,17,157,64,13,157,64,..,..,..,0,0,0
100405007,10,4,5,7,1005007,"DIVISION NO.  5, SUBD. E",39,"4,283","1,733",38,"2,180",882,34,"1,381",559,10,149,60,16,304,123,27,346,140,"2,103",851,28,"1,282",519,22,821,332,38,1,1,4,26,3,0,3,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21,558,226,164,19,314,127,134,6,229,93,23,3,15,6,7,20,15,142,57,13,157,64,..,..,..,0,0,0
100405010,10,4,5,10,1005010,"DIVISION NO.  5, SUBD. F",19,"2,404",973,18,"1,048",424,15,666,270,3,89,36,7,183,74,9,110,45,"1,355",548,7,637,258,11,718,291,18,1,1,4,8,2,2,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,71,29,37,3,9,4,17,2,32,13,14,1,30,12,6,2,2,15,6,0,0,0,..,..,..,0,0,0
110000000,11,0,0,0,1100000,P.E.I. - I.-P.-E.,"3,154","699,367","283,024","3,126","500,853","202,688","2,955","391,118","158,280",210,"7,481","3,027","2,137","89,521","36,228","1,784","12,733","5,153","198,514","80,336","2,357","161,697","65,436","1,145","36,817","14,899","3,126",28,95,100,793,852,434,308,327,105,55,31,16,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,421","265,494","107,442","55,477","2,335","228,426","92,441","51,335",449,"19,977","8,084","2,125",597,"17,091","6,916","2,017","2,243","2,024","202,104","81,789",967,"79,035","31,984",..,..,..,4,57,23
110100000,11,1,0,0,1100000,KINGS COUNTY,586,"148,810","60,221",582,"86,422","34,974",556,"66,777","27,024",63,"1,892",766,382,"14,645","5,927",365,"3,108","1,258","62,389","25,248",490,"53,572","21,680",266,"8,817","3,568",582,4,12,15,176,157,80,45,67,15,7,3,4,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,424,"42,842","17,338","8,546",406,"37,365","15,121","7,914",63,"2,884","1,167",297,109,"2,593","1,049",335,381,335,"31,705","12,831",157,"12,154","4,919",..,..,..,1,35,14
