AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTOTFTR,TOTTFT,ETOTTFT,APPLEBR,APPLENB,NAPPLETR,APPLETA,EAPPLETA,PEARBR,PEARNB,NPEARTR,PEARTA,EPEARTA,PLUMBR,PLUMNB,NPLUMTR,PLUMTA,EPLUMTA,SWCHBR,SWCHNB,NSWCHTR,SWCHTA,ESWCHTA,SRCHBR,SRCHNB,NSRCHTR,SRCHTA,ESRCHTA,PECHBR,PECHNB,NPECHTR,PECHTA,EPECHTA,APCTBR,APCTNB,NAPCTTR,APCTTA,EAPCTTA,NTSMFRTC,TSMFRTC,ETSMFRTC,NSTWBRYC,STWBRYC,ESTWBRYC,NGRAPESC,GRAPESC,EGRAPESC,NOTHBERC,OTHBERC,EOTHBERC,NTOTVEG,TOTVEG,ETOTVEG,NASPCULT,ASPCULT,EASPCULT,NSWCORN,SWCORN,ESWCORN,NTOMATO,TOMATO,ETOMATO,NCUCUMB,CUCUMB,ECUCUMB,NCABAGE,CABAGE,ECABAGE,NBEANS,BEANS,EBEANS,NCARROT,CARROT,ECARROT,NGRPEAS,GRPEAS,EGRPEAS,NBEETS,BEETS,EBEETS,NCLFLWR,CLFLWR,ECLFLWR,NONIONS,ONIONS,EONIONS,NRTBAGA,RTBAGA,ERTBAGA,NLETUCE,LETUCE,ELETUCE,NBROCLI,BROCLI,EBROCLI,NTOTOVEG,TOTOVEG,ETOTOVEG,NSPROUT,SPROUT,ESPROUT,NCNTLPE,CNTLPE,ECNTLPE,NCELERY,CELERY,ECELERY,NSHALOT,SHALOT,ESHALOT,NMELONS,MELONS,EMELONS,NPARSNP,PARSNP,EPARSNP,NPEPPER,PEPPER,EPEPPER,NPUMPKN,PUMPKN,EPUMPKN,NRADISH,RADISH,RRADISH,NRHBARB,RHBARB,RRHBARB,NSPNACH,SPNACH,ESPNACH,NSQUASH,SQUASH,ESQUASH,NVEGMAR,VEGMAR,EVEGMAR,NOTHVEG,OTHVEG,EOTHVEG,NNURSERY,NURSERY,ENURSERY,NTOTGRN,TOTGRN,FTOTGRN,NMUSHRM,MUSHRM,FMUSHRM
100101357,10,1,1,357,1001357,"DIVISION NO.  1, SUBD. H",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,32,0,0,0,0,0,0,1,80,32,3,16,7,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,1,4,2,0,0,0,1,2,1,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,x,x,2,x,x,0,0,0
100101405,10,1,1,405,1001405,"DIVISION NO.  1, SUBD. K",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,89,36,0,0,0,0,0,0,0,0,0,0,0,0,12,30,12,0,0,0,7,13,5,0,0,0,6,6,2,3,3,1,0,0,0,10,31,12,1,1,0,2,1,0,4,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,x,x,3,"2,960",275,0,0,0
100101421,10,1,1,421,1001421,"DIVISION NO.  1, SUBD. M",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,3,"6,448",599,0,0,0
100101452,10,1,1,452,1001452,"DIVISION NO.  1, SUBD. O",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,22,1,49,20,0,0,0,1,6,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0
100101515,10,1,1,515,1001515,ST. JOHN'S METROPOLITAN AREA,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,5,4,2,0,0,0,0,0,0,68,222,90,0,0,0,0,0,0,2,1,0,1,0,0,58,61,25,2,1,0,43,27,11,2,1,0,33,10,4,12,3,1,0,0,0,56,69,28,10,4,2,8,2,1,11,44,18,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,2,1,0,2,1,0,1,0,0,0,0,0,4,41,16,3,2,1,22,"126,144","11,719",0,0,0
100200000,10,2,0,0,1000000,AGRICULTURAL REGION AGRICOLE 2,141,1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,62,25,10,11,5,0,0,0,2,51,21,69,369,150,0,0,0,1,0,0,5,3,1,6,1,1,53,96,39,3,1,0,40,24,10,7,2,1,35,26,10,10,3,1,6,1,1,56,200,81,13,5,2,12,3,1,14,6,3,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,6,1,0,0,0,0,1,0,0,1,0,0,7,3,1,2,x,x,20,"56,678","5,266",0,0,0
100202000,10,2,2,0,1002000,DIVISION NO.  2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,11,36,14,0,0,0,1,0,0,2,1,0,2,1,0,10,11,4,1,0,0,7,2,1,3,1,0,5,2,1,2,1,0,2,0,0,10,16,6,3,1,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,x,x,0,0,0
100202023,10,2,2,23,1002023,WINTERLAND,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,11,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,0,0,0,4,2,1,0,0,0,2,1,0,0,0,0,0,0,0,8,14,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
100202024,10,2,2,24,1002024,MARYSTOWN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,9,4,0,0,0,1,0,0,2,1,0,2,1,0,3,1,1,1,0,0,3,1,0,3,1,0,3,1,0,2,1,0,2,0,0,2,2,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,x,x,0,0,0
100206000,10,2,6,0,1006000,DIVISION NO.  6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,54,22,3,3,1,0,0,0,2,51,21,23,80,33,0,0,0,0,0,0,2,2,1,2,0,0,15,18,7,0,0,0,14,6,2,1,0,0,14,10,4,5,1,1,1,1,0,18,37,15,5,1,1,5,2,1,6,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,x,x,10,"25,300","2,350",0,0,0
100206008,10,2,6,8,1006008,"DIVISION NO.  6, SUBD. E",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,6,13,5,0,0,0,0,0,0,2,2,1,1,0,0,4,1,0,0,0,0,5,2,1,1,0,0,4,1,1,3,1,0,1,1,0,3,2,1,3,1,0,4,1,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,x,x,6,"14,940","1,388",0,0,0
100206014,10,2,6,14,1006014,"DIVISION NO.  6, SUBD. C",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,21,2,2,1,0,0,0,2,51,21,17,67,27,0,0,0,0,0,0,0,0,0,1,0,0,11,17,7,0,0,0,9,4,2,0,0,0,10,9,4,2,1,0,0,0,0,15,35,14,2,1,0,1,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,"10,360",962,0,0,0
100207000,10,2,7,0,1007000,DIVISION NO.  7,75,1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,6,8,3,0,0,0,0,0,0,35,254,103,0,0,0,0,0,0,1,1,0,2,0,0,28,67,27,2,0,0,19,16,7,3,1,0,16,14,6,3,1,0,3,1,0,28,147,59,5,2,1,6,1,1,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,2,1,0,1,x,x,9,x,x,0,0,0
100207014,10,2,7,14,1007014,"DIVISION NO.  7, SUBD. J",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100207031,10,2,7,31,1007031,"DIVISION NO.  7, SUBD. E",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,2,6,2,0,0,0,0,0,0,17,166,67,0,0,0,0,0,0,0,0,0,0,0,0,13,42,17,0,0,0,7,4,2,1,1,0,9,5,2,1,0,0,0,0,0,13,111,45,2,1,0,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,x,x,0,0,0
100207038,10,2,7,38,1007038,"DIVISION NO.  7, SUBD. D",21,1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,2,1,0,0,0,0,0,0,15,81,33,0,0,0,0,0,0,1,1,0,2,0,0,13,23,9,2,0,0,10,11,4,2,1,0,7,8,3,2,0,0,3,1,0,12,33,13,3,1,1,3,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,x,x,6,"24,388","2,266",0,0,0
100300000,10,3,0,0,1000000,AGRICULTURAL REGION AGRICOLE 3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,5,4,2,0,0,0,0,0,0,43,141,57,0,0,0,0,0,0,0,0,0,0,0,0,27,32,13,0,0,0,29,17,7,5,1,0,29,15,6,2,1,0,1,0,0,35,69,28,2,1,0,4,1,0,9,7,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,5,"9,993",928,0,0,0
100308000,10,3,8,0,1008000,DIVISION NO.  8,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,4,3,1,0,0,0,0,0,0,39,137,56,0,0,0,0,0,0,0,0,0,0,0,0,25,32,13,0,0,0,25,16,6,3,1,0,26,14,6,1,1,0,0,0,0,33,68,28,1,1,0,2,0,0,7,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,4,x,x,0,0,0
