AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,TFAREA,NTCHICK,TCHICK,NPULLETS,PULLETS,NHENS,HENS,NAOCHCK,AOCHCK,NTURKEY,TURKEY,NGEESE,GEESE,NDUCKS,DUCKS,NOTHPLT,OTHPLT,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NMLKHEF,MLKHEF,NBFHEFS,BFHEFS,NBFSLGH,BFSLGH,NSTEERS,STEERS,NCALFU1,CALFU1,NCATTFE,CATTFE,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NPIGU45,PIGU45,NPIGS45,PIGS45,NPIG130,PIG130,NTSHEEP,TSHEEP,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NCHINCH,CHINCH,NMINK,MINK,NFOX,FOX,NOTHLIV
100101357,10,1,1,357,1001357,"DIVISION NO.  1, SUBD. H",25,7,"102,844",2,x,4,x,4,x,1,x,2,x,2,x,0,0,14,138,4,7,11,37,5,13,7,24,6,25,3,10,2,x,3,x,4,9,12,60,6,22,1,x,1,x,1,x,1,x,1,x,1,x,1,x,4,x,4,x,4,x,5,23,2,x,2,x,0,0,0,0,0,0,0
100101405,10,1,1,405,1001405,"DIVISION NO.  1, SUBD. K",16,3,x,2,x,3,x,1,x,0,0,1,x,2,x,0,0,5,98,2,x,5,32,1,x,4,x,3,x,1,x,1,x,2,x,2,x,5,x,2,x,1,x,0,0,0,0,1,x,0,0,1,x,0,0,3,35,3,x,3,x,6,9,0,0,0,0,0,0,0,0,0,0,0
100101421,10,1,1,421,1001421,"DIVISION NO.  1, SUBD. M",17,3,x,1,x,3,x,1,x,0,0,1,x,3,31,0,0,10,196,3,x,10,85,2,x,10,x,7,25,1,x,5,x,1,x,1,x,9,79,7,55,2,x,2,x,2,x,2,x,2,x,2,x,2,x,0,0,0,0,0,0,4,x,0,0,0,0,0,0,0,0,0,0,0
100101452,10,1,1,452,1001452,"DIVISION NO.  1, SUBD. O",26,2,x,0,0,2,x,0,0,1,x,2,x,1,x,0,0,18,85,6,6,15,25,6,x,9,x,12,21,6,11,3,4,3,6,3,5,16,28,4,x,1,x,0,0,0,0,1,x,0,0,0,0,1,x,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0
100101515,10,1,1,515,1001515,ST. JOHN'S METROPOLITAN AREA,130,28,"137,323",6,x,27,x,6,x,3,x,6,214,11,714,2,x,77,"2,899",40,73,68,"1,865",48,"1,789",21,76,54,520,44,491,7,10,6,19,7,27,59,414,16,71,16,"9,624",9,86,9,"1,310",16,"8,228",11,"2,992",12,"3,139",11,"2,097",8,433,8,225,8,208,37,41,4,24,2,x,0,0,0,0,0,0,0
100200000,10,2,0,0,1000000,AGRICULTURAL REGION AGRICOLE 2,141,40,"98,208",9,x,37,x,9,x,5,x,11,70,14,147,1,x,54,699,24,36,49,319,17,159,37,160,30,109,10,47,16,47,8,15,11,22,46,213,22,72,17,x,7,17,6,x,15,x,10,x,5,x,6,x,21,446,21,222,20,224,22,47,6,39,5,78,0,0,0,0,0,0,1
100202000,10,2,2,0,1002000,DIVISION NO.  2,30,8,x,5,x,7,x,2,x,0,0,2,x,1,x,0,0,14,133,7,x,14,60,3,x,12,x,8,25,3,x,6,13,1,x,2,x,12,38,5,14,3,x,1,x,1,x,3,x,2,x,1,x,2,x,8,117,8,59,7,58,6,9,3,x,0,0,0,0,0,0,0,0,1
100202023,10,2,2,23,1002023,WINTERLAND,20,4,x,2,x,4,x,1,x,0,0,0,0,0,0,0,0,7,79,4,x,7,39,1,x,7,x,3,11,1,x,3,x,1,x,1,x,7,23,3,x,1,x,0,0,0,0,1,x,1,x,0,0,0,0,3,47,3,20,3,27,2,x,0,0,0,0,0,0,0,0,0,0,0
100202024,10,2,2,24,1002024,MARYSTOWN,10,4,x,3,x,3,x,1,x,0,0,2,x,1,x,0,0,7,54,3,x,7,21,2,x,5,x,5,14,2,x,3,x,0,0,1,x,5,15,2,x,2,x,1,x,1,x,2,x,1,x,1,x,2,x,5,70,5,39,4,31,4,x,3,x,0,0,0,0,0,0,0,0,1
100206000,10,2,6,0,1006000,DIVISION NO.  6,36,8,x,2,x,7,x,2,x,2,x,6,47,5,74,1,x,9,109,3,x,6,67,4,x,2,x,3,12,2,x,0,0,2,x,2,x,7,21,5,13,4,x,3,4,2,x,3,x,2,x,1,x,2,x,0,0,0,0,0,0,7,22,2,x,4,x,0,0,0,0,0,0,0
100206008,10,2,6,8,1006008,"DIVISION NO.  6, SUBD. E",10,3,x,1,x,3,x,1,x,1,x,3,31,1,x,0,0,1,x,0,0,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,1,x,1,x,0,0,0,0,0,0,0
100206014,10,2,6,14,1006014,"DIVISION NO.  6, SUBD. C",26,5,x,1,x,4,x,1,x,1,x,3,16,4,x,1,x,8,x,3,x,5,x,3,x,2,x,3,12,2,x,0,0,2,x,2,x,6,x,4,x,3,x,2,x,2,x,3,x,2,x,1,x,2,x,0,0,0,0,0,0,5,x,1,x,3,x,0,0,0,0,0,0,0
100207000,10,2,7,0,1007000,DIVISION NO.  7,75,24,"47,139",2,x,23,x,5,x,3,x,3,x,8,x,0,0,31,457,14,25,29,192,10,86,23,106,19,72,5,29,10,34,5,9,7,14,27,154,12,45,10,x,3,x,3,x,9,x,6,x,3,x,2,x,13,329,13,163,13,166,9,16,1,x,1,x,0,0,0,0,0,0,0
100207014,10,2,7,14,1007014,"DIVISION NO.  7, SUBD. J",19,7,x,0,0,7,x,2,x,0,0,0,0,4,38,0,0,12,x,5,x,11,x,4,x,9,x,5,x,0,0,5,x,0,0,4,7,12,x,4,11,4,8,0,0,0,0,4,8,3,x,1,x,0,0,8,x,8,x,8,x,2,x,0,0,0,0,0,0,0,0,0,0,0
100207031,10,2,7,31,1007031,"DIVISION NO.  7, SUBD. E",35,11,x,0,0,11,x,2,x,2,x,3,x,3,27,0,0,17,340,8,17,16,145,5,73,13,72,13,56,4,x,5,x,5,9,3,7,14,115,8,34,4,27,2,x,2,x,3,x,1,x,1,x,1,x,2,x,2,x,2,x,6,13,1,x,1,x,0,0,0,0,0,0,0
100207038,10,2,7,38,1007038,"DIVISION NO.  7, SUBD. D",21,6,x,2,x,5,x,1,x,1,x,0,0,1,x,0,0,2,x,1,x,2,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,1,x,0,0,2,x,1,x,1,x,2,x,2,x,1,x,1,x,3,x,3,x,3,x,1,x,0,0,0,0,0,0,0,0,0,0,0
100300000,10,3,0,0,1000000,AGRICULTURAL REGION AGRICOLE 3,80,20,"20,459",3,x,20,x,5,x,1,x,3,29,9,56,1,x,28,307,13,22,27,124,11,28,19,96,17,42,5,10,10,18,5,14,4,25,24,94,13,38,5,x,4,7,4,x,4,x,4,x,2,x,1,x,28,871,28,526,25,345,11,13,11,116,3,x,0,0,0,0,0,0,0
100308000,10,3,8,0,1008000,DIVISION NO.  8,67,12,"16,468",0,0,12,x,3,x,0,0,1,x,6,13,0,0,22,205,9,x,21,94,9,x,14,x,13,22,2,x,8,x,4,x,2,x,18,64,10,29,4,x,3,x,3,x,4,x,4,x,2,x,1,x,21,678,21,420,20,258,10,x,10,x,2,x,0,0,0,0,0,0,0
100308036,10,3,8,36,1008036,"DIVISION NO.  8, SUBD. G",20,3,x,0,0,3,x,1,x,0,0,1,x,1,x,0,0,9,94,4,x,9,43,4,5,6,38,4,10,0,0,2,x,2,x,2,x,7,23,3,11,2,x,1,x,1,x,2,x,2,x,1,x,0,0,9,213,9,106,9,107,3,4,4,16,0,0,0,0,0,0,0,0,0
100308042,10,3,8,42,1008042,"DIVISION NO.  8, SUBD. F",14,2,x,0,0,2,x,0,0,0,0,0,0,1,x,0,0,4,40,2,x,4,19,1,x,3,x,2,x,0,0,1,x,1,x,0,0,4,x,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,262,5,158,5,104,3,3,2,x,1,x,0,0,0,0,0,0,0
100308058,10,3,8,58,1008058,"DIVISION NO.  8, SUBD. C",18,4,x,0,0,4,x,2,x,0,0,0,0,1,x,0,0,3,x,1,x,2,x,0,0,2,x,3,x,1,x,2,x,0,0,0,0,2,x,0,0,1,x,1,x,1,x,1,x,1,x,1,x,1,x,3,83,3,x,3,x,2,x,1,x,0,0,0,0,0,0,0,0,0
100308065,10,3,8,65,1008065,"DIVISION NO.  8, SUBD. P",15,3,x,0,0,3,x,0,0,0,0,0,0,3,6,0,0,6,x,2,x,6,x,4,x,3,x,4,x,1,x,3,3,1,x,0,0,5,x,3,4,1,x,1,x,1,x,1,x,1,x,0,0,0,0,4,120,4,x,3,x,2,x,3,43,1,x,0,0,0,0,0,0,0
100309000,10,3,9,0,1009000,DIVISION NO.  9,13,8,"3,991",3,x,8,x,2,x,1,x,2,x,3,43,1,x,6,102,4,x,6,30,2,x,5,x,4,20,3,x,2,x,1,x,2,x,6,30,3,9,1,x,1,x,1,x,0,0,0,0,0,0,0,0,7,193,7,106,5,87,1,x,1,x,1,x,0,0,0,0,0,0,0
100309041,10,3,9,41,1009041,"DIVISION NO.  9, SUBD. H",13,8,"3,991",3,x,8,x,2,x,1,x,2,x,3,43,1,x,6,102,4,x,6,30,2,x,5,x,4,20,3,x,2,x,1,x,2,x,6,30,3,9,1,x,1,x,1,x,0,0,0,0,0,0,0,0,7,193,7,106,5,87,1,x,1,x,1,x,0,0,0,0,0,0,0
100400000,10,4,0,0,1000000,AGRICULTURAL REGION AGRICOLE 4,124,29,"363,725",1,x,22,x,13,"279,495",1,x,7,80,12,92,1,x,69,"2,114",31,52,61,988,21,621,47,367,50,388,18,249,31,105,11,34,22,103,65,583,23,169,16,"1,876",5,31,5,278,16,"1,567",9,x,10,588,3,x,38,"2,497",38,"1,238",38,"1,259",20,32,4,62,0,0,0,0,0,0,0,0,0
100404000,10,4,4,0,1004000,DIVISION NO.  4,66,14,"21,415",1,x,14,x,5,x,1,x,3,28,6,42,0,0,48,"1,554",24,34,45,714,15,461,37,253,39,301,15,x,24,65,8,x,18,89,46,416,18,143,7,14,0,0,0,0,7,14,5,x,2,x,0,0,30,"2,017",30,"1,007",30,"1,010",13,22,2,x,0,0,0,0,0,0,0,0,0
100404001,10,4,4,1,1004001,"DIVISION NO.  4, SUBD. A",16,4,x,1,x,4,x,1,x,1,x,2,x,1,x,0,0,11,654,8,9,10,320,5,258,6,62,10,139,5,124,6,15,0,0,5,35,11,151,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,2,x,2,x,4,6,0,0,0,0,0,0,0,0,0,0,0
100404006,10,4,4,6,1004006,"DIVISION NO.  4, SUBD. B",40,5,x,0,0,5,x,2,x,0,0,1,x,3,x,0,0,30,713,12,19,28,286,6,x,25,x,23,146,8,86,15,44,6,16,10,49,28,213,13,87,6,x,0,0,0,0,6,x,5,x,1,x,0,0,21,"1,165",21,584,21,581,6,13,1,x,0,0,0,0,0,0,0,0,0
100404022,10,4,4,22,1004022,"DIVISION NO.  4, SUBD. E",10,5,x,0,0,5,x,2,x,0,0,0,0,2,x,0,0,7,187,4,6,7,108,4,x,6,x,6,16,2,x,3,6,2,x,3,5,7,52,2,x,1,x,0,0,0,0,1,x,0,0,1,x,0,0,7,x,7,x,7,x,3,3,1,x,0,0,0,0,0,0,0,0,0
100405000,10,4,5,0,1005000,DIVISION NO.  5,58,15,"342,310",0,0,8,x,8,x,0,0,4,52,6,50,1,x,21,560,7,18,16,274,6,160,10,114,11,87,3,x,7,40,3,x,4,14,19,167,5,26,9,"1,862",5,31,5,278,9,"1,553",4,x,8,x,3,x,8,480,8,231,8,249,7,10,2,x,0,0,0,0,0,0,0,0,0
100405007,10,4,5,7,1005007,"DIVISION NO.  5, SUBD. E",39,8,x,0,0,3,x,5,x,0,0,2,x,4,x,0,0,18,291,5,x,13,149,5,x,8,x,8,x,2,x,5,x,2,x,2,x,16,100,4,x,4,x,2,x,2,x,4,x,1,x,3,x,2,x,4,261,4,129,4,132,2,x,0,0,0,0,0,0,0,0,0,0,0
100405010,10,4,5,10,1005010,"DIVISION NO.  5, SUBD. F",19,7,x,0,0,5,x,3,x,0,0,2,x,2,x,1,x,3,269,2,x,3,125,1,x,2,x,3,x,1,x,2,x,1,x,2,x,3,67,1,x,5,x,3,x,3,x,5,x,3,x,5,x,1,x,4,219,4,102,4,117,5,x,2,x,0,0,0,0,0,0,0,0,0
110000000,11,0,0,0,1100000,P.E.I. - I.-P.-E.,"3,154",694,"222,729",95,"41,032",584,"168,035",263,"13,662",53,"2,957",151,"4,996",172,"2,727",36,"1,546","2,310","102,454",856,"1,374","1,960","35,144","1,176","24,106",997,"11,038","1,880","19,990","1,034","10,788",677,"3,610",688,"5,592","1,431","19,550","1,986","26,396","1,297","20,315","1,062","116,843",574,880,751,"13,895",970,"102,068",728,"42,055",501,"33,060",358,"26,953",140,"7,619",136,"4,344",132,"3,275",687,"2,317",65,348,45,406,1,x,14,"16,894",89,"6,138",77
110100000,11,1,0,0,1100000,KINGS COUNTY,586,135,"24,848",23,807,114,"22,503",49,"1,538",13,171,28,381,34,372,11,153,403,"15,097",164,259,358,"6,190",200,"3,522",203,"2,668",321,"2,802",163,"1,487",147,822,94,493,190,"1,780",348,"4,066",193,"1,901",166,"19,933",74,118,106,"2,081",154,"17,734",113,"5,931",79,"6,534",64,"5,269",53,"3,289",51,"1,955",51,"1,334",108,363,11,89,4,10,0,0,6,"13,506",13,560,10
110101000,11,1,1,0,1101000,KINGS COUNTY,586,135,"24,848",23,807,114,"22,503",49,"1,538",13,171,28,381,34,372,11,153,403,"15,097",164,259,358,"6,190",200,"3,522",203,"2,668",321,"2,802",163,"1,487",147,822,94,493,190,"1,780",348,"4,066",193,"1,901",166,"19,933",74,118,106,"2,081",154,"17,734",113,"5,931",79,"6,534",64,"5,269",53,"3,289",51,"1,955",51,"1,334",108,363,11,89,4,10,0,0,6,"13,506",13,560,10
110101001,11,1,1,1,1101001,TOWNSHIP 64,57,13,733,3,39,13,580,3,114,0,0,2,x,5,24,1,x,37,797,13,17,31,271,17,105,18,166,28,132,9,62,13,41,9,29,19,184,26,193,22,216,18,"2,297",7,8,11,85,17,"2,204",14,510,11,851,8,843,3,181,3,109,3,72,8,61,0,0,0,0,0,0,0,0,0,0,1
110101006,11,1,1,6,1101006,TOWNSHIP 63,32,6,592,0,0,6,x,1,x,0,0,1,x,1,x,2,x,21,445,8,18,16,197,9,164,8,33,14,84,9,73,5,11,0,0,6,47,16,99,7,49,10,"1,421",4,9,5,137,10,"1,275",7,483,6,x,3,x,3,x,3,x,3,x,7,37,0,0,1,x,0,0,0,0,0,0,0
110101008,11,1,1,8,1101008,TOWNSHIP 61,31,8,249,0,0,6,x,2,x,0,0,4,25,2,x,0,0,21,616,6,10,21,285,13,217,12,68,19,152,9,79,10,34,5,39,5,19,17,150,7,46,8,923,4,8,5,149,7,766,4,237,6,263,4,266,3,x,3,x,3,x,4,8,0,0,0,0,0,0,0,0,1,x,0
110101009,11,1,1,9,1101009,TOWNSHIP 59,39,14,x,5,73,9,x,7,341,2,x,3,13,6,36,2,x,27,"1,420",16,25,22,458,8,190,17,268,21,268,9,123,12,73,6,72,15,349,23,320,16,413,10,"1,384",5,8,5,107,10,"1,269",9,517,5,445,4,307,5,485,5,284,5,201,11,45,1,x,1,x,0,0,0,0,0,0,2
110101014,11,1,1,14,1101014,TOWNSHIP 51,52,8,182,1,x,7,111,4,x,0,0,2,x,1,x,0,0,36,"1,437",10,15,32,534,20,401,15,133,29,261,16,167,13,56,10,38,23,233,33,394,17,174,12,459,5,5,6,48,11,406,7,x,5,162,5,x,4,163,4,84,4,79,15,29,0,0,0,0,0,0,1,x,1,x,1
110101016,11,1,1,16,1101016,TOWNSHIP 52,32,7,165,0,0,4,75,3,90,2,x,3,x,2,x,2,x,21,698,4,5,18,276,12,158,9,118,15,108,7,50,5,38,5,20,9,125,19,184,11,135,13,"4,343",7,20,9,512,12,"3,811",10,"1,340",7,"1,338",9,"1,133",2,x,2,x,2,x,9,25,1,x,0,0,0,0,0,0,3,217,0
110101019,11,1,1,19,1101019,TOWNSHIP 53,25,10,668,3,x,9,216,3,x,1,x,0,0,2,x,0,0,16,632,10,13,14,255,9,191,7,64,12,117,8,75,5,16,3,26,11,65,16,182,8,42,9,"1,639",2,x,5,x,8,"1,507",5,520,5,507,5,480,1,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,1,x,0
110101026,11,1,1,26,1101026,TOWNSHIP 54,21,5,162,1,x,5,x,2,x,1,x,1,x,2,x,0,0,17,678,10,15,16,285,8,154,10,131,13,143,9,101,4,x,2,x,8,45,15,190,5,50,10,"1,068",7,8,9,144,7,916,5,x,3,x,4,x,2,x,2,x,2,x,10,34,2,x,0,0,0,0,0,0,0,0,0
110101028,11,1,1,28,1101028,TOWNSHIP 55,21,7,214,1,x,5,x,3,x,2,x,4,102,5,123,0,0,18,"1,562",10,32,18,839,12,x,8,x,17,276,10,72,6,x,4,x,10,33,17,382,8,32,8,x,3,4,5,37,7,x,5,199,2,x,2,x,1,x,0,0,1,x,8,32,0,0,0,0,0,0,0,0,1,x,1
110101029,11,1,1,29,1101029,TOWNSHIP 56,21,4,216,1,x,3,x,0,0,0,0,0,0,0,0,0,0,15,727,5,10,15,358,11,319,5,39,14,156,11,114,5,x,3,x,5,24,14,179,5,18,5,33,2,x,2,x,5,x,3,x,1,x,1,x,3,224,3,126,3,98,4,8,0,0,0,0,0,0,0,0,0,0,0
110101031,11,1,1,31,1101031,TOWNSHIP 43,26,5,202,0,0,3,x,2,x,0,0,0,0,0,0,0,0,17,562,4,7,12,205,6,124,8,81,13,103,6,43,7,33,7,27,8,94,13,153,9,68,3,x,1,x,2,x,2,x,2,x,1,x,1,x,2,x,2,x,2,x,1,x,0,0,0,0,0,0,3,"6,457",0,0,0
110101032,11,1,1,32,1101032,TOWNSHIP 44,26,6,311,4,140,4,x,4,x,0,0,0,0,0,0,0,0,16,414,11,14,16,189,4,39,13,150,13,48,3,19,10,29,0,0,5,15,16,148,6,x,8,"1,028",4,8,7,150,8,870,6,x,3,x,2,x,7,581,7,437,6,144,3,12,0,0,0,0,0,0,0,0,1,x,1
110101034,11,1,1,34,1101034,TOWNSHIP 45,14,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,8,489,5,x,8,205,7,x,2,x,6,142,6,x,2,x,1,x,4,x,8,114,6,32,2,x,1,x,1,x,2,x,2,x,1,x,1,x,2,x,2,x,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0
110101038,11,1,1,38,1101038,TOWNSHIP 46,20,5,x,2,x,5,x,4,98,1,x,3,x,2,x,0,0,11,252,4,x,10,110,7,x,5,x,9,41,6,28,4,x,2,x,4,x,9,53,4,x,1,x,0,0,1,x,1,x,0,0,1,x,0,0,3,82,3,34,3,48,4,4,0,0,0,0,0,0,0,0,0,0,0
110101039,11,1,1,39,1101039,TOWNSHIP 47,34,8,486,1,x,8,x,0,0,0,0,1,x,0,0,0,0,24,689,7,9,24,323,14,193,16,130,22,109,11,61,10,31,9,17,12,62,24,186,13,49,8,243,2,x,6,x,8,199,6,99,3,x,3,x,4,166,4,71,3,95,1,x,2,x,0,0,0,0,0,0,0,0,0
110101041,11,1,1,41,1101041,TOWNSHIP 42,19,7,91,0,0,7,x,2,x,0,0,1,x,0,0,0,0,17,346,7,8,15,144,4,14,11,130,11,43,3,x,7,20,2,x,5,20,16,131,6,32,4,7,0,0,2,x,3,x,1,x,2,x,0,0,1,x,1,x,1,x,3,4,1,x,0,0,0,0,0,0,0,0,1
110101042,11,1,1,42,1101042,TOWNSHIP 41,34,1,x,0,0,1,x,0,0,0,0,0,0,0,0,1,x,22,"1,075",11,14,18,324,7,119,14,205,19,132,5,42,14,79,5,11,13,185,19,420,11,193,5,x,3,4,3,x,5,x,3,x,1,x,1,x,3,143,3,x,3,x,2,x,1,x,0,0,0,0,1,x,3,59,0
110101046,11,1,1,46,1101046,TOWNSHIP 40,28,5,148,0,0,4,x,2,x,1,x,0,0,3,19,0,0,21,"1,150",13,19,21,492,13,371,10,121,17,229,10,118,5,33,6,78,8,124,18,286,8,135,9,"1,572",7,12,8,193,9,"1,367",9,391,3,453,5,523,1,x,0,0,1,x,5,29,0,0,2,x,0,0,1,x,1,x,0
